Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
PT. BANK NEGARA INDONESIA (Persero) Tbk.,Solutions Architect,Reposted 4 weeks ago,"Requirements :

Bachelor's degree in Computer Science, Engineering, or Mathematics
4+ years' of relevant experience
Able to understand banking business processes/business flows
Able to analyze business flow into a series of IT-based solutions
Have knowledge/experience implementing solutions based on SOA, API, Event Streaming, Microservice, File transformation
Have knowledge regarding data bases, caching solutions and replication
Have sufficient knowledge regarding security processes
Advanced knowledge of leading architecture solutions in the industry area
Strong interpersonal and collaboration skills
Ability to demonstrate technical concepts to non-technical audiences","Application Programming Interfaces (API), Business Analytics, Business Process, Microservices, Service-Oriented Architecture (SOA), and Stream Processing",https://media.licdn.com/dms/image/v2/D560BAQGqZzJbCTt-kw/company-logo_100_100/company-logo_100_100/0/1711506407720/pt_bank_negara_indonesia_persero_tbk_logo?e=1732147200&v=beta&t=QhCG-Dc_zyYzk8Lm_bShq4nvZq5M_rbzEhvkSOqFsEo,On-site,"Jakarta, Indonesia"
"LanceSoft, Inc.",Business Development,1 week ago,"The ideal candidate is a motivated, organized, and creative individual who welcomes the challenges of acquiring and developing new business through sales efforts. You will build key customer relationships, identify business opportunities, and close business deals while maintaining an extensive knowledge of current market conditions.

Responsibilities
Developing new business by searching new clients to use recruitment service and managing existing ones by building a strong relationship.
Understanding clients’ needs and giving best assistance as their recruitment partner.
Developing sound understanding of client’s company, market industry, needs and goal.
Headhunting and database-search of the candidates.
Job-posting the vacant positions to attract potential candidates.
Screening, shortlisting, and endorsing qualified candidates according to clients’ requirement to be reviewed and hired by clients.
Providing general recruitment advice and guidance for both clients and candidates.
Managing the recruitment process from candidate screening through to interview, performance feedback, offering negotiation.
Building strong networking within the industry to ensure a strong personal branding.

Qualifications

Bachelor's degree or equivalent experience in Business
4+ years' of sales or account management experience in Recruitment
Proven experience as a B2B Account Manager for international clients (e.g. SEA, APAC) or in a similar role within the recruitment industry is strongly preferred
Proven track record of exceeding or high achievements in individual targets in terms of closing deals and gaining revenue, either in sales, account management, or similar function
Strong understanding of recruitment processes and cross-border hiring challenges are huge plus
Excellent written and verbal communication skills","Account Management, Agent Recruitment, Business Development, Recruiting, Recruitment Advertising, and Sales",https://media.licdn.com/dms/image/v2/D560BAQFnyz20nuY3ug/company-logo_100_100/company-logo_100_100/0/1713215908322/lancesoft_logo?e=1732147200&v=beta&t=_LQdELals909gfUKtUHdyZOgwPYUu6ZjJ_uuDhbzGgE,On-site,Jakarta Metropolitan Area
IBM,SAP MM Consultant,Reposted 1 week ago,"Introduction

As a Package Consultant at IBM, get ready to tackle numerous mission-critical company directives. Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using various tools. You will use a mix of consultative skills, business knowledge, and technical expertise to effectively integrate packaged technology into our clients' business environment and achieve business results.

Your Role and Responsibilities

As a Consultant you will serve as a client-facing practitioner who will sells, leads and implements expert services utilizing the breadth of IBM's offerings and technologies. A successful consultant is regarded by clients as a trusted business advisor who collaborates to provide innovative solutions used to solve the most challenging business problems.

Your Primary Responsibilities Include


Lead the technical design and implementation of SAP solutions for simplicity, amplification, and maintainability.
Work from strategy development to solution implementation using your knowledge of SAP and working with the latest technologies.
Partner with a cross-functional global team to ensure customer success in an agile environment.


Required Technical and Professional Expertise


At least 5 years of experience in the area of SAP HANA MM and associated modules.
Has experience managing end-to-end full cycle implementations (from blue printing, realization, go live to production support) of S/4HANA Greenfield / Migration projects in complex landscape will be preferable.


Preferred Technical And Professional Expertise

As above.

About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","ABAP, Master Data, SAP FI, SAP HANA, SAP PP, SAP Products, SAP Sales & Distribution, SAP Solutions, Statutory Accounting Principles (SAP), and Technical Design",https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1732147200&v=beta&t=9CfVQaaHBmQkb0Tp6qxvk6ggG68effyESrAObRpNhtY,On-site,Jakarta Metropolitan Area
Ollion,Senior Solution Architect,Reposted 3 weeks ago,"Company Description

OUR STORY

Let’s be honest: there are lots of people out there doing what we do. We’re just not convinced they’re doing it right. Businesses are hungry for innovation and opportunity, but not at the cost of their independence. At Ollion, we’ve connected companies and capabilities around the world to help ambitious organizations make the most of their transformation and leave the status quo in the dust.

WORKING AT OLLION

Innovation is risky. It demands bold steps and big questions, but that’s the price of making change. We’ve got our head in the cloud and two feet on the ground, channeling tech’s endless potential towards a single goal: making a world of difference. And we’re building a global team to do just that— a team capable of making game-changing breakthroughs without ever losing sight of the people it will impact. This is more than consulting. This is the change you can be.

THE OLLION DIFFERENCE

At Ollion, we’re all in on your independence. Our teams are seasoned. Our solutions are straightforward—sometimes even groundbreaking. And our engagements? Exactly as long as you want them to be. We deliver fresh thinking and hard-earned insight in a way that works for you and your customers, arming your organization with everything you need to make your transformation truly mean something.

WORKING WITH OLLION (our Clients’ Experiences)

Progress matters more than process. Our global team of cloud-native pros is all about creating new and better ways to work—not just by solving your tech challenges, but by using technology to solve your business challenges. We keep the formulas, frameworks, and ten-point plans to a minimum, tackling your most pressing problems with a proprietary mix of good-old-fashioned ingenuity and refreshing humanity.

DIVERSITY AT OLLION 

One of our cultural keystones, ‘Find the angle’ recognizes that every individual has different aspirations, needs and brings a unique perspective.

We value diversity, inclusion, and equity (DE&I) as core to our success. We believe that a diverse workforce brings together unique perspectives, experiences, and ideas, leading to innovation, creativity, and better outcomes for our clients and our organization. We are on a journey and are committed to building a workplace that celebrates and respects individuals from all backgrounds, including but not limited to race, ethnicity, gender, sexual orientation, age, disability, and cultural heritage.

As our commitment to diversity and inclusion is reflected in our:

Awareness and sensitisation programs: to create awareness and sensitisation. We encourage open dialogue, active listening, and mutual respect, creating a safe and supportive environment for everyone to contribute their unique perspectives and ideas. 
Dedicated efforts to building diverse teams: that leverage the strength of our differences to tackle complex challenges and drive innovation. By embracing diversity, we broaden our collective knowledge, enhance problem-solving capabilities, and unlock limitless potential for our employees.

Job Description

The Senior Solution Architect role at Ollion comprises 4 primary duties:

Pre Sale activities - work with a member of the Solutions Architecture team to lead and oversee designs, pitches, documentation and estimates.
Solution Design - help lead the Solution Architecture team in designing and architecting systems in a cloud native fashion on any of the 3 major providers. Provide review and quality assurance across the team's output.
Collaborate with delivery - work with delivery teams to perform cost optimisation activities, support with pipeline development and answer questions from the team.
Product Shaping - use your experience and that of the team in assisting our clients to realise their goals to help create our next generation of products and services.

Qualifications

12+ years hands on experience in Cloud technology, Development or Network Administration.
Previous experience as a senior cloud architect, network administrator or DevOps lead
Demonstrable leadership skills in building a CI/CD pipeline using open-source or cloud-native technology 
Demonstrable experience in leading and assuring the estimation of architecture work.
Ability to lead work within the architecture team supporting RFP responses.
Ability to interpret requirements and translate them to the service delivery team to support pilot projects, demonstrations, proofs- of-concept (POC)
Experience with leading migration projects covering No-VM environments to VM on-prem or in cloud environments. 
Exhibit excellent understanding of the managed cloud hosting business concepts (AWS, GCP, Azure), market practices and trends.
Demonstrable skills and expertise with cloud architecture best practices and thought leadership in their practical application.
Experience in leading 5 'R' migrations.
Demonstrated skills and expertise in virtualization techniques , HA (High Availability) and zero downtime solutions. 
Experience in stakeholder management, risk & issue management 
Communications expertise with 3rd parties including cloud partners, development teams and potential clients up to C-Suite level.
Good presentation, analytical and documentation skills 
Good interpersonal style, collaborative, congenial, client-friendly demeanor
Well developed English language skills, oral and written. Bonus points for Bahasa or Mandarin speakers

Additional Information

Benefits & Perks For Working At Ollion

Our employees multiply their potential because they have opportunities to: Create a lasting Impact, Learn and Grow professionally & personally, Experience great Culture, and Be your Whole Self!

Beyond an amazing, collaborative work environment, great people, and inspiring, innovative work, we have some great benefits and perks:

Benchmarked, competitive, in-market total rewards package including (but not limited to): base salary & short-term incentive for all employees
Fully remote-first, small but Global organization; ‘learn wherever, whenever’ frees our people from a rigid view of learning and growth
Retirement planning (i.e. CPF, EPF, company-matched 401(k))
Globally, we build benefit plans that offer choices for whatever stage in life our employees are in and allow for flexibility as life happens. Employees have access to a fully comprehensive benefits package to choose the medical, dental, and vision insurance plan that best fits their lives. In addition to great healthcare coverage, we also offer all employees mental health resources and additional wellness programs.
Generous time off and leave allowances
And more!

Ollion is an equal opportunity employer. We celebrate diversity and we are committed to creating an inclusive environment for all employees. Ollion does not discriminate in employment on the basis of race, color, religion, sex (including pregnancy and gender identity), national origin, political affiliation, sexual orientation, marital status, disability, genetic information, age, membership in an employee organization, parental status, military service, or other non-merit factor.","Architecture, Cloud Computing, Documentation, Issue Management, Pilot Projects, Presentations, Product Demonstration, Service Delivery, Technical Architecture, and Technical Solution Design",https://media.licdn.com/dms/image/v2/D4D0BAQGLCusa28wSTQ/company-logo_100_100/company-logo_100_100/0/1698871635837/ollion_logo?e=1732147200&v=beta&t=yNpI0TXqGLjdVM5o03N_m4iiEh5UkBAVMv_MGKazDK4,On-site,"Jakarta, Jakarta, Indonesia"
TabSquare.AI,Quality Assurance Automation Lead,2 weeks ago,"About Tabsquare

TabSquare provides AI-powered technology solutions for the F&B industry. Through TabSquare's solutions, restaurants can efficiently manage orders, process payments, and effectively engage with their customers. TabSquare assists partner restaurants in driving higher sales, streamlining operations, and delivering an enhanced customer experience. TabSquare is a market leader with operations in Singapore, Malaysia, Indonesia, Australia, the Philippines, Taiwan, Thailand, Hong Kong, Sweden, and the UAE. Trusted by thousands of restaurants, TabSquare's clients include well-known F&B brands such as Pizza Hut, KFC, Minor Food Group, Sushi Tei, Paradise Food Group, Japan Foods Holding, Zingrill Holdings, The Coffee Club, Old Town White Coffee, Secret Recipe, and many more.

TabSquare is a wholly owned subsidiary of Delivery Hero, a global leader in the food delivery industry.
For more information, visit http://www.tabsquare.ai

Responsibilities:

Estimate, plan, prioritize and coordinate testing activities for the cross functional QA team.
Review requirements, specifications or design documents to provide timely and meaningful feedback
Create detailed, comprehensive, and well-structured documentations, test plans and test cases.
To perform system testing and end-user testing on our suite of solutions (end to end); comprising web-based applications, mobile apps on both Android and iOS platforms.
Track QA metrics, like defect densities and open defect counts and do updates on daily, weekly and monthly basis. 
Design, develop and execute Automation Scripts using Katalon Studio / Selenium or similar tools.
Support and manage UAT, Sanity, Regression activities in multiple environments.
Monitor, debug and compare the system logs, error using Datadog in multiple environments.
Work closely with the stakeholders, engineering team and also the product team, to ensure the quality/stability of the software releases.
Research on new technologies or market trends, to be able to propose new solutions/features, recommendations or ideas to improve the software solution.
Adopts and improves all required QA Processes, SOP and Ground Rules as needed. 
Mentor, support and work together with a team of 2-5 talented QA Engineers and set the path for their career growth.
Perform other relevant duties as assigned by Head/Managers.

Requirements:

Bachelor's degree in Computer Science / Application or related major.
Minimum 8+ years of hands-on experience in Manual & Automation Testing.
Excellent communication skills and a good command of English.
Self-motivated, detail-oriented, with strong analytical and problem solving skills. Able to work independently with minimum supervision.
Good understanding of the software development, testing & bug life cycle process.
Strong technical experience and ability to automate tests using Java, JS or Python.
Technical experience with API’s, JSON, SQL, HTML and tools like Postman to check & validate test results.
Technical experience with CI/CD tools like Jenkins, Gitlab and Load Test tools like Locust, JMeter.
Candidates with certification in areas of software testing e.g. CSTE, ITSQB will be considered for a Senior Position (QA Lead).
Experience in managing a small team; preferably across a start-up is a plus.

Tools / Technology:

Katalon, Appium, JMeter, Locust, TestRail, Datadog, PostMan, Sequel Pro, Slack, Atlassian.

Have experience in below areas would be an advantage:

Fintech / Mobile payments / m-Commerce
Commerce-based applications such as ERP, Accounting, Point of Sale, e-Commerce, Loyalty & Redemption systems etc.
Experience working in an Agile/Scrum development process.
Experience with security testing is a plus.

What We Offer:

Hyper-growth company in one of the hottest areas of F&B Tech, with unique exposure to driving Fintech and Artificial Intelligence in a vertical.
Chance to work with bright minds from across cultures and countries.
Opportunity to strengthen regional experience working across multiple markets in the region and internationally.
Fast-paced and dynamic work environment with an opportunity to grow rapidly.
A culture that promotes empowerment, autonomy, and new ideas, enabling employees to deliver the best work of their careers.","Agile Methodologies, Design Documents, JMeter, JSON, Katalon Studio, Postman API, Quality Assurance, System Testing, Test Automation, and Test Cases",https://media.licdn.com/dms/image/v2/D560BAQHWePT_Rh0kZA/company-logo_100_100/company-logo_100_100/0/1698053709071/tabsquare_pte_ltd_logo?e=1732147200&v=beta&t=G-qJn0_ZC_3BYIC3czdxK2tkp2svIkwFUowOhR9J0T8,Hybrid,"Jakarta, Indonesia"
HTC Global Services,Cloud Migration Developer,Reposted 3 days ago,"About The Role

We are seeking a Cloud Migration Developer with a minimum of 2 years of experience in C# .NET programming for both backend and frontend development.

Requirements

Strong understanding of containerization concepts and technologies.
Proficiency in Linux administration, with skills in scripting and automation such as Bash, Python, or Ansible.
Expertise in MS SQL Server and PostgreSQL.
Experience with Crystal Reports and SSRS (RDL); SSIS experience is a plus.
Familiarity with Docker and Kubernetes.
Knowledge of OpenShift-specific tools.
Additional knowledge in Java (or other programming languages) is a plus.
Red Hat Certified Specialist in OpenShift Application Development is a valuable addition.
Certification as a Kubernetes Administrator or AWS Cloud is a bonus.",".NET Framework, Back-End Web Development, C (Programming Language), C#, and Cloud Migration",https://media.licdn.com/dms/image/v2/D560BAQEE7FgfgdZdkA/company-logo_100_100/company-logo_100_100/0/1690544919186/htc_global_services_logo?e=1732147200&v=beta&t=l16g1MVnFUJHyRaqE1PIgu2W1hvXoapZ55A0cTo4Fjo,On-site,Jakarta Metropolitan Area
Datacultr,Business Development Manager,6 days ago,"BUSINESS DEVELOPMENT MANAGER – SOUTH EAST ASIA 

ABOUT US 

Datacultr is a global Digital Operating System for Credit Recovery, it drives Collection Efficiencies, Reduces Delinquencies and Non-Performing Loans (NPL’s). Datacultr is a DigitalOnly provider of Consumer Engagement, Recovery and Collection Solutions, helping Consumer Lending, Retail, Telecom and Fintech Organizations since 2019. Our platform, makes the underserved and unbanked segment viable, for providers of Buy Now Pay Later, Micro-Loans, Nano-Loans and other Unsecured Loans. We are helping millions of new to credit consumers across emerging markets access formal credit and begin their journey towards financial health. We have clients across India, South Asia, South East Asia, Africa and LATAM. Our head-quarter is in Dubai and we have offices in Gurugram, India and Singapore; with our Development Center based out of Gurugram, India.

ORGANIZATION’S GROWTH PLAN 

Datacultr’s vision is to enable convenient financing opportunities for consumers, entrepreneurs and small merchants, helping them combat the Socio-economic problems this segment face due to restricted access to financing. We are on a mission to enable 30 million unbanked & under-served people, access financial services by 2025. REWARDS &

JOB DESCRIPTION POSITION – Business Development Manager
ROLE – Individual Contributor
DIVISION/VERTICAL – Sales
WORK LOCATION – Jakarta, Indonesia
QUALIFICATION – MBA or any business degree
SALARY PACKAGE – Depends upon the skillset and interview
NOTICE PERIOD – Can join at the earliest

KEY RESPONSIBILITIES 

 As the Manager of Sales in South East Asia, you will be responsible for working with C
level executives and Chief Risk Officers, helping them understand how Datacultr can create value for their organization and positively impact their business.
 This is an exciting opportunity to join a rapidly growing Enterprise SaaS companyand help shape and scale the sales organization. We’re looking for sharp, energetic, and detail-oriented people who are passionate about implementing solutions that transform the status quo.
 This individual will be in a key client-facing role and will take ownership of all revenue generation.  You'll be responsible for creating a methodical, data-driven sales process and filling and driving the sales pipeline, and closing enterprise-level deals across allindustry verticals.

KEY REQUIREMENT 
 Must have Application/software selling experience across enterprise accounts
 Minimum of 5 years of experience in B2B/Enterprise software sales with an emphasis on Enterprise deals (large ticket size) with a demonstrated ability to develop and lead a high-performing sales team
 Experience with both inside and outside sales, including lead generation and outbound prospecting
 Exceptional in-person, verbal, and written communication skills a must (comfortable presenting in front of large groups)
 Ability to work in an entrepreneurial work environment where self-motivated individuals succeed  Bi-lingual with working English language capabilities.

PERKS AND BENEFITS - 
 Performance variable pay
 Flexible working hour
 Professional Development-Continuing education, up skilling
 Exciting Work Culture","BFSI, End-to-End Sales, FinTech, New Business Development, and Sales Management",https://media.licdn.com/dms/image/v2/D4D0BAQF3YIa5cx7uvg/company-logo_100_100/company-logo_100_100/0/1682401904555/datacultr_logo?e=1732147200&v=beta&t=oOCIDFe85Rm8WCoaXP6NDS89UzQUDVwV-nUYglb6k0Q,Remote,"Jakarta, Indonesia"
IBM,SAP MM Consultant,Reposted 19 hours ago,"Introduction

A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe.

You'll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio; including Software and Red Hat.

Curiosity and a constant quest for knowledge serve as the foundation to success in IBM Consulting. In your role, you'll be encouraged to challenge the norm, investigate ideas outside of your role, and come up with creative solutions resulting in ground breaking impact for a wide network of clients. Our culture of evolution and empathy centers on long-term career growth and development opportunities in an environment that embraces your unique skills and experience.

Your Role and Responsibilities

In this role, you will serve as a client-facing practitioner working collaboratively with clients to deliver high-quality solutions and be a trusted business advisor with deep understanding of SAP Accelerate delivery methodology or equivalent and associated work products.

You will work on projects that assist clients in integrating strategy, process, technology, and information to enhance effectiveness, reduce costs, and improve profit and shareholder value. There are opportunities for you to acquire new skills, work across different disciplines, take on new challenges, and develop a comprehensive understanding of various industries.

Required Professional And Technical Expertise


Has at least 1 years of experience as SAP consultants
Hands-on SAP configuration experience in SAP MM module
Experience with SAP S/4HANA: Practical experience with SAP S/4HANA, demonstrating how it is applied in different client environments.
A holder of SAP certifications is preferable. 


Required Technical and Professional Expertise

As above.

Preferred Technical And Professional Expertise

As above.

About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","Master Data, SAP Configuration, SAP FI, SAP HANA, SAP Materials Management (SAP MM), SAP PP, SAP Products, SAP S/4HANA, SAP Sales & Distribution, and Statutory Accounting Principles (SAP)",https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1732147200&v=beta&t=9CfVQaaHBmQkb0Tp6qxvk6ggG68effyESrAObRpNhtY,On-site,Jakarta Metropolitan Area
VLink Inc,iOS Developer,1 week ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1732147200&v=beta&t=DtLqK14PD7X-V3vTGb7CYEIs614nzc0h9SpBsiYK-OQ,Hybrid,"Jakarta, Indonesia"
Adira Finance,Head Information Technology Development,2 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1732147200&v=beta&t=2LbY60w0WzcH2mzU8aeTFk-Ho8LD2FTyfuRTfs6nvdQ,Hybrid,"South Jakarta, Jakarta, Indonesia"
