Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
AVSystem,Sales Engineer,1 week ago,"Job description
🌟 Location: Indonesia
🔍 Industry: Technology - Telecommunications/SaaS

🚀 About the Position:
We are seeking a dynamic Sales Engineer to join our team, acting as a key technical resource for our Sales Team. This role focuses on supporting pre-sales and post-sales customer support activities, ensuring technical success by addressing customer and channel partner needs, delivering product training, and managing project execution. The successful candidate will report to the Head of Sales and work closely with our Engineering and Product teams to provide critical feedback for product development.

🔗Key Responsibilities:
Provide expert technical support to direct sales and channel partners, addressing inquiries about our products and solutions. Assist potential customers, end users, and partners through technical evaluations, system presentations, and training.
Lead product demonstrations, deliver impactful technical presentations, and support pre-sales efforts by responding to RFPs and participating in system evaluations.
Deliver comprehensive post-sales engineering support, including project management and professional services. Conduct product trials, training sessions, and onsite customer engagements to ensure the highest level of customer satisfaction.
Offer support via telephone, email, and site visits to network managers and technical staff. Provide after-hours emergency support as needed.
Create and review technical documentation, ensuring accuracy and clarity. Prepare detailed reports and provide valuable feedback to the product development team.
Collaborate effectively both independently and within teams to resolve customer issues, working closely with the Support team and contributing to product development initiatives.
Adapt to a variety of projects in pre-sales and post-sales environments. Ensure timely and satisfactory project delivery, responding to on-demand requirements.

🌱Qualifications:
Bachelor's degree or diploma in computer science, engineering, or a related field.
Strong understanding of TCP/IP networking on Windows and UNIX/Linux platforms. Network administration experience is a plus.
Familiarity with scripting languages (Python, Bash) for rapid prototyping
Exceptional communication skills in English, both written and verbal. 
Proficiency in Mandarin is a bonus.
Willingness to travel up to 30% of the time to support customer and partner engagements.
Enjoy working in a collaborative team environment and possess strong interpersonal skills.
Excellent analytical and problem-solving abilities, with a capacity to work under pressure and meet tight deadlines.
Demonstrate a professional demeanor and phone manner, ensuring a positive and professional customer experience.

💼Additional Skills:
Previous experience in technical support or help desk roles is advantageous.
Ability to manage various projects and adapt to an on-demand work environment, ensuring the successful delivery of pre-sales and post-sales projects.","Customer Support, IP Networking, Internet Protocol Suite (TCP/IP), Networking, Post-Sales, Pre/Post Sales Engineers, Product Demonstration, Python (Programming Language), Sales Engineering, and Technical Support",https://media.licdn.com/dms/image/v2/D4D0BAQGQauet5_J_Cw/company-logo_100_100/company-logo_100_100/0/1698408890543/avsystem_logo?e=1733356800&v=beta&t=wtGMVjkcuZCgOtjhzHjeBQTj16IVZnbEhhexuptlk64,Hybrid,"Jakarta, Indonesia"
VLink Inc,iOS Developer,2 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,Hybrid,"Jakarta, Indonesia"
Park Hyatt,Sous Chef Chinese Cuisine - Park Hyatt Jakarta,Reposted 2 weeks ago,"Organization- Park Hyatt Jakarta

Summary

 Ensure that all outlets and events are managed efficiently according to the established concept statements and adhere to Company and Hotel Policies and Procedures.
 Monitor service and food production standards in outlet and events. Coordinate with the Chef de cuisine to take corrective action when necessary.
 Establish and implement performance standards for the Commissary and the Venues and work closely with the Materials Manager to establish and maintain a streamlined and efficient operation of the Commissary Kitchen.
 Establish, implement and monitor performance for the Stewarding Operation in Kitchens and Restaurants to achieve the highest possible hygiene standards, minimize operating equipment breakage and streamlined and efficient resources and equipment flows
 Frequently verify that only fresh products are used in Food and Beverage preparation.
 Frequently test Food and Beverage in outlet and be demanding and critical when it comes to Food and Beverage quality.
 Implement food safety programs and procedures.
 Always practice safety in handling food.
 Performing personal and environmental hygiene in food and beverage business.
 Conducting Food Safety Training.
 Performing Personal and Environmental Hygiene in the Management of Food Business Services.
To be flexible in your job function and perform any other reasonable duties and responsibilities which may be assigned to you, including redeployment to other departments/areas if required, in order to meet business demands and guest service needs.

Qualifications

Indonesian Nationality or expatriate with a degree in Hospitality or Business Management
Excellent in authentic Chinese Cuisine
Has minimum 2 (Two) years experience in a similar position in 5 (five) stars International Hotel Chain or authentic Chinese Restaurant
Previous experience in Luxury Hotel or international experience are advantages
Strong in leadership and business acumen
Excellent English communication skills, strong guest service mindset and people management & development skills","Chinese, Chinese Cuisine, Culinary Arts, Culinary Management, Food Safety, Guest Service, Hygiene, Luxury, STAR, and Working Abroad",https://media.licdn.com/dms/image/v2/C560BAQE5NIPu7I0ADg/company-logo_100_100/company-logo_100_100/0/1656701718949/park_hyatt_logo?e=1733356800&v=beta&t=rNAAXtaJ-88v2VsP88bgiG6m4HhzhMRkC1nW-wp7dTU,On-site,"Jakarta, Jakarta, Indonesia"
SoftwareOne,DevOps Architect,2 weeks ago,"Develop enterprise class DevOps solutions, lead delivery teams in customer workshop, coordinate with multiple stakeholders in client hierarchy to engage, understand and articulate requirements for framing end-to-end solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure, platform and DevOps solutions.
 As a DevOps consultant you will engage with clients to understand requirements and architect solutions to streamline their development, release, testing and operations. Demonstrate your strengths in innovations, problem solving and continuous improvement areas to spearhead adoption of new technologies, & frameworks with speed in order to provide competitive edge in market addressing business needs.
 Candidate must have overall 7-10 years of hand-on experience in DevOps technologies with a Software development and its management background
Job Requirements 
Define Cloud based Architecture catering to client needs and requirements
Lead teams for a discovery and architecture workshop to understand existing development and operational process, influence client architects, and IT personnel to improve Development and operations in cloud
Analyze Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and align DevOps with cloud roadmap and solution architecture 
Develop and implement DevOps solutions for hybrid scenarios based on cloud services of AWS , Azure , GCP and relevant Open Source/3rd Party technologies when assigned to work on delivery projects.
Strong understanding of application development methodologies, web application security, and secure coding practices
Hands on experience in DevOps technologies with a Software development background
Facilitate mission-critical analysis, extraction, and management of systems.
Foundations in programming, algorithms, and Software application design
Do incremental code, build, test, and deployments by streamlining execution and minimize errors
Experience in container architecture, Docker universal packaging, container orchestration (Docker, Kubernetes, Terraform), and Microservices architecture pattern
Expert level application deployment experience utilizing modern DevOps technologies ( New Relic, Jenkins, Ansible, Puppet, Salt stack etc.)
Expertise in working with Source Code Management (GitHub/Gitlab/Bitbucket)
Experience in selecting, managing build infrastructure, CICD pipelines with Jenkins to streamline the deployment of applications to Kubernetes and Docker managed containers
Experience with Scripting (shell, bash, python) on Linux and develop custom workflows and use automation by coding and scripting.
Good to have programming experience with Ruby, Python, Perl, and Java
Detect early all the errors, bugs, and issues to tackle them and solve them
Strive for continuous improvement and build continuous integration, continuous development, and constant deployment pipeline (CI/CD Pipeline)
Mentoring and guiding the team members 
Good to have -Monitoring and measuring customer experience and KPIs
Good to have-Managing periodic reporting on the progress to the management and the customer
Build automation wherever possible in the DevOps end to end architecture.
Nice to have experience designing and building applications using REST API
Agile SDLC experience is preferred, writing stories and delivering features with CI/CD, Scrum
Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements.
Create and develop DevOPS process frameworks, documents, SOP’s, cook book, automation scripts/tools for to build, implement and manage DevOps process in customer environment
Lead internal and external initiative to standardize, automate and develop competitive assets and accelerators
 Professional Attributes : 
Strategic thinker, have ability grasp new technologies, innovate, develop and nurture new solutions
Experience in driving consulting workshops, creating content of workshops in short deadlines to C-levels
Demonstrate thought leadership, create good impacts in engagements, manage time and demonstrate flexibility by adapting to situations
An ability to follow processes and demonstrate critical thinking and strong problem solving skills
Excellent team player who can lead/drive team towards success goals
Strong documentation skill 
Good communication skills both written and verbal with the client
 Certifications : 
 Must Have(any): Azure DevOps Engineer, Microsoft Certified: DevOps Engineer Expert /AWS Certified DevOps Engineer – Professional, Google Professional Cloud DevOps Engineer
Good to have: TOGAF, ITIL, Azure Solution Architect Expert/AWS Solution Architect Professional /GCP Professional
Company description 
SoftwareOne is a leading global software and cloud solutions provider that is redefining how companies build, buy and manage everything in the cloud. By helping clients to migrate and modernize their workloads and applications – and in parallel, to navigate and optimize the resulting software and cloud changes – SoftwareOne unlocks the value of technology. The company’s 8,900 employees are driven to deliver a portfolio of 7,500 software brands with sales and delivery capabilities in 90 countries. Headquartered in Switzerland, SoftwareOne is listed on the SIX Swiss Exchange under the ticker symbol SWON.
 Visit us at https://www.softwareone.com/en
 ","Build Automation, Container Orchestration, Containerization, Critical Thinking, DevOps, Microservices, Problem Solving, Python (Programming Language), Software Development, and Test Automation",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1733356800&v=beta&t=VLqqnKvUkKphLYkvlbPRGHAe-UePjZ6RXohc-aFhVfg,On-site,"Pontianak, West Kalimantan, Indonesia"
Park Hyatt,Chef de Partie Chinese Cuisine - Park Hyatt Jakarta,Reposted 2 weeks ago,"Organization- Park Hyatt Jakarta

Summary

 A ssist that outlet and events are supervised efficiently according to the established concept statements and adhere to Company and Hotel Policies and Procedures.
 Monitor service and food production standards in outlet and events. Coordinate with the chef de cuisine to take corrective action when necessary.
 Assist and monitor performance for the Stewarding Operation in Kitchens and Restaurants to achieve the highest possible hygiene standards, minimize operating equipment breakage and streamlined and efficient resources and equipment flows
 Frequently verify that only fresh products are used in Food and Beverage preparation.
 Assist testing Food and Beverage in outlet and be demanding and critical when it comes to Food and Beverage quality.
 Implement food safety programs and procedures.
 Always practice safety in handling food.
 Performing personal and environmental hygiene in food and beverage business. 
To be flexible in your job function and perform any other reasonable duties and responsibilities which may be assigned to you, including redeployment to other departments/areas if required, in order to meet business demands and guest service needs. 

Qualifications

Indonesian Nationality with a degree in Hospitality or Business Management
Experience in authentic Chinese Cuisine
Has minimum 1 (One) year experience in a similar position in 5 (five) stars International Hotel Chain
Previous experience in Luxury Hotel or international experience are advantages
Strong in leadership and business acumen
Excellent English communication skills, strong guest service mindset and people management & development skills","Baking, Chinese, Chinese Cuisine, Cooking, Food Quality, Food Safety, Guest Service, Hygiene, Menu Development, and Menu Engineering",https://media.licdn.com/dms/image/v2/C560BAQE5NIPu7I0ADg/company-logo_100_100/company-logo_100_100/0/1656701718949/park_hyatt_logo?e=1733356800&v=beta&t=rNAAXtaJ-88v2VsP88bgiG6m4HhzhMRkC1nW-wp7dTU,On-site,"Jakarta, Jakarta, Indonesia"
PERSOLKELLY,Key Account Management Specialist,3 hours ago,"We expect prospective talents to meet the requirements as below:
Equipping with 3+ years of experience as Key Account Manager
Proven track record of managing local accounts, business development and commercial success in B2B environment
Have experience in pitching and produce new B2B clients
Have experience with import, export, and trading
Willing be based at Tangerang as permanent employee.
Fluency in English is mandatory.

Key responsibilities:
will be responsible for local account management
will be executing on leads from the lead generation roles in marketing
responsible for identifying, managing, exploring international key accounts
build communication with all decision makers
will use their strong understanding of the packaging process to promote industrial packaging products that will address customer needs.
will provide leadership and technical expertise and translate gaps and needs of brand-owners and co-packers into actionable strategies.
will generate new revenue and profit by offering product and service solutions to targeted prospects. will be market / customer facing
will be responsible for executing Business Development strategies.

By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.persolkelly.co.id for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know.
 Follow us for the latest updates and valuable insights:
LinkedIn: https://www.linkedin.com/company/persolkelly/
Instagram: https://www.instagram.com/persolkellyid/","Account Management, Business-to-Business (B2B), Export Operations, Import Operations, Key Accounts, and Trading",https://media.licdn.com/dms/image/v2/C560BAQHmcES-pkTu6g/company-logo_100_100/company-logo_100_100/0/1630660162374/persolkelly_logo?e=1733356800&v=beta&t=yvfEtFVc2qLrfkv-3besfOBwcwUB48tZhtvIks3jo-Y,On-site,"Tangerang, Banten, Indonesia"
Prudential Indonesia (PT Prudential Life Assurance),SE - Accounting,3 weeks ago,"Prudential’s purpose is to be partners for every life and protectors for every future. Our purpose encourages everything we do by creating a culture in which diversity is celebrated and inclusion assured, for our people, customers, and partners. We provide a platform for our people to do their best work and make an impact to the business, and we support our people’s career ambitions. We pledge to make Prudential a place where you can Connect, Grow, and Succeed.
Prudential is an equal opportunity employer. We provide equality of opportunity of benefits for all who apply and who perform work for our organisation irrespective of sex, race, age, ethnic origin, educational, social and cultural background, marital status, pregnancy and maternity, religion or belief, disability or part-time / fixed-term work, or any other status protected by applicable law. We encourage the same standards from our recruitment and third-party suppliers taking into account the context of grade, job and location. We also allow for reasonable adjustments to support people with individual physical or mental health requirements.

Job Description
Guide and review Accounting Team in day-to-day activity and administrative tasks.
Review daily journal transaction: Account Payable (AP), Payment Voucher (PV), and Payment Request Form (PRF).
Provide all journal and listing related to investment transactions.
Provide all journal and listing related to Reinsurance transactions.
Provide all journal and listing related to Intercompany transactions.
As a Coordinator for data request from External Auditor and Group.
Provide PL by Fund report to actuary.
Support Accounting Team in Bank Reconciliation.
Support Accounting Team in Future Finance Programme.

Job Requirement
Have good knowledge in accounting
Have at least 3-4 years of accounting experience
Excellent knowledge in Microsoft Excel
Excellent verbal and written communication skills
Strong desire to learn along with professional and skepticism drive
Bachelor’s degree in accounting required
Fast learner
Experience working as Accountant in the Insurance industry or as an Auditor in Public Accountant Firm would be advantage",Accounting and Microsoft Excel,https://media.licdn.com/dms/image/v2/C510BAQHlHbrkp6AbPg/company-logo_100_100/company-logo_100_100/0/1630608436677/prudential_indonesia_pt_prudential_life_assurance__logo?e=1733356800&v=beta&t=y2KTb6DuWkWhWlcE8GTrpGv5yB8SLBkX8Yt0dCLzo0U,On-site,"Jakarta, Indonesia"
Lancesoft Indonesia,Java Software Engineer,Reposted 1 week ago,"Currently we're looking for Java Developer position!

Job Details:
- Have working experiences dan strong knowledge in Java Spring Boot.
- Minimal 2 years experience as Java Developer.
- Have working experiences and solid understanding in developing backend microservices based on Rest API and gRPC.
- Have working experiences and solid understanding in developing backend microservices integrated with SQL database (Oracle, posqresSQL) and NoSQL database (Monggo DB) and data caching (redis).
- Creative problem-solving skills.
- Good analytical & logical thinking.
- Familiar working with Git.","Java, PostgreSQL, and Spring Boot",https://media.licdn.com/dms/image/v2/D560BAQFuozay5Kozog/company-logo_100_100/company-logo_100_100/0/1713216265128/lancesoft_indonesia_logo?e=1733356800&v=beta&t=FrKYdJ8kr2iS2w184oSRVq_0dDdxVIvYa1zD4vM6J1g,On-site,"Jakarta, Indonesia"
Avensys Consulting,SAP FICO Lead,3 hours ago,"SAP FICO Lead
 Avensys is a reputed global IT professional services company, and our service spectrum includes enterprise solution consulting, business intelligence, business process automation and managed services. And we service a client base across banking and financial services, insurance, information technology, healthcare, retail, and supply chain.
 We are currently looking for SAP FICO Lead. This is an exciting opportunity to expand your skill set, achieve job satisfaction and work-life balance. More details as below.
 Job Type – Contract
Contract – 6 Months [Extension possible]

JOB DESCRIPTION
SAP FICO Consultant with has experience in multiple projects (Implementation/Roll Out/Support Phase) as well as experience as a Team Lead in at least 2 SAP full cycle implementations.


WHAT’S ON OFFER
You will be remunerated with an excellent base salary and entitled to attractive company benefits. Additionally, you will get the opportunity to enjoy a fun and collaborative work environment, alongside a strong career progression.
 To submit your application, please apply online or email your UPDATED CV in Microsoft Word format to nithya@aven-sys.comYour interest will be treated with strict confidentiality.
 CONSULTANT DETAILS
Consultant Name: Nithya
Reg No: 201201037177
 Privacy Statement: Data collected will be used for recruitment purposes only. Personal data provided will be used strictly in accordance with the relevant data protection law and Avensys' personal information and privacy policy.","BFSI, Bahasa Indonesia, Full Cycle, Handle Multiple Projects, New Product Rollout, SAP FICO, SAP Implementation, SAP Products, Statutory Accounting Principles (SAP), and Team Leadership",https://media.licdn.com/dms/image/v2/C510BAQHD6RnRvc1ZtA/company-logo_100_100/company-logo_100_100/0/1631385076205?e=1733356800&v=beta&t=8J0elMBjeo7QmNr2cYfEINZzh6kK2SWRVXx8LOUccjc,On-site,"Jakarta, Indonesia"
Traveloka,Engineering Manager - Payment and Fraud Platform,Reposted 4 days ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Payment and Fraud Tech organizations own some of the most critical systems in Traveloka that directly impact our end users. As a Payment team, we are responsible to provide the best experience to our end user to complete their journey by providing frictionless, safe and wide range of payment method selections with multiple currencies. The team also owns the Fraud platform that provides fraud related check and prevention capabilities related to Payment and other products in Traveloka.

As Engineering Manager, you will be responsible for managing a team of engineers to deliver a high quality product to our customers. You will also be working with a cross-functional team to verify problems, discussing the best and pragmatic solution, and working together to realize it. We work in an open environment where there are no boundaries or power distance. Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves. Collaborating closely with various teams, you will ensure that projects are delivered on schedule and meet the organizational objectives.

Day to day activities:

Working with the product counterparts to translate the organizational objectives into a list of projects/initiatives.
Work with the operational team to understand the operational issues and use them as feedback for the product development.
Managing a team of engineers to deliver a high quality product through the participation in brainstorming, architectural/design review, task breakdown, project management, code review, etc.
Participate in the recruitment of the top talents through interviews and giving feedback.

In Traveloka, we believe technology is there to solve business problems. If you are a motivated and strategic professional with a passion for driving engineering excellence, we invite you to join our team and contribute to our continued success.



Requirements

Bachelor's degree in Computer Science or equivalent from reputable universities.
Solid experience in Software Engineering with minimum 6 years including 3+ years experience as engineering manager - preferably someone that has experience in building Payment and Fraud related domains.
Fluent in English in both written and verbal communication.
Proven experience in creating a robust and highly scalable system.
Excellent in verbal communication, presentation, mentorship skills, influence skills, and shows personal maturity.
Excellent in problem solving, analytical, and ability to move up and down from solution and implementation.
Comfortable working with a cross-functional team.



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Communication, Computer Science, Engineering Management, Mentoring, Oral Communication, Presentations, Problem Solving, Product Service, and Team Leadership",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,Hybrid,Jakarta Metropolitan Area
