Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
PT. CRIF Lembaga Informasi Keuangan,Analytics Consultant,1 month ago,"CLIK is an innovative company specializing in credit bureau, predictive analytics and credit decision systems; our clients are Financial and Non-Financial Institutions: Conventional and Sharia Banks, Regional and BPR Banks, Mult finance companies, Insurance companies, Utilities and Telecom enterprises. To support further the development and growth of our company, we are looking for new enthusiastic talents in our Business Analytics department with the following qualifications: 

Job Descriptions:
1. Working closely with the international CRIF Data Analytics and local Operations Teams to deliver:
Maintain existing and support development of new Credit Information 
and Credit Scoring products
Development and maintenance of insightful statistics to internal and external clients

2. Provide support to our sales team for the following:
Provide technical knowledge such as credit scoring, credit analysis, etc.
Assist in pre-sales activity such portfolio analysis and backtesting
Customized analytics for internal and external clients

Job Requirements:
Minimum 3 years of experience in similar job functions – data management and analytics
Master’s degree in economics, Mathematics, or Statistics
Demonstrate proven proficiency in English
Have the ability to plan, organize, and structure work.
Understand SQL for data management.
Having exposure to Python/R/Pyspark and the ability to utilize ML methods for predictive analytics is a must.
Skilled in productivity applications: Excel, Word, PowerPoint
Showcase good analytical, evaluative and information presentation skills.
Showcase good written and oral communication skills both in English and Bahasa.
Have good interpersonal skills and team spirit as well as the ability to multitask.
 Experience in the financial industry, preferably fintech.
Having some knowledge of credit risk analysis/management (credit lifecycle), preferably in personal loans.
 Experience in creating and maintaining reports/dashboards for internal/external clients is a plus.","Analytics, Communication, Data Analytics, Data Management, Interpersonal Communication, Interpersonal Skills, Predictive Analytics, Presentations, Skilled Multi-tasker, and Team Spirit",https://media.licdn.com/dms/image/v2/C560BAQH705o142ZtsA/company-logo_100_100/company-logo_100_100/0/1630639497357/crif_lembaga_informasi_keuangan_logo?e=1732147200&v=beta&t=qU1sSM5JgNz70XZJ3nbU9zHN6j-PI9-zyH7FgSfsAWU,On-site,"Jakarta, Indonesia"
Asian Agri,Senior Officer Business Intelligence Analyst,Reposted 1 week ago,"Grow your career with us

You are on a journey to join an exciting Company and be part of our success story to improve lives by developing resources sustainably. Here we offer you an exciting and dynamic work environment and will equip you with the know-how that will stretch and enhance your career journey.

Role Summary:

Managing projects for the organization, including keeping track of project progress and ensuring activities' completion.

Responsibilities:

Join Our Team as a Business Intelligence Analyst**

Are you passionate about leveraging data to drive business insights? Do you thrive in a dynamic environment where you can contribute both independently and collaboratively to solve complex problems? If so, we want you to be a part of our team!

Role Overview:**

As a Business Intelligence Analyst, you will play a crucial role in extracting, analyzing, and interpreting data to provide actionable insights that inform strategic decision-making. Working closely with cross-functional teams, you will utilize your technical expertise in Python and SQL to develop robust analytical solutions and drive business outcomes.

You're a Perfect Fit If:

Key Responsibilities:**
Collaborate with stakeholders to understand business requirements and translate them into data-driven solutions. 
Develop and maintain data pipelines, ensuring data accuracy, reliability, and integrity. 
Dive deep into data using statistical methods and BI tools to uncover hidden patterns and trends. 
Communicate your findings in a clear, compelling way to empower stakeholders to make informed decisions. 
Identify opportunities to optimize processes and drive continuous improvement through data analysis. 
Requirements:**
Minimum of 3 years of hands-on experience in Business Intelligence/Data Analytics. 
Passion for data and problem-solving, with excellent attention to detail. 
Agile, growth-oriented mindset, with the ability to adapt to a rapidly changing environment. 
Curiosity and purpose-driven attitude, with a focus on seeking opportunities and driving innovation. 
Thrives in a collaborative environment while also being comfortable working independently. 
Possesses an agile, growth-oriented mindset with a passion for lifelong learning. 
Strong technical skills in Python and SQL, with the ability to write efficient queries and scripts. 
Degree in a STEM-related discipline (e.g., Actuarial Science, Statistics, Computer Science, Analytics). 
Other Requirements:**
Up to 50% travel may be required, mainly regional Sumatra island area. 

Requirements:

To be successful in this role, it is recommended that you should have the following skills and qualifications:

 A degree in the related job field. 
 Those with 1 to 2 years of working exposure or experience in a similar role will have an advantage but not essential. 
 Willing to relocate to the job location. 

When you send us your resume and personal details, it is deemed you have provided your consent to us retaining your information in our talent recruitment database. All information provided will only be used for the recruitment process. RGE will only collect, use, process or disclose personal information where and when allowed to under applicable laws.

Only shortlisted candidates will be contacted for an interview. We endeavour to respond to every applicant. However, if you do not receive a response from us within 60 days, please consider your application for this position unsuccessful. We may contact you in the future for any opportunities that match your qualifications and experience.

Thank you for considering a career with RGE.","Analytics, Attention to Detail, Business Requirements, Communication, Data Analytics, Interpersonal Communication, Problem Solving, Project Management, Reliability, and Teamwork",https://media.licdn.com/dms/image/v2/C4D0BAQGfIm82hOo7Tw/company-logo_100_100/company-logo_100_100/0/1631326468807?e=1732147200&v=beta&t=KE-dFz5yLuaZAJGKxCNDG7hxP-rbBL5OlpP_LOJkdvU,Hybrid,"Medan, North Sumatra, Indonesia"
Sinbad,Business Intelligence Specialist,3 weeks ago,"Job Description
Who you are and what you’ll be responsible for:
Enable users to find-out problems and take important decisions by providing insights and analysis
Explore and create initiatives to improve current condition
Prepare and manage regular and ad-hoc reports
Collaborate with Data Engineer to update and improve data systems
Create the documentations when doing the new projects

Job Requirements
At least have 3 years of working experince in similar position
Have extensive skills in SQL and No-SQL queries
Familiar using data visualization tools (e.g. Metabase, Google Data Studio, Tableau, Power BI)
Have a sense of ownership and service-oriented person
Comfortable working independently and collaboratively with minimal guidance
Coding python (plus)","Analytical Skills, Data Analysis, Data Analytics, Data Visualization, Google Data Studio, MetaBase, Microsoft Power BI, Python (Programming Language), SQL, and Tableau",https://media.licdn.com/dms/image/v2/C560BAQFXDmH0Dp9BRg/company-logo_100_100/company-logo_100_100/0/1676702789023?e=1732147200&v=beta&t=zq4qXPGlIjuMrGz35NChbwAHeNkhBSMvNxcTZgKbAUU,On-site,"South Jakarta, Jakarta, Indonesia"
GoTo Group,Operation Business Intelligence Lead,Reposted 1 week ago,"What You Will Do

Master all Consumer Lending Operations-related data points, including Customer Service, KYC, Telesales, and Transactional Data.
Manage all Operations Dashboards and Reporting to ensure timely and accurate availability.
Provide analytical insights leading to actionable plans with positive impacts for stakeholders.
Support the Head of Operation and other stakeholders in executing operational experimentation and enhancing workflow automation processes.
Lead, mentor and develop Operation BI team member.
Assist Operation stakeholders in dealing with Fraud investigation, Campaign Setup, and regulatory reporting and audit preparation
Analyze, evaluate, and initiate improvements in day-to-day operations for efficiency, effectiveness, and scalability.
Develop job automation to build Datamart-level tables in Big Query for Operational Dashboard Reporting.

What You Will Need

Bachelor's Degree in Engineering, Mathematics, Statistics, or a related discipline is required.
5 years of experience in a fast-paced environment, with a background in project management and data analytics.
Possesses strong analytical, planning, and problem-solving skills.
Proficient in SQL and Advanced Excel, with a high level of competence in working with numerical data sets. Knowledge of Python and experience in automating tasks is highly advantageous.
Familiarity with at least one business intelligence tool such as Google Data Studio (Looker), Power BI, or Tableau is preferred.
Ability to work independently with excellent time management skills, collaborating effectively with cross-functional teams to drive initiatives aligned with organizational objectives and Key Results (OKRs).
Exceptional communication and interpersonal skills, capable of articulating complex ideas to non-technical stakeholders with clarity and precision.
Familiarity with data warehousing concepts and methodologies is considered a plus.

About The Team

Financial services platform is Gojek’s financial services arm, working to provide responsible & sustainable financial services to Gojek's three main segments: consumers, merchant-partners, and driver-partners. Our team operates with the fundamental belief that financial inclusion can unlock the doors to a better quality of life, both in the present as well as in the long term. With our ""user first"" mindset, we aim to transform the financial services sector in Southeast Asia, starting with Indonesia.
Our Data team, a financial data services sub-pod, is an established family with members stationed across Jakarta, India, and Singapore. We’re in charge of running hundreds of instances and deployments across all of our payment products, directly impacting millions of users every single day. Most recently, our team has built products that reduce the overall time to model, curate, and access data, streamlining our efficiency and internal processes significantly. In the coming year, in light of our new GoTo collaboration, we have exciting plans to scale up our team in effort to field the massive growth of our data pool.","Analytics, Business Insights, Clarity, Communication, Interpersonal Skills, KYC Verification, Objectives and Key Results (OKRs), Problem Solving, Project Management, and Regulatory Reporting",https://media.licdn.com/dms/image/v2/D560BAQHgIVeVdQXzvA/company-logo_100_100/company-logo_100_100/0/1723176835737/gotogroup_logo?e=1732147200&v=beta&t=d_Cr0YVbrREvu352aQFyHpqRaXmaQZG2Y3qClU29eZo,On-site,"Jakarta, Jakarta, Indonesia"
Funding Societies | Modalku Group,Senior Data Analyst (Risk),1 day ago,"Funding Societies | Modalku is the largest SME digital financing platform in Southeast Asia. We are licensed in Singapore, Indonesia, Thailand, and registered in Malaysia. We are backed by Sequoia India and Softbank Ventures Asia Corp amongst many others and provides business financing to small and medium-sized enterprises (SMEs), which is crowdfunded by individual and institutional investors. And here at Funding Societies | Modalku we live by our core values:
Serve with Obsession: Build win-win relationships for the long-term by having a customer obsession.
Grow Relentlessly: Strive to become our best, most authentic selves.
Enable Teamwork, Disable Politics: Only by forging togetherness, we help each other succeed.
Test Measure Act: Stay curious and reinvent ourselves, through innovation and experimentation.
Focus on Impact: Create impact through bias for action and tangible results.
As a Senior Data Analyst (Risk), you will be at the intersection of our Business and Data in Funding Societies, working primarily with our Risk and Credit teams. 
 We are looking for a candidate with a strong sense of ownership, a deep appreciation of data and fundamental understanding of end-to-end analytics functions. As long as you are adding value to the business, you are your own boss. The way we work doesn't suit everyone. But if you are humble, love autonomy and enjoy life changing professional challenges, we could be perfect for each other. 
What you will do:
Collaborate with cross-functional and cross-regional stakeholders to understand business drivers, formulate and complete end-to-end analytics solution.
Design, develop and maintain self-service reports, dashboards and analysis on interactive BI tools for easier data visualization 
Contribute in collection, processing and modelling of financial data using SQL from complex databases to integrate into data warehouse that can be used for reporting/analysis and to give recommendations and drive decision making 
Deliver effective presentations of findings and recommendations to different audiences, creating visual displays of quantitative information that drives financial decisions in the business 
Find innovative and creative ways to obtain and drill insights from new financial data 


Requirements

What we are looking for: 
Minimum 3 years experience in credit risk / risk management / data analytics.
Passionate in analysing and interpreting data patterns to drive business decisions, understanding Data Warehousing and ETL would be a plus!
Highly proficient in SQL / Python and business intelligence tools (e.g. Tableau, Sisense, PowerBI).
Excellent communication, project management, and stakeholder management skills in order to collaborate confidently with decision makers across different regions and departments.
CFA / FRM / Chartered Banker would be an added advantage.


Benefits

Time off - We would love you to take time off to rest and rejuvenate. We offer flexible paid vacations as well as many other observed holidays by country. We also like to have our people take a day off for special days like birthdays and work anniversaries. 
Flexible Working - We believe in giving back the control of work & life to our people. We trust our people and love to provide the space to accommodate each and everyone's working style and personal life. 
Medical Benefits - We offer health insurance coverage for our employees and dependents. Our people focus on our mission knowing we have their back for their loved ones too. 
Mental Health and Wellness - We understand that our team productivity is directly linked to our mental and physical health. Hence we have Wellness Wednesdays and we engage partners to provide well-being coaching. And we have our Great FSMK Workout sessions too to keep everyone healthy and fit!
Tech Support - We provide a company laptop for our employees and the best possible support for the right equipment/tools to enable high productivity","Analytics, Communication, Credit Risk Management, Dashboards, Data Analytics, Data Science, Data Visualization, Databases, Risk Management, and Visualization",https://media.licdn.com/dms/image/v2/C560BAQG3BclLh_fccA/company-logo_100_100/company-logo_100_100/0/1630602163074/funding_societies_modalku_logo?e=1732147200&v=beta&t=AS-L5SOXCe4GG5QtOgGaOltYdUS-L5R0nnNQezfe100,Hybrid,Jakarta Metropolitan Area
PT Siaga Abdi Utama,Data Analyst,1 week ago,"Job Description: We are seeking a motivated and detail-oriented Data Analyst Intern to join our Clients team, the biggest BUMN Bank in Indonesia. In this role, you will work closely with our data analytics team to analyze and interpret complex data sets, helping to inform strategic business decisions. This internship is an excellent opportunity to gain real-world experience, develop your analytical skills, and learn from experienced professionals.

Key Responsibilities:
Assist in collecting, processing, and analyzing large data sets using various tools and techniques.
Support the creation of data visualizations, dashboards, and reports to communicate insights effectively.
Collaborate with team members to identify trends, patterns, and opportunities for improvement.
Conduct research to support data-driven decision-making processes.
Help maintain and update data systems and databases to ensure data integrity.
Participate in team meetings and contribute to brainstorming sessions.
Interact with business owners, communicate with C-levels

Qualifications:
Currently pursuing a degree in Data Science, Statistics, Computer Science, Economics, or a related field.
Strong analytical skills and a passion for working with data.
Proficiency in Excel; experience with SQL, Python, R, or other data analysis tools is a plus.
Familiarity with data visualization tools such as Tableau, Power BI, or similar.
Excellent attention to detail and problem-solving abilities.
Strong communication skills and the ability to work collaboratively in a team environment.
Eagerness to learn and adapt in a fast-paced setting.

What We Offer:
Hands-on experience working with real-world data and business challenges.
Mentorship and guidance from experienced professionals.
Flexible work hours to accommodate your academic schedule.
Networking opportunities within the company and the industry.","Analytical Skills, Communication, Data Analysis, High Level Of Accuracy, Microsoft Excel, MySQL, Python (Programming Language), SQL, and Tableau",https://media.licdn.com/dms/image/v2/D560BAQH7RLc8XGhmVQ/company-logo_100_100/company-logo_100_100/0/1694995853228/siaga_abdi_utama_logo?e=1732147200&v=beta&t=MCrwY8K4W9yYjgKEg8C3g1X4ybG4M_nH1uRyEtFYQC0,On-site,"Jakarta, Indonesia"
Traveloka,Senior Data Analyst (Marketing Analytics),Reposted 2 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Collect, analyze, and share data to help business teams drive improvement in key business metrics, customer experience, and business results.
Analyze large amounts of raw information to find patterns that will help improve the company’s performance and support the company to make better decisions.
Analysis data to find actionable insights such as making funnel conversion analysis, cohort analysis, long-term trends, user segmentation, etc.
Quantitative and/or qualitative analysis to enable data-driven decision-making support for the key project and develop advance analytics models to solve business needs
Identify the business need and generate hypothesis based on business need to design & run experiments
Create dashboards and data pipelines to monitor metrics to measure business performance



Requirements

3+ years of Data analytics experience with big data exposure and SQL
Experience using one or more Python and/or R programming languages 
Experience with statistical analysis and data mining
Experience with AB tests is a plus
Experience in BigQuery, Tableau & dbt 
Knowledge of performance marketing domain will be an advantage



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytics, Big Data, Data Analytics, Data Mining, Data Science, Google BigQuery, Pattern Recognition, R (Programming Language), SQL, and Statistical Analysis",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1732147200&v=beta&t=Dt6_D1JgJU6k4fR8rUduk1VWiebZALH8ZLfzMIAUuG8,On-site,Jakarta Metropolitan Area
Traveloka,Accommodation Data Analyst,Reposted 1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Become thinking partner to Accommodation stakeholder. Design, perform, and disseminate descriptive or diagnostic analyses with valuable findings and actionable insights to better understand the current business performance and/or potentials
Design, test, and collaborate with relevant parties (e.g Product Eng., Data Eng.) to enable, extract, or enrich data/data pipeline. Develop ETL pipelines within a robust framework that is highly automated and re-usable for different use-cases.
Develop dashboards not just for monitoring, but to produce actionable insights that decision makers can use to conduct data exploration, or derive quick insights.
Work with the business to answer tactical questions, often via our experiments platform, that will affect the development of product features.
Work with the business to answer strategic questions that will affect the long-term goals of the business.

Our techstack: BigQuery, dbt, Python, Github, Google Looker Studio, Tableau



Requirements

Passionate in data, analysis, or insights with high curiosity and skepticism.
Good communication, presentation, and storytelling skills to deliver data-inspired findings.
Comfortable working with open-ended questions and potentially ambiguous problem statements
1+ years of data role experience (analyst, scientist, or engineer).
1+ years of hands-on experience with SQL, spreadsheet, and R/Python.
1+ years of dashboarding experience with BI or dataviz tools (Tableau, Looker Studio, Domo etc.).
Prior experience in conducting statistical experimentation or A/B testing is a plus.
Prior experience in working on cloud platforms (GCP, AWS, Azure, etc.) is a plus.
Bachelor/Master’s degree majoring in Statistics, Mathematics, Physics, Computers/Informatics, Engineering, or Economics is a plus.



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Business Insights, Communication, Data Analytics, Domo, Presentations, Python (Programming Language), R (Programming Language), SQL, Spreadsheets, and Storytelling",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1732147200&v=beta&t=Dt6_D1JgJU6k4fR8rUduk1VWiebZALH8ZLfzMIAUuG8,On-site,Jakarta Metropolitan Area
Traveloka,Data Analyst,3 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Understand our payment journey from booking until paid
Strong business sense on how partnership can boost a company's financial
Develop dashboards not just for monitoring, but to produce actionable insights that decision-makers can use to steer the business.
Work with other product and data teams to provide data context for cross-functional initiatives. 
Work with the business to answer tactical questions that will affect the development of product features. 
Develop ETL pipelines within a robust framework that is highly automated and does not require a large team to maintain and monitor
Enable our key stakeholders to improve their understanding and analytical power
Experimentation with our partnership tool (e.g. coupon) to achieve optimum revenue.



Requirements

4+ Years of working experience with at least a Bachelor's degree in a quantitative field. 
You must be curious and hungry to learn, take ownership of your journey, have a bias for action and be impact-oriented. 
Strong foundations in data manipulation and inferential statistics with Python and SQL.
You are being meticulous towards details, and have empathy for your stakeholders and peers. 
Strong in communications with both non-technical and technical audiences. 
Comfortable working with open-ended questions and potentially ambiguous problem statements.
Existing business domain knowledge in partnership and promotion is preferred but not required



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Communication, Data Analytics, Data Manipulation, Data Modeling, Data Visualization, Databases, Problem Solving, Statistical Inference, and Statistics",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1732147200&v=beta&t=Dt6_D1JgJU6k4fR8rUduk1VWiebZALH8ZLfzMIAUuG8,On-site,Jakarta Metropolitan Area
"AEON INDONESIA, PT",Data Operation Analyst (Retail) Asisstant Manager,2 weeks ago,"Responsibilities

Role Description

Generating and providing operational data report which company needs to analyze it business.
Developing data analysis and generate useful data report related to operational needs.
Work collaboratively with others to achieve goals, reduce costs, get maximum operational profit and to ensure that work is completed safely, accurately, and on time.
Use data to create models that show trends in the customer base.
Work with departmental managers to outline the specific data needs for each business that they need to analyze their department progress and growth.
Ensures all reporting is seen as a relevant and useful resource for users, as well as periodic reviews with key members business functions.
Understand how to translate customer requests into data requirements and technical specifications.
Develop, run and distribute KPIs and reports on a daily, weekly, monthly, and ad hoc basis that measure the profitability of the business. Ensure reports are accurate, timely, relevant, and actionable.

Requirements

Qualifications

Bachelor's degree in a related field (e.g. Business, Finance, Accounting)
Proven work experience as a data analyst, financial analyst or similar role at least 2 years as managerial level experience.
Prior experience in retail industry operations or financial analyst is plus
Knowledge of Accounting principles
Experience lead, train and develop a team.
Proficient in Microsoft Excel, SQL, familiarity with business intelligence tools (Power BI etc).
Strong analytical skills with the ability to interpret complex data sets and generate actionable insights.
Strong attention to detail and accurate.
Excellent problem-solving and leadership skill.
Have good communication skills (both written and oral)
Fluent in English","Accounting Standards, Analytical Skills, Attention to Detail, Communication, Data Analysis, Data Analytics, Finance, Financial Analysis, Problem Solving, and Technical Specs",https://media.licdn.com/dms/image/v2/C4E0BAQEqU6N52YTFfA/company-logo_100_100/company-logo_100_100/0/1631316994036?e=1732147200&v=beta&t=gNXrAR4BEev-0Aq5AK9P-9piv9y24M20mABZxmtMCQQ,On-site,"Kota Tangerang Selatan, Banten, Indonesia"
