Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
SoftwareOne,Cloud Enterprise Architect,6 days ago,"Role Description :
 Develop Enterprise Cloud solutions, lead delivery teams in customer workshop, coordinate with multiple partners in client hierarchy to engage, understand and articulate requirements to create solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure and platform solutions.
As a cloud architect, you will engage with clients to define and design the cloud technology architecture and solution architecture. You will also define application and IT Architecture focusing on the mapping of Business requirement’s to IT Capabilities and align the same.

The focus is to define the integrations between, Applications, Data and Technology in the Enterprise and the Transitional Process vital for migration and modernizing to cloud based architecture that includes APIs, microservices and containers.

You will keep yourself updated with the latest technology trends and architectural styles and suggests demonstrating of modern digital technologies to cater to business needs. Recognized as an Expert In their technology and architecture field. You will guide cloud objectives and technologies.
Job Requirements 
 Key Responsibilities :
 Define end to end Enterprise and Cloud based Architecture catering to client needs and requirements Analyse Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and risks to propose cloud roadmap, solution architecture and associated TCO Develop and implement cloud architecture solutions based on AWS, Azure, GCP or IBM Cloud when assigned to work on delivery projects. Analyse client requirements, propose for overall Application modernization, migrations and green field implementations Experience in implementing and deploying a DevOps based, end to end cloud application Lead teams for a discovery and architecture workshop, influence client architects, and IT personnel Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements. Deliver an optimized infrastructure services design demonstrating public, private, and hybrid Cloud architectures and services Act as subject matter and implementation authority for the client as related to technical architecture and implementation of proposed solution using Cloud Services Implement Solution using Azure Cloud Services, open source and other 3rd party technologies Create and develop process frameworks, documents, SOP’s, cook book, automation scripts/tools for Cloud Discovery, Migrations, Application modernization, DevSecOps and Services transitions to cloud Experienced in developing Terraform/PowerShell/Cloud Formation/ARM scripts/templates Lead internal and external initiative to standardize, automate and develop driven assets and accelerators
Technical Experience :
Knowledge on crafting IaaS and PaaS cloud solutions in Azure Platform that meet customer needs for scalability, reliability and performance Experienced in delivering large/medium scale enterprise solution using Microservices, APIs, Containerization, Kubernetes, App modernization, Cloud IaaS & PaaS Understanding of WAN, LAN, TCP/IP, VPN, Virtual Networking, Subnet, Routing, Storage account/management and Infrastructure as a Service Experience in crafting systems logical view, network diagram and able to build automated solution for server build, resource supervising Knowledge and experience in delivering solution using middle ware integration technologies using SOA, ESB, API platforms, API Security Experience in design, development and architecture of Java/JEE/.NET based system Have ability to assess multiple types of operating systems (AIX, Linux, Windows etc) and database (Postgres, Sybase, MySQL, MS SQL, NoSQL, DB2, Oracle, Cassandra and MongoDB) to develop transformation approaches and solutions Worked on Cloud Administration tasks :Crafting resource group, storage account, etc
  Professional Attributes : 
Strategic problem solver, have ability grasp new technologies, innovate, develop and further new solutions Experience in driving consulting workshops, crafting content of workshops in short deadlines to C-levels Demonstrate thought leadership, build good impacts in engagements, handle time and demonstrate flexibility by adapting to situations An ability to follow processes Strong documentation skill Good interpersonal skills both written and verbal with the client
Certifications
 - TOGAF, ITIL, Azure Solution Architect Associate & Guide/AWS Solution Architect Associate & Professional /GCP Professional
 Company description 
Hear firsthand from SoftwareOne APAC leaders as they unveil our exciting business and growth plan, spill the beans on our hiring initiatives, and reveal why joining SoftwareOne is an innovator. Join us now and be part of our incredible journey.
 ","Adobe InDesign, Architecture, Client Requirements, Enterprise Service Bus (ESB) Architecture, Infrastructure as a Service (IaaS), Interpersonal Communication, Modernization, Service-Oriented Architecture (SOA), TOGAF, and Technology Architecture",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1732147200&v=beta&t=ocK6gIMqgVeKnp19lzSGiw7FeHwr5iMc-rHJ0iGYINI,On-site,Jakarta Metropolitan Area
VLink Inc,iOS Developer,6 days ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1732147200&v=beta&t=DtLqK14PD7X-V3vTGb7CYEIs614nzc0h9SpBsiYK-OQ,Hybrid,"Jakarta, Indonesia"
Airwallex,"Senior Fullstack Engineer, Lending",1 week ago,"About Airwallex

Airwallex is the only unified payments and financial platform for global businesses. Powered by our unique combination of proprietary infrastructure and software, we empower over 100,000 businesses worldwide – including Brex, Rippling, Navan, Qantas, SHEIN and many more – with fully integrated solutions to manage everything from business accounts, payments, spend management and treasury, to embedded finance at a global scale.

Proudly founded in Melbourne, we have a team of over 1,500 of the brightest and most innovative people in tech located across more than 20 offices across the globe. Valued at US$5.6 billion and backed by world-leading investors including Sequoia, Lone Pine, Greenoaks, DST Global, Salesforce Ventures and Mastercard, Airwallex is leading the charge in building the global payments and financial platform of the future. If you're ready to do the most ambitious work of your career, join us.

About The Team

Airwallex is establishing a state-of-the-art lending platform and building a suite of related credit products which include customer facing credit cards.

The Senior Fullstack Engineer is a high-impact, high-ownership role working on the leading edge of our lending product suite to launch and scale up our capability into new markets. The Lending engineering & product team is based in Singapore and has full global ownership. This role requires close collaboration with the local team to lead the evolution and innovation of our exciting new credit suite.

Join Airwallex and become an integral part of a team that is redefining the boundaries of financial innovation. Airwallex offers a dynamic and inclusive work environment where you can cultivate your knowledge, foster personal growth, and realize your full potential.

What You’ll Do

Your contributions will directly impact the success of our products and make a lasting mark on the industry. Seize this opportunity to join our dynamic team and become a part of our journey to create extraordinary technology that empowers users worldwide!

This role is based in Singapore.

Responsibilities

Lead the design, implementation & delivery across our lending product suite initially focused on launching and scaling up our credit cards product into new markets.
Collaborate with a talented team of engineers to conduct architectural reviews, ensuring the highest quality and scalability of our solutions.
Own the technical strategy spanning the evolution of our micro frontend, GraphQL & backend platform services.
Partner with the broader lending team to optimize our processes for productivity & quality.

Who You Are

We're looking for people who meet the minimum qualifications for this role. The preferred qualifications are great to have, but are not mandatory.

Minimum Qualifications

4+ years of experience in modern engineering practices focused on continuous integration and quality engineering.
A passion for building delightful customer-facing products.
Good understanding of modern frontend architecture, React, TypeScript / JavaScript and experience working on high-volume distributed systems.
Strong computer science fundamentals - solid understanding of OOP concepts.
Commitment to producing high-quality, well-tested solutions.
Cloud experience with GCP (preferred) or AWS (EC2, RDS, ELB, CloudFront, etc.) with Docker and Kubernetes.
Familiarity with operational tooling such as Splunk, Grafana, and Prometheus.

Preferred Qualifications

Experience within the financial domain.

#bangkok, #hongkong, #jakarta, #shanghai, #singapore, #sydney, #taipei, #tokyo

Equal opportunity

Airwallex is proud to be an equal opportunity employer. We value diversity and anyone seeking employment at Airwallex is considered based on merit, qualifications, competence and talent. We don’t regard color, religion, race, national origin, sexual orientation, ancestry, citizenship, sex, marital or family status, disability, gender, or any other legally protected status when making our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.

Airwallex does not accept unsolicited resumes from search firms/recruiters. Airwallex will not pay any fees to search firms/recruiters if a candidate is submitted by a search firm/recruiter unless an agreement has been entered into with respect to specific open position(s). Search firms/recruiters submitting resumes to Airwallex on an unsolicited basis shall be deemed to accept this condition, regardless of any other provision to the contrary.","Back-End Web Development, Computer Science, Continuous Integration (CI), Front-End Development, Full-Stack Development, GraphQL, JavaScript, Object-Oriented Programming (OOP), Quality Engineering, and TypeScript",https://media.licdn.com/dms/image/v2/C560BAQE0x1xIVWaQgw/company-logo_100_100/company-logo_100_100/0/1630593999400/airwallex_logo?e=1732147200&v=beta&t=SY0x-yoDhmVb45T-80txfCqjmD26a96yj2AUop-eVjc,Hybrid,"Jakarta, Jakarta, Indonesia"
HTC Global Services,Cloud Migration Developer,Reposted 3 days ago,"About The Role

We are seeking a Cloud Migration Developer with a minimum of 2 years of experience in C# .NET programming for both backend and frontend development.

Requirements

Strong understanding of containerization concepts and technologies.
Proficiency in Linux administration, with skills in scripting and automation such as Bash, Python, or Ansible.
Expertise in MS SQL Server and PostgreSQL.
Experience with Crystal Reports and SSRS (RDL); SSIS experience is a plus.
Familiarity with Docker and Kubernetes.
Knowledge of OpenShift-specific tools.
Additional knowledge in Java (or other programming languages) is a plus.
Red Hat Certified Specialist in OpenShift Application Development is a valuable addition.
Certification as a Kubernetes Administrator or AWS Cloud is a bonus.",".NET Framework, Back-End Web Development, C (Programming Language), C#, and Cloud Migration",https://media.licdn.com/dms/image/v2/D560BAQEE7FgfgdZdkA/company-logo_100_100/company-logo_100_100/0/1690544919186/htc_global_services_logo?e=1732147200&v=beta&t=l16g1MVnFUJHyRaqE1PIgu2W1hvXoapZ55A0cTo4Fjo,On-site,Jakarta Metropolitan Area
Paper.id,Senior DevOps Engineer,3 weeks ago,"What will you do:
Tune and configures servers and containers appropriately as needed
Build tools to reduce the occurrences of errors and improve customer experience
Develop software to integrate with internal back-end systems
Perform root cause analysis for production errors
Investigate and resolve technical issues
Develop scripts to automate visualization
Design procedures for system troubleshooting and maintenance
Implement, test and operate advanced software security techniques in compliance with a technical reference architecture
Perform on-going security testing and code review to improve software security
Provide engineering designs for new software solutions to help mitigate security vulnerabilities
Contribute to all levels of the architecture
Maintain technical documentation
Consult team members on secure coding practices
Develop a familiarity with new tools and best practices


What are we looking:
Bachelor's Degree in Computer Science, Engineering or relevant field
Work experience as a DevOps or Infrastructure Engineer/Security Engineer or similar software engineering roles
Detailed technical knowledge of techniques, standards and state-of-the-art capabilities for authentication and authorization, applied cryptography, security vulnerabilities, and remediation
Good knowledge of Ruby, Python, .NET and other bash scripting language
Working knowledge of databases and SQL, especially their production level tuning and configs
Familiarity with Docker, Kubernetes, CI/CD, and other DevOps technology is required
Adequate knowledge of web-related technologies (Web Applications, Web Services and Service-Oriented Architectures) and of network/web related protocols
Understanding of Load balancing and Async Queue is a plus
Interest in all aspects of security research and development
Familiarity with Monitoring Tools, such as APM is required
Willing to work at Sunter Agung, Jakarta Utara","Bash, Databases, Kubernetes, Python (Programming Language), Root Cause, Root Cause Analysis, Ruby, SQL, Scripting, and Technical Documentation",https://media.licdn.com/dms/image/v2/C560BAQGf5KdnfguwrA/company-logo_100_100/company-logo_100_100/0/1661934250329/paper_id_logo?e=1732147200&v=beta&t=Gfw_JbR_3YG7pMZrcyxX_Ev2s3kgfk__W8CLH5-ew8U,Hybrid,"Jakarta, Indonesia"
Bitwyre,Quantitative Developer,2 weeks ago,"Company Description
We focus on stablecoin on/offramps for emerging markets.

Role Description
This is a full-time on-site role for a Quantitative Developer at Bitwyre in Jakarta Metropolitan Area. The Quantitative Developer will be responsible for tasks in the crypto options desk.

Qualifications
Have experience in large data analysis with Python (Pytorch)
Quantitative Analytics and Quantitative Finance skills
Mathematics and Statistics skills
Strong programming skills in languages such as Python
Strong C++ programming skills
Experience with financial modeling and data analysis
Ability to work in a fast-paced environment and collaborate with a team
Master's degree in a quantitative field like Mathematics, Statistics, Finance, or related areas
Must understand greek computation
Understanding fast greek computation is a plus","C++, Computation, Data Analysis, Data Analytics, Financial Modeling, Greek, Mathematics, Programming, Quantitative Analytics, and Quantitative Finance",https://media.licdn.com/dms/image/v2/D560BAQEcZFbpqVxlbA/company-logo_100_100/company-logo_100_100/0/1723697608525/bitwyre_logo?e=1732147200&v=beta&t=LI2Sd3XK22gC-mN7lMP44DjEr1DiAxDJYp436B3tL1c,On-site,Jakarta Metropolitan Area
EY,Azure Cloud & AI Senior Consultant,1 week ago,"About EY

EY, a global leader operating in more than 150 countries delivers unparalleled service in Consulting and assists clients to transform and upskill their capabilities.

We serve our clients to build a better working world, helping them to create long-term value for people and society and build trust in the capital markets. That starts with a culture that believes in giving you the training, opportunities, and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we work towards our ambition to be the best employer.

EY advises clients to understand, architect, select and implement bleeding-edge solutions required to efficiently run their businesses, with a focus on Digital and Cloud. These service areas span E-commerce, Solution Architecture, Mobile Applications, Digital Platform Architecture, Digital Technology Strategy, and Digital IT Operations.

The exceptional EY experience. It’s yours to build.

Your key responsibilities: 

Provide technical expertise and guidance in Azure and Azure AI to team members.
Lead and manage complex Azure and AI projects.
Troubleshoot and resolve technical issues.
Ensure quality and timely deliverables.
Collaborate with cross-functional teams to develop solutions.
Mentor junior team members and promote knowledge sharing.
Maintain ethical standards and open communication.

Requirements: 

Bachelor/Master's degree in Computer Science or related field.
5+ years of experience in a technical role with Azure and AI.
Certification in Azure Solutions Architect.
Experience in DevOps and CI/CD pipelines.
Strong problem-solving and analytical skills.
Excellent communication and teamwork abilities,
Proficiency in Azure and AI technologies and tools.
Strong ethical standards, collaboration skills, innovative thinking, and open-mindedness.

What We Look For 

We’re interested in passionate individuals with a strong vision and a desire to stay on top of trends. If you have a genuine passion for helping businesses achieve their full potential, then these role(s) are for you. 

What We Offer

Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next
Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, on your way
Transformative leadership: We’ll give you the insights, coaching, and confidence to be the leader the world needs
Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs

If you can demonstrate that you meet the criteria above, please contact us as soon as possible.

EY is an equal opportunity, affirmative action employer providing equal employment opportunities to applicants and employees without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, by applicable law.

EY is committed to providing reasonable accommodation to individuals with special needs. If you are a qualified individual with special needs and need assistance applying online or need to request an accommodation during the interview process, please speak to our HR executives, and we will be happy to help you.","Analytical Skills, Artificial Intelligence (AI), Communication, Computer Science, Data Science, Knowledge Sharing, Microsoft Azure, Natural Language Processing (NLP), Open-Mindedness, and Problem Solving",https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1732147200&v=beta&t=LBsgvhfx2deZl0t7b3XSb5hZkfU4n-CKQR0yi4hLsjc,On-site,"Gambir, Jakarta, Indonesia"
Astra Financial,Data Engineer,1 day ago,"Job Description
Build solutions in big data and data management yvith ETL tools 
Monitoring existing Job in ETL Tools and Cron
Collaborate with Stakeholder to understand business requirement, data, and optimize data pipeline performance

Minimum Qualifications
Experience in work/project related to Data Engineering at least 1 year. 
Experience in big data technology (Hadoop, Spark, Apache, etc) 
Experience with Informatica or other tools related data integration tools 
Experience with SQL and NOSQL databases","Big Data, Data Engineering, Data Mining, Databases, ETL Tools, Extract, Transform, Load (ETL), Hadoop, and SQL",https://media.licdn.com/dms/image/v2/C510BAQHKybwLx0wHrg/company-logo_100_100/company-logo_100_100/0/1630613883609/astrafinancial_logo?e=1732147200&v=beta&t=lBPsVJQV3TPVCOd2K6IJcsGIRO_OsROdTuIRExvs-yI,On-site,"Jakarta, Indonesia"
Airwallex,"Senior Backend Engineer, Lending",1 week ago,"About Airwallex

Airwallex is the only unified payments and financial platform for global businesses. Powered by our unique combination of proprietary infrastructure and software, we empower over 100,000 businesses worldwide – including Brex, Rippling, Navan, Qantas, SHEIN and many more – with fully integrated solutions to manage everything from business accounts, payments, spend management and treasury, to embedded finance at a global scale.

Proudly founded in Melbourne, we have a team of over 1,500 of the brightest and most innovative people in tech located across more than 20 offices across the globe. Valued at US$5.6 billion and backed by world-leading investors including Sequoia, Lone Pine, Greenoaks, DST Global, Salesforce Ventures and Mastercard, Airwallex is leading the charge in building the global payments and financial platform of the future. If you're ready to do the most ambitious work of your career, join us.

About The Team

Airwallex is establishing a state-of-the-art lending platform and building a suite of related credit products which include customer facing credit cards.

The Senior Backend Engineer is a high-impact, high-ownership role working on the leading edge of our lending product suite to launch and scale up our embedded finance & credit product capabilities into new markets. The Lending engineering & product team is based in Singapore and has full global ownership. This role requires close collaboration with the local team to lead the evolution and innovation of our exciting new credit suite.

Join Airwallex and become an integral part of a team that is redefining the boundaries of financial innovation. Airwallex offers a dynamic and inclusive work environment where you can cultivate your knowledge, foster personal growth, and realize your full potential

What You’ll Do

Your contributions will directly impact the success of our products and make a lasting mark on the industry. Seize this opportunity to join our dynamic team and become a part of our journey to create extraordinary technology that empowers users worldwide!

This role is based in Singapore.

Responsibilities

Lead the design, implementation & delivery across our lending platform to support the launch and scale up our embedded finance & credit cards products.
Collaborate with a talented team of engineers to conduct architectural reviews, ensuring the highest quality and scalability of our solutions.
Partner with the broader lending team to optimize our processes for productivity & quality.

Who You Are

We're looking for people who meet the minimum qualifications for this role. The preferred qualifications are great to have, but are not mandatory.

Minimum Qualifications

4+ years of experience in modern engineering practices focused on continuous integration and quality engineering.
A commitment to producing high quality and well tested solutions
Strong computer science fundamentals
JVM based programming. While we do not mind what language you have most recently been using, we are using Kotlin
Deep experience working with high throughput / low latency / HA distributed systems
Experience in API design best practices
Solid understanding of OOP concepts.
Cloud experience with GCP (preferred) or AWS (EC2, RDS, ELB, CloudFront, etc.) with Docker and Kubernetes.
Familiarity with operational tooling such as Splunk, Grafana, and Prometheus.

Preferred Qualifications

Experience within the financial domain.

#bangkok, #hongkong, #jakarta, #shanghai, #singapore, #sydney, #taipei, #tokyo

Equal opportunity

Airwallex is proud to be an equal opportunity employer. We value diversity and anyone seeking employment at Airwallex is considered based on merit, qualifications, competence and talent. We don’t regard color, religion, race, national origin, sexual orientation, ancestry, citizenship, sex, marital or family status, disability, gender, or any other legally protected status when making our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.

Airwallex does not accept unsolicited resumes from search firms/recruiters. Airwallex will not pay any fees to search firms/recruiters if a candidate is submitted by a search firm/recruiter unless an agreement has been entered into with respect to specific open position(s). Search firms/recruiters submitting resumes to Airwallex on an unsolicited basis shall be deemed to accept this condition, regardless of any other provision to the contrary.","Application Programming Interfaces (API), Back-End Web Development, Computer Science, Continuous Integration (CI), Kotlin, Object-Oriented Programming (OOP), Quality Engineering, and Software Development",https://media.licdn.com/dms/image/v2/C560BAQE0x1xIVWaQgw/company-logo_100_100/company-logo_100_100/0/1630593999400/airwallex_logo?e=1732147200&v=beta&t=SY0x-yoDhmVb45T-80txfCqjmD26a96yj2AUop-eVjc,Hybrid,"Jakarta, Jakarta, Indonesia"
GDS Holdings Ltd.,BMS Engineer (Data Center),1 week ago,"ABOUT GDS INTERNATIONAL
GDS is a leading developer and operator of high-performance Data Centres in Asia Pacific. Dual listed in NASDAQ and Hong Kong, GDS is the largest carrier-neutral Data Centre service provider in Asia and one of the fastest growing in the world with a presence in Mainland China, Hong Kong, Singapore, Malaysia, Indonesia, and Japan. 

GDS International is on an exciting trajectory, expanding markets internationally and looking for talented individuals who are passionate about growing with us. In this role, you'll have the opportunity to be at the forefront of our expansion efforts.

POSITION OVERVIEW
Reporting to the Critical Services Manager, the Building Management System (BMS) Engineer is responsible for ensuring the efficient operation, maintenance, and optimisation of our data centre facilities' building management systems. 

RESPONSIBILITIES

System Maintenance and Optimisation:
Perform regular maintenance and troubleshooting of BMS hardware and software.
Optimise system performance to ensure energy efficiency and reliability.
Monitor and adjust BMS parameters to maintain optimal environmental conditions.

Data Analysis and Reporting:
Analyse data from the BMS to identify trends, inefficiencies, and potential issues.
Generate detailed reports on system performance, energy usage, and maintenance activities.
Provide actionable insights and recommendations based on data analysis.

Project Management:
Lead BMS upgrade and expansion projects, ensuring minimal disruption to operations.
Coordinate with contractors, vendors, and other stakeholders to ensure project success.
Develop and manage project plans, timelines, and budgets.

Compliance and Safety:
Ensure all BMS operations comply with relevant regulations, standards, and best practices.
Conduct regular audits and inspections to ensure system integrity and safety.
Implement and maintain safety protocols and procedures.

Technical Support and Training:
Provide technical support to operations teams and other stakeholders.
Develop and deliver training programs for staff on BMS operation and maintenance.
Stay updated on the latest BMS technologies and industry trends.

System Integration:
Integrate BMS with other building systems and data centre infrastructure.
Collaborate with IT and facilities teams to ensure seamless integration and interoperability.
Manage and troubleshoot integration issues.

CANDIDATE REQUIREMENTS:
Bachelor’s degree in Electrical Engineering, Mechanical Engineering, or a related field.
Relevant certifications (e.g., BMS, HVAC, PMP) are highly desirable.
Minimum of 3 years of experience in BMS engineering, preferably in a data centre or critical infrastructure environment.
Proven track record of managing BMS operations and projects.
Strong proficiency in BMS software (e.g., Honeywell, Siemens, Schneider Electric).
Excellent analytical and problem-solving skills.
Proficiency in data analysis tools and techniques.
Effective communication and presentation skills.
Ability to manage multiple tasks and projects simultaneously.
Strong organisational and time management skills.
Proficiency in English; knowledge of a local language is a plus.","Analytical Skills, Building Management, Building Management Systems, Communication, Data Analysis, Data Analytics, Presentations, Project Plans, System Maintenance, and System Performance",https://media.licdn.com/dms/image/v2/D560BAQEnmCW7No_aGA/company-logo_100_100/company-logo_100_100/0/1694613858324/gds_holdings_ltd_logo?e=1732147200&v=beta&t=7OuOPtnt_0_2rjJ_ry2MDuiEWpnHRE9JZiJ3g2gbK8s,On-site,"Batam, Riau Islands, Indonesia"
