Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
PT. BANK NEGARA INDONESIA (Persero) Tbk.,Solutions Architect,Reposted 4 weeks ago,"Requirements :

Bachelor's degree in Computer Science, Engineering, or Mathematics
4+ years' of relevant experience
Able to understand banking business processes/business flows
Able to analyze business flow into a series of IT-based solutions
Have knowledge/experience implementing solutions based on SOA, API, Event Streaming, Microservice, File transformation
Have knowledge regarding data bases, caching solutions and replication
Have sufficient knowledge regarding security processes
Advanced knowledge of leading architecture solutions in the industry area
Strong interpersonal and collaboration skills
Ability to demonstrate technical concepts to non-technical audiences","Application Programming Interfaces (API), Business Analytics, Business Process, Microservices, Service-Oriented Architecture (SOA), and Stream Processing",https://media.licdn.com/dms/image/v2/D560BAQGqZzJbCTt-kw/company-logo_100_100/company-logo_100_100/0/1711506407720/pt_bank_negara_indonesia_persero_tbk_logo?e=1732147200&v=beta&t=QhCG-Dc_zyYzk8Lm_bShq4nvZq5M_rbzEhvkSOqFsEo,On-site,"Jakarta, Indonesia"
IBM,SAP MM Consultant,Reposted 1 week ago,"Introduction

As a Package Consultant at IBM, get ready to tackle numerous mission-critical company directives. Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using various tools. You will use a mix of consultative skills, business knowledge, and technical expertise to effectively integrate packaged technology into our clients' business environment and achieve business results.

Your Role and Responsibilities

As a Consultant you will serve as a client-facing practitioner who will sells, leads and implements expert services utilizing the breadth of IBM's offerings and technologies. A successful consultant is regarded by clients as a trusted business advisor who collaborates to provide innovative solutions used to solve the most challenging business problems.

Your Primary Responsibilities Include


Lead the technical design and implementation of SAP solutions for simplicity, amplification, and maintainability.
Work from strategy development to solution implementation using your knowledge of SAP and working with the latest technologies.
Partner with a cross-functional global team to ensure customer success in an agile environment.


Required Technical and Professional Expertise


At least 5 years of experience in the area of SAP HANA MM and associated modules.
Has experience managing end-to-end full cycle implementations (from blue printing, realization, go live to production support) of S/4HANA Greenfield / Migration projects in complex landscape will be preferable.


Preferred Technical And Professional Expertise

As above.

About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","ABAP, Master Data, SAP FI, SAP HANA, SAP PP, SAP Products, SAP Sales & Distribution, SAP Solutions, Statutory Accounting Principles (SAP), and Technical Design",https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1732147200&v=beta&t=9CfVQaaHBmQkb0Tp6qxvk6ggG68effyESrAObRpNhtY,On-site,Jakarta Metropolitan Area
Ollion,Senior Solution Architect,Reposted 3 weeks ago,"Company Description

OUR STORY

Let’s be honest: there are lots of people out there doing what we do. We’re just not convinced they’re doing it right. Businesses are hungry for innovation and opportunity, but not at the cost of their independence. At Ollion, we’ve connected companies and capabilities around the world to help ambitious organizations make the most of their transformation and leave the status quo in the dust.

WORKING AT OLLION

Innovation is risky. It demands bold steps and big questions, but that’s the price of making change. We’ve got our head in the cloud and two feet on the ground, channeling tech’s endless potential towards a single goal: making a world of difference. And we’re building a global team to do just that— a team capable of making game-changing breakthroughs without ever losing sight of the people it will impact. This is more than consulting. This is the change you can be.

THE OLLION DIFFERENCE

At Ollion, we’re all in on your independence. Our teams are seasoned. Our solutions are straightforward—sometimes even groundbreaking. And our engagements? Exactly as long as you want them to be. We deliver fresh thinking and hard-earned insight in a way that works for you and your customers, arming your organization with everything you need to make your transformation truly mean something.

WORKING WITH OLLION (our Clients’ Experiences)

Progress matters more than process. Our global team of cloud-native pros is all about creating new and better ways to work—not just by solving your tech challenges, but by using technology to solve your business challenges. We keep the formulas, frameworks, and ten-point plans to a minimum, tackling your most pressing problems with a proprietary mix of good-old-fashioned ingenuity and refreshing humanity.

DIVERSITY AT OLLION 

One of our cultural keystones, ‘Find the angle’ recognizes that every individual has different aspirations, needs and brings a unique perspective.

We value diversity, inclusion, and equity (DE&I) as core to our success. We believe that a diverse workforce brings together unique perspectives, experiences, and ideas, leading to innovation, creativity, and better outcomes for our clients and our organization. We are on a journey and are committed to building a workplace that celebrates and respects individuals from all backgrounds, including but not limited to race, ethnicity, gender, sexual orientation, age, disability, and cultural heritage.

As our commitment to diversity and inclusion is reflected in our:

Awareness and sensitisation programs: to create awareness and sensitisation. We encourage open dialogue, active listening, and mutual respect, creating a safe and supportive environment for everyone to contribute their unique perspectives and ideas. 
Dedicated efforts to building diverse teams: that leverage the strength of our differences to tackle complex challenges and drive innovation. By embracing diversity, we broaden our collective knowledge, enhance problem-solving capabilities, and unlock limitless potential for our employees.

Job Description

The Senior Solution Architect role at Ollion comprises 4 primary duties:

Pre Sale activities - work with a member of the Solutions Architecture team to lead and oversee designs, pitches, documentation and estimates.
Solution Design - help lead the Solution Architecture team in designing and architecting systems in a cloud native fashion on any of the 3 major providers. Provide review and quality assurance across the team's output.
Collaborate with delivery - work with delivery teams to perform cost optimisation activities, support with pipeline development and answer questions from the team.
Product Shaping - use your experience and that of the team in assisting our clients to realise their goals to help create our next generation of products and services.

Qualifications

12+ years hands on experience in Cloud technology, Development or Network Administration.
Previous experience as a senior cloud architect, network administrator or DevOps lead
Demonstrable leadership skills in building a CI/CD pipeline using open-source or cloud-native technology 
Demonstrable experience in leading and assuring the estimation of architecture work.
Ability to lead work within the architecture team supporting RFP responses.
Ability to interpret requirements and translate them to the service delivery team to support pilot projects, demonstrations, proofs- of-concept (POC)
Experience with leading migration projects covering No-VM environments to VM on-prem or in cloud environments. 
Exhibit excellent understanding of the managed cloud hosting business concepts (AWS, GCP, Azure), market practices and trends.
Demonstrable skills and expertise with cloud architecture best practices and thought leadership in their practical application.
Experience in leading 5 'R' migrations.
Demonstrated skills and expertise in virtualization techniques , HA (High Availability) and zero downtime solutions. 
Experience in stakeholder management, risk & issue management 
Communications expertise with 3rd parties including cloud partners, development teams and potential clients up to C-Suite level.
Good presentation, analytical and documentation skills 
Good interpersonal style, collaborative, congenial, client-friendly demeanor
Well developed English language skills, oral and written. Bonus points for Bahasa or Mandarin speakers

Additional Information

Benefits & Perks For Working At Ollion

Our employees multiply their potential because they have opportunities to: Create a lasting Impact, Learn and Grow professionally & personally, Experience great Culture, and Be your Whole Self!

Beyond an amazing, collaborative work environment, great people, and inspiring, innovative work, we have some great benefits and perks:

Benchmarked, competitive, in-market total rewards package including (but not limited to): base salary & short-term incentive for all employees
Fully remote-first, small but Global organization; ‘learn wherever, whenever’ frees our people from a rigid view of learning and growth
Retirement planning (i.e. CPF, EPF, company-matched 401(k))
Globally, we build benefit plans that offer choices for whatever stage in life our employees are in and allow for flexibility as life happens. Employees have access to a fully comprehensive benefits package to choose the medical, dental, and vision insurance plan that best fits their lives. In addition to great healthcare coverage, we also offer all employees mental health resources and additional wellness programs.
Generous time off and leave allowances
And more!

Ollion is an equal opportunity employer. We celebrate diversity and we are committed to creating an inclusive environment for all employees. Ollion does not discriminate in employment on the basis of race, color, religion, sex (including pregnancy and gender identity), national origin, political affiliation, sexual orientation, marital status, disability, genetic information, age, membership in an employee organization, parental status, military service, or other non-merit factor.","Architecture, Cloud Computing, Documentation, Issue Management, Pilot Projects, Presentations, Product Demonstration, Service Delivery, Technical Architecture, and Technical Solution Design",https://media.licdn.com/dms/image/v2/D4D0BAQGLCusa28wSTQ/company-logo_100_100/company-logo_100_100/0/1698871635837/ollion_logo?e=1732147200&v=beta&t=yNpI0TXqGLjdVM5o03N_m4iiEh5UkBAVMv_MGKazDK4,On-site,"Jakarta, Jakarta, Indonesia"
Kibarer Property,Senior Architect,1 month ago,"Kibarer Property is seeking a dynamic and experienced Senior Architect to lead our architectural design team. The ideal candidate will manage the architectural design process from conception to completion, ensuring all projects adhere to budget, timeline, and the highest quality standards. This role requires a balance of creative vision, technical expertise, and project management skills.

Responsibilities
- Lead and manage the architectural design process from concept to completion, ensuring adherence to budget, timeline, and quality standards.
- Create visualizations, 3D models, and presentation drawings.
- Prepare detailed CAD working drawings and technical specifications for permit documentation and project tender developments.
- Handle multiple projects simultaneously in an organized way.
- Prepare basic cost estimates and assist with value engineering.
- Collaborate with engineers and contractors, as well as managing external architectural teams.
- Oversee site visits and inspections to ensure construction adheres to design and quality standards.
- Stay updated on industry trends with a focus on sustainability and emerging technologies in architecture and design.
- Provide Site Sketches (SK) and manage Change Orders (CO).
- Responsible for delivery and closing of successful projects.

Requirements
- Residing in Bali
- Fluent written and spoken English and Bahasa Indonesia.
- Creative, proactive, deadline-oriented, open-minded, attention to detail, and result-driven.
- Leadership qualities with a collaborative and team-oriented mindset.
- Computer skills expertise: AutoCAD, SketchUp, Rhino, Adobe Photoshop, and MS Office. Autodesk Revit would be a plus

Education and Experience
- Degree in Architecture
- Proven experience in real estate development operations, project management, and team leadership.
- Experience in managing and mentoring
- Minimum 5+ years of experience in professional architecture practice, independent practice, or as in-house architect for a developer firm.
- A strong portfolio showcasing high-end residential, hospitality, and/or luxury villa projects would be a plus.

Please note: Only applications accompanied by a portfolio will be considered.

We offer a competitive salary, a dynamic working environment, and the opportunity to lead projects that redefine industry standards. If you are ready to take your career to the next level, we would love to hear from you.","Adobe Creative Suite, Adobe Photoshop, AutoCAD, Autodesk 3ds Max, Construction, Enterprise Architecture, IT Integration, Service-Oriented Architecture (SOA), Software Development, and Solution Architecture",https://media.licdn.com/dms/image/v2/C560BAQFgdd-V-vtf3A/company-logo_100_100/company-logo_100_100/0/1630667735207/kibarer_property_logo?e=1732147200&v=beta&t=eFTYttely3tXH7oSTy112fCSBeQn8f7nZAitq0sHvE0,On-site,"Kuta Untara, Bali, Indonesia"
Shopee,Warehouse Team Leader - Denpasar (Contract Based),Reposted 6 days ago,"Job Description

Bertanggung jawab untuk proses inbound, inventory, atau outbound.
Manajemen Inbound yang meliputi: menerima & menyimpan.
Manajemen Outbound yang meliputi: pengambilan dan pengepakan.
Manajemen Inventory yang meliputi: pengisian ulang, kontrol inventaris, penataan ulang, penghitungan siklus, dan konsolidasi inventaris.
Melaksanakan alokasi tenaga kerja berdasarkan perencanaan: forecast (bulanan, mingguan, dan harian).
Koordinasi dengan pihak eksternal (Sourcing, Logistik, 3PL, BD, Opex, HR, GA, HSE, Security, dll).
Memastikan SOP dan WI untuk setiap proses dijalankan dengan baik.
Terlibat aktif dalam inisiatif perbaikan mulai dari identifikasi masalah hingga tahap tindakan.
Memonitor output dan produktivitas harian.

Requirements

Pendidikan min. SMA/SMK
Memiliki pengalaman min. 2 tahun dalam bidang yang sesuai untuk posisi ini.
Mampu menggunakan Google Workspace & Microsoft Office (khususnya Ms. Excel)
Memiliki pengalaman di bidang logistik/supply chain lebih disukai
Bersedia ditempatkan di area Denpasar.","Contract Management, Contract Negotiation, Dari, Manufacturing Process Improvement, Marketing, Procurement, Research Skills, SMA, Team Management, and Training",https://media.licdn.com/dms/image/v2/C560BAQE0iX_dgdH7nA/company-logo_100_100/company-logo_100_100/0/1672279162763/shopee_logo?e=1732147200&v=beta&t=ZDrrKi2hpqYwcA5z3zHO8BXPpwudo0GnPDVnBoKEXR0,On-site,"Jakarta, Indonesia"
Traveloka,Senior Performance Marketing Analyst,Reposted 2 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

> Execute marketing campaigns with highest standard delivery quality, including regularly monitor and optimize campaigns to drive growth

> Coordinate with stakeholders as part of campaigns execution

> Analyze online user behaviors, conversions data, customer journey, market competitors, and develop insights to stakeholders

> Generates regular and ad-hoc reporting and insights that provides and actionable insights for performance marketing team and whole marketing team



Requirements

1 year or more of Performance Marketing experience (experience handling SEM channel would be preferable)
Possess exceptional critical thinking and a willingness to dive into the data, to produce immediate value while still keeping an eye on long-term strategy and scalability
Possess a sharp eye for detail coupled with the ability to see how small details make up the bigger picture
Excellent analytical skills for data-driven decision making, deriving and disseminating actionable insights resulting from such analysis
Good communication skill, self-driven, love challenges, and enthusiasm to pursue excellence
Proficiency in Excel or similar data processing tool
English is mandatory



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Analytics, Business Insights, Campaigns, Communication, Cosmetics, Critical Thinking, Data-driven Decision Making, Market Analysis, and Market Research",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1732147200&v=beta&t=Dt6_D1JgJU6k4fR8rUduk1VWiebZALH8ZLfzMIAUuG8,Hybrid,Jakarta Metropolitan Area
VLink Inc,Business Analyst,1 day ago,"Minimum Qualifications and Experience

At least 2 years of experience in Business / System Analyst work or equivalent
Bachelor's degree preferably in Information Technology or Information System
Has experience in banking/insurance/finance is a must (Have experience in financial services Industry, and good knowledge in IFRS 17 and PSAK24)
Experienced in complex business process analysis & mapping by using various kind of diagram such as Use Case, Flowchart, Sequence Diagram, etc.
Familiar with Unified Modeling Language (UML) & query SQL
Familiar with SDLC, Object Oriented Design Patterns
Having knowledge in business intelligence would be an advantage
The ability to influence stakeholders and work closely with them to determine acceptable solutions
Excellent planning, organizational, and time management skills
Excellent documentation skills
Willing to Work from Office in Jakarta Area

Job Description

Analyzing business structures, systems and processes, as well as reviewing references and other related supporting documents
Responsible for project management in Data Management: a. Planning, Organizing, and Managing Projects b. Ensuring the project runs according to the timeline, coordinating with related teams,
Provide proposed solutions to improve the performance of a business process
Prioritizing initiatives based on business needs and requirements.
Establishing communication and providing support to other work units in order to achieve effective cross-division cooperation
Perform ad-hoc tasks requested by the supervisor
Coordinate internal resources and third parties/vendors for the execution of projects, report and escalate as needed.

PS: 3 months contract available (possibility for extension)","Business Requirements, International Financial Reporting Standards (IFRS), Software Development Life Cycle (SDLC), and Unified Modeling Language (UML)",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1732147200&v=beta&t=DtLqK14PD7X-V3vTGb7CYEIs614nzc0h9SpBsiYK-OQ,On-site,"Jakarta, Indonesia"
Siemens Energy,Performance Controller Professional for FIN TI EAD,Reposted 1 week ago,"A Snapshot of Your Day

You are involved in a variety of activities in supporting the financial planning and analysis, such as:budget and forecast planning, month- and year-end closing activities, and deviation analysis.Additionally, you will drive projects in our team, e.g. around process optimization, simplification & project financial performance improvement. In this role you will be working closely within international controller team specifically with the Asia Pacific region, varied in experience throughout their career.

How You’ll Make An Impact

Supports accountable management in planning and calculating yearly budgets.
Consolidate budgets, including top-down and bottom-up plans, and proceeds with revolving midterm plannings, and periodic forecasts during the year.
Performs comparisons Actual vs. Plan and pursues effects of agreed measures.
Analyzes and evaluates cost structures, and builds, maintains, and improves the depending on cost accounting system.
Provides regular business reports, with respect to overall performance, and recommends actions to accountable management.
Carries out ad-hoc analyses and profitability calculations.
Contributes to conceptual and project work related to controlling.
May perform evaluations of assets and liabilities and manages inventory measures on a regular term.


What You Bring

Sound Degree in Finance/ Economic/ Business/ Accounting field
Proven record of experience with controlling & reporting at least 5 years
Good ability to present and formulate clearly own ideas and proposals for improvements.
Strong personal drive to lead and accelerate the business growth together with smart perception of business needs of the company.
Proficient in spoken and written English.
Good communication skills.
Good/advance skill of Microsoft Excel and or other automated data analytic software/program (i.e Power BI, Macros, VBA, etc).
Have a growth mindset.
A team player to achieve goal.


Who is Siemens Energy?

At Siemens Energy, we are more than just an energy technology company. We meet the growing energy demand across 90+ countries while ensuring our climate is protected. With more than 92,000 dedicated employees, we not only generate electricity for over 16% of the global community, but we’re also using our technology to help protect people and the environment.

Our global team is committed to making sustainable, reliable, and affordable energy a reality by pushing the boundaries of what is possible. We uphold a 150-year legacy of innovation that encourages our search for people who will support our focus on decarbonization, new technologies, and energy transformation.

""Let’s make tomorrow different today"" is our genuine commitment at Siemens Energy to all customers and employees on the way to a sustainable future. In our Business Area Gas Services, we offer a broad portfolio of cutting-edge technologies, services, and solutions for centralized and decentralized energy production. This Control and Digitalization team / functions provide comprehensive solutions for power plant core control system, cybersecurity, and digitization solutions.

Find out how you can make a difference at Siemens Energy: https://www.siemensenergy.com/employeevideo

Our Commitment to Diversity

Lucky for us, we are not all the same. Through diversity we generate power. We run on inclusion and our combined creative energy is fueled by over 130 nationalities. Siemens Energy celebrates character – no matter what ethnic background, gender, age, religion, identity, or disability. We energize society, all of society, and we do not discriminate based on our differences.

https://jobs.siemens-energy.com/jobs","Accounting Software, Communication, Corporate Financial Reporting, Cost Accounting, English, Finance, Financial Performance Improvement, Growth Strategies, Internal Controls, and Personal Drive",https://media.licdn.com/dms/image/v2/D4E0BAQGsBY2SZ9zbfA/company-logo_100_100/company-logo_100_100/0/1719817525302/siemens_energy_logo?e=1732147200&v=beta&t=PyDu0FJyNwrLfG4uMqWmt6HIS81pP2JaVsfNOeuGHJo,Hybrid,"Jakarta, Jakarta, Indonesia"
TikTok,"Shop | Tokopedia - Creator Cooperation Lead, FMCG (Indonesia)",Reposted 2 weeks ago,"Responsibilities

 About Us
TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo. 

Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. 
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. 
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. 
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. 
Join us.

As a Creator Cooperation Lead (FMCG) for the Indonesia market, you will play a pivotal role in shaping the success of our content strategy by fostering and managing relationships with content creators and influencers. You will be responsible for identifying key creators, developing strategic partnerships, and driving impactful content collaborations that enhance our presence and engage our audience. 
In this role you will have close collaboration with key internal stakeholders such as creator managers, campaign specialists, merchandisers, and strategists, you'll take the lead on projects designed to drive tangible results and elevate our overall business impact.

Join us as we drive the future of e-commerce here at TikTok.

Responsibilities:
- Establish Indonesia TikTok e-commerce creators ecosystem evaluation system, including target setting, budget planning, business strategy development, etc.
- Optimize creators evaluation models, build and monitor key indexes based on business focus, and provide data-driven insights to boost overall creators' performance.
- Initiate in-depth business analysis for creators, including multiple solutions for products, traffic, content; and implement solid operational methodology for creators' growth.
- Deeply understand the cooperation mechanism for creators-seller-platform, and assist the operation team to formulate relevant incentive and management strategies with periodic optimization.
- Work closely with cross functional teams (data analytics, user growth, marketing) to drive the planning, coordination and execution of campaigns and activations from community content perspectives. 

Qualifications

 Minimum Qualification
- Bachelor’s Degree or equivalent practical experience.
- 3+ years working experience in eCommerce, digital content, product strategy.
- Exceptional knowledge of TikTok and passionate about internet culture. 
- Familiar with different social apps, platforms and tools.
- Ability to prioritize and solve problems independently. Collaborative and open to changes and challenges.
- Highly organized, proactive project manager: adept at balancing multiple fast-turnaround projects simultaneously.
- Comfortable analyzing data and producing sophisticated strategy and analysis for a variety of audiences; composing research memos and internal presentations to secure internal buy-in for strategic and programming decisions.

Preferred Qualification:
- Excellent interpersonal and negotiation skills, and strong connections with creators and agencies is preferred.
- Strong knowledge and experience of live streaming and social commerce is a plus.
- Quick learner, proactive and resilient. Ability to thrive in ambiguity and adjust fast to change.
- Excellent communication and cross-team collaboration, skilled at moving things forward.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.","Business Insights, Cross-team Collaboration, Digital Content, E-Commerce, Internet Culture, Memos, Presentations, Product Strategy, Strategy, and Team Collaboration",https://media.licdn.com/dms/image/v2/C510BAQGCdThXIss7UQ/company-logo_100_100/company-logo_100_100/0/1630606162248/tiktok_logo?e=1732147200&v=beta&t=sOXTL1CVFCx1ARew9NGwB8z9-2J6MyaT14OT4X94WdA,Full-time,"Jakarta, Jakarta, Indonesia"
Airwallex,"Senior Fullstack Engineer, Lending",1 week ago,"About Airwallex

Airwallex is the only unified payments and financial platform for global businesses. Powered by our unique combination of proprietary infrastructure and software, we empower over 100,000 businesses worldwide – including Brex, Rippling, Navan, Qantas, SHEIN and many more – with fully integrated solutions to manage everything from business accounts, payments, spend management and treasury, to embedded finance at a global scale.

Proudly founded in Melbourne, we have a team of over 1,500 of the brightest and most innovative people in tech located across more than 20 offices across the globe. Valued at US$5.6 billion and backed by world-leading investors including Sequoia, Lone Pine, Greenoaks, DST Global, Salesforce Ventures and Mastercard, Airwallex is leading the charge in building the global payments and financial platform of the future. If you're ready to do the most ambitious work of your career, join us.

About The Team

Airwallex is establishing a state-of-the-art lending platform and building a suite of related credit products which include customer facing credit cards.

The Senior Fullstack Engineer is a high-impact, high-ownership role working on the leading edge of our lending product suite to launch and scale up our capability into new markets. The Lending engineering & product team is based in Singapore and has full global ownership. This role requires close collaboration with the local team to lead the evolution and innovation of our exciting new credit suite.

Join Airwallex and become an integral part of a team that is redefining the boundaries of financial innovation. Airwallex offers a dynamic and inclusive work environment where you can cultivate your knowledge, foster personal growth, and realize your full potential.

What You’ll Do

Your contributions will directly impact the success of our products and make a lasting mark on the industry. Seize this opportunity to join our dynamic team and become a part of our journey to create extraordinary technology that empowers users worldwide!

This role is based in Singapore.

Responsibilities

Lead the design, implementation & delivery across our lending product suite initially focused on launching and scaling up our credit cards product into new markets.
Collaborate with a talented team of engineers to conduct architectural reviews, ensuring the highest quality and scalability of our solutions.
Own the technical strategy spanning the evolution of our micro frontend, GraphQL & backend platform services.
Partner with the broader lending team to optimize our processes for productivity & quality.

Who You Are

We're looking for people who meet the minimum qualifications for this role. The preferred qualifications are great to have, but are not mandatory.

Minimum Qualifications

4+ years of experience in modern engineering practices focused on continuous integration and quality engineering.
A passion for building delightful customer-facing products.
Good understanding of modern frontend architecture, React, TypeScript / JavaScript and experience working on high-volume distributed systems.
Strong computer science fundamentals - solid understanding of OOP concepts.
Commitment to producing high-quality, well-tested solutions.
Cloud experience with GCP (preferred) or AWS (EC2, RDS, ELB, CloudFront, etc.) with Docker and Kubernetes.
Familiarity with operational tooling such as Splunk, Grafana, and Prometheus.

Preferred Qualifications

Experience within the financial domain.

#bangkok, #hongkong, #jakarta, #shanghai, #singapore, #sydney, #taipei, #tokyo

Equal opportunity

Airwallex is proud to be an equal opportunity employer. We value diversity and anyone seeking employment at Airwallex is considered based on merit, qualifications, competence and talent. We don’t regard color, religion, race, national origin, sexual orientation, ancestry, citizenship, sex, marital or family status, disability, gender, or any other legally protected status when making our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.

Airwallex does not accept unsolicited resumes from search firms/recruiters. Airwallex will not pay any fees to search firms/recruiters if a candidate is submitted by a search firm/recruiter unless an agreement has been entered into with respect to specific open position(s). Search firms/recruiters submitting resumes to Airwallex on an unsolicited basis shall be deemed to accept this condition, regardless of any other provision to the contrary.","Back-End Web Development, Computer Science, Continuous Integration (CI), Front-End Development, Full-Stack Development, GraphQL, JavaScript, Object-Oriented Programming (OOP), Quality Engineering, and TypeScript",https://media.licdn.com/dms/image/v2/C560BAQE0x1xIVWaQgw/company-logo_100_100/company-logo_100_100/0/1630593999400/airwallex_logo?e=1732147200&v=beta&t=SY0x-yoDhmVb45T-80txfCqjmD26a96yj2AUop-eVjc,Hybrid,"Jakarta, Jakarta, Indonesia"
