Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
AVSystem,Sales Engineer,1 week ago,"Job description
🌟 Location: Indonesia
🔍 Industry: Technology - Telecommunications/SaaS

🚀 About the Position:
We are seeking a dynamic Sales Engineer to join our team, acting as a key technical resource for our Sales Team. This role focuses on supporting pre-sales and post-sales customer support activities, ensuring technical success by addressing customer and channel partner needs, delivering product training, and managing project execution. The successful candidate will report to the Head of Sales and work closely with our Engineering and Product teams to provide critical feedback for product development.

🔗Key Responsibilities:
Provide expert technical support to direct sales and channel partners, addressing inquiries about our products and solutions. Assist potential customers, end users, and partners through technical evaluations, system presentations, and training.
Lead product demonstrations, deliver impactful technical presentations, and support pre-sales efforts by responding to RFPs and participating in system evaluations.
Deliver comprehensive post-sales engineering support, including project management and professional services. Conduct product trials, training sessions, and onsite customer engagements to ensure the highest level of customer satisfaction.
Offer support via telephone, email, and site visits to network managers and technical staff. Provide after-hours emergency support as needed.
Create and review technical documentation, ensuring accuracy and clarity. Prepare detailed reports and provide valuable feedback to the product development team.
Collaborate effectively both independently and within teams to resolve customer issues, working closely with the Support team and contributing to product development initiatives.
Adapt to a variety of projects in pre-sales and post-sales environments. Ensure timely and satisfactory project delivery, responding to on-demand requirements.

🌱Qualifications:
Bachelor's degree or diploma in computer science, engineering, or a related field.
Strong understanding of TCP/IP networking on Windows and UNIX/Linux platforms. Network administration experience is a plus.
Familiarity with scripting languages (Python, Bash) for rapid prototyping
Exceptional communication skills in English, both written and verbal. 
Proficiency in Mandarin is a bonus.
Willingness to travel up to 30% of the time to support customer and partner engagements.
Enjoy working in a collaborative team environment and possess strong interpersonal skills.
Excellent analytical and problem-solving abilities, with a capacity to work under pressure and meet tight deadlines.
Demonstrate a professional demeanor and phone manner, ensuring a positive and professional customer experience.

💼Additional Skills:
Previous experience in technical support or help desk roles is advantageous.
Ability to manage various projects and adapt to an on-demand work environment, ensuring the successful delivery of pre-sales and post-sales projects.","Customer Support, IP Networking, Internet Protocol Suite (TCP/IP), Networking, Post-Sales, Pre/Post Sales Engineers, Product Demonstration, Python (Programming Language), Sales Engineering, and Technical Support",https://media.licdn.com/dms/image/v2/D4D0BAQGQauet5_J_Cw/company-logo_100_100/company-logo_100_100/0/1698408890543/avsystem_logo?e=1733356800&v=beta&t=wtGMVjkcuZCgOtjhzHjeBQTj16IVZnbEhhexuptlk64,Hybrid,"Jakarta, Indonesia"
PERSOLKELLY,Key Account Management Specialist,3 hours ago,"We expect prospective talents to meet the requirements as below:
Equipping with 3+ years of experience as Key Account Manager
Proven track record of managing local accounts, business development and commercial success in B2B environment
Have experience in pitching and produce new B2B clients
Have experience with import, export, and trading
Willing be based at Tangerang as permanent employee.
Fluency in English is mandatory.

Key responsibilities:
will be responsible for local account management
will be executing on leads from the lead generation roles in marketing
responsible for identifying, managing, exploring international key accounts
build communication with all decision makers
will use their strong understanding of the packaging process to promote industrial packaging products that will address customer needs.
will provide leadership and technical expertise and translate gaps and needs of brand-owners and co-packers into actionable strategies.
will generate new revenue and profit by offering product and service solutions to targeted prospects. will be market / customer facing
will be responsible for executing Business Development strategies.

By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.persolkelly.co.id for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know.
 Follow us for the latest updates and valuable insights:
LinkedIn: https://www.linkedin.com/company/persolkelly/
Instagram: https://www.instagram.com/persolkellyid/","Account Management, Business-to-Business (B2B), Export Operations, Import Operations, Key Accounts, and Trading",https://media.licdn.com/dms/image/v2/C560BAQHmcES-pkTu6g/company-logo_100_100/company-logo_100_100/0/1630660162374/persolkelly_logo?e=1733356800&v=beta&t=yvfEtFVc2qLrfkv-3besfOBwcwUB48tZhtvIks3jo-Y,On-site,"Tangerang, Banten, Indonesia"
Agoda,"Senior Strategic Market Manager, Global Accounts (Korean-speaking) (Bangkok-based, Relocation Provided)",1 week ago,"About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

 Our Purpose –  Bridging the World Through Travel 

We believe travel allows people to enjoy, learn and experience more of the amazing world we live in. It brings individuals and cultures closer together, fostering empathy, understanding and happiness.

We are a skillful, driven and diverse team from across the globe, united by a passion to make an impact. Harnessing our innovative technologies and strong partnerships, we aim to make travel easy and rewarding for everyone.

This position requires native fluency in the Korean language, and Agoda will cover relocation, visa, or work permit costs for the successful candidate. 

 Get to Know our Team: 

Agoda is a travel booking platforms with accommodations at its core. As such, our Key Account team is a key to our success; we work hard to ensure their success. The Key Accounts team invests in long-term relationships that span borders and cultures and result in incredible value for Agoda, our partners, and our customers. We serve as consultants, offering strategic advice on how best to excel on Agoda’s commercial platform. We are direct contributors to what makes Agoda a market leader; we understand accommodation needs and offer innovative solutions. From Bangkok to New York and beyond, the Agoda team has footprints in over 50 locations worldwide. With the help of industry-leading technology, we work and collaborate globally to bring together the best ideas from diverse perspectives. The Key Accounts team invests in long-term relationships that span borders and cultures and result in incredible value for Agoda, our partners, and our customers.

The Opportunity

As the Senior Strategic Market Manager of Global Accounts (Korean-speaking), you will be at the forefront of driving Agoda’s commercial success by managing and cultivating relationships with key global hotel partners. This role is designed for a strategic thinker with strong business acumen, cultural sensitivity, and the ability to operate effectively as an individual contributor. If you excel in building partnerships, navigating complex market dynamics, and delivering impactful results, this role offers a unique opportunity to make a significant impact on a global scale.

In This Role, You’ll Get To:

Understand the drivers for Hotel Chain performance & develop solutions to make a positive impact on growth drivers
Evaluate Hotel Chain partnerships within your portfolio against a set of health metrics, ensure Agoda has access to the best possible products, and optimize performance
Interact regularly with Hotel Chains at the corporate level and articulate the benefits and requirements of commercial, operational, and technical changes
Negotiate with large-scale Hotel Chain partners at senior and executive levels and implement agreements
Work alongside Key Accounts Director & other senior stakeholders to develop products & business development opportunities to over-index growth targets
Share market knowledge & develop best practices, create efficiencies, and help to grow Agoda’s market share
Collaborate across functions to achieve targets and develop strategies to scale for success

What You’ll Need To Succeed:

 7 + years of experience in strategic client-facing roles within the OTA/Travel/Hospitality industry, or relevant tech-based sectors, with a strong understanding of market dynamics. 
Native-level fluency in Korean and strong proficiency in English, with the ability to navigate complex communication across both languages
Proven ability to negotiate agreements with large corporations
Current travel technology familiarity and some hotel systems knowledge preferred (CRS, PMS, GDS, CM, APIs)
Advanced proficiency in Excel & data analytics and using visualization tools (e.g. Tableau, Metabase)
Detail-oriented personality with the ability to solve complex issues
Experience in Management Consulting and/or Project Management is considered as a plus
Ability to work collaboratively across international cultures, languages, functions, geographies without hierarchy
Outcome-focused, goal-driven team leader and team player
Entrepreneurial “get it done” attitude and work ethic – a self-starter
Energetic and driven personality

What Do We Offer

 Hybrid working model (2 in-office days per week) with a 30-day remote-working program 
 Career opportunities regarding moves within teams and global locations as well 
 Modern working environment in the heart of the metropolitan city of Seoul 
 Diverse and dynamic multinational team 
 Competitive salary & overall package 

#melbourne #london #berlin #copenhagen #hongkong #seoul #tokyo #jakarta #manila #kualalumpur #singapore #hanoi #bangkok #LosAngeles #NewYorkCity #Toronto #Vancouver #Sydney #Melbourne #Tokyo #Beijing #Shanghai#London#Atlanta #Auckland #SaoPaulo #Jakarta

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.","Benefits Design, Cultural Sensitivity, Hospitality Industry, Key Accounts, Korean, Market Knowledge, Microsoft Dynamics, Relationship Development, Strategic Thinking, and Strategy",https://media.licdn.com/dms/image/v2/C4D0BAQGBa_7QNZNwpw/company-logo_100_100/company-logo_100_100/0/1656643826660/agoda_logo?e=1733356800&v=beta&t=S1ieRyzqQ6FfOkm9tTFUV-WTEcgmy7cUjcm1lzDATJ0,Full-time,"Jakarta, Jakarta, Indonesia"
ABeam Consulting Indonesia,Hyper Automation Architect,Reposted 5 days ago,"Responsibilities

Propose solutions using Digital tools based on the issue and the requirement to improve business operations.
Propose and advice to create system architecture with Digital tools.
Evaluate the business impact of certain technology choices.
Provide supervision and guidance to the development team and solve any technical problems that arise.
Continuously research current and emerging technologies and suggest changes where necessary.

Qualifications

Bachelor's degree in Finance, Mathematics, Statistics, Computing, IT or related fields. 7 years working experience in IT systems / projects and involved in user requirement analysis, system analysis and system design.
At least 2 years of work experience in a Consulting firm.
Have knowledge and developing experiences of Digital Automation tools such as RPA, AI-OCR, Chatbot and workflow, etc.
Have communication skill to establish client relationship.
Have project experiences of business/system requirement phase.
Have project experiences of system implementation project.
Have experience of managing 3rd party vendor in projects.
Able to work in a fast-paced and deadline-oriented environment.
Strong written and verbal English communication skills including technical writing skills.

About Us

From business process re-engineering to global business expansion for Japanese corporations, we have served our clients through more than 40 years of growth. With our vision of being the No. 1 global consulting firm from Asia, ABeam Consulting helps our clients take on the challenge of business transformation. With 5,900 consultants in Japan, and 2,400 in overseas offices concentrated in Asia, our 8,300 consultants and global alliance partners provide truly comprehensive services.","Business Analytics, Client Requirements, Deadline Oriented, Functional Specifications, and Systems Analysis",https://media.licdn.com/dms/image/v2/D560BAQFOzMayzfm-ig/company-logo_100_100/company-logo_100_100/0/1697431025577/abeamconsultingid_logo?e=1733356800&v=beta&t=B5XiVLhBEsGZzNuD5dS_0kdLN-PnPecFl-lAqNHT6Ns,Full-time,"Jakarta, Jakarta, Indonesia"
Kibarer Property,Senior Architect,1 month ago,"Kibarer Property is seeking a dynamic and experienced Senior Architect to lead our architectural design team. The ideal candidate will manage the architectural design process from conception to completion, ensuring all projects adhere to budget, timeline, and the highest quality standards. This role requires a balance of creative vision, technical expertise, and project management skills.

Responsibilities
- Lead and manage the architectural design process from concept to completion, ensuring adherence to budget, timeline, and quality standards.
- Create visualizations, 3D models, and presentation drawings.
- Prepare detailed CAD working drawings and technical specifications for permit documentation and project tender developments.
- Handle multiple projects simultaneously in an organized way.
- Prepare basic cost estimates and assist with value engineering.
- Collaborate with engineers and contractors, as well as managing external architectural teams.
- Oversee site visits and inspections to ensure construction adheres to design and quality standards.
- Stay updated on industry trends with a focus on sustainability and emerging technologies in architecture and design.
- Provide Site Sketches (SK) and manage Change Orders (CO).
- Responsible for delivery and closing of successful projects.

Requirements
- Residing in Bali
- Fluent written and spoken English and Bahasa Indonesia.
- Creative, proactive, deadline-oriented, open-minded, attention to detail, and result-driven.
- Leadership qualities with a collaborative and team-oriented mindset.
- Computer skills expertise: AutoCAD, SketchUp, Rhino, Adobe Photoshop, and MS Office. Autodesk Revit would be a plus

Education and Experience
- Degree in Architecture
- Proven experience in real estate development operations, project management, and team leadership.
- Experience in managing and mentoring
- Minimum 5+ years of experience in professional architecture practice, independent practice, or as in-house architect for a developer firm.
- A strong portfolio showcasing high-end residential, hospitality, and/or luxury villa projects would be a plus.

Please note: Only applications accompanied by a portfolio will be considered.

We offer a competitive salary, a dynamic working environment, and the opportunity to lead projects that redefine industry standards. If you are ready to take your career to the next level, we would love to hear from you.","Adobe Creative Suite, Adobe Photoshop, AutoCAD, Autodesk 3ds Max, Construction, Enterprise Architecture, IT Integration, Service-Oriented Architecture (SOA), Software Development, and Solution Architecture",https://media.licdn.com/dms/image/v2/C560BAQFgdd-V-vtf3A/company-logo_100_100/company-logo_100_100/0/1630667735207/kibarer_property_logo?e=1733356800&v=beta&t=M_I3j0W1ZOX9Hldib4-AKbrCaHYSjqTJlAzitB-w8iI,On-site,"Kuta Untara, Bali, Indonesia"
FWD Insurance,Group Reporting & Financial Planning Assistant Manager,22 hours ago,"To develop and execute the effective processes for financial reporting and analysis processes for FWD Indonesia.

Key Accountabilites :
-Provide analysis on financial aspects and performance indicators of the business. 
Work with Actuary, Finance and other relevant parties to prepare and update monthly reports and forecasts for the organization, including the compilation of monthly board reports and a comprehensive analysis of the result. 
Reporting and commentary clearly and accurately articulates performance of the business, key value opportunities and threats over the near (1 year) and medium (3 years) terms
Facilitate discussion in management team regarding Company performance review based on monthly achievement and the action plan. 
Develop automated and thorough reporting process and framework for the organization
-Manage the preparation and analysis/review of financial Plan/budget and rolling quarterly & monthly forecasts. 
Liaise with other units within FWD to construct the plan submission. 
Liaise with FWD GO Finance, Emerging Market and Strategy to manage the deliveries and analysis.
-Customer focus. Provide high levels of customer service. Effectively cooperate and deliberate with customers (ad-hoc requestor) and co-workers.
Tackle ad-hoc requests from the BoD and FWD Group pertaining to financial budget, analysis and reporting. 
Communicates clearly and Responsive to customer requests. Delivers on promises and provides updates as appropriate.
Seeks to understand underlying objective of customer requests. 
-Track and analyze business activities. Build analysis of business activities (Commission, sales campaigns and program, etc.) and communicate them to related stakeholders for future enhancement","Accounting, Analytical Skills, Budget Forecasting, Financial Accounting, Microsoft Excel, and Reporting & Analysis",https://media.licdn.com/dms/image/v2/C560BAQE6HTSBQ630nQ/company-logo_100_100/company-logo_100_100/0/1630576080552/fwd_insurance_logo?e=1733356800&v=beta&t=musrzQuUP3urFuTVFrHEMl0tDU8FYWSvoBAWHvvS7MM,On-site,"Jakarta, Indonesia"
Volex,Signal Integrity Engineer,2 weeks ago,"Business overview
Volex is a leading integrated manufacturing specialist for performance critical applications and supplier of power products serving a diverse range of markets and customers, with expertise in cable assemblies, higher-level assemblies, data Centre products, electric vehicles, and consumer electronics.
We employ over 7800 employees across 22 countries and operate 20 manufacturing locations. In our most recent FY we had revenue of $723m spread broadly across the four regions (Americas, Europe, China, and Asia Pacific).

Job Role / Job Overview
The SI Engineer role reports to the Engineering Manager.

Responsibilities
Work on crafting creative Signal Integrity solutions to complex system design problems and validation
Design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications
Analyze customer needs and determine electrical system requirements, capacity, and cost to develop a system plan
Develop maintenance and testing procedures for electronic components and equipment
Evaluate systems and recommend design modifications or equipment repair
Plan and develop applications and modifications for electronic properties used in parts and systems to improve technical performance
Interface with manufacturing and production for board changes, debugging and testing needs
Assist in supporting the daily Engineering Operation in High-speed line

Education & Certifications
Degree in Electrical/Electronic Engineering preferred with at least 3 years experience.
Knowledge and familiarity with electrical/ electronic components, cable / wire harness, etc. would be a plus.

Job Specific Technical Requirements
Familiarity with use of VNA, TDR, DSO, ParBERT and use of applications like JMP, Matlab would be a plus
Fluent in English
Good concentration and initiatives to apply academic knowledge to new tasks in every project undertaken.
Good ability for team work, coordination and cooperation
Resilient, flexible, creative, fast learning aptitude.

Job Specific Personal Requirements
Good concentration and initiatives to apply academic knowledge to new tasks in every project undertaken.
Good ability for team work, coordination and cooperation
Resilient, flexible, creative, fast learning aptitude.

Languages
Fluency in English is essential.
Mandarin or Bahasa Indonesia language skills will be a plus","Electronic Engineering, English, Equipment Repair, JMP, Knowledge Acquisition, MATLAB, Signal Integrity, System Requirements, TDR, and Teamwork",https://media.licdn.com/dms/image/v2/C4D0BAQGcL3X2PFZbDA/company-logo_100_100/company-logo_100_100/0/1630509139971/volex_logo?e=1733356800&v=beta&t=nUAFRqcXX1fRizOkxihGcP5cXskuoPriWBFenxjNAgI,On-site,"Batam, Riau Islands, Indonesia"
ATI Business Group,DevOps & Data Services Lead,3 weeks ago,"Your Main Objective
As the DevOps & Data Services Lead in the IT Division, you will ensure seamless integration, deployment, and management of company data and applications infrastructure. You are expected to combine your technical expertise for the day-to-day operations with a strategic mindset to drive data-driven business decision-making.

Your Main Responsibilities
You will effectively lead a small team of experts to deliver the following capabilities and must able to jump into action as and when required:
DevOps Management: Lead the design, management and implementation of CI/CD pipelines, oversee configuration management, automation and orchestration tools, ensure application deployment reliability, integrate secure DevOps practices with the development team
Database Administration: Lead the maintenance and optimization of database systems, manage database security, backups and recovery while ensuring high availability, data integrity and performance
Business Intelligence: Develop and maintain BI solutions to support data-driven decision-making, oversee the ETL processes, design and implement data visualization
Manage the team to collaborate with cross-functional teams
Stay updated on industry trends and emerging technologies
Ensure compliance with relevant regulations, especially in the areas of data protection

Qualifications
Excellent communication, collaboration skills and fluency in English
Bachelor’s degree in Computer Science, Information Technology, Data Science, or a related field
5+ years overall IT experience, vast majority in data services and devops
3+ years proven experience in a leadership or senior role within DevOps, DBA and BI functions
Strong knowledge of data warehousing concepts and technologies, data integration techniques, ETL processes
Strong technical knowledge of database systems, CI/CD pipelines, and BI tools
Experience with cloud platforms (e.g., AWS, Azure, Google Cloud) and containerization (e.g., Docker, Kubernetes)

Be Part of ATI Journey:
Our aim at ATI Business Group in working with our Clients is to support their continued growth by providing cost-effective technology and talented & scalable people resources on demand. ATI’s singular focus on providing services to the travel and hospitality business communities across the globe has been a remarkably successful one. Since commencing in 2002 we now have over 900 employees providing services to our clients across the globe.","Amazon Web Services (AWS), Business Intelligence (BI), Cloud Storage, Containerization, Data Services, Data Warehousing, Database Security, DevOps, Extract, Transform, Load (ETL), Microsoft Power BI, and PostgreSQL",https://media.licdn.com/dms/image/v2/C560BAQFiYSlyRLOlVQ/company-logo_100_100/company-logo_100_100/0/1630641886048/ati_business_group_logo?e=1733356800&v=beta&t=jZTyix-hGlNFH14lZ7lK5vyrNkXcM5ybZ2SKows_y70,On-site,"Jakarta, Indonesia"
IBM,Package Consultant-SAP HANA Master Data Governance/Data Consultant,1 week ago,"Introduction

As a Package Consultant at IBM, get ready to tackle numerous mission-critical company directives. Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using various tools. You will use a mix of consultative skills, business knowledge, and technical expertise to effectively integrate packaged technology into our clients' business environment and achieve business results.

Your Role and Responsibilities

This is a Fix Term Hire Position.


Designs, develops, supports enterprise level master data solution using SAP Master Data Governance and/or other SAP Master Data Management solutions. 
Expertise with controlling master data flow between SAP and non-SAP applications with predefined data models.
Applies, reuses, and integrates existing business logic and infrastructure to validate & govern data.


Required Technical and Professional Expertise


Technical Knowledge and Experience in working with SAP Data Management Tools like Data Services, Cockpit, MDG, HANA EIM.
Hands on MDG configuration experience, configuration related to customer and core STE processes
Experience in IM Architecture, Data Migrations, Data Profiling and Data quality.Implementation experience of MDG in key domains such as Finance, Customer, Supplier, Material & Business Partners


Preferred Technical And Professional Expertise


Experience in implementation, development or configuration on one or more of the following solutions from Data Management Suite-SAP Data Services / SAP MDG / Migration Cockpit / HANA EIM SDI. Experience to write scripts and complex SQL statements
Experience in Data Migration methodologies, specifically around legacy to SAP migration using solutions like Data Services will be nice to have.
Implementation experience and knowledge in at least two of these areas would be an added advantage
Master Data Management


About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM's greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","Data Architecture, Data Governance, Data Management, Data Migration, Data Profiling, Data Visualization, Master Data, SAP HANA, SAP MDG, and Statutory Accounting Principles (SAP)",https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1733356800&v=beta&t=qi5RHAWZxR59YK5AoZWojdDbXEeeoFLTe74ylwjWdRg,On-site,Jakarta Metropolitan Area
Worldpanel by Kantar,Senior Masterfile Executive (Data Management),1 week ago,"Kantar is the world’s leading data, insights and consulting company. We understand more about how people think, feel, shop, share, vote and view than anyone else. Combining our expertise in human understanding with advanced technologies, Kantar’s 30,000 people based in more than 100 countries help the world’s leading organisations succeed and grow. Nobody knows people better than Kantar. We provide insight and inspiration to help our clients, our people and society to create and flourish in an extraordinary world.

KEY OUTCOMES
We are looking for a Senior Masterfile executive to update and maintain (Database Cleaning) information on our company databases and computer systems and to be more in charge and set up in New Project tools. Also overview and empowering executives and providing guidance to them.

WHAT’D YOU DO:
Daily checking for database cleaning
Part of reporting and closing period task
Part of setting-up new Project’s tools


WHAT’D YOU BRING:
Knowledgeable in Excel
Knowledgeable in SQL and Batch Script.
Knowledge in programming is a plus.
Proficient in English.
Good presentation skills.
Exceptional strategic thinking and problem-solving skills","Databases, Microsoft Excel, and SQL",https://media.licdn.com/dms/image/v2/D4E0BAQEuayPzIgVN4Q/company-logo_100_100/company-logo_100_100/0/1719835952495/worldpanelbykantar_logo?e=1733356800&v=beta&t=w0JDJpvd-YKyT8lbVqi0SqVJU83X9vrbALqp15htyaM,On-site,"Jakarta, Indonesia"
