Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
PT. BANK NEGARA INDONESIA (Persero) Tbk.,Solutions Architect,Reposted 4 weeks ago,"Requirements :

Bachelor's degree in Computer Science, Engineering, or Mathematics
4+ years' of relevant experience
Able to understand banking business processes/business flows
Able to analyze business flow into a series of IT-based solutions
Have knowledge/experience implementing solutions based on SOA, API, Event Streaming, Microservice, File transformation
Have knowledge regarding data bases, caching solutions and replication
Have sufficient knowledge regarding security processes
Advanced knowledge of leading architecture solutions in the industry area
Strong interpersonal and collaboration skills
Ability to demonstrate technical concepts to non-technical audiences","Application Programming Interfaces (API), Business Analytics, Business Process, Microservices, Service-Oriented Architecture (SOA), and Stream Processing",https://media.licdn.com/dms/image/v2/D560BAQGqZzJbCTt-kw/company-logo_100_100/company-logo_100_100/0/1711506407720/pt_bank_negara_indonesia_persero_tbk_logo?e=1732147200&v=beta&t=QhCG-Dc_zyYzk8Lm_bShq4nvZq5M_rbzEhvkSOqFsEo,On-site,"Jakarta, Indonesia"
IBM,SAP MM Consultant,Reposted 1 week ago,"Introduction

As a Package Consultant at IBM, get ready to tackle numerous mission-critical company directives. Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using various tools. You will use a mix of consultative skills, business knowledge, and technical expertise to effectively integrate packaged technology into our clients' business environment and achieve business results.

Your Role and Responsibilities

As a Consultant you will serve as a client-facing practitioner who will sells, leads and implements expert services utilizing the breadth of IBM's offerings and technologies. A successful consultant is regarded by clients as a trusted business advisor who collaborates to provide innovative solutions used to solve the most challenging business problems.

Your Primary Responsibilities Include


Lead the technical design and implementation of SAP solutions for simplicity, amplification, and maintainability.
Work from strategy development to solution implementation using your knowledge of SAP and working with the latest technologies.
Partner with a cross-functional global team to ensure customer success in an agile environment.


Required Technical and Professional Expertise


At least 5 years of experience in the area of SAP HANA MM and associated modules.
Has experience managing end-to-end full cycle implementations (from blue printing, realization, go live to production support) of S/4HANA Greenfield / Migration projects in complex landscape will be preferable.


Preferred Technical And Professional Expertise

As above.

About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","ABAP, Master Data, SAP FI, SAP HANA, SAP PP, SAP Products, SAP Sales & Distribution, SAP Solutions, Statutory Accounting Principles (SAP), and Technical Design",https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1732147200&v=beta&t=9CfVQaaHBmQkb0Tp6qxvk6ggG68effyESrAObRpNhtY,On-site,Jakarta Metropolitan Area
RED Comm Indonesia,PR Lead,18 minutes ago,"Company Description
RED Comm Indonesia is a leading creative and marketing agency in Jakarta, Indonesia. Our team consists of world-class professionals who combine creativity, AI, tech, and data to bring out the best version of brands. Whether it's established brands or emerging ones, we are dedicated to delivering exceptional results.

Role Description
Lead and manage a team of PR professionals to deliver effective public relations strategies and campaigns for clients
Build and maintain strong relationships with media, influencers, and other stakeholders
Develop and implement crisis management plans as needed
Stay up-to-date on industry trends and provide thought leadership to clients and the agency
Oversee the development and execution of budgets and manage financial performance of the PR team
Develop PR strategy for new business leads

Requirements
At least 10 years of experience in PR and managing PR teams
Proven track record of delivering successful PR campaigns for clients
Strong relationships with media, influencers, and other stakeholders
Excellent leadership, project management, and communication skills
Ability to think creatively and stay up-to-date on industry trends and technologies","Campaigns, Communication, Crisis Management, Media Relations, and Public Relations",https://media.licdn.com/dms/image/v2/C560BAQHepyLRNHrrSA/company-logo_100_100/company-logo_100_100/0/1630662270954/red_comm_indonesia_logo?e=1732147200&v=beta&t=_UJugtUU5hHWLOVAhYp6o9x8yzQO4dRGJcECa6O2gDc,Hybrid,"Jakarta, Indonesia"
TabSquare.AI,Quality Assurance Automation Lead,2 weeks ago,"About Tabsquare

TabSquare provides AI-powered technology solutions for the F&B industry. Through TabSquare's solutions, restaurants can efficiently manage orders, process payments, and effectively engage with their customers. TabSquare assists partner restaurants in driving higher sales, streamlining operations, and delivering an enhanced customer experience. TabSquare is a market leader with operations in Singapore, Malaysia, Indonesia, Australia, the Philippines, Taiwan, Thailand, Hong Kong, Sweden, and the UAE. Trusted by thousands of restaurants, TabSquare's clients include well-known F&B brands such as Pizza Hut, KFC, Minor Food Group, Sushi Tei, Paradise Food Group, Japan Foods Holding, Zingrill Holdings, The Coffee Club, Old Town White Coffee, Secret Recipe, and many more.

TabSquare is a wholly owned subsidiary of Delivery Hero, a global leader in the food delivery industry.
For more information, visit http://www.tabsquare.ai

Responsibilities:

Estimate, plan, prioritize and coordinate testing activities for the cross functional QA team.
Review requirements, specifications or design documents to provide timely and meaningful feedback
Create detailed, comprehensive, and well-structured documentations, test plans and test cases.
To perform system testing and end-user testing on our suite of solutions (end to end); comprising web-based applications, mobile apps on both Android and iOS platforms.
Track QA metrics, like defect densities and open defect counts and do updates on daily, weekly and monthly basis. 
Design, develop and execute Automation Scripts using Katalon Studio / Selenium or similar tools.
Support and manage UAT, Sanity, Regression activities in multiple environments.
Monitor, debug and compare the system logs, error using Datadog in multiple environments.
Work closely with the stakeholders, engineering team and also the product team, to ensure the quality/stability of the software releases.
Research on new technologies or market trends, to be able to propose new solutions/features, recommendations or ideas to improve the software solution.
Adopts and improves all required QA Processes, SOP and Ground Rules as needed. 
Mentor, support and work together with a team of 2-5 talented QA Engineers and set the path for their career growth.
Perform other relevant duties as assigned by Head/Managers.

Requirements:

Bachelor's degree in Computer Science / Application or related major.
Minimum 8+ years of hands-on experience in Manual & Automation Testing.
Excellent communication skills and a good command of English.
Self-motivated, detail-oriented, with strong analytical and problem solving skills. Able to work independently with minimum supervision.
Good understanding of the software development, testing & bug life cycle process.
Strong technical experience and ability to automate tests using Java, JS or Python.
Technical experience with API’s, JSON, SQL, HTML and tools like Postman to check & validate test results.
Technical experience with CI/CD tools like Jenkins, Gitlab and Load Test tools like Locust, JMeter.
Candidates with certification in areas of software testing e.g. CSTE, ITSQB will be considered for a Senior Position (QA Lead).
Experience in managing a small team; preferably across a start-up is a plus.

Tools / Technology:

Katalon, Appium, JMeter, Locust, TestRail, Datadog, PostMan, Sequel Pro, Slack, Atlassian.

Have experience in below areas would be an advantage:

Fintech / Mobile payments / m-Commerce
Commerce-based applications such as ERP, Accounting, Point of Sale, e-Commerce, Loyalty & Redemption systems etc.
Experience working in an Agile/Scrum development process.
Experience with security testing is a plus.

What We Offer:

Hyper-growth company in one of the hottest areas of F&B Tech, with unique exposure to driving Fintech and Artificial Intelligence in a vertical.
Chance to work with bright minds from across cultures and countries.
Opportunity to strengthen regional experience working across multiple markets in the region and internationally.
Fast-paced and dynamic work environment with an opportunity to grow rapidly.
A culture that promotes empowerment, autonomy, and new ideas, enabling employees to deliver the best work of their careers.","Agile Methodologies, Design Documents, JMeter, JSON, Katalon Studio, Postman API, Quality Assurance, System Testing, Test Automation, and Test Cases",https://media.licdn.com/dms/image/v2/D560BAQHWePT_Rh0kZA/company-logo_100_100/company-logo_100_100/0/1698053709071/tabsquare_pte_ltd_logo?e=1732147200&v=beta&t=G-qJn0_ZC_3BYIC3czdxK2tkp2svIkwFUowOhR9J0T8,Hybrid,"Jakarta, Indonesia"
Kredit Pintar,Risk Modeling Senior Manager,Reposted 1 week ago,"Job Description

 Manage Risk Modelling activities to optimize portfolio quality, business growth and profitability.
 Perform analytics, risk model development, loss reserves, POC and support scoring management.
 Continuously refine key risk and business factors such as PD, LGD, EL, UE and pricing strategies of each product and segment.
 One of key person representing risk modelling function in internal and external engagement, including with regulator, funding partners, auditors.
 Manage risk related reporting automation and other ad hoc projects.
 Escalate key risk issues to Senior Management to allow timely risk mitigation.

Job Requirements

 Minimum 7 years’ experience in risk analytics / scoring / modelling in unsecured products like personal loan / paylater / credit card.
 Hands-on experience and proficiency in data science programming languages such as SQL, SAS and Python.
 Bachelor’s / Master’s degree from reputable universities, with major in Mathematics, Statistics, Actuary, Computer Science, Information System, IT, Informatics, Engineering or any other similar fields.
 Strong understanding of OJK regulations.
 Fluency in English both in written & verbal.","Credit Cards, Data Science, Loss Given Default (LGD), Personal Loans, Pricing Strategy, Risk Analytics, Risk Management, Risk Modeling, SAS (Software), and Stakeholder Management",https://media.licdn.com/dms/image/v2/C560BAQE9PRRVw7GrNQ/company-logo_100_100/company-logo_100_100/0/1636021601819/kreditpintar_logo?e=1732147200&v=beta&t=PIj9kQeSBNmrOSZvkLio2iDMUF4kkKT4hDv4IVjozqk,Hybrid,"South Jakarta, Jakarta, Indonesia"
VLink Inc,Business Analyst,2 days ago,"Minimum Qualifications and Experience

At least 2 years of experience in Business / System Analyst work or equivalent
Bachelor's degree preferably in Information Technology or Information System
Has experience in banking/insurance/finance is a must (Have experience in financial services Industry, and good knowledge in IFRS 17 and PSAK24)
Experienced in complex business process analysis & mapping by using various kind of diagram such as Use Case, Flowchart, Sequence Diagram, etc.
Familiar with Unified Modeling Language (UML) & query SQL
Familiar with SDLC, Object Oriented Design Patterns
Having knowledge in business intelligence would be an advantage
The ability to influence stakeholders and work closely with them to determine acceptable solutions
Excellent planning, organizational, and time management skills
Excellent documentation skills
Willing to Work from Office in Jakarta Area

Job Description

Analyzing business structures, systems and processes, as well as reviewing references and other related supporting documents
Responsible for project management in Data Management: a. Planning, Organizing, and Managing Projects b. Ensuring the project runs according to the timeline, coordinating with related teams,
Provide proposed solutions to improve the performance of a business process
Prioritizing initiatives based on business needs and requirements.
Establishing communication and providing support to other work units in order to achieve effective cross-division cooperation
Perform ad-hoc tasks requested by the supervisor
Coordinate internal resources and third parties/vendors for the execution of projects, report and escalate as needed.

PS: 3 months contract available (possibility for extension)","Business Requirements, International Financial Reporting Standards (IFRS), Software Development Life Cycle (SDLC), and Unified Modeling Language (UML)",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1732147200&v=beta&t=DtLqK14PD7X-V3vTGb7CYEIs614nzc0h9SpBsiYK-OQ,On-site,"Jakarta, Indonesia"
Adira Finance,Head Information Technology Development,2 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1732147200&v=beta&t=2LbY60w0WzcH2mzU8aeTFk-Ho8LD2FTyfuRTfs6nvdQ,Hybrid,"South Jakarta, Jakarta, Indonesia"
NielsenIQ,Data Processing Specialist,2 weeks ago,"Job Description

The Reference Data Specialist is responsible for instructions of client deliverables, coding and data input validation focusing on specific industry/category or set of categories (e.g. Beverages, Food, Health and Beauty Products). As a Reference Data Specialist at NielsenIQ, you create and deliver client outputs in a correct and timely manner.

Responsible for instructions of client deliverables, coding and data input validation focusing on specific industry/category or set of categories
Does cross coding and item-related quality checks on a daily basis
May act as a back-up to other coders when needed; conduct physical store check to validate item-related information
Keep track/document special instructions related to category assignment
Plan and execute a complex daily personal workload and support to meet departmental and company schedules
Ensure accuracy throughout the process, from validation before database setup to managing samples, and identify areas for improvement
Answer external questions and act as a liaison with everyone from clients to stakeholders; To be able to identify, investigate and coordinate the resolution of data, process, or product related queries
Willing to be trained to be a category expert

Qualifications

Bachelor’s degree in Business Admin / Statistics or any relevant subjects
Fresh graduate or with 1 year – 2 years’ experience in data and operational areas are welcome
FMCG background or experience as an encoder is a plus
Able to work as part of a team in a multicultural environment
Passionate in data. A high degree of accuracy, good analytical skill and logical thinking
High level of accountability and willingness to take ownership
Eager to learn and willingness to grow
Excel is mandatory; One or more of the following would be added advantage : (SQL, R or Python)
Proactively, willing to voice out and share opinion
Excellent written and verbal communication skills in English 

Additional Information

Our Benefits

Flexible working environment
Volunteer time off
LinkedIn Learning
Employee-Assistance-Program (EAP)

About NIQ

NIQ is the world’s leading consumer intelligence company, delivering the most complete understanding of consumer buying behavior and revealing new pathways to growth. In 2023, NIQ combined with GfK, bringing together the two industry leaders with unparalleled global reach. With a holistic retail read and the most comprehensive consumer insights—delivered with advanced analytics through state-of-the-art platforms—NIQ delivers the Full View™. NIQ is an Advent International portfolio company with operations in 100+ markets, covering more than 90% of the world’s population.

For more information, visit NIQ.com

Want to keep up with our latest updates?

Follow us on: LinkedIn | Instagram | Twitter | Facebook

Our commitment to Diversity, Equity, and Inclusion

NIQ is committed to reflecting the diversity of the clients, communities, and markets we measure within our own workforce. We exist to count everyone and are on a mission to systematically embed inclusion and diversity into all aspects of our workforce, measurement, and products. We enthusiastically invite candidates who share that mission to join us. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. Our global non-discrimination policy covers these protected classes in every market in which we do business worldwide. Learn more about how we are driving diversity and inclusion in everything we do by visiting the NIQ News Center: https://nielseniq.com/global/en/news-center/diversity-inclusion","Analytical Skills, Communication, Critical Thinking, Data Entry, Data Processing, Databases, and Oral Communication",https://media.licdn.com/dms/image/v2/D560BAQFYnX3PRbPkfw/company-logo_100_100/company-logo_100_100/0/1718743296595/nielseniq_logo?e=1732147200&v=beta&t=FsA5gCJz0BBIHcnjU0XevLRhcBLGvzTdzGqVm2yS_Lc,On-site,"Jakarta, Indonesia"
IBM,SAP Integration Consultant,5 days ago,"Introduction

As a Package Consultant at IBM, get ready to tackle numerous mission-critical company directives. Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using various tools. You will use a mix of consultative skills, business knowledge, and technical expertise to effectively integrate packaged technology into our clients' business environment and achieve business results.

Your Role and Responsibilities

As a Consultant you will serve as a client-facing practitioner who will sells, leads and implements expert services utilizing the breadth of IBM's offerings and technologies. A successful consultant is regarded by clients as a trusted business advisor who collaborates to provide innovative solutions used to solve the most challenging business problems.

Your Primary Responsibilities Include


Lead the technical design and implementation of SAP solutions for simplicity, amplification, and maintainability.
Work from strategy development to solution implementation using your knowledge of SAP and working with the latest technologies.
Partner with a cross-functional global team to ensure customer success in an agile environment.


Required Technical and Professional Expertise


At least 5 years of experience in the area of SAP HANA Integration
Has experience managing end-to-end full cycle implementations (from blue printing, realization, go live to production support) of S/4HANA Greenfield / Migration projects in complex landscape will be preferable.


Preferred Technical And Professional Expertise

As above.

About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","Amplification, Maintainability, SAP HANA, SAP Integration, SAP Products, SAP Solutions, Service-Oriented Architecture (SOA), Statutory Accounting Principles (SAP), Technical Design, and Workday",https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1732147200&v=beta&t=9CfVQaaHBmQkb0Tp6qxvk6ggG68effyESrAObRpNhtY,On-site,Jakarta Metropolitan Area
Packet Systems Indonesia,Senior Presales Consultant - Data Center,2 weeks ago,"Job Specification:
Hold bachelor’s degree (S-1 degree) in Information Technology or Computer Engineering or Telecommunication from reputable university with minimum IPK of 3.0
5+ years' experience designing, executing and supporting IT enterprise data center solution
Had experience with customer architect, data center, operations and business stakeholders to define the solution customer needs and ensure that proposed designs address customer needs
Experience in :
 o Compute : Cisco, HPE, Dell
 o Storage : Purestorage, HPE, Dell, NetApp
 o Virtualization : VMware Nutanix
 o Backup : Veeam Commvault
Had related certificate for data center technology (server, storage, virtualization, backup)
Has presales background such as configuring product Bill of Material, presentation, Proof of Concept
Competent with Microsoft Office applications i.e. Microsoft Visio, Word, Excel, and PowerPoint
Positive attitude and a strong commitment to delivering quality work
Leadership, teamwork, commitment, and service excellence personal qualities
Ability to perform under pressure and tight time constraints; be able to work under limited guidance in line with a broad plan, or strategy.

Job Descriptions
Regularly evaluate current Enterprise Data Center Architecture, adoption-of and compliance-with the Architecture Common Process (Architecture Quality Plans, Design Reviews, etc.)
Work closely with other team members to propose end to end solution strategy
Project scoping, systems architecting, proposal generation and proof of concepts execution
Ensure that proposed high level designs adequately mitigate identified information risks
Creates all conceptual, logical, and physical architecture deliverables documented and agreed to in the architecture quality plan.
Support design and assist implementation of the solution
Accountable for all the process related aspects of architecture, which include formal engagement with the project manager, project lead architect, and the project team members,
Produce and maintain all architecture artifacts including vision, principles, constraints, standards, high-level design etc
Responsible for the creation of the architecture quality plan which defines the content, scope and objectives of the architecture activities for the project","Data Centers, Enterprise Data, Logics, Presales, Presentations, Proof of Concept, Proposal Generation, Proposal Writing, Scope Management, and Technical Architecture",https://media.licdn.com/dms/image/v2/D4D0BAQEEUT-QQ5Nejw/company-logo_100_100/company-logo_100_100/0/1705941224744/packet_systems_indonesia_logo?e=1732147200&v=beta&t=Fw9gbCO4g9ww3PXpBZgGpkPTsQiXEjp6OVuMlI4RCRU,Hybrid,"Jakarta, Indonesia"
