Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
PT. BANK NEGARA INDONESIA (Persero) Tbk.,Solutions Architect,Reposted 4 weeks ago,"Requirements :

Bachelor's degree in Computer Science, Engineering, or Mathematics
4+ years' of relevant experience
Able to understand banking business processes/business flows
Able to analyze business flow into a series of IT-based solutions
Have knowledge/experience implementing solutions based on SOA, API, Event Streaming, Microservice, File transformation
Have knowledge regarding data bases, caching solutions and replication
Have sufficient knowledge regarding security processes
Advanced knowledge of leading architecture solutions in the industry area
Strong interpersonal and collaboration skills
Ability to demonstrate technical concepts to non-technical audiences","Application Programming Interfaces (API), Business Analytics, Business Process, Microservices, Service-Oriented Architecture (SOA), and Stream Processing",https://media.licdn.com/dms/image/v2/D560BAQGqZzJbCTt-kw/company-logo_100_100/company-logo_100_100/0/1711506407720/pt_bank_negara_indonesia_persero_tbk_logo?e=1732147200&v=beta&t=QhCG-Dc_zyYzk8Lm_bShq4nvZq5M_rbzEhvkSOqFsEo,On-site,"Jakarta, Indonesia"
Ollion,Senior Solution Architect,Reposted 3 weeks ago,"Company Description

OUR STORY

Let’s be honest: there are lots of people out there doing what we do. We’re just not convinced they’re doing it right. Businesses are hungry for innovation and opportunity, but not at the cost of their independence. At Ollion, we’ve connected companies and capabilities around the world to help ambitious organizations make the most of their transformation and leave the status quo in the dust.

WORKING AT OLLION

Innovation is risky. It demands bold steps and big questions, but that’s the price of making change. We’ve got our head in the cloud and two feet on the ground, channeling tech’s endless potential towards a single goal: making a world of difference. And we’re building a global team to do just that— a team capable of making game-changing breakthroughs without ever losing sight of the people it will impact. This is more than consulting. This is the change you can be.

THE OLLION DIFFERENCE

At Ollion, we’re all in on your independence. Our teams are seasoned. Our solutions are straightforward—sometimes even groundbreaking. And our engagements? Exactly as long as you want them to be. We deliver fresh thinking and hard-earned insight in a way that works for you and your customers, arming your organization with everything you need to make your transformation truly mean something.

WORKING WITH OLLION (our Clients’ Experiences)

Progress matters more than process. Our global team of cloud-native pros is all about creating new and better ways to work—not just by solving your tech challenges, but by using technology to solve your business challenges. We keep the formulas, frameworks, and ten-point plans to a minimum, tackling your most pressing problems with a proprietary mix of good-old-fashioned ingenuity and refreshing humanity.

DIVERSITY AT OLLION 

One of our cultural keystones, ‘Find the angle’ recognizes that every individual has different aspirations, needs and brings a unique perspective.

We value diversity, inclusion, and equity (DE&I) as core to our success. We believe that a diverse workforce brings together unique perspectives, experiences, and ideas, leading to innovation, creativity, and better outcomes for our clients and our organization. We are on a journey and are committed to building a workplace that celebrates and respects individuals from all backgrounds, including but not limited to race, ethnicity, gender, sexual orientation, age, disability, and cultural heritage.

As our commitment to diversity and inclusion is reflected in our:

Awareness and sensitisation programs: to create awareness and sensitisation. We encourage open dialogue, active listening, and mutual respect, creating a safe and supportive environment for everyone to contribute their unique perspectives and ideas. 
Dedicated efforts to building diverse teams: that leverage the strength of our differences to tackle complex challenges and drive innovation. By embracing diversity, we broaden our collective knowledge, enhance problem-solving capabilities, and unlock limitless potential for our employees.

Job Description

The Senior Solution Architect role at Ollion comprises 4 primary duties:

Pre Sale activities - work with a member of the Solutions Architecture team to lead and oversee designs, pitches, documentation and estimates.
Solution Design - help lead the Solution Architecture team in designing and architecting systems in a cloud native fashion on any of the 3 major providers. Provide review and quality assurance across the team's output.
Collaborate with delivery - work with delivery teams to perform cost optimisation activities, support with pipeline development and answer questions from the team.
Product Shaping - use your experience and that of the team in assisting our clients to realise their goals to help create our next generation of products and services.

Qualifications

12+ years hands on experience in Cloud technology, Development or Network Administration.
Previous experience as a senior cloud architect, network administrator or DevOps lead
Demonstrable leadership skills in building a CI/CD pipeline using open-source or cloud-native technology 
Demonstrable experience in leading and assuring the estimation of architecture work.
Ability to lead work within the architecture team supporting RFP responses.
Ability to interpret requirements and translate them to the service delivery team to support pilot projects, demonstrations, proofs- of-concept (POC)
Experience with leading migration projects covering No-VM environments to VM on-prem or in cloud environments. 
Exhibit excellent understanding of the managed cloud hosting business concepts (AWS, GCP, Azure), market practices and trends.
Demonstrable skills and expertise with cloud architecture best practices and thought leadership in their practical application.
Experience in leading 5 'R' migrations.
Demonstrated skills and expertise in virtualization techniques , HA (High Availability) and zero downtime solutions. 
Experience in stakeholder management, risk & issue management 
Communications expertise with 3rd parties including cloud partners, development teams and potential clients up to C-Suite level.
Good presentation, analytical and documentation skills 
Good interpersonal style, collaborative, congenial, client-friendly demeanor
Well developed English language skills, oral and written. Bonus points for Bahasa or Mandarin speakers

Additional Information

Benefits & Perks For Working At Ollion

Our employees multiply their potential because they have opportunities to: Create a lasting Impact, Learn and Grow professionally & personally, Experience great Culture, and Be your Whole Self!

Beyond an amazing, collaborative work environment, great people, and inspiring, innovative work, we have some great benefits and perks:

Benchmarked, competitive, in-market total rewards package including (but not limited to): base salary & short-term incentive for all employees
Fully remote-first, small but Global organization; ‘learn wherever, whenever’ frees our people from a rigid view of learning and growth
Retirement planning (i.e. CPF, EPF, company-matched 401(k))
Globally, we build benefit plans that offer choices for whatever stage in life our employees are in and allow for flexibility as life happens. Employees have access to a fully comprehensive benefits package to choose the medical, dental, and vision insurance plan that best fits their lives. In addition to great healthcare coverage, we also offer all employees mental health resources and additional wellness programs.
Generous time off and leave allowances
And more!

Ollion is an equal opportunity employer. We celebrate diversity and we are committed to creating an inclusive environment for all employees. Ollion does not discriminate in employment on the basis of race, color, religion, sex (including pregnancy and gender identity), national origin, political affiliation, sexual orientation, marital status, disability, genetic information, age, membership in an employee organization, parental status, military service, or other non-merit factor.","Architecture, Cloud Computing, Documentation, Issue Management, Pilot Projects, Presentations, Product Demonstration, Service Delivery, Technical Architecture, and Technical Solution Design",https://media.licdn.com/dms/image/v2/D4D0BAQGLCusa28wSTQ/company-logo_100_100/company-logo_100_100/0/1698871635837/ollion_logo?e=1732147200&v=beta&t=yNpI0TXqGLjdVM5o03N_m4iiEh5UkBAVMv_MGKazDK4,On-site,"Jakarta, Jakarta, Indonesia"
Adira Finance,Head Information Technology Development,2 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1732147200&v=beta&t=2LbY60w0WzcH2mzU8aeTFk-Ho8LD2FTyfuRTfs6nvdQ,Hybrid,"South Jakarta, Jakarta, Indonesia"
HTC Global Services,Cloud Migration Developer,Reposted 3 days ago,"About The Role

We are seeking a Cloud Migration Developer with a minimum of 2 years of experience in C# .NET programming for both backend and frontend development.

Requirements

Strong understanding of containerization concepts and technologies.
Proficiency in Linux administration, with skills in scripting and automation such as Bash, Python, or Ansible.
Expertise in MS SQL Server and PostgreSQL.
Experience with Crystal Reports and SSRS (RDL); SSIS experience is a plus.
Familiarity with Docker and Kubernetes.
Knowledge of OpenShift-specific tools.
Additional knowledge in Java (or other programming languages) is a plus.
Red Hat Certified Specialist in OpenShift Application Development is a valuable addition.
Certification as a Kubernetes Administrator or AWS Cloud is a bonus.",".NET Framework, Back-End Web Development, C (Programming Language), C#, and Cloud Migration",https://media.licdn.com/dms/image/v2/D560BAQEE7FgfgdZdkA/company-logo_100_100/company-logo_100_100/0/1690544919186/htc_global_services_logo?e=1732147200&v=beta&t=l16g1MVnFUJHyRaqE1PIgu2W1hvXoapZ55A0cTo4Fjo,On-site,Jakarta Metropolitan Area
SoftwareOne,DevOps Architect,1 week ago,"Develop enterprise class DevOps solutions, lead delivery teams in customer workshop, coordinate with multiple stakeholders in client hierarchy to engage, understand and articulate requirements for framing end-to-end solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure, platform and DevOps solutions.
 As a DevOps consultant you will engage with clients to understand requirements and architect solutions to streamline their development, release, testing and operations. Demonstrate your strengths in innovations, problem solving and continuous improvement areas to spearhead adoption of new technologies, & frameworks with speed in order to provide competitive edge in market addressing business needs.
 Candidate must have overall 7-10 years of hand-on experience in DevOps technologies with a Software development and its management background
Job Requirements 
Define Cloud based Architecture catering to client needs and requirements
Lead teams for a discovery and architecture workshop to understand existing development and operational process, influence client architects, and IT personnel to improve Development and operations in cloud
Analyze Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and align DevOps with cloud roadmap and solution architecture 
Develop and implement DevOps solutions for hybrid scenarios based on cloud services of AWS , Azure , GCP and relevant Open Source/3rd Party technologies when assigned to work on delivery projects.
Strong understanding of application development methodologies, web application security, and secure coding practices
Hands on experience in DevOps technologies with a Software development background
Facilitate mission-critical analysis, extraction, and management of systems.
Foundations in programming, algorithms, and Software application design
Do incremental code, build, test, and deployments by streamlining execution and minimize errors
Experience in container architecture, Docker universal packaging, container orchestration (Docker, Kubernetes, Terraform), and Microservices architecture pattern
Expert level application deployment experience utilizing modern DevOps technologies ( New Relic, Jenkins, Ansible, Puppet, Salt stack etc.)
Expertise in working with Source Code Management (GitHub/Gitlab/Bitbucket)
Experience in selecting, managing build infrastructure, CICD pipelines with Jenkins to streamline the deployment of applications to Kubernetes and Docker managed containers
Experience with Scripting (shell, bash, python) on Linux and develop custom workflows and use automation by coding and scripting.
Good to have programming experience with Ruby, Python, Perl, and Java
Detect early all the errors, bugs, and issues to tackle them and solve them
Strive for continuous improvement and build continuous integration, continuous development, and constant deployment pipeline (CI/CD Pipeline)
Mentoring and guiding the team members 
Good to have -Monitoring and measuring customer experience and KPIs
Good to have-Managing periodic reporting on the progress to the management and the customer
Build automation wherever possible in the DevOps end to end architecture.
Nice to have experience designing and building applications using REST API
Agile SDLC experience is preferred, writing stories and delivering features with CI/CD, Scrum
Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements.
Create and develop DevOPS process frameworks, documents, SOP’s, cook book, automation scripts/tools for to build, implement and manage DevOps process in customer environment
Lead internal and external initiative to standardize, automate and develop competitive assets and accelerators
 Professional Attributes : 
Strategic thinker, have ability grasp new technologies, innovate, develop and nurture new solutions
Experience in driving consulting workshops, creating content of workshops in short deadlines to C-levels
Demonstrate thought leadership, create good impacts in engagements, manage time and demonstrate flexibility by adapting to situations
An ability to follow processes and demonstrate critical thinking and strong problem solving skills
Excellent team player who can lead/drive team towards success goals
Strong documentation skill 
Good communication skills both written and verbal with the client
 Certifications : 
 Must Have(any): Azure DevOps Engineer, Microsoft Certified: DevOps Engineer Expert /AWS Certified DevOps Engineer – Professional, Google Professional Cloud DevOps Engineer
Good to have: TOGAF, ITIL, Azure Solution Architect Expert/AWS Solution Architect Professional /GCP Professional
Company description 
SoftwareOne is a leading global software and cloud solutions provider that is redefining how companies build, buy and manage everything in the cloud. By helping clients to migrate and modernize their workloads and applications – and in parallel, to navigate and optimize the resulting software and cloud changes – SoftwareOne unlocks the value of technology. The company’s 8,900 employees are driven to deliver a portfolio of 7,500 software brands with sales and delivery capabilities in 90 countries. Headquartered in Switzerland, SoftwareOne is listed on the SIX Swiss Exchange under the ticker symbol SWON.
 Visit us at https://www.softwareone.com/en
 ","Build Automation, Container Orchestration, Containerization, Critical Thinking, DevOps, Microservices, Problem Solving, Python (Programming Language), Software Development, and Test Automation",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1732147200&v=beta&t=ocK6gIMqgVeKnp19lzSGiw7FeHwr5iMc-rHJ0iGYINI,On-site,"Pontianak, West Kalimantan, Indonesia"
Devoteam G Cloud,Senior Cloud Architect,Reposted 1 week ago,"Company Description

Company description

Devoteam is a leading consulting firm focused on digital strategy, tech platforms, and cybersecurity.

By combining creativity, tech, and data insights, we empower our customers to transform their business and unlock the future.

With 25 years’ of experience and 8,000 employees across Europe and the Middle East, Devoteam promotes responsible tech for people and works to create better change.

#Creative Tech for Better Change

Devoteam has launched in January 2021 its new strategic plan, Infinite 2024, with the ambition to become the #1 EMEA partner of the leading Cloud-based platform companies (AWS, Google Cloud, Microsoft, Salesforce, ServiceNow), further reinforced by deep expertise in digital strategy, cybersecurity, and data.
 
 
Job Description

Your role 

In this context, you’ll be joining as Senoir Cloud Architect, and reporting to the Tech Lead. As Senior Cloud Architect you will also be assisting cross-departments such as Marketing and Sales teams. The Senior Cloud Architect will complete routine engineering work and oversee simple to complex projects of infrastructure modernization, application modernization, cloud migration, and many more.

The Senior Cloud Architect will be responsible for the following activities: 
This position is a stakeholder-facing role and embodies the responsibility of capturing, prioritizing, and delivery of project expectations for all aspects of the projects you work on.
You can lead technical customer workshops and design a solution meeting the customer requirements on all aspects of the cloud project (Governance, Security, Networking, Billing, and Operations).
You are an advocate for Cloud adoption and enlighten customers in their Cloud Adoption strategy, no matter their Cloud Maturity.
You need to have excellent communication and interpersonal skills: you have the ability to communicate tasks, challenges, and results clearly to technical & non-technical colleagues and customers.
You need to have the ability to understand both the business and technical requirements and apply them to existing, or develop new methodologies to satisfy those requirements
You understand both business and technical priorities and have a realistic view of timelines and deliverables.
you are able to guide and streamline the technical tracks of a multidisciplinary team, composed of colleagues and customers.
You advocate the use of Cloud best practices in all aspects of your job and the deliverables of your team.
you mentor and guide junior colleagues through their journey in the team and within the projects you collaborate on.
 
 
Qualifications

  Past experience as a system engineer, cloud engineer, or cloud architect
Solid understanding of cloud architecture, networking & security
Experience with either VMWare, GCP, or AWS is preferred
Experience with Bash and Terraform is preferred
Experience with Kubernetes, Istio, and Anthos is a plus
You are proactive in everything you do
You're willing to work on multiple projects and assignments
You believe that self-development is key to success
 
 
Additional Information

Education and Experience
Bachelor’s degree in Engineering required.
5 years of related experience is highly preferred.
Two certifications in GCP (within 3 months after joining).


Status: Full-Time

Duration: -

Beginning date: August 2023

The Devoteam Group is committed to equal opportunities, promoting its employees on the basis of merit and actively fighting against all forms of discrimination. We believe that diversity contributes to the creativity, dynamism, and excellence of our organization. All our positions are open to people with disabilities.","Architecture, Cloud Computing, Communication, Customer Requirements, Google Cloud Platform (GCP), Interpersonal Skills, Networking, Technical Architecture, Technical Requirements, and Timelines",https://media.licdn.com/dms/image/v2/C560BAQE7dsccdmIB1Q/company-logo_100_100/company-logo_100_100/0/1631310628141?e=1732147200&v=beta&t=-ZLBYZLHSU6BFD7_WIiKUlz9jQFSkJqd3CJPhNvG2Ak,On-site,Jakarta Metropolitan Area
Bitwyre,Quantitative Developer,2 weeks ago,"Company Description
We focus on stablecoin on/offramps for emerging markets.

Role Description
This is a full-time on-site role for a Quantitative Developer at Bitwyre in Jakarta Metropolitan Area. The Quantitative Developer will be responsible for tasks in the crypto options desk.

Qualifications
Have experience in large data analysis with Python (Pytorch)
Quantitative Analytics and Quantitative Finance skills
Mathematics and Statistics skills
Strong programming skills in languages such as Python
Strong C++ programming skills
Experience with financial modeling and data analysis
Ability to work in a fast-paced environment and collaborate with a team
Master's degree in a quantitative field like Mathematics, Statistics, Finance, or related areas
Must understand greek computation
Understanding fast greek computation is a plus","C++, Computation, Data Analysis, Data Analytics, Financial Modeling, Greek, Mathematics, Programming, Quantitative Analytics, and Quantitative Finance",https://media.licdn.com/dms/image/v2/D560BAQEcZFbpqVxlbA/company-logo_100_100/company-logo_100_100/0/1723697608525/bitwyre_logo?e=1732147200&v=beta&t=LI2Sd3XK22gC-mN7lMP44DjEr1DiAxDJYp436B3tL1c,On-site,Jakarta Metropolitan Area
GoTo Group,Operation Business Intelligence Lead,Reposted 1 week ago,"What You Will Do

Master all Consumer Lending Operations-related data points, including Customer Service, KYC, Telesales, and Transactional Data.
Manage all Operations Dashboards and Reporting to ensure timely and accurate availability.
Provide analytical insights leading to actionable plans with positive impacts for stakeholders.
Support the Head of Operation and other stakeholders in executing operational experimentation and enhancing workflow automation processes.
Lead, mentor and develop Operation BI team member.
Assist Operation stakeholders in dealing with Fraud investigation, Campaign Setup, and regulatory reporting and audit preparation
Analyze, evaluate, and initiate improvements in day-to-day operations for efficiency, effectiveness, and scalability.
Develop job automation to build Datamart-level tables in Big Query for Operational Dashboard Reporting.

What You Will Need

Bachelor's Degree in Engineering, Mathematics, Statistics, or a related discipline is required.
5 years of experience in a fast-paced environment, with a background in project management and data analytics.
Possesses strong analytical, planning, and problem-solving skills.
Proficient in SQL and Advanced Excel, with a high level of competence in working with numerical data sets. Knowledge of Python and experience in automating tasks is highly advantageous.
Familiarity with at least one business intelligence tool such as Google Data Studio (Looker), Power BI, or Tableau is preferred.
Ability to work independently with excellent time management skills, collaborating effectively with cross-functional teams to drive initiatives aligned with organizational objectives and Key Results (OKRs).
Exceptional communication and interpersonal skills, capable of articulating complex ideas to non-technical stakeholders with clarity and precision.
Familiarity with data warehousing concepts and methodologies is considered a plus.

About The Team

Financial services platform is Gojek’s financial services arm, working to provide responsible & sustainable financial services to Gojek's three main segments: consumers, merchant-partners, and driver-partners. Our team operates with the fundamental belief that financial inclusion can unlock the doors to a better quality of life, both in the present as well as in the long term. With our ""user first"" mindset, we aim to transform the financial services sector in Southeast Asia, starting with Indonesia.
Our Data team, a financial data services sub-pod, is an established family with members stationed across Jakarta, India, and Singapore. We’re in charge of running hundreds of instances and deployments across all of our payment products, directly impacting millions of users every single day. Most recently, our team has built products that reduce the overall time to model, curate, and access data, streamlining our efficiency and internal processes significantly. In the coming year, in light of our new GoTo collaboration, we have exciting plans to scale up our team in effort to field the massive growth of our data pool.","Analytics, Business Insights, Clarity, Communication, Interpersonal Skills, KYC Verification, Objectives and Key Results (OKRs), Problem Solving, Project Management, and Regulatory Reporting",https://media.licdn.com/dms/image/v2/D560BAQHgIVeVdQXzvA/company-logo_100_100/company-logo_100_100/0/1723176835737/gotogroup_logo?e=1732147200&v=beta&t=d_Cr0YVbrREvu352aQFyHpqRaXmaQZG2Y3qClU29eZo,On-site,"Jakarta, Jakarta, Indonesia"
SECURXCESS,Cyber Security Architect,3 weeks ago,"Responsibilities:
Provide technical consultation and solutions on cyber security projects to customers
Prepare technical documents in response to requests for information (RFI), requests for proposals (RFP), etc.
Provide technical supports on cyber security and/or network projects
Provide technical designs, implementations, and troubleshooting of cyber security and/or network projects co-operating with internal parties, and partners to customers.
Requirements:
 Degree holders in Computer or Information Engineering or related subjects
5+ years of relevant experience
Understand about cyber security solution in : EDR/ XDR, NDR, SAST/ DAST , SIEM, VMDR , Patch Management etc
Understand about IT security such as NG Firewall, Cloud Backup, IPS, IDS, SOAL etc
Familiar with NIST cyber security pilar, International Standard for Information Security
Good presentation skill of both English and proficiency in writing technical proposal in English","Cloud Security, Cybersecurity, EDR, English, Firewalls, Governance, Risk Management, and Compliance (GRC), Palo Alto Networks, Presentation Skills, Security Information and Event Management (SIEM), and Security Patch Management",https://media.licdn.com/dms/image/v2/C560BAQFkQiYMG0RHvg/company-logo_100_100/company-logo_100_100/0/1630625797156?e=1732147200&v=beta&t=f48oJeAlGW7iCDxiSVSPUgJfxCTMqsSSjWwSI6aI9So,On-site,"Jakarta, Indonesia"
Lalamove,Senior Performance Marketing Associate,1 week ago,"Lalamove is disrupting the logistics industry by connecting customers and drivers directly through our technology. We offer customers a lightning-fast and convenient way to book delivery and moving services whether they are at their home, at work, or on the go. People talk about O2O, we live it!

Lalamove is a leading global on-demand delivery platform with millions of delivery partners serving millions of orders every day. With 1600+ employees spread across SEA and LATAM, our 10-year-old company reached unicorn status in 2018, is well funded by prominent VCs, and has kept growing at tremendous speed since.

Our strength lies in our internal values, namely Passion for serving local communities, empowering SMEs and our driver partners, Execution, and Grit because that is how we differentiate ourselves by never giving up and striving for excellence, and Humility - awareness in ourselves to learn from others and never stop improving.

At Lalamove, we strongly believe in the power of community. Millions of drivers and customers use our technology every day to connect with one another and move things that matter. Delivery is what we do best and we ensure it is always fast and simple. Since 2013, we have tackled the logistics industry head-on to find the most innovative solutions for the world’s delivery needs. Our vision is to bring communities closer and make city life easier by allowing fast and convenient circulation of goods. We realize this vision with a ‘glocal’ approach, building a robust operations team to adapt our product to local networks of businesses and delivery contractors. At the same time, we have the ambition to build an international brand by establishing an even more global presence.

Currently, we are looking for a high-caliber individual to join us as a Senior Digital Marketing Performance Associate , as we continue to expand our presence and capabilities across Asia Pacific. This position will report to the Marketing Manager.

Think you are up for it? Apply now and join us as #OneLalamove!

THE RECRUITMENT PROCESS WILL BE CARRIED OUT IN ENGLISH AND ONLY SHORTLISTED CANDIDATES WILL BE NOTIFIED

What You’ll Do

Design, review, and implement digital marketing strategies and plans to drive user and driver growth.
Lead efforts in acquiring first-time users and generating driver leads through targeted programs.
Oversee and optimize paid channels, including Meta, SEM, UAC, and programmatic channels utilizing third-party data.
Ensure achievement of monthly targets while maintaining Cost per Acquisition (CAC) and Cost per Lead (CPL) within set limits.
Work closely with the Acquisition Team in the Functional Office and coordinate with stakeholders at the national and city levels.
Conduct daily performance reviews and analyze industry trends to inform strategy adjustments.

What We Seek

At least 4 years of experience in digital marketing within e-commerce, tech industries, or agencies.
In-depth knowledge of digital marketing funnels and advanced setup functionality for SEM and PPC paid ads.
Strong understanding of ad formats on social media platforms and Google.
Proven experience in setting up remarketing ads and conducting A/B testing.
Familiarity with Google Ads, Google Search Console, Facebook Ad Manager, Appsflyer, and other relevant digital marketing tools.
Ability to collect, analyze, and interpret data with a strong analytical and critical thinking mindset.
A self-driven individual with the ability to work both independently and as part of a team.
Fluency in English is a must.

To all candidates- Lalamove respects your privacy and is committed to protecting your personal data.

This Notice will inform you how we will use your personal data, explain your privacy rights and the protection you have by the law when you apply to join us. Please take time to read and understand this Notice. Candidate Privacy Notice: https://www.lalamove.com/en-hk/candidate-privacy-notice

Untuk semua kandidat- Lalamove menghormati privasi Anda dan berkomitmen untuk melindungi data pribadi Anda. Pemberitahuan ini akan memberi tahu Anda bagaimana kami akan menggunakan data pribadi Anda, menjelaskan hak privasi Anda dan perlindungan hukum yang Anda miliki saat Anda mendaftar untuk bergabung dengan kami. Mohon luangkan waktu untuk membaca dan memahami Pemberitahuan ini. Pemberitahuan Privasi Kandidat: https://www.lalamove.com/id/candidate-privacy-notice","A/B Testing, Ad Serving, Advertising, Cost Per Acquisition, Critical Thinking, Digital Marketing, E-Commerce, Marketing Strategy, Remarketing, and Social Media",https://media.licdn.com/dms/image/v2/C510BAQHMjyCXF48xCA/company-logo_100_100/company-logo_100_100/0/1631329541662?e=1732147200&v=beta&t=TlOASlWSb93hKS9mGi0rP4xIDG1_NWV4gpof8wrYaBU,On-site,"Jakarta, Jakarta, Indonesia"
