Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
Adira Finance,Head Information Technology Development,3 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1733356800&v=beta&t=000YjeLBjpUTFVkzBiTEhKI87BfGAogtpEEwoSoTi20,Hybrid,"South Jakarta, Jakarta, Indonesia"
VLink Inc,iOS Developer,2 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,Hybrid,"Jakarta, Indonesia"
Volex,Quality Assurance Engineer,2 weeks ago,"Business overview
Volex is a leading integrated manufacturing specialist for performance critical applications and supplier of power products serving a diverse range of markets and customers, with expertise in cable assemblies, higher-level assemblies, data Centre products, electric vehicles, and consumer electronics.
We employ over 8,000 employees across 22 countries and operate 19 manufacturing locations. In our most recent FY we had revenue of $723m spread broadly across the four regions (Americas, Europe, China, and Asia Pacific).

Job Role / Job Overview
The QA Engineer role is responsible for implementing production productivity, quality, and customer service goals by identifying and resolving issues, completing audits, determining system improvements and implementing change. such as ISO 9001 and IATF/Automotive standards.

Responsibilities
Implement continuous improvements to the quality system that result in improved quality performance, increased customer satisfaction, and/or simplification of processes to reduce costs.
Maintain and improve product quality and operational goals by investigating product processing issues, product returns, and customer complaints.
Establish monitoring procedures, corrective actions, and verification procedures for monitoring quality, productivity, and inventories.
Facilitate and promote use of appropriate problem solving techniques for effective root cause analysis and successful corrective action.
Determine when process stability and capability studies should be performed on existing processes.
Review and analyze results.
Effectively investigate quality issues of capability, tolerance, and material related issues.
Resolve quality issues by identifying problems, examining solution options, implementing action plans, and providing resources.

General Profile and Requirements :
Degree or Diploma in Engineering is required
At least 3 (three) years work experience in Cable Manufacturing / Injection Moulding / Extrusion Engineering or other similar industries
IATF/Automotive experience background would be an added advantage
Possess critical thinking skills, a desire to improve processes and the ability to take ownership of critical activities.
Strong leadership and able to develop team members
English communication skill is a must
Have a ""can do"" attitude, work together as a team and possess strong communication skills.","Customer Satisfaction (CSAT), Product Quality, Quality Assurance, Quality Auditing, Quality Management, Root Cause Analysis, and Testing Process",https://media.licdn.com/dms/image/v2/C4D0BAQGcL3X2PFZbDA/company-logo_100_100/company-logo_100_100/0/1630509139971/volex_logo?e=1733356800&v=beta&t=nUAFRqcXX1fRizOkxihGcP5cXskuoPriWBFenxjNAgI,On-site,"Batam, Riau Islands, Indonesia"
SoftwareOne,DevOps Architect,2 weeks ago,"Develop enterprise class DevOps solutions, lead delivery teams in customer workshop, coordinate with multiple stakeholders in client hierarchy to engage, understand and articulate requirements for framing end-to-end solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure, platform and DevOps solutions.
 As a DevOps consultant you will engage with clients to understand requirements and architect solutions to streamline their development, release, testing and operations. Demonstrate your strengths in innovations, problem solving and continuous improvement areas to spearhead adoption of new technologies, & frameworks with speed in order to provide competitive edge in market addressing business needs.
 Candidate must have overall 7-10 years of hand-on experience in DevOps technologies with a Software development and its management background
Job Requirements 
Define Cloud based Architecture catering to client needs and requirements
Lead teams for a discovery and architecture workshop to understand existing development and operational process, influence client architects, and IT personnel to improve Development and operations in cloud
Analyze Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and align DevOps with cloud roadmap and solution architecture 
Develop and implement DevOps solutions for hybrid scenarios based on cloud services of AWS , Azure , GCP and relevant Open Source/3rd Party technologies when assigned to work on delivery projects.
Strong understanding of application development methodologies, web application security, and secure coding practices
Hands on experience in DevOps technologies with a Software development background
Facilitate mission-critical analysis, extraction, and management of systems.
Foundations in programming, algorithms, and Software application design
Do incremental code, build, test, and deployments by streamlining execution and minimize errors
Experience in container architecture, Docker universal packaging, container orchestration (Docker, Kubernetes, Terraform), and Microservices architecture pattern
Expert level application deployment experience utilizing modern DevOps technologies ( New Relic, Jenkins, Ansible, Puppet, Salt stack etc.)
Expertise in working with Source Code Management (GitHub/Gitlab/Bitbucket)
Experience in selecting, managing build infrastructure, CICD pipelines with Jenkins to streamline the deployment of applications to Kubernetes and Docker managed containers
Experience with Scripting (shell, bash, python) on Linux and develop custom workflows and use automation by coding and scripting.
Good to have programming experience with Ruby, Python, Perl, and Java
Detect early all the errors, bugs, and issues to tackle them and solve them
Strive for continuous improvement and build continuous integration, continuous development, and constant deployment pipeline (CI/CD Pipeline)
Mentoring and guiding the team members 
Good to have -Monitoring and measuring customer experience and KPIs
Good to have-Managing periodic reporting on the progress to the management and the customer
Build automation wherever possible in the DevOps end to end architecture.
Nice to have experience designing and building applications using REST API
Agile SDLC experience is preferred, writing stories and delivering features with CI/CD, Scrum
Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements.
Create and develop DevOPS process frameworks, documents, SOP’s, cook book, automation scripts/tools for to build, implement and manage DevOps process in customer environment
Lead internal and external initiative to standardize, automate and develop competitive assets and accelerators
 Professional Attributes : 
Strategic thinker, have ability grasp new technologies, innovate, develop and nurture new solutions
Experience in driving consulting workshops, creating content of workshops in short deadlines to C-levels
Demonstrate thought leadership, create good impacts in engagements, manage time and demonstrate flexibility by adapting to situations
An ability to follow processes and demonstrate critical thinking and strong problem solving skills
Excellent team player who can lead/drive team towards success goals
Strong documentation skill 
Good communication skills both written and verbal with the client
 Certifications : 
 Must Have(any): Azure DevOps Engineer, Microsoft Certified: DevOps Engineer Expert /AWS Certified DevOps Engineer – Professional, Google Professional Cloud DevOps Engineer
Good to have: TOGAF, ITIL, Azure Solution Architect Expert/AWS Solution Architect Professional /GCP Professional
Company description 
SoftwareOne is a leading global software and cloud solutions provider that is redefining how companies build, buy and manage everything in the cloud. By helping clients to migrate and modernize their workloads and applications – and in parallel, to navigate and optimize the resulting software and cloud changes – SoftwareOne unlocks the value of technology. The company’s 8,900 employees are driven to deliver a portfolio of 7,500 software brands with sales and delivery capabilities in 90 countries. Headquartered in Switzerland, SoftwareOne is listed on the SIX Swiss Exchange under the ticker symbol SWON.
 Visit us at https://www.softwareone.com/en
 ","Build Automation, Container Orchestration, Containerization, Critical Thinking, DevOps, Microservices, Problem Solving, Python (Programming Language), Software Development, and Test Automation",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1733356800&v=beta&t=VLqqnKvUkKphLYkvlbPRGHAe-UePjZ6RXohc-aFhVfg,On-site,"Pontianak, West Kalimantan, Indonesia"
Pentasia,Game Presenter - (Relocation to Romania),2 weeks ago,"We are looking for a Bahasa Indonesian Speaking Game Presenter with the opportunity to relocate to Romania, a beautiful country in Europe!

Who Will You Work For?
Join a dynamic and leading content provider in the iGaming industry, headquartered in Bucharest, Romania. Our client offers a multi-product portfolio, including Slots, Bingo, and Live Casino, serving a global audience. As they expand their operations, they are building a new team and seeking enthusiastic online dealers to represent their brand. You will have the chance to be the face of various online casino games like Blackjack and Baccarat, bringing a real casino experience to the online world.

Why This Role?
If you enjoy engaging with people, thrive in front of the camera, and want to embark on an exciting international career, this is the perfect opportunity for you. Not only will you be part of a vibrant and innovative team, but you’ll also gain valuable experience in the fast-growing iGaming sector.

Your Key Responsibilities:
Be the Company’s Ambassador: Deliver expert knowledge and top-tier gaming experiences to our players.
Showcase Your Presentation Skills: Present all games with professionalism, ensuring a high level of engagement and entertainment in line with the Company’s expectations.
Engage and Interact: Connect with players, drawing them into the immersive world of live dealer games.
Maintain Excellence: Uphold a strong technical understanding of all games and consistently align with the Company’s brand guidelines.
Adhere to Standards: Ensure all gaming operations comply with current legislation and Company standards, prioritizing efficiency, security, and customer satisfaction.
Contribute to Growth: Actively participate in the Company’s continuous improvement efforts, contributing to its future success and expansion.

Who Are We Looking For?
Language Proficiency: Fluent in both English and Bahasa Indonesian (essential).
Relocation Enthusiast: Ready and willing to relocate to Bucharest, Romania.
Passionate About iGaming: Genuine interest in the iGaming industry with a keen desire to learn and grow.
Energetic Performer: Capable of maintaining high energy levels, especially during games that require lively interaction.
Flexible and Adaptable: Willingness to work in shifts, including nights, weekends, and public holidays, in a dynamic environment.

What’s In It For You?
Competitive Salary: Attractive monthly salary with regular increases.
Performance Bonuses: Rewards for exceptional performance.
Comprehensive Relocation Package: Includes visa assistance, flight tickets, and relocation support.
Accommodation: Company-provided accommodation with utilities covered.
Health Benefits: Best-in-class private health care insurance for your well-being.
Free Meals: Provided daily when you’re working.
Gym Benefit: Access to a gym after your first 6 months.
Professional Development: Paid training to enhance your skills and career growth.
Indonesian Community: Join a growing number of Indonesian colleagues who have already made the move and found a welcoming community within the company. You’ll have the support of fellow Indonesians, making your transition to life in Romania smoother and more enjoyable.
Career Growth: Excellent career growth opportunities within an international tech company, allowing you to expand your horizons and build a successful career.

Why Romania?
Bucharest is a vibrant city known for its rich history, cultural diversity, and welcoming community. This opportunity offers not just a job, but a new chapter in your life, with the chance to experience a new culture and develop your career in the exciting world of iGaming.

Ready to Take the Next Step?
Apply now and become a part of a fast-growing, innovative company that values your skills and offers you the platform to shine on an international stage!","Continuous Improvement, Customer Retention, Customer Satisfaction, Customer Satisfaction (CSAT), Customer Service, English, Online Casino, Presenter, Public Speaking, and iGaming",https://media.licdn.com/dms/image/v2/C4E0BAQFnsxIk5RSRdA/company-logo_100_100/company-logo_100_100/0/1631301288410?e=1733356800&v=beta&t=eWaZVsKvUJDr4IdWZ3ZsTcDmsIpvnm__xafJ3CESu7g,On-site,"Yogyakarta, Indonesia"
Kibarer Property,Senior Architect,1 month ago,"Kibarer Property is seeking a dynamic and experienced Senior Architect to lead our architectural design team. The ideal candidate will manage the architectural design process from conception to completion, ensuring all projects adhere to budget, timeline, and the highest quality standards. This role requires a balance of creative vision, technical expertise, and project management skills.

Responsibilities
- Lead and manage the architectural design process from concept to completion, ensuring adherence to budget, timeline, and quality standards.
- Create visualizations, 3D models, and presentation drawings.
- Prepare detailed CAD working drawings and technical specifications for permit documentation and project tender developments.
- Handle multiple projects simultaneously in an organized way.
- Prepare basic cost estimates and assist with value engineering.
- Collaborate with engineers and contractors, as well as managing external architectural teams.
- Oversee site visits and inspections to ensure construction adheres to design and quality standards.
- Stay updated on industry trends with a focus on sustainability and emerging technologies in architecture and design.
- Provide Site Sketches (SK) and manage Change Orders (CO).
- Responsible for delivery and closing of successful projects.

Requirements
- Residing in Bali
- Fluent written and spoken English and Bahasa Indonesia.
- Creative, proactive, deadline-oriented, open-minded, attention to detail, and result-driven.
- Leadership qualities with a collaborative and team-oriented mindset.
- Computer skills expertise: AutoCAD, SketchUp, Rhino, Adobe Photoshop, and MS Office. Autodesk Revit would be a plus

Education and Experience
- Degree in Architecture
- Proven experience in real estate development operations, project management, and team leadership.
- Experience in managing and mentoring
- Minimum 5+ years of experience in professional architecture practice, independent practice, or as in-house architect for a developer firm.
- A strong portfolio showcasing high-end residential, hospitality, and/or luxury villa projects would be a plus.

Please note: Only applications accompanied by a portfolio will be considered.

We offer a competitive salary, a dynamic working environment, and the opportunity to lead projects that redefine industry standards. If you are ready to take your career to the next level, we would love to hear from you.","Adobe Creative Suite, Adobe Photoshop, AutoCAD, Autodesk 3ds Max, Construction, Enterprise Architecture, IT Integration, Service-Oriented Architecture (SOA), Software Development, and Solution Architecture",https://media.licdn.com/dms/image/v2/C560BAQFgdd-V-vtf3A/company-logo_100_100/company-logo_100_100/0/1630667735207/kibarer_property_logo?e=1733356800&v=beta&t=M_I3j0W1ZOX9Hldib4-AKbrCaHYSjqTJlAzitB-w8iI,On-site,"Kuta Untara, Bali, Indonesia"
Norconsult Telematics,SAP Analytics Cloud (SAC),2 weeks ago,"Note--Job is based in Saudi Arabia in full-time onsite mode. ( No remote/hybrid)

Position Objective:
We are seeking experienced SAP Functional Consultants to join our team, with a primary focus on leading and managing the implementation and optimization of SAP Analytics Cloud (SAC). The successful candidates will play a crucial role in analyzing business processes and mapping them to SAC solutions, acting as a bridge between the business and technical teams to ensure the effective integration and utilization of SAC applications.

Job Description and Responsibilities:
Business Process Analysis:
Analyze and document business requirements and map them to SAC solutions, ensuring a deep understanding of business needs.
Facilitate workshops with stakeholders to gather detailed requirements and translate them into technical specifications.
System Configuration & Customization:
Configure and customize SAC applications, including data models, stories, dashboards, and planning workflows.
Develop complex calculations, scripts, and data transformations using SAC's modelling capabilities.
Integrate SAC with other SAP and non-SAP systems:
Ensure seamless data flow and reporting across platforms.
Advanced Analytics & Predictive Capabilities:
Leverage SAC's predictive analytics features to create forecasting models and what-if scenarios.
Implement machine learning algorithms within SAC to enhance decision-making processes.
Project Management & Collaboration:
Manage SAC projects from inception to completion, ensuring timely delivery within budget constraints.
Collaborate with cross-functional teams to ensure a holistic approach to analytics.
Data Connectivity & Integration:
Set up and manage data connections within SAC, including live data connections and data acquisition models.
Ensure data integrity and consistency across various data sources connected to SAC.
Training & Support:
Conduct workshops and training sessions to educate end-users on SAC functionalities.
Provide ongoing support and troubleshooting for SAC applications.
Optimization & Continuous Improvement:
Continuously monitor SAC performance and identify opportunities for optimization.
Stay updated with the latest SAC features and best practices.
Compliance & Reporting:
Ensure all SAC implementations comply with relevant standards.
Design and generate complex reports and dashboards for senior management.

Qualifications and Skills:
Bachelor’s or Master’s degree in Finance, Accounting, Computer Science, Information Technology, Business Administration, Data Science, or a related field.
SAP Certification in SAP Analytics Cloud, certified by SAP partners.
Additional certifications in data analytics, machine learning, or data science are advantageous.
Min 10+ years of experience as an SAP Functional Consultant with hands-on experience in SAP Analytics Cloud implementation and Group Reporting.
Proven track record of leading and delivering successful SAP Analytics Cloud projects across various industries.
Advanced knowledge of SAP Analytics Cloud configuration.
Proficiency in SAC scripting languages.
Experience with integrating SAC with SAP BW/4HANA, SAP S/4HANA, and other third-party data sources.
Strong understanding of SAC's predictive analytics capabilities.
Familiarity with SAP Data Warehouse Cloud and SAP Business Technology Platform is a plus.
Excellent communication and interpersonal skills.
Strong project management skills.
High attention to detail and a commitment to continuous improvement.
Proficient in English; additional languages are an advantage.","Business Process Analysis, Data Modeling, SAP Analytics Cloud, SAP Business Warehouse (SAP BW), Scripting, and Technical Specs",https://media.licdn.com/dms/image/v2/D4D0BAQE-XXg_ARZbgw/company-logo_100_100/company-logo_100_100/0/1708330269251/norconsult_telematics_ltd_logo?e=1733356800&v=beta&t=YfY4tQatNI9IJdgcCYef_AXYdGNzHL6df-S_Tj6brbQ,On-site,"Jakarta, Indonesia"
Worley,Senior 3D Roads Designer,Reposted 2 weeks ago,"About The Job

We’re looking for a Senior 3D Roads Designer (Contract Based) to join our Indonesia team.

When you work for us, you get the chance to join nearly 50,000 people all driven by a common purpose of delivering a more sustainable world. We’re excited about the challenges ahead. We believe there’s never been a more rewarding time to work in the energy, chemical and resources sectors.

As a Senior 3D Roads Designer, you will be responsible to prepare engineering drawings and documentation.

To succeed in this role, you should have at least 5 years’ experience in roads design and drafting.

Who We Are

Worley is a global professional services company of energy, chemicals and resources experts headquartered in Australia.

Right now, we’re bridging two worlds as we accelerate to more sustainable energy sources, while helping our customers provide the energy, chemicals, and resources that society needs now.

We partner with our customers to deliver projects and create value over the life of their portfolio of assets. We solve complex problems by finding integrated data-centric solutions from the first stages of consulting and engineering to installation and commissioning, to the last stages of decommissioning and remediation. Join us and help drive innovation and sustainability in our projects.

What You’ll Do

We are looking for a Senior 3D Roads Designer to join our team in Sulawesi, Indonesia.

The Role Responsibilities Include

 Responsible for safe working practices both personally and in their designs, using the Worley framework.
 Ensure they understand and apply the Worley quality management system.
 Ensure design work conforms to applicable specifications, codes, and standards.
 Ensure checking procedures are adhered to before issue of drawings and documents, to ensure no rework due to errors in design.
 Prepare engineering drawings and documentation.
 Promote interdisciplinary communications on projects.
 Ensure project scope, budgets and schedules for design and drafting work are effectively communicated and met on projects.
 Control the allocation of drafting work to junior designers in the project.
 Mentoring and supervision of junior designers.

What You’ll Have

 Designs for constructability, commissioning, operations, and maintenance.
 5 years plus experience in roads design and drafting.
 Associate Diploma / Diploma of Engineering in the relevant field or equivalent
 Have the experience and skills to set the standard and drive the rest of the team to excel in HSE
 Competent in relevant CAD software
 Excellent communication skills.
 Work as part of a multi-discipline team
 Excellent time management skills and the ability to work autonomously.

Moving forward together

We want our people to be energized and empowered to drive sustainable impact. So, our focus is on a values-inspired culture that unlocks brilliance through belonging, connection, and innovation.

We’re building a diverse, inclusive, and respectful workplace. Creating a space where everyone feels they belong, can be themselves, and are heard.

And we're not just talking about it; we're doing it. We're reskilling our people, leveraging transferable skills, and supporting the transition of our workforce to become experts in today's low carbon energy infrastructure and technology.

Whatever your ambition, there’s a path for you here. And there’s no barrier to your potential career success. Join us to broaden your horizons, explore diverse opportunities, and be part of delivering sustainable change.

Ready to join us? Apply now to submit your CV

Company

Worley

Primary Location

IDN-Sulawesi

Job

Civil

Schedule

Full-time

Employment Type

Employee

Job Level

Experienced

Job Posting

Jul 5, 2024

Unposting Date

Sep 3, 2024

Reporting Manager Title

Study Manager","3D Design, 3D Visualization, Computer-Aided Design (CAD), Constructability, Engineering Drawings, Health and Safety Executive (HSE), Legal Writing, Representational State Transfer (REST), Rework, and Roads",https://media.licdn.com/dms/image/v2/D560BAQHfoyQ1BKjqmQ/company-logo_100_100/company-logo_100_100/0/1701033439470/worley_logo?e=1733356800&v=beta&t=zgdb0eCBdaFjC2d-ZGSsK6BuFYFMe-Rpzz6IRRU5cbE,On-site,"West Sulawesi, Indonesia"
SoftwareOne,Cloud Solution Architect- AWS,2 weeks ago,"Develop Enterprise Cloud solutions, lead delivery teams in customer workshop, coordinate with multiple stakeholders in client hierarchy to engage, understand and articulate requirements to create solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure and platform solutions.
 As a cloud architect, you will engage with clients to define and design the cloud technology architecture and solution architecture. You will also define application and IT Architecture focusing on the mapping of Business requirement’s to IT Capabilities and align the same.

The focus is to define the integrations between, Applications, Data and Technology in the Enterprise and the Transitional Process necessary for migration and modernizing to cloud based architecture that includes APIs, microservices and containers.

You will keep yourself updated with latest technology trends and architectural styles and suggests leveraging of modern digital technologies to cater to business needs. Recognized as an Expert In their technology and architecture field. You will guide cloud objectives and technologies.
Job Requirements 
Key Responsibilities :
Define end to end Enterprise and Cloud based Architecture catering to client needs and requirements
Analyze Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and risks to propose cloud roadmap, solution architecture and associated TCO
Develop and implement cloud architecture solutions based on AWS and knowledge of AWS , GCP or IBM Cloud is added advantage when assigned to work on delivery projects.
Analyze client requirements, propose for overall Application modernization, migrations and green field implementations and should be able to execute those projects as technical consultant
Experience in implementing and deploying a DevOps based, end to end cloud application
Lead teams for a discovery and architecture workshop, influence client architects, and IT personnel
Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements.
Deliver an optimized infrastructure services design leveraging public, private, and hybrid Cloud architectures and services 
Act as subject matter and implementation expert for the client as related to technical architecture and implementation of proposed solution using Cloud Services
Implement Solution using AWS Cloud Services, open source and other 3rd party technologies
Create and develop process frameworks, documents, SOP’s, cook book, automation scripts/tools for Cloud Discovery, Migrations, Application modernization, DevSecOPs and Services transitions to cloud
Experienced in developing Terraform/Powershell/AWS Cloud Formation/Jenkin/Ansible /templates
Lead internal and external initiative to standardize, automate and develop competitive assets and accelerators
 Technical Experience :
Knowledge on creating IaaS and PaaS cloud solutions in AWS Platform that meet customer needs for scalability, reliability and performance 
Experienced in delivering large/medium scale enterprise solution using Microservices, APIs, Containerization, Kubernetes, App modernization, Cloud Iaas & PaaS
Understanding of WAN, LAN, TCP/IP, VPN, Virtual Networking, Subnet, Routing, Storage account/management and Infrastructure as a Service 
Experience in creating systems logical view, network diagram and able to build automated solution for server build, resource monitoring 
Knowledge and experience in delivering solution using middle ware integration technologies using SOA, ESB, API platforms, API Security
Experience in design, development and architecture of Java/JEE/.NET based system
Have ability to assess multiple types of operating systems (AIX, Linux, Windows etc) and database (Postgres, Sybase, MySQL, MS SQL, NoSQL, DB2, Oracle, Cassandra and MongoDB) to develop transformation approaches and solutions
Worked on Cloud Administration tasks :Creating resource group, storage account, etc
Professional Attributes : 
Strategic thinker, have ability grasp new technologies, innovate, develop and nurture new solutions
Experience in driving consulting workshops, creating content of workshops in short deadlines to C-levels
Demonstrate thought leadership, create good impacts in engagements, manage time and demonstrate flexibility by adapting to situations
An ability to follow processes 
Strong documentation skill 
Good communication skills both written and verbal with the client
 Certifications
 - TOGAF, ITIL, AWS Solution Architect Associate & Expert/AWS Solution Architect Associate & Professional /GCP Professional
Company description 
Hear firsthand from SoftwareOne APAC leaders as they unveil our exciting business and growth plan, spill the beans on our hiring initiatives, and reveal why joining SoftwareOne is an innovator. Join us now and be part of our incredible journey.
 ",".NET Framework, Adobe InDesign, Architecture, C (Programming Language), Content Strategy, Enterprise Service Bus (ESB) Architecture, Java, Service-Oriented Architecture (SOA), TOGAF, and Workshops",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1733356800&v=beta&t=VLqqnKvUkKphLYkvlbPRGHAe-UePjZ6RXohc-aFhVfg,On-site,Jakarta Metropolitan Area
Kredivo Group,iOS Engineer,2 weeks ago,"At Kredivo we are building the future of financial services that are fast, cheap and widely accessible, wrapped up in a beautiful UX. As we are growing bigger, we are looking for an experienced IOS Engineer with a passion for mobile applications to join Kredivo. The perfect candidate should provide creative solutions and have an attention to detail, with excellent opportunity for ownership and influence on product, business, and technical direction.

About the job:
Design and build applications for the iOS platform
Ensure the performance, quality, and responsiveness of applications
Collaborate with a team to define, design, and ship new features
Identify and correct bottlenecks and fix bugs
Help maintain code quality, organization, and automatization

About you:
Proficient with Swift or Objective-C.
Experience with iOS frameworks such as Core Data, Core Animation, etc.
Experience with offline storage, threading, and performance tuning
Familiarity with RESTful APIs to connect iOS applications to back-end services
Knowledge of other web technologies and UI/UX standards
Understanding of Apple’s design principles and interface guidelines
Familiarity with cloud message APIs and push notifications
A Knack for benchmarking and optimization
Proficient understanding of code versioning tools: Git","Application Programming Interfaces (API), Back-End Web Development, Git, Model-view-viewmodel (MVVM), Performance Tuning, REST APIs, Swift (Programming Language), Threads, Web Technologies, and iOS",https://media.licdn.com/dms/image/v2/D560BAQEcTpBN5xjLQQ/company-logo_100_100/company-logo_100_100/0/1693461125877/kredivo_group_logo?e=1733356800&v=beta&t=m-NHIUhqc3_GFw-xrnaENXBRSDJUDilP1g80ZlIoEd4,Hybrid,"Jakarta, Indonesia"
