Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
Medor.id,Sales Manager (software/IT),4 days ago,"Sales manager (software) - Hybrid


About us
Medor is a recruitment firm specialised in tech and digital. Located in Indonesia, we are providing positions in Indonesia and APAC for local and international companies. 

About the customer 
Our customer is an international software house in South Jakarta working for both Indonesian and International customers. They specialize in website development, custom software development, mobile apps, and ERP solutions.

Job Description: 
The Sales Manager will be responsible for leading the sales team, developing new business opportunities, and driving revenue growth in the software sector. The ideal candidate will have a strong background in software sales, excellent communication skills, and a proven track record of meeting and exceeding sales targets.

Responsibilities:
Develop and implement effective sales strategies to achieve company goals.
Conduct market research to identify new business opportunities and stay updated on industry trends.
Set and monitor sales targets and KPIs for the sales team.
Identify and pursue new business opportunities through networking, prospecting, and other lead generation activities.
Build and maintain strong relationships with potential and existing clients.
Present and demonstrate software solutions to clients, addressing their needs and requirements.
Foster a positive and collaborative team environment.
Manage the entire sales process from initial contact to closing deals.
Negotiate contracts and agreements with clients.
Ensure high levels of customer satisfaction and maintain long-term client relationships.
Implement corrective actions to address any shortfalls in sales performance.

Requirements:
Bachelor’s degree in Business, Marketing, or a related field. A master’s degree is a plus.
Minimum of 5 years of experience in software sales or selling a tech related service
Proven track record of meeting or exceeding sales targets.
Strong understanding of the software industry and related technologies.
Excellent communication, negotiation, and presentation skills.
Ability to lead and motivate a sales team.
Strong analytical and problem-solving skills.
Fluency in English and Bahasa Indonesia.
Basic knowledge one of of the following : website development, custom software development, mobile apps, ERP or software as service","Business Development, Business Strategy, ERP Software, Enterprise Resource Planning (ERP), Sales, Sales Management, Sales Processes, Software Implementation, and Software Industry",https://media.licdn.com/dms/image/v2/C560BAQEBykZYFIcDKg/company-logo_100_100/company-logo_100_100/0/1678250490436/medor_id_logo?e=1733356800&v=beta&t=vrUMDtpFWl78gwTzJtj-bPX5nv8k5vrNvZAV3dkpp6U,Hybrid,"South Jakarta, Jakarta, Indonesia"
Adira Finance,Head Information Technology Development,3 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1733356800&v=beta&t=000YjeLBjpUTFVkzBiTEhKI87BfGAogtpEEwoSoTi20,Hybrid,"South Jakarta, Jakarta, Indonesia"
VLink Inc,iOS Developer,2 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,Hybrid,"Jakarta, Indonesia"
PT Asuransi BRI Life,Corporate Plan Officer,18 minutes ago,"Job Qualification 
Minimum Bachelor's degree from reputable university.
Having strong analytical thinking (Preparation of Company Performance - Reports And the condition of the life insurance industry).
Have ability with data (quantity / quality) oriented high initiative.
Ability to use Ms. Office.
Excellent communication in english both active and passive.","Analytical Skills, Communication, and Insurance Industry",https://media.licdn.com/dms/image/v2/C560BAQGtAY901OqlsQ/company-logo_100_100/company-logo_100_100/0/1680076083412/asuransi_brilife_logo?e=1733356800&v=beta&t=qU4NLXnqKo3a2TUxIW5dfppQEbmk-uZ1oAe0QGxh_PQ,On-site,"Jakarta, Indonesia"
Monroe Consulting Group,Product Marketing Manager,20 minutes ago,"Executive recruitment company Monroe Consulting Group Indonesia is recruiting on behalf of a leading healthcare service, we are seeking a professional with at least 5 years' experience in Product Marketing. This pivotal role will be responsible for providing overall leadership and development for all Product Marketing functions. The job is based in Bali, Indonesia.
 Responsibilities:
Drive product marketing strategy initiatives by capturing market insight and translating it into actionable, differentiated products and services that benefit (potential) patients and increase revenue for Bali International Hospital.
Provide training, support, and leadership to all Product Marketing team members to ensure all Key Performance Indicators (KPIs) are achieved.
Directly manage the overall product marketing strategies, structures, and budgets. This includes product development, positioning, marketing content, and go-to-market strategy
Lead product marketing e>orts to understand segment influencers including customer demographics, buying behavior, competitive assessments, new developments, and market needs. Develop and implement product marketing plans that highlight competitive landscape and customer needs.
Provide management with monthly, quarterly, and annual sales and marketing performance and forecasts. Report on the effectiveness of product marketing initiatives using predetermined KPIs. Make recommendations for improvement.
Work closely with the (product) marketing, sales & supporting teams, and third-party vendors to launch campaigns on time and on budget.
Establish and maintain external relationships including key opinion leaders, key clinicians, focus groups, patient advocacy groups, and so on.
 Qualifications:
At least 7-10 years experience in product marketing - preferably in the healthcare and/or services industry - of which a minimum of 3 years experience in managing teams.
Comprehensive understanding of marketing and product planning processes, strategies, and tactics. Up-to-date with the latest best practices, including digital marketing technologies.
Able to understand and analyze marketing performance metrics.
Strong team management and relationship-building skills to constructively foster relationships internally and externally.
Analytical skills with a problem-solving attitude.","Brand Strategy, External Relationships, Key Opinion Leaders, Marketing, Marketing Analytics, Patient Advocacy, Performance Metrics, Positioning (Marketing), Product Launch, and Product Marketing",https://media.licdn.com/dms/image/v2/D560BAQHwN9RKcpcHgg/company-logo_100_100/company-logo_100_100/0/1704446370246/monroe_consulting_group_logo?e=1733356800&v=beta&t=Sg8IYDuVxwCnVQAG4FvhmIvw56BFKOZ_Uva4kRyB8Fs,On-site,"Bali, Indonesia"
ABeam Consulting Indonesia,Hyper Automation Architect,Reposted 5 days ago,"Responsibilities

Propose solutions using Digital tools based on the issue and the requirement to improve business operations.
Propose and advice to create system architecture with Digital tools.
Evaluate the business impact of certain technology choices.
Provide supervision and guidance to the development team and solve any technical problems that arise.
Continuously research current and emerging technologies and suggest changes where necessary.

Qualifications

Bachelor's degree in Finance, Mathematics, Statistics, Computing, IT or related fields. 7 years working experience in IT systems / projects and involved in user requirement analysis, system analysis and system design.
At least 2 years of work experience in a Consulting firm.
Have knowledge and developing experiences of Digital Automation tools such as RPA, AI-OCR, Chatbot and workflow, etc.
Have communication skill to establish client relationship.
Have project experiences of business/system requirement phase.
Have project experiences of system implementation project.
Have experience of managing 3rd party vendor in projects.
Able to work in a fast-paced and deadline-oriented environment.
Strong written and verbal English communication skills including technical writing skills.

About Us

From business process re-engineering to global business expansion for Japanese corporations, we have served our clients through more than 40 years of growth. With our vision of being the No. 1 global consulting firm from Asia, ABeam Consulting helps our clients take on the challenge of business transformation. With 5,900 consultants in Japan, and 2,400 in overseas offices concentrated in Asia, our 8,300 consultants and global alliance partners provide truly comprehensive services.","Business Analytics, Client Requirements, Deadline Oriented, Functional Specifications, and Systems Analysis",https://media.licdn.com/dms/image/v2/D560BAQFOzMayzfm-ig/company-logo_100_100/company-logo_100_100/0/1697431025577/abeamconsultingid_logo?e=1733356800&v=beta&t=B5XiVLhBEsGZzNuD5dS_0kdLN-PnPecFl-lAqNHT6Ns,Full-time,"Jakarta, Jakarta, Indonesia"
Norconsult Telematics,SAP Analytics Cloud (SAC),2 weeks ago,"Note--Job is based in Saudi Arabia in full-time onsite mode. ( No remote/hybrid)

Position Objective:
We are seeking experienced SAP Functional Consultants to join our team, with a primary focus on leading and managing the implementation and optimization of SAP Analytics Cloud (SAC). The successful candidates will play a crucial role in analyzing business processes and mapping them to SAC solutions, acting as a bridge between the business and technical teams to ensure the effective integration and utilization of SAC applications.

Job Description and Responsibilities:
Business Process Analysis:
Analyze and document business requirements and map them to SAC solutions, ensuring a deep understanding of business needs.
Facilitate workshops with stakeholders to gather detailed requirements and translate them into technical specifications.
System Configuration & Customization:
Configure and customize SAC applications, including data models, stories, dashboards, and planning workflows.
Develop complex calculations, scripts, and data transformations using SAC's modelling capabilities.
Integrate SAC with other SAP and non-SAP systems:
Ensure seamless data flow and reporting across platforms.
Advanced Analytics & Predictive Capabilities:
Leverage SAC's predictive analytics features to create forecasting models and what-if scenarios.
Implement machine learning algorithms within SAC to enhance decision-making processes.
Project Management & Collaboration:
Manage SAC projects from inception to completion, ensuring timely delivery within budget constraints.
Collaborate with cross-functional teams to ensure a holistic approach to analytics.
Data Connectivity & Integration:
Set up and manage data connections within SAC, including live data connections and data acquisition models.
Ensure data integrity and consistency across various data sources connected to SAC.
Training & Support:
Conduct workshops and training sessions to educate end-users on SAC functionalities.
Provide ongoing support and troubleshooting for SAC applications.
Optimization & Continuous Improvement:
Continuously monitor SAC performance and identify opportunities for optimization.
Stay updated with the latest SAC features and best practices.
Compliance & Reporting:
Ensure all SAC implementations comply with relevant standards.
Design and generate complex reports and dashboards for senior management.

Qualifications and Skills:
Bachelor’s or Master’s degree in Finance, Accounting, Computer Science, Information Technology, Business Administration, Data Science, or a related field.
SAP Certification in SAP Analytics Cloud, certified by SAP partners.
Additional certifications in data analytics, machine learning, or data science are advantageous.
Min 10+ years of experience as an SAP Functional Consultant with hands-on experience in SAP Analytics Cloud implementation and Group Reporting.
Proven track record of leading and delivering successful SAP Analytics Cloud projects across various industries.
Advanced knowledge of SAP Analytics Cloud configuration.
Proficiency in SAC scripting languages.
Experience with integrating SAC with SAP BW/4HANA, SAP S/4HANA, and other third-party data sources.
Strong understanding of SAC's predictive analytics capabilities.
Familiarity with SAP Data Warehouse Cloud and SAP Business Technology Platform is a plus.
Excellent communication and interpersonal skills.
Strong project management skills.
High attention to detail and a commitment to continuous improvement.
Proficient in English; additional languages are an advantage.","Business Process Analysis, Data Modeling, SAP Analytics Cloud, SAP Business Warehouse (SAP BW), Scripting, and Technical Specs",https://media.licdn.com/dms/image/v2/D4D0BAQE-XXg_ARZbgw/company-logo_100_100/company-logo_100_100/0/1708330269251/norconsult_telematics_ltd_logo?e=1733356800&v=beta&t=YfY4tQatNI9IJdgcCYef_AXYdGNzHL6df-S_Tj6brbQ,On-site,"Jakarta, Indonesia"
Vertiv,"Customer Engineer, Thermal",2 weeks ago,"RESPONIBILITIES:
Assist the Operations Manager, Thermal to carry out the company's commitment and promise delivery of service level to the customers.
To provide technical support and assistance in the cost evaluation for ""time & material"" repair quotation.
To assist in the cost evaluation required for ""time & material"" repair quotation. 
Exercise a professional and customer oriented approach with a service level reflecting Vertiv as a company of world class quality.
Participate and contribute to the training, supervision, motivation and development of the senior technicians and technicians for continual improvement and optimized performance.
Keeping up to date the knowledge and application of company products/services.
Continually developing and improving himself as a service professional by self analysis, reading, benchmarking against the best in the industry and practicing.
Accountable for delivery professional and quality Service which meet the customer's expectation. 
Make Vertiv to customers preferred choice as trusted business partner by delivering quality and services on time.
REQUIREMENTS:
Minimum University Degree.
Excellent knowledge in air-conditioning.
Minimum 2 years' experience in Service Engineer position.
Computer literacy.
Good communication skills both towards customers and internally.
Analytical, reliable, hardworking, strong commitment to excellence.
Customer orientated team player and self-motivated, creative, analytic and innovative.
Good leadership to coach and guide technicians. 
The successful candidate will embrace Vertiv's Core Principals & Behaviors to help execute our Strategic Priorities. 
OUR CORE PRINCIPALS: Safety. Integrity. Respect. Teamwork. Diversity & Inclusion.
OUR STRATEGIC PRIORITIES
Customer Focus
Operational Excellence
High-Performance Culture
Innovation
Financial Strength
OUR BEHAVIORS
Own It
Act With Urgency
Foster a Customer-First Mindset
Think Big and Execute
Lead by Example
Drive Continuous Improvement
Learn and Seek Out Development
 At Vertiv, we're on a mission to empower the people that will power the future. From a simple swipe to life-changing medicines, from push notifications to generative AI. We design, manufacture, and service the products and solutions that keep the world connected. With $6.9 billion in revenue, a strong customer base and global reach spanning nearly 70 countries, we are uniquely positioned to deliver greater value to our customers and create new opportunities for our people. 
Vertiv is an Equal Opportunity/Affirmative Action employer. We promote equal opportunities for all with respect to hiring, terms of employment, mobility, training, compensation, and occupational health, without discrimination as to age, race, color, religion, creed, sex, pregnancy status (including childbirth, breastfeeding, or related medical conditions), marital status, sexual orientation, gender identity / expression (including transgender status or sexual stereotypes), genetic information, citizenship status, national origin, protected veteran status, political affiliation, or disability. If you have a disability and are having difficulty accessing or using this website to apply for a position, you can request help by sending an email to . If you are interested in applying or learning more about this role, please visit the company's career page located on Vertiv.com/Careers","Analytical Skills, Communication, High Performance Computing (HPC), Service Levels, and Troubleshooting",https://media.licdn.com/dms/image/v2/D4D0BAQFa8t5R2vYXSw/company-logo_100_100/company-logo_100_100/0/1709730148932/vertiv_logo?e=1733356800&v=beta&t=JXmrQuZCqUoMa05jwDTAatvl6OhpC8ea1-wu7oCOmCA,Full-time,"Jakarta, Indonesia"
Deloitte,Senior Manager - Artificial Intelligence & Data- Indonesia,Reposted 1 week ago,"At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clientsDate: 29 Aug 2024

Service Line / Portfolios: Strategy, Growth & Innovation

Location:

Jakarta, ID

Are you ready to unleash your potential?

At Deloitte, our purpose is to make an impact that matters for our clients, our people, and the communities we serve.

We believe we have a responsibility to be a force for good, and WorldImpact is our portfolio of initiatives focused on making a tangible impact on society’s biggest challenges and creating a better future. We strive to advise clients on how to deliver purpose-led growth and embed more equitable, inclusive as well as sustainable business practices.

Hence, we seek talented individuals driven to excel and innovate, working together to achieve our shared goals.

We are committed to creating positive work experiences that foster a culture of respect and inclusion, where diverse perspectives are celebrated, and everyone is recognised for their contributions.

Ready to unleash your potential with us? Join the winning team now!

Work you will do

This role sits within the Artificial Intelligence and Data (AI&D) team of Deloitte Consulting Southeast Asia, which encompasses data, analytics, and intelligent automation (IA). As a Senior Manager in this group, you will lead the delivery of our Intelligent Automation solutions, including robotic process automation, intelligent character recognition, chatbots/virtual assistants, and artificial intelligence.

The Artificial Intelligence & Data team leverages the power of data, analytics, robotics, science, and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. We help clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.

As a Senior Manager you will:

Client Engagement: Lead the delivery of client work, managing a cross-service line team for major projects. Take ownership of practice development and business management activities to grow the AI&D practice, aligning to an industry to exploit depth of knowledge and professional experience. 
Solution Development: Develop and implement innovative IA solutions, including designing and developing data structures and integration processes to support Big Data, Analytical models, and traditional BI/DW reporting solutions using relational and non-relational data management technologies and Cloud technologies. 
Data Integration: Design and develop data integration processes with a variety of structured and unstructured data using tools such as Informatica, Talend, or AWS Glue, Azure Data Factory, and/or Google Cloud Data Fusion. 
Data Visualization: Partner with business users to co-design impactful visual, interactive dashboards and reports using technologies such as QlikView, Tableau, Spotfire, PowerBI, AWS QuickSight, and Google Looker. 
Predictive Analytics: Design modeling approaches and solutions, applying analytical models to predict business outcomes using tools such as Dataiku, AWS Sagemaker, GCP VertexAI, TensorFlow, Keras, or PyTorch. 
Generative AI: Develop and implement Large Language Models (LLMs) and Generative AI in actual business processes. 
Governance: Apply core complementary information management disciplines including Data Governance, Data Quality, Master Data Management (MDM), and Metadata management. 
Market Presence: Strengthen Deloitte's presence in the market, identify revenue-generating opportunities, and get involved in proposal writing and pitch presentations. 
Client Relationships: Build and maintain trusted relationships with key clients and maintain project portfolio/pipeline. 

Your role as a leader

At Deloitte, we believe in the importance of empowering our people to be leaders at all levels. We connect our purpose and shared values to identify issues as well as to make an impact that matters to our clients, people and the communities. Additionally, Senior Managers across our Firm are expected to:

Establish a strong leadership brand and inspire their team through passion, integrity, and appreciation of others.
Make effective use of resources to optimise value.
Demonstrate the success and efficiency of Deloitte through leveraging its network and people.
Deliver exceptional quality results and stakeholder value by leveraging each person’s strengths to build high performing teams across businesses and borders.
Apply deep knowledge of disruptive trends and competitor activity to drive continuous improvement.
Build deep professional relationships across a diverse network and use a flexible influencing style to gain buy-in and drive impact.
Translate broader strategy into a compelling team vision and goals as well as align the team and sets priorities to achieve objectives.
Contribute to building an inclusive talent pipeline by creating a talent experience that attracts, develops and retains diverse, top talent and high performing teams.

Requirements

Educational Background: A good honors Degree, preferably at the postgraduate level, in Computer Science, Software Engineering, Statistics, Mathematics, or related disciplines. 
Experience:
Extensive experience in a Big 4 or MNC Consulting firm or equivalent industry role, with a minimum of 10 years of relevant experience and solid experience in the sales cycle and leading project teams. 
Strong experience directly interfacing with senior business and IT stakeholders for clients. 
Technical Expertise: 
Proficiency in programming languages such as Scala, Python, or R. 
Extensive experience with relational and non-relational data stores, and building data ingestion and transformation pipelines using Big Data technologies and ETL tools. 
Proficiency in cloud Data Engineering, including implementing Azure Data Factory, AWS Glue, Google DataProc, or Google DataFlow. 
Familiarity with Agile methodologies and tools like Git, Subversion, or Mercurial. 
General knowledge of Linux/Unix operating systems and Shell scripting. 
Interpersonal Skills: 
Exceptional problem-solving skills, client-focused mindset, and results orientation. 
Outstanding communication, presentation, and negotiation skills in English. 
Consulting Lifestyle: Ability to travel and adapt to the consulting lifestyle. 
In addition to a strong client service orientation, we seek leaders who can deliver quality solutions with superior analytical and problem-solving skills. Excellent interpersonal and communication skills, business acumen, teamwork, and leadership qualities are essential.

Due to volume of applications, we regret that only shortlisted candidates will be notified.

Please note that Deloitte will never reach out to you directly via messaging platforms to offer you employment opportunities or request for money or your personal information. Kindly apply for roles that you are interested in via this official Deloitte website.

Requisition ID: 104308

In Indonesia, the services are provided by Imelda & Rekan and other related entities in Indonesia (""Deloitte in Indonesia""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Indonesia, which is within the Deloitte Network, is the entity that is providing this Website.","Analytics, Azure Data Factory, Big Four Accounting Firms, Data Ingestion, ETL Tools, Extract, Transform, Load (ETL), Google Cloud Dataflow, Interpersonal Communication, Project Teams, and Scala",https://media.licdn.com/dms/image/v2/C560BAQGNtpblgQpJoQ/company-logo_100_100/company-logo_100_100/0/1662120928214/deloitte_logo?e=1733356800&v=beta&t=9QgMfZ0XdBUF1f7YfYGSLFToccmT3OPW1EuclvGqStQ,Hybrid,Jakarta Metropolitan Area
Deloitte,Manager - Artificial Intelligence & Data - ID,Reposted 22 hours ago,"At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clientsDate: 15 Aug 2024

Service Line / Portfolios: Strategy, Growth & Innovation

Location:

Jakarta, ID

Are you ready to unleash your potential?

At Deloitte, our purpose is to make an impact that matters for our clients, our people, and the communities we serve.

We believe we have a responsibility to be a force for good, and WorldImpact is our portfolio of initiatives focused on making a tangible impact on society’s biggest challenges and creating a better future. We strive to advise clients on how to deliver purpose-led growth and embed more equitable, inclusive as well as sustainable business practices.

Hence, we seek talented individuals driven to excel and innovate, working together to achieve our shared goals.

We are committed to creating positive work experiences that foster a culture of respect and inclusion, where diverse perspectives are celebrated, and everyone is recognised for their contributions.

Ready to unleash your potential with us? Join the winning team now!

 Work you will do 

This role sits within the Artificial Intelligence (AI) & Data team of Deloitte Southeast Asia, which encompasses data, analytics and intelligent automation (IA). As a Manager of this group, you will drive the growth of our IA business in the region and be responsible for the creation, sale and delivery of AI & Data solutions.

The AI & Data team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. We help clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.

Key Responsibilities:

 Client Engagement: Focus on delivering client work and lead a cross-service line team for major deliverables and projects. Work as a key business partner to high-profile clients, developing expertise from strategy to execution. 
 Solution Development: Develop and implement innovative IA solutions, including designing and developing data structures and integration processes to support Big Data, Analytical models, and traditional BI/DW reporting solutions using relational and non-relational data management technologies and Cloud technologies. 
 Data Integration: Design and develop data integration processes with a variety of structured and unstructured data using tools such as Informatica, Talend, or AWS Glue. 
 Data Visualization: Partner with business users to co-design impactful visual, interactive dashboards and reports using technologies such as QlikView, Tableau, Spotfire, PowerBI, AWS QuickSight, and GCP Looker. 
 Predictive Analytics: Design modeling approaches and solutions, applying analytical models to predict business outcomes using tools such as Dataiku, AWS Sagemaker, GCP VertexAI, and languages like Python or R. 
 Generative AI: Develop and implement Large Language Models (LLMs) and Generative AI in actual business processes. 
 Governance: Apply core complementary information management disciplines including Data Governance, Data Quality, Master Data Management (MDM), and Metadata management. 
 Market Presence: Strengthen Deloitte's presence in the market, identify revenue-generating opportunities, and get involved in proposal writing and pitch presentations. 
 Client Relationships: Build trusted relationships with key clients and provide strategic insights and solutions across various industries, including Energy and Resources, Public Sector, Financial Services, Life Sciences and Health Care, Consumer Business, Manufacturing, and Telecommunications. 

 Your role as a leader 

At Deloitte, we believe in the importance of empowering our people to be leaders at all levels. We connect our purpose and shared values to identify issues as well as to make an impact that matters to our clients, people and the communities. Additionally, Manager across our Firm are expected to:

 Demonstrate a strong commitment to personal learning and development. 
 Understand how our daily work contributes to the priorities of the team and business. 
 Understand the set expectations and demonstrate accountability in keeping personal performance on track. 
 Actively focus on developing effective communications and relationship-building skills with stakeholders, clients and team. 
 Demonstrate an appreciation for working with others. 
 Understand what is fundamental to Deloitte’s success as a business. 
 Demonstrate integrity and an awareness of strengths, differences, and personal impact. 
 Develop their understanding of Deloitte and offer a fresh perspective. 

Requirements

 Educational Background: A good honors Degree, preferably at the postgraduate level, in Computer Science, Software Engineering, Statistics, Mathematics, or related disciplines. 
 Experience:
 Extensive experience in a Big 4 or MNC Consulting firm or equivalent industry role, with a minimum of 8 years of relevant experience and solid experience in the sales cycle and leading project teams. 
 Strong experience directly interfacing with senior business and IT stakeholders for clients. 
 Technical Expertise:
 Proficiency in programming languages such as Scala, Python, or R. 
 Extensive experience with relational and non-relational data stores, and building data ingestion and transformation pipelines using Big Data technologies and ETL tools. 
 Proficiency in cloud Data Engineering, including implementing Azure Data Factory, AWS Glue, Google DataProc, or Google DataFlow. 
 Familiarity with Agile methodologies and tools like Git, Subversion, or Mercurial. 
 General knowledge of Linux/Unix operating systems and Shell scripting. 
 Interpersonal Skills:
 Exceptional problem-solving skills, client-focused mindset, and results orientation. 
 Outstanding communication, presentation, and negotiation skills in English. 
 Consulting Lifestyle: Ability to travel and adapt to the consulting lifestyle. 
In addition to a strong client service orientation, we seek leaders who can deliver quality solutions with superior analytical and problem-solving skills. Excellent interpersonal and communication skills, business acumen, teamwork, and leadership qualities are essential.

Due to volume of applications, we regret that only shortlisted candidates will be notified. 

Please note that Deloitte will never reach out to you directly via messaging platforms to offer you employment opportunities or request for money or your personal information. Kindly apply for roles that you are interested in via this official Deloitte website.

Requisition ID: 104035

In Indonesia, the services are provided by Imelda & Rekan and other related entities in Indonesia (""Deloitte in Indonesia""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Indonesia, which is within the Deloitte Network, is the entity that is providing this Website.","Analytics, Big Four Accounting Firms, Communication, Data Ingestion, ETL Tools, Google Cloud Dataflow, Problem Solving, Project Teams, Service Orientation (Social), and Strategy to Execution",https://media.licdn.com/dms/image/v2/C560BAQGNtpblgQpJoQ/company-logo_100_100/company-logo_100_100/0/1662120928214/deloitte_logo?e=1733356800&v=beta&t=9QgMfZ0XdBUF1f7YfYGSLFToccmT3OPW1EuclvGqStQ,Hybrid,Jakarta Metropolitan Area
