Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
RedDoorz,Business Development Manager - Batam,4 weeks ago,"Responsibilities
Build and acquire new sales leads and grow potential hotel and property owners
Engage client relationships
Keep abreast of local market trends and grasp sales opportunities proactively to achieve targets
Prepare sales materials such as proposals or contracts

Qualifications
Bachelor's degree or equivalent experience
2 - 3 years' prior industry related business development experience
Has experience in canvassing
Strong communication and interpersonal skills
Focused and goal-oriented
Can join as soon as possible","Business Development, Canvassing, Market Analysis, and Sales",https://media.licdn.com/dms/image/v2/C4D0BAQHvirkpvGR44w/company-logo_100_100/company-logo_100_100/0/1631300612342?e=1733356800&v=beta&t=VrmdfXfocScU05ovWyhHl5JPQ3VDsJmJFPlYtTRw3s8,On-site,"Batam, Riau Islands, Indonesia"
AEON Credit Service Indonesia,Information Technology Division Head,2 weeks ago,"Job Role :
Develop and execute our organization's technology strategy, aligning technology objectives with our overall business strategy.
Manage our tech personnel.
Ensure that our technological infrastructure is effective and up-to-date, including hardware, software, and telecommunications systems.
Identify opportunities to leverage technology for the benefit of our organization, identifying opportunities to integrate them into our business operations.
Maintain effective relationships with vendors, partners, and other stakeholders, ensuring that our technology advancements are aligned with our business objectives.
Ensure that our technology operations comply with relevant regulations and standards, including data privacy and security requirements


Requirement 
Bachelor's or master's degree in computer science, information systems, or any related major
At least 7 year(s) of working experience in the related field. Preferable as a IT Division Head or min 1 year in Financial Technology, Multi-finance, or Banking Industry
Great leadership skills, with the ability to inspire and motivate technology personnel
Great communication skills, with the ability to effectively communicate technology concepts to non-tech stakeholders
Having many experiences in developing and executing technology strategies that align with business goals and objectives
Knowledge of relevant technologies and trends, including software development methodologies, cloud computing, and cybersecurity","High-Tech Industry, Information Technology, Machine Learning, and Strategic Thinking",https://media.licdn.com/dms/image/v2/C4E0BAQF_dizpNbqMEw/company-logo_100_100/company-logo_100_100/0/1653013312411/aeon_credit_service_indonesia_logo?e=1733356800&v=beta&t=bYy3EtpJ64APaz_t0Hl5XWak9dnSmuN5Nij6jGAeUkg,On-site,"South Jakarta, Jakarta, Indonesia"
Medor.id,Sales Manager (software/IT),4 days ago,"Sales manager (software) - Hybrid


About us
Medor is a recruitment firm specialised in tech and digital. Located in Indonesia, we are providing positions in Indonesia and APAC for local and international companies. 

About the customer 
Our customer is an international software house in South Jakarta working for both Indonesian and International customers. They specialize in website development, custom software development, mobile apps, and ERP solutions.

Job Description: 
The Sales Manager will be responsible for leading the sales team, developing new business opportunities, and driving revenue growth in the software sector. The ideal candidate will have a strong background in software sales, excellent communication skills, and a proven track record of meeting and exceeding sales targets.

Responsibilities:
Develop and implement effective sales strategies to achieve company goals.
Conduct market research to identify new business opportunities and stay updated on industry trends.
Set and monitor sales targets and KPIs for the sales team.
Identify and pursue new business opportunities through networking, prospecting, and other lead generation activities.
Build and maintain strong relationships with potential and existing clients.
Present and demonstrate software solutions to clients, addressing their needs and requirements.
Foster a positive and collaborative team environment.
Manage the entire sales process from initial contact to closing deals.
Negotiate contracts and agreements with clients.
Ensure high levels of customer satisfaction and maintain long-term client relationships.
Implement corrective actions to address any shortfalls in sales performance.

Requirements:
Bachelor’s degree in Business, Marketing, or a related field. A master’s degree is a plus.
Minimum of 5 years of experience in software sales or selling a tech related service
Proven track record of meeting or exceeding sales targets.
Strong understanding of the software industry and related technologies.
Excellent communication, negotiation, and presentation skills.
Ability to lead and motivate a sales team.
Strong analytical and problem-solving skills.
Fluency in English and Bahasa Indonesia.
Basic knowledge one of of the following : website development, custom software development, mobile apps, ERP or software as service","Business Development, Business Strategy, ERP Software, Enterprise Resource Planning (ERP), Sales, Sales Management, Sales Processes, Software Implementation, and Software Industry",https://media.licdn.com/dms/image/v2/C560BAQEBykZYFIcDKg/company-logo_100_100/company-logo_100_100/0/1678250490436/medor_id_logo?e=1733356800&v=beta&t=vrUMDtpFWl78gwTzJtj-bPX5nv8k5vrNvZAV3dkpp6U,Hybrid,"South Jakarta, Jakarta, Indonesia"
"Wayzim Technology Co., Ltd.",Sales Manager,Reposted 3 weeks ago,"Company Description:
Wayzim is an industry-leading supplier of intelligent logistics equipment, intelligent vision systems and industrial sensors. One of the few international companies that have the integrated capabilities to research, develop, design, and manufacture intelligent logistics equipment systems and key components.

We have a strong interest in finding the best employees for our company and in their being committed to us for the long term. Naturally, it is our employees who inspire our customers and partners. At Wayzim Indonesia, you can take your career to new heights in a challenging and exciting global environment.

Job Description
As a Sales Expert your main functions/tasks will be:
· Commercial responsible for proposals by meeting our clients' needs.
· Acquisition of new projects with existing and new customers.
· Ensure understanding of customer needs.
· Define sales strategies on how to win new projects / customers.
· Define value propositions in projects.
· Prioritize projects to quote / not quote to optimize hit rate.
· Development of new markets, new segments / branches and new offerings.
· Customer contact on any level needed incl. management level.
· Responsible for coordination of sales process incl. SAF meetings (lead, target, quotation).
· The responsibilities cover all commercial, proposal activities.
· Thus, activities also include contract negotiations concerning performance requirements, schedules, layouts and also the complete sales pricing of the projects.
· Ensuring a confident handover to our project execution teams worldwide after contract signature.
· Know the activities of our Group Company in a project during sales phase.
· Monitor competitors.
· Keep focus on new trends / developments in the market (input to R & D roadmap).
· Responsible for the content of presentations related to the different Wayzim products.
· Learning the products, processes, business principles etc. and coach colleagues.


Job Requirements:
· You have a Bachelor or Master in Engineering or a commercial background.
· Preferably you have +5 years of experience with identifying customer needs and translating them into optimal systems.
· Preferably you have +5 years of experience with successful contract negotiations in regard to technical aspects of systems.
· Preferably experience with leading the technical part of proposals by covering all technical and pricing activities.
· You are experienced in organizing and leading a confident handover to a project execution team.
· You are strongly goal orientated and you have a holistic and strong technical mind-set and, you act with authority.
· You have a high degree of initiative, and you enjoy working in an international team
· You are fluent in English.
· You are willing to travel.",Sales,https://media.licdn.com/dms/image/v2/D560BAQEEtHxYdVqMhw/company-logo_100_100/company-logo_100_100/0/1691995799974/wayzim_logo?e=1733356800&v=beta&t=FvUFgX3cbbdfeckxEzav4WxCiZKIwQLMq_oBnr76v6k,On-site,"Jakarta, Indonesia"
VLink Inc,iOS Developer,2 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,Hybrid,"Jakarta, Indonesia"
AVSystem,Sales Engineer,1 week ago,"Job description
🌟 Location: Indonesia
🔍 Industry: Technology - Telecommunications/SaaS

🚀 About the Position:
We are seeking a dynamic Sales Engineer to join our team, acting as a key technical resource for our Sales Team. This role focuses on supporting pre-sales and post-sales customer support activities, ensuring technical success by addressing customer and channel partner needs, delivering product training, and managing project execution. The successful candidate will report to the Head of Sales and work closely with our Engineering and Product teams to provide critical feedback for product development.

🔗Key Responsibilities:
Provide expert technical support to direct sales and channel partners, addressing inquiries about our products and solutions. Assist potential customers, end users, and partners through technical evaluations, system presentations, and training.
Lead product demonstrations, deliver impactful technical presentations, and support pre-sales efforts by responding to RFPs and participating in system evaluations.
Deliver comprehensive post-sales engineering support, including project management and professional services. Conduct product trials, training sessions, and onsite customer engagements to ensure the highest level of customer satisfaction.
Offer support via telephone, email, and site visits to network managers and technical staff. Provide after-hours emergency support as needed.
Create and review technical documentation, ensuring accuracy and clarity. Prepare detailed reports and provide valuable feedback to the product development team.
Collaborate effectively both independently and within teams to resolve customer issues, working closely with the Support team and contributing to product development initiatives.
Adapt to a variety of projects in pre-sales and post-sales environments. Ensure timely and satisfactory project delivery, responding to on-demand requirements.

🌱Qualifications:
Bachelor's degree or diploma in computer science, engineering, or a related field.
Strong understanding of TCP/IP networking on Windows and UNIX/Linux platforms. Network administration experience is a plus.
Familiarity with scripting languages (Python, Bash) for rapid prototyping
Exceptional communication skills in English, both written and verbal. 
Proficiency in Mandarin is a bonus.
Willingness to travel up to 30% of the time to support customer and partner engagements.
Enjoy working in a collaborative team environment and possess strong interpersonal skills.
Excellent analytical and problem-solving abilities, with a capacity to work under pressure and meet tight deadlines.
Demonstrate a professional demeanor and phone manner, ensuring a positive and professional customer experience.

💼Additional Skills:
Previous experience in technical support or help desk roles is advantageous.
Ability to manage various projects and adapt to an on-demand work environment, ensuring the successful delivery of pre-sales and post-sales projects.","Customer Support, IP Networking, Internet Protocol Suite (TCP/IP), Networking, Post-Sales, Pre/Post Sales Engineers, Product Demonstration, Python (Programming Language), Sales Engineering, and Technical Support",https://media.licdn.com/dms/image/v2/D4D0BAQGQauet5_J_Cw/company-logo_100_100/company-logo_100_100/0/1698408890543/avsystem_logo?e=1733356800&v=beta&t=wtGMVjkcuZCgOtjhzHjeBQTj16IVZnbEhhexuptlk64,Hybrid,"Jakarta, Indonesia"
PT Asuransi BRI Life,Corporate Plan Officer,17 minutes ago,"Job Qualification 
Minimum Bachelor's degree from reputable university.
Having strong analytical thinking (Preparation of Company Performance - Reports And the condition of the life insurance industry).
Have ability with data (quantity / quality) oriented high initiative.
Ability to use Ms. Office.
Excellent communication in english both active and passive.","Analytical Skills, Communication, and Insurance Industry",https://media.licdn.com/dms/image/v2/C560BAQGtAY901OqlsQ/company-logo_100_100/company-logo_100_100/0/1680076083412/asuransi_brilife_logo?e=1733356800&v=beta&t=qU4NLXnqKo3a2TUxIW5dfppQEbmk-uZ1oAe0QGxh_PQ,On-site,"Jakarta, Indonesia"
EY,Consulting - Tech FSO (Financial Services) Manager/Senior Manager,Reposted 6 days ago,"Why should I work for Ernst & Young's Financial Services (FSO)?

We are the only professional services organisation who has a separate business dedicated exclusively to the financial services marketplace. Join Financial Services (FSO) and you will work with multi-disciplinary teams from around the world to deliver a global perspective. Aligned to key industry groups including asset management, banking and capital markets, insurance and private equity, we provide integrated advisory, assurance, tax, and transaction services.

Through diverse experiences, world-class learning and individually tailored coaching you will experience ongoing professional development. That’s how we develop outstanding leaders who team to deliver on our promises to all of our stakeholders, and in so doing, play a critical role in building a better working world for our people, for our clients and for our communities. Sound interesting? Well this is just the beginning. Because whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

The opportunity

In a world where disruption is commonplace and technology changes business at an amazing rate, we help solve complex industry challenges while helping our clients manage risk and improve their performance. As a future FSO Technology Consultant, you will help our clients in the following domains:

Business & strategic challenges: business & solution architecture, business process design for the digitization of core banking or insurance processes, digital transformation in an agile context, project / program management, business and IT alignment of digital driven business initiatives, front-to-back renewal, and design & improvement of digital operating models.
Technical matters: data science, advanced analytics embedded in core business processes, IoT, data strategy, data governance, data quality, data architecture, data management, data usage, blockchain, artificial intelligence and RPA.

As part of the team, you will work on specific projects critical to financial services current landscape, with opportunities to switch teams, as you and our fast-paced business grow and evolve. You will play an important part in taking EY to the next level.

To qualify for the role you must have

A Bachelor or Master's Degree in (Business) Engineering, Computer Science, Information Systems Management, Mathematics, (applied) Economics or a related field of studies with an affinity for leading-edge technologies
Previous experience of at least 7 years in roles of Functional Consultant or Analyst Programmer preferably in companies in the financial services industry (payments, banks, insurance, capital markets).
Solid analytical skills
Knowledge of project management with agile, traditional and hybrid methodologies.
Advanced level of English.
Experience in team leadership.
Excellent oral and written communication skills.

If you can demonstrate that you meet the criteria above, please apply as soon as possible.","Analytical Skills, Communication, Data Governance, Data Science, Data Strategies, Digitization, Negotiation, Process Design, Team Leadership, and Written Communication",https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1733356800&v=beta&t=RrTPG8YlIhUlEyfXcWM1sEfwHcLvjidUsT0354HhTow,On-site,"Jakarta, Jakarta, Indonesia"
Siemens Digital Industries Software,Presales Channel Solutions Consultant (CAD),Reposted 1 week ago,"Siemens Digital Industries Software is a leading provider of solutions for the design, simulation, and manufacture of products across many different industries. Formula 1 cars, skyscrapers, ships, space exploration vehicles, and many of the objects we see in our daily lives are being conceived and manufactured using our Product Lifecycle Management (PLM) software.

As part of our continuing growth in Southeast Asia (SEA), we are now looking for a driven and highly motivated Presales Solutions Consultant (CAD) to join our Presales team in Jakarta, Indonesia. The ideal candidate will need to have an excellent understanding of the technical aspects of software business and including a strong focus on building and leveraging relationships with our partners and selective end users, representing Siemens DISW CAD portfolio to senior levels of customers’ organization, and bringing opportunities forward on a selective basis to enable timely and successful closure.

Responsibilities:

 Provide presales technical solution leadership and support for the Siemens DISW Mechanical CAD Portfolio, leveraging a combination of application and domain expertise to a variety of Siemens customers in various industries
 Bring opportunities to a technical closure through participating in the value discovery and assessment process to assist in determining the customer needs
 Develop opportunities by creative technical/commercial thinking.
 Lead technical discussions and conduct product demonstrations to customers
 Lead or assist in software proposal, and assist & verify with partners in solution proposals to customers
 Support customer product evaluations through workshop, training, and benchmarks
 Plan, coach, and support channel pre-sales teams in SEA on technical enablement and value discovery and assessment method.
 Support channel partners in technical sales process to facilitate sales of software
 Support transition from pre- to post-sales, assisting implementation team to take over.
 Funnel creation through supporting sales process and marketing events such as trade shows, presentations, seminars, etc.
 Uphold the professional integrity of Siemens at all times
 Adhere to, and promote, all core internal and customer processes relating to the effective undertaking of the role
 Undertake any business administration in line with job activity
 Undertake any other duties required by the company

Requirements:

Qualifications:

 Bachelor/Master’s Degree in Mechanical/Mechatronics/Robotics Engineering
 Good knowledge in dealing with 3D modelling and 2D drawing.
 Experience working with tools such as NX, Creo, Catia and/or SolidWorks.
 Prior industry experience working as a mechanical engineer or designer.
 Strong interest in Tech, Manufacturing, IoT and Industry 4.0 themes.
 Familiarity with PLM/PDM systems would be an added advantage.

Competencies:

 Minimum 7 or more years of CAD/PLM presales experience
 Proven track record or experience in demonstrating value as a CAD professional and ability to articulate unique selling proposition.
 Sound knowledge in GD&T, analysis, also Electrical PLC & Automation machinery.
 Ability to lead and work independently and confidently in analysing customer requirements and transform them into workable solutions.
 Ability to prioritize multiple assignments and deadlines.
 Dynamic with excellent leadership and high level of accountability
 Excellent sales and relation building skills
 Excellent communication skills in English and good presentation skills
 Ability to work well under pressure and self-motivated.
 Willing to work hard and face challenges.
 IT savvy and ability to multitasks.
 Travelling is required and ability to travel within a short notice is a must.
 Practical experience in design and/or manufacturing is a plus.

Working at Siemens Software

Why us?

Working at Siemens Software means flexibility - Choosing between working at home and the office at other times is the norm here. We offer great benefits and rewards, as you'd expect from a world leader in industrial software.

Siemens Software. Transform the everyday.","3D Modeling, Computer-Aided Design (CAD), Customer Requirements, Post-Sales, Presales, Presentation Skills, Presentations, Product Demonstration, Product Evaluations, and Technical Discussions",https://media.licdn.com/dms/image/v2/D4E0BAQFTiUh1DUJ3fA/company-logo_100_100/company-logo_100_100/0/1719793387652/siemenssoftware_logo?e=1733356800&v=beta&t=eFCIfKJCBAVnIw5crwUOm9ErFp6y4L-DhMNv9AUVm8c,Hybrid,"Jakarta, Jakarta, Indonesia"
Deloitte,Senior Consultant - Technology Strategy and Transformation - ID,2 weeks ago,"At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clientsDate: 13 Aug 2024

Service Line / Portfolios: Enterprise Technology & Performance

Location:

Jakarta, ID

Are you ready to unleash your potential?

At Deloitte, our purpose is to make an impact that matters for our clients, our people, and the communities we serve.

We believe we have a responsibility to be a force for good, and World Impact is our portfolio of initiatives focused on making a tangible impact on society’s biggest challenges and creating a better future. We strive to advise clients on how to deliver purpose-led growth and embed more equitable, inclusive as well as sustainable business practices.

Hence, we seek talented individuals driven to excel and innovate, working together to achieve our shared goals.

We are committed to creating positive work experiences that foster a culture of respect and inclusion, where diverse perspectives are celebrated, and everyone is recognised for their contributions.

Ready to unleash your potential with us? Join the winning team now!

Work you will do:

 You will provide end-to-end advisory and overlay point-of-views and industry insights onto the research and analyses provided by the project teams, and seek to formulate innovative technology-enabled solutions to address our clients’ business needs. 
 You will manage the assessment and business requirements gathering processes, review appropriateness of functional specifications against the problem statements/business requirements, and support solutions prototyping and architecture re-design by applying industry insights and know-hows. 
 You will engage our clients in discussions, presentations and workshops to validate technology-enabled solutions provided by the project teams, as well as perform walk-through of work products and deliverables with the clients. 
 You will develop trusted relationships with your clients and gain recognition in the marketplace for technical and advisory capabilities across the spectrum. 
 You will provide quality assurance and ensure timely delivery of work products developed by the project teams. 
 You will actively coach project teams during the execution of projects and support senior team members in maintaining operational excellence at all times. 
 You will meet clients on a regular basis to define problem statements, analyse key priorities/issues, and work with senior team members to develop responses to client enquiries, formulate proposals and produce point-of-view publications. 

Requirements: 

 A good honors Degree, preferably at postgraduate level, in Information Technology, Business Information Systems, Business, Engineering, Mathematics or related disciplines. 
 Senior consultant will require a minimum of 6 years of experience in IT management consulting. 
 Experience in both advisory as well as implementation experience in the following areas:
 IT Strategy: IT strategy development, IT governance, IT operating model, enterprise architecture 
 IT Transformation: IT sourcing advisory, program and project management advisory 
 IT Operations: IT service management, IT shared service management 
 IT Optimization: IT cost reduction, IT Merger & Acquisition 
 Understanding of current IT trends (cloud computing, big data, social media, RPA, IoT, blockchain, etc.) 
 Strong analytical skills, excellent oral and written communication skills in English, be self-motivated, and be able to work in stressful situations with changing priorities 
 Excellent problem solving skills, ability to think out-of-the-box, work under pressure and tight project timelines 
 Drive, tenacity, client focused and results oriented 
 Proven demonstration of sound business acumen, teamwork and leadership qualities. 
 Willingness to work outside of office base and most of all… 
 An appreciation of the consulting lifestyle and ability to travel (both locally and abroad) is a pre-requisite to fit to our short-term and long-term project assignment. 
Due to volume of applications, we regret only shortlisted candidates will be notified.

Please note that Deloitte will never reach out to you directly via messaging platforms to offer you employment opportunities or request for money or your personal information. Kindly apply for roles that you are interested in via this official Deloitte website.

Requisition ID: 105041

In Indonesia, the services are provided by Imelda & Rekan and other related entities in Indonesia (""Deloitte in Indonesia""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Indonesia, which is within the Deloitte Network, is the entity that is providing this Website.","Business Requirements, Functional Specifications, IT Management, Implementation Experience, Management Consulting, Problem Solving, Requirements Gathering, Stressful Situations, Timelines, and Written Communication",https://media.licdn.com/dms/image/v2/C560BAQGNtpblgQpJoQ/company-logo_100_100/company-logo_100_100/0/1662120928214/deloitte_logo?e=1733356800&v=beta&t=9QgMfZ0XdBUF1f7YfYGSLFToccmT3OPW1EuclvGqStQ,Hybrid,Jakarta Metropolitan Area
