Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
RedDoorz,Business Development Manager - Batam,4 weeks ago,"Responsibilities
Build and acquire new sales leads and grow potential hotel and property owners
Engage client relationships
Keep abreast of local market trends and grasp sales opportunities proactively to achieve targets
Prepare sales materials such as proposals or contracts

Qualifications
Bachelor's degree or equivalent experience
2 - 3 years' prior industry related business development experience
Has experience in canvassing
Strong communication and interpersonal skills
Focused and goal-oriented
Can join as soon as possible","Business Development, Canvassing, Market Analysis, and Sales",https://media.licdn.com/dms/image/v2/C4D0BAQHvirkpvGR44w/company-logo_100_100/company-logo_100_100/0/1631300612342?e=1733356800&v=beta&t=VrmdfXfocScU05ovWyhHl5JPQ3VDsJmJFPlYtTRw3s8,On-site,"Batam, Riau Islands, Indonesia"
RedDoorz,Sales Villa,3 weeks ago,"Key Responsibilities:
Develop and implement sales strategies to meet or exceed revenue targets for villa rentals.
Identify new business opportunities and generate leads through networking, cold calling, and industry events.
Build and maintain strong relationships with clients, including corporate accounts, travel agencies, and real estate agents.
Conduct property tours and presentations to prospective clients.
Negotiate contracts and agreements to secure bookings.
Collaborate with the marketing team to create promotional materials and campaigns for villa rentals.
Provide exceptional customer service and support throughout the sales process.
Monitor market trends, competitor activities, and customer preferences to adjust sales strategies accordingly.
Prepare regular sales reports and forecasts for management review.","Online Travel, Presentations, Sales, Sales Negotiation, and Villas",https://media.licdn.com/dms/image/v2/C4D0BAQHvirkpvGR44w/company-logo_100_100/company-logo_100_100/0/1631300612342?e=1733356800&v=beta&t=VrmdfXfocScU05ovWyhHl5JPQ3VDsJmJFPlYtTRw3s8,On-site,"Bali, Indonesia"
VLink Inc,iOS Developer,2 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,Hybrid,"Jakarta, Indonesia"
Home Credit Indonesia,Insurance Product Manager,1 week ago,"The purpose of this position is to research, development, testing and implementation of bundling insurance & protection products which will enable to give added value to customers on top of financing product and generate a desirable amount of fee based income. 

Plan and analyze performance of existing and new insurance / protection products and drive changes in processes, approaches and design to achieve and over-deliver on targets. Coordinate efforts to implement changes and ensure good understanding of all relevant internal and external parties of the products and processes. 

Actively drive great customer experience of the insurance / protection products. Leverage partners' marketing budget and activities to achieve aforementioned objective.

What you will do
Works with POS Loan, Online and Credit Card Product team to develop relevant insurance protection products
Develops bundling insurance & protection product concepts, product designs, regulations and features them internally as well as with customers (in cooperation with R/D Insight Manager)
Cooperates with other departments to define end to end processes for bundling insurance or protection products
Reviews performance (sales, performance against plan) of existing bundling insurance or protection products and related processes and proposes changes to improve customer experience and process simplicity internally
Co-manages (with Project Manager) project of implementing bundling insurance protection products
Monitors, tracks and summarizes overview of the competitor products and overview of the market
Analyze market conditions and recent developments in the market from offline, online sources and professional network
Cooperates with Pricing Manager to define the right pricing for bundling insurance or protection products and review it time to time
Provide regular reports and updates to management
Provides briefs to Marketing Communication and Digital team to prepare campaign wording, BTL promotion materials, Online advertisement and in some case ATL campaigns. Reviews outcomes and suggests changes
Support other functions training roles to develop training materials
Actively works with Sales network, Key Accounts Management and Business Development team to train, communicate, enhance the insurance related products and processes
Manages product setup in HCID core system and cooperates with IT on User Acceptance testing and ongoing management of the insurance / protection product setup in the system
Takes active part in resolution of customer complaints related to insurance / protection products, services and features desing and processes
Liaises with the insurance or protection providers by arranging regular review meetings to seek any potential problems and opportunities

What you will need
At least 5+ years experience in Insurance or Bancassurance industry, preferably as Insurance Product Management or Product Owner.
Experience with insurance or protection product set up, including but not limited to product strategy & regulations.
Preferably with insurance product knowledge in general insurance, life insurance or car insurance will be a good plus.
Able to navigate data analysis on product performance, product penetration, product income & revenue, and product target.
Experience in planning, pricing and forecasting study for insurance, bancassurance, or protection products and sales campaigns.
Experience with Business Development or Partnerships activity with Insurance company.
Experience in analysis of effectiveness/ROI for campaigns.
Ability to analyse and report/communicate results together with root cause analysis and development of enhancements/corrective actions.
AAJI / AAUI active license holder will be an advantage","Analytical Skills, Bancassurance, Business Insurance Planning, Credit Cards, Forecasting, Insurance, Product Management, Project Management, Property and Casualty Insurance, Sales, and User Acceptance Testing",https://media.licdn.com/dms/image/v2/C560BAQFEAxmwFTkTHg/company-logo_100_100/company-logo_100_100/0/1662639729686/homecreditindonesia_logo?e=1733356800&v=beta&t=l80d_yVd3SCwQgxOhuCEOdsr02m0mYSaH1Rqa9DoNlo,On-site,"Jakarta, Indonesia"
AVSystem,Sales Engineer,1 week ago,"Job description
🌟 Location: Indonesia
🔍 Industry: Technology - Telecommunications/SaaS

🚀 About the Position:
We are seeking a dynamic Sales Engineer to join our team, acting as a key technical resource for our Sales Team. This role focuses on supporting pre-sales and post-sales customer support activities, ensuring technical success by addressing customer and channel partner needs, delivering product training, and managing project execution. The successful candidate will report to the Head of Sales and work closely with our Engineering and Product teams to provide critical feedback for product development.

🔗Key Responsibilities:
Provide expert technical support to direct sales and channel partners, addressing inquiries about our products and solutions. Assist potential customers, end users, and partners through technical evaluations, system presentations, and training.
Lead product demonstrations, deliver impactful technical presentations, and support pre-sales efforts by responding to RFPs and participating in system evaluations.
Deliver comprehensive post-sales engineering support, including project management and professional services. Conduct product trials, training sessions, and onsite customer engagements to ensure the highest level of customer satisfaction.
Offer support via telephone, email, and site visits to network managers and technical staff. Provide after-hours emergency support as needed.
Create and review technical documentation, ensuring accuracy and clarity. Prepare detailed reports and provide valuable feedback to the product development team.
Collaborate effectively both independently and within teams to resolve customer issues, working closely with the Support team and contributing to product development initiatives.
Adapt to a variety of projects in pre-sales and post-sales environments. Ensure timely and satisfactory project delivery, responding to on-demand requirements.

🌱Qualifications:
Bachelor's degree or diploma in computer science, engineering, or a related field.
Strong understanding of TCP/IP networking on Windows and UNIX/Linux platforms. Network administration experience is a plus.
Familiarity with scripting languages (Python, Bash) for rapid prototyping
Exceptional communication skills in English, both written and verbal. 
Proficiency in Mandarin is a bonus.
Willingness to travel up to 30% of the time to support customer and partner engagements.
Enjoy working in a collaborative team environment and possess strong interpersonal skills.
Excellent analytical and problem-solving abilities, with a capacity to work under pressure and meet tight deadlines.
Demonstrate a professional demeanor and phone manner, ensuring a positive and professional customer experience.

💼Additional Skills:
Previous experience in technical support or help desk roles is advantageous.
Ability to manage various projects and adapt to an on-demand work environment, ensuring the successful delivery of pre-sales and post-sales projects.","Customer Support, IP Networking, Internet Protocol Suite (TCP/IP), Networking, Post-Sales, Pre/Post Sales Engineers, Product Demonstration, Python (Programming Language), Sales Engineering, and Technical Support",https://media.licdn.com/dms/image/v2/D4D0BAQGQauet5_J_Cw/company-logo_100_100/company-logo_100_100/0/1698408890543/avsystem_logo?e=1733356800&v=beta&t=wtGMVjkcuZCgOtjhzHjeBQTj16IVZnbEhhexuptlk64,Hybrid,"Jakarta, Indonesia"
Bank Saqu,Payment Product,2 weeks ago,"About You
You're a go-getter with mad juggling skills (or multiple hats) who can thrive in a fast-paced, agile environment
You enjoy doing purpose-led and meaningful work
You have a strong thirst for knowledge and are driven to find solutions that don't exist yet
You are comfortable with ambiguity and extremely resourceful (in your past life, you could've been a detective)
You always find a way to get things done without sacrificing the quality of your work, integrity, and values
No task is off limits for you
You are humble and prioritize the success of the team over your own with an eagerness to help those around you
You don't shy away from challenges and can bounce back from setbacks

What you’ll do and what success looks like in this role:
Define and articulate the product vision, strategy, and roadmap, ensuring alignment with the company's overall goals and market demands.
Collaborate closely with engineering, design, marketing, and other cross functional teams to ensure seamless product development and successful product launches.
Oversee the entire product lifecycle from concept to launch, including requirements gathering, development, testing, and post launch optimization
Establish KPI's for product success, track and analyze product performance, and make data driven decisions to drive continuous improvement.
Act as the voice of the customer within the organization, ensuring that customer feedback and insights are integrated into product development and improvements.
Communicate product plans, progress, and results to stakeholders at all levels, ensuring transparency and alignment across the organization.
Foster a culture of innovation and creativity within the product team, encouraging the exploration of new ideas and solutions to meet customer needs.
Identify potential risks in the product development process and implement strategies to mitigate them, ensuring timely and successful product delivery.
Manage product budgets and resources effectively, ensuring that are completed within scope, on time, and within budget constraints.

What Is Required and What We’re Looking For
Proven experience (usually 2+ years) in product management roles within the banking or financial services industry.
Familiarity with payment systems, including debit cards, credit cards, online banking, mobile payments, and/or digital wallets.
Deep understanding of banking products, payment processing, and financial regulations.
Knowledge of industry trends, emerging technologies, and competitive landscape in payments.
Ability to develop and communicate a clear product vision and roadmap aligned with business goals.
Experience in defining product strategy based on market research, customer insights, and competitive analysis.
Proficiency in agile methodologies and product lifecycle management.
Hands-on experience in defining product requirements, prioritizing features, and managing product launches.
Strong leadership skills with the ability to motivate and lead cross-functional teams.
Experience collaborating with stakeholders across marketing, operations, compliance, and technology departments.
Data-driven decision-making skills, with the ability to analyze product performance metrics and user feedback.
Experience in conducting market research, user testing, and competitive analysis to inform product decisions.
Excellent verbal and written communication skills, including the ability to present complex ideas clearly and concisely.
Strong interpersonal skills to build relationships with internal teams, external partners, and customers.","Analytical Skills, Chargebacks, and Communication",https://media.licdn.com/dms/image/v2/D560BAQFh-CnrLSIxqQ/company-logo_100_100/company-logo_100_100/0/1719215418213/bank_saqu_logo?e=1733356800&v=beta&t=GCfjQlED0tBo9jUv8qtgHnauDlhUFWeL9JGT18IHRTg,Hybrid,"Jakarta, Indonesia"
PT Asuransi BRI Life,Corporate Plan Officer,16 minutes ago,"Job Qualification 
Minimum Bachelor's degree from reputable university.
Having strong analytical thinking (Preparation of Company Performance - Reports And the condition of the life insurance industry).
Have ability with data (quantity / quality) oriented high initiative.
Ability to use Ms. Office.
Excellent communication in english both active and passive.","Analytical Skills, Communication, and Insurance Industry",https://media.licdn.com/dms/image/v2/C560BAQGtAY901OqlsQ/company-logo_100_100/company-logo_100_100/0/1680076083412/asuransi_brilife_logo?e=1733356800&v=beta&t=qU4NLXnqKo3a2TUxIW5dfppQEbmk-uZ1oAe0QGxh_PQ,On-site,"Jakarta, Indonesia"
WIZ.AI,Enterprise Sales Manager,Reposted 2 weeks ago,"WIZ.AI's suite of generative AI-powered omnichannel customer engagement solutions is trusted by 260+ global clients to enhance customer experience, improve customer outreach, foster human-AI collaboration, increase business results, and attain higher cost savings. WIZ.AI's solutions automate ten million interactions every hour, helping businesses connect with their customers at the right time with the right message through the right channel. Through its distinct product suite, WIZ.AI offers global reach while facilitating local expertise to its clients.

Key Responsibilities:
Sales Hunter:
Independent sales hunter with a can do attitude.
Individual contributor role where you hunt, farm and drive from scratch to finish on win sales closure.
Proven Track Record:
Thrive in a fast-paced environment with a proven sales track record in the high-tech industry/AI/SaaS industry
Excellent in building and managing sales pipelines for market expansion.
Thought Leadership and Brand Building:
Provide thought leadership to address customer pain points, enhancing the company's brand profile.
Aim for incremental conversion on contractual wins through strategic problem-solving.
Cross-Functional Collaboration:
Collaborate with cross-functional teams, including Pre Sales, Engineering, Product, and Delivery, to ensure seamless communication.
Keep internal stakeholders updated on the development of sales pipelines.
Administrative Responsibilities:
Timely completion of sales updates and other required reports to ensure administrative efficiency.
Public Speaking and Networking:
Participate in online/offline events, trade shows, and marketing roadshows.
Build and expand networks with the objective of acquiring marketing qualified leads.

Requirements:
1. Minimum 5-8 years B2B Hunter Sales experience
2. Enthusiasm for partner engagement, relevant experience in Tech/AI/SaaS industry is a plus
3. Good attention to detail
4. Ability to manage both internal (local and regional) and external stakeholders
5. Self-motivated, pro-active and able to work under pressure whilst delivering on multiple ongoing projects
6. Excellent verbal and written communication skills in English and any other added language will be a bonus","Business-to-Business (B2B), Cross-functional Collaborations, Direct Sales, Hunter, IT Sales, SaaS Sales, Sales, Sales Development, Sales Presentations, Sales Processes, and Software as a Service (SaaS)",https://media.licdn.com/dms/image/v2/D560BAQGJXeKI3cHCUg/company-logo_100_100/company-logo_100_100/0/1722412064100/wiz_ai_logo?e=1733356800&v=beta&t=lNNI_TA74ScivrnvfukDoX_y-HNA76vO7TkTelkc2_A,On-site,"South Jakarta, Jakarta, Indonesia"
Le Méridien Hotels & Resorts,Sous Chef - No Na Ma,1 week ago,"Job Number 24146170

Job Category Food and Beverage & Culinary

Location Le Meridien Jakarta, Jalan Jenderal Sudirman, Jakarta, Jakarta, Indonesia VIEW ON MAP

Schedule Full-Time

Located Remotely? N

Relocation? N

Position Type Management

Job Summary

Accountable for overall success of the daily kitchen operations. Exhibits culinary talents by personally performing tasks while leading the staff and managing all food related functions. Works to continually improve guest and employee satisfaction while maintaining the operating budget. Supervises all kitchen areas to ensure a consistent, high quality product is produced. Responsible for guiding and developing staff including direct reports. Must ensure sanitation and food standards are achieved.

CANDIDATE PROFILE 

Education And Experience

 High school diploma or GED; 4 years experience in the culinary, food and beverage, or related professional area. 

OR

 2-year degree from an accredited university in Culinary Arts, Hotel and Restaurant Management, or related major; 2 years experience in the culinary, food and beverage, or related professional area. 

CORE WORK ACTIVITIES

Ensuring Culinary Standards And Responsibilities Are Met

 Manages kitchen shift operations and ensures compliance with all Food & Beverage policies, standards and procedures. 
 Estimates daily production needs on a weekly basis and communicates production needs to kitchen personnel daily. 
 Assists Executive Chef with all kitchen operations and preparation. 
 Prepares and cooks foods of all types, either on a regular basis or for special guests or functions. 
 Develops, designs, or creates new applications, ideas, relationships, systems, or products, including artistic contributions. 
 Assists in determining how food should be presented and creates decorative food displays. 
 Maintains purchasing, receiving and food storage standards. 
 Ensures compliance with food handling and sanitation standards. 
 Performs all duties of kitchen managers and employees as necessary. 
 Recognizes superior quality products, presentations and flavor. 
 Ensures compliance with all applicable laws and regulations. 
 Follows proper handling and right temperature of all food products. 
 Operates and maintains all department equipment and reports malfunctions. 
 Checks the quality of raw and cooked food products to ensure that standards are met. 

Leading Kitchen Operations

 Supervises and coordinates activities of cooks and workers engaged in food preparation. 
 Leads shifts while personally preparing food items and executing requests based on required specifications. 
 Utilizes interpersonal and communication skills to lead, influence, and encourage others; advocates sound financial/business decision making; demonstrates honesty/integrity; leads by example. 
 Encourages and builds mutual trust, respect, and cooperation among team members. 
 Serves as a role model to demonstrate appropriate behaviors. 
 Maintains the productivity level of employees. 
 Ensures employees understand expectations and parameters. 
 Establishes and maintains open, collaborative relationships with employees and ensures employees do the same within the team. 
 Ensures property policies are administered fairly and consistently. 
 Communicates performance expectations in accordance with job descriptions for each position. 
 Recognizes success performance and produces desired results. 

Ensuring Exceptional Customer Service

 Provides services that are above and beyond for customer satisfaction and retention. 
 Manages day-to-day operations, ensuring the quality, standards and meeting the expectations of the customers on a daily basis. 
 Sets a positive example for guest relations. 
 Empowers employees to provide excellent customer service. 
 Interacts with guests to obtain feedback on product quality and service levels. 
 Handles guest problems and complaints. 

Maintaining Culinary Goals

 Achieves and exceeds goals including performance goals, budget goals, team goals, etc. 
 Develops specific goals and plans to prioritize, organize, and accomplish your work. 
 Utilizes the Labor Management System to effectively schedule to business demands and for tracking of employee time and attendance. 
 Trains employees in safety procedures. 

Managing and Conducting Human Resource Activities 

 Identifies the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills. 
 Improves service by communicating and assisting individuals to understand guest needs, providing guidance, feedback, and individual coaching when needed. 
 Participates in the employee performance appraisal process, providing feedback as needed. 
 Brings issues to the attention of the department manager and Human Resources as necessary. 

Additional Responsibilities

 Provides information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person. 
 Analyzes information and evaluating results to choose the best solution and solve problems. 
 Attends and participates in all pertinent meetings. 

Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.

At Le Méridien, we are inspired by the era of glamorous travel, celebrating each culture through the distinctly European spirit of savouring the good life. Our guests are curious and creative, cosmopolitan culture seekers that appreciate moments of connection and slowing down to savour the destination. We provide authentic, chic and memorable service along with experiences that inspire guests to savour the good life. We’re looking for curious and creative people to join our team. If you appreciate connecting with like-minded guests and have a deep desire to create memorable experiences, we invite you to explore career opportunities with Le Méridien. In joining Le Méridien, you join a portfolio of brands with Marriott International. Be where you can do your best work, begin your purpose, belong to an amazing global team, and become the best version of you.","Culinary Arts, Customer Satisfaction, Customer Satisfaction (CSAT), Employee Training, Food Preparation, Food and Beverage Operations, Guest Relations, Job Satisfaction, Restaurant Management, and Sanitation",https://media.licdn.com/dms/image/v2/C4E0BAQFakt8VoVE7Bg/company-logo_100_100/company-logo_100_100/0/1630583981238/le_meridien_hotels__resorts_logo?e=1733356800&v=beta&t=mpW-l0JAuC8nARynxtZjJgcafo4Li4WivY2tmJyY8xg,Full-time,"Jakarta, Jakarta, Indonesia"
PT. VIVO MOBILE INDONESIA,Finance Management Specialist (Mandarin Speaker),2 weeks ago,"Hi, Progressive Talent!

We believe that our employees are key to the strong future development of our brand. vivo encourages its employees to innovate and provides them with the necessary space and resources for their career to grow and develop.

Therefore we very excited to open this opportunity as our Finance Expense Management Assistant!

If you are someone with:
Bachelor's degree in Accounting / Finance / Business / Management or any related field with GPA min. 3.00 out of 4.00
Proficient in Mandarin 3
Conversational English
Fresh graduates are welcome
Excel and Power Point skill
Strong analysis skill, logical thinking, and detail oriented
Good team player


And you are ready to be:
Responsible for auditing, controlling, and monitoring project budget and its execution on daily basis (make sure the current plan is not over budget)
Responsible for maintaining the project execution completeness, accuracy, consistency and conformance with procedures and regulations
Analyze project expenditure or budget usage report
Keep update in any project changes and conduct reasonability assessment including give suggestion preventative action in anticipation of possible problem
Analyze business situation loose loop and actively giving improvement suggestion


Apply for this position and be part of our #ProgressiveCommunity

About vivo

vivo is a technology company that creates great products based on a design-driven value, with smart devices and intelligent services as it’s core. The company aims to build a bridge between humans and the digital world. Through unique creativity, vivo provides users with an increasingly convenient mobile and digital life.

Life At vivo Indonesia

vivo provides highly competitive remuneration and benefits along with comprehensive training and a career development path for all employees. At the same time we promote a culture of innovation, ensuring that our employees are constantly improving and moving forward. As long as we implementing our Benfen value which is do the right things and do the things right, we always to create a joyful workplace based on our global goals ‘Live Smart, Play Smart’.

Know us better!

Official Site: www.vivo.com/id/
Facebook: www.facebook.com/vivoIndonesia/
Instagram: @vivo_indonesia & @lifeatvivo_id","Auditing, Finance, Financial Management, Management, Mandarin, and Microsoft Excel",https://media.licdn.com/dms/image/v2/D560BAQF4nPg0nSaiLA/company-logo_100_100/company-logo_100_100/0/1699241543272/vivoindonesia_logo?e=1733356800&v=beta&t=X13rj-xyzBEHGZN6Rcjgg_-n3YrFlrw0N7ruPiQ2KN8,On-site,"North Jakarta, Jakarta, Indonesia"
