Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
Home Credit Indonesia,Insurance Product Manager,1 week ago,"The purpose of this position is to research, development, testing and implementation of bundling insurance & protection products which will enable to give added value to customers on top of financing product and generate a desirable amount of fee based income. 

Plan and analyze performance of existing and new insurance / protection products and drive changes in processes, approaches and design to achieve and over-deliver on targets. Coordinate efforts to implement changes and ensure good understanding of all relevant internal and external parties of the products and processes. 

Actively drive great customer experience of the insurance / protection products. Leverage partners' marketing budget and activities to achieve aforementioned objective.

What you will do
Works with POS Loan, Online and Credit Card Product team to develop relevant insurance protection products
Develops bundling insurance & protection product concepts, product designs, regulations and features them internally as well as with customers (in cooperation with R/D Insight Manager)
Cooperates with other departments to define end to end processes for bundling insurance or protection products
Reviews performance (sales, performance against plan) of existing bundling insurance or protection products and related processes and proposes changes to improve customer experience and process simplicity internally
Co-manages (with Project Manager) project of implementing bundling insurance protection products
Monitors, tracks and summarizes overview of the competitor products and overview of the market
Analyze market conditions and recent developments in the market from offline, online sources and professional network
Cooperates with Pricing Manager to define the right pricing for bundling insurance or protection products and review it time to time
Provide regular reports and updates to management
Provides briefs to Marketing Communication and Digital team to prepare campaign wording, BTL promotion materials, Online advertisement and in some case ATL campaigns. Reviews outcomes and suggests changes
Support other functions training roles to develop training materials
Actively works with Sales network, Key Accounts Management and Business Development team to train, communicate, enhance the insurance related products and processes
Manages product setup in HCID core system and cooperates with IT on User Acceptance testing and ongoing management of the insurance / protection product setup in the system
Takes active part in resolution of customer complaints related to insurance / protection products, services and features desing and processes
Liaises with the insurance or protection providers by arranging regular review meetings to seek any potential problems and opportunities

What you will need
At least 5+ years experience in Insurance or Bancassurance industry, preferably as Insurance Product Management or Product Owner.
Experience with insurance or protection product set up, including but not limited to product strategy & regulations.
Preferably with insurance product knowledge in general insurance, life insurance or car insurance will be a good plus.
Able to navigate data analysis on product performance, product penetration, product income & revenue, and product target.
Experience in planning, pricing and forecasting study for insurance, bancassurance, or protection products and sales campaigns.
Experience with Business Development or Partnerships activity with Insurance company.
Experience in analysis of effectiveness/ROI for campaigns.
Ability to analyse and report/communicate results together with root cause analysis and development of enhancements/corrective actions.
AAJI / AAUI active license holder will be an advantage","Analytical Skills, Bancassurance, Business Insurance Planning, Credit Cards, Forecasting, Insurance, Product Management, Project Management, Property and Casualty Insurance, Sales, and User Acceptance Testing",https://media.licdn.com/dms/image/v2/C560BAQFEAxmwFTkTHg/company-logo_100_100/company-logo_100_100/0/1662639729686/homecreditindonesia_logo?e=1733356800&v=beta&t=l80d_yVd3SCwQgxOhuCEOdsr02m0mYSaH1Rqa9DoNlo,On-site,"Jakarta, Indonesia"
VIDA Digital Identity,Senior Product Manager - Authentication,3 weeks ago,"About VIDA
VIDA is an electronic Certificate Authority (CA) company licensed and certified by the Ministry of Communication and Informatics (Kominfo). We are committed to providing secured and legally binding digital signatures to individuals and organizations. Our solutions leverage national identity verification (Dukcapil) to establish a robust foundation for digital trust in Indonesia.

About the Product
There are three authentication factors that can be used: something you know, something you have, and something you are. VIDA product personifies this in the least disruptive , most intuitive and secure manner. Authentication product building blocks - Consumer Identity Access Management (CIAM), Public Key Infrastructure (PKI), Multi-Factor Authentication (MFA), Passwordless Authentication.
Learn more about our authentication product here - https://vida.id/authentication

About the Role
We're searching for a passionate and outcome-driven Product Manager to join our growing VIDA Authentication team. In this role, you'll be responsible for leading the VIDA Authentication product, collaborating closely with a solid team to bring this product to market.

Responsibilities
Strategic Vision & Product Development: Lead the vision and strategy for our Authentication product suite. Ensure seamless integration with Single Sign-On (SSO), Multi-factor Authentication (MFA), and Identity-as-a-Service (IDaaS) features.
Authentication & Authorization Oversight: Drive enhancements in authentication and authorization capabilities, ensuring robust token-based and adaptive authentication features.
Lifecycle Management: Oversee identity lifecycle management, from provisioning to de-provisioning, ensuring smooth workflows for end-users and admins.
Role-Based Access Control (RBAC): Implement and refine RBAC, ensuring precise access governance based on user roles within organizations.
Integrate Directory Services: Collaborate with engineering to ensure compatibility with LDAP, Active Directory, and other directory services.
User Experience: Empower users with self-service options, such as factors management and access request workflows, to enhance their experience.
Collaborate on API Security: Work with security teams to ensure our product's APIs are impenetrable and meet industry standards.
Manage Identity Analytics: Leverage data-driven insights to improve access patterns and reduce security risks.
Audit & Compliance: Ensure that the IAM product provides comprehensive audit trails, access reviews, and adheres to policy enforcement best practices.
Market & Competitor Analysis: Stay abreast of the latest trends, technologies, and best practices in the IAM domain to keep the product competitive.

Additional Responsibilities
Partner with engineering, design, and product marketing teams to define product requirements and user stories.
Prioritize features and functionalities based on user needs, market trends, and business objectives.
Manage the product roadmap and release calendar, ensuring smooth delivery timelines for key milestones.
Collaborate with stakeholders across departments to define success metrics and track product performance.
Develop and maintain comprehensive product documentation, including user stories, product specifications, test cases, and release notes.
Prepare for product handover to operations and marketing teams, ensuring a seamless transition including the GTM strategy.
Drive user research and analyze data to identify opportunities for product improvement.
Proactively identify and mitigate potential risks throughout the product development lifecycle.

Essential Qualifications
Bachelor’s or Master’s degree in Computer Science, IT, Business, or a related field.
5-7 years of experience in B2B product management.
Strong understanding of IAM concepts, including privilege access management (PAM), identity federation, and identity brokerage.
Familiarity with cloud technologies and SSO integrations, strong technical acumen.
Experience working with cross-functional multicultural stakeholders, with a focus on the Southeast Asian market.
Based out of the Jakarta office.
Strong understanding of the digital landscape and user needs of Indonesia and Southeast Asia.
Experience working in a fast-paced, startup environment with a focus on agility and collaboration.
Excellent communication and interpersonal skills with the ability to effectively manage stakeholders.
Proven ability to prioritize tasks, manage time effectively, and communicate potential issues.
Familiarity with product management methodologies (e.g., Agile, Scrum) is a plus.
Passion for innovation and a desire to contribute to a growing company in the digital identity space.

Preferred Qualifications
Experienced with the authentication landscape.
Experience with Auth0/ Okta/Ping Identity/ ForgeRock/ Secure Metric products.
Experience working with Indonesian government regulations and compliance requirements.
Proficiency in user research methods (e.g., user interviews, usability testing).
Strong understanding of user interface (UI) and user experience (UX) principles.",Active Directory,https://media.licdn.com/dms/image/v2/D560BAQH8wzjkpPBm4w/company-logo_100_100/company-logo_100_100/0/1696224079863?e=1733356800&v=beta&t=Kamn_YpXT4GI516ktmRNmM9zj7vdwbDNB7aOzaEbUcU,On-site,"Jakarta, Indonesia"
McEasy,Product Manager Internship,1 week ago,"McEasy, a transportation management solution to simplify complex logistics operations. is looking for a Product Manager Internship to join our ever growing team.

If you are a keen learner, self-driven, and looking to be a part of a team that is passionate with helping each other, we want to hear from you.

If you are interested, kindly go through these assessment link https://app.testgorilla.com/s/xfqanrrm and complete it.

What will you do? 
Document product-engineering workflows and processes for better understanding and communication. 
Assist with ongoing tasks and initiatives within the product management team. 
Act as the PIC (Person in Charge) for engagement tracking to monitor and report user engagement metrics. 
Act as the PIC for ongoing projects and deals, ensuring timely and successful execution. 
Help increase product discovery speed by identifying and eliminating bottlenecks.

Qualifications:
Final year student/bachelor degree any major
Basic understanding of data analysis tools (e.g., Redash), web technology, and mobile app design principles.
Strong analytical and problem-solving skills, effective communication and presentation abilities, and a proactive approach to learning and project involvement.
Interest in transportation and logistics technology, sales strategies, and customer relationship management.

Placement : Jakarta Office - Cikini

Are you a master multitasker with the finesse of a plate-spinner? Do you dream in product features and user experiences? If you're ready to dive into the startup fray, juggle like a circus performer, and make ""Easy Apply"" your new favorite button, then join our team! Let's turn dreams into reality together – apply now and let the adventure begin! 🚀","Product Management, Product Service, and Redash",https://media.licdn.com/dms/image/v2/D560BAQFphTG0QTqrvA/company-logo_100_100/company-logo_100_100/0/1681981359578/mceasy_logo?e=1733356800&v=beta&t=Xuc-LjPV1oKZcsQDuMpFtesXuFdBjxeNTKtGJPaVcpY,Hybrid,"Jakarta, Indonesia"
ViewSonic,Presales (Product Solution Manager),4 weeks ago,"SUMMARY
Presales Consultants work closely with sales, service, engineering, and technical support resources to ensure proposed deals include technical solutions that address customer needs.
Presales recommend product and solution requirements in competitive landscapes, do solution demonstration, identify new opportunities, follow up and monitor progress/result.

ESSENTIAL DUTIES
Developing solutions and organizing, planning, creating & delivering compelling proof of concept demonstrations
Ensuring solutions stated in the quotation or scope of work in line with client requirements
Support the sales bid process
Working closely with Sales to ensure successful closure of the sales process
Liaising with Product Managers to provide feedback from clients about product and solution requirements
Keeping update of market trends and product & competitor landscapes
Watch competitor and create value propositions to provide sales bargaining argument.
Relationship is matter. Building relationship with strategic partner or customer and able to communicate with executive management level.
Achieve is not enough, proactively suggest required changes/plans to exceed the respective target
Make report and analyze data in order to take remedial failure action
No excuse in any action result, optimize everything to the TOP.
Good attitude in Team work to gain respect each other to reach company goals.
Discipline and adjust to company culture being star employee.
Flexibility to the job, function and responsibility.

SKILLS REQUIRED
You possess a Degree in Computer Science, Engineering or a related field
At least 5 years IT or IT Solution experience in a Product / PreSales role with experience of dealing with corporate or institutional end users.
Computer or display market knowledge and experience is Important.
Having IT knowledge / Technique to support this job.
Aggressive, autonomous, assertive, customer driven and able to develop business plans.
Excellent Presentation and Communication skills
Good business sense and understanding of business processes.
Strong problem solving and prioritization skills","Business-to-Business (B2B), Communication, English, Objection Handling (Sales), Product Demonstration, Product Presentation, Sales, Sales Management, Sales Planning, and Solution Selling",https://media.licdn.com/dms/image/v2/D560BAQFxPCaZYb23VQ/company-logo_100_100/company-logo_100_100/0/1667283097407/viewsonic_logo?e=1733356800&v=beta&t=k_vwBIVyWGl7l7EjDnJUobXOHUnSIPyba-mG_W70qO0,On-site,"Jakarta, Indonesia"
Traveloka,Pricing Senior Associate Product Manager,6 days ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Job Description

Are you a sharp-minded individual with a passion for optimizing & fine-tuning strategies? We are seeking a highly motivated and detail-oriented Senior Associate Product Manager to help us in growing our Accommodation business. In this role, you will experiment with various pricing strategies to grow the business, analyze massive amounts of data to generate competitive insights, and work with diverse stakeholders to arrive at investment plans for markets and channels. As part of the Pricing Strategy team, you will be required to have a strong understanding of pricing concepts, excellent analytical skills, and the ability to coordinate and communicate effectively with cross-functional teams.

Responsibilities

Create product strategy & roadmap for pricing product to continuously address the short term and long term business needs and user needs
Responsible for end-to-end management of strategic pricing initiatives, ensuring they are well coordinated across all countries
Plan & develop improvements to enhance price perception among the target audience
Translate product strategy into clear, rigorous, and detailed requirements and prototypes
Obtain understanding and buy-ins from other departments regarding potential risks and pitfalls of the product and its implication
Coordinate with cross-functional teams (Marketing, Product, Finance, Data) to develop product roll-out plan for markets and channels
Organize and coordinate efforts to maintain and improve product performance



Requirements

Requirements

At least a Bachelor's degree in a technical or quantitative subject (computer science, mathematics, engineering, statistics or science) with strong academic results. A master's degree is a plus.
At least 3 years experience at top tier strategy or management consulting firms, multinational tech, engineering firms, and multinational banks, or have a credible and strong track record in building or growing a product.
Demonstrate expertise in leveraging data analytics tools (e.g. Tableau, GDS, minimum Gsheet or Excel) and platforms to drive insights and inform decision-making.
A quick learner to absorb new knowledge in the fast-changing and dynamic industry, synthesize learnings to strategic growth levers that generate tangible business impacts
Excellent communication and collaboration skills, with the ability to work effectively with cross-functional teams and stakeholders at all levels.
Detail-oriented, self-motivated, and able to thrive in a fast-paced and dynamic environment.



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Communication, Competitive Analysis, Computer Science, Cross-functional Team Leadership, Management Consulting, Pricing Strategy, Product Development, Product Management, Product Service, and Product Strategy",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,On-site,Jakarta Metropolitan Area
Traveloka,Senior Associate Product Manager - Travel Activities,Reposted 4 days ago,,"Communication, Cross-functional Team Leadership, Key Metrics, Make Things Happen, Product Service, Product Strategy, User Behavior, User Experience (UX), User Interface Design, and Written Communication",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,On-site,Jakarta Metropolitan Area
Traveloka,Associate Product Manager - Platform,Reposted 1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Define the product plan and goals to realize the team’s vision.
Define and analyze the success metrics of the product that inform product success.
Lead the ideation, research, design, development and launch of user-centric products in partnership with cross-functional stakeholders.
Understand the users needs, identify and define the product requirements by taking into consideration the business goals, development cost & technical debt that might incur.
Exercise good judgment to maintain high product quality.
Leveraging experiments, quantitative and qualitative user insights to make data-informed and data-driven decisions.
Build relationships with stakeholders across the organization to understand and prioritize needs across use cases and also short & long-term time horizons.
Plan and manage multiple projects based on the level of urgency and importance of the projects.
Communicate concisely and influence stakeholders to prioritize their works in the interest of shared benefits or agreed business needs.
Provide recommendations on business process improvement and operational guidelines.



Requirements

At least 2 years of experience at top-tier multinational tech or engineering firms, multinational banks, or a credible and strong track record in supporting building or growing a business.
At least a Bachelor's degree in Engineering, Computer Science, Finance, Design, or other fields from top local or overseas universities with strong academic results, MBA is a plus.
Solid technical background with understanding and/or hands-on experience in software development and web technologies; with an aptitude towards solving complex problems.
Excellent analytical and problem-solving skills and strong intuitions of user behaviors. Have a strong willingness to learn and adapt to change quickly.
Self-starter with a strong sense of curiosity, strong ownership, a bias for action, and a can-do attitude.
Experienced in breaking down needs into product requirements and communicating them to the respective functions like engineers, design, or data team.
Able to highly collaborate with cross-functional teams with proven abilities to navigate stakeholders to deliver outcomes.
Able to communicate in English and Indonesia, via a verbal and written medium.
Passion for making the world better through technology. Enjoy working in a technical and data-centric context.



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Business Process Improvement, Communication, Competitive Analysis, Cross-functional Team Leadership, Problem Solving, Product Requirements, Product Service, User Experience (UX), and Web Technologies",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,Hybrid,Jakarta Metropolitan Area
Traveloka,Accommodation B2B - Associate Product Manager,Reposted 1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!


Job Description

At Traveloka, Product Management role is at the heart of our company. We are looking for a Senior Associate Product Manager who is passionate about driving innovation and helping build a product that customers love! You will join a dynamic and fast-paced environment and work with cross-functional teams to design, and roll out the product that delivers the company's vision and strategy. This role will be expected to independently handle multiple projects, work through large amounts of data, add structure to complex problem statements and manage multiple stakeholders at the same time while ensuring quality deliverables.

 You will be responsible to drive, decide, coordinate, and execute processes and initiatives related to Accommodation B2B Supply, especially in the Quality aspect and its mechanism corresponding to company's objectives.
 Translate product strategy into product plan, detailed requirements and prototypes.
 Identify levers which can be used to improve the post-booking supply performance as well as scope and prioritize initiatives based on business and customer impact.
 Work closely with engineering, revenue, account, operations and external stakeholders to implement new features and enhancements.
 Act as a product evangelist to build awareness and understanding.
 Monitor the key metrics of the products / features owned by the person.
 Work closely with data team in conducting regular analysis and deep dive on the products / features’ performance.
 Identify issues and improvement opportunities that can push the products / features’ performance forward.


Requirements

 Possess Bachelor’s degree from top local or overseas University majoring in Engineering, Science, Business, Telecommunication, Architecture.
 Minimum 3+ years of proven working experience in travel / hospitality, multinational tech, consultant, or energy firm); proven experience in the B2B sector is a plus.
 Analytical and problem-solving skills in interpreting complex and multi-layers data, and drive actionable strategies to resolve problems.
 Strong project management skills with great attention to detail while managing multiple projects / initiatives parallelly with excellent intuition of technical structure - behavior as well as customer needs.
 Demonstrate ability in managing stakeholders and collaborating effectively to achieve goals.
 Strong drive to achieve objectives and charisma to influence others.
 Solid oral and written communication skills.
 Good understanding of product management / development, preferably in the internet space with quick learning ability.


If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Business-to-Business (B2B), Communication, Handle Multiple Projects, Key Metrics, Problem Solving, Product Management, Product Service, Product Strategy, Stakeholder Management, and Written Communication",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,Hybrid,Jakarta Metropolitan Area
Traveloka,Senior Associate Product Manager - Platform,Reposted 4 days ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Define product roadmap and strategy to address user needs and achieve business goals. 
Define business KPIs and success metrics and is accountable to measure product success and contributions.
Understand user needs and translate those into product requirements by taking into consideration the business goals, development cost & technical debt that might incur.
Build relationships with stakeholders across the organization to understand and prioritize needs across use cases and also short & long-term time horizons.
Work with cross-functional teams on the ideation, research, design, development and launch of user-centric products. 
Plan and manage multiple projects based on the level of urgency and importance of the projects.
Leveraging experiments, quantitative and qualitative user insights to make data-informed and data-driven decisions.
Communicate well and influence stakeholders to prioritize their works in the interest of shared benefits or agreed business needs.
Provide recommendations on business process improvement and operational guidelines.



Requirements

At least 3 years of experience at top-tier multinational tech or engineering firms, multinational banks, or a credible and strong track record in supporting building or growing a business.
At least a Bachelor's degree in Engineering, Computer Science, Finance, Design, or other fields from top local or overseas universities with strong academic results, MBA is a plus.
Solid technical background with understanding and/or hands-on experience in software development and web technologies; with an aptitude towards solving complex problems.
Excellent analytical and problem-solving skills and strong intuitions of user behaviors. Have a strong willingness to learn and adapt to change quickly.
Self-starter with a strong sense of curiosity, strong ownership, a bias for action, and a can-do attitude.
Experienced in breaking down needs into product requirements and communicating them to the respective functions like engineers, design, or data team.
Able to highly collaborate with cross-functional teams with proven abilities to navigate stakeholders to deliver outcomes.
Able to communicate in English and Indonesia, via a verbal and written medium.
Passion for making the world better through technology. Enjoy working in a technical and data-centric context. 



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Business Process Improvement, Communication, Competitive Analysis, Cross-functional Team Leadership, Key Performance Indicators, Problem Solving, Product Requirements, Product Road Mapping, and Web Technologies",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,On-site,Jakarta Metropolitan Area
ASUS,Country Product Manager – Server,3 weeks ago,"We are seeking a dynamic and strategic Product Manager to lead our SERVER product lines. The ideal candidate will have a strong background in product management, excellent logical thinking, and a business-driven mindset.

Must proactively drive product development and strategy to achieve outstanding results in terms of revenue growth and profitability, with a strong sense of accountability for ownership and results. A commercial background is a must.

Key Responsibilities:
Product Planning and Strategy (4P Planning)
Product: Define the product vision, strategy, and roadmap for PCs and Mini PCs. Ensure products meet market demands and align with the company’s goals.
Price: Develop pricing strategies based on market research, cost analysis, and competitive positioning to maximize profitability.
Place: Coordinate with sales and distribution channels to ensure optimal market penetration and product availability.
Promotion: Collaborating with marketing team for effective campaigns to drive product awareness and sales.
Logical Thinking and Problem Solving
Utilize analytical skills to identify market trends, customer needs, and potential challenges.
Develop data-driven insights to inform product decisions and strategic initiatives.
Continuously improve product features and functionalities based on customer feedback and technological advancements.
Business-Driven Approach
Align product strategies with business goals to drive revenue growth and market share.
Conduct market and competitor analysis to identify new opportunities and areas for improvement.
Focus on profitability, ensuring products contribute positively to the company.
Collaborate with cross-functional teams, including marketing, sales, and partners, to ensure product success.
Proactive Leadership and Accountability
Take ownership of the product lifecycle, anticipating market changes and addressing potential risks and opportunities.
Define clear goals and outcomes for product success, prioritizing tasks that align with strategic objectives.
Demonstrate a strong sense of accountability, ensuring that actions and decisions lead to measurable results.
Foster collaborative relationships with internal and external stakeholders for mutual benefit.
Promote a culture of continuous improvement and adaptability within the team.
Effective Communication and Teamwork
Engage with customers and team members to gather insights and communicate effectively.
Leverage the strengths of diverse teams to achieve greater results.
Invest in personal and professional development to stay ahead in the industry.
Encourage innovative thinking and creative problem-solving within the team.

Requirements:
• Experience in Hardware Company
• Bachelor's degree in Business, Engineering, Computer Science, or related field; MBA or advanced degree preferred.
• Proven experience in product management, preferably in the technology industry.
• Strong understanding of product development processes, market dynamics, and consumer behavior.
• Excellent project management skills with the ability to prioritize tasks and meet deadlines.
• Exceptional communication and interpersonal skills, with the ability to collaborate effectively across teams and influence decision-making.
• Analytical mindset with proficiency in data analysis and problem-solving.
• Strategic thinker with a passion for technology and innovation.
• Ability to thrive in a fast-paced, dynamic environment and adapt to changing priorities.
• Experience with Agile methodologies and product management tools is a plus.","Analytical Skills, Consumer Behavior, Critical Thinking, Data Analysis, Data Analytics, Logics, Market Analysis, Microsoft Dynamics, Product Planning, and Strategic Initiatives",https://media.licdn.com/dms/image/v2/D560BAQGIg__IXk05Eg/company-logo_100_100/company-logo_100_100/0/1663035290881/asus_logo?e=1733356800&v=beta&t=4nP78SBT-gjPXx1W7I6JPsrAwUiDDfPJXG9TKjF8B6U,On-site,"Jakarta, Indonesia"
