Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
Devoteam G Cloud,Senior Google Workspaces Engineer,Reposted 5 days ago,"Company Description

Devoteam is a leading consulting firm focused on digital strategy, tech platforms, and cybersecurity.

By combining creativity, tech, and data insights, we empower our customers to transform their business and unlock the future.

With 25 years’ of experience and 8,000 employees across Europe and the Middle East, Devoteam promotes responsible tech for people and works to create better change.

#Creative Tech for Better Change

Devoteam has launched in January 2021 its new strategic plan, Infinite 2024, with the ambition to become the #1 EMEA partner of the leading Cloud-based platform companies (AWS, Google Cloud, Microsoft, Salesforce, ServiceNow), further reinforced by deep expertise in digital strategy, cybersecurity, and data.
 
 
Job Description

In this context, you’ll be joining as Senior Google Workspace Engineer and reporting to the Indonesia Tribe Lead for Infrastructure. This role will be responsible for leading and advising on the design, implementation, and optimization of Google Workspace solutions for our clients. The ideal candidate possesses a deep understanding of Google Workspace, excellent communication skills, and a passion for helping clients achieve their productivity and collaboration goals..

The Senior Google Workspace Engineer will be responsible for the following activities: 

Develop a deep understanding of clients' business needs, goals, and technical environments.

Conduct thorough assessments of existing Google Workspace setups and identify areas for improvement.

Design and propose tailored Google Workspace solutions that align with clients' strategic objectives.

Clearly communicate technical recommendations and implementation plans to clients in a consultative manner.

Lead the implementation and configuration of Google Workspace services, ensuring seamless integration with existing systems.

Troubleshoot complex technical issues and provide expert guidance on Google Workspace best practices.

Stay abreast of the latest Google Workspace updates and features to leverage new functionalities for clients.

Develop and deliver training programs to empower clients in utilizing Google Workspace effectively.

Manage Google Workspace projects from inception to completion, ensuring timely delivery and client satisfaction.

Coordinate with internal teams and external stakeholders to ensure smooth project execution.

Provide ongoing support and maintenance to clients after project completion.
 
 
Qualifications

 
A bachelor's degree in computer science, information technology, cybersecurity,

5+ years of experience in Google Workspace administration and consulting.

Proven track record of successfully designing and implementing Google Workspace solutions for diverse clients.

Experience in a client-facing role, with strong consulting and communication skills.

Google Workspace certifications (e.g., Professional Collaboration Engineer) are strongly preferred.

Excellent problem-solving and analytical skills.

Outstanding communication and presentation skills, with the ability to tailor technical information to different audiences.

Strong project management skills, with the ability to manage multiple projects simultaneously.

Ability to build strong relationships with clients and internal stakeholders.
 
 
Additional Information

Status: Full-Time

Duration: -

Beginning date: August 2024

The Devoteam Group is committed to equal opportunities, promoting its employees on the basis of merit and actively fighting against all forms of discrimination. We believe that diversity contributes to the creativity, dynamism and excellence of our organization. All our positions are open to people with disabilities.","Analytical Skills, Build Strong Relationships, Client Relations, Communication, Computer Science, Google Workspace, Implementation Plans, Presentations, Problem Solving, and Project Management",https://media.licdn.com/dms/image/v2/C560BAQE7dsccdmIB1Q/company-logo_100_100/company-logo_100_100/0/1631310628141?e=1732147200&v=beta&t=-ZLBYZLHSU6BFD7_WIiKUlz9jQFSkJqd3CJPhNvG2Ak,On-site,Jakarta Metropolitan Area
HTC Global Services,Cloud Migration Developer,Reposted 3 days ago,"About The Role

We are seeking a Cloud Migration Developer with a minimum of 2 years of experience in C# .NET programming for both backend and frontend development.

Requirements

Strong understanding of containerization concepts and technologies.
Proficiency in Linux administration, with skills in scripting and automation such as Bash, Python, or Ansible.
Expertise in MS SQL Server and PostgreSQL.
Experience with Crystal Reports and SSRS (RDL); SSIS experience is a plus.
Familiarity with Docker and Kubernetes.
Knowledge of OpenShift-specific tools.
Additional knowledge in Java (or other programming languages) is a plus.
Red Hat Certified Specialist in OpenShift Application Development is a valuable addition.
Certification as a Kubernetes Administrator or AWS Cloud is a bonus.",".NET Framework, Back-End Web Development, C (Programming Language), C#, and Cloud Migration",https://media.licdn.com/dms/image/v2/D560BAQEE7FgfgdZdkA/company-logo_100_100/company-logo_100_100/0/1690544919186/htc_global_services_logo?e=1732147200&v=beta&t=l16g1MVnFUJHyRaqE1PIgu2W1hvXoapZ55A0cTo4Fjo,On-site,Jakarta Metropolitan Area
VLink Inc,iOS Developer,1 week ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1732147200&v=beta&t=DtLqK14PD7X-V3vTGb7CYEIs614nzc0h9SpBsiYK-OQ,Hybrid,"Jakarta, Indonesia"
Bitwyre,Quantitative Developer,2 weeks ago,"Company Description
We focus on stablecoin on/offramps for emerging markets.

Role Description
This is a full-time on-site role for a Quantitative Developer at Bitwyre in Jakarta Metropolitan Area. The Quantitative Developer will be responsible for tasks in the crypto options desk.

Qualifications
Have experience in large data analysis with Python (Pytorch)
Quantitative Analytics and Quantitative Finance skills
Mathematics and Statistics skills
Strong programming skills in languages such as Python
Strong C++ programming skills
Experience with financial modeling and data analysis
Ability to work in a fast-paced environment and collaborate with a team
Master's degree in a quantitative field like Mathematics, Statistics, Finance, or related areas
Must understand greek computation
Understanding fast greek computation is a plus","C++, Computation, Data Analysis, Data Analytics, Financial Modeling, Greek, Mathematics, Programming, Quantitative Analytics, and Quantitative Finance",https://media.licdn.com/dms/image/v2/D560BAQEcZFbpqVxlbA/company-logo_100_100/company-logo_100_100/0/1723697608525/bitwyre_logo?e=1732147200&v=beta&t=LI2Sd3XK22gC-mN7lMP44DjEr1DiAxDJYp436B3tL1c,On-site,Jakarta Metropolitan Area
Airwallex,"Senior Fullstack Engineer, Lending",2 weeks ago,"About Airwallex

Airwallex is the only unified payments and financial platform for global businesses. Powered by our unique combination of proprietary infrastructure and software, we empower over 100,000 businesses worldwide – including Brex, Rippling, Navan, Qantas, SHEIN and many more – with fully integrated solutions to manage everything from business accounts, payments, spend management and treasury, to embedded finance at a global scale.

Proudly founded in Melbourne, we have a team of over 1,500 of the brightest and most innovative people in tech located across more than 20 offices across the globe. Valued at US$5.6 billion and backed by world-leading investors including Sequoia, Lone Pine, Greenoaks, DST Global, Salesforce Ventures and Mastercard, Airwallex is leading the charge in building the global payments and financial platform of the future. If you're ready to do the most ambitious work of your career, join us.

About The Team

Airwallex is establishing a state-of-the-art lending platform and building a suite of related credit products which include customer facing credit cards.

The Senior Fullstack Engineer is a high-impact, high-ownership role working on the leading edge of our lending product suite to launch and scale up our capability into new markets. The Lending engineering & product team is based in Singapore and has full global ownership. This role requires close collaboration with the local team to lead the evolution and innovation of our exciting new credit suite.

Join Airwallex and become an integral part of a team that is redefining the boundaries of financial innovation. Airwallex offers a dynamic and inclusive work environment where you can cultivate your knowledge, foster personal growth, and realize your full potential.

What You’ll Do

Your contributions will directly impact the success of our products and make a lasting mark on the industry. Seize this opportunity to join our dynamic team and become a part of our journey to create extraordinary technology that empowers users worldwide!

This role is based in Singapore.

Responsibilities

Lead the design, implementation & delivery across our lending product suite initially focused on launching and scaling up our credit cards product into new markets.
Collaborate with a talented team of engineers to conduct architectural reviews, ensuring the highest quality and scalability of our solutions.
Own the technical strategy spanning the evolution of our micro frontend, GraphQL & backend platform services.
Partner with the broader lending team to optimize our processes for productivity & quality.

Who You Are

We're looking for people who meet the minimum qualifications for this role. The preferred qualifications are great to have, but are not mandatory.

Minimum Qualifications

4+ years of experience in modern engineering practices focused on continuous integration and quality engineering.
A passion for building delightful customer-facing products.
Good understanding of modern frontend architecture, React, TypeScript / JavaScript and experience working on high-volume distributed systems.
Strong computer science fundamentals - solid understanding of OOP concepts.
Commitment to producing high-quality, well-tested solutions.
Cloud experience with GCP (preferred) or AWS (EC2, RDS, ELB, CloudFront, etc.) with Docker and Kubernetes.
Familiarity with operational tooling such as Splunk, Grafana, and Prometheus.

Preferred Qualifications

Experience within the financial domain.

#bangkok, #hongkong, #jakarta, #shanghai, #singapore, #sydney, #taipei, #tokyo

Equal opportunity

Airwallex is proud to be an equal opportunity employer. We value diversity and anyone seeking employment at Airwallex is considered based on merit, qualifications, competence and talent. We don’t regard color, religion, race, national origin, sexual orientation, ancestry, citizenship, sex, marital or family status, disability, gender, or any other legally protected status when making our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.

Airwallex does not accept unsolicited resumes from search firms/recruiters. Airwallex will not pay any fees to search firms/recruiters if a candidate is submitted by a search firm/recruiter unless an agreement has been entered into with respect to specific open position(s). Search firms/recruiters submitting resumes to Airwallex on an unsolicited basis shall be deemed to accept this condition, regardless of any other provision to the contrary.","Back-End Web Development, Computer Science, Continuous Integration (CI), Front-End Development, Full-Stack Development, GraphQL, JavaScript, Object-Oriented Programming (OOP), Quality Engineering, and TypeScript",https://media.licdn.com/dms/image/v2/C560BAQE0x1xIVWaQgw/company-logo_100_100/company-logo_100_100/0/1630593999400/airwallex_logo?e=1732147200&v=beta&t=SY0x-yoDhmVb45T-80txfCqjmD26a96yj2AUop-eVjc,Hybrid,"Jakarta, Jakarta, Indonesia"
SoftwareOne,Cloud Enterprise Architect,6 days ago,"Role Description :
 Develop Enterprise Cloud solutions, lead delivery teams in customer workshop, coordinate with multiple partners in client hierarchy to engage, understand and articulate requirements to create solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure and platform solutions.
As a cloud architect, you will engage with clients to define and design the cloud technology architecture and solution architecture. You will also define application and IT Architecture focusing on the mapping of Business requirement’s to IT Capabilities and align the same.

The focus is to define the integrations between, Applications, Data and Technology in the Enterprise and the Transitional Process vital for migration and modernizing to cloud based architecture that includes APIs, microservices and containers.

You will keep yourself updated with the latest technology trends and architectural styles and suggests demonstrating of modern digital technologies to cater to business needs. Recognized as an Expert In their technology and architecture field. You will guide cloud objectives and technologies.
Job Requirements 
 Key Responsibilities :
 Define end to end Enterprise and Cloud based Architecture catering to client needs and requirements Analyse Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and risks to propose cloud roadmap, solution architecture and associated TCO Develop and implement cloud architecture solutions based on AWS, Azure, GCP or IBM Cloud when assigned to work on delivery projects. Analyse client requirements, propose for overall Application modernization, migrations and green field implementations Experience in implementing and deploying a DevOps based, end to end cloud application Lead teams for a discovery and architecture workshop, influence client architects, and IT personnel Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements. Deliver an optimized infrastructure services design demonstrating public, private, and hybrid Cloud architectures and services Act as subject matter and implementation authority for the client as related to technical architecture and implementation of proposed solution using Cloud Services Implement Solution using Azure Cloud Services, open source and other 3rd party technologies Create and develop process frameworks, documents, SOP’s, cook book, automation scripts/tools for Cloud Discovery, Migrations, Application modernization, DevSecOps and Services transitions to cloud Experienced in developing Terraform/PowerShell/Cloud Formation/ARM scripts/templates Lead internal and external initiative to standardize, automate and develop driven assets and accelerators
Technical Experience :
Knowledge on crafting IaaS and PaaS cloud solutions in Azure Platform that meet customer needs for scalability, reliability and performance Experienced in delivering large/medium scale enterprise solution using Microservices, APIs, Containerization, Kubernetes, App modernization, Cloud IaaS & PaaS Understanding of WAN, LAN, TCP/IP, VPN, Virtual Networking, Subnet, Routing, Storage account/management and Infrastructure as a Service Experience in crafting systems logical view, network diagram and able to build automated solution for server build, resource supervising Knowledge and experience in delivering solution using middle ware integration technologies using SOA, ESB, API platforms, API Security Experience in design, development and architecture of Java/JEE/.NET based system Have ability to assess multiple types of operating systems (AIX, Linux, Windows etc) and database (Postgres, Sybase, MySQL, MS SQL, NoSQL, DB2, Oracle, Cassandra and MongoDB) to develop transformation approaches and solutions Worked on Cloud Administration tasks :Crafting resource group, storage account, etc
  Professional Attributes : 
Strategic problem solver, have ability grasp new technologies, innovate, develop and further new solutions Experience in driving consulting workshops, crafting content of workshops in short deadlines to C-levels Demonstrate thought leadership, build good impacts in engagements, handle time and demonstrate flexibility by adapting to situations An ability to follow processes Strong documentation skill Good interpersonal skills both written and verbal with the client
Certifications
 - TOGAF, ITIL, Azure Solution Architect Associate & Guide/AWS Solution Architect Associate & Professional /GCP Professional
 Company description 
Hear firsthand from SoftwareOne APAC leaders as they unveil our exciting business and growth plan, spill the beans on our hiring initiatives, and reveal why joining SoftwareOne is an innovator. Join us now and be part of our incredible journey.
 ","Adobe InDesign, Architecture, Client Requirements, Enterprise Service Bus (ESB) Architecture, Infrastructure as a Service (IaaS), Interpersonal Communication, Modernization, Service-Oriented Architecture (SOA), TOGAF, and Technology Architecture",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1732147200&v=beta&t=ocK6gIMqgVeKnp19lzSGiw7FeHwr5iMc-rHJ0iGYINI,On-site,Jakarta Metropolitan Area
ViBiCloud,Cloud Engineer,2 weeks ago,"Qualifications
Min. Bachelor Degree from IT/Information System/any major related.
Experienced min. 2-5 years as DevOps / Cloud Engineer.
Strong knowledge in Microsoft, AWS, HIT Cloud Technology.
Able to operate power platform & data AI
English is a must

Responsibilities
Doing implementation and ensure the deployment and configuration based on work order and timeline.
Collect evidence for all work order.
Troubleshooting during deployment if needed.
Create technical documentation during implementation for BAST and manage service needs.
Engage with customer if needed to ensure all customer requirements are listed in the work order.","Amazon Web Services (AWS), Cloud Computing, Data AI, DevOps, English, Evidence, Software Development, Technical Documentation, Test Automation, and Troubleshooting",https://media.licdn.com/dms/image/v2/C560BAQGwMTyASibWiQ/company-logo_100_100/company-logo_100_100/0/1630660543136/vibicloud_logo?e=1732147200&v=beta&t=xJTxCD1uKRzH_DICWi4VWiSuGVYMRUR4swGp6ilYC8A,On-site,"Jakarta, Indonesia"
Airwallex,"Senior Backend Engineer, Lending",1 week ago,"About Airwallex

Airwallex is the only unified payments and financial platform for global businesses. Powered by our unique combination of proprietary infrastructure and software, we empower over 100,000 businesses worldwide – including Brex, Rippling, Navan, Qantas, SHEIN and many more – with fully integrated solutions to manage everything from business accounts, payments, spend management and treasury, to embedded finance at a global scale.

Proudly founded in Melbourne, we have a team of over 1,500 of the brightest and most innovative people in tech located across more than 20 offices across the globe. Valued at US$5.6 billion and backed by world-leading investors including Sequoia, Lone Pine, Greenoaks, DST Global, Salesforce Ventures and Mastercard, Airwallex is leading the charge in building the global payments and financial platform of the future. If you're ready to do the most ambitious work of your career, join us.

About The Team

Airwallex is establishing a state-of-the-art lending platform and building a suite of related credit products which include customer facing credit cards.

The Senior Backend Engineer is a high-impact, high-ownership role working on the leading edge of our lending product suite to launch and scale up our embedded finance & credit product capabilities into new markets. The Lending engineering & product team is based in Singapore and has full global ownership. This role requires close collaboration with the local team to lead the evolution and innovation of our exciting new credit suite.

Join Airwallex and become an integral part of a team that is redefining the boundaries of financial innovation. Airwallex offers a dynamic and inclusive work environment where you can cultivate your knowledge, foster personal growth, and realize your full potential

What You’ll Do

Your contributions will directly impact the success of our products and make a lasting mark on the industry. Seize this opportunity to join our dynamic team and become a part of our journey to create extraordinary technology that empowers users worldwide!

This role is based in Singapore.

Responsibilities

Lead the design, implementation & delivery across our lending platform to support the launch and scale up our embedded finance & credit cards products.
Collaborate with a talented team of engineers to conduct architectural reviews, ensuring the highest quality and scalability of our solutions.
Partner with the broader lending team to optimize our processes for productivity & quality.

Who You Are

We're looking for people who meet the minimum qualifications for this role. The preferred qualifications are great to have, but are not mandatory.

Minimum Qualifications

4+ years of experience in modern engineering practices focused on continuous integration and quality engineering.
A commitment to producing high quality and well tested solutions
Strong computer science fundamentals
JVM based programming. While we do not mind what language you have most recently been using, we are using Kotlin
Deep experience working with high throughput / low latency / HA distributed systems
Experience in API design best practices
Solid understanding of OOP concepts.
Cloud experience with GCP (preferred) or AWS (EC2, RDS, ELB, CloudFront, etc.) with Docker and Kubernetes.
Familiarity with operational tooling such as Splunk, Grafana, and Prometheus.

Preferred Qualifications

Experience within the financial domain.

#bangkok, #hongkong, #jakarta, #shanghai, #singapore, #sydney, #taipei, #tokyo

Equal opportunity

Airwallex is proud to be an equal opportunity employer. We value diversity and anyone seeking employment at Airwallex is considered based on merit, qualifications, competence and talent. We don’t regard color, religion, race, national origin, sexual orientation, ancestry, citizenship, sex, marital or family status, disability, gender, or any other legally protected status when making our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.

Airwallex does not accept unsolicited resumes from search firms/recruiters. Airwallex will not pay any fees to search firms/recruiters if a candidate is submitted by a search firm/recruiter unless an agreement has been entered into with respect to specific open position(s). Search firms/recruiters submitting resumes to Airwallex on an unsolicited basis shall be deemed to accept this condition, regardless of any other provision to the contrary.","Application Programming Interfaces (API), Back-End Web Development, Computer Science, Continuous Integration (CI), Kotlin, Object-Oriented Programming (OOP), Quality Engineering, and Software Development",https://media.licdn.com/dms/image/v2/C560BAQE0x1xIVWaQgw/company-logo_100_100/company-logo_100_100/0/1630593999400/airwallex_logo?e=1732147200&v=beta&t=SY0x-yoDhmVb45T-80txfCqjmD26a96yj2AUop-eVjc,Hybrid,"Jakarta, Jakarta, Indonesia"
Crypto.com,Application Security Engineer / Code Reviewer,2 weeks ago,"At Crypto.com , our dedication to user security is led by our highly experienced Security Team. Comprising an international roster of seasoned cybersecurity experts, our team leads the company's Security, Privacy, and Security Compliance endeavors.

The team includes holders of international patents for technologies integrated in our security architecture. Under the stewardship of a distinguished CISO recognized by the Forbes Technology Council and among the Global Top 100 CISOs, our team has consistently championed industry standards, acquiring certifications like ISO27001, ISO27701, ISO22301, PCI:DSS 3.2.1 (Level 1), NIST Tier 4, and SOC 2 Type II, in addition to the MPI License from Singapore MAS. Our Chief Information Security Officer reports directly to the CEO, underscoring the prioritization of security in our organization's hierarchy.

Our Security Team not only places great emphasis on credentials and expertise but also deeply values hands-on experience, rapid cognition, and dynamic learning. The challenges in the world of crypto are ever-evolving, and as such, our team prides itself on quick adaptability and robust teamwork, ensuring that we stay ahead of potential threats and always safeguard our user base.

No security practitioner wants to work in a company that no hacker would bother to hack. Crypto.com is a Crypto-currency company with our own Crypto Wallet, Exchange, and various Blockchain Technologies and all these are attracting top-notch hackers around the world to try to attack our system 24x7.

To keep up with the fast pace of the software development release cycle, the Application Security and DevSecOps team is expanding and hiring talented security professionals to join us and protect the company.

For more background information about the company, please visit our website https://crypto.com

Responsibilities

Discover security vulnerabilities through design review, manual source code review, and follow up on the remediation process
Use automated tools to find security vulnerabilities in source code and/or system
Participant in relevant agile scrum meetings and provide professional recommendations on the design of security controls, libraries, and/or protocols
Conduct secure coding training sessions
Implement various security control verification and risk detection by developing our own automation system
Implement security related libraries for internal use
Provide support on application level security monitoring, intrusion detection, and incident response

Requirements

At least 5 years of software development experience with a focus on either Server Side Java or Rails language.
Experience in mobile application development will be an added advantage
We would love to hire a code reviewer with a solid background in security code review, but we are also open to candidates who have solid background in software development but no security code review experience. 
Candidates with more experience will be considered for a more senior role and title
Good understanding of the whole software development lifecycle, CI/CD tools, cloud, Kubernetes, and various and technology stacks
CISSP, CSSLP, OSWE is definitely an advantage
Familiar with OWASP Top 10 is an advantage
Proficiency in both spoken and written English. Being able to speak Mandarin will be an advantage

Benefits 

Working in a well-organized team and be able to learn how to protect an Enterprise and ship secure applications at a fast pace
New challenges every day, but still be able to enjoy work-life balance 
Have exposure to many cutting edge technologies in the industry
Flexible working environment with adjustable work from home arrangements

Life @  Crypto.com 

Empowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.

Transformational and proactive working environment. Elevate employees to find thoughtful and innovative solutions.

Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.

Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.

One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.

Are you ready to kickstart your future with us? 

Benefits

Competitive salary

Medical insurance package with extended coverage to dependents

Attractive annual leave entitlement including: birthday, work anniversary

Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-up

Aspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.

Work Perks: crypto.com visa card provided upon joining

Our Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.

About  Crypto.com :

Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.

Learn more at https://crypto.com .

Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.

Personal data provided by applicants will be used for recruitment purposes only.

Please note that only shortlisted candidates will be contacted.","English, Incident Response, Java, Mandarin, Mobile Application Development, Ruby on Rails, Security Controls, Security Monitoring, and Server Side",https://media.licdn.com/dms/image/v2/D560BAQHIpxFJoR_AxA/company-logo_100_100/company-logo_100_100/0/1723706217039/cryptocom_logo?e=1732147200&v=beta&t=sngT3EMzJBRtFG4vJXZBOZnYRGuoxUQdnXPEgpAoWx0,Hybrid,"Jakarta, Jakarta, Indonesia"
Agoda,"DevSecOps Engineer (Bangkok based, relocation provided)",Reposted 2 weeks ago,"About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

 Our Purpose –  Bridging the World Through Travel 

We believe travel allows people to enjoy, learn and experience more of the amazing world we live in. It brings individuals and cultures closer together, fostering empathy, understanding and happiness.

We are a skillful, driven and diverse team from across the globe, united by a passion to make an impact. Harnessing our innovative technologies and strong partnerships, we aim to make travel easy and rewarding for everyone.

Get to Know our team:

Agoda’s DevOps department is a vibrant and synergistic collective, comprised of highly proficient engineers with expertise across various domains. We’re dedicated to improving the developer productivity by providing best-in-class developer experience through seamless integration of development and operations. Our team works on comprehensive full-stack solutions, overseeing projects from conceptual design to the deployment of functional applications. This includes crafting intuitive user interfaces, robust APIs, core system functionalities, and implementing scalable data storage solutions across a distributed network. We work with the security team to provide a platform and company-wide integrations. Our work affects all the IT department at Agoda, turning even minor issues into exciting challenges due to the scale and speed we operate at.

The Opportunity:

DevSecOps Engineer is a pivotal role within our DevOps organization. You will be responsible for development and implementation with the focus of providing security as a platform. You will be a key contributor to the team and it would require broad knowledge of the technology stack across the industry. You will have the opportunity to be impactful across the entire SDLC process. For you to succeed in this role, you should strive to balance the industry best-practice with Agoda’s scale. A developer-centric approach is essential, as you will be expected to empathize with and address the needs of our development teams, fostering a culture where security is ingrained in every aspect of our workflow.

In this Role, you’ll get to:

Maintain CI/CD best practices and automate security testing at the speed of DevOps on a very large scale (:1M pipelines a month)
Design, implement, and monitor in-house built security tooling chain
Maintain a platform that includes a complex automated security scoring system for every development component at Agoda

What you’ll need to succeed:

Excellent coding skills in a modern programming language (preferably Go, Rust, or Python)
Software architecture design skills for achieving high availability and fault tolerance
Knowledge of network security and application security concepts
Familiarity with development ecosystem tooling: Git, CI, Docker, Kubernetes
Experience with Linux system administration
Passion for learning cutting-edge technologies and automating large scale processes
Excellent collaboration and communication skill

It’s great if you have:

Familiarity with secure coding best practices
Experience utilizing modern CI systems (e.g., GitLab CI, GitHub Actions, CircleCI, Jenkins)
Advanced Kubernetes & Docker knowledge (plus points for experience with k8s operator development)
Experience working with a service mesh
Configuration management experience (e.g., Ansible, Terraform)
Extended knowledge in securing an application security in CI/CD (e.g., SAST, DAST)
Experience coding a full-stack application (preferably with React.js and Go)
Experience with HashiCorp tools (Consul, Vault, Terraform)
Experience with both SQL and NoSQL databases (PostgreSQL, Elasticsearch, MSSQL)

#sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #sydney #melbourne #perth #toronto #vancouver #montreal #shanghai #beijing #shenzhen #prague #Brno #Ostrava #cairo #alexandria #giza #estonia #paris #berlin #munich #hamburg #stuttgart #cologne #frankfurt #hongkong #budapest #jakarta #bali #dublin #telaviv #milan #rome #tokyo #osaka #kualalumpur #amsterdam #oslo #manila #warsaw #krakow #bucharest #moscow #saintpetersburg #capetown #johannesburg #seoul #barcelona #madrid #stockholm #zurich #taipei #bangkok #Phuket #istanbul #london #manchester #edinburgh #kiev #hcmc #hanoi #wroclaw #poznan #katowice #rio #salvador #IT #ENG #4 #IT #4 #5

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.","Fault Tolerance, HashiCorp, Linux System Administration, Microsoft SQL Server, NoSQL, PostgreSQL, SQL, Security Testing, Software Architecture, and Terraform",https://media.licdn.com/dms/image/v2/C4D0BAQGBa_7QNZNwpw/company-logo_100_100/company-logo_100_100/0/1656643826660/agoda_logo?e=1732147200&v=beta&t=IvOpu78fO86XGZxntE5TXmf2Yc6ZekdnKIGsJSSCuF4,Hybrid,"Bali, Indonesia"
