Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
VLink Inc,iOS Developer,2 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,Hybrid,"Jakarta, Indonesia"
Lancesoft Indonesia,Java Software Engineer,Reposted 1 week ago,"Currently we're looking for Java Developer position!

Job Details:
- Have working experiences dan strong knowledge in Java Spring Boot.
- Minimal 2 years experience as Java Developer.
- Have working experiences and solid understanding in developing backend microservices based on Rest API and gRPC.
- Have working experiences and solid understanding in developing backend microservices integrated with SQL database (Oracle, posqresSQL) and NoSQL database (Monggo DB) and data caching (redis).
- Creative problem-solving skills.
- Good analytical & logical thinking.
- Familiar working with Git.","Java, PostgreSQL, and Spring Boot",https://media.licdn.com/dms/image/v2/D560BAQFuozay5Kozog/company-logo_100_100/company-logo_100_100/0/1713216265128/lancesoft_indonesia_logo?e=1733356800&v=beta&t=FrKYdJ8kr2iS2w184oSRVq_0dDdxVIvYa1zD4vM6J1g,On-site,"Jakarta, Indonesia"
Paxel Indonesia,Senior DevOps Engineer,3 weeks ago,"User query/issue handling.
Ensuring user queries or issues are captured, validated, and triaged for further processing.
Communicating with users.
Ensuring that various types of information are communicated to users through the appropriate channel(s).

Main Tasks:
Identify and diagnose issues and problems
Setup and maintain Cloud & Infrastructure
Documented all IT Projects and Tasks
Troubleshoot Issue

Qualifications:
Mastering LINUX, UNIX & related OS
Have knowledge of CI/CD, Jenkins, Python, Git, ArgoCD, Ansible, HelmChart
Able to troubleshoot servers & infrastructure
Have a background or experience in the field of backend/system administrator","DevOps, IT Project & Program Management, IT Project Management, IT Projects, Project Management, Query Languages, Query Writing, Software Development, and Test Automation",https://media.licdn.com/dms/image/v2/C560BAQH4v3czpncpJA/company-logo_100_100/company-logo_100_100/0/1646288535108/paxel_co_logo?e=1733356800&v=beta&t=R_TjqUybmbB2nq0zJ6EJML_gL98c6PVTGQPSZ1WQz80,Hybrid,"Jakarta, Indonesia"
Johnson Controls,"Senior Sales Engineer, Data Center",Reposted 2 weeks ago,"Who We Are

Build your best future with the Johnson Controls team

As a global leader in smart, healthy and sustainable buildings, our mission is to reimagine the performance of buildings to serve people, places and the planet. Join a winning team that enables you to build your best future! Our teams are uniquely positioned to support a multitude of industries across the globe. You will have the opportunity to develop yourself through meaningful work projects and learning opportunities. We strive to provide our employees with an experience, focused on supporting their physical, financial, and emotional wellbeing. Become a member of the Johnson Controls family and thrive in an empowering company culture where your voice and ideas will be heard – your next great opportunity is just a few clicks away!

What You Will Do

As a Sales Engineer, you will be responsible to manage the sales of our Controls, Fire and Security unit, acquire new customers mainly within Data Center market, build relationship with customers, understand the customer need and offers solutions based on their requirements.

How You Will Do It

Work with Controls, Fire, & Security (CFS) support group in the Country and in the Region for System and Products in providing distinctive sales support, system design and system solutions to satisfy customers’ needs. 
Develop Individual Sales plans and manage individual yearly pipeline in the assigned market segment. 
Execute the initiatives and committing to yield total customer satisfaction and achieve the business results. 
Meet Key Performance Indicators (KPIs) set for his business segment within the CFS sales department. 
Maintain existing customer base and develop new customer base to ensure continuous business growth 
Maintain constant field intelligence and feedback pertinent information on competitors activities, product, prices, business performance and promotional programs 
Communicate and work closely with other departments in ensuring the overall company objectives/performance is achieved at all times. 
Manage the Secured Win projects diligently in term of costing, timely planning of delivery schedule with the Operations department and/or Service department, minimize additional rework or unplanned cost. 
Foster strong relationship with customers and suppliers/vendors, enabling the company is at active & leading, speedy response time, highly profitable, excellent payment collection position at all time. 
Perform any other duties from time to time, whether ad-hoc or otherwise, as assigned by his superior 
Maintain high morale and team spirit within the team 

What We Look For

Above 5-years working experience as sales/marketing position in direct selling for CFS (Controls, Fire & Security) solutions in construction/building market. 
Self-motivated, work based on target and under less supervision. 
Sales & distribution development (preferable CFS at construction Market & having customer base) 
Able to forecast pricing, quotation & budgeting. 
Good negotiation, communication, analytical, aggressive & relationship management skills 
Must be a proactive team player & having problem solving spirits 
Proficiency in English (written & oral) 
Computer literate (MS-Excel, MS-Word, CAD is an advantage). 
Possess a car would be an advantage. 

What We Offer

Competitive salary 
Paid vacation/holidays/sick time 
Comprehensive benefits package 
On the job/cross training opportunities 
Encouraging and collaborative team environment 
Dedication to safety through our Zero Harm policy","Chronic Fatigue, Communication, Computer Literacy, Customer Satisfaction, Customer Satisfaction (CSAT), English, Key Performance Indicators, Problem Solving, Sales Engineering, and Sales and Marketing",https://media.licdn.com/dms/image/v2/D560BAQFypgt2NqawKg/company-logo_100_100/company-logo_100_100/0/1719868019914/johnson_controls_logo?e=1733356800&v=beta&t=6zrXhlnwpWfMYSnKRpGcitdutOfdn8CJWwb1Sb69QbE,On-site,"East Jakarta, Jakarta, Indonesia"
Elitery,Senior DevOps Engineer,3 days ago,"Basic Qualifications:

Proficiency in containerization (Docker) and orchestration (Kubernets)
Experience with monitoring and looging use New Relic
Experience devops
Having knowledge about Windows, AD and Exchange
Experience with CI/CD
2+ years of experience in deploying large scale applications
2+ years of experience in AWS/GCP/Cloud Environment
Solid basic knowledge, deep understanding of computer principles
Master at least one language such as Shell script, Go, Java, PHP, Python, etc
Have good communication skills and team awareness, positive and optimistic, and have a sense of responsibility
Excellent problem analysis and problem-solving skills, able and willing to seek challenges, acquire new knowledge
Experience using source code management tools eg GIT, SVN, etc
Experience using automation tools, such as Ansible, Chef, Puppet, Shell script, etc
Having Cloud Certification is a big plus

 Responsibilities:

Analyze and verify the solutions for system requirements and specification
Deploying the solutions to make production grade infrastructure
Creating and maintaining CI/CD application from developer side to production
Deploying infrastructure using automation like Terraform, Cloudformation, etc
Creating documentation regarding servers and application installation and maintenance
Automating tasks that occurred multiple times
Working with Project Managers and other teams using agile methodology
Participating in design, reviews and recommending new technology to make services easily maintainable","Amazon Web Services (AWS), Continuous Integration and Continuous Delivery (CI/CD), DevOps, Docker Products, Docker Swarm, Google Cloud Platform (GCP), Java, Kubernetes, New Relic, and Python (Programming Language)",https://media.licdn.com/dms/image/v2/C560BAQHCA3hwVGqQiA/company-logo_100_100/company-logo_100_100/0/1659708769387?e=1733356800&v=beta&t=wVqOWobmRyZRw0t6m621G_Ib12cFBhEVKdLFe5AEsCU,Hybrid,"South Jakarta, Jakarta, Indonesia"
ViewSonic,Service Engineer,Reposted 2 months ago,"Proactively manage the performance of the ViewSonic’s After Sales Operation. This includes providing technical and service support to end customers and Authorised Service Providers (ASP). You will oversee the efficient processing of all RMA transactions. Maintaining optimal stock levels of spare parts to ensure that all ASP’s are able to complete repairs within the agreed KPIs.

Job Description:
Identify local and regional customer care requirements, in conjunction with Product Management / Sales
RMA management to ensure efficient turnaround time
Service cost and inventory management
Technical support to sales team and repair centers
Coordinate with regional Head Quarter to acquire required support

Qualifications
Engineering background or extremely high passion on PC and peripherals
At least 3 years of After Sales Engineer or repair center management experience
Familiar with LCD, projector, interactive flat panel will be a plus.
Must be a team player and be able to develop business plans and sales.
Excellent Presentation and Communication skills.
Good business sense and understanding of business processes
Familiar with Microsoft package, e.g. Word, Excel, PowerPoint.

3 summary points
Field engineer experience in consumer electronics
LCD or AV engineer
3rd party service management","After Sales, Business Acumen, Communication, Inventory Management, Key Performance Indicators, Microsoft Excel, Microsoft PowerPoint, Microsoft Word, Sales, and Technical Support",https://media.licdn.com/dms/image/v2/D560BAQFxPCaZYb23VQ/company-logo_100_100/company-logo_100_100/0/1667283097407/viewsonic_logo?e=1733356800&v=beta&t=k_vwBIVyWGl7l7EjDnJUobXOHUnSIPyba-mG_W70qO0,On-site,"Jakarta, Indonesia"
INDODAX - Indonesia Digital Asset Exchange,Senior iOS Engineer,4 weeks ago,"Able to work under minimal supervision
Able to work collaboratively within a team environment.
Stay up-to-date with the latest iOS development trends, tools, and technologies.
Ability to evaluate the best choice of coding pattern and apply consistently in the system. - plan and architecture system design based on experience from maintaining and developing other projects and products.
Can apply good branching strategies and code management in git
Familiarity with Firebase component
Familiarity with VIPER or MVVM design pattern.
Familiarity with Swift Package Manager and Cocoapods.
Proficient in Swift
Understanding in using Memory Profiling Tools such as Instruments.
Have basic knowledge of shell script.
Knowledge of REST APIs and XML/JSON
Knowledge in Kotlin Multi Platform Mobile is a plus.
Understanding of mobile development security best practice is a plus",Swift (Programming Language),https://media.licdn.com/dms/image/v2/C560BAQFT1FF0iqfNVw/company-logo_100_100/company-logo_100_100/0/1675061928224/indodax_logo?e=1733356800&v=beta&t=y8BzWE9_pfv3-314o6P2dc4M6rO-6K2CS4dQ_6txzrM,Hybrid,"South Jakarta, Jakarta, Indonesia"
Packet Systems Indonesia,Security Engineer (L2),3 weeks ago,"Job Description:
Providing an advanced input and other strategic solution on the company& security system
Providing a solid technical support for daily activities in the customer & sites
Create the Design, implement, maintenance, troubleshooting, and support of infrastructure - networking and security solutions
Create documentation and reports which suits the customer needs
Create documentation of Preventive Maintenance and Fault Analysis Report

Minimum Qualifications:
Minimum Bachelor Degree (S-1 degree) in Information Technology or Computer Engineering or Telecommunication from reputable university
Minimum of 3 years experience in network/security technology (preferably in a system integrator company)
Strong and proven capability in IT security installation, troubleshooting, and security tactics management
Have deep knowledge/experience on LogRhytm/Qradar/XSOAR
Must possessed a Security Technology - Professional level certificate, or other relevant certificates are preferred
Excellent interpersonal & communication skills
Ability to perform under pressure and tight time constraints; be able to work under limited guidance in line with a broad plan, or strategy.","Cyberark, Fault Analysis, Fortinet, Palo Alto Networks, Preventive Maintenance, Reporting, Security Engineering, and Troubleshooting",https://media.licdn.com/dms/image/v2/D4D0BAQEEUT-QQ5Nejw/company-logo_100_100/company-logo_100_100/0/1705941224744/packet_systems_indonesia_logo?e=1733356800&v=beta&t=evd2onVSsIQ_cemd5Rw2ZaNWR2VL6UYmOWAeoi57Jg0,On-site,"Jakarta, Indonesia"
Volex,Software Firmware Programmer,1 week ago,"Business overview
Volex is a leading integrated manufacturing specialist for performance critical applications and supplier of power products serving a diverse range of markets and customers, with expertise in cable assemblies, higher-level assemblies, data Centre products, electric vehicles, and consumer electronics.
We employ over 7,800 employees across 22 countries and operate 20 manufacturing locations. In our most recent Financial Year we had revenue of $723m spread broadly across the four regions (Americas, Europe, China, and Asia Pacific).

Job Role / Job Overview
Electronics Engineer role reports to the Engineering Manager.
Deep understanding of embedded systems specific to Electric Vehicle (EV) applications, including battery management systems, motor controllers, and charging solutions. Lead firmware development efforts, drive innovation, and ensure the highest standards of quality and performance for the EV products.

Key Responsibilities for this role
Design and development:
Design and development, and implementation of firmware for EV systems, including battery management, motor control, and charging infrastructure. 
Collaborate with hardware engineer to ensure seamless integration between firmware and EV hardware components. 
Develop and execute details test plan to validate firmware functionality, performance, and reliability in the context of EV applications. 
Troubleshoot and resolve complex firmware issues, ensuring reliable and safe operation of EV systems. 
Conduct code reviews, provide guidance and foster a culture of excellence in firmware development. 
Ensure all firmware development adheres to industry standards, automotive regulations, and safety requirements specific to EVs. 
Stay abreast of emerging technologies and advancements in EV firmware, integrating them into product development. 
Maintain comprehensive documentation of firmware design, development processes, and test result to support knowledge transfer and future maintenance. 

Standards and Compliance:
Ensure all designs comply with relevant industry standards and regulatory requirements. 
Implement and maintain up-to-date knowledge of evolging standards and technologies within the EV industry. 
Stay abreast of the latest developments in EV standards and technologies, incorporating relevant advancements into designs. 

Collaboration and communication:
Collaborate with cross-functional teams, including software, mechanical team, product managers, to ensure seamless product development
Communicate effectively with suppliers and partners to facilitate the successful production of EV products. 

Problem solving and innovation:
Identify and troubleshoot design issues, offering innovative solutions to enhance performance and reliability
Conduct failure analysis and implement corrective actions to resolve design deficiencies. 

Documentation and reporting:
Maintain comprehensive documentation of designs, testing procedures, and results
Prepare and present technical report and presentations to stakeholders, detailing project progress and outcomes. 

Education & Industry Experience required
At least Bachelor's Degree in Electronic/ IT programming or a related field
Minimum of 8 years of experience in firmware development for embedded systems, with significant experience in EV product design
Strong understanding of EV-specific components such as battery management system, motor controller and charging systems. 
Excellent analytical and troubleshooting skills, with a focus on ensuring high performance and safety in EV systems. 
Knowledge of EV-specific communication protocols and automotive safety standards. 
Proven track record of designing and developing EV hardware from initial concept to production. 
In-depth knowledge of EV system, including battery management systems, motor controllers and power electronics. 
Experience with high voltage system and safety protocols
Hands-on experience with prototyping and testing EV hardware
Self-driven, independent and possess excellent oral and written communication skills to successfully collaborate with our accomplished engineering team
Experience with programming language and scripting is a plus.
Applicants from Batam are highly prioritized.","English, Equipment Repair, Knowledge Acquisition, MATLAB, Signal Integrity, System Requirements, Teamwork, and Vector Network Analyzers (VNA)",https://media.licdn.com/dms/image/v2/C4D0BAQGcL3X2PFZbDA/company-logo_100_100/company-logo_100_100/0/1630509139971/volex_logo?e=1733356800&v=beta&t=nUAFRqcXX1fRizOkxihGcP5cXskuoPriWBFenxjNAgI,On-site,"Batam, Riau Islands, Indonesia"
Eaton,"Cooling System Engineer, East Asia",Reposted 2 days ago,"What You’ll Do

The primary function of the job is to provide Cooling field application related activities within East Asia either direct to customer or through partners work together with technical & sales team to achieve customer satisfaction, exceed annual sales and growth targets.

 Promoting Eaton Cooling products and Containerized solutions assignment requested by regional or local customer group & consultant.
 Identify potential new cooling installer, service provider to be Eaton value added partner for business sustainability.
 Develop long-term installation support with mechanical cooling installer / service provider and optimized scope of works for offering competitiveness.
 Provide and maintain a good service and support level to customers & consultant, as to achieve high satisfaction
 Conduct Product & Solution sharing, specify Eaton brand and its products and solutions to influencers and decision makers
 Liaison with factory to acquire cooling solution for Containerized solutions, as well as customized Cooling Solution for Data Hall and M&E room based on Tender Specification.
 Liaise with Factory for cooling unit sizing selection, performance evaluation and compliance CDE to support Tender Submittal.
 Conduct onsite hands on trouble shooting (where applicable) and technical application support alongside with Service Team / Fast Team.
 Decent knowledge of containerized solution involving LV / UPS Power Distribution, Mechanical Cooling and Ventilation system, Fire & Sprinkler system, and DCIM knowledge would be considered as advantages.
 Know-how of Containerized system integration works & Data Hall Cooling Concept in design stage as advantages.
 To be able to address customer / consultant clarification in logical way and articulate solution proposal correctly.
 Implement the process approach and risk-based thinking
 Provide the necessary customer / consultant feedback to help improve factory support and product development.""


Qualifications

Bachelor’s degree, major in engineering
5+ years related experience in Mechanical Cooling Solution
Significant Mechanical Cooling Product/Services Knowledge
Ability to respond to a variety of challenging circumstances
Significant experience utilizing Value Added Selling techniques
Ability to work well within a team 
Fluent in written and spoken English
Takes initiative and instils confidence in peers and sales personnel
Knowledge of Perimeter Cooling, In-row Cooling, Fan Wall. Any relevant knowledge on Liquid Cooling would be added advantages to the roles.
Know-how of CFD simulation works and explanation
Basic knowledge on CAD dwg and Presentation Deck preparation.
Strong Time Management Skills 
Strong Presentation/Training and Communication Skills
Strong Interpersonal Skills
Strong organization and project management skills


]]>","Communication, Computational Fluid Dynamics (CFD), Computer-Aided Design (CAD), English, Interpersonal Skills, Organization Skills, Presentations, Project Management, Systems Engineering, and Troubleshooting",https://media.licdn.com/dms/image/v2/C4E0BAQFlHTyFXVYarg/company-logo_100_100/company-logo_100_100/0/1630597759539/eaton_logo?e=1733356800&v=beta&t=t-npDWkQMwbyb4C5HIS0oVc9F6KGGg4UwVySjO2PYsE,On-site,Jakarta Metropolitan Area
