Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
PT. BANK NEGARA INDONESIA (Persero) Tbk.,Solutions Architect,Reposted 4 weeks ago,"Requirements :

Bachelor's degree in Computer Science, Engineering, or Mathematics
4+ years' of relevant experience
Able to understand banking business processes/business flows
Able to analyze business flow into a series of IT-based solutions
Have knowledge/experience implementing solutions based on SOA, API, Event Streaming, Microservice, File transformation
Have knowledge regarding data bases, caching solutions and replication
Have sufficient knowledge regarding security processes
Advanced knowledge of leading architecture solutions in the industry area
Strong interpersonal and collaboration skills
Ability to demonstrate technical concepts to non-technical audiences","Application Programming Interfaces (API), Business Analytics, Business Process, Microservices, Service-Oriented Architecture (SOA), and Stream Processing",https://media.licdn.com/dms/image/v2/D560BAQGqZzJbCTt-kw/company-logo_100_100/company-logo_100_100/0/1711506407720/pt_bank_negara_indonesia_persero_tbk_logo?e=1732147200&v=beta&t=QhCG-Dc_zyYzk8Lm_bShq4nvZq5M_rbzEhvkSOqFsEo,On-site,"Jakarta, Indonesia"
VLink Inc,Business Analyst,2 days ago,"Minimum Qualifications and Experience

At least 2 years of experience in Business / System Analyst work or equivalent
Bachelor's degree preferably in Information Technology or Information System
Has experience in banking/insurance/finance is a must (Have experience in financial services Industry, and good knowledge in IFRS 17 and PSAK24)
Experienced in complex business process analysis & mapping by using various kind of diagram such as Use Case, Flowchart, Sequence Diagram, etc.
Familiar with Unified Modeling Language (UML) & query SQL
Familiar with SDLC, Object Oriented Design Patterns
Having knowledge in business intelligence would be an advantage
The ability to influence stakeholders and work closely with them to determine acceptable solutions
Excellent planning, organizational, and time management skills
Excellent documentation skills
Willing to Work from Office in Jakarta Area

Job Description

Analyzing business structures, systems and processes, as well as reviewing references and other related supporting documents
Responsible for project management in Data Management: a. Planning, Organizing, and Managing Projects b. Ensuring the project runs according to the timeline, coordinating with related teams,
Provide proposed solutions to improve the performance of a business process
Prioritizing initiatives based on business needs and requirements.
Establishing communication and providing support to other work units in order to achieve effective cross-division cooperation
Perform ad-hoc tasks requested by the supervisor
Coordinate internal resources and third parties/vendors for the execution of projects, report and escalate as needed.

PS: 3 months contract available (possibility for extension)","Business Requirements, International Financial Reporting Standards (IFRS), Software Development Life Cycle (SDLC), and Unified Modeling Language (UML)",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1732147200&v=beta&t=DtLqK14PD7X-V3vTGb7CYEIs614nzc0h9SpBsiYK-OQ,On-site,"Jakarta, Indonesia"
Traveloka,Senior Associate Product Manager - Transport,Reposted 2 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

You will be responsible to drive, decide, coordinate, and execute end-to-end projects related to Transport Demand, in collaboration with product development (Design, Engineer, and Data), revenue management, marketing, and supply team.
Collaborate with cross-functional team to achieve product vision and roadmap for Transport Demand
Focus on business, UI/UX overall of the product (end to end), and technical.
Translate product strategy into product plan, detailed requirements and prototypes
Scope and prioritize projects based on business and customer impact
Suggest actions and improvement opportunities based on company's goals, user's pain points, and competitive gaps
Act as a product evangelist to build awareness and understanding
Monitor the key metrics of the products / features
Work closely with data team in conducting regular analysis and deep dive on the products / features’ performance
Stay updated on industry developments to drive data-driven decision making



Requirements

Preferably from STEM or Technical / Engineering background (e.g. Computer Science/Engineering, Electrical Engineering, Industrial, etc) or business background.
At least 2 years experience at top tier multinational tech, engineering firms, multinational banks, or have credible and strong track record in building or growing a business
Excellent analytical skills and strong understanding and intuition of user's behavior
Strong project management skills, with the ability to manage multiple initiatives simultaneously and deliver results within deadlines
Passion in data-driven product development and making the world better through technology
A strong drive to make things happen, charisma and ability to influence
Solid oral and written communication skills to work effectively with cross-functional teams
Detail-oriented, self-motivated, and able to thrive in a fast-paced and dynamic environment



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Communication, Cross-functional Team Leadership, Data-driven Decision Making, Key Metrics, Make Things Happen, Product Strategy, User Experience (UX), User Interface Design, and Written Communication",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1732147200&v=beta&t=Dt6_D1JgJU6k4fR8rUduk1VWiebZALH8ZLfzMIAUuG8,On-site,Jakarta Metropolitan Area
Traveloka,"Senior Product Manager, Pricing",Reposted 2 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Are you a sharp-minded individual with a passion for optimizing & fine-tuning strategies? We are looking for a senior product manager to craft our regional pricing strategy and execute upon it, using a wide range of tactics and tools, from price display to machine learning algorithms.

At Traveloka, Product Manager role is at the heart of our company. We are looking for a Senior Product Manager, Pricing who is passionate about driving innovation and help build a product that customers love! You will join a dynamic and fast-paced environment and work with cross-functional teams to design, build and roll-out the product that deliver the company’s vision and strategy. This role will be expected to independently handle multiple projects, work through large amounts of data, add structure to complex problem statements and manage multiple stakeholders at the same time while ensuring quality deliverables.

You will work closely with Traveloka’s senior leadership, marketing, and product teams while leading and growing a team of talented pricing strategists and analysts.

Responsibilities

Collaborate with senior management and other internal stakeholders to develop a regional pricing framework, aligned with Traveloka’s strategic priorities
Responsible for end-to-end management of pricing initiatives, ensuring they are well coordinated across all countries
Coordinate with cross-functional teams (Marketing, Product, Finance, Data) to develop investment plans for markets and channels
Analyze extensive data from experiments and extract actionable insights
Develop and implement pricing strategies, balancing short term financial objectives with the long term strategic goals
Plan & develop improvements to enhance price perception among the target audience



Requirements

Requirements

At least 7 years or more of working experience at strategy or management consulting firms, multinational technology or manufacturing or oil & gas companies, multinational banks, or a credible and strong track record in building or growing a product.
At least Bachelor's degree in a quantitative subject (computer science, mathematics, engineering, statistics or science) with strong academic results. A master's degree is a plus.
Demonstrate expertise in leveraging data analytics tools (e.g. Tableau, GDS, minimum Gsheet or Excel) and platforms to drive insights and inform decision-making.
Proven ability to develop product and marketing strategies and effectively communicate recommendations to executive management.
Excellent analytical and problem-solving skills and strong intuitions of user behaviors
Intellectual curiosity, a strong drive to make things happen, charisma, and ability to influence in a multicultural setting



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Communication, Cross-functional Team Leadership, Make Things Happen, Marketing Strategy, Oil and Gas Companies, Pricing Strategy, Problem Solving, Product Development, and Product Management",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1732147200&v=beta&t=Dt6_D1JgJU6k4fR8rUduk1VWiebZALH8ZLfzMIAUuG8,On-site,Jakarta Metropolitan Area
SoftwareOne,DevOps Architect,1 week ago,"Develop enterprise class DevOps solutions, lead delivery teams in customer workshop, coordinate with multiple stakeholders in client hierarchy to engage, understand and articulate requirements for framing end-to-end solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure, platform and DevOps solutions.
 As a DevOps consultant you will engage with clients to understand requirements and architect solutions to streamline their development, release, testing and operations. Demonstrate your strengths in innovations, problem solving and continuous improvement areas to spearhead adoption of new technologies, & frameworks with speed in order to provide competitive edge in market addressing business needs.
 Candidate must have overall 7-10 years of hand-on experience in DevOps technologies with a Software development and its management background
Job Requirements 
Define Cloud based Architecture catering to client needs and requirements
Lead teams for a discovery and architecture workshop to understand existing development and operational process, influence client architects, and IT personnel to improve Development and operations in cloud
Analyze Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and align DevOps with cloud roadmap and solution architecture 
Develop and implement DevOps solutions for hybrid scenarios based on cloud services of AWS , Azure , GCP and relevant Open Source/3rd Party technologies when assigned to work on delivery projects.
Strong understanding of application development methodologies, web application security, and secure coding practices
Hands on experience in DevOps technologies with a Software development background
Facilitate mission-critical analysis, extraction, and management of systems.
Foundations in programming, algorithms, and Software application design
Do incremental code, build, test, and deployments by streamlining execution and minimize errors
Experience in container architecture, Docker universal packaging, container orchestration (Docker, Kubernetes, Terraform), and Microservices architecture pattern
Expert level application deployment experience utilizing modern DevOps technologies ( New Relic, Jenkins, Ansible, Puppet, Salt stack etc.)
Expertise in working with Source Code Management (GitHub/Gitlab/Bitbucket)
Experience in selecting, managing build infrastructure, CICD pipelines with Jenkins to streamline the deployment of applications to Kubernetes and Docker managed containers
Experience with Scripting (shell, bash, python) on Linux and develop custom workflows and use automation by coding and scripting.
Good to have programming experience with Ruby, Python, Perl, and Java
Detect early all the errors, bugs, and issues to tackle them and solve them
Strive for continuous improvement and build continuous integration, continuous development, and constant deployment pipeline (CI/CD Pipeline)
Mentoring and guiding the team members 
Good to have -Monitoring and measuring customer experience and KPIs
Good to have-Managing periodic reporting on the progress to the management and the customer
Build automation wherever possible in the DevOps end to end architecture.
Nice to have experience designing and building applications using REST API
Agile SDLC experience is preferred, writing stories and delivering features with CI/CD, Scrum
Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements.
Create and develop DevOPS process frameworks, documents, SOP’s, cook book, automation scripts/tools for to build, implement and manage DevOps process in customer environment
Lead internal and external initiative to standardize, automate and develop competitive assets and accelerators
 Professional Attributes : 
Strategic thinker, have ability grasp new technologies, innovate, develop and nurture new solutions
Experience in driving consulting workshops, creating content of workshops in short deadlines to C-levels
Demonstrate thought leadership, create good impacts in engagements, manage time and demonstrate flexibility by adapting to situations
An ability to follow processes and demonstrate critical thinking and strong problem solving skills
Excellent team player who can lead/drive team towards success goals
Strong documentation skill 
Good communication skills both written and verbal with the client
 Certifications : 
 Must Have(any): Azure DevOps Engineer, Microsoft Certified: DevOps Engineer Expert /AWS Certified DevOps Engineer – Professional, Google Professional Cloud DevOps Engineer
Good to have: TOGAF, ITIL, Azure Solution Architect Expert/AWS Solution Architect Professional /GCP Professional
Company description 
SoftwareOne is a leading global software and cloud solutions provider that is redefining how companies build, buy and manage everything in the cloud. By helping clients to migrate and modernize their workloads and applications – and in parallel, to navigate and optimize the resulting software and cloud changes – SoftwareOne unlocks the value of technology. The company’s 8,900 employees are driven to deliver a portfolio of 7,500 software brands with sales and delivery capabilities in 90 countries. Headquartered in Switzerland, SoftwareOne is listed on the SIX Swiss Exchange under the ticker symbol SWON.
 Visit us at https://www.softwareone.com/en
 ","Build Automation, Container Orchestration, Containerization, Critical Thinking, DevOps, Microservices, Problem Solving, Python (Programming Language), Software Development, and Test Automation",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1732147200&v=beta&t=ocK6gIMqgVeKnp19lzSGiw7FeHwr5iMc-rHJ0iGYINI,On-site,"Pontianak, West Kalimantan, Indonesia"
VLink Inc,iOS Developer,1 week ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1732147200&v=beta&t=DtLqK14PD7X-V3vTGb7CYEIs614nzc0h9SpBsiYK-OQ,Hybrid,"Jakarta, Indonesia"
Flex AI,Senior iOS Engineer,2 weeks ago,"Job Title: Senior iOS Engineer at FlexAI – Craft the Future of Mobile AI!

💪 Flex is a free A.I. personal trainer in your pocket. We're creating a healthier world by making fitness fun, free, and effective for everybody, wherever they are.

🚀 We launched a couple of years ago and are currently approaching 1 million users on iOS with significant revenue.

A.I. patent: https://patents.google.com/patent/WO2020252599A1/en
App: https://apps.apple.com/app/id1446354547
Website: https://www.flexfitnessapp.com/

🎯 Responsibilities:
End-to-end iOS app development, from concept to deployment.
Optimize app performance and resolve issues.
Stay updated with iOS platform advancements.
Conduct code reviews
Work closely with Product and UI/UX teams.

🥇 Qualifications:
Bachelor's degree in Computer Science or related field (or equivalent experience).
At least 5 years of iOS development
Strong Swift knowledge, bonus if experience with SwiftUI
Familiarity with RESTful APIs and third-party libraries.
Understanding of mobile UI/UX principles.
Excellent problem-solving and communication skills.

🎁 Benefits:
Competitive Salary
Significant stock options in the company
Standard benefits package
Flexible work life schedule
Company funded team trips/events (both virtual and physical)

FlexAI – Where Your Passion Meets Innovation!","Cascading Style Sheets (CSS), JSON, Mobile Application Development, Model-View-Controller (MVC), Model-view-viewmodel (MVVM), Objective-C, Python (Programming Language), Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/D560BAQE4EGBI7BGu-A/company-logo_100_100/company-logo_100_100/0/1691361327358/flex_free_fitness_app_logo?e=1732147200&v=beta&t=eZKXmS3qm9TGom8lfw6mFRWGj7LqhCGxncJhgyKguqQ,Remote,Indonesia
Traveloka,Senior Associate Product Manager - Platform,Reposted 2 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Define product roadmap and strategy to address user needs and achieve business goals. 
Define business KPIs and success metrics and is accountable to measure product success and contributions.
Understand user needs and translate those into product requirements by taking into consideration the business goals, development cost & technical debt that might incur.
Build relationships with stakeholders across the organization to understand and prioritize needs across use cases and also short & long-term time horizons.
Work with cross-functional teams on the ideation, research, design, development and launch of user-centric products. 
Plan and manage multiple projects based on the level of urgency and importance of the projects.
Leveraging experiments, quantitative and qualitative user insights to make data-informed and data-driven decisions.
Communicate well and influence stakeholders to prioritize their works in the interest of shared benefits or agreed business needs.
Provide recommendations on business process improvement and operational guidelines.



Requirements

At least 3 years of experience at top-tier multinational tech or engineering firms, multinational banks, or a credible and strong track record in supporting building or growing a business.
At least a Bachelor's degree in Engineering, Computer Science, Finance, Design, or other fields from top local or overseas universities with strong academic results, MBA is a plus.
Solid technical background with understanding and/or hands-on experience in software development and web technologies; with an aptitude towards solving complex problems.
Excellent analytical and problem-solving skills and strong intuitions of user behaviors. Have a strong willingness to learn and adapt to change quickly.
Self-starter with a strong sense of curiosity, strong ownership, a bias for action, and a can-do attitude.
Experienced in breaking down needs into product requirements and communicating them to the respective functions like engineers, design, or data team.
Able to highly collaborate with cross-functional teams with proven abilities to navigate stakeholders to deliver outcomes.
Able to communicate in English and Indonesia, via a verbal and written medium.
Passion for making the world better through technology. Enjoy working in a technical and data-centric context. 



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Business Process Improvement, Communication, Competitive Analysis, Cross-functional Team Leadership, Key Performance Indicators, Problem Solving, Product Requirements, Product Road Mapping, and Web Technologies",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1732147200&v=beta&t=Dt6_D1JgJU6k4fR8rUduk1VWiebZALH8ZLfzMIAUuG8,On-site,Jakarta Metropolitan Area
Traveloka,Data Scientist - Experimentation,Reposted 2 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

The Experimentation Team

We enable Traveloka to experiment and innovate. As the Experimentation team, we are at the core of product development and revenue optimization. We build and run the platforms to run experimentation and optimization. We collaborate with business owners and fellow data analysts to ensure rigorous decision-making.

Job Description 

Our data science team is responsible for solving complex problems and optimizing various aspects of Traveloka’s business. You will get a wide range of exciting opportunities to bring impact by translating business questions into a positivist research paradigm: testable hypotheses, trustworthy metrics, and solid design of experiments. Asking the tough questions, identifying what is critical to drive impact at scale across various domains. Join us in revolutionizing the travel industry through fostering a culture of experimentation!

Key Responsibilities:

Collaborate with multiple business units to understand their challenges and goals.
Translate business goals into technical requirements and experimentation plan
Develop, implement, and maintain Traveloka’s Experimentation Platform
Oversee and manage multiple experimentation initiatives, ensuring trustworthiness and on-time delivery.



Requirements

Minimum Qualifications

Degree from top universities in a quantitative field, including the quantitative social sciences (engineering, sciences, statistics, mathematics, economics, etc.)
Minimum of 3 years experience in data science or analytics related role .
Solid critical-thinking and problem-solving skills to create data-driven insights
Conceptual understanding on the design of experiments, and relevant statistical framework (frequentist and/or Bayesian) for analyzing experimental data
Proactive, self-motivated, and able to work independently. 
Strong interpersonal and communication skills, including the ability to describe complex technical concepts to business stakeholders.
Proven experience in managing data projects or data platforms from inception to completion.
Proficient in data extraction and transformation using SQL
Strong expertise in Python/R with experience on statistical libraries (numpy, scipy, statsmodels, stan/PyMC etc.).
Experience with cloud-stack, git, docker and CI/CD workflow

Preferred Qualifications

Expertise in applying one or more of the following to drive business impact:
panel-data econometrics, understanding of random and mixed effects models 
causal inference, dealing with heterogeneous treatment effect and/or noncompliance,
reinforcement learning, multi-armed bandits systems


If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Analytics, Communication, Data Management, Data Science, Design of Experiments (DOE), Interpersonal Communication, Natural Language Processing (NLP), Problem Solving, and Technical Requirements",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1732147200&v=beta&t=Dt6_D1JgJU6k4fR8rUduk1VWiebZALH8ZLfzMIAUuG8,On-site,Jakarta Metropolitan Area
Traveloka,Product Manager - Transport Capability Enablement,Reposted 2 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Take ownership & have a deep understanding of Flight product’s behavior and technical journey, as well airline and supply partner's systems and processes.
Work with a team with multiple nationalities & backgrounds to enable new capabilities, maintain system stability, meet operational targets & be prepared for mitigating disruptions.
Responsible for managing coordination, development prioritization & expectations of internal & external stakeholders.
Have an understanding of business, user, and technical context to manage projects & make necessary decisions for product enablement & operations.
Take responsibility for coordinating problems analysis and do what it takes to solve within a short period of time



Requirements

At least 2-3 years of experience at top tier strategy or management consulting firms or 5-7 years of experience in multinational technology companies, multinational banks, or a credible and strong track record in building or growing a product
Experience in working with XML, JSON & HTML based technologies
Experience in creating a good technical document, product requirement document (PRD), or request for proposal (RFP) document.
Experience thinking in a structured manner, prioritizing action plan & distributing tasks effectively during high pressure situations/system issues.
Experience achieving targets on several different projects in parallel and prioritizing resource allocation between projects.
Self driven, creative & analytical thinker with action oriented mindset.
Fluent English verbal and written capability in a business environment.



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Enablement, English, High-Pressure Situations, JSON, Pressure Situations, Request for Proposal (RFP), Resource Allocation, Workload Prioritization, and XML",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1732147200&v=beta&t=Dt6_D1JgJU6k4fR8rUduk1VWiebZALH8ZLfzMIAUuG8,On-site,Jakarta Metropolitan Area
