Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
Adira Finance,Head Information Technology Development,3 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1733356800&v=beta&t=000YjeLBjpUTFVkzBiTEhKI87BfGAogtpEEwoSoTi20,Hybrid,"South Jakarta, Jakarta, Indonesia"
VLink Inc,iOS Developer,2 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,Hybrid,"Jakarta, Indonesia"
Yogoshop Indonesia,Mandarin Translator,2 weeks ago,"PT. Langit Makmur Jaya
www.yogoshop.id
[TRANSLATOR ASSISTANT]

LANGIT Career © 2024
Translator Assistant adalah seseorang yang memiliki tugas untuk membantu orang tertentu dalam melakukan aktivitas dalam Hal Administrasi dan Penerjemah. Kami membuka peluang karir untuk posisi TRANSLATOR ASSISTANT dengan ketentuan :

Jobdesk, tugas dan tanggung jawab Translator Assistant antara lain sebagai berikut :
Memantau email atasan mengenai pelaporan dan memberikan respon jika diperlukan.
Mempersiapkan komunikasi atas nama atasan.
Menjawab panggilan telepon atas nama atasan.
Mengatur perjalanan dan rencana perjalanan atasan.
Mengorganisir dan merencanakan pertemuan atas nama atasan.
Membuat notulen rapat.
Melakukan atau menyiapkan berkas apa pun yang mungkin diperlukan oleh atasan.
Menjaga semua berkas dan catatan digital untuk proyek yang sedang berlangsung.
Membantu dalam membuat dan mendistribusikan notulen rapat untuk rapat bulanan dan rapat lainnya.
Mengirim dan mengambil berkas korespondensi terkait bisnis di wilayah geografis terdekat.
Bekerja dengan tim administrasi untuk membuat spreadsheet dan informasi presentasi untuk berbagai pertemuan.
Menyiapkan ruang konferensi untuk presentasi dan rapat staf.

Keahlian yang harus dimiliki oleh Translator Assistant antara lain adalah:
Lulusan S1 dengan jurusan yang relevan seperti administrasi skeretaris, atau bisnis
Fasih dalam Bahasa Mandarin (Baca, Tulis, Bicara)
Komunikasi yang baik, baik lisan maupun tulisan
Kemampuan organisasi dan manajemen waktu
Kemampuan komunikasi verbal dan tertulis
Memahami software terkait pekerjaan
Mampu menjaga kerahasiaan perusahaan
Dapat diandalkan dan teliti serta Fleksibilitas
Proaktif dan inisiatif serta Percaya diri
Kemampuan penilaian yang baik
Multitasking","Communication, Language Services, Legal Translation, Linguistics, Multilingual, Proofreading, Research Skills, Technical Translation, Translation, and Writing",https://media.licdn.com/dms/image/v2/D560BAQGlG3PDMW8uJA/company-logo_100_100/company-logo_100_100/0/1713759325878?e=1733356800&v=beta&t=bDr-_qIynIR4uF66NdjsU3kFwnYPFYFOcnb64Ils448,On-site,"Cilandak, Jakarta, Indonesia"
PT Asuransi BRI Life,Corporate Plan Officer,19 minutes ago,"Job Qualification 
Minimum Bachelor's degree from reputable university.
Having strong analytical thinking (Preparation of Company Performance - Reports And the condition of the life insurance industry).
Have ability with data (quantity / quality) oriented high initiative.
Ability to use Ms. Office.
Excellent communication in english both active and passive.","Analytical Skills, Communication, and Insurance Industry",https://media.licdn.com/dms/image/v2/C560BAQGtAY901OqlsQ/company-logo_100_100/company-logo_100_100/0/1680076083412/asuransi_brilife_logo?e=1733356800&v=beta&t=qU4NLXnqKo3a2TUxIW5dfppQEbmk-uZ1oAe0QGxh_PQ,On-site,"Jakarta, Indonesia"
Park Hyatt,Sous Chef Japanese Cuisine - Park Hyatt Jakarta,Reposted 2 weeks ago,"Organization- Park Hyatt Jakarta

Summary

 Ensure that all outlets and events are managed efficiently according to the established concept statements and adhere to Company and Hotel Policies and Procedures.
 Monitor service and food production standards in outlet and events. Coordinate with the Chef de cuisine to take corrective action when necessary.
 Establish and implement performance standards for the Commissary and the Venues and work closely with the Materials Manager to establish and maintain a streamlined and efficient operation of the Commissary Kitchen.
 Establish, implement and monitor performance for the Stewarding Operation in Kitchens and Restaurants to achieve the highest possible hygiene standards, minimize operating equipment breakage and streamlined and efficient resources and equipment flows
 Frequently verify that only fresh products are used in Food and Beverage preparation.
 Frequently test Food and Beverage in outlet and be demanding and critical when it comes to Food and Beverage quality.
 Implement food safety programs and procedures.
 Always practice safety in handling food.
 Performing personal and environmental hygiene in food and beverage business.
 Conducting Food Safety Training.
 Performing Personal and Environmental Hygiene in the Management of Food Business Services.
 To be flexible in your job function and perform any other reasonable duties and responsibilities which may be assigned to you, including redeployment to other departments/areas if required, in order to meet business demands and guest service needs. 

Qualifications

Indonesian Nationality with a degree in Hospitality or Business Management
Has minimum 2 (Two) years experience in a similar position in 5 (five) stars International Hotel Chain
Previous experience in Luxury Hotel or international experience are advantages
Strong in leadership and business acumen
Excellent English communication skills, strong guest service mindset and people management & development skills","Culinary Arts, Culinary Management, Food Safety, Guest Service, Hygiene, Luxury, Menu Engineering, New Restaurant Openings, STAR, and Safety Training",https://media.licdn.com/dms/image/v2/C560BAQE5NIPu7I0ADg/company-logo_100_100/company-logo_100_100/0/1656701718949/park_hyatt_logo?e=1733356800&v=beta&t=rNAAXtaJ-88v2VsP88bgiG6m4HhzhMRkC1nW-wp7dTU,On-site,"Jakarta, Jakarta, Indonesia"
Grand Hyatt,Teppanyaki Chef (Japanese Nationality) at Grand Hyatt Bali,2 weeks ago,"Organization- Grand Hyatt Bali

Summary

What is your passion? Whether you are into tennis, shopping, crafts, or karaoke, at Hyatt we are interested in YOU. At Hyatt, we employ people who apply the same amount of care and passion to their jobs as they do their hobbies - people who put our guests at the heart of everything they do. In addition, we are looking for more people like this to join our friendly and professional team.

Now we are looking for a dynamic, outgoing, and enthusiastic – Japanese Teppanyaki Specialist Chef with a strong background and experience in Japanese Cuisine, especially in Teppanyaki , to join our energetic, enthusiastic, and pass ionate team at Grand Hyatt Bali.

The Japanese Teppanyaki Specialist Chef will be responsible

t o w ork closely with Japanese - Chef de Cuisine and Outlet Manager to create the best Teppanyaki experience and service excellence to the gues ts.

As a Japanese Teppanyaki Specialist Chef , below are some of the key responsibilities:

 C reating a f un and engaging atmosphere, as T eppanyaki cooking is as much about the performance as it is about the food . 
 Interacting with guests and explaining the dishes being prepared . 
 To prepare a consistent, high quality food product and ensure courteous, professional, efficient and flexible service that supports the outlet’s operating concept and Hyatt International standards . 
 P reparing and cooking meals on a teppan , an iron griddle, in front of guests. This includes a variety of meats, seafood, vegetables, and other ingredients. 
 Ensures correct food portions are being cooked and maintains the kitchen areas and hotplate tables clean and sanitized . 

Qualifications

 Minimum of 2 year s of solid experience as Japanese Teppanyaki Chef in a large 5-star luxury hotel or resort. 
 Japanese Nationality 
 Have excellent knife skills, a good understanding of food safety and hygiene 
 Has a solid background of working in a high demand business environment. 
 Has strong leadership skills, train and develop team, and is a role model. 
 Eloquent in English communication in both written and spoken. 
 Has proven track of working with timelines and targets. 
 Highly conscientious and diligent. 
 Excellent organizational and time management skills. 
 Diploma in Hospitality or other relevant fields. A Bachelor’s Degree is a plus","Cooking, Culinary Arts, Food Safety, Hygiene, International Standards, Japanese, Leadership, Luxury, Organization Skills, and Role Modeling",https://media.licdn.com/dms/image/v2/C560BAQFN6NdFzCP8iA/company-logo_100_100/company-logo_100_100/0/1656700636210/grand_hyatt_logo?e=1733356800&v=beta&t=pfsgI05g3aM5sqCHqrqB3bguL-G2e2HmBlyVF8619i0,On-site,"Bali, Indonesia"
Kibarer Property,Senior Architect,1 month ago,"Kibarer Property is seeking a dynamic and experienced Senior Architect to lead our architectural design team. The ideal candidate will manage the architectural design process from conception to completion, ensuring all projects adhere to budget, timeline, and the highest quality standards. This role requires a balance of creative vision, technical expertise, and project management skills.

Responsibilities
- Lead and manage the architectural design process from concept to completion, ensuring adherence to budget, timeline, and quality standards.
- Create visualizations, 3D models, and presentation drawings.
- Prepare detailed CAD working drawings and technical specifications for permit documentation and project tender developments.
- Handle multiple projects simultaneously in an organized way.
- Prepare basic cost estimates and assist with value engineering.
- Collaborate with engineers and contractors, as well as managing external architectural teams.
- Oversee site visits and inspections to ensure construction adheres to design and quality standards.
- Stay updated on industry trends with a focus on sustainability and emerging technologies in architecture and design.
- Provide Site Sketches (SK) and manage Change Orders (CO).
- Responsible for delivery and closing of successful projects.

Requirements
- Residing in Bali
- Fluent written and spoken English and Bahasa Indonesia.
- Creative, proactive, deadline-oriented, open-minded, attention to detail, and result-driven.
- Leadership qualities with a collaborative and team-oriented mindset.
- Computer skills expertise: AutoCAD, SketchUp, Rhino, Adobe Photoshop, and MS Office. Autodesk Revit would be a plus

Education and Experience
- Degree in Architecture
- Proven experience in real estate development operations, project management, and team leadership.
- Experience in managing and mentoring
- Minimum 5+ years of experience in professional architecture practice, independent practice, or as in-house architect for a developer firm.
- A strong portfolio showcasing high-end residential, hospitality, and/or luxury villa projects would be a plus.

Please note: Only applications accompanied by a portfolio will be considered.

We offer a competitive salary, a dynamic working environment, and the opportunity to lead projects that redefine industry standards. If you are ready to take your career to the next level, we would love to hear from you.","Adobe Creative Suite, Adobe Photoshop, AutoCAD, Autodesk 3ds Max, Construction, Enterprise Architecture, IT Integration, Service-Oriented Architecture (SOA), Software Development, and Solution Architecture",https://media.licdn.com/dms/image/v2/C560BAQFgdd-V-vtf3A/company-logo_100_100/company-logo_100_100/0/1630667735207/kibarer_property_logo?e=1733356800&v=beta&t=M_I3j0W1ZOX9Hldib4-AKbrCaHYSjqTJlAzitB-w8iI,On-site,"Kuta Untara, Bali, Indonesia"
INDODAX - Indonesia Digital Asset Exchange,Senior iOS Engineer,4 weeks ago,"Able to work under minimal supervision
Able to work collaboratively within a team environment.
Stay up-to-date with the latest iOS development trends, tools, and technologies.
Ability to evaluate the best choice of coding pattern and apply consistently in the system. - plan and architecture system design based on experience from maintaining and developing other projects and products.
Can apply good branching strategies and code management in git
Familiarity with Firebase component
Familiarity with VIPER or MVVM design pattern.
Familiarity with Swift Package Manager and Cocoapods.
Proficient in Swift
Understanding in using Memory Profiling Tools such as Instruments.
Have basic knowledge of shell script.
Knowledge of REST APIs and XML/JSON
Knowledge in Kotlin Multi Platform Mobile is a plus.
Understanding of mobile development security best practice is a plus",Swift (Programming Language),https://media.licdn.com/dms/image/v2/C560BAQFT1FF0iqfNVw/company-logo_100_100/company-logo_100_100/0/1675061928224/indodax_logo?e=1733356800&v=beta&t=y8BzWE9_pfv3-314o6P2dc4M6rO-6K2CS4dQ_6txzrM,Hybrid,"South Jakarta, Jakarta, Indonesia"
Worley,Senior 3D Roads Designer,Reposted 2 weeks ago,"About The Job

We’re looking for a Senior 3D Roads Designer (Contract Based) to join our Indonesia team.

When you work for us, you get the chance to join nearly 50,000 people all driven by a common purpose of delivering a more sustainable world. We’re excited about the challenges ahead. We believe there’s never been a more rewarding time to work in the energy, chemical and resources sectors.

As a Senior 3D Roads Designer, you will be responsible to prepare engineering drawings and documentation.

To succeed in this role, you should have at least 5 years’ experience in roads design and drafting.

Who We Are

Worley is a global professional services company of energy, chemicals and resources experts headquartered in Australia.

Right now, we’re bridging two worlds as we accelerate to more sustainable energy sources, while helping our customers provide the energy, chemicals, and resources that society needs now.

We partner with our customers to deliver projects and create value over the life of their portfolio of assets. We solve complex problems by finding integrated data-centric solutions from the first stages of consulting and engineering to installation and commissioning, to the last stages of decommissioning and remediation. Join us and help drive innovation and sustainability in our projects.

What You’ll Do

We are looking for a Senior 3D Roads Designer to join our team in Sulawesi, Indonesia.

The Role Responsibilities Include

 Responsible for safe working practices both personally and in their designs, using the Worley framework.
 Ensure they understand and apply the Worley quality management system.
 Ensure design work conforms to applicable specifications, codes, and standards.
 Ensure checking procedures are adhered to before issue of drawings and documents, to ensure no rework due to errors in design.
 Prepare engineering drawings and documentation.
 Promote interdisciplinary communications on projects.
 Ensure project scope, budgets and schedules for design and drafting work are effectively communicated and met on projects.
 Control the allocation of drafting work to junior designers in the project.
 Mentoring and supervision of junior designers.

What You’ll Have

 Designs for constructability, commissioning, operations, and maintenance.
 5 years plus experience in roads design and drafting.
 Associate Diploma / Diploma of Engineering in the relevant field or equivalent
 Have the experience and skills to set the standard and drive the rest of the team to excel in HSE
 Competent in relevant CAD software
 Excellent communication skills.
 Work as part of a multi-discipline team
 Excellent time management skills and the ability to work autonomously.

Moving forward together

We want our people to be energized and empowered to drive sustainable impact. So, our focus is on a values-inspired culture that unlocks brilliance through belonging, connection, and innovation.

We’re building a diverse, inclusive, and respectful workplace. Creating a space where everyone feels they belong, can be themselves, and are heard.

And we're not just talking about it; we're doing it. We're reskilling our people, leveraging transferable skills, and supporting the transition of our workforce to become experts in today's low carbon energy infrastructure and technology.

Whatever your ambition, there’s a path for you here. And there’s no barrier to your potential career success. Join us to broaden your horizons, explore diverse opportunities, and be part of delivering sustainable change.

Ready to join us? Apply now to submit your CV

Company

Worley

Primary Location

IDN-Sulawesi

Job

Civil

Schedule

Full-time

Employment Type

Employee

Job Level

Experienced

Job Posting

Jul 5, 2024

Unposting Date

Sep 3, 2024

Reporting Manager Title

Study Manager","3D Design, 3D Visualization, Computer-Aided Design (CAD), Constructability, Engineering Drawings, Health and Safety Executive (HSE), Legal Writing, Representational State Transfer (REST), Rework, and Roads",https://media.licdn.com/dms/image/v2/D560BAQHfoyQ1BKjqmQ/company-logo_100_100/company-logo_100_100/0/1701033439470/worley_logo?e=1733356800&v=beta&t=zgdb0eCBdaFjC2d-ZGSsK6BuFYFMe-Rpzz6IRRU5cbE,On-site,"West Sulawesi, Indonesia"
Home Credit Indonesia,Content & Training Lead,2 weeks ago,"To create comprehensive training material, socialization, and business process content through modules, learning design and other materials. Became the Center of Knowledge and delivered training process to business counterparts in Collection & Risk team.

What you will do
Develop, manage and update content materials related to training, current process & system, soft skills training/development and internal/external communications.
Deliver Training, train the trainer, and training socialization for any new training project/process/system updates.
Create training content, learning design & framework.
Ensure communication accuracy & updates for townhall and business functions/department update.
Partnering with other functions to collect details or accurate information about process, product, or system update.
Observe training delivery and provide feedback to the trainers related to their teaching quality.
Working closely with other department on Ad-hoc projects.
Improve training process to become more efficient and effective in order to increase the chance of better collection results (Field & Desk Collection).
Collaborate with other functions to identify and map the training needs of each function within the Risk Collection team.

What you will need to have
At least 8 years of experience as training consultant or trainer from any industry.
Preferably has experience in learning program & design, training framework and develop content materials.
Fluent speaking and write in English and Bahasa Indonesia for business level.
Tech savvy, experience with Learning Management System (LMS) and Microsoft Office.
Solid stakeholder management to liase with other business functions related to training materials & content development on product, system or process updates.
Preferably with project management experience within Learning & Development field.","Coaching & Mentoring, Communication, E-learning Modules, Learning Management Systems, Teaching, Training, Training Material, and Training and Development (HR)",https://media.licdn.com/dms/image/v2/C560BAQFEAxmwFTkTHg/company-logo_100_100/company-logo_100_100/0/1662639729686/homecreditindonesia_logo?e=1733356800&v=beta&t=l80d_yVd3SCwQgxOhuCEOdsr02m0mYSaH1Rqa9DoNlo,On-site,"Jakarta, Indonesia"
Monroe Consulting Group,Product Marketing Manager,21 minutes ago,"Executive recruitment company Monroe Consulting Group Indonesia is recruiting on behalf of a leading healthcare service, we are seeking a professional with at least 5 years' experience in Product Marketing. This pivotal role will be responsible for providing overall leadership and development for all Product Marketing functions. The job is based in Bali, Indonesia.
 Responsibilities:
Drive product marketing strategy initiatives by capturing market insight and translating it into actionable, differentiated products and services that benefit (potential) patients and increase revenue for Bali International Hospital.
Provide training, support, and leadership to all Product Marketing team members to ensure all Key Performance Indicators (KPIs) are achieved.
Directly manage the overall product marketing strategies, structures, and budgets. This includes product development, positioning, marketing content, and go-to-market strategy
Lead product marketing e>orts to understand segment influencers including customer demographics, buying behavior, competitive assessments, new developments, and market needs. Develop and implement product marketing plans that highlight competitive landscape and customer needs.
Provide management with monthly, quarterly, and annual sales and marketing performance and forecasts. Report on the effectiveness of product marketing initiatives using predetermined KPIs. Make recommendations for improvement.
Work closely with the (product) marketing, sales & supporting teams, and third-party vendors to launch campaigns on time and on budget.
Establish and maintain external relationships including key opinion leaders, key clinicians, focus groups, patient advocacy groups, and so on.
 Qualifications:
At least 7-10 years experience in product marketing - preferably in the healthcare and/or services industry - of which a minimum of 3 years experience in managing teams.
Comprehensive understanding of marketing and product planning processes, strategies, and tactics. Up-to-date with the latest best practices, including digital marketing technologies.
Able to understand and analyze marketing performance metrics.
Strong team management and relationship-building skills to constructively foster relationships internally and externally.
Analytical skills with a problem-solving attitude.","Brand Strategy, External Relationships, Key Opinion Leaders, Marketing, Marketing Analytics, Patient Advocacy, Performance Metrics, Positioning (Marketing), Product Launch, and Product Marketing",https://media.licdn.com/dms/image/v2/D560BAQHwN9RKcpcHgg/company-logo_100_100/company-logo_100_100/0/1704446370246/monroe_consulting_group_logo?e=1733356800&v=beta&t=Sg8IYDuVxwCnVQAG4FvhmIvw56BFKOZ_Uva4kRyB8Fs,On-site,"Bali, Indonesia"
