Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
PT. BANK NEGARA INDONESIA (Persero) Tbk.,Solutions Architect,Reposted 4 weeks ago,"Requirements :

Bachelor's degree in Computer Science, Engineering, or Mathematics
4+ years' of relevant experience
Able to understand banking business processes/business flows
Able to analyze business flow into a series of IT-based solutions
Have knowledge/experience implementing solutions based on SOA, API, Event Streaming, Microservice, File transformation
Have knowledge regarding data bases, caching solutions and replication
Have sufficient knowledge regarding security processes
Advanced knowledge of leading architecture solutions in the industry area
Strong interpersonal and collaboration skills
Ability to demonstrate technical concepts to non-technical audiences","Application Programming Interfaces (API), Business Analytics, Business Process, Microservices, Service-Oriented Architecture (SOA), and Stream Processing",https://media.licdn.com/dms/image/v2/D560BAQGqZzJbCTt-kw/company-logo_100_100/company-logo_100_100/0/1711506407720/pt_bank_negara_indonesia_persero_tbk_logo?e=1732147200&v=beta&t=QhCG-Dc_zyYzk8Lm_bShq4nvZq5M_rbzEhvkSOqFsEo,On-site,"Jakarta, Indonesia"
ATI Business Group,DevOps & Data Services Lead,1 week ago,"Your Main Objective
As the DevOps & Data Services Lead in the IT Division, you will ensure seamless integration, deployment, and management of company data and applications infrastructure. You are expected to combine your technical expertise for the day-to-day operations with a strategic mindset to drive data-driven business decision-making.

Your Main Responsibilities
You will effectively lead a small team of experts to deliver the following capabilities and must able to jump into action as and when required:
DevOps Management: Lead the design, management and implementation of CI/CD pipelines,
oversee configuration management, automation and orchestration tools, ensure application
deployment reliability, integrate secure DevOps practices with the development team
Database Administration: Lead the maintenance and optimization of database systems, manage
database security, backups and recovery while ensuring high availability, data integrity and
performance
Business Intelligence: Develop and maintain BI solutions to support data-driven decision-making,
oversee the ETL processes, design and implement data visualization
Manage the team to collaborate with cross-functional teams
Stay updated on industry trends and emerging technologies
Ensure compliance with relevant regulations, especially in the areas of data protection

Qualifications
Excellent communication, collaboration skills and fluency in English
Bachelor’s degree in Computer Science, Information Technology, Data Science, or a related field
5+ years overall IT experience, vast majority in data services and devops
3+ years proven experience in a leadership or senior role within DevOps, DBA and BI functions
Strong knowledge of data warehousing concepts and technologies, data integration techniques, ETL processes
Strong technical knowledge of database systems, CI/CD pipelines, and BI tools
Experience with cloud platforms (e.g., AWS, Azure, Google Cloud) and containerization (e.g., Docker, Kubernetes)

Be Part of ATI Journey:
Our aim at ATI Business Group in working with our Clients is to support their continued growth by providing cost-effective technology and talented & scalable people resources on demand. ATI’s singular focus on providing services to the travel and hospitality business communities across the globe has been a remarkably successful one. Since commencing in 2002 we now have over 900 employees providing services to our clients across the globe.","Amazon Web Services (AWS), Business Intelligence (BI), Cloud Storage, Containerization, Data Services, Data Warehousing, Database Security, DevOps, Extract, Transform, Load (ETL), Microsoft Power BI, and PostgreSQL",https://media.licdn.com/dms/image/v2/C560BAQFiYSlyRLOlVQ/company-logo_100_100/company-logo_100_100/0/1630641886048/ati_business_group_logo?e=1732147200&v=beta&t=_5JD9irBvewlah2YRjVlRMt-QcB2XnLP4lulwQukPSY,On-site,"Jakarta, Indonesia"
Adira Finance,Head Information Technology Development,2 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1732147200&v=beta&t=2LbY60w0WzcH2mzU8aeTFk-Ho8LD2FTyfuRTfs6nvdQ,Hybrid,"South Jakarta, Jakarta, Indonesia"
SoftwareOne,DevOps Architect,1 week ago,"Develop enterprise class DevOps solutions, lead delivery teams in customer workshop, coordinate with multiple stakeholders in client hierarchy to engage, understand and articulate requirements for framing end-to-end solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure, platform and DevOps solutions.
 As a DevOps consultant you will engage with clients to understand requirements and architect solutions to streamline their development, release, testing and operations. Demonstrate your strengths in innovations, problem solving and continuous improvement areas to spearhead adoption of new technologies, & frameworks with speed in order to provide competitive edge in market addressing business needs.
 Candidate must have overall 7-10 years of hand-on experience in DevOps technologies with a Software development and its management background
Job Requirements 
Define Cloud based Architecture catering to client needs and requirements
Lead teams for a discovery and architecture workshop to understand existing development and operational process, influence client architects, and IT personnel to improve Development and operations in cloud
Analyze Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and align DevOps with cloud roadmap and solution architecture 
Develop and implement DevOps solutions for hybrid scenarios based on cloud services of AWS , Azure , GCP and relevant Open Source/3rd Party technologies when assigned to work on delivery projects.
Strong understanding of application development methodologies, web application security, and secure coding practices
Hands on experience in DevOps technologies with a Software development background
Facilitate mission-critical analysis, extraction, and management of systems.
Foundations in programming, algorithms, and Software application design
Do incremental code, build, test, and deployments by streamlining execution and minimize errors
Experience in container architecture, Docker universal packaging, container orchestration (Docker, Kubernetes, Terraform), and Microservices architecture pattern
Expert level application deployment experience utilizing modern DevOps technologies ( New Relic, Jenkins, Ansible, Puppet, Salt stack etc.)
Expertise in working with Source Code Management (GitHub/Gitlab/Bitbucket)
Experience in selecting, managing build infrastructure, CICD pipelines with Jenkins to streamline the deployment of applications to Kubernetes and Docker managed containers
Experience with Scripting (shell, bash, python) on Linux and develop custom workflows and use automation by coding and scripting.
Good to have programming experience with Ruby, Python, Perl, and Java
Detect early all the errors, bugs, and issues to tackle them and solve them
Strive for continuous improvement and build continuous integration, continuous development, and constant deployment pipeline (CI/CD Pipeline)
Mentoring and guiding the team members 
Good to have -Monitoring and measuring customer experience and KPIs
Good to have-Managing periodic reporting on the progress to the management and the customer
Build automation wherever possible in the DevOps end to end architecture.
Nice to have experience designing and building applications using REST API
Agile SDLC experience is preferred, writing stories and delivering features with CI/CD, Scrum
Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements.
Create and develop DevOPS process frameworks, documents, SOP’s, cook book, automation scripts/tools for to build, implement and manage DevOps process in customer environment
Lead internal and external initiative to standardize, automate and develop competitive assets and accelerators
 Professional Attributes : 
Strategic thinker, have ability grasp new technologies, innovate, develop and nurture new solutions
Experience in driving consulting workshops, creating content of workshops in short deadlines to C-levels
Demonstrate thought leadership, create good impacts in engagements, manage time and demonstrate flexibility by adapting to situations
An ability to follow processes and demonstrate critical thinking and strong problem solving skills
Excellent team player who can lead/drive team towards success goals
Strong documentation skill 
Good communication skills both written and verbal with the client
 Certifications : 
 Must Have(any): Azure DevOps Engineer, Microsoft Certified: DevOps Engineer Expert /AWS Certified DevOps Engineer – Professional, Google Professional Cloud DevOps Engineer
Good to have: TOGAF, ITIL, Azure Solution Architect Expert/AWS Solution Architect Professional /GCP Professional
Company description 
SoftwareOne is a leading global software and cloud solutions provider that is redefining how companies build, buy and manage everything in the cloud. By helping clients to migrate and modernize their workloads and applications – and in parallel, to navigate and optimize the resulting software and cloud changes – SoftwareOne unlocks the value of technology. The company’s 8,900 employees are driven to deliver a portfolio of 7,500 software brands with sales and delivery capabilities in 90 countries. Headquartered in Switzerland, SoftwareOne is listed on the SIX Swiss Exchange under the ticker symbol SWON.
 Visit us at https://www.softwareone.com/en
 ","Build Automation, Container Orchestration, Containerization, Critical Thinking, DevOps, Microservices, Problem Solving, Python (Programming Language), Software Development, and Test Automation",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1732147200&v=beta&t=ocK6gIMqgVeKnp19lzSGiw7FeHwr5iMc-rHJ0iGYINI,On-site,"Pontianak, West Kalimantan, Indonesia"
VLink Inc,iOS Developer,1 week ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1732147200&v=beta&t=DtLqK14PD7X-V3vTGb7CYEIs614nzc0h9SpBsiYK-OQ,Hybrid,"Jakarta, Indonesia"
IBM,Business Transformation Consultant-Digital Change,Reposted 6 days ago,"Introduction

At IBM, we know that transformation drives change, and it is in our DNA to continuously transform. Our Business Transformation Consultants help drive large scale change that spans IBM business units and geographies. As a part of this team, you will have the unique opportunity to be a part of driving IBM’s ongoing transformation as a company that continuously innovates and leads the market.

Your Role and Responsibilities

You’re right at the intersection of technology, people, and process, helping your clients transform how they adapt to shifts in the market, and more closely align their business strategy and vision.

Business Transformation Consultants are important and key players for our clients. You’ll be their guide to developing an understanding of their processes, goals and objectives to define their future state, then help them get there.

You’ll help clients understand leading technologies and the impact they can have on traditional business processes. You’ll have an opportunity to build a powerful portfolio of interesting and rewarding experiences, taking advantage of opportunities to master new skills, learning about and becoming an expert in our client's industries, and tackle new challenges.


Run or support workshops, meetings and stakeholder interviews
Document requirements from the product owner/business lead
Develop process maps to understand As-Is and To-Be scenarios
Translate client requirements into analytical specifications for the implementation of the IBM solution
Define current and future operational scenarios (processes, models, use cases, plans and solutions) and works with client using an agreed methodology to ensure proper translation of business requirements to solution requirements
Project business value of a solution in client-relevant terms and drive adoption of key performance indicator (KPI) impact with key client stakeholders
Assist with Cloud migration and system application implementation or upgrades (such as SAP, Oracle, Microsoft, Workday, and Salesforce)
Develop communications tailored to specific audiences
Work in an Agile, collaborative environments
Use IBM’s Design Thinking to help solve client’s challenges
Analyze data to support conclusions and strategies, and design organization


Required Technical and Professional Expertise


Track record of academic success 
Be highly motivated, with clear evidence of drive and significant achievements
Can understand clients’ needs and challenges and apply creative and logical approach to identify solutions
Demonstrate exceptional quantitative analysis skills and ability to derive recommendations informed by data and insights
Can multiple tasks concurrently and meet deadlines, while maintaining focus in an environment with conflicting demands 


Preferred Technical And Professional Expertise


Ability to communicate complex situations clearly and simply by listening actively and conveying difficult messages in a positive manner 
Demonstrate strong interpersonal skills with ability to collaborate and work effectively in an intense team environment, able to build direct working relationships across all levels of the IBM and client teams 
Have a passion for innovative ideas, coupled with the ability to understand and assimilate different points of view
Can to translate business requirements into technical solutions as well as generating business case
Demonstrate leadership experience and ability to adapt, with willingness to readily take ownership of tasks and problems, which often extend beyond initial scope of responsibility 
Have initiative to actively seek new knowledge and improve skills


About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","Business Case Preparation, Business Requirements, Business Transformation, Business Value, Client Requirements, Design Thinking, Interpersonal Skills, Key Performance Indicators, Logical Approach, and Product Service",https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1732147200&v=beta&t=9CfVQaaHBmQkb0Tp6qxvk6ggG68effyESrAObRpNhtY,Hybrid,Jakarta Metropolitan Area
Shopee,Warehouse Team Leader - Balikpapan (Contract Based),Reposted 1 week ago,"Job Description

Bertanggung jawab untuk proses inbound, inventory, atau outbound.
Manajemen Inbound yang meliputi: menerima & menyimpan.
Manajemen Outbound yang meliputi: pengambilan dan pengepakan.
Manajemen Inventory yang meliputi: pengisian ulang, kontrol inventaris, penataan ulang, penghitungan siklus, dan konsolidasi inventaris.
Melaksanakan alokasi tenaga kerja berdasarkan perencanaan -> forecast (bulanan, mingguan, dan harian).
Koordinasi dengan pihak eksternal (Sourcing, Logistik, 3PL, BD, Opex, HR, GA, HSE, Security, dll).
Memastikan SOP dan WI untuk setiap proses dijalankan dengan baik.
Terlibat aktif dalam inisiatif perbaikan mulai dari identifikasi masalah hingga tahap tindakan.
Memonitor output dan produktivitas harian.

Requirements

Pendidikan min. SMA/SMK
Memiliki pengalaman min. 2 tahun dalam bidang yang sesuai untuk posisi ini.
Mampu menggunakan Google Workspace & Microsoft Office (khususnya Ms. Excel)
Memiliki pengalaman di bidang logistik/supply chain lebih disukai
Bersedia ditempatkan di area Balikpapan.","Contract Management, Contract Negotiation, Dari, Manufacturing Process Improvement, Marketing, Procurement, Research Skills, SMA, Team Management, and Training",https://media.licdn.com/dms/image/v2/C560BAQE0iX_dgdH7nA/company-logo_100_100/company-logo_100_100/0/1672279162763/shopee_logo?e=1732147200&v=beta&t=ZDrrKi2hpqYwcA5z3zHO8BXPpwudo0GnPDVnBoKEXR0,On-site,"Jakarta, Indonesia"
IBM,SAP MM Consultant,Reposted 1 week ago,"Introduction

As a Package Consultant at IBM, get ready to tackle numerous mission-critical company directives. Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using various tools. You will use a mix of consultative skills, business knowledge, and technical expertise to effectively integrate packaged technology into our clients' business environment and achieve business results.

Your Role and Responsibilities

As a Consultant you will serve as a client-facing practitioner who will sells, leads and implements expert services utilizing the breadth of IBM's offerings and technologies. A successful consultant is regarded by clients as a trusted business advisor who collaborates to provide innovative solutions used to solve the most challenging business problems.

Your Primary Responsibilities Include


Lead the technical design and implementation of SAP solutions for simplicity, amplification, and maintainability.
Work from strategy development to solution implementation using your knowledge of SAP and working with the latest technologies.
Partner with a cross-functional global team to ensure customer success in an agile environment.


Required Technical and Professional Expertise


At least 5 years of experience in the area of SAP HANA MM and associated modules.
Has experience managing end-to-end full cycle implementations (from blue printing, realization, go live to production support) of S/4HANA Greenfield / Migration projects in complex landscape will be preferable.


Preferred Technical And Professional Expertise

As above.

About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","ABAP, Master Data, SAP FI, SAP HANA, SAP PP, SAP Products, SAP Sales & Distribution, SAP Solutions, Statutory Accounting Principles (SAP), and Technical Design",https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1732147200&v=beta&t=9CfVQaaHBmQkb0Tp6qxvk6ggG68effyESrAObRpNhtY,On-site,Jakarta Metropolitan Area
Ollion,Senior Solution Architect,Reposted 3 weeks ago,"Company Description

OUR STORY

Let’s be honest: there are lots of people out there doing what we do. We’re just not convinced they’re doing it right. Businesses are hungry for innovation and opportunity, but not at the cost of their independence. At Ollion, we’ve connected companies and capabilities around the world to help ambitious organizations make the most of their transformation and leave the status quo in the dust.

WORKING AT OLLION

Innovation is risky. It demands bold steps and big questions, but that’s the price of making change. We’ve got our head in the cloud and two feet on the ground, channeling tech’s endless potential towards a single goal: making a world of difference. And we’re building a global team to do just that— a team capable of making game-changing breakthroughs without ever losing sight of the people it will impact. This is more than consulting. This is the change you can be.

THE OLLION DIFFERENCE

At Ollion, we’re all in on your independence. Our teams are seasoned. Our solutions are straightforward—sometimes even groundbreaking. And our engagements? Exactly as long as you want them to be. We deliver fresh thinking and hard-earned insight in a way that works for you and your customers, arming your organization with everything you need to make your transformation truly mean something.

WORKING WITH OLLION (our Clients’ Experiences)

Progress matters more than process. Our global team of cloud-native pros is all about creating new and better ways to work—not just by solving your tech challenges, but by using technology to solve your business challenges. We keep the formulas, frameworks, and ten-point plans to a minimum, tackling your most pressing problems with a proprietary mix of good-old-fashioned ingenuity and refreshing humanity.

DIVERSITY AT OLLION 

One of our cultural keystones, ‘Find the angle’ recognizes that every individual has different aspirations, needs and brings a unique perspective.

We value diversity, inclusion, and equity (DE&I) as core to our success. We believe that a diverse workforce brings together unique perspectives, experiences, and ideas, leading to innovation, creativity, and better outcomes for our clients and our organization. We are on a journey and are committed to building a workplace that celebrates and respects individuals from all backgrounds, including but not limited to race, ethnicity, gender, sexual orientation, age, disability, and cultural heritage.

As our commitment to diversity and inclusion is reflected in our:

Awareness and sensitisation programs: to create awareness and sensitisation. We encourage open dialogue, active listening, and mutual respect, creating a safe and supportive environment for everyone to contribute their unique perspectives and ideas. 
Dedicated efforts to building diverse teams: that leverage the strength of our differences to tackle complex challenges and drive innovation. By embracing diversity, we broaden our collective knowledge, enhance problem-solving capabilities, and unlock limitless potential for our employees.

Job Description

The Senior Solution Architect role at Ollion comprises 4 primary duties:

Pre Sale activities - work with a member of the Solutions Architecture team to lead and oversee designs, pitches, documentation and estimates.
Solution Design - help lead the Solution Architecture team in designing and architecting systems in a cloud native fashion on any of the 3 major providers. Provide review and quality assurance across the team's output.
Collaborate with delivery - work with delivery teams to perform cost optimisation activities, support with pipeline development and answer questions from the team.
Product Shaping - use your experience and that of the team in assisting our clients to realise their goals to help create our next generation of products and services.

Qualifications

12+ years hands on experience in Cloud technology, Development or Network Administration.
Previous experience as a senior cloud architect, network administrator or DevOps lead
Demonstrable leadership skills in building a CI/CD pipeline using open-source or cloud-native technology 
Demonstrable experience in leading and assuring the estimation of architecture work.
Ability to lead work within the architecture team supporting RFP responses.
Ability to interpret requirements and translate them to the service delivery team to support pilot projects, demonstrations, proofs- of-concept (POC)
Experience with leading migration projects covering No-VM environments to VM on-prem or in cloud environments. 
Exhibit excellent understanding of the managed cloud hosting business concepts (AWS, GCP, Azure), market practices and trends.
Demonstrable skills and expertise with cloud architecture best practices and thought leadership in their practical application.
Experience in leading 5 'R' migrations.
Demonstrated skills and expertise in virtualization techniques , HA (High Availability) and zero downtime solutions. 
Experience in stakeholder management, risk & issue management 
Communications expertise with 3rd parties including cloud partners, development teams and potential clients up to C-Suite level.
Good presentation, analytical and documentation skills 
Good interpersonal style, collaborative, congenial, client-friendly demeanor
Well developed English language skills, oral and written. Bonus points for Bahasa or Mandarin speakers

Additional Information

Benefits & Perks For Working At Ollion

Our employees multiply their potential because they have opportunities to: Create a lasting Impact, Learn and Grow professionally & personally, Experience great Culture, and Be your Whole Self!

Beyond an amazing, collaborative work environment, great people, and inspiring, innovative work, we have some great benefits and perks:

Benchmarked, competitive, in-market total rewards package including (but not limited to): base salary & short-term incentive for all employees
Fully remote-first, small but Global organization; ‘learn wherever, whenever’ frees our people from a rigid view of learning and growth
Retirement planning (i.e. CPF, EPF, company-matched 401(k))
Globally, we build benefit plans that offer choices for whatever stage in life our employees are in and allow for flexibility as life happens. Employees have access to a fully comprehensive benefits package to choose the medical, dental, and vision insurance plan that best fits their lives. In addition to great healthcare coverage, we also offer all employees mental health resources and additional wellness programs.
Generous time off and leave allowances
And more!

Ollion is an equal opportunity employer. We celebrate diversity and we are committed to creating an inclusive environment for all employees. Ollion does not discriminate in employment on the basis of race, color, religion, sex (including pregnancy and gender identity), national origin, political affiliation, sexual orientation, marital status, disability, genetic information, age, membership in an employee organization, parental status, military service, or other non-merit factor.","Architecture, Cloud Computing, Documentation, Issue Management, Pilot Projects, Presentations, Product Demonstration, Service Delivery, Technical Architecture, and Technical Solution Design",https://media.licdn.com/dms/image/v2/D4D0BAQGLCusa28wSTQ/company-logo_100_100/company-logo_100_100/0/1698871635837/ollion_logo?e=1732147200&v=beta&t=yNpI0TXqGLjdVM5o03N_m4iiEh5UkBAVMv_MGKazDK4,On-site,"Jakarta, Jakarta, Indonesia"
IBM,Strategy Consultant-Organizational Change SAP,Reposted 1 week ago,"Introduction

As a Strategy Consultant at IBM, you will help reinvent businesses and industries by developing and utilizing specialized knowledge of industry-specific and cross-industry competitive strategies. You'll manage complex components of an engagement, working closely with clients and their customers to understand their pain points. Your strategic recommendations will drive change in a digitally-enabled era and give you the opportunity to collaborate with highly talented IBMers. Are you ready?

Your Role and Responsibilities

As a Consultant you will serve as a client-facing practitioner who will sells, leads and implements expert services utilizing the breadth of IBM's offerings and technologies. A successful consultant is regarded by clients as a trusted business advisor who collaborates to provide innovative solutions used to solve the most challenging business problems.

Your Primary Responsibilities Include


Lead the technical design and implementation of SAP solutions for simplicity, amplification, and maintainability.
Work from strategy development to solution implementation using your knowledge of SAP and working with the latest technologies.
Partner with a cross-functional global team to ensure customer success in an agile environment.


Required Technical and Professional Expertise


At least 5 years of experience in the area of SAP Change Management and associated modules.
Has experience managing end-to-end full cycle implementations (from blue printing, realization, go live to production support) of S/4HANA Greenfield / Migration projects in complex landscape will be preferable.


Preferred Technical And Professional Expertise

As above.

About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","Amplification, Change Management, Communication, Competitive Strategies, Maintainability, Management Consulting, SAP Products, SAP Solutions, Statutory Accounting Principles (SAP), and Technical Design",https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1732147200&v=beta&t=9CfVQaaHBmQkb0Tp6qxvk6ggG68effyESrAObRpNhtY,Hybrid,Jakarta Metropolitan Area
