Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations
Adira Finance,Head Information Technology Development,3 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1733356800&v=beta&t=000YjeLBjpUTFVkzBiTEhKI87BfGAogtpEEwoSoTi20,Hybrid,"South Jakarta, Jakarta, Indonesia"
VLink Inc,iOS Developer,2 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,Hybrid,"Jakarta, Indonesia"
Bank Saqu,Payment Product,2 weeks ago,"About You
You're a go-getter with mad juggling skills (or multiple hats) who can thrive in a fast-paced, agile environment
You enjoy doing purpose-led and meaningful work
You have a strong thirst for knowledge and are driven to find solutions that don't exist yet
You are comfortable with ambiguity and extremely resourceful (in your past life, you could've been a detective)
You always find a way to get things done without sacrificing the quality of your work, integrity, and values
No task is off limits for you
You are humble and prioritize the success of the team over your own with an eagerness to help those around you
You don't shy away from challenges and can bounce back from setbacks

What you’ll do and what success looks like in this role:
Define and articulate the product vision, strategy, and roadmap, ensuring alignment with the company's overall goals and market demands.
Collaborate closely with engineering, design, marketing, and other cross functional teams to ensure seamless product development and successful product launches.
Oversee the entire product lifecycle from concept to launch, including requirements gathering, development, testing, and post launch optimization
Establish KPI's for product success, track and analyze product performance, and make data driven decisions to drive continuous improvement.
Act as the voice of the customer within the organization, ensuring that customer feedback and insights are integrated into product development and improvements.
Communicate product plans, progress, and results to stakeholders at all levels, ensuring transparency and alignment across the organization.
Foster a culture of innovation and creativity within the product team, encouraging the exploration of new ideas and solutions to meet customer needs.
Identify potential risks in the product development process and implement strategies to mitigate them, ensuring timely and successful product delivery.
Manage product budgets and resources effectively, ensuring that are completed within scope, on time, and within budget constraints.

What Is Required and What We’re Looking For
Proven experience (usually 2+ years) in product management roles within the banking or financial services industry.
Familiarity with payment systems, including debit cards, credit cards, online banking, mobile payments, and/or digital wallets.
Deep understanding of banking products, payment processing, and financial regulations.
Knowledge of industry trends, emerging technologies, and competitive landscape in payments.
Ability to develop and communicate a clear product vision and roadmap aligned with business goals.
Experience in defining product strategy based on market research, customer insights, and competitive analysis.
Proficiency in agile methodologies and product lifecycle management.
Hands-on experience in defining product requirements, prioritizing features, and managing product launches.
Strong leadership skills with the ability to motivate and lead cross-functional teams.
Experience collaborating with stakeholders across marketing, operations, compliance, and technology departments.
Data-driven decision-making skills, with the ability to analyze product performance metrics and user feedback.
Experience in conducting market research, user testing, and competitive analysis to inform product decisions.
Excellent verbal and written communication skills, including the ability to present complex ideas clearly and concisely.
Strong interpersonal skills to build relationships with internal teams, external partners, and customers.","Analytical Skills, Chargebacks, and Communication",https://media.licdn.com/dms/image/v2/D560BAQFh-CnrLSIxqQ/company-logo_100_100/company-logo_100_100/0/1719215418213/bank_saqu_logo?e=1733356800&v=beta&t=GCfjQlED0tBo9jUv8qtgHnauDlhUFWeL9JGT18IHRTg,Hybrid,"Jakarta, Indonesia"
PERSOLKELLY,Key Account Management Specialist,3 hours ago,"We expect prospective talents to meet the requirements as below:
Equipping with 3+ years of experience as Key Account Manager
Proven track record of managing local accounts, business development and commercial success in B2B environment
Have experience in pitching and produce new B2B clients
Have experience with import, export, and trading
Willing be based at Tangerang as permanent employee.
Fluency in English is mandatory.

Key responsibilities:
will be responsible for local account management
will be executing on leads from the lead generation roles in marketing
responsible for identifying, managing, exploring international key accounts
build communication with all decision makers
will use their strong understanding of the packaging process to promote industrial packaging products that will address customer needs.
will provide leadership and technical expertise and translate gaps and needs of brand-owners and co-packers into actionable strategies.
will generate new revenue and profit by offering product and service solutions to targeted prospects. will be market / customer facing
will be responsible for executing Business Development strategies.

By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.persolkelly.co.id for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know.
 Follow us for the latest updates and valuable insights:
LinkedIn: https://www.linkedin.com/company/persolkelly/
Instagram: https://www.instagram.com/persolkellyid/","Account Management, Business-to-Business (B2B), Export Operations, Import Operations, Key Accounts, and Trading",https://media.licdn.com/dms/image/v2/C560BAQHmcES-pkTu6g/company-logo_100_100/company-logo_100_100/0/1630660162374/persolkelly_logo?e=1733356800&v=beta&t=yvfEtFVc2qLrfkv-3besfOBwcwUB48tZhtvIks3jo-Y,On-site,"Tangerang, Banten, Indonesia"
Norconsult Telematics,SAP Analytics Cloud (SAC),2 weeks ago,"Note--Job is based in Saudi Arabia in full-time onsite mode. ( No remote/hybrid)

Position Objective:
We are seeking experienced SAP Functional Consultants to join our team, with a primary focus on leading and managing the implementation and optimization of SAP Analytics Cloud (SAC). The successful candidates will play a crucial role in analyzing business processes and mapping them to SAC solutions, acting as a bridge between the business and technical teams to ensure the effective integration and utilization of SAC applications.

Job Description and Responsibilities:
Business Process Analysis:
Analyze and document business requirements and map them to SAC solutions, ensuring a deep understanding of business needs.
Facilitate workshops with stakeholders to gather detailed requirements and translate them into technical specifications.
System Configuration & Customization:
Configure and customize SAC applications, including data models, stories, dashboards, and planning workflows.
Develop complex calculations, scripts, and data transformations using SAC's modelling capabilities.
Integrate SAC with other SAP and non-SAP systems:
Ensure seamless data flow and reporting across platforms.
Advanced Analytics & Predictive Capabilities:
Leverage SAC's predictive analytics features to create forecasting models and what-if scenarios.
Implement machine learning algorithms within SAC to enhance decision-making processes.
Project Management & Collaboration:
Manage SAC projects from inception to completion, ensuring timely delivery within budget constraints.
Collaborate with cross-functional teams to ensure a holistic approach to analytics.
Data Connectivity & Integration:
Set up and manage data connections within SAC, including live data connections and data acquisition models.
Ensure data integrity and consistency across various data sources connected to SAC.
Training & Support:
Conduct workshops and training sessions to educate end-users on SAC functionalities.
Provide ongoing support and troubleshooting for SAC applications.
Optimization & Continuous Improvement:
Continuously monitor SAC performance and identify opportunities for optimization.
Stay updated with the latest SAC features and best practices.
Compliance & Reporting:
Ensure all SAC implementations comply with relevant standards.
Design and generate complex reports and dashboards for senior management.

Qualifications and Skills:
Bachelor’s or Master’s degree in Finance, Accounting, Computer Science, Information Technology, Business Administration, Data Science, or a related field.
SAP Certification in SAP Analytics Cloud, certified by SAP partners.
Additional certifications in data analytics, machine learning, or data science are advantageous.
Min 10+ years of experience as an SAP Functional Consultant with hands-on experience in SAP Analytics Cloud implementation and Group Reporting.
Proven track record of leading and delivering successful SAP Analytics Cloud projects across various industries.
Advanced knowledge of SAP Analytics Cloud configuration.
Proficiency in SAC scripting languages.
Experience with integrating SAC with SAP BW/4HANA, SAP S/4HANA, and other third-party data sources.
Strong understanding of SAC's predictive analytics capabilities.
Familiarity with SAP Data Warehouse Cloud and SAP Business Technology Platform is a plus.
Excellent communication and interpersonal skills.
Strong project management skills.
High attention to detail and a commitment to continuous improvement.
Proficient in English; additional languages are an advantage.","Business Process Analysis, Data Modeling, SAP Analytics Cloud, SAP Business Warehouse (SAP BW), Scripting, and Technical Specs",https://media.licdn.com/dms/image/v2/D4D0BAQE-XXg_ARZbgw/company-logo_100_100/company-logo_100_100/0/1708330269251/norconsult_telematics_ltd_logo?e=1733356800&v=beta&t=YfY4tQatNI9IJdgcCYef_AXYdGNzHL6df-S_Tj6brbQ,On-site,"Jakarta, Indonesia"
Home Credit Indonesia,Content & Training Lead,2 weeks ago,"To create comprehensive training material, socialization, and business process content through modules, learning design and other materials. Became the Center of Knowledge and delivered training process to business counterparts in Collection & Risk team.

What you will do
Develop, manage and update content materials related to training, current process & system, soft skills training/development and internal/external communications.
Deliver Training, train the trainer, and training socialization for any new training project/process/system updates.
Create training content, learning design & framework.
Ensure communication accuracy & updates for townhall and business functions/department update.
Partnering with other functions to collect details or accurate information about process, product, or system update.
Observe training delivery and provide feedback to the trainers related to their teaching quality.
Working closely with other department on Ad-hoc projects.
Improve training process to become more efficient and effective in order to increase the chance of better collection results (Field & Desk Collection).
Collaborate with other functions to identify and map the training needs of each function within the Risk Collection team.

What you will need to have
At least 8 years of experience as training consultant or trainer from any industry.
Preferably has experience in learning program & design, training framework and develop content materials.
Fluent speaking and write in English and Bahasa Indonesia for business level.
Tech savvy, experience with Learning Management System (LMS) and Microsoft Office.
Solid stakeholder management to liase with other business functions related to training materials & content development on product, system or process updates.
Preferably with project management experience within Learning & Development field.","Coaching & Mentoring, Communication, E-learning Modules, Learning Management Systems, Teaching, Training, Training Material, and Training and Development (HR)",https://media.licdn.com/dms/image/v2/C560BAQFEAxmwFTkTHg/company-logo_100_100/company-logo_100_100/0/1662639729686/homecreditindonesia_logo?e=1733356800&v=beta&t=l80d_yVd3SCwQgxOhuCEOdsr02m0mYSaH1Rqa9DoNlo,On-site,"Jakarta, Indonesia"
SoftwareOne,DevOps Architect,2 weeks ago,"Develop enterprise class DevOps solutions, lead delivery teams in customer workshop, coordinate with multiple stakeholders in client hierarchy to engage, understand and articulate requirements for framing end-to-end solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure, platform and DevOps solutions.
 As a DevOps consultant you will engage with clients to understand requirements and architect solutions to streamline their development, release, testing and operations. Demonstrate your strengths in innovations, problem solving and continuous improvement areas to spearhead adoption of new technologies, & frameworks with speed in order to provide competitive edge in market addressing business needs.
 Candidate must have overall 7-10 years of hand-on experience in DevOps technologies with a Software development and its management background
Job Requirements 
Define Cloud based Architecture catering to client needs and requirements
Lead teams for a discovery and architecture workshop to understand existing development and operational process, influence client architects, and IT personnel to improve Development and operations in cloud
Analyze Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and align DevOps with cloud roadmap and solution architecture 
Develop and implement DevOps solutions for hybrid scenarios based on cloud services of AWS , Azure , GCP and relevant Open Source/3rd Party technologies when assigned to work on delivery projects.
Strong understanding of application development methodologies, web application security, and secure coding practices
Hands on experience in DevOps technologies with a Software development background
Facilitate mission-critical analysis, extraction, and management of systems.
Foundations in programming, algorithms, and Software application design
Do incremental code, build, test, and deployments by streamlining execution and minimize errors
Experience in container architecture, Docker universal packaging, container orchestration (Docker, Kubernetes, Terraform), and Microservices architecture pattern
Expert level application deployment experience utilizing modern DevOps technologies ( New Relic, Jenkins, Ansible, Puppet, Salt stack etc.)
Expertise in working with Source Code Management (GitHub/Gitlab/Bitbucket)
Experience in selecting, managing build infrastructure, CICD pipelines with Jenkins to streamline the deployment of applications to Kubernetes and Docker managed containers
Experience with Scripting (shell, bash, python) on Linux and develop custom workflows and use automation by coding and scripting.
Good to have programming experience with Ruby, Python, Perl, and Java
Detect early all the errors, bugs, and issues to tackle them and solve them
Strive for continuous improvement and build continuous integration, continuous development, and constant deployment pipeline (CI/CD Pipeline)
Mentoring and guiding the team members 
Good to have -Monitoring and measuring customer experience and KPIs
Good to have-Managing periodic reporting on the progress to the management and the customer
Build automation wherever possible in the DevOps end to end architecture.
Nice to have experience designing and building applications using REST API
Agile SDLC experience is preferred, writing stories and delivering features with CI/CD, Scrum
Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements.
Create and develop DevOPS process frameworks, documents, SOP’s, cook book, automation scripts/tools for to build, implement and manage DevOps process in customer environment
Lead internal and external initiative to standardize, automate and develop competitive assets and accelerators
 Professional Attributes : 
Strategic thinker, have ability grasp new technologies, innovate, develop and nurture new solutions
Experience in driving consulting workshops, creating content of workshops in short deadlines to C-levels
Demonstrate thought leadership, create good impacts in engagements, manage time and demonstrate flexibility by adapting to situations
An ability to follow processes and demonstrate critical thinking and strong problem solving skills
Excellent team player who can lead/drive team towards success goals
Strong documentation skill 
Good communication skills both written and verbal with the client
 Certifications : 
 Must Have(any): Azure DevOps Engineer, Microsoft Certified: DevOps Engineer Expert /AWS Certified DevOps Engineer – Professional, Google Professional Cloud DevOps Engineer
Good to have: TOGAF, ITIL, Azure Solution Architect Expert/AWS Solution Architect Professional /GCP Professional
Company description 
SoftwareOne is a leading global software and cloud solutions provider that is redefining how companies build, buy and manage everything in the cloud. By helping clients to migrate and modernize their workloads and applications – and in parallel, to navigate and optimize the resulting software and cloud changes – SoftwareOne unlocks the value of technology. The company’s 8,900 employees are driven to deliver a portfolio of 7,500 software brands with sales and delivery capabilities in 90 countries. Headquartered in Switzerland, SoftwareOne is listed on the SIX Swiss Exchange under the ticker symbol SWON.
 Visit us at https://www.softwareone.com/en
 ","Build Automation, Container Orchestration, Containerization, Critical Thinking, DevOps, Microservices, Problem Solving, Python (Programming Language), Software Development, and Test Automation",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1733356800&v=beta&t=VLqqnKvUkKphLYkvlbPRGHAe-UePjZ6RXohc-aFhVfg,On-site,"Pontianak, West Kalimantan, Indonesia"
Grand Hyatt,Sous Chef - Japanese - Grand Hyatt Jakarta,1 week ago,"Organization- Grand Hyatt Jakarta

Summary

You will be responsible for the efficient running of the department in line with Hyatt International's Corporate Strategies and brand standards, whilst meeting employee, guest and owner expectations. The Sous Chef is responsible to assist Chef de Cuisine to manage the assigned kitchen as an independent profit centre, in line with the outlet’s operating concept and Hyatt International standards, ensuring maximum guest satisfaction while operating within budget, helping to ensure the financial success of the outlet.

Qualifications

Ideally with a university degree or diploma in Hospitality or Tourism management, Minimum 1 year work experience in in the same position, Experienced at Japanese cuisine (specialist Tepan Chef), able to handle a Restaurant, Knowledgeable in HACCP, Sounds of computer system such as Microsoft office.","Corporate Strategy, Culinary Arts, Culinary Management, Guest Satisfaction, Hazard Analysis and Critical Control Points (HACCP), Hospitality Industry, International Standards, Japanese Cuisine, Tourism, and Tourism Management",https://media.licdn.com/dms/image/v2/C560BAQFN6NdFzCP8iA/company-logo_100_100/company-logo_100_100/0/1656700636210/grand_hyatt_logo?e=1733356800&v=beta&t=pfsgI05g3aM5sqCHqrqB3bguL-G2e2HmBlyVF8619i0,On-site,"Jakarta, Jakarta, Indonesia"
AIA Indonesia,Core Data Architect Specialist,1 week ago,"At AIA we’ve started an exciting movement to create a healthier, more sustainable future for everyone.

As the largest listed company on the HKSE, we’ve been proudly making a difference across Asia for over a century. We believe in empowering every one of our people to find their 'better' - in the work they do, the career they build, the life they live and the difference they make. So that together we can support even more people - including our own - to live Healthier, Longer, Better Lives, build healthier societies and cultivate healthier environments that better everybody. If you believe in better, we’d love to hear from you.

AIA Indonesia currently looking for Core Data Architecture role that will responsible for making sure that a company's business strategy uses proper technology systems architecture to achieve its goals, Responsible for identifying applicable technical standards to be followed on projects. Analyze all non-functional requirements, such as security, performance, maintainability, scalability, usability, and reliability of a product; and ensure that further product engineering will meet them.

Key Responsibilities
Primarily working on Core Data Design, Structure & Definition for all Enterprise Solution
Conducts a system architecture evaluation and collaborates with project management and IT development teams to improve the architecture
Evaluates project constraints to find alternatives, alleviate risks, and perform process re-engineering if required
Analyzes the business impact that certain technical choices may have on a client’s business processes
Supervises and guides development teams
Continuously researches emerging technologies and proposes changes to the existing architecture
Conduct independent research, interpret highly technical documents, draw valid conclusions, develop technological solutions, take appropriate actions and/or make appropriate recommendation related to complex IT problems.

Requirements:
Minimum Bachelor Degree of Technical/Information System/other related education
Extensive IT experience in data warehouse/big data and deep experience as a data architect
Proven professional experience in designing and implementing enterprise scale of Data Warehouse, Data Analytics, Data Quality, Anti Money Laundering and Predictive Modelling
Proven professional experience in working with enterprise scale of Policy Admin System, Customer Mobile Application / Portal, Customer Relationship Management, Electronic Identification System and Cloud computing
Knowledgeable in Azure Data Lake, Azure Data Platform, Azure Data Bricks
Knowledgeable in computer programming, database design, enterprise software, operating systems and hardware
Conversant with Java, .NET, Database (SQL & No SQL), SoftwareAG, and Informatica
Fluent to communicate in English
Understand Project Management and Software Development Life Cycle
Excellent Communication Skill
Good analytical skill & can think out of the box","Azure Data Factory, Azure Data Lake, Azure Databricks, Big Data, Data Architecture, Data Warehouse Architecture, ETL Tools, Extract, Transform, Load (ETL), and Microsoft Azure",https://media.licdn.com/dms/image/v2/C510BAQEmWvQmZ2PsMQ/company-logo_100_100/company-logo_100_100/0/1631411580594/aia_indonesia_logo?e=1733356800&v=beta&t=C4lk6U5XOMDBcAtkEZFSvoFtiekJvO2DY64vuaNB3hM,On-site,"Jakarta, Indonesia"
Marriott Hotels,Chef-Pastry,Reposted 1 day ago,"Job Number 24137896

Job Category Food and Beverage & Culinary

Location JW Marriott Hotel Surabaya, Jalan Embong Malang 85-89, Surabaya, Jawa Timur, Indonesia VIEW ON MAP

Schedule Full-Time

Located Remotely? N

Relocation? N

Position Type Management

Job Summary

Exhibits creative baking and decorating talents by personally performing tasks while leading the staff in preparing quality and consistent pastries for all areas. Works to continually improve guest and employee satisfaction while maintaining the operating budget. Leads development and training of team to improve results while maintaining standards. Must ensure sanitation and food standards are achieved.

CANDIDATE PROFILE 

Education And Experience

 High school diploma or GED; 4 years experience in the culinary, food and beverage, or related professional area. 

OR

 2-year degree from an accredited university in Culinary Arts, Hotel and Restaurant Management, or related major; 2 years experience in the culinary, food and beverage, or related professional area. 

CORE WORK ACTIVITIES

Leading Pastry Culinary Team

 Utilizes interpersonal and communication skills to lead, influence, and encourage others; advocates sound financial/business decision making; demonstrates honesty/integrity; leads by example. 
 Supervises and manages employees. Manages all day-to-day operations. Understands employee positions well enough to perform duties in employees' absence. 
 Encourages and builds mutual trust, respect, and cooperation among team members. 
 Serves as a role model to demonstrate appropriate behaviors. 
 Ensures and maintains the productivity level of employees. 
 Ensures employees understand expectations and parameters. 
 Establishes and maintains open, collaborative relationships with employees and ensures employees do the same within the team. 
 Solicits employee feedback, utilizes an ""open door"" policy and reviews employee satisfaction results to identify and address employee problems or concerns. 
 Leads shifts while personally preparing food items and executing requests based on required specifications. 
 Supervises and coordinates activities of cooks and workers engaged in food preparation. 

Ensuring Culinary Standards And Responsibilities Are Met

 Develops, designs, or creates new applications, ideas, relationships, systems, or products, including artistic contributions. 
 Recognizes superior quality products, presentations and flavor. 
 Maintains food preparation handling and correct storage standards. 
 Maintains purchasing, receiving and food storage standards. 
 Supports procedures for food & beverage portion and waste controls. 
 Follows proper handling and right temperature of all food products. 
 Supervises pastry preparation shift operations and ensures compliance with all Food & Beverage policies, standards and procedures. 
 Ensures compliance with all applicable laws and regulations. 
 Prepares and cooks foods of all types, either on a regular basis or for special guests or functions. 
 Checks the quality of raw and cooked food products to ensure that standards are met. 
 Assists in determining how food should be presented and creates decorative food displays. 

Ensuring Exceptional Customer Service

 Provides services that are above and beyond for customer satisfaction and retention. 
 Manages day-to-day operations, ensuring the quality, standards and meeting the expectations of the customers on a daily basis. 
 Improves service by communicating and assisting individuals to understand guest needs, providing guidance, feedback, and individual coaching when needed. 
 Sets a positive example for guest relations. 
 Empowers employees to provide excellent customer service. 
 Emphasizes guest satisfaction during all departmental meetings and focuses on continuous improvement. 
 Strives to improve service performance. 

Maintaining Culinary Goals

 Achieves and exceeds goals including performance goals, budget goals, team goals, etc. 
 Develops specific goals and plans to prioritize, organize, and accomplish your work. 
 Trains employees in safety procedures and supervises their ability to follow loss prevention policies to prevent accidents and control costs. 
 Purchases appropriate supplies and manage inventories according to budget. 

Supports Training and Development Activities 

 Ensures disciplinary procedures and documentation are completed according to Standard and Local Operating Procedures (SOPs and LSOPs) and support the Peer Review Process. 
 Participates in training staff on menu items including ingredients, preparation methods and unique tastes. 
 Reviews staffing levels to ensure that guest service, operational needs and financial objectives are met. 
 Ensures property policies are administered fairly and consistently. 
 Assists as needed in the interviewing and hiring of employee team members with appropriate skills. 

Additional Responsibilities

 Provides information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person. 
 Analyzes information and evaluates results to choose the best solution and solve problems. 
 Brings issues to the attention of the department manager and Human Resources as necessary. 
 Attends and participates in all pertinent meetings. 

Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.

Marriott Hotels strive to elevate the art of hospitality, innovating at every opportunity while keeping the comfort of the oh-so-familiar all around the globe. As a host with Marriott Hotels, you will help keep the promise of “Wonderful Hospitality. Always.” by delivering thoughtful, heartfelt, forward-thinking service that upholds and builds upon this living legacy. With the name that’s synonymous with hospitality the world over, we are proud to welcome you to explore a career with Marriott Hotels. In joining Marriott Hotels, you join a portfolio of brands with Marriott International. Be where you can do your best work, begin your purpose, belong to an amazing global team, and become the best version of you.

JW Marriott is part of Marriott International's luxury portfolio and consists of more than 100 beautiful properties in gateway cities and distinctive resort locations around the world. JW believes our associates come first. Because if you’re happy, our guests will be happy. JW Marriott associates are confident, innovative, genuine, intuitive, and carry on the legacy of the brand’s namesake and company founder, J.Willard Marriott. Our hotels offer a work experience unlike any other, where you’ll be part of a community and enjoy true camaraderie with a diverse group of co-workers. JW creates opportunities for training, development, recognition and most importantly, a place where you can pursue your passions in a luxury environment with a focus on holistic well-being. Treating guests exceptionally starts with the way we take care of our associates. That’s The JW Treatment™. In joining JW Marriott, you join a portfolio of brands with Marriott International. Be where you can do your best work, begin your purpose, belong to an amazing global team, and become the best version of you.","Baking, Culinary Arts, Disciplinary Action, Food Preparation, Food and Beverage Operations, Guest Relations, Guest Satisfaction, Job Satisfaction, Pastry, and Restaurant Management",https://media.licdn.com/dms/image/v2/C4D0BAQEkYRBgOUmrow/company-logo_100_100/company-logo_100_100/0/1631328248497?e=1733356800&v=beta&t=GX4nrSi4W65LlvxRogZYE4hcCwvjfIQAWaNoYjzJ_KI,Full-time,"Surabaya, East Java, Indonesia"
