Company Names,Job Titles,Posted On,Job Details,Images,Type Location,Locations,Link
Apotek K 24,Backend Software Engineer,Posted 1 day ago,"Responsibilities
Requirements
Pria/wanita
Pengalaman backend developer
Terbiasa berkoordinasi dengan baik
Fast respon dalam merespon report bug",,,Indonesia,https://id.indeed.com/rc/clk?jk=b9402f1a45aebd4a&bb=z8Vzpz_4IqEZmT_g7uok2LJVvQVHLhFR-UT1SqYb6ZghPY1iXkRc0n3XR0RxxtLwhvMuxQKJrr4wbVhGjFtGhFBkZA4D6vaKwyS5T-NMrpPnbYfeyhzamT67Bi43vyhb&xkcb=SoCX67M38fHF3GQ82R0LbzkdCdPP&fccid=bcca76f14df92064&vjs=3
GudangAda,Software Engineer - Backend (multiple seniority level available),Posted 30+ days ago,"Company Description

GudangAda is a leading B2B marketplace platform with USD 120+ million raised from Sequoia Capital, Alpha JWC, Asia Partner, and Falcon Edge. We focus on addressing the underserved needs of millions of traditional retailers in Indonesia, a segment that faces challenges including limited product variety, uncompetitive wholesale prices, lack of access to producers’ promotional support, and lack of reliable and cost-effective delivery services.

Job Description

Our Tech & Product team members hail from the top company working experiences such as Facebook, Google, Amazon, Uber, Twitter, and Traveloka.
Responsibilities:
You'll brainstorm with Product Managers, Designers, and Frontend Engineers on your team to conceptualize and build new features for GudangAda large (and growing!) user base.
You’ll produce high-quality results by contributing heavily to team projects that have a significant impact on the business.
You’ll actively own team features or systems and define their long-term health, while also improving the health of surrounding systems.
You'll assist our skilled support team and operations team in triaging and resolving production issues.
You'll mentor other engineers and deeply review code.
You’ll improve engineering standards, tooling, and processes

Qualifications

We are looking for someone with:
Deep passion for software engineering with an excellent understanding of software engineering concepts, design patterns, and algorithms.
You can contribute to technical architecture discussions and help drive technical decisions within your team.
You write understandable, testable code with an eye towards maintainability.
You are a strong communicator. Explaining complex technical concepts to designers, support, and other engineers is no problem for you.
You possess strong computer science fundamentals: data structures, algorithms, programming languages, distributed systems, and information retrieval.
You have completed a bachelor's degree in Computer Science, Engineering or related field, or equivalent training, fellowship, or work experience.

Additional Information

What will you get on working at GudangAda?
Competitive salary
Learning experience
Personal Growth
Impact at scale
Mentorship from a world-class team",,Full-time,Tangerang,https://id.indeed.com/rc/clk?jk=f565b413df6d317d&bb=z8Vzpz_4IqEZmT_g7uok2IEvw71-NrFkZqgzC80Il3SA3qguWK6uzI3ExadbyAsdhlm9R5HHVKvB6IZ-LlW67DlM433GURm97TxruvjSxcATe7z4U3mH1cw8p8AtmoT8&xkcb=SoAj67M38fHF3GQ82R0KbzkdCdPP&fccid=e2d6af177a54729a&vjs=3
Crossover,"Full Stack Engineer, LearnwithAI (Remote) - $100,000/year USD",Just posted,"Are you a full-stack engineer who thrives on complex challenges and is eager to make a real impact? Join our team to contribute to innovative products that deeply leverage AI, changing the way we work and learn.
Join us to work on our exciting product portfolio:
TeachTap: Bringing historical figures to life using AI, offering an engaging, TikTok-like learning experience to make learning more relevant and fun.
Educational Content Generation: Utilizing the latest in generative AI combined with comprehensive learning materials to create captivating content.
TeachTower: A game-based motivation system inspired by popular games like Roblox and Minecraft, designed to make learning irresistibly fun.
Coachbot: A learning copilot that integrates with existing apps, guiding learning paths, recommending next steps, and rewarding daily progress.
What we offer:
The opportunity to work with cutting-edge technologies, including the latest in Angular, React, React Native, and AWS serverless patterns.
The opportunity to learn and experiment with using generative AI to boost your productivity.
A team of exceptionally talented engineers from around the world as your peers.
The chance to work on products that are making a real difference in people's lives.
We're not just using AI as a buzzword. We're at the start of a thrilling journey with generative AI, experimenting and learning to fully leverage its potential and free our engineers from mundane tasks, allowing them to focus on what truly matters: design, decision-making, and understanding the far-reaching implications of different implementation strategies.
Showcase your skills, not just your resume. Take on our challenges: 15-min Cognitive, 90-min Coding, 180-min Technical Decision-Making. Excel and you'll face a decisive interview with our Hiring Manager. More than half walk away with an offer. Ready to unleash your potential? Apply today!

What you will be doing
Building modern web apps using top-notch libraries and tools.
Enhancing cloud-native backends using the latest serverless cloud patterns, including AWS.
Reviewing code to ensure adherence to best practices, team standards, and customer requirements.

What you will NOT be doing
Spending time on minor bug fixes or features in outdated codebases.
Dealing with tedious infrastructure to keep poorly written products running.
Getting stuck in endless meetings discussing roadmaps and priorities or chasing people around.

Key Responsibilities

Candidate Requirements
At least 4 years of experience writing production code for both the frontend and backend of web applications (any framework).
At least 2 years of experience being the primary technical contributor for a development team OR software product.
An openness to learn to use generative AI in your day-to-day development work.

Nice to have
Experience in using generative AI in your day-to-day development work.",,Full-time,Bandung,https://id.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bp-pWyh_yd7-BMq_HjiKF8q-wDEEHI6K3EhZcTze0zEsIRmf-ziQx7h5wQIORYHGELg6jFZ1sNAM7glhmIch9PL9DnhwX6TWrjRlBS6tiJZ7s-6BmESLLviMHtAgg0MO-d_JwLGUCdgfk65AdZur8Cr17o13Ebf5fVyMLKhC8wlXWSjkg4cPr-DcYQ706PFq-zExtvYnqx5I5-OTH0e4uyNb4s-D4sTiYPlVxZrM0h48M_ERyu3kZ_TWJDOuOdrXmi9F1YUUix4uPewc3LugaE_N0GCj1oHqe_YppU42sc2XN6x4woD6r8XtEra2SD4LFDAE2f-WOi9iwCu-nd-Xjv5JcXalats8WbbQonBmJO-Mn8hh5pRglKz67In6iQqvGMx-NAyhwBbgT50X0DphfsuFDUkYYSV7pxjPXiCVBUy4p6uvBF6VySL9ovRP17WQRsvBdS9uFol68qKjY9Y08-C92UzhtGQ9MnFZlKuni33D3vyIpcvipesBcjV296FrFoRDzA5TL8ZI3tPLHxkpPZUNdshx6GvJZDQBX5meF8VrNX8LO9E2tKjMEZk9K3VJ8rRtVdyJ2IFpx3wGylNn_1jA5fcA1Yt4tfBALukBB3jiTo6NmdAhFL77e2zhQbNqT9XAwlcOjz4seaPJfmfaEZ5O2H9L41oWeOS9CdImRae_IOu3n0t6S_e28V5lgbZt-M9PfwYDECss38FnXfpD6lbr6w4tum6ptkOoEx9c84AJeC2Cl2TAnfr-8zV6yEa_dDojVs0yQJ_vMV7tAeUOqODBd5KnRoRlA=&xkcb=SoBK6_M38fHF3GQ82R0JbzkdCdPP&camk=nUmJqO2E8ri0mV_TZ_NhyQ==&p=2&fvj=0&vjs=3
LUCE MAINTENANCE GROUP PTE. LTD.,Full Stack Software Engineer,Active 2 days ago,"Full Stack Software Engineer
Luce SG
Bandung - Jakarta
IDR 15.500.000 – 18.000.000 Gross per Month
Job Highlights
Great working environment
Work with other like-minded, growth-focused individuals
Ability to travel at times to work with our regional offices
Kindly check your Spam folder regularly in case our Hiring test email ends up there. Thank you!
We’re a Singapore-based service platform looking for a Full Stack Software Engineer to join our team in Indonesia! As one of Financial Times Singapore’s fastest-growing companies, we offer competitive benefits, growth opportunities, personalized mentorship, and a great working culture.
The Company:
Luce SG is a tech-powered services provider for residential and commercial needs for customers in Singapore. Our services include part-time maid services, ad hoc home cleaning, office cleaning and commercial facilities services, aircon servicing, and more. Our mission is to give our customers a great day, and we’re doing so by building a digital platform where they can get the help they need, all in one place.
We’re looking for people who want to be part of this mission. If you’re looking to build your career, achieve your goals, and realize your full potential - come and join us.
Goals:
Own and evolve the monolithic Backend and Frontend application to support future requirements and keep technical debt under control
Define Backend operational metrics, such as uptime and API latency, improve observability of the system and own SLAs
Be the go-to person for backend technologies used by Luce today as well as those that might be put on our tech radar
Write code fluently in at least one programming language
Breakdown a simple requirement into computational steps
Debug their code and lookup necessary information when problems occur
Correct their approach when they have recognized problems with it
Reason about algorithmic correctness, their use, and their runtime performance
Communicate clearly about technical topics
Responsibilities:
Hands-on writing code. Participate in some full stack engineering to stay abreast of the codebase. Review code and grow the team
Write and review technical specs, define the technical roadmap for our monolithic application to support new features
Estimate work and break big initiatives. Participate in quarterly plannings
Practice DevOps, maintain the production infrastructure and development environments
Write unit, integration and e2e tests for new and existing features. Ensure the team follows testing best practices
Take care and improve the observability of the system. Ensure best practices around Log aggregation, health checks, application metrics and tracing
Assess and manage team performance through staff meetings, one on one, and quarterly assessments
Knowledge:
Minimal 2-5 years of experience as a software engineer
Deep understanding of Rails + Javascript (minimum 3 years of experience), Databases, such as Postgres and Redis, and software design principles
Building, deploying and evolving complex backend systems
Experience building GraphQL APIs is a plus
Experience working a large codebase with multiple team members and CI/CD process
Must be willing to WFO 4 days a week. Currently, our location is in Bandung, but around June-July 2024 we will move our office to Jakarta.
Benefit:
Goverment Mandated Benefit (BPJS, JHT, etc)
Hybrid working (WFH Credit)
13 month salary (Festive Allowance)
0-2x Performance Bonus
Company performance bonus
The Location: Currently in Bandung Central (Pasir Kaliki), in June - July 2024 we will move our office to Jakarta.
Job Type: Full-time
Pay: Rp15,500,000.00 - Rp18,000,000.00 per month
Ability to commute/relocate:
Jakarta: Reliably commute or planning to relocate before starting work (Preferred)
Application Question(s):
What is your current and expected salary?
Experience:
Ruby on Rails: 3 years (Required)
Javascript: 3 years (Required)
Software Engineer: 3 years (Required)
Language:
English (Required)",,Full-time,Jakarta,https://id.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C221OUv6gtmROLP0IQQvBniQGwaxWC1l93ajErM0MKMmS4dGsRTc5pkCtx5io3m8SWCyKM_SRe-B2gXNlJNnc3v1t_YC_Fd3apE5lqgOZG8i2eNW5kA0eWbKTqSe7FeEfXDJMsztoIGXnRFQlKgeEdfYbZUq7DrXwL4Y1HwQJjP2vdlwJ9EQw0NaREMFAhkjRi0YQfqA0OVH_hSs2_AtkB-rU3jknBixUAMQ151_ZiV66zJ5HoWlFoGFxfrIaucmP4KjF9-UK-DZaX6pSxdDmIGj8xMgm7YfA3khf45QUHO_ob7n0FoElIQfdQUnj-go20mPjAEBd4A1ru9P02VMHxoeWJGTzq7h_bNvNA8VOIYO81FK6D4fQ1nS4ZHQlNfTyuCmmBH3CJ-1Gt06TvT4HsBKYzF7abAJyc3IrvZdyYyvS_r9ZExVmv5rig4j1CotLU4TNgx0C6Y0G_Sof2uy_Tgtlju7617VJ-uE9n-A578scHh_0ixrB3pgkZTyAIG_JJuS9-SuE4fP2NfUE4oUMfqJC4KYFhK6fm2Kl24xD1W2NcQxVKZTgp82uX5OTP914hSRwRSwAlsUIspT0JbcOxWjNTbGtWD2PQZIoKDKOTNnduKH3rhL7eWELhw0hT5C4=&xkcb=SoD-6_M38fHF3GQ82R0IbzkdCdPP&camk=4HOcmqOLYrBms6_osmo9sw==&p=3&fvj=1&vjs=3
Global Tiket Network,"Software Engineer I , Affiliate (Backend)",Posted 2 days ago,"We think you also hate when travel app is giving you a headache, right? A slight misinformation can ruin the trip.
That is exactly what we are tackling as t-fam! Making sure that our 17+ million users have the best experience in crafting their own adventure.

The Affiliate team at tiket.com is responsible for B2B API business on tike.com to serve our globally partners. Our solutions are designed to be generic and scalable, ensuring they can be applied to multiple products and also serving huge amount of request traffic (>100k RPM)
Your main duties in flying with us
Collaborate with product and QA teams to build features (analyzing requirements, identifying gaps, designing and implementing solutions) and to ensure timely project launches
Document and communicate your work effectively
Identify and address performance bottlenecks, technical debts, and improve existing code
Participate in peer code reviews as everyone on the team is involved in PR reviews
Mandatory belongings that you must prepare
Bachelor's degree or equivalent (preferably in Computer Science/Information Technology).
Passion in software engineering, application development, or systems development.
Strong basic data structure knowledge
Strong communication skills and analytical skills
Experience with any database (understand indexing, partitioning are a plus)
Proficiency in Golang is a plus
In the event that you haven’t received any updates after 3 weeks, your data will be kept and we may contact you for another career destination. Meanwhile, discover more about tiket.com on Instagram, LinkedIn, or YouTube.",,Full-time,Jakarta,https://id.indeed.com/rc/clk?jk=08558f4d0fb7b107&bb=z8Vzpz_4IqEZmT_g7uok2ARwaQaDdOJE1C4vAqKuyWFKwXjN3ae8sCjwCq-rBy-PHIMVkHjW1wOPFysjOGqLINaxydR3GpWU5DKARyEPtdSsQwfYP-r0-WI8hP5W6UEm&xkcb=SoCE67M38fHF3GQ82R0PbzkdCdPP&fccid=86d817bdde43fd0e&vjs=3
Paymentology,Remote Software Engineer (Backend/Fintech),Posted 15 days ago,"Paymentology is the first truly global issuer-processor, giving banks and fintechs the technology, team and experience to rapidly issue and process Mastercard, Visa and UnionPay cards across more than 50 countries, at scale.

Our advanced, multi-cloud platform, offering both shared and dedicated processing instances, vast global presence and richer, real-time data, set us apart as the leader in payments.

As a Remote Software Engineer at Paymentology you'll be working in the Engineering team to build enterprise-level, highly scalable, highly secure financial processing systems that power tens of millions of transactions and tie them to web, mobile and API interfaces that make it easy for people to issue, redeem and reconcile prepaid and credit cards all over the world.

Tasks

In this role you will be responsible for creating, enhancing, and maintaining software applications and systems. You will collaborate with cross-functional teams to comprehend requirements, design solutions, and implement code that conforms to best practices and industry standards. The role may necessitate the capability to work on multiple concurrent projects, proactively review progress, and offer recommendations for process enhancement. Moreover, the Software Engineer must possess robust problem-solving skills, technical expertise, and a dedication to delivering dependable software solutions.

Requirements Analysis:
Collaborate with product management and tech leads to gather and analyse software requirements, ensuring a clear understanding of project objectives and specifications.
Software Development:
Design software solutions and architectures that address functional and non-functional requirements, considering scalability, performance, and security.
Write clean, efficient, and maintainable code using appropriate programming languages and frameworks, following established coding standards and best practices.
Develop and execute comprehensive test plans to validate software functionality, reliability, and performance, including unit tests, integration tests, and end-to-end tests.
Identify and resolve technical issues and bugs throughout the software development lifecycle, employing debugging tools and techniques to ensure the stability of software applications.
Manage source code repositories using version control systems (e.g. Git), ensuring proper branching, merging, and documentation of changes.
Implement unambiguous tasks with limited direction, breaking down portions of projects and contributing to task estimation. Follow standard issue-tracking workflows and processes, facilitated by JIRA.
Documentation:
Create and maintain technical documentation, including design documents, user guides, test cases and API documentation, to facilitate knowledge sharing and support future development efforts.
Write technical specification documentation and participate in the planning, and review of design and development activities for concurrent projects.
Adhere to organisational policies, procedures, and regulatory requirements related to software development, security, and data privacy, ensuring compliance with industry standards and regulations.
Collaboration and Communication:
Collaborate with engineering teams to develop moderate to complex software applications, leveraging expertise in required languages and technologies.
Work closely with cross-functional teams, including product managers, designers, and quality assurance engineers, to deliver high-quality software solutions on time and within budget.
Requirements

We're looking for people that make stuff work with:
At least 5 years of experience in software development.
Knowledge of one or more programming languages commonly used in software development, such as Java, with experience in the Spring Boot framework for building robust and scalable applications.
Understanding of software engineering principles, data structures, algorithms, object-oriented design concepts, clean code, and SOLID principles.
Familiarity with software development tools and technologies, including integrated development environments (IDEs), version control systems (e.g. Git), and issue tracking systems (e.g. JIRA).
Understanding of software practices such as Agile development methodologies, code reviews, and continuous integration/continuous deployment (CI/CD) pipelines.
Skills in unit test and/or Test-Driven Development.
Ability to document requirements and specifications.
Problem-solving skills.
Above all, we are looking for software engineers...
Who love to write great software

Who are passionate about their craft

Who are willing to learn, as well as coach

Let’s also not forget languages (not the programming kind); While you will work with colleagues located throughout the world, English is our company language so it's important that you be able to communicate at a fluent level, in both spoken and written form.

Flexible hours are a must for our remote team. You’ll need to be able to occasionally shift your work hours to participate into on-call duties and better align with colleagues for the scope of specific projects.

At Paymentology we value making a difference to the lives of the people who work for us and who live in the communities where we operate. You can look forward to working with a diverse, global team where Paymentologists at all levels play an important part in our global mission to advance the world through payments and make a difference on a global scale.",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/1472903837d51d74dd8a9b4386b1bb31,Contract,Indonesia,https://id.indeed.com/rc/clk?jk=a74a1d0a08eec2b1&bb=z8Vzpz_4IqEZmT_g7uok2C_4TpStHTGbnCZ3f0ygjQO8P9aDWtaX9zMqUhZ9eAQ1ZKfZlAa2pGxrDmmnTOpgXZ-fLjJLEvUXIXFkz-QELxm-Aba2dcTecKMZaUBpOV5a&xkcb=SoAw67M38fHF3GQ82R0ObzkdCdPP&fccid=1fbf782e15daf129&vjs=3
PT Hada Solusi Digital,Remote Web Frontend Developer,Active 7 days ago,"We are a dynamic and innovative company looking for a talented Web Frontend Developer to join our remote team. Our mission is to build cutting-edge web applications that deliver exceptional user experiences. If you are passionate about frontend development and have experience with React, Angular, TypeScript, and CSS, we want to hear from you!
Responsibilities:
Develop and maintain responsive web applications using React and Angular.
Collaborate with designers, backend developers, and product managers to implement user-friendly interfaces.
Write clean, efficient, and well-documented code in TypeScript.
Ensure cross-browser compatibility and optimize web applications for maximum speed and scalability.
Work closely with the UX/UI team to ensure seamless integration of visual designs.
Participate in code reviews to maintain high code quality standards.
Debug and resolve issues, and provide ongoing maintenance and support for web applications.
Stay updated with the latest industry trends and technologies to ensure our applications are always cutting-edge.
Requirements:
Proven experience as a Web Frontend Developer or similar role.
Proficiency in React and Angular frameworks.
Strong understanding of TypeScript and its application in large-scale projects.
Solid experience with CSS, including pre-processors like SASS or LESS.
Experience with responsive and adaptive design principles.
Familiarity with version control systems (e.g., Git).
Knowledge of RESTful APIs and integration with backend services.
Excellent problem-solving skills and attention to detail.
Strong communication and teamwork abilities.
Ability to work effectively in a remote environment and manage time efficiently.
Preferred Qualifications:
Experience with state management libraries (e.g., Redux, NgRx).
Knowledge of frontend build tools (e.g., Webpack, Babel).
Familiarity with testing frameworks (e.g., Jest, Jasmine, Cypress).
Experience with Agile/Scrum methodologies.
Understanding of web accessibility standards and best practices.
Benefits:
Flexible working hours and remote work environment.
Opportunities for professional growth and development.
Access to the latest tools and technologies.
Collaborative and inclusive company culture.
Job Types: Full-time, Part-time, Temporary, Contract, Fresh graduate
Contract length: 3 months
Expected hours: 30 – 40 per week
Education:
SMA/SMU/SMK (Required)
Experience:
Front End Developer: 1 year (Preferred)
Application Deadline: 08/31/2024",,"Full-time,Part-time,Temporary",Yogyakarta,https://id.indeed.com/rc/clk?jk=0094e79ec990c0d7&bb=z8Vzpz_4IqEZmT_g7uok2OIpbSxh1MwM04yJZGwl8qLT_lM__gkA0Zp2n0HB0pE2qSySrwlQl1B2xhu5kxVZsREM_pZpVHncnjSKMdEfLw8l5wocRJEt3NKs4ivkFZBS&xkcb=SoCt67M38fHF3GQ82R0NbzkdCdPP&fccid=ffe411ce29bc68f6&cmp=PT-Hada-Solusi-Digital&ti=Front+End+Developer&vjs=3
JPR Corp,Backend Engineer,Active 2 days ago,"Job purpose
Design, build and maintain microservices in collaboration with front end & full stack developers to create a comprehensive digital solution that meets the customer’s business needs.
Responsibilities
Design and implement microservice with efficiency, speed, quality & robustness in mind, based on SOLID and 12-factor app principles
Produce and maintain technical documentation related to the relevant microservices (e.q. scope requirements, logical and technical designs, testing and implementation plans).Troubleshoot and implement bug fixes related to client and user reported issues.
Play proactive support role and take ownership of technical issues, and work with internal/ cross functional/ external team to resolve more advanced issues when necessary.
Collaborate with team members in all aspect of software design, coding, testing, documentation & deployment
Deliverables in agile scrum approach
Qualifications
B.S. in Computer Science, Information Systems or equivalent
Experience in microservices architecture and development
At least 3 years hands on knowledge & experience in the following:
Git
RESTful API
Spring boot
Docker
SQL/NOSQL
Additional knowledge & experience in any of the following is a plus
Spring CloudKubernetes
Any of these : Go / Python / NodeJs
Soft Skills
Detail-oriented
Self-starter & team player
Analytical & good problem solving skills
Good verbal, written and interpersonal skills
Job Type: Full-time",,Full-time,Jakarta,https://id.indeed.com/rc/clk?jk=57c49178abd0f732&bb=z8Vzpz_4IqEZmT_g7uok2An9Vp1iPhu-3x1bzA4kBdd3HMcWVQBTf8kiqoC5n9exZQU8ohcDgtJUqL7jL9eV9qLo3lxrAI2zs-wZu3Y1eWffYReJXnOm1hb_jdfzY0LA&xkcb=SoAZ67M38fHF3GQ82R0MbzkdCdPP&fccid=7c8dc944d7774d2d&cmp=JPR-Corp&ti=Back+End+Developer&vjs=3
Crossover,"Lead Engineer, LearnwithAI (Remote) - $200,000/year USD",Just posted,"Are you a seasoned Unity engineer with a passion for leading teams and making crucial technical decisions? Join us at LearnWith.AI as we integrate AI into learning, creating cutting-edge educational experiences. We're on a mission to transform how students learn, making education not just effective but engaging and fun.
Your role will be critical in leading our Unity engineering team and designing the technical architecture of Magic Academy—a game where knowledge isn't just taught, it's experienced. You'll establish technical patterns, guide the team through complex decisions, spearhead the adoption of AI within our development process, and build a game that turns abstract information into tangible, interactive experiences. This isn't just about identifying gaps in learning; it's about building robust, scalable solutions that create immersive learning adventures.
What we offer:
The chance to work with cutting-edge technologies and methodologies in education and game development.
A platform to showcase your leadership and technical expertise, directly impacting how students learn.
Ownership and independence in your work, with the authority to make impactful decisions and drive innovation.

What you will be doing
Leading the Unity engineering team, making key technical decisions, and setting the direction for our game development work.
Designing the technical architecture of Magic Academy, ensuring it aligns with our business goals.
Establishing best practices, coding standards, and development patterns that the team will follow.
Collaborating closely with product managers and designers to ensure the game's functionality, reliability, and user-friendliness.
Spearheading the integration of AI tools and techniques to improve the game and the team’s development process.

What you will NOT be doing
Getting stuck in endless approval loops - we value swift decision-making and engineering autonomy,
Focusing primarily on game design or visual aesthetics - while important, our priority is engineering excellence,
Isolated tasks - you will collaborate closely with a supportive product and backend team.

Key Responsibilities
Delivering a high-quality game that serves as the primary interface for students in our online learning environment.
Defining the technical architecture of the game, ensuring it is decoupled, robust, simple, and aligned with the long-term vision.
Continuously improving and optimizing our codebase to meet evolving educational and technological needs.
Leading the adoption of AI in game development to increase the overall throughput of the team.

Candidate Requirements
At least 5 years of experience in developing 3D games using Unity.
At least 3 years of experience leading the development of games, including designing the technical architecture.
Proven track record of leading the development of a game that successfully launched and engaged users.",,Full-time,Jakarta,https://id.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bp-pWyh_yd7-BMq_HjiKF8q-wDEEHI6K3EhZcTze0zEvpHA92ZPE90LDsgPXL-NwccizVb2T3vuRjPxnpfJLiwNs1t0NtsbL75uKOiLR0VFLjOLtNs4HlHTeaVpFEAS5qDT0CdNtEs-x_Xek5ZNY9xXMyt_HzSlXXf-hT3RKB1e8qPPSFh1Bj59_IYyV3rh9gnQHON2qc1NBVR1tK7mcQaU_2P20k6zsAHYNNLG4dOCHBcgTCs2dKXj-oC1i10JxIR96whOPtC_Df9W9iAFD76e47ATl0_HFXHY2HQOR8aiN9hQcEBIZllO2ZXwCN7UE5O5C4Y1wqjPbN6H5rb5GkUTKZgJTQYirG7hSq15uPTf0vrxnBUsnLr-dAbutIY7mG9jUTxJH0r8-TFAiIc9xmJjbMfWAQsK3SPSktcIsC3sFanMs_V77xIaS8xa-OlqX2JL-L6fO6NnFB6xVZsn3G5L5tDMpcY1dPFtvQFkaP5ulgigokCrCaRM_j-xNKS55JZsY-Js5RITLN44bGmmK1LDD1A1Vx_XwsXg8wuuKiCZyMd4EU7j48C9KBHXPBq3NMdEkQCuzuSzV8LeQ3czZB8M_Jd6zQowvlYm_aELCP2ktKaLPrc2V9QFyfJrNUkjYHbFLXXw2PiFCiBzVB6cYnfdNe7VL3YCB8Y2luzv6xxHBNsDhFDspZCpxSW6g5ZhZxVIKowCqcCAoKj1uhDtazyHORqYzXI8A16nEVgVSO1bHIETY5vy64grcHKiRQFnEPRORC8mJ_wsCRHcBRZ3RH5dae1xMV7mUQ=&xkcb=SoAE6_M38fHF3GQ82R0DbzkdCdPP&camk=nUmJqO2E8rhgHyCI6vZD4g==&p=8&fvj=0&vjs=3
Kredivo Group,Backend Engineer - INTL Team (SDE 2),Active 16 days ago,"Job Description
What you will really be doing as Backend Engineer in our Engineering team:
Design and implement product features and functionality for various Kredivo sites and services
Work with the Product, Business, and Sales teams to gather and understand requirements and deliver scalable solutions
Write high quality, maintainable code
Own parts of the system and continuously work to improve them in an agile environment.
Benchmarking, load testing, diagnosing problems and helping create solutions
Research and implement modern frameworks and technologies for back-end systems
Participate in design discussions, reviews and propose/implement solutions to technical problems and challenges
Minimum Qualifications
We are excited to welcome dynamic robust Engineers who have:
B.S, M.S, and/or PhD in Computer Science or equivalent
1-4 years of working experience in the Software industry
Well versed with Object Oriented Programming concepts
Strong understanding of Data Structures, Algorithms, and Computer Science fundamentals
Strong logical and innovative thinking, troubleshooting skills and diagnostic intuition, able to assess the business needs and reflect the value into the product design
Experience working on one of follow programming language: Python, NodeJS, Go or C++
Good understanding of microservices architecture
Proficient in HTTP, Web Services, OAuth and Restful APIs
Familiar with Linux environment
Experience working with cloud based systems and infrastructure services such as AWS, GCP, etc is a plus
Good Communication skills
Ability to work well in a team with a positive attitude
Strong attention to details",,Full-time,Jakarta,https://id.indeed.com/rc/clk?jk=645f75396b87f56f&bb=z8Vzpz_4IqEZmT_g7uok2HjSH4wUwDagRqhC9ZU8iBQNq-nFEb47h8lnwyn99Xp1XgUMUzzoy_WKpKPvf5J6pZwV-zhULsrBEek2uP8bS-4ibxos3AQ3cC5DL38ZZEpg&xkcb=SoBE67M38fHF3GQ82R0CbzkdCdPP&fccid=9b6381bd7b084eeb&vjs=3
