Company Names,Job Titles,Posted On,Job Details,Images,Type Location,Locations,Link
"TRI7 Solutions, Inc.",SEO Supervisor/Manager,Posted 30+ days ago,"Job Descriptions:
Maintain Private Block Networks (PBN).
Redirection.
Keyword research.
Article SEO.
Qualifications:
Candidate must possess at least a Vocational Diploma / Short Course Certificate, Bachelor's/College Degree , any field.
Experience as SEO/SEM in iGaming or at least Digital Agency
At least 4 year(s) of working experience in the related field is required for this position.
Understanding and update related the trend of SEO (Search Engine Optimization) SEM (Search Engine Marketing), SMO (Social Media Optimization).
Benefits:
- Working From Home
- Competitive Salary + Allowances for (WIFI, Electricity, Laptop) + Bonuses (Based on KPI)
- 13th Month Pay : Similar with THR
- OT if needed
- Working days : 5days + 2days off
- Working Hours : 9 Hrs + 1 Hrs Lunch Break
- Annual Leave 12days/year
- Sick Leave 7days/year
Job Type: Full-time
Job Type: Full-time
Pay: Rp160,000.00 - Rp180,000.00 per month
Application Question(s):
This position covers products such as online casino and sports betting are you okay with such industry?
Experience:
SEO/SEM: 3 years (Required)
Online Gambling Industry: 1 year (Required)",,Full-time,Jakarta,https://id.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CcadhfgryO7IoG5vF1TfPQpt1WV_gUtXl7NmGDhNVQvhqfv8uNHkfJz8C7W-f-Hi4l5zKr6YLRScSvJ95hLB9nPHcrWUU_ZDEJiJesZRtp-4e_k3rS5dnBK2KGt0KB7DZC9qnkKKf9EYBaGDvPFKJa_H2fc_GzHe-KeNpRBidqVhhaqDF_ZI1eQaut9oiSWYpizT_Cp9_E8Z4jNmSnppC3pRuHlcgO4NSqVBG_lWUlJOtkR5uHcEsoOeNjD5ipZefg-hl9kQEAnyk0QBYy9wto_6rrtWt6LudW7WWiicuFiAWMoHTej0Qv0Rgw_mSFpGxZwY06a1r5ihXA86biYnNPSBvhn5ANRL9R0EeXq8wczw7QRGJDGvuhNde1TsGy57pY8oNeudAczNrUVRthBayUCk-ShsiLlBwvTsSevRvqa-Yfsu27C-MBN6WVObF5YlJgFkUhsV67g-TjJPhojqPmqV_OdA5zGhCrcq8rO1YHxM4mZbDkbDLmilznwqcpX6MZuLWpepGs6nqBJYPkNflrBFwtuOwY7YEpp9mQVt4ae4cnP1lz78wb2i6DZgjQ-rigARWC8OX1cEIbDZhrmJGmrFVs7Rmttyj5pLcoFOYHWufpJIVWceWj&xkcb=SoA_6_M38f7ECzgAl70LbzkdCdPP&camk=nUmJqO2E8riHO3-FjFDu9w==&p=0&fvj=1&vjs=3
Traveloka,Accommodation Product Manager - Supply,Posted 9 days ago,"Job Description
Position Overview:

We are currently seeking a detail-oriented and data-driven Product Manager to join our team and play a pivotal role in the management of accommodation supply. As a Product Manager specializing in accommodation supply, you will be responsible for developing and executing strategies to enhance and expand our portfolio of accommodations, ensuring exceptional options for our users. This role involves close collaboration with cross-functional teams, conducting market research, and leveraging data insights to drive product innovation and deliver high-quality, appealing accommodation options to our customers.

Responsibilities:

1. Product Strategy and Roadmap:
Develop and execute a comprehensive product strategy for accommodation, aligning with overall company goals and customer needs.
Create and maintain a roadmap that outlines the evolution of the accommodation product, incorporating flexibility and scalability.
2. Product Innovation and Development:
Collaborate with cross-functional team to conceptualize and bring new features to life, enhancing the overall user experience.
Stay abreast of industry trends, emerging technologies, and customer feedback to drive continuous product innovation.
3. Stakeholder Management:
Manage external stakeholders and system providers to ensure connectivity performance meets high-quality standards.
Collaborate with finance and account management teams to ensure seamless financial processes related to accommodation supply.
4. Data-Driven Decision Making:
Utilize data analytics tools to gain insights into user behavior, market dynamics, and product performance.
Make informed decisions based on data, continually optimizing the accommodation product for maximum impact.
5. Collaboration and Communication:
Foster strong collaboration with technology, marketing, and customer support teams to ensure alignment and successful product delivery.
Communicate product vision, updates, and key performance indicators effectively within the organization.
Job Requirement
Bachelor's degree in a relevant field (Business, Data Science, Computer Science, Engineering, STEM, Finance) with strong academic results. A master's degree is a plus.
5 years or more of working experience at strategy or management consulting firms, multinational technology or engineering firms, manufacturing or O&G companies, multinational banks, or a credible and strong track record in building or growing a product or businesses.
Proven experience as a Product Manager, with a strong focus on data analytics and content, preferably within the travel or hospitality industry.
Demonstrated expertise in leveraging data analytics tools (e.g. Tableau, GDS, minimum Gsheet or Excel) and platforms to drive insights and inform decision-making.
Strong understanding of market dynamics, user behavior, and industry trends in the accommodation space.
Excellent analytical skills and ability to interpret complex data sets to drive strategy and innovation.
Strong project management skills, with the ability to manage multiple initiatives simultaneously and deliver results within deadlines.
Team player, excellent communication and collaboration skills, with the ability to work effectively with cross-functional teams and stakeholders at all levels.
Detail-oriented, self-motivated, and able to thrive in a fast-paced and dynamic environment.",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e17bdacd93d298b4601d675e7c1b986d,,Indonesia,https://id.indeed.com/rc/clk?jk=1bec55211b28adb8&bb=PrPMQdnyV03lkmG334Fj7TNC_1GA0m2pKGiH46hk9Qv-olPlkgpTJ97XVZB4Ss1tERYitJhdoOTEKXAa4CDaXGY9CFues0bbabJgw9zOubPC8iPbpQjdNT5qq-7ZyAyW&xkcb=SoB_67M38f7ECzgAl70KbzkdCdPP&fccid=3de05aadd53064ae&vjs=3
Mattel,Associate Manager Product Development Engineer,Posted 30+ days ago,"Leader for a team of product development designers that work closely with corporate design from ideation stages.
Catalyst for finding equilibrium between design and manufacturing.
Support transition from design ideation to manufacturing with a thorough product development process, collaborating with related functions.
Support company goal in safety, quality, delivery and cost.
Foster employee development

A minimum Diploma in Product Design or any design major related. Background in engineering with design passion is welcome.
A minimum of two years of experience in the same position in either product design or fashion design.
Proficient in Adobe Illustration, Photoshop, 3D software: Freeform, Rhinos or Blender.
Good analytical & problem-solving skill
Demonstrated leadership are required",,,Bekasi,https://id.indeed.com/rc/clk?jk=269acf6c835a7bd4&bb=PrPMQdnyV03lkmG334Fj7fzbdaCs_siWWXQi5G5B2h-wlk-RbWot12gXp9LRgSLR89YkOEX_SS-L9h-Bas958MOaqhNZZJSD71T1y13xPv8xC9MTr6StLg%3D%3D&xkcb=SoDi67M38f7ECzgAl70JbzkdCdPP&fccid=c83b406ee927ab6a&vjs=3
Nestle Operational Services Worldwide SA,"IT Analytics, Data and Integration Technology Expert",Posted 3 days ago,"Position Snapshot
Location: Jakarta, Indonesia
Company: Nestlé Indonesia
Full Time

Position Summary
Joining Nestlé means you are joining the largest food and Beverage Company in the world. At our very core, we are a human environment – passionate people driven by the purpose of unlocking the power of food to enhance quality of life for everyone, today and for generations to come.

As an IT Analytics, Data Integration Technology Expert, Under the supervision and guidance of her/his primary Community of Practice Lead and Product Group Manager based in Switzerland, the Technology Expert brings deep expertise and knowledge to the product or platform team. S/He guides and promotes optimal use of technology to support the cost effective delivery of business requirements within their area of expertise. Working at the leading edge of IT for the product or platform, the Technology Expert performs preliminary studies, helping to set the technological direction with the product or platform manager. S/He supports delivery and sustain of the most complex applications and business capabilities, and may be accountable for specific deliverables in relation to development or support or may lead the technical activity within their area of specialty.

A day in the life of IT Analytics, Data and Integration Technology Expert
Technology expertise; Provides deep specialist knowledge and skills in data science and engineering, supports integration of solutions with various technologies.
Operational effectiveness and efficiency; Implements continuous improvement on effectiveness, efficiency and delivery of services through the use of technology and technical methodologies.
Security, compliance & risk management; Responsible for ensuring that all solutions are delivered and maintained securely and compliant with internal standards and external regulations, including privacy requirements and understands the business risks and delivers solutions within acceptable risk level.
Stakeholder engagement; Works with functional managers, product managers, Tech Leads, Solution Architects and Business Analysts as required to ensure any solution fits with strategic and technical direction.
Supplier and strategic partners management; Liaises closely with suppliers and vendors, for example where third party works involve significant functional, technical, process, data or integration decisions.

What will make you successful
Bachelor's degree in computer science, system analysis or a related study, or equivalent experience
4 years of experience in the relevant area of expertise
Experience of successfully leading technical evaluations
Experience of resolving technical issues, including those involving 3rd parties
Preferably certification in corresponding technical fields
Experience with effective communication at different levels in the organization and in English
Experience working in a global environment and with virtual teams",,Full-time,Jakarta,https://id.indeed.com/rc/clk?jk=d4550354aa8f0dc5&bb=PrPMQdnyV03lkmG334Fj7UJO5IsO4oYby2QEN_7xn-kiuckURsTvIAoyLPjW7TqjLQ1QUY-uZ58S0__VxDNhBAF7-5KFLN0uq-aQNGTWMMEtwaGWsBCBfA%3D%3D&xkcb=SoBW67M38f7ECzgAl70IbzkdCdPP&fccid=bfdac90a7574b77c&vjs=3
TikTok,Shop Tokopedia - WMS Outbound Product Manager (Indonesia),Posted 30+ days ago,"Responsibilities
TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.

Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.
Join us.

SEA logistics Team is responsible to be focus on developing short term and long term cost targets and related indicators of each business to ensure a reasonable cost structure and accurate data in order to drive growth and improve the end customer experience.

Responsibilities
Product Strategy: Develop and implement product strategies and roadmaps for warehouse Outbound fulfilment processe , aligning with overall business goals.
Market and User Research: Conduct market research and gather user feedback to understand customer needs, market trends, and competitive landscape.
Stakeholder Collaboration: Collaborate with Operation team, engineering, design, and other cross-functional teams to develop, launch, and continuously improve software products.
Requirements Gathering: Gather and prioritise product and customer requirements, translating them into detailed product specifications and user stories.
Performance Monitoring: Define and track key performance indicators (KPIs) to measure the success of outbound fulfillment processes, using data to drive continuous improvement.
Process Optimization: Identify opportunities for process improvement and automation within the outbound fulfillment process to enhance productivity and reduce errors.
Technology Integration: Collaborate with IT and engineering teams to integrate and enhance warehouse management systems (WMS) and other relevant technologies.
Product management Documentation Skills: Responsible in creating detailed PRDs that outline the product’s functionality, features, and user stories. Write clear and concise user stories and use cases that capture the requirements from the end-user perspective. Create other supporting documents such as: Release Notes, BRD, Wireframe and Mockups, Competitive analysis, user feedback and other related documents.
Qualifications

Minimum Qualifications:
Bachelor’s degree in Business, STEM, or any related field
Minimum of 1-2 years of experience in product management, with a proven achievement from the product that has been developed. Experience in Warehouse Management System (WMS) will be an advantage but not mandatory.
Preferred Qualifications:
Analytical Skills: Strong analytical and problem-solving abilities, with a data-driven approach to decision-making.
Communication Skills: Excellent verbal and written communication skills, with the ability to articulate medium to complex concepts to technical and non-technical stakeholders.
Customer Focus: Deep understanding of customer needs and a passion for delivering exceptional user experiences.
Product management documentation skill: PRD, User Stories and Use Case, Release Notes, Functional Specification, BRD, Wireframe and Mockups, and Customer feedback and Insights.
Attention to Detail: Ensuring all documentation is accurate, thorough, and free from errors.
Project management skills with a track record of delivering projects on time and within budget.
Knowledge of fulfillment business & operations, warehouse management systems (WMS) and other relevant technologies will be an advantage.
Ability to thrive in a fast-paced environment.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",,,Jakarta,https://id.indeed.com/rc/clk?jk=4cfff8e436383e9b&bb=PrPMQdnyV03lkmG334Fj7YQlDJq3NVoBPwnpn3C6L91j4kB2By46HRW1Ug8zw8j1TqwUooWim_VGj-QLcmfrzWyqLSQMq3_MRit6igEwgIsHckQx1dy49NZMs1wJYftX&xkcb=SoDY67M38f7ECzgAl70PbzkdCdPP&fccid=caed318a9335aac0&vjs=3
YouTube,"Associate Product Marketing Manager, YouTube",Posted 12 days ago,"Minimum qualifications:
Bachelor's degree or equivalent practical experience.
less than 3 years of work experience in a Marketing related field.

Preferred qualifications:
Knowledge of and passion for Google's products and the technology industry.
Ability to think across disciplines, industries, cultures, and scenarios with a global mindset.
Excellent program management and communication skills.
Excellent analytical skills, with ability to develop and understand strategy.
Comfort with ambiguity and agility.
Interest in marketing, brand management, strategy consulting, agency, technology, or related fields.
About the job
Whether you're on a consumer product (like Gmail, Search, Maps, Chrome, Android) or a business product (Google Ads, AdSense, Google Marketing Platform, Analytics), you take part in a complete marketing experience as you lead every facet of the product's journey. From determining positioning, naming, competitive analysis, feature prioritization and external communications, you help shape the representation of the product and help it grow a consumer base. This means you work with a cross-functional team across Sales, corporate communications, legal, webmasters, product development, engineering and more. In this role, you'll be involved with product marketing strategy from beginning to end.
As an Associate Product Marketing Manager, you will be part of a two year, cohort based, development program. This unique career path within Google’s Marketing team includes an activity community, a robust support network, and unique learning experiences. During your time in the program, you will work on priority marketing projects in your organization, develop a breadth of marketing skills, join a strong community of peers and alumni, and be supported by dedicated mentors and executive leaders. In addition to your core work, you will complete learning and development milestones and actively contribute to the community.
In this role, you will be assigned marketing projects and make direct contributions under the scope of a larger project. You will represent the user into the product development process or develop the go-to-market plans for driving awareness and adoption for new products and features. You will drive growth marketing and optimization, contribute to Google’s brand strategy, generate user insights, or manage campaigns.
Know the user. Know the magic. Connect the two. At its core, marketing at Google starts with technology and ends with the user, bringing both together in unconventional ways. Our job is to demonstrate how Google's products solve the world's problems-from the everyday to the epic, from the mundane to the monumental. And we approach marketing in a way that only Google can-changing the game, redefining the medium, making the user the priority, and ultimately, letting the technology speak for itself.
Responsibilities
Assist in defining and executing go-to-market strategies and campaigns for new product or feature launches and measure efficacy against KPIs.
Assist in developing programs aimed at acquiring customers (including business strategies, messaging, collateral, events), increasing our engagement with them, and measuring the efficacy of such programs.
Support team in evaluating product and feature improvements to better meet user needs, product readiness for launch, and communicate the new developments to users.
Assist in developing client and executive narratives and presentations, case studies, and content designed to accelerate the business momentum to better engage Google's customers and agency partners.
Assist in executing marketing related tasks within the scope of a larger product or project, under guidance from the manager.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",,,Jakarta,https://id.indeed.com/rc/clk?jk=8c7e2d8397030e90&bb=PrPMQdnyV03lkmG334Fj7ZKeVZ_dzufwJ-HXI421fJVqLs7HYdbmsUvlv9pSJmSB3S1SMw6kpyEa3-DeMpbXst0uYPUH1PM8lHEZo86hQWmhHQJb_luK8w%3D%3D&xkcb=SoBs67M38f7ECzgAl70ObzkdCdPP&fccid=a9021c35fcef6968&vjs=3
Dropsuite,Product Manager (Bandung. Indonesia),Posted 30+ days ago,"Nice to Meet You! We are Dropsuite !

We are looking for a seasoned Product Manager to manage the lifecycle of one of our apps and to be the voice of the customer within the business. You will be part of a global team of Product Managers delivering a SaaS (Software as a Service) platform.

Work Arrangement
Full-time position
Hybrid work model (2 days per week in the office)
Monday to Friday, 5-day work week (flexible work schedule)
Eligible to reside and work in Bandung (Indonesian citizenship only)
Key Accountabilities
Develop and execute product strategy, roadmap, and vision
Gather and prioritize product requirements based on customer feedback, market analysis, and industry trends
Collaborates with cross-functional teams to ensure successful product development and execution.
Conduct market research and competitive analysis to identify new product opportunities and market trends
Define and analyze key product metrics to measure performance and make data-driven decisions
Build strong relationships with customers, partners, and internal stakeholders to ensure successful product launches and adoption
Participate in product planning and roadmap presentations to customers and other stakeholders
Qualifications and Competencies
2 to 3+ years of experience in product management or related field in a technology company
Strong understanding of the APIs and integrations ecosystem
Strong analytical skills and ability to use data to make informed decisions
Bachelor’s degree or equivalent in Computer Science Engineering, Business or related field
Excellent communication and collaboration skills
Ability to work in a fast-paced environment and manage multiple projects simultaneously
Familiarity with cloud SaaS software development and related technologies
Understanding of agile development methodologies
Passion for technology and product innovation
Why Join Us
Dropsuite (listed DSE:ASX) safeguards business information. We are a global, fast-growing, partner-centric company building secure, scalable, and highly usable cloud backup technologies for businesses. Our mission is to help businesses stay in business. Dropsuite performs billions of backups per day for organizations in more than 100 countries around the globe.
Dropsuite is known for its team of ‘hungry owners.’ We are hungry to win and tenacious, but at the same time we all are owners: we do not cut corners and always seek to do the right thing. We are experts in what we do, are highly customer focused and we love solving problems. We play as a team, where respect is one of our key values and we see helping others as a priority.
What we offer
Competitive compensation
Health insurance for you and your dependents
Social Security (BPJS Ketenagakerjaan )
Hybrid work model
12 Days of Annual Leave
Entitled to Indonesia Public Holidays
Other leave benefits, such as Wedding leave
Growth opportunities
Work in a global company with meaningful work, highly skilled colleagues and an amazing culture
Diversity and Inclusion Statement
Dropsuite is an Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status.
Please note that only applicants residing and eligible to work in Bandung Indonesia will be considered and only shortlisted candidates will be contacted.
Your Career Growth Starts Here. Apply Now !",,Full-time,Bandung,https://id.indeed.com/rc/clk?jk=5941288caf5cf6f7&bb=PrPMQdnyV03lkmG334Fj7UYmoSjELStHsLdzUJalArJvQrYxzdAipPzTS2dyWDQ8oJeDCEizOew28GQo7_U4yNJQZNwUHJTT2YDQtqbuaDYkqiXQ6kQr2QnJGj78VY12&xkcb=SoDx67M38f7ECzgAl70NbzkdCdPP&fccid=84a5bdec7881afd7&vjs=3
Global Tiket Network,"Associate Product Manager I, Platform",Posted 30+ days ago,"We think you also hate when travel app is giving you a headache, right? A slight misinformation can ruin the trip.
That is exactly what we are tackling as t-fam! Making sure that our 17+ million users have the best experience in crafting their own adventure.
Your main duties in flying with us:
Define and manage the product roadmap, prioritizing features and enhancements based on business goals and customer needs.
Conduct market research and competitive analysis to identify opportunities for product improvement and differentiation.
Monitor and analyze customer behavior, feedback, and satisfaction to identify areas for improvement.
Develop and implement strategies to enhance customer retention through loyalty programs and initiatives.
Optimize the point redemption process to maximize value for customers and the company.
Coordinate with stakeholders to gather requirements, define product specifications, and ensure alignment with business objectives.
Facilitate effective communication and collaboration across departments to address dependencies and resolve any obstacles.
Mandatory belongings that you must prepare:
Passion for a product management role with at least 1 years of experience as a Product manager
A “can do” spirit combined with high energies, drive, and a positive attitude
Good problem-solving skills
Excellent and effective interpersonal and communication skills (written, verbal and listening)
Bachelor’s Degree in Computing Science, Engineering, or related field is a must
In the event that you haven’t received any updates after 3 weeks, your data will be kept and we may contact you for another career destination. Meanwhile, discover more about tiket.com on Instagram, LinkedIn, or YouTube.",,Full-time,Jakarta,https://id.indeed.com/rc/clk?jk=c04fd1ee53c0ac99&bb=PrPMQdnyV03lkmG334Fj7bgWuYgi5s-n-U9ZXRIEnunDZ5ju4iZgQy-zxPAg_sqZT7wCdNAf6YOO1Ut5DWd1LR10AG7usyYqbr_KUZG6PLRRLkXZVqnzIUdmLq2RlhLS&xkcb=SoBF67M38f7ECzgAl70MbzkdCdPP&fccid=86d817bdde43fd0e&vjs=3
Kredivo Group,Technical Program Manager (SDE 3),Active 3 days ago,"We are seeking a highly skilled Technical Program Manager to join our growing team. The ideal candidate will be responsible for leading and managing complex, cross-functional projects that drive the company's strategic goals. This role requires a combination of technical expertise, project management skills, and strong communication abilities to ensure successful project delivery.
Key Responsibilities:
Project Management: Define and implement processes, manage Jira projects, and oversee sprint cycles. Lead grooming sessions, sprint planning, and retrospectives.
Performance Metrics: Publish capacity utilization and performance metrics, including the cost analysis of meetings to minimize redundant gatherings.
Team Coordination: Facilitate coordination between cross-functional teams, including tech and product teams, to ensure seamless collaboration and timely delivery of projects.
Stakeholder Management: Facilitate communication between project teams, stakeholders, and leadership. Regularly identify and highlight blockers and risks, provide continuous updates, and follow up with stakeholders to address any issues or delays.
Conflict Resolution: Resolve conflicts diplomatically, maintaining neutrality between product and tech teams while ensuring effective communication.
Process Improvement: Contribute to the continuous improvement of program management processes and methodologies. Identify opportunities to streamline processes, enhance efficiency, and optimize project outcomes.
Technical Expertise: Leverage technical knowledge to guide project development and solve complex problems.
Qualifications:
Bachelor's degree in Computer Science, Engineering, or a related field; advanced degree preferred.
Proven experience as a Technical Program Manager or in a similar role.
Strong understanding of Agile methodologies and experience with project management tools like Jira.
Excellent communication and interpersonal skills.
Ability to manage multiple projects simultaneously and prioritize effectively.
Strong problem-solving skills and technical acumen.
Demonstrated ability to lead cross-functional teams and resolve conflicts.
Firm yet diplomatic approach to decision-making.
Key Competencies:
Action-oriented mindset
Problem solver
Leadership and influence
Technical expertise
Effective communication
Conflict resolution",,Full-time,Jakarta,https://id.indeed.com/rc/clk?jk=56860955c64cb9db&bb=PrPMQdnyV03lkmG334Fj7RqTGnImT5sa6yTt72tSTJHqbMg5GdduhF2HDtwoZ1Gq8hBEJW_rnO5-q6tZuDT4Xlz7GoPl659eMV05M0Xf5vCd9NCntZ40Cj-uZzenKkkX&xkcb=SoCs67M38f7ECzgAl70DbzkdCdPP&fccid=9b6381bd7b084eeb&vjs=3
Thermo Fisher Scientific,"Sales Manager, IVD",Posted 25 days ago,"Work Schedule
Standard (Mon-Fri)
Environmental Conditions
Office
Job Description
Position Summary:
Outstanding clinical diagnostics business leadership to deliver sales target and to drive bold growth.
Transformational leadership to build an impactful and purposeful team to deliver extraordinary result
Effective partnership with channel partner management to secure market opportunity
Evaluate Go-To-Market model and take charge on required changes to increase market coverage and deepen product penetration
Closely collaborate with regional divisional team to gain share and promote Thermo Fisher brand awareness and presence
Establish engagement with Key Opinion Leaders (KOL) and key accounts to build market influence
Key Responsibilities:
Exceed annual sales and gross profit targets. Strong implementation action plans and intensity to achieve results.
Identify key market opportunities, develop and implement action plans.
Produce high quality sales forecast-accuracy while delivering financial expectations.
Build annual and 5-year strategic plans and complete the plan efficiently to deliver the desired results.
Collaborate with extended team to drive initiatives that is in line with regional and or global strategic direction.
Proficient with KOL (Key Opinion Leader) engagement and customer management especially on key accounts.
Set pricing in collaboration with regional team and ensure this is aligned with company policy.
Establish initiatives to improve our Customer Allegiance Score (CAS). Use SFDC CRM as the primary customer relationship tool to record all opportunities and sales activities.
Analyze competition landscape to implement counter action plan.
Actively supportive in sharing standard process and business strategies with team, management and peers. Continues learning to own a high degree of knowledge of company products and policies.
Coordinate any training requirements to increase competency for the team with marketing and technical support resources.
Minimum Requirements/Qualifications:
Highly self-motivated leader with achievement focus, can-do mindset and strong accountability
10+ years sales experience in IVD industry including 5 years in collaborating with channel partners and 5 years as team leader
Experience in leading key customers to grow share of wallet
Able to put together action plan to improve customer happiness
Proficient with financial planning and analysis
Excellent communicator, both written and verbal and fluent in English
Organized and a strong collaborator, able to work independently and across teams
Proficient in Microsoft Office; Excel, Word and PowerPoint
Proficient in SFDC CRM
Non-Negotiable Pre-requisites:
Collaborate with distributor by having good governance system and lead an engaged and highly committed team
Outstanding performance in meeting financial expectations
Self-leadership: Strong sense of ownership and accountability of the business, self-motivated to drive geographical expansion, curious to grow to build and drive a robust Go-To-Market strategy
A Bachelor's Degree or Masters holder
Thermo Fisher Scientific is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, creed, religion, color, national or ethnic origin, citizenship, sex, sexual orientation, gender identity and expression, genetic information, veteran status, age or disability status.",,Full-time,Indonesia,https://id.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BzZ6fHfExerxdLMf5R-vbYZbYqPc4F61LRaYm3pX04b7iLbFYjEjcVuaFHqO2_-gdcPfLH1aEHhNCZfsMah2Rl2eM85VCikujxA7VUghL4_18MvdVLlLObbc8UtY5rxmRNMlFRJinYd3HJ2Mvgz6bj2EP5DtmTFBAo_kXqVlMgcUvkDiaYPWH-dQlc-1pZ-Yb_MTcdy7e9ZbQ6iGWvyV5-GPs7hz5zbQER3m-rCqo1FoPJ0HaDLoB2Yat_P4U5Ga6WdLNKmHTou7X4sJ0mj6FrsgXqBwmSWIZQ0dBIU1DbaTFpDy6e9fdf4NBRshk9dnEBF5aW1xezitlTiCCAdsUX3cIc1ocItO4yl090oNXu7YzLLnxnZ60iEjb8d5cDUdZEMRp8eJ7OMLpOsJ658B882XqfRaQzdQazX6V-_siCALMTpGC25de8m8_GwtKVR4rMnTQWAslWCYMxrPhbStRXNdpbDGHl-MA7OPWJRbbd8qgcQRiyuxw3s6YNU3kQ9-j-fMr9IAbWMp09whVMQqXXD9s23sxh4nACD_iL6eKPasc7cB6nyzLkObYOXxABfz-TdijR9wTmy1Qkd1zZzBFH3RqAztho32WqgDpxUM_khz6r67sXkkCGBu5C6AKCBj-NLT-Xgqux2NjVJstPJotFEnEXcjsrdubJyF4SLyOMfaqEL8MEHjC6BtHd1MnxjRFhQSi6x2v4bvIbIqG1bf54mywdKWI8aigku79ifB3Z1ThBAL-PRwjgekYN6o_b8FS9kJgHb6o5lXTMmkvSJ1-OEHHaWShRLCPqBwm9M8Nv5rxOOynRUUm-ogYJ4V2fd6SE6DWI5E8S9jrRHVbIsVrCm58td9PM0FwMzQ9tG_yJNDYJ_3XDBSD-BqT7S3C5gMkrs12t2Oyqp5URWcIkxyaKVZNo0IvqafpWdg34ezJp2CwDJeNf2IJ8bC0Ym_-22sVeeqnBDVrkqKYCKwQunLD1xaig3RqQHz1Tw1NopirBQHpjOkGr43UgzB4vgNEPO1uTJNLUd5QWfN1951vX6Li2WoiWiiHO-J-ADEO-lawrET5UqV0U7OwNxefbqdSwWswTR1iyoywE6xhI9VEffb2zmgqfG5XsOLjx4Wanc61dPgMsEPD-nWm3f31Az2xazpUivykwMV2MqGpD7UdVh__i92C26L5NByFZbjzipUIJUwAq5pCGOM8fHhjP9yz_72g9FMMOiSAKDPrjTsOUCQlFxoCiIxTJgPs=&xkcb=SoDs6_M38f7ECzgAl70CbzkdCdPP&camk=nUmJqO2E8ri-MyVWKYQIYA==&p=9&fvj=0&vjs=3
