Company Names,Job Titles,Posted On,Job Details,Images,Type Location,Locations,Link
PUREPROGRESS Logistik GmbH,Website Content Creator and SEO Manager,Active 2 days ago,"Location: Remote
Company: PUREPROGRESS
PUREPROGRESS is a young and international logistics company and customs broker based in Switzerland. We pride ourselves on our innovative approach to logistics, offering comprehensive solutions to meet the diverse needs of our clients worldwide.
We are seeking a creative and detail-oriented Website Content Creator to join our team. The ideal candidate will be responsible for creating engaging, relevant, and high-quality content for our website, tailored to meet our specific requirements. The content creator should have a good understanding of SEO, basic knowledge of WordPress, and a foundational understanding of HTML to ensure content is optimized for both users and search engines. This is a remote position, and the selected candidate will be responsible for the following tasks:
Content Creation: Write, edit, and publish website content, including blog posts, articles, landing pages, and other web content, according to the guidelines and requirements provided.
SEO Optimization: Implement SEO best practices in all written content to improve organic search rankings, including keyword research, meta tags, and internal linking.
Content Management: Use WordPress to create, edit, and manage website content, ensuring consistency in tone, style, and message.
Basic HTML: Utilize basic HTML skills to format content correctly within WordPress, including the use of headers, bullet points, links, and images.
Research: Conduct research on industry-related topics to generate innovative and relevant content ideas.
Collaboration: Work closely with the marketing team to develop content strategies and campaigns that align with company goals.
Proofreading and Editing: Review and edit content to ensure it is free of grammatical errors and adheres to the company’s style guidelines.
Performance Tracking: Monitor and analyze website traffic and user engagement metrics to evaluate the effectiveness of content strategies and make necessary adjustments.
Requirements:
Experience: Proven work experience as a content creator, copywriter, or similar role. Experience with WordPress is essential.
Skills: Basic knowledge of HTML for content formatting. Strong understanding of SEO principles and content optimization.
Writing Ability: Exceptional writing, editing, and proofreading skills with a keen eye for detail.
Technical Skills: Familiarity with WordPress CMS. Basic knowledge of SEO tools (e.g., Google Analytics, SISTRIX, Yoast SEO).
Research Skills: Ability to research and generate content ideas that are relevant and engaging to our target audience.
Time Management: Strong organizational and time-management skills, with the ability to handle multiple projects and meet deadlines.
Communication: Excellent verbal and written communication skills.
Preferred Qualifications:
Bachelor’s degree in English, Journalism, Marketing, Communications, or a related field.
Experience in digital marketing or content marketing.
Familiarity with graphic design tools (e.g., Canva) is a plus.
Knowledge of additional content management systems and plugins.
Previous experience as a freight forwarding and logistics services clerk or in customs brokerage.
Exceptional English skills are mandatory.
Advanced German language skills are highly appreciated and will be considered a significant asset.
What We Offer:
Competitive salary and benefits package.
Flexible working hours with remote work options.
Opportunity to work in a dynamic and collaborative environment.
Professional development opportunities.
In your application, please include your desired monthly salary.
If you meet the qualifications and are interested in joining our dynamic team, please submit your resume and a cover letter highlighting your relevant experience.
Job Types: Full-time, Fresh graduate
Pay: Rp6,000,000 - Rp9,000,000 per month
Education:
SMP (Preferred)
Experience:
content creation: 1 year (Preferred)
logistics: 1 year (Preferred)
Language:
German (Preferred)
English (Preferred)
Expected Start Date: 09/30/2024",,"Full-time,Fresh Graduate",Jakarta,https://id.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ABUGjUXXmPrp37PhypMa5UCeKVhtf2stpSgGcEFF4FeQIeaA3F9LcQleqUQeVMys_A9OigycYQLwDihDGH-UsbM4sqPk8AWDM1VWeactxLvdT1YAXthvXAeHcfN_JUzF0E3K_EK5ZSOKZu_TdxaGcN7pCkcIPzFTqZqQhYmVOjxouiCyxfrjs_5Uh-B6UWINT6DpXlH6_Beu8ZvBdJHrL_rDs46zZcnFrpXmWmeKxrHTunAKBMeRhSPOVSA1uqWBToYW-3DWpftPi7QFgelSKMY9fJR7k4JnT9lKToi0wMzgXcZUG80iD6mAR8aQZ3vXLTCE_VVUNqyDcc9JbTJDwCnNqDnzRnB_jSBAv-m3v4_wVpbqO0ETd1iu2PSlIp1j1pmHCb9fndPcsDzv3wTedscL0UReRx4IvIaqE2c_-pdBlhZTHFAPXTRz5Ux6igwcerlxI8w_IFz5pRgSblkyVgyQXKlmtwinFjR_DnfvTchSOdYMEr4iQD_DVF-6ThZhQeGFEDnPcg5KC-9uVy44bUILSbj96OKG9abVjtvFUv4a3EoGlcGb5rYfeaLE5dtAD545RCAfy2zs7rjtBZEwu7tjLXjp1IzkxdVvClRdaxA2CwMtWCjTYVdjarm2RCLv8=&xkcb=SoCO6_M38fcmevRO4p0LbzkdCdPP&camk=nUmJqO2E8rh5ZoyQKaMsRg==&p=0&fvj=1&vjs=3
Mirai Group Japan株式会社,Part-Time Vue.js Developer Needed for Website Transformation,Just posted,"Part-Time Vue.js Developer Needed for Website Transformation
We're seeking a skilled Vue.js developer to transform our company website from Wix to a custom Vue.js solution. This is a remote, part-time position perfect for developers looking for a flexible side project.
Project Overview:
Rebuild our existing Wix website using Vue.js
Implement a user-friendly content management system
Create a job listing feature with applicant tracking
Develop an easy-to-use blog management system
Ensure the website is multi-language capable
Key Responsibilities:
Develop a responsive, performant Vue.js website
Integrate a headless CMS for easy content management
Create an intuitive job posting and application system
Implement a blog feature with simple content creation tools
Set up multi-language support
Provide ongoing maintenance and support post-launch
Requirements:
Proven experience with Vue.js and its ecosystem
Strong understanding of modern front-end development practices
Experience with headless CMS integration
Familiarity with internationalization in Vue.js applications
Ability to write clean, maintainable code
Strong problem-solving skills and attention to detail
Excellent communication skills in English
Nice-to-have:
Experience with Nuxt.js for server-side rendering
Knowledge of SEO best practices
Familiarity with CI/CD pipelines
Time Commitment:
Initial development phase: 15-20 hours per week (flexible)
Post-launch maintenance: Approximately 4-5 hours per week
Compensation:
Project completion fee: IDR 5,000,000
Monthly maintenance fee: IDR 500,000
Why Join Us:
Flexible, remote work environment
Opportunity to shape a company's online presence
Ideal for developers looking for a side project
Long-term relationship potential
If you're a Vue.js enthusiast looking for an exciting project with flexible hours, we'd love to hear from you! Please apply with your resume, portfolio, and a brief description of why you're interested in this role.
Job Types: Full-time, Contract
Contract length: 12 months
Experience:
vue js: 3 years (Required)",,"Full-time,Contract",Jakarta,https://id.indeed.com/rc/clk?jk=4893c23e99fbae9b&bb=FaGLwdAI4UJSYPjx8UwNjJ_WEs9KoYIQhGc_YMrjF-CAy6rGOyRWK2BbibZiI0G2ElIZ-0-HHtyCsncB_hk6kBI31b7bWE8Vl0g3hHmIGiAlNI5stS-g9Ryfjf_q06TQ&xkcb=SoDO67M38fcmevRO4p0KbzkdCdPP&fccid=dd616958bd9ddc12&cmp=Mirai-Group-Japan%25E6%25A0%25AA%25E5%25BC%258F%25E4%25BC%259A%25E7%25A4%25BE&ti=Web+Developer&vjs=3
NTPL,PHP Web Developer,Active 2 days ago,"Conduct analysis of website and application requirements.
Writing front-end and back-end PHP code
Developing back-end portals with an optimized database.
Develop scalable PHP applications.
Troubleshooting application and code issues.
Integrate with MySQL database
Maintain and debug PHP issues
Candidate should be:
Self driven and able to work independently
Familiar with PHP programming
Familiar with MySQL database
Knowledge of PHP web frameworks including Laravel, and CodeIgniter
Knowledge of front-end technologies including CSS3, JavaScript, and HTML5
Understanding of object-oriented PHP programming.
Proficient with code versioning tools including GitHub
Ability to project manage
Good problem-solving skills
Knowledge of cloud hosting like AWS, Google, etc
Job Types: Full-time, Permanent
Pay: Rp4,000,000 - Rp9,000,000 per month
Application Question(s):
What is your current and expected salary?
Any other IT knowledge and skills? mobile app programming, seo, data analytics, etc.
Experience:
PHP, CSS, Javascript, HTML: 3 years (Preferred)
Language:
English (Preferred)",,"Full-time,Permanent",Jakarta,https://id.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0x6jG8c2XnTaL_KKzVI7qJJg1u7LXU26IgRAjcz4NJUpdU2qcK5WLEsxySYNNEDLwThTJPZ9CyfhWyMB7GvJckgo8Tda1TJlCSXvdpaab346M7GLqQ2yK_YT73Q9-nSAT0hCorojUzRoGCxhkEuLw5Pc5ZpiDTMx2-pZRXApYvlSgUGjogn2ELQcIpIUkKg1OM_wHpifZVZwTClVXxdc2D347iCG0ISLglmi8-BAvel_7dFql6sBZZ7NkvgmURSiYBi_URH1lgrOjzqd6Tv8T0zpIUy1kKVecQ9dKDhVup1R1a5DdC4Ac2AtTUciC1G2ywLVDSn-dCV6C0w6rDf_g0LXJyP_kQpGzb4QFO6trMRHopnqz-Dj8gYd9R5iZ5Cm7Zw7VYlQpFyPd_8oCDEamMYB-jopsTv2rLbnwj9sJUzsqA_hhQ4SgzSZMtmkmf3mPjwdf_VkA3i21jgf0WmTNqSOTpOSdanaQypfH8CzvfA7tLRiFAeZ9vdoYt1pJVddzVsjjK8BwUcZ38sc8RDKYdl9uoRkoju9_TsS7_mMg04kriF12IGWLAkbvc3m_FkAT3AbSP3Z6AR1cfsx1MrY2cBfeMb-e9SkKzQQgEcjybK_ET2Iqbk4e&xkcb=SoCn6_M38fcmevRO4p0JbzkdCdPP&camk=4HOcmqOLYrD57VfYEwIhsw==&p=2&fvj=1&vjs=3
Pictura Digital,Fully Remote Website Designer,Active 3 days ago,"We are seeking a REALLY CREATIVE and EXCITING web designer to join our team. If you have at least 5 years of experience and a proven track record of creating visually stunning modern and user-friendly websites, we want to hear from you!
As a remote worker, you'll have the flexibility to work part-time or full-time from the comfort of your own home
Responsibilities:
Design visually stunning and user-friendly websites using Figma on your Mac
Work with our team to meet client requirements and deadlines
Develop design systems
Detail oriented around typography and layout
Write and speak above average English
Requirements:
At least 5 years of experience in web design
Fluent in English, Apply in English
Experienced in Figma & Photoshop
Include minimum 3 examples of your best website design.
Must be able to design (and show examples) like the following:
https://reflectionsholidays.com.au
https://itac.org.au
https://www.hellofunding.com.au
https://personalitygaragedoors.com.au
https://pools.casquilaprojects.com.au
Remote, flexible working hours, up to 40+ hours per week.
Job Types: Full-time, Part-time
Pay: Rp120,000.00 - Rp280,000.00 per hour
Expected hours: 30 – 45 per week
Application Question(s):
Did you include links to at least 3 of your best projects?
Did you write a cover letter in English?
Experience:
Web Design: 5 years (Required)",,"Full-time,Part-time",Jakarta,https://id.indeed.com/rc/clk?jk=10cdaf697f9059e8&bb=FaGLwdAI4UJSYPjx8UwNjPYyog_qP0kWasTY5j5OoRY3-RRF59PjKV78G5N1aT5fsYJV6grbJMXpXeZVD0lYN954XK8aV9_F3VPVXt2mS9_8ng4vpdHTQZZkaDjkuuZL&xkcb=SoDn67M38fcmevRO4p0IbzkdCdPP&fccid=12cee5ff081cb54b&cmp=Pictura-Creative&ti=Web+Designer&vjs=3
Deloitte,Consultant / Senior Consultant - Deloitte Digital - Frontend Developer - ID/MY,Posted 7 days ago,"Consultant / Senior Consultant - Deloitte Digital - Frontend Developer - ID/MY
Date: 28 Aug 2024
Service Line / Portfolios: Customer & Marketing
Location: Jakarta, ID
Penang, MY
Kuala Lumpur, MY
Are you ready to unleash your potential?
At Deloitte, our purpose is to make an impact that matters for our clients, our people, and the communities we serve.

We believe we have a responsibility to be a force for good, and WorldImpact is our portfolio of initiatives focused on making a tangible impact on society’s biggest challenges and creating a better future. We strive to advise clients on how to deliver purpose-led growth and embed more equitable, inclusive as well as sustainable business practices.

Hence, we seek talented individuals driven to excel and innovate, working together to achieve our shared goals.
We are committed to creating positive work experiences that foster a culture of respect and inclusion, where diverse perspectives are celebrated, and everyone is recognised for their contributions.

Ready to unleash your potential with us? Join the winning team now!

Work you will do
This role is with Deloitte Digital Southeast Asia. Across all clients and sectors, we believe great customer experiences create greater impact. That elevating the human experience creates enduring value, for the organization, for the customer, for society, for all.

You will:

Develop web applications using React JS
Write reusable code and utilize component
Ensure the quality of the code to follow rules and guidelines provided by client
Participate in peer code review on daily basis
Working closely with team member, backend, SA, BA, tester and other team member during development
Participate in meeting or call if any related frontend side is required
Liaise with squad lead for the daily task update

Enough about us, let's talk about you

If you are someone with:
Experience using ReactJS is a must, minimum 1 year
Possess proficiency in JavaScript, ES6, HTML, and CSS
Familiarity with browser testing and debugging
Experience with responsive and adaptive design.
Good analytical and problem-solving skills.
Excellent verbal communication skills.
In-depth understanding of the entire web development process
Able to work independently with minimal supervision while achieving goals
Teamwork and willingness to listen to others
Next Steps
So what are you waiting for? Join the winning team now.

Due to volume of applications, we regret only shortlisted candidates will be notified.

Please note that Deloitte will never reach out to you directly via messaging platforms to offer you employment opportunities or request for money or your personal information. Kindly apply for roles that you are interested in via this official Deloitte website.

Requisition ID: 105226
In Indonesia, the services are provided by Imelda & Rekan and other related entities in Indonesia (""Deloitte in Indonesia""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Indonesia, which is within the Deloitte Network, is the entity that is providing this Website.",,,Jakarta,https://id.indeed.com/rc/clk?jk=c1204eeead5adaeb&bb=FaGLwdAI4UJSYPjx8UwNjDGEeE9Z_DouRUfxSNyxr3VF3oE2xoGPdM17WT96b7_DxMnkD7kyfmAzI2CqyZaPzgWXE3xfElYWc5OWr9dm9eAWmuvlECj2Cw%3D%3D&xkcb=SoBp67M38fcmevRO4p0PbzkdCdPP&fccid=9e215d88a6b33622&vjs=3
PlacidWay,Website Content Uploader and On-Page Optimization Specialist,Active 8 days ago,"About Us:PlacidWay is a dynamic and forward-thinking company specializing in Medical Tourism Industry. We are committed to providing high-quality content and an excellent user experience on our website. We are looking for a skilled individual to join our team as a Website Content Uploader and On-Page Optimization Specialist.
Responsibilities:
Content Uploading:
Upload and manage content on our website using various content management systems (CMS) and editors.
Ensure all content is accurately formatted and displays correctly on the website.
Regularly update website content to keep it fresh and relevant.
Page Design:
Design and arrange web pages to ensure an appealing and user-friendly layout.
Utilize design tools such as Canva to create and edit images and graphics for the website.
Ensure consistency in style, fonts, images, and tone across the website.
On-Page Optimization:
Optimize website content for search engines using best on-page SEO practices.
Conduct keyword research and implement SEO strategies to improve page rankings.
Optimize meta tags, headers, URLs, and other elements to enhance search engine visibility.
Monitor and analyze website performance using tools like Google Analytics and make data-driven adjustments to improve site performance.
Collaboration and Communication:
Collaborate with content creators, graphic designers, and marketing teams to ensure cohesive content and design.
Communicate effectively with team members to manage workflow and meet deadlines.
Requirements:
A degree in Marketing, Communications, Web Design, or a related field is preferred but not required. Relevant work experience will also be considered.
Proven experience in uploading and managing website content using various CMS platforms (e.g., WordPress, Joomla, Drupal).
Proficiency in design tools such as Canva or similar for creating and editing images.
Strong understanding of on-page SEO best practices and techniques.
Familiarity with HTML/CSS is a plus.
Excellent attention to detail and organizational skills.
Ability to work independently and as part of a team.
Strong communication and interpersonal skills.
Job Type: Full-time
Application Question(s):
How frequently have you updated website content in your previous roles to keep it fresh and relevant?
What experience do you have with designing and arranging web pages to create an appealing and user-friendly layout?
What are your strategies for optimizing website content for search engines? Can you give an example of a successful SEO project you have worked on?
Please provide a link to your portfolio or examples of previous work relevant to this position.
Experience:
Data Entry on Webpages: 1 year (Preferred)
Language:
English (Required)",,Full-time,Yogyakarta,https://id.indeed.com/rc/clk?jk=d7a36602f28691a5&bb=FaGLwdAI4UJSYPjx8UwNjHgPh4PdWm8J73xhWx2Itf3aMxWXyAZ4Bg-XsDbMjCVbspxMZYBqt2sf4XUV3KjJTBrd49ks3n2e-ZaJJdJYEkzdvas08ulCum7BMKNQiNm8&xkcb=SoDd67M38fcmevRO4p0ObzkdCdPP&fccid=2e80ee33a3f4fd6b&cmp=Placidway&ti=Page&vjs=3
eigital,Web Developer (Mid-level | Remote),Active 2 days ago,"100% Remote
WHAT DO WE SEEK
We are seeking a WordPress Developer responsible for both back-end and front-end development, including creating WordPress themes and plugins. The candidate should have a strong understanding of industry trends and content management systems. Experience with responsive and adaptive design is strongly preferred. Also, an understanding of the entire web development process, including design, development, and deployment is preferred.
SKILLS AND QUALIFICATIONS
Minimum 3+ years of experience.
Front-end development with HTML 5, CSS & jQuery
WordPress template development
WordPress back-end customization and extension
Managing and Building WIX Sites
Expert knowledge of WordPress (Plugin/theme development / API), PHP, HTML, JavaScript, and CSS
Strong experience building HTML/CSS across the major browsers and minimizing load times
Identifying areas that can be improved and turning that into functionality from start to finish
Experience building mobile-optimized / responsive sites with Touch screen optimization, Retina / High-DPI optimization, and Small-screen optimized navigation
GOOD TO HAVE
PHP, Ajax, and MySQL knowledge
Adobe Photoshop and Illustrator
Integrating WordPress with other web-based applications
Documenting jobs from start to finish
Experience with XML and modern source control (Git)
Knowledge of SEO and SEM
Experience working with tools & libraries like JQuery, CSS grids, HTML5 Boilerplate, WordPress starter themes such as Bones, Modernizer, and Third-party APIs
Experience designing user interfaces (UI) that feature Interactive elements, Animated elements, and Design principles such as white space, simplicity, chunking, proximity, weight, context, Visual cues, signposts, focus, and conventions
KEY RESPONSIBILITIES
Manage all aspects of Website development, Management, SEO, and SEM
A PLUS IF YOU HAVE
Start-up experience (we love entrepreneurs!)
Experience in working virtually and with a virtual team
WORKING ENVIRONMENT
Full-time work schedule
Fully remote position
We require all remote Team members to use timedoctor(time and task tracking software) on their machine. Please read more about the same and confirm that you are comfortable with it before applying for a position.
ABOUT eigital
As an accelerated startup under the umbrella of ideaTree, eigital helps global brands anticipate and navigate change in the Internet and Mobile space. We do more than envision the future; we help build it. Digital is no more about a great website, social presence or app but an omnichannel platform for brands and businesses to approach the audience holistically.
Job Type: Full-time
Experience:
WIX: 3 years (Required)",,Full-time,Jakarta,https://id.indeed.com/rc/clk?jk=f66c9a29f1e54fb2&bb=FaGLwdAI4UJSYPjx8UwNjFOT-zamxt4d3_otNjqej0MyfahS-72ieB7y89bfwBjitoonlffQUgTNUYxpX3B-0F56qkcrJGqnpynrCLlCo8b3iivdED8J87THBVswNhDU&xkcb=SoBA67M38fcmevRO4p0NbzkdCdPP&fccid=5f0f671b1dfdee8d&cmp=eigital&ti=Web+Developer&vjs=3
Quadcode,Python Full-Stack Developer/Qt Python Developer,Posted 30+ days ago,"About the Team

We are Quadcode, a fintech company excelling in financial brokerage activities and delivering advanced financial products to our global clientele. Our flagship product, an internal trading platform, is offered as a Software-as-a-Service (SaaS) solution to other brokers.

We are looking for a talented Python Full-stack Developer/Qt Python Developer with experience in creating complex, beautiful, and user-friendly interfaces for our new AI project.

This project involves developing tools for creating desktop/mobile applications and websites using the latest neural networks. You will be developing the IDE of the future, designed to significantly speed up development and maximize convenience. The interface allows for creating not only code but also graphics, sounds, and videos. It will generate applications for various frontend frameworks across different platforms, allowing you to work with all of them and actively participate in creating the logic of its operation.

To create truly user-friendly and beautiful interfaces, we use Python and PySide6.

This is a startup project within a stable company, where everything is just beginning. You will have the opportunity to become one of the first developers in our rapidly growing and strong technical team, growing alongside the project and developing in modern AI technologies.

Our ideal candidate is familiar with Qt, PyQt, or PySide6, as well as modern frontend tools, capable of independently creating complex full-cycle interfaces (from idea to implementation and subsequent optimization/support), quickly mastering new technologies, and being ready for changing project requirements.
Tasks
Develop full-cycle developer user interfaces;
Use Python and PySide6 (Qt) to develop interfaces;
Be ready to use additional frontend technologies as the project evolves;
Propose ideas for project development.
Requirements
3+ years of experience in developing complex interfaces;
Interest in UI development and AI;
If you are a Frontend Developer with extensive experience in interface development using various modern frameworks (React, Vue, Angular, etc.), we expect 1+ years of experience in Python and readiness to master PySide6;
If you are an experienced Python Developer, we expect 3+ years of experience with Qt and readiness to master new frontend tools;
Fluent in Russian, and English B1.
Nice to have
Experience with PySide6;
Knowledge of modern AI tools;
Having a portfolio of interfaces created using any technology stack.
We offer
Full-time remote work as an External Vendor or Service Provider in the following countries: Bulgaria, Georgia, Belarus, Hungary, Romania, Latvia, Lithuania, Moldova, Azerbaijan, Armenia, Kyrgyzstan, Greece, Croatia, Montenegro, Serbia, Russia, Kazakhstan, Estonia, and other locations.
Competitive remuneration;
Professional courses;
Friendly, enjoyable, and positive environment.
Currently, over 700 employees and service providers are stationed across its seven global offices located in the UK, Gibraltar, the UAE, the Bahamas, Australia, and the headquarters in Cyprus. By broadening its international presence, Quadcode presents a myriad of intriguing tasks and challenges for professionals like developers, market research analysts, and PR marketing specialists, among others.

Join us today, and let's shape the future of fintech together!

Note: All applications will be treated with strict confidence. We thank all applicants for their interest, however, only those candidates selected for interviews will be contacted.

#LI-JM1",,Full-time,Indonesia,https://id.indeed.com/rc/clk?jk=76b299c10d7a8685&bb=FaGLwdAI4UJSYPjx8UwNjNA4cofToH-ov3huV0g6Eab-GDQn-LNCh0P7rr67OYJihM3EoD-5sHZT6XUCwAjrQdQhHUaGylWD1WK0sLyg3_hw9uuwtnV_U8GdV802lcn4&xkcb=SoD067M38fcmevRO4p0MbzkdCdPP&fccid=3b3c8550106877b6&vjs=3
Bali.Love,Financial Controller at Intanah Pte. Ltd.,Posted 13 days ago,"Position: Financial Controller
Location: Bali, Indonesia
Company: Intanah Pte Ltd
Website: intanah.com
Reports to: CFO/CEO
Type: Full-Time
About Us:

Intanah Pte Ltd is one of the world’s most exciting resort development and management companies, focusing on creating exceptional resorts across Southeast Asia. We are committed to delivering unparalleled luxury experiences and sustainable developments that harmonize with the natural environment.

We are seeking a detail-oriented and experienced Financial Controller to join our resort management team. The ideal candidate will be responsible for overseeing the financial operations of the resort, ensuring accuracy and compliance with financial regulations, and providing strategic financial guidance to support the resort's overall business goals.

Key Responsibilities:

Financial Reporting: Prepare and present accurate and timely financial statements, including balance sheets, income statements, cash flow reports, and variance analysis.

Budget Management: Develop, monitor, and manage the resort’s annual budget, including forecasting and variance analysis to ensure financial targets are met.

Internal Controls: Establish and enforce robust internal control procedures to safeguard assets, mitigate financial risks, and ensure compliance with corporate policies and legal requirements.

Cost Management: Monitor and control operating expenses, conduct cost-benefit analyses, and recommend cost-saving measures to improve profitability.

Audit Coordination: Coordinate internal and external audits, ensuring compliance with financial regulations and corporate governance standards.

Financial Planning: Provide financial insights and strategic recommendations to the management team, supporting long-term financial planning and decision-making.

Team Leadership: Supervise and mentor the finance team, ensuring efficient and effective financial operations, including payroll, accounts payable/receivable, and general ledger maintenance.

Cash Flow Management: Monitor cash flow, optimize working capital, and manage relationships with banks and financial institutions to ensure adequate liquidity.

Tax Compliance: Oversee tax planning, compliance, and reporting, ensuring timely and accurate filing of all tax returns.

Financial Systems: Oversee the implementation and maintenance of financial systems and software to improve financial reporting and operational efficiency.

Vendor and Contract Management: Review and negotiate contracts with vendors and suppliers, ensuring favorable terms and cost-effectiveness.

Apply Now:

If you are ready to take on this exciting challenge and make a significant impact on our company’s success, please send your resume and cover letter to this job ads or email to susan@intanah.com.

Join us in creating extraordinary resort experiences and shaping the future of hospitality!

Requirements

Qualifications:

Bachelor’s degree in Accounting, Finance, or a related field; CPA or equivalent certification preferred.

Minimum of 5-7 years of experience in financial management, preferably in the hospitality or resort industry.

Strong knowledge of accounting principles, financial reporting, budgeting, and internal controls.

Proficiency in financial management software (e.g., QuickBooks, SAP, Oracle) and advanced Excel skills.

Excellent analytical, problem-solving, and decision-making abilities.

Strong communication and interpersonal skills, with the ability to collaborate effectively with various departments.

Ability to work under pressure and meet tight deadlines in a fast-paced environment.

High level of integrity, professionalism, and attention to detail.

Benefits
Benefits:

Competitive salary and performance-based bonuses.

Opportunities for professional development and career advancement.

Bachelor’s degree in Accounting, Finance, or a related field; CPA or equivalent certification preferred.",,,Denpasar,https://id.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CPhxYmQbBjNtWfqJrJoJ1llCGa_KGkBHa8MJGkqWXUbM45KIuIIDBrQxUgwuHhGdhMqh8afRVgaL2KVjMOqlD5AEJ1Y417jOIKi8K0k4DSFNtc0xYz9XBGClQPyMN2qy14yUWDcWI4iOyJapaAF_lx4CLTAt6H9A2KCsQ_KC7nFavGWDFIdHPR-2wbcEWvGqqEjpK1vcCfHOe7jOq-L8h8TTZo2CLOV7uHqsVtXgEIsJVJEX-cqqk_Sw-tER_iIDnAqeAG3fjIaFynUHTlYVbSV9PeVFUVDobFnMxPWkMQhn11VbbV-Oi0heeqfc6va4a1ViOrckaiIkqD-rdIFlH5a5pYdxm9bKKFXyLaWRIzAZi9jFAxdKVVmLct-t3EUV22prrg_g_X_OJMOQI8FAjaGrp_Sop9RmZfut3_9YbeOLeuO7AqXqRtya36oP_yd678T8Pl6hgRp1NW80KDdW6arUw9S1QuPEyfB_sbkyLdAX84dRrtwvlrmTzOwu8gDb06GfsIjBas9JDd67k2hGcUOh3-fm-F6bKeLLQGHoxw64eL0DS3giIeHex_mvodBelrsh4jNoIb4f8V99_NyG2yCppiiV3FSZgpyHe_0-tI1KfdSrWYzRHle_WVlInr-e-Fd-3agxlx6IR838lw-Khooe4qACaCPdVdki8tjsjlGVNiVlGvsB4zMGJpxS-2pOJMCOcLOQk25QMv9D7bmiwn_uDfJ2IF5d5rJEMAbIDsBg==&xkcb=SoDp6_M38fcmevRO4p0DbzkdCdPP&camk=nUmJqO2E8rhazGvC7bjYCw==&p=8&fvj=0&vjs=3
SoftwareSeni,Software Developer Training Program (SPARC) - PHP,Posted 8 days ago,"SoftwareSeni is a Software Development Company based in Yogyakarta & Sydney, Australia. We have been designing and developing phone apps, websites, and mobile experiences. We love solving tough problems – from user experience to design and code.
We build enterprise web-based solutions for clients all over the world, from Australia, Indonesia, Europe, Africa, and America. Our clients from Indonesia: Astra International, Traveloka, Angkasa Pura, Peduli Anak Foundation. Our clients from Australia: Bike Exchange, Downsizing, Red Balloon, Sectara, and many more.

This Software Developer Training Program is a full-time training program for 3 months.

Requirements:
Follow the training program in Softwareseni's Office in Yogyakarta, Indonesia
Has passion and/or high curiosity in Coding / Software Development
Has a High School degree, Vocational School Degree from any major
Fresh graduates with a Diploma or bachelor's degree from any majors are also welcome to apply
Pass the Technical Tests and Interviews from our Technology Team
Able to work in a team
Able to communicate thoughts and ideas in a clear manner
Not engaged in any internship/school/university program
Has a good grasp of English, both written and spoken

Nice to have:
Have a good understanding of Object-Oriented PHP
Have experience using Laravel PHP framework, SQL, and Javascript in projects",,,Yogyakarta,https://id.indeed.com/rc/clk?jk=ced2d0a8cbddb650&bb=FaGLwdAI4UJSYPjx8UwNjAjymcpujAmj7HSLzPHEs03hVY1bEO9_7G0O2D82HinYW9d56YfrDI0BweARvfcYQ02IdByzbjvVCX5wJYnV0BoK2v4XRQD0qEsrJeRZoB1d&xkcb=SoCp67M38fcmevRO4p0CbzkdCdPP&fccid=26dc9f9565815d4e&vjs=3
