Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations,Link
Logicalis Asia Pacific,Pre Sales / Business Analyst,Reposted 1 week ago,"Why choose iZeno?

iZeno was founded in 2003 to provide enterprises with custom-built technology solutions they need to keep their business running seamlessly. Logicalis Asia, part of the Logicalis Group, a leading international IT solutions and managed services provider, has acquired a majority stake in iZeno, a company specialising in digital transformation, application modernisation, DevOps, customer experience and hybrid cloud solutions.

With a team of 120+ in-house innovators, we have delivered over 500 Enterprise Solutions, implemented, and optimized to enable smarter insights. Our team draws on industry experiences in accomplishing a portfolio of mission-critical applications, integrating Cloud, CRM, Data Analytics, and other leading technologies with our clients' existing IT frameworks.

With leading presence in the region, headquartered in Singapore and operation in Malaysia, Indonesia, Thailand and Philippines, no project is too complex for us, and our team is always ready for a new challenge. 

Job Responsibilities

Manage projects and customer expectation
Manage Services Consultants for each project engagement
Managing timeline and project deliverables
Manage communication with customer
Project Documentation and sign off
Project budget, process and allocation

Other broad area includes:

Managing multiple different project sprint and deliverables
Using tools such as JIRA and Confluence
Providing project report and billing milestone
Provides consulting expertise in using tools to manage the project and reporting
Configures project management tools, plans and executes acceptance testing
Managing project report both internally and externally

Job Requirements

Minimum Bachelor’s Degree or Diploma in a relevant course
Strong communication skills with ability to consult clients & colleagues
Good analytical and problem-solving skills
Work effectively in a fast-paced implementation environment
Candidates with more experience will be considered for a Senior role.","Acceptance Testing, Analytical Skills, Business Analysis, Business Requirements, Communication, Defining Requirements, Problem Solving, Project Documentation, Project Management, and User Acceptance Testing",https://media.licdn.com/dms/image/v2/D560BAQHsdumSvmnbGQ/company-logo_100_100/company-logo_100_100/0/1688541605950/logicalis_asia_logo?e=1733356800&v=beta&t=N7aQlxA3sXQGuFBfmEGqe3QLEn4dTI2wfHv5T1VVx4o,"Hybrid,Full-time,Entry,level","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3648658601/?alternateChannel=search&refId=5N5wxmmX1XnQCBtJhZ6ZPw%3D%3D&trackingId=K%2FCHPW%2Blo7PFmo4uHKrIeA%3D%3D&trk=d_flagship3_search_srp_jobs
Gear Inc.,Workforce Management Analyst (Data Analyst),10 hours ago,"Gear Inc is an American owned and operated business process outsourcing company operating in Southeast Asia. Matchbox Mobile - Gear Inc provides industry leading Image Moderation, Social Media Management, IT Consulting, Application Development, Game Development, and Outsourcing Services. We are experts in moderating online user generated content.

For more information, please visit our websites: https://www.gearinc.com/ and https://puremoderation.com/

Responsibilities
Plan, create, and implement schedules based on trends.
Monitor real-time performance and manage intra-day staffing levels.
Analyze workforce data and forecast staffing requirements.
Develop and implement strategies to optimize workforce productivity.
Collaborate with other departments to ensure service delivery and efficient resource allocation.

Qualifications
Proven experience in workforce management, preferably in a BPO environment.
Data-driven, with strong analytical and problem-solving skills.
Proficiency in workforce management software and tools.
Excellent communication and organizational skills.
Ability to work independently and within a team environment.

Benefit:
Attractive basic salary
Allowance (attendance, transportation)
Mental Health Care service (on site Psychologist and mental health application)
BPJS Kesehatan
BPJS Ketenagakerjaan
Private Health Insurance
Paid leave (12 days/year)
Monthly fantastic internal events

Working Environment
Regular working hours, we work 40 hours per week (Monday-Friday)
International, fun, and English professional working environment
Working closely with experienced foreign experts
Free drinks (coffee, tea, etc.)
Training and career development opportunities
Sport activities and game room for everyone.

Working Hours: 8 hours per day.

Working Location: Jalan Imam Bonjol Nomor 502, Desa Pemecutan Klod, Kecamatan Denpasar Barat, Kota Denpasar, Propinsi Bali, 80119","Analytical Skills, Communication, Data Analytics, Forecasting, Management Software, Moderating, Spreadsheets, Strategy Implementation, Workforce Analytics, and Workforce Management",https://media.licdn.com/dms/image/v2/D560BAQHSHT67v_ttfw/company-logo_100_100/company-logo_100_100/0/1709275799929/gearincglobal_logo?e=1733356800&v=beta&t=wJGUyUfMSxJeYYuOUEJZUhHTOgAEtdqx41McSj2j1io,"On-site,Contract,Associate","Bali, Indonesia",https://www.linkedin.com/jobs/view/4017158212/?alternateChannel=search&refId=5N5wxmmX1XnQCBtJhZ6ZPw%3D%3D&trackingId=YPGZiRmVb6fqP59Qx9FJPg%3D%3D&trk=d_flagship3_search_srp_jobs
Traveloka,Senior Data Analyst (Marketing Analytics),Reposted 1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Collect, analyze, and share data to help business teams drive improvement in key business metrics, and business results.
Identify the business need and generate hypothesis based on business need to design & run various experiments
Create dashboards and data pipelines to monitor metrics to measure business performance
Work closely with the marketing team to define the metrics to measure the success of campaigns & achieve the goals
Provide data driven recommendations to improve the channel & campaign performance
Implement tracking to measure the performance of campaigns from various channels using GA4, Amplitude & Content Square 
Perform causal analysis to evaluate the effectiveness of various marketing initiatives
Drive adoption of new measurement techniques like MMM & MTA 



Requirements

3+ years of Data analytics experience with big data exposure and SQL
Experience using one or more Python and/or R programming languages 
Experience with statistical analysis and data mining
Experience with AB tests is a plus
Experience in BigQuery, Tableau & dbt 
Knowledge of performance marketing domain will be an advantage



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytics, Big Data, Data Analytics, Data Mining, Data Science, Google BigQuery, Pattern Recognition, R (Programming Language), SQL, and Statistical Analysis",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,"On-site,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3909114927/?alternateChannel=search&refId=5N5wxmmX1XnQCBtJhZ6ZPw%3D%3D&trackingId=uJH0VLCbIUzjWMt%2Fnzs%2FhA%3D%3D&trk=d_flagship3_search_srp_jobs
IBM,SAP Analytics Cloud (SAC) Solution Consultant,Reposted 2 weeks ago,"Introduction

As a Package Consultant at IBM, get ready to tackle numerous mission-critical company directives. Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using various tools. You will use a mix of consultative skills, business knowledge, and technical expertise to effectively integrate packaged technology into our clients' business environment and achieve business results.

Your Role and Responsibilities

As a Consultant you will serve as a client-facing practitioner who will sells, leads and implements expert services utilizing the breadth of IBM's offerings and technologies. A successful consultant is regarded by clients as a trusted business advisor who collaborates to provide innovative solutions used to solve the most challenging business problems.

Your Primary Responsibilities Include


Lead the technical design and implementation of SAP solutions for simplicity, amplification, and maintainability.
Manage the data and visualize them into BI based on Cloud platform
Work from strategy development to solution implementation using your knowledge of SAP and working with the latest technologies.
Partner with a cross-functional global team to ensure customer success in an agile environment.


Required Technical and Professional Expertise


At least 3 years of experience in the area of SAP Advanced Analytics and associated modules.
Has experience managing end-to-end full cycle implementations (from blue printing, realization, go live to production support) of S/4HANA Greenfield / Migration projects in complex landscape will be preferable.


Preferred Technical And Professional Expertise

As above.

About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","Amplification, Analytics, Business Process, Maintainability, SAP FI, SAP Products, SAP Sales & Distribution, SAP Solutions, Statutory Accounting Principles (SAP), and Technical Design",https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1733356800&v=beta&t=qi5RHAWZxR59YK5AoZWojdDbXEeeoFLTe74ylwjWdRg,"Remote,Full-time",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3967407058/?alternateChannel=search&refId=5N5wxmmX1XnQCBtJhZ6ZPw%3D%3D&trackingId=MRu8LhU9L3ywHSuMurrt8A%3D%3D&trk=d_flagship3_search_srp_jobs
Traveloka,Data Analyst (Consumer Lending - Risk),Reposted 1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!



Job Description

Traveloka is a Southeast Asian tech unicorn with core businesses in travel and financial services. Currently we are rapidly expanding in the region. At Consumer Lending, we focus on providing our customers with a responsible and convenient form of credit. Offering financial services to underbanked populations provides the opportunity for tremendous innovation, and requires balancing risk that does not exist in other domains.

As a Data Analyst (DA) in the consumer lending group, we need you to be proactive in thinking about the needs of our customers and the business, and work closely with business stakeholders to ensure we grow a sustainable lending business. DAs are critical roles within our business and you know that you can make the greatest impact by gaining in-depth and comprehensive business domain knowledge, and judiciously applying your analytical talents to the domain.

In turn, we’ll provide you with a mature analytics environment to work in. Reproducibility and full version control is a default in our systems so that you can easily learn from your teammates and build on foundations that have already been developed. Our collaborative team will ensure that you’re more productive than you’ve ever been in a few short months.

Our techstack: BigQuery, dbt, Python, Github, Looker Studio, Tableau, Google Cloud Build

Main Responsibilities

Become a thinking partner to PayLater stakeholders. Understand the PayLater product, customer and market environment. Be able to analyze how changes in any of these will affect various metrics, and come up with new metrics to guide the business.
Develop dashboards not just for monitoring, but to produce actionable insights that decision makers can use to steer the business.
Work with the business to answer tactical questions, often via our experiments platform, that will affect the development of product features. 
Work with the business to answer strategic questions that will affect the long-term goals of the business.
Develop ETL pipelines within a robust framework that is highly automated and does not require a large team to maintain and monitor.
Understand when speed is more important than accuracy in arriving at an analytical result for the business to make a decision.
Enable our key stakeholders to improve their understanding and analytical power.



Requirements

3+ years of analytics experience in an industry setting with at least a Bachelor degree in quantitative field.
Curious and hungry to learn, take ownership of your own journey, having bias for action and impact oriented. 
Strong in data manipulation and inferential statistics with Python and SQL
Strong in communication, presentation, and storytelling to deliver data-inspired findings to both technical and non-technical audiences
Comfortable working with open-ended questions and potentially ambiguous problem statements
Prior experience in conducting statistical experimentation or A/B testing is a plus.
Existing business domain knowledge in consumer lending/BNPL/credit risk is preferred



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytics, Communication, Dashboards, Data Analytics, Data Manipulation, Extract, Transform, Load (ETL), Google BigQuery, Presentations, Problem Solving, and Statistical Inference",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,"On-site,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3909115863/?alternateChannel=search&refId=5N5wxmmX1XnQCBtJhZ6ZPw%3D%3D&trackingId=bmU5XI63%2FyAFO9iGWsvSpQ%3D%3D&trk=d_flagship3_search_srp_jobs
Asian Agri,Senior Officer Business Intelligence Analyst,Reposted 1 day ago,"Grow your career with us

You are on a journey to join an exciting Company and be part of our success story to improve lives by developing resources sustainably. Here we offer you an exciting and dynamic work environment and will equip you with the know-how that will stretch and enhance your career journey.

Role Summary:

Managing projects for the organization, including keeping track of project progress and ensuring activities' completion.

Responsibilities:

Join Our Team as a Business Intelligence Analyst**

Are you passionate about leveraging data to drive business insights? Do you thrive in a dynamic environment where you can contribute both independently and collaboratively to solve complex problems? If so, we want you to be a part of our team!

Role Overview:**

As a Business Intelligence Analyst, you will play a crucial role in extracting, analyzing, and interpreting data to provide actionable insights that inform strategic decision-making. Working closely with cross-functional teams, you will utilize your technical expertise in Python and SQL to develop robust analytical solutions and drive business outcomes.

You're a Perfect Fit If:

Key Responsibilities:**
Collaborate with stakeholders to understand business requirements and translate them into data-driven solutions. 
Develop and maintain data pipelines, ensuring data accuracy, reliability, and integrity. 
Dive deep into data using statistical methods and BI tools to uncover hidden patterns and trends. 
Communicate your findings in a clear, compelling way to empower stakeholders to make informed decisions. 
Identify opportunities to optimize processes and drive continuous improvement through data analysis. 
Requirements:**
Minimum of 3 years of hands-on experience in Business Intelligence/Data Analytics. 
Passion for data and problem-solving, with excellent attention to detail. 
Agile, growth-oriented mindset, with the ability to adapt to a rapidly changing environment. 
Curiosity and purpose-driven attitude, with a focus on seeking opportunities and driving innovation. 
Thrives in a collaborative environment while also being comfortable working independently. 
Possesses an agile, growth-oriented mindset with a passion for lifelong learning. 
Strong technical skills in Python and SQL, with the ability to write efficient queries and scripts. 
Degree in a STEM-related discipline (e.g., Actuarial Science, Statistics, Computer Science, Analytics). 
Other Requirements:**
Up to 50% travel may be required, mainly regional Sumatra island area. 

Requirements:

To be successful in this role, it is recommended that you should have the following skills and qualifications:

 A degree in the related job field. 
 Those with 1 to 2 years of working exposure or experience in a similar role will have an advantage but not essential. 
 Willing to relocate to the job location. 

When you send us your resume and personal details, it is deemed you have provided your consent to us retaining your information in our talent recruitment database. All information provided will only be used for the recruitment process. RGE will only collect, use, process or disclose personal information where and when allowed to under applicable laws.

Only shortlisted candidates will be contacted for an interview. We endeavour to respond to every applicant. However, if you do not receive a response from us within 60 days, please consider your application for this position unsuccessful. We may contact you in the future for any opportunities that match your qualifications and experience.

Thank you for considering a career with RGE.","Analytics, Attention to Detail, Business Requirements, Communication, Data Analytics, Growth-Oriented, Interpersonal Communication, Problem Solving, Project Management, and Teamwork",https://media.licdn.com/dms/image/v2/C4D0BAQGfIm82hOo7Tw/company-logo_100_100/company-logo_100_100/0/1631326468807?e=1733356800&v=beta&t=TnV9krnLfjq-XQOVARsoIY1wWxElE1F-gFpfNoc-E-c,"Hybrid,Full-time","Medan, North Sumatra, Indonesia",https://www.linkedin.com/jobs/view/3945333910/?alternateChannel=search&refId=5N5wxmmX1XnQCBtJhZ6ZPw%3D%3D&trackingId=b5MwvIDvfh8Ls%2BV7pfFJNg%3D%3D&trk=d_flagship3_search_srp_jobs
SQE (S-Quantum Engine),Senior Data Analyst (Pipeline),1 day ago,"Roles & Responsibilities:
Gather data from primary and secondary sources, ensuring the upkeep of databases and data systems.
Detect, examine, and decode trends or patterns within intricate datasets by analyzing large amounts of information
Employ statistical techniques to scrutinize data and produce actionable business insights.
Develop data dashboards, charts, and visual presentations to support decision-making across departments.
Engage with managers from various departments to specify data requirements for analysis projects tailored to their unique business processes.
Collaborating with engineers and programmers, to determine areas of improvement in relation to data and understand business requirements
Developing prescriptive, diagnostic, descriptive, and/or predictive-based analytics with machine learning algorithms
Using AI and machine learning tools to select features, create and optimize classifiers

Skills and Qualifications
A bachelor's degree in Computer Science, Information Management, Statistics, or a comparable discipline is required, with prior experience in data analysis or a related field being advantageous.
At least having 4+ years of relevant experience for mid-level and 8+ years for senior-level.
Possess a solid foundation in statistics, practical experience with statistical software (such as Excel, SPSS, SAS), and mastery in data analysis languages including SQL, Python, SAS, and R.
Adapt learning with AI & Machine Learning
Exhibit exceptional analytical abilities to compile, structure, examine, and present substantial data sets with precision and thoroughness.
Demonstrate superior communication and presentation capabilities, adept at simplifying complex data insights for audiences without a technical background.
A deep understanding of the industry and business operations is a plus.","Analytical Skills, Applied Mathematics, Data Analysis, Data Analytics, Mathematics Education, SQL, and Visualization",https://media.licdn.com/dms/image/v2/C560BAQFybnDwDr7gtA/company-logo_100_100/company-logo_100_100/0/1678280269520/journeywithsqe_logo?e=1733356800&v=beta&t=ggRzgdiiJBhxvdlnMU8stbn25UsW4JG5qN0UUKfnNlI,"Hybrid,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4013933868/?alternateChannel=search&refId=5N5wxmmX1XnQCBtJhZ6ZPw%3D%3D&trackingId=d%2BVt5Ur4zqgR1X1u0roc5Q%3D%3D&trk=d_flagship3_search_srp_jobs
Traveloka,Senior Data Analyst (Marketing Analytics),Reposted 1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Collect, analyze, and share data to help business teams drive improvement in key business metrics, customer experience, and business results.
Analyze large amounts of raw information to find patterns that will help improve the company’s performance and support the company to make better decisions.
Analysis data to find actionable insights such as making funnel conversion analysis, cohort analysis, long-term trends, user segmentation, etc.
Quantitative and/or qualitative analysis to enable data-driven decision-making support for the key project and develop advance analytics models to solve business needs
Identify the business need and generate hypothesis based on business need to design & run experiments
Create dashboards and data pipelines to monitor metrics to measure business performance



Requirements

3+ years of Data analytics experience with big data exposure and SQL
Experience using one or more Python and/or R programming languages 
Experience with statistical analysis and data mining
Experience with AB tests is a plus
Experience in BigQuery, Tableau & dbt 
Knowledge of performance marketing domain will be an advantage



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytics, Big Data, Data Analytics, Data Mining, Data Science, Google BigQuery, Pattern Recognition, R (Programming Language), SQL, and Statistical Analysis",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,"On-site,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3909115854/?alternateChannel=search&refId=LWv1QRdjZ0cDIJIpweDWGw%3D%3D&trackingId=tsYdwb2aRLrfbyXt%2FYR10A%3D%3D&trk=d_flagship3_search_srp_jobs
Traveloka,Data Analyst,4 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!
Job Description
Database: design, test, and collaborate with relevant parties (e.g Product Eng., Data Eng.) to enable, extract, or enrich data/data pipeline.
Reporting: design, build, and disseminate dashboards or other self-served data products to enable stakeholders get quick business performance, conduct data exploration, or derive quick insights.
Experimentation: design, analyze, and disseminate experiments or causal-impact studies to test multiple hypotheses, variants, or initiatives and infer the best result(s) based on relevant success metrics.
Analysis: design, perform, and disseminate descriptive or diagnostic analyses with valuable findings and actionable insights to better understand the business.
Modeling: design, develop, and collaborate with relevant parties (e.g Product Eng., ML/AI Eng., Data Sci.) to deploy supervised or unsupervised models as per business needs to optimize business performance.
Our techstack: BigQuery, dbt, Python, Github, Google Looker Studio, Tableau
Requirements
Passionate in data, analysis, or insights with high curiosity and skepticism.
Good communication, presentation, and storytelling skills to deliver data-inspired findings.
3+ years of data role experience (analyst, scientist, or engineer).
3+ years of hands-on experience with SQL, spreadsheet, and R/Python.
3+ years of dashboarding experience with BI or dataviz tools (Tableau, Looker Studio, Domo etc.).
Prior experience in conducting statistical experimentation or A/B testing is a plus.
Prior experience in developing unsupervised/supervised models is a plus.
Prior experience in working on cloud platforms (GCP, AWS, Azure, etc.) is a plus.
Bachelor/Master's degree majoring in Statistics, Mathematics, Physics, Computers/Informatics, Engineering, or Economics is a plus.

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",Data Analysis,https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,"On-site,Full-time,Associate","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3992295629/?alternateChannel=search&refId=LWv1QRdjZ0cDIJIpweDWGw%3D%3D&trackingId=Iy8wPoSr4DjSADkyeacCgg%3D%3D&trk=d_flagship3_search_srp_jobs
Traveloka,Data Analyst,Reposted 2 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Understand our payment journey from booking until paid
Strong business sense on how partnership can boost a company's financial
Develop dashboards not just for monitoring, but to produce actionable insights that decision-makers can use to steer the business.
Work with other product and data teams to provide data context for cross-functional initiatives. 
Work with the business to answer tactical questions that will affect the development of product features. 
Develop ETL pipelines within a robust framework that is highly automated and does not require a large team to maintain and monitor
Enable our key stakeholders to improve their understanding and analytical power
Experimentation with our partnership tool (e.g. coupon) to achieve optimum revenue.



Requirements

4+ Years of working experience with at least a Bachelor's degree in a quantitative field. 
You must be curious and hungry to learn, take ownership of your journey, have a bias for action and be impact-oriented. 
Strong foundations in data manipulation and inferential statistics with Python and SQL.
You are being meticulous towards details, and have empathy for your stakeholders and peers. 
Strong in communications with both non-technical and technical audiences. 
Comfortable working with open-ended questions and potentially ambiguous problem statements.
Existing business domain knowledge in partnership and promotion is preferred but not required



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Communication, Data Analytics, Data Manipulation, Data Modeling, Data Visualization, Databases, Problem Solving, Statistical Inference, and Statistics",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,"On-site,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3987507231/?alternateChannel=search&refId=LWv1QRdjZ0cDIJIpweDWGw%3D%3D&trackingId=%2Fke%2FutW96ePq2WN6JdcoGQ%3D%3D&trk=d_flagship3_search_srp_jobs
