Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations,Link
Lancesoft Indonesia,Java Software Engineer,Reposted 2 weeks ago,"Currently we're looking for Java Developer position!

Job Details:
- Have working experiences dan strong knowledge in Java Spring Boot.
- Minimal 2 years experience as Java Developer.
- Have working experiences and solid understanding in developing backend microservices based on Rest API and gRPC.
- Have working experiences and solid understanding in developing backend microservices integrated with SQL database (Oracle, posqresSQL) and NoSQL database (Monggo DB) and data caching (redis).
- Creative problem-solving skills.
- Good analytical & logical thinking.
- Familiar working with Git.","Java, PostgreSQL, and Spring Boot",https://media.licdn.com/dms/image/v2/D560BAQFuozay5Kozog/company-logo_100_100/company-logo_100_100/0/1713216265128/lancesoft_indonesia_logo?e=1733356800&v=beta&t=FrKYdJ8kr2iS2w184oSRVq_0dDdxVIvYa1zD4vM6J1g,"On-site,Contract,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3994803468/?alternateChannel=search&refId=WEOjUnAJVtR7nzqSmDBHaw%3D%3D&trackingId=U%2FdCQZgTGJznkz2inoC66Q%3D%3D&trk=d_flagship3_search_srp_jobs
VLink Inc,iOS Developer,3 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,"Hybrid,Contract,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4000970453/?alternateChannel=search&refId=WEOjUnAJVtR7nzqSmDBHaw%3D%3D&trackingId=9xVsnlFSix1VibYBMlMXyQ%3D%3D&trk=d_flagship3_search_srp_jobs
DT Global,Full-Stack Engineer Specialist Sistem Informasi Gampong – SIGAP,6 days ago,"Job Brief

Location Banda Aceh, Indonesia

 Ad Title 

Full-Stack Engineer Specialist Sistem Informasi Gampong – SIGAP

 Program Background 

The SKALA Program is a significant Australian investment designed to help Indonesia address regional disparities in development. SKALA will contribute to this objective by strengthening selected elements of Indonesia's large and complex decentralised government system responsible for the delivery of basic services (Layanan Dasar). The SKALA Program's core approach is to facilitate better collaboration (Kolaborasi) between Indonesian government stakeholders, at national and subnational levels, to help realise synergies (Sinergi) that will trigger improved service delivery. Moreover, SKALA will build on, and take to scale, the successes and learning from Australia's previous 19 years of support to Indonesia's decentralised government system. The SKALA Program is to be implemented through the following three pillars:

 Pillar 1: Stronger national level enabling environment for sub-national service delivery
 Pillar 2: Better sub-national governance for service delivery
 Pillar 3: Greater participation, representation and influence for women, people with disabilities and vulnerable groups


SKALA is implemented at the national level with an office in Jakarta and at the subnational level with offices in Aceh, Nusa Tenggara Barat, Nusa Tenggara Timur, Maluku, Gorontalo, Kalimantan Utara (Kaltara), Tanah Papua. In addition to the 3 pillars, SKALA works across 4 general themes of Public Financial Management, Minimum Service Standards, Data and Analysis and Gender Equality, Disability and Social Inclusion (GEDSI).

About DT Global

DT Global is shaping a future where sustainable development and innovation empower individuals, communities, and nations. We work in partnership with local stakeholders to foster inclusive prosperity, social equity, and environmental stewardship. Our global team of 2,500 staff and experts work in over 90 countries to solve complex problems in the peacebuilding, governance, economic development, environment, and human development sectors. With a track record of technical excellence and more than 60 years of international development experience and relationships, we deliver innovative solutions that transform lives.

For more information, please see www.dt-global.com

 The Role 

Specialist Full-Stack Engineers will provide their skills and expertise to the Aceh government to build or develop the Sistem Informasi Gampong - SIGAP platform.

Click on the link or copy paste it to access the full Terms of Reference for this position:

https://tinyurl.com/2sc2rntd

About You

 Specific Responsibilities 

Based on general guidelines from Lead Aceh, this position will be under the coordination and supervision of the Provincial Engagement Specialist (PES) and responsible to Lead Aceh, for the following matters:

 Build a database management system, including database schema design, query optimization, and data recovery.
 Integrate between systems at regional or central level.
 Ensure application security by implementing security practices such as encryption, authentication, and access control.
 Identify and resolve technical problems with the application
 Collaborate with other technical team members and other stakeholders to ensure project alignment and success.
 Design and develop user interface (UI) and front-end elements, including the use of languages such as HTML, CSS, and JavaScript.
 Build user interface elements that respond to user actions, such as input forms and interactive interactions.
 Integrate front-end and back-end components.
 Optimize the appearance and performance of applications on the client side (front-end), including managing images and other assets.


 Other Duties: 

 Comply with DFAT, DT Global and SKALA policies on gender, disability, fraud and anticorruption, child protection, PSEAH and the environment. 
 Ensure compliance and adherence to various operational policies, guidelines and manuals issued by DT Global and SKALA. 
 Proactively identify and report risks and manage risks within your level of accountability. 
 Undertake other duties as required by the Program. 


 Deliverables 

 Sistem Informasi Gampong – SIGAP version 2.0 platform
 Increasing the technical capacity of Sistem Informasi Gampong - SIGAP trainers


Job Requirements

 Work environment involves only infrequent exposure to disagreeable elements and minor physical exertion and/or strain.
 Work may require long, and flexible hours as needed. Travel is based on need.


 Relationship Management 

This position will work closely and effectively with a range of stakeholders, including all other Program staff, the DT Global corporate team and other external service providers.

Selection Criteria

Essential

 Bachelor's degree in informatics engineering and preferably a master's degree with a minimum of 15 years of experience assisting local governments in data platform development
 Experienced in providing support for program implementation that focuses on the use of information technology
 Well experienced with using the PHP programming language (CodeIgniter or Laravel framework) or ReactJS/NextJS and version control
 Strong knowledge of information technology policy and current information technology developments
 Strong skills in setting up or developing data platforms at regional level
 Demonstrate the ability to carry out capacity development and share knowledge for the Government of Indonesia and Regional Governments as well as SKALA program staff;
 Strong interpersonal skills, ability to maintain working relationships with key stakeholders in government
 Understanding of gender equality and social inclusion issues.


 Remuneration 

Successful Indonesian nationals will be engaged under a national contract in IDR and will be subject to Indonesian employment regulations and tax obligations.

How To Apply

Click the 'Apply Now' button.

 Please submit 

 Your CV
 A cover letter addressing the essential selection criteria (maximum 2 pages)


 APPLICATIONS CLOSE – 12 th September 2024, 5 PM Jakarta time. 

 Should this role be of interest, we encourage you to apply as soon as possible.Kindly note only shortlisted applicants will be contacted. 

DT Global is committed to child protection and safeguarding the welfare of children in the delivery of our international development programs. We are committed to Safety and the Prevention of Sexual Abuse and Harassment (PSEAH), and bribery prevention. DT Global is an equal opportunity employer and we encourage women, men, people with diverse backgrounds and people living with disabilities to apply. This program is funded by the Australian Government and Managed by DT Global.","Back-End Web Development, Cascading Style Sheets (CSS), Database Management System (DBMS), Front-End Development, HTML, Interpersonal Skills, JavaScript, Laravel, PES, and Query Optimization",https://media.licdn.com/dms/image/v2/C4E0BAQERA9e-DHTZww/company-logo_100_100/company-logo_100_100/0/1630600713339/dt_global_logo?e=1733356800&v=beta&t=6ToEcopf1tvc8OQYo2ZzQCxnTLf9e1h20EEZ4CS7TLo,"On-site,Full-time,Mid-Senior,level","Banda Aceh, Aceh, Indonesia",https://www.linkedin.com/jobs/view/4011098101/?alternateChannel=search&refId=WEOjUnAJVtR7nzqSmDBHaw%3D%3D&trackingId=uv6lfnOMSbx0FiM7P%2Fgqxg%3D%3D&trk=d_flagship3_search_srp_jobs
Crypto.com,(Senior) Mobile Developer - iOS,Reposted 2 weeks ago,"About the role:

As part of the team you will focus on developing best-in-class iOS applications using our modern tech stack. Our apps are written purely in Swift and architected using MVVM-C. We heavily rely on RxSwift/Combine, so any experience in reactive programming is considered a plus.

The difference you will make:

Collaborate closely with members of tech & product in a cross-functional feature team to develop innovative features for a large global user base.
Analyse product requirements and designs provided by product owners, providing valuable feedback based on your expertise in iOS development.
Deliver high-quality, modularised, and scalable code that is maintainable and testable within reasonable timelines.
Engage in regular sync-ups with not only your feature team, but also the entire iOS team, ensuring that your ideas and insights are heard and valued.

Your expertise:

Minimum of 2 years of full-time iOS development experience (no upper limit)
Proficiency in Swift, UIKit and a solid understanding of iOS development best practices.
Familiarity with MVVM architecture (experience with SnapKit and RxSwift/Combine is highly desirable)
Experience in writing unit tests and snapshot/UI tests
Proficiency in Git and familiarity with branching models such as Git-flow, Trunk Based Development, etc.
Strong problem-solving skills and a passion for continuous learning.
Excellent communication and collaboration abilities.
A focus on producing high-quality code and exceptional user experiences.
Candidates with more experience will be considered as senior developer.

If you are a motivated and talented iOS developer who thrives in a collaborative environment, we would love to hear from you.

Join our team and contribute to building cutting-edge mobile applications that make a difference.

Please include examples of your work or links to your portfolio with your application.

Life @  Crypto.com

Empowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.

Transformational and proactive working environment. Elevate employees to find thoughtful and innovative solutions.

Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.

Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.

One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.

Are you ready to kickstart your future with us? 

Benefits

Competitive salary

Medical insurance package with extended coverage to dependents

Attractive annual leave entitlement including: birthday, work anniversary

Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-up

Aspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.

Work Perks: crypto.com visa card provided upon joining

Our Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.

About  Crypto.com :

Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.

Learn more at https://crypto.com .

Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.

Personal data provided by applicants will be used for recruitment purposes only.","Mobile Application Development, Model-view-viewmodel (MVVM), Problem Solving, Product Requirements, Swift (Programming Language), UIKit, Unit Testing, User Interface Design, iOS, and iOS Development",https://media.licdn.com/dms/image/v2/D560BAQHIpxFJoR_AxA/company-logo_100_100/company-logo_100_100/0/1723706217039/cryptocom_logo?e=1733356800&v=beta&t=DSMk3mI99ZgU_a_P8ehk3HmY2dc5-HrPq1yAE2qvlrg,"Hybrid,Full-time,Mid-Senior,level","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3948313099/?alternateChannel=search&refId=WEOjUnAJVtR7nzqSmDBHaw%3D%3D&trackingId=sOM5Txo5BoErO6ICpOAFgg%3D%3D&trk=d_flagship3_search_srp_jobs
Airwallex,"Staff Fullstack Engineer, Lending",Reposted 1 week ago,"About Airwallex

Airwallex is the only unified payments and financial platform for global businesses. Powered by our unique combination of proprietary infrastructure and software, we empower over 100,000 businesses worldwide – including Brex, Rippling, Navan, Qantas, SHEIN and many more – with fully integrated solutions to manage everything from business accounts, payments, spend management and treasury, to embedded finance at a global scale.

Proudly founded in Melbourne, we have a team of over 1,500 of the brightest and most innovative people in tech located across more than 20 offices across the globe. Valued at US$5.6 billion and backed by world-leading investors including Sequoia, Lone Pine, Greenoaks, DST Global, Salesforce Ventures and Mastercard, Airwallex is leading the charge in building the global payments and financial platform of the future. If you're ready to do the most ambitious work of your career, join us.

About The Team

Airwallex is establishing a state-of-the-art lending platform and building a suite of related credit products which include customer facing credit cards.

The Staff Fullstack Engineer is a high-impact, high-ownership role working on the leading edge of our lending product suite to launch and scale up our capability into new markets. The Lending engineering & product team is based in Singapore and has full global ownership. This role requires close collaboration with the local team to lead the evolution and innovation of our exciting new credit suite.

Join Airwallex and become an integral part of a team that is redefining the boundaries of financial innovation. Airwallex offers a dynamic and inclusive work environment where you can cultivate your knowledge, foster personal growth, and realize your full potential.

What You’ll Do

Your contributions will directly impact the success of our products and make a lasting mark on the industry. Seize this opportunity to join our dynamic team and become a part of our journey to create extraordinary technology that empowers users worldwide!

This role is based in Singapore.

Responsibilities

Lead the design, implementation & delivery across our lending product suite initially focused on launching and scaling up our credit cards product into new markets.
Collaborate with a talented team of engineers to conduct architectural reviews, ensuring the highest quality and scalability of our solutions.
Own the technical strategy spanning the evolution of our micro frontend, GraphQL & backend platform services.
Partner with the broader lending team to optimize our processes for productivity & quality.

Who You Are

We're looking for people who meet the minimum qualifications for this role. The preferred qualifications are great to have, but are not mandatory.

Minimum Qualifications

6+ years of experience in modern engineering practices focused on continuous integration and quality engineering.
2+ years of staff experience mentoring a community of engineers and leading the definition and execution of some engineering strategy.
A passion for building delightful customer-facing products.
Deep expertise in modern frontend architecture, React, TypeScript / JavaScript and experience working on high-volume distributed systems.
Strong computer science fundamentals - solid understanding of OOP concepts.
Commitment to producing high-quality, well-tested solutions.
Cloud experience with GCP (preferred) or AWS (EC2, RDS, ELB, CloudFront, etc.) with Docker and Kubernetes.
Familiarity with operational tooling such as Splunk, Grafana, and Prometheus.

Preferred Qualifications

Experience with Java and Kotlin for development.
Prior experience in the lending or financial technology industry.

#bangkok, #hongkong, #jakarta, #shanghai, #singapore, #sydney, #taipei, #tokyo

Equal opportunity

Airwallex is proud to be an equal opportunity employer. We value diversity and anyone seeking employment at Airwallex is considered based on merit, qualifications, competence and talent. We don’t regard color, religion, race, national origin, sexual orientation, ancestry, citizenship, sex, marital or family status, disability, gender, or any other legally protected status when making our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.

Airwallex does not accept unsolicited resumes from search firms/recruiters. Airwallex will not pay any fees to search firms/recruiters if a candidate is submitted by a search firm/recruiter unless an agreement has been entered into with respect to specific open position(s). Search firms/recruiters submitting resumes to Airwallex on an unsolicited basis shall be deemed to accept this condition, regardless of any other provision to the contrary.","Back-End Web Development, Computer Science, Continuous Integration (CI), Full-Stack Development, GraphQL, Kotlin, Lending, Object-Oriented Programming (OOP), Quality Engineering, and TypeScript",https://media.licdn.com/dms/image/v2/C560BAQE0x1xIVWaQgw/company-logo_100_100/company-logo_100_100/0/1630593999400/airwallex_logo?e=1733356800&v=beta&t=MEN9eOout0FmV0lzhr15WoAH7JVpVNq8PxL6cSceGaE,"Hybrid,Full-time,Mid-Senior,level","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3994135788/?alternateChannel=search&refId=WEOjUnAJVtR7nzqSmDBHaw%3D%3D&trackingId=9F7OC2E0ogesFILyXyEmBw%3D%3D&trk=d_flagship3_search_srp_jobs
ZTE Corporation,Data Center HSE Engineer,2 weeks ago,"Job Requirements & Description:
Experience Min 2years
Develop HSE Program and Objective
Monitoring and Identify regulation for HSE aspect 
Develop matrix training HSE
Conduct training for vendor at project area and staff for corporate about HSE
Identify hazard and risk assessment for high-risk activity at project area
Monitoring all vendor at project and operation area to ensure there is no accident
Drill for HSE aspect such as fire, and first aid incident
Conduct monthly report for HSE aspect to management
Give HSE Induction
Develop Procedure and Work Instruction for HSE aspect
Monitor hazardous waste disposal
Monitor and evaluate about usage of electricity that can generate 
Monitor and evaluate usage of water for data center area 
Maintenance all Fire extinguisher at Data Center area
Maintenance all SCBA at Data Center area
Identify issue external and internal related with HSE for all project
Collaborating with other departments, related to the implementation of the HSE work program.
Develop HSE work instructions that are appropriate to the work carried out 
Attending monthly meeting with project team and director project to give advice for improvement in HSE aspect",Data Centers and Health and Safety Executive (HSE),https://media.licdn.com/dms/image/v2/C4E0BAQEO0sDfPp97WQ/company-logo_100_100/company-logo_100_100/0/1631313156150?e=1733356800&v=beta&t=VHuGVkxjcN262Ey4rNlJ9Y2k9242Bv8AZ3SC8up6q_Q,"On-site,Contract,Associate","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4004290685/?alternateChannel=search&refId=WEOjUnAJVtR7nzqSmDBHaw%3D%3D&trackingId=VcFx%2Fl6xJW6p0HzKF6e6WA%3D%3D&trk=d_flagship3_search_srp_jobs
ViBiCloud,Cloud Engineer,4 weeks ago,"Qualifications
Min. Bachelor Degree from IT/Information System/any major related.
Experienced min. 2-5 years as DevOps / Cloud Engineer.
Strong knowledge in Microsoft, AWS, HIT Cloud Technology.
Able to operate power platform & data AI
English is a must

Responsibilities
Doing implementation and ensure the deployment and configuration based on work order and timeline.
Collect evidence for all work order.
Troubleshooting during deployment if needed.
Create technical documentation during implementation for BAST and manage service needs.
Engage with customer if needed to ensure all customer requirements are listed in the work order.","Amazon Web Services (AWS), Cloud Computing, Data AI, DevOps, English, Evidence, Software Development, Technical Documentation, Test Automation, and Troubleshooting",https://media.licdn.com/dms/image/v2/C560BAQGwMTyASibWiQ/company-logo_100_100/company-logo_100_100/0/1630660543136/vibicloud_logo?e=1733356800&v=beta&t=YeufsuyxdrkPrWPN5wSAxSDaXTyK_rvVMmGUB4pYXzA,"On-site,Full-time,Associate","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3995215969/?alternateChannel=search&refId=WEOjUnAJVtR7nzqSmDBHaw%3D%3D&trackingId=zglOFerGy09OJeOT2PzLDw%3D%3D&trk=d_flagship3_search_srp_jobs
IBM,SAP ABAP Developer (Fiori),Reposted 5 days ago,"Introduction

As an IBM SAP ABAP Developer, you directly help clients transform their business and solve complex problems. You will define the scope and vision for projects that deliver customized solutions using your knowledge of IBM platforms. You are a technical leader, serving as a liaison among business partners, technical resources, and project stakeholders.

Your Role and Responsibilities

This opportunity is for an individual who has solid experiences working within the SAP environment, preferably as a team lead, most preferably in complex multicloud client. The successful candidate must have strong experience in design, implementation and support of SAP.

Required Professional And Technical Expertise


At least 3 years’ experience in projects involving different SAP modules in a large organization and be aware of the challenges faced by different teams in coming up with an integrated enterprise wide solution.
Has experience as SAP HANA ABAP Consultant.
Has experience in SAP full project lifecycle.


Required Technical and Professional Expertise

As above.

Preferred Technical And Professional Expertise

As above.

About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","ABAP, BAPI, OData, OOABAP, SAP Fiori, SAP HANA, SAP Products, SAPScript, Smartforms, and Statutory Accounting Principles (SAP)",https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1733356800&v=beta&t=qi5RHAWZxR59YK5AoZWojdDbXEeeoFLTe74ylwjWdRg,"Hybrid,Full-time",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3939289173/?alternateChannel=search&refId=MYE6krUpaZhWrtIR62Yyiw%3D%3D&trackingId=nZel%2B15kCr3vZCs%2BtwxPvg%3D%3D&trk=d_flagship3_search_srp_jobs
Wolkk.,SAP Fiori Developer,2 weeks ago,"Wolkk is seeking a skilled SAP Fiori Developer to join our team. In this role, you will be responsible for developing and enhancing SAP Fiori applications to improve user experience and drive business processes. You will collaborate with cross-functional teams to design, build, and deploy SAP Fiori solutions that align with business objectives.

Key Responsibilities:
Develop and customize SAP Fiori applications based on client requirements.
Work closely with SAP functional consultants to understand business processes and translate them into Fiori apps.
Enhance and maintain existing Fiori applications, ensuring optimal performance and usability.
Integrate SAP Fiori apps with other SAP modules such as S/4HANA, SAP Gateway, and SAP Business Suite.
Implement SAPUI5 controls, OData services, and manage backend connectivity.
Design and develop user interfaces that are intuitive, responsive, and aligned with the latest UX/UI standards.
Participate in the full software development lifecycle, including requirements gathering, design, development, testing, and deployment.
Collaborate with the technical and functional teams to troubleshoot and resolve issues related to SAP Fiori applications.
Stay updated with the latest SAP technologies and best practices in Fiori development.

Must-Have Qualifications:
Proven experience as an SAP Fiori Developer with a strong portfolio of developed applications.
Proficiency in SAPUI5, JavaScript, HTML5, CSS3, and other web development technologies.
Strong expertise in JavaScript and TypeScript.
Extensive experience with Node.js.
Proficiency in developing and handling APIs.
Experience with SAP Gateway, OData services, and backend SAP systems.
Familiarity with SAP S/4HANA and other SAP modules.
Strong understanding of user experience (UX) design principles and UI development.
Ability to work independently as well as in a collaborative team environment.
Excellent problem-solving skills and attention to detail.
Strong communication skills, both verbal and written.
Bachelor’s degree in Computer Science, Information Technology, or a related field.

Nice to Have:
Experience with SAP Cloud Platform (SCP) and SAP Business Technology Platform (BTP).
Knowledge of agile development methodologies.
SAP Fiori certification or relevant SAP certifications.

What We Offer:
Competitive salary and benefits.
A dynamic and supportive work environment.
Opportunities for professional growth and development.
The chance to work on cutting-edge technologies and projects.

Our Values:
Trust and Respect
Thirst for Learning
Agile and Flexible
Quality Driven

About Wolkk:
Wolkk is an offshore outsourcing company dedicated to connecting international clients with top talent in Indonesia. Our mission is to enable young professionals in Indonesia to learn and grow by working with international clients. We help clients recruit and manage their employees in Indonesia, fostering an environment where talent can thrive and businesses can achieve their goals. Join us at Wolkk and be part of a dynamic team that bridges global opportunities with local expertise.","Cascading Style Sheets (CSS), HTML5, JavaScript, Node.js, SAP Fiori, and TypeScript",https://media.licdn.com/dms/image/v2/C4E0BAQFmgs_Lxjx9Iw/company-logo_100_100/company-logo_100_100/0/1658812499917?e=1733356800&v=beta&t=sC7WaF63NlcdFTJbgxB3_FGGM1KDsM9ktyU0STS67ow,"Remote,Full-time,Mid-Senior,level",Indonesia,https://www.linkedin.com/jobs/view/4006582555/?alternateChannel=search&refId=MYE6krUpaZhWrtIR62Yyiw%3D%3D&trackingId=KFFHZ8eKR3ZYa0gzWQnhvQ%3D%3D&trk=d_flagship3_search_srp_jobs
Aplikas Servis Pesona,System Security Engineer,1 week ago,"Qualification :

Candidates must possess a Bachelor’s degree in Engineering (Computer/Telecommunication) or a related field.
Minimum of 3 years of experience in Server Operating Systems (Windows Server & Linux) at the administration level.
Experience as an L2 Support Engineer for clients.
Proficient in managing and configuring File Integrity Solutions.
Proficient in hardening applications and operating systems, including Windows Server and Linux.
Knowledge of OS file systems and application file systems with a security-focused approach.
Familiarity with network security protocols and technologies.
Strong analytical and problem-solving skills.
Detail-oriented and organized, with a proactive approach to security.

Job description : 
Analyze, troubleshoot, and correct system security problems and provide recommended solutions.
Develop technical solutions and new security tools to help mitigate security vulnerabilities and automate repeatable tasks.
Write comprehensive reports including assessment-based findings, outcomes, and propositions for further system security enhancement.
Stay up to date with the latest security technology and trends.
Work under the direction of the Team Leader.
Collaborate with sales, product management, engineering, and other departments on security-related items and any other duties as assigned by the firm.","Analytical Skills, Application Security, Linux, Operating Systems, Security Protocols, Vulnerability Management, Windows, and Windows Server",https://media.licdn.com/dms/image/v2/C510BAQHoOhrmcompIQ/company-logo_100_100/company-logo_100_100/0/1630633877284?e=1733356800&v=beta&t=kbC1zAy9YwZy_rO2UBApQzj2elZyTpEaLdhE0AVEoK4,"On-site,Full-time,Mid-Senior,level","South Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4011304518/?alternateChannel=search&refId=MYE6krUpaZhWrtIR62Yyiw%3D%3D&trackingId=3YcrP%2F64Zdnghe46esObVA%3D%3D&trk=d_flagship3_search_srp_jobs
