Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations,Link
ATI Business Group,DevOps & Data Services Lead,3 weeks ago,"Your Main Objective
As the DevOps & Data Services Lead in the IT Division, you will ensure seamless integration, deployment, and management of company data and applications infrastructure. You are expected to combine your technical expertise for the day-to-day operations with a strategic mindset to drive data-driven business decision-making.

Your Main Responsibilities
You will effectively lead a small team of experts to deliver the following capabilities and must able to jump into action as and when required:
DevOps Management: Lead the design, management and implementation of CI/CD pipelines, oversee configuration management, automation and orchestration tools, ensure application deployment reliability, integrate secure DevOps practices with the development team
Database Administration: Lead the maintenance and optimization of database systems, manage database security, backups and recovery while ensuring high availability, data integrity and performance
Business Intelligence: Develop and maintain BI solutions to support data-driven decision-making, oversee the ETL processes, design and implement data visualization
Manage the team to collaborate with cross-functional teams
Stay updated on industry trends and emerging technologies
Ensure compliance with relevant regulations, especially in the areas of data protection

Qualifications
Excellent communication, collaboration skills and fluency in English
Bachelor’s degree in Computer Science, Information Technology, Data Science, or a related field
5+ years overall IT experience, vast majority in data services and devops
3+ years proven experience in a leadership or senior role within DevOps, DBA and BI functions
Strong knowledge of data warehousing concepts and technologies, data integration techniques, ETL processes
Strong technical knowledge of database systems, CI/CD pipelines, and BI tools
Experience with cloud platforms (e.g., AWS, Azure, Google Cloud) and containerization (e.g., Docker, Kubernetes)

Be Part of ATI Journey:
Our aim at ATI Business Group in working with our Clients is to support their continued growth by providing cost-effective technology and talented & scalable people resources on demand. ATI’s singular focus on providing services to the travel and hospitality business communities across the globe has been a remarkably successful one. Since commencing in 2002 we now have over 900 employees providing services to our clients across the globe.","Amazon Web Services (AWS), Business Intelligence (BI), Cloud Storage, Containerization, Data Services, Data Warehousing, Database Security, DevOps, Extract, Transform, Load (ETL), Microsoft Power BI, and PostgreSQL",https://media.licdn.com/dms/image/v2/C560BAQFiYSlyRLOlVQ/company-logo_100_100/company-logo_100_100/0/1630641886048/ati_business_group_logo?e=1733356800&v=beta&t=jZTyix-hGlNFH14lZ7lK5vyrNkXcM5ybZ2SKows_y70,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3997070166/?alternateChannel=search&refId=YMITgR5dljXOPwNM55DDNQ%3D%3D&trackingId=p2lIaXfFR2hOOSaD6F%2BEMg%3D%3D&trk=d_flagship3_search_srp_jobs
VLink Inc,Business Analyst,2 weeks ago,"Minimum Qualifications and Experience

At least 2 years of experience in Business / System Analyst work or equivalent
Bachelor's degree preferably in Information Technology or Information System
Has experience in banking/insurance/finance is a must (Have experience in financial services Industry, and good knowledge in IFRS 17 and PSAK24)
Experienced in complex business process analysis & mapping by using various kind of diagram such as Use Case, Flowchart, Sequence Diagram, etc.
Familiar with Unified Modeling Language (UML) & query SQL
Familiar with SDLC, Object Oriented Design Patterns
Having knowledge in business intelligence would be an advantage
The ability to influence stakeholders and work closely with them to determine acceptable solutions
Excellent planning, organizational, and time management skills
Excellent documentation skills
Willing to Work from Office in Jakarta Area

Job Description

Analyzing business structures, systems and processes, as well as reviewing references and other related supporting documents
Responsible for project management in Data Management: a. Planning, Organizing, and Managing Projects b. Ensuring the project runs according to the timeline, coordinating with related teams,
Provide proposed solutions to improve the performance of a business process
Prioritizing initiatives based on business needs and requirements.
Establishing communication and providing support to other work units in order to achieve effective cross-division cooperation
Perform ad-hoc tasks requested by the supervisor
Coordinate internal resources and third parties/vendors for the execution of projects, report and escalate as needed.

PS: 3 months contract available (possibility for extension)","Business Requirements, International Financial Reporting Standards (IFRS), Software Development Life Cycle (SDLC), and Unified Modeling Language (UML)",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,"On-site,Contract,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4004150716/?alternateChannel=search&refId=YMITgR5dljXOPwNM55DDNQ%3D%3D&trackingId=%2FQYqI4y2D%2BkGahxLFvr74w%3D%3D&trk=d_flagship3_search_srp_jobs
Hyatt Regency,Gerente – com detalhes pessoais,Reposted 5 days ago,"Organization- Hyatt Regency Yogyakarta

Resumo

Qualificações","Business Strategy, Epitome, Marketing, Research Skills, Sales Management, Team Building, Team Leadership, Team Management, Teamwork, and Training",https://media.licdn.com/dms/image/v2/D560BAQHxxxt3xp9aqw/company-logo_100_100/company-logo_100_100/0/1696278108013?e=1733356800&v=beta&t=demzEVZabzFeFsnYtDsqvPy0o6mZwBxm2fqnqPmmS7U,"On-site,Full-time,Mid-Senior,level",Greater Yogyakarta,https://www.linkedin.com/jobs/view/3925662641/?alternateChannel=search&refId=YMITgR5dljXOPwNM55DDNQ%3D%3D&trackingId=ovVydNPa5eRTXTHXAF1t1w%3D%3D&trk=d_flagship3_search_srp_jobs
ZTE Corporation,Smartphone Regional Sales Manager,1 week ago,"Employment: Outsourcing
Workbase:
Pekanbaru (1)

Job Description:
Responsible for sales growth in region, include both modern and traditional dealers.
Build sales strategy match according to assigned region market.
Analyze daily inventory level, sell through progress and coverage and sell out achievement.
Daily briefing, monitor, and responsible for review the product achievement and promotor productivity
Manage allocation to all key dealers, open new channel.
Market intelligent about competitor activity, hot issue about dealers, market situation.
Weekly review to all products performance and report to director for any problem, solution and support needed.
Sales forecast (allocation, gap to target, program execution)

Requirements:
Bachelors or diploma degree from any major
1-3 years of experience in mobile phone sales field (from Chinesebrand would be preferred e.g. Infinix, Vivo, Oppo, Xiaomi)
Good communication skills in English
Have data analysis and sales management ability
Energetic person, can work both in group as well as individual","Analytical Skills, Communication, Data Analysis, English, Phone Manner, Problem Solving, Sales, Sales Growth, Sales Management, and Sales Strategy",https://media.licdn.com/dms/image/v2/C4E0BAQEO0sDfPp97WQ/company-logo_100_100/company-logo_100_100/0/1631313156150?e=1733356800&v=beta&t=VHuGVkxjcN262Ey4rNlJ9Y2k9242Bv8AZ3SC8up6q_Q,"On-site,Contract,Mid-Senior,level","Pekanbaru, Riau, Indonesia",https://www.linkedin.com/jobs/view/4008084194/?alternateChannel=search&refId=YMITgR5dljXOPwNM55DDNQ%3D%3D&trackingId=rOeKiYwgiPDCa2dnQvivXQ%3D%3D&trk=d_flagship3_search_srp_jobs
SoftwareOne,Cloud Solution Architect- AWS,3 weeks ago,"Develop Enterprise Cloud solutions, lead delivery teams in customer workshop, coordinate with multiple stakeholders in client hierarchy to engage, understand and articulate requirements to create solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure and platform solutions.
 As a cloud architect, you will engage with clients to define and design the cloud technology architecture and solution architecture. You will also define application and IT Architecture focusing on the mapping of Business requirement’s to IT Capabilities and align the same.

The focus is to define the integrations between, Applications, Data and Technology in the Enterprise and the Transitional Process necessary for migration and modernizing to cloud based architecture that includes APIs, microservices and containers.

You will keep yourself updated with latest technology trends and architectural styles and suggests leveraging of modern digital technologies to cater to business needs. Recognized as an Expert In their technology and architecture field. You will guide cloud objectives and technologies.
Job Requirements 
Key Responsibilities :
Define end to end Enterprise and Cloud based Architecture catering to client needs and requirements
Analyze Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and risks to propose cloud roadmap, solution architecture and associated TCO
Develop and implement cloud architecture solutions based on AWS and knowledge of AWS , GCP or IBM Cloud is added advantage when assigned to work on delivery projects.
Analyze client requirements, propose for overall Application modernization, migrations and green field implementations and should be able to execute those projects as technical consultant
Experience in implementing and deploying a DevOps based, end to end cloud application
Lead teams for a discovery and architecture workshop, influence client architects, and IT personnel
Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements.
Deliver an optimized infrastructure services design leveraging public, private, and hybrid Cloud architectures and services 
Act as subject matter and implementation expert for the client as related to technical architecture and implementation of proposed solution using Cloud Services
Implement Solution using AWS Cloud Services, open source and other 3rd party technologies
Create and develop process frameworks, documents, SOP’s, cook book, automation scripts/tools for Cloud Discovery, Migrations, Application modernization, DevSecOPs and Services transitions to cloud
Experienced in developing Terraform/Powershell/AWS Cloud Formation/Jenkin/Ansible /templates
Lead internal and external initiative to standardize, automate and develop competitive assets and accelerators
 Technical Experience :
Knowledge on creating IaaS and PaaS cloud solutions in AWS Platform that meet customer needs for scalability, reliability and performance 
Experienced in delivering large/medium scale enterprise solution using Microservices, APIs, Containerization, Kubernetes, App modernization, Cloud Iaas & PaaS
Understanding of WAN, LAN, TCP/IP, VPN, Virtual Networking, Subnet, Routing, Storage account/management and Infrastructure as a Service 
Experience in creating systems logical view, network diagram and able to build automated solution for server build, resource monitoring 
Knowledge and experience in delivering solution using middle ware integration technologies using SOA, ESB, API platforms, API Security
Experience in design, development and architecture of Java/JEE/.NET based system
Have ability to assess multiple types of operating systems (AIX, Linux, Windows etc) and database (Postgres, Sybase, MySQL, MS SQL, NoSQL, DB2, Oracle, Cassandra and MongoDB) to develop transformation approaches and solutions
Worked on Cloud Administration tasks :Creating resource group, storage account, etc
Professional Attributes : 
Strategic thinker, have ability grasp new technologies, innovate, develop and nurture new solutions
Experience in driving consulting workshops, creating content of workshops in short deadlines to C-levels
Demonstrate thought leadership, create good impacts in engagements, manage time and demonstrate flexibility by adapting to situations
An ability to follow processes 
Strong documentation skill 
Good communication skills both written and verbal with the client
 Certifications
 - TOGAF, ITIL, AWS Solution Architect Associate & Expert/AWS Solution Architect Associate & Professional /GCP Professional
Company description 
Hear firsthand from SoftwareOne APAC leaders as they unveil our exciting business and growth plan, spill the beans on our hiring initiatives, and reveal why joining SoftwareOne is an innovator. Join us now and be part of our incredible journey.
 ",".NET Framework, Adobe InDesign, Architecture, C (Programming Language), Content Strategy, Enterprise Service Bus (ESB) Architecture, Java, Service-Oriented Architecture (SOA), TOGAF, and Workshops",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1733356800&v=beta&t=VLqqnKvUkKphLYkvlbPRGHAe-UePjZ6RXohc-aFhVfg,"On-site,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3999264960/?alternateChannel=search&refId=YMITgR5dljXOPwNM55DDNQ%3D%3D&trackingId=HPKIU%2BPLaPJEcbBCWDDGwA%3D%3D&trk=d_flagship3_search_srp_jobs
K-Club Group,Customer Relationship Management Specialist,1 week ago,"We are looking for a dynamic and experienced CRM Specialist in Bali. If you are passionate about leveraging data to drive customer engagement, improving retention, and executing high-impact CRM initiatives, we want to hear from you.

Qualifications:
Reside in Bali
Fresh graduates are welcome to apply
Fluent in written English
Willing to work in a shift-based environment
Proficient in CRM software and data analysis tools
Strong ability to interpret data and develop actionable strategies
Excellent verbal and written communication abilities

Responsibilities:
Utilize expertise in sales, cross-selling, and upselling to drive customer engagement and revenue.
Implement CRM strategies that align with business goals to enhance customer engagement and retention.
Execute and monitor CRM campaigns, ensuring successful outcomes.
Assist in the selection, implementation, and maintenance of CRM systems and tools.
Monitor and report on the effectiveness of CRM campaigns using KPIs and metrics.
Collaborate with marketing, sales, and IT teams to ensure a seamless customer experience.
Gather and analyze customer feedback to improve CRM strategies.
Ensure all CRM activities comply with data protection regulations.
Stay up-to-date with industry trends and CRM best practices.

We offer a competitive salary and sales incentive. If you meet the qualifications and are interested, please submit your resume detailing your relevant experience.","Communication, Cross-Selling, Customer Relationship Management (CRM), English, Management, Sales, Telemarketing, and Upselling",https://media.licdn.com/dms/image/v2/D4E0BAQGGUI0ztNcwSQ/company-logo_100_100/company-logo_100_100/0/1716278870690?e=1733356800&v=beta&t=VYDWrxgFuXqZsXnWBovePS5OBzeXaWks0xZ4RqOt9VY,"On-site,Full-time","Kuta, Bali, Indonesia",https://www.linkedin.com/jobs/view/4005762779/?alternateChannel=search&refId=YMITgR5dljXOPwNM55DDNQ%3D%3D&trackingId=43Eo3VxIRY4zVHF9VCbL%2Bg%3D%3D&trk=d_flagship3_search_srp_jobs
RedDoorz,Senior Pricing Analyst,3 weeks ago,"Revenue Management: Monitor daily revenue performance and analyze key metrics to identify trends, risks, and opportunities. Develop and implement pricing strategies to maximize revenue and market share. Collaborate with sales and marketing teams to optimize pricing and promotions.
Project Management: Lead and manage revenue-related projects from initiation to completion. Define project scope, objectives, and deliverables in collaboration with senior management and stakeholders. Develop detailed project plans, timelines, and resource allocation. Coordinate cross-functional teams to ensure project milestones are met on time and within budget. Track project progress, identify potential issues, and implement corrective actions.
Experiment Evaluation: Design and implement experiments to test pricing strategies, promotional offers, and other revenue-generating initiatives. Collect and analyze data to evaluate the effectiveness of experiments. Report findings and make data-driven recommendations to improve revenue performance. Ensure experiments are statistically valid and results are reliable.
Strategy Development: Assist in developing long-term revenue strategies aligned with the company’s overall goals. Identify new revenue streams and growth opportunities. Collaborate with product development and marketing teams to create and launch new products or services.
Performance Monitoring: Set key performance indicators (KPIs) for revenue growth and monitor progress against these metrics. Implement dashboards and reporting tools to provide real-time insights into revenue performance. Conduct regular reviews of revenue performance and adjust strategies as needed.","BigSQL, Competitive Analysis, Hotel Management, Market Analysis, Pricing Analysis, Pricing Strategy, Revenue & Profit Growth, Revenue Analysis, and Revenue Forecasting",https://media.licdn.com/dms/image/v2/C4D0BAQHvirkpvGR44w/company-logo_100_100/company-logo_100_100/0/1631300612342?e=1733356800&v=beta&t=VrmdfXfocScU05ovWyhHl5JPQ3VDsJmJFPlYtTRw3s8,"On-site,Full-time,Associate","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3995808910/?alternateChannel=search&refId=E68OwRjECG%2Bis4fFxCsviA%3D%3D&trackingId=mzvBp%2FtDgH9ZP%2BcM%2FbDleQ%3D%3D&trk=d_flagship3_search_srp_jobs
Wolkk.,SAP Fiori Developer,2 weeks ago,"Wolkk is seeking a skilled SAP Fiori Developer to join our team. In this role, you will be responsible for developing and enhancing SAP Fiori applications to improve user experience and drive business processes. You will collaborate with cross-functional teams to design, build, and deploy SAP Fiori solutions that align with business objectives.

Key Responsibilities:
Develop and customize SAP Fiori applications based on client requirements.
Work closely with SAP functional consultants to understand business processes and translate them into Fiori apps.
Enhance and maintain existing Fiori applications, ensuring optimal performance and usability.
Integrate SAP Fiori apps with other SAP modules such as S/4HANA, SAP Gateway, and SAP Business Suite.
Implement SAPUI5 controls, OData services, and manage backend connectivity.
Design and develop user interfaces that are intuitive, responsive, and aligned with the latest UX/UI standards.
Participate in the full software development lifecycle, including requirements gathering, design, development, testing, and deployment.
Collaborate with the technical and functional teams to troubleshoot and resolve issues related to SAP Fiori applications.
Stay updated with the latest SAP technologies and best practices in Fiori development.

Must-Have Qualifications:
Proven experience as an SAP Fiori Developer with a strong portfolio of developed applications.
Proficiency in SAPUI5, JavaScript, HTML5, CSS3, and other web development technologies.
Strong expertise in JavaScript and TypeScript.
Extensive experience with Node.js.
Proficiency in developing and handling APIs.
Experience with SAP Gateway, OData services, and backend SAP systems.
Familiarity with SAP S/4HANA and other SAP modules.
Strong understanding of user experience (UX) design principles and UI development.
Ability to work independently as well as in a collaborative team environment.
Excellent problem-solving skills and attention to detail.
Strong communication skills, both verbal and written.
Bachelor’s degree in Computer Science, Information Technology, or a related field.

Nice to Have:
Experience with SAP Cloud Platform (SCP) and SAP Business Technology Platform (BTP).
Knowledge of agile development methodologies.
SAP Fiori certification or relevant SAP certifications.

What We Offer:
Competitive salary and benefits.
A dynamic and supportive work environment.
Opportunities for professional growth and development.
The chance to work on cutting-edge technologies and projects.

Our Values:
Trust and Respect
Thirst for Learning
Agile and Flexible
Quality Driven

About Wolkk:
Wolkk is an offshore outsourcing company dedicated to connecting international clients with top talent in Indonesia. Our mission is to enable young professionals in Indonesia to learn and grow by working with international clients. We help clients recruit and manage their employees in Indonesia, fostering an environment where talent can thrive and businesses can achieve their goals. Join us at Wolkk and be part of a dynamic team that bridges global opportunities with local expertise.","Cascading Style Sheets (CSS), HTML5, JavaScript, Node.js, SAP Fiori, and TypeScript",https://media.licdn.com/dms/image/v2/C4E0BAQFmgs_Lxjx9Iw/company-logo_100_100/company-logo_100_100/0/1658812499917?e=1733356800&v=beta&t=sC7WaF63NlcdFTJbgxB3_FGGM1KDsM9ktyU0STS67ow,"Remote,Full-time,Mid-Senior,level",Indonesia,https://www.linkedin.com/jobs/view/4006582555/?alternateChannel=search&refId=E68OwRjECG%2Bis4fFxCsviA%3D%3D&trackingId=57rsUeUX11aMhTybKVrLmw%3D%3D&trk=d_flagship3_search_srp_jobs
IHG Hotels & Resorts,General Manager Specialty Restaurant (Expat) at Hotel Indigo Bandung Dago Pakar,3 hours ago,"IHG® is one of the world’s leading hotel companies, with a promise to provide True Hospitality for Good. Making everyone feel welcome and cared for, recognised and respected, whoever and wherever they are in the world. Join us and not only can you benefit from the world of variety and opportunity that comes with working for a global organisation, but you can also look forward to being part of a company that will appreciate you for being you. We give you room to belong.

Do you see yourself as General Manager Specialty Restaurant with IHG ?

Our colleagues are fundamental to delivering the memorable experiences, and we are committed to creating a culture as diverse as the distinct hotels in our portfolio. If you think you have it in you then we would love to hear from you.

Your day to day:-
Financial returns:
Anticipate market changes and review operations when necessary 
Conduct competitor analysis 
Actively pursue cost saving measures
Liaise with Sales Manager during tender process to obtain new accounts; Food and Beverage specific 
Manage wage and beverage cost
Forecasting 
Stock control 

People:
Works with Manager and Human Resource Manager to ensure the departmental performance of staff is productive
Ensures compliances to hotel Reward & Recognition initiatives with active nomination for F&B colleagues.
Adhere to hotel disciplinary procedures during major/minor act of misconduct.
Works with Superior on manpower planning and management needs



Guest experience:

Effectively manage the restaurant by ensuring the following: 
Oversee the Implementation of standards as detailed in the departmental standards and procedures manual
Adhere to opening and closing procedures
Adhere to bill paying procedures 
Conduct effective shift briefings ensuring all staff are aware of VIPs, special occasions, daily specials; emphasis on upselling certain products; etc
Personally meet and farewell a minimum of 80% of your customers
Encourage and motivate staff to provide optimum service during all shifts

Share recommendations and guest comments to Chef and Food and Beverage Manager to reflect current customer profile 
Develop and implement Promotions Calendar for F&B products in restaurant 
Manage special event concepts 
Create positive publicity opportunities 
Manage customer database and utilize effectively 
Up-sell property facilities 
Analyze food and beverage statistics through point of sale system

Responsible business:
Demonstrate compliance to Food Safety Management safety policies and procedures and ensure all procedures are conducted safely and within FSMS guidelines and ensure your direct reports do the same
Be familiar with property safety, first aid and fire and emergency procedures and operate equipment safely and sensibly
Initiate action to correct a hazardous situation and notify supervisors of potential dangers
Log security incidents and accidents in accordance with hotel requirements
In return we'll give you a competitive benefit package including, hotel discounts worldwide and the opportunity to progress your career with IHG®. Most importantly, we'll give you the room to belong.

At IHG Hotels & Resorts, we are proud to be an equal opportunity employer. IHG Hotels & Resorts provides equal employment opportunities to applicants and employees without regard to an individual's, race, color, ethnicity, national origin, religion, sex, sexual orientation, gender identity or expression, age, disability, marital or familial status, veteran status or any other characteristic protected by law.

IHG is committed to promoting a culture of inclusion where everyone feels safe, respected and valued. We seek talent from all backgrounds to join our teams, and encourage our colleagues to bring their authentic and best selves to work.","Business, Employee Relations, Exit Interviews, Guest Satisfaction, Labor and Employment Law, Personnel Files, Policies & Procedures, Pre-opening, Resorts, Training, and Training and Development (HR)",https://media.licdn.com/dms/image/v2/D4E0BAQE0llq6fMNiSA/company-logo_100_100/company-logo_100_100/0/1719918902479/ihghotelsresorts_logo?e=1733356800&v=beta&t=RkaCGusCH6YCXR-H_oKyx_M52LsZi3x5EfwqjgL9NTo,"On-site,Full-time,Mid-Senior,level","Bandung, West Java, Indonesia",https://www.linkedin.com/jobs/view/4016130326/?alternateChannel=search&refId=E68OwRjECG%2Bis4fFxCsviA%3D%3D&trackingId=em0M4VbPZODqk1MEMW4qbQ%3D%3D&trk=d_flagship3_search_srp_jobs
JULO,Senior Collection Strategy Analyst,1 day ago,"About JULO:
JULO (www.julo.co.id) is a digital lending company that is revolutionizing access to financial products for millions of emerging consumers in Indonesia. JULO is officially licensed by OJK, based in Jakarta and is backed by leading venture capital firms in Indonesia and Singapore. We are looking for a highly motivated Collection Strategy Analyst to achieve our growth ambition.

Requirements:
At least 2 years of working experience in Collection MIS or analytics related fields.
Preferably has an experience in Banking or Fintech industry.
Experience in using SQL.
Strong analytical and problem-solving skills including ability to independently drive analysis concluding with rationalized recommendations.
Have a sound and logical thought process for problem solving.
Understand and analyze current business processes and product capability, come up with plans of improvements, working together with data, product, business team
Good skill in data analysis, creating decks for findings and present it to managerial level
Bachelor's degree in any field which requires logically creative thinking.
Ability to work well with colleagues across different functions.
Good business acumen.
Interest in fintech and high level of curiosity.
Fluency in both written and spoken in English and Bahasa.

Job Description:
Reporting to the Collection Strategy Manager.
Collaborate with the data team and/or product team to provide the required analysis or reports and strategy changes implementation.
Detects bugs/blockers in tools/processes on collections strategy process.
Help to streamline processes/documentations in collections strategy.
Create end to end monitoring tools/dashboard to make sure collections strategy, internal and external tools perform at its best day in day out.
Responsible for recapitulation and making projections of Collection Budget and Capacity Planning.
Provide monthly target calculations that align with Management’s goals.
Perform end-to-end analysis as needed to support a Collection Strategy Changes or Project.
Prepare reports needed for presentation to the Management.","Analytics, Capacity Planning, Collection Strategy, Data Analytics, Management Information Systems (MIS), and SQL",https://media.licdn.com/dms/image/v2/D560BAQFGscu0EgUFQw/company-logo_100_100/company-logo_100_100/0/1689054749601/juloindonesia_logo?e=1733356800&v=beta&t=ryFc3OpX5ZJZnuxc4-yxkUl8KP_YJ2tLjKxqwg5UbIY,"Hybrid,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4014759398/?alternateChannel=search&refId=E68OwRjECG%2Bis4fFxCsviA%3D%3D&trackingId=OITVVWvdTJnwo6olyJ9QoA%3D%3D&trk=d_flagship3_search_srp_jobs
