Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations,Link
Lancesoft Indonesia,Java Software Engineer,Reposted 2 weeks ago,"Currently we're looking for Java Developer position!

Job Details:
- Have working experiences dan strong knowledge in Java Spring Boot.
- Minimal 2 years experience as Java Developer.
- Have working experiences and solid understanding in developing backend microservices based on Rest API and gRPC.
- Have working experiences and solid understanding in developing backend microservices integrated with SQL database (Oracle, posqresSQL) and NoSQL database (Monggo DB) and data caching (redis).
- Creative problem-solving skills.
- Good analytical & logical thinking.
- Familiar working with Git.","Java, PostgreSQL, and Spring Boot",https://media.licdn.com/dms/image/v2/D560BAQFuozay5Kozog/company-logo_100_100/company-logo_100_100/0/1713216265128/lancesoft_indonesia_logo?e=1733356800&v=beta&t=FrKYdJ8kr2iS2w184oSRVq_0dDdxVIvYa1zD4vM6J1g,"On-site,Contract,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3994803468/?alternateChannel=search&refId=aYnx29TEt6WZXr08fHnHbw%3D%3D&trackingId=kCi9H3EzKPe6QcF0EUL9bQ%3D%3D&trk=d_flagship3_search_srp_jobs
Adira Finance,Head Information Technology Development,4 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1733356800&v=beta&t=000YjeLBjpUTFVkzBiTEhKI87BfGAogtpEEwoSoTi20,"Hybrid,Full-time,Mid-Senior,level","South Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3992831009/?alternateChannel=search&refId=aYnx29TEt6WZXr08fHnHbw%3D%3D&trackingId=uxE2n86DfHGBWiC%2BD6oWKg%3D%3D&trk=d_flagship3_search_srp_jobs
Kibarer Property,Senior Architect,1 month ago,"Kibarer Property is seeking a dynamic and experienced Senior Architect to lead our architectural design team. The ideal candidate will manage the architectural design process from conception to completion, ensuring all projects adhere to budget, timeline, and the highest quality standards. This role requires a balance of creative vision, technical expertise, and project management skills.

Responsibilities
- Lead and manage the architectural design process from concept to completion, ensuring adherence to budget, timeline, and quality standards.
- Create visualizations, 3D models, and presentation drawings.
- Prepare detailed CAD working drawings and technical specifications for permit documentation and project tender developments.
- Handle multiple projects simultaneously in an organized way.
- Prepare basic cost estimates and assist with value engineering.
- Collaborate with engineers and contractors, as well as managing external architectural teams.
- Oversee site visits and inspections to ensure construction adheres to design and quality standards.
- Stay updated on industry trends with a focus on sustainability and emerging technologies in architecture and design.
- Provide Site Sketches (SK) and manage Change Orders (CO).
- Responsible for delivery and closing of successful projects.

Requirements
- Residing in Bali
- Fluent written and spoken English and Bahasa Indonesia.
- Creative, proactive, deadline-oriented, open-minded, attention to detail, and result-driven.
- Leadership qualities with a collaborative and team-oriented mindset.
- Computer skills expertise: AutoCAD, SketchUp, Rhino, Adobe Photoshop, and MS Office. Autodesk Revit would be a plus

Education and Experience
- Degree in Architecture
- Proven experience in real estate development operations, project management, and team leadership.
- Experience in managing and mentoring
- Minimum 5+ years of experience in professional architecture practice, independent practice, or as in-house architect for a developer firm.
- A strong portfolio showcasing high-end residential, hospitality, and/or luxury villa projects would be a plus.

Please note: Only applications accompanied by a portfolio will be considered.

We offer a competitive salary, a dynamic working environment, and the opportunity to lead projects that redefine industry standards. If you are ready to take your career to the next level, we would love to hear from you.","Adobe Creative Suite, Adobe Photoshop, AutoCAD, Autodesk 3ds Max, Construction, Enterprise Architecture, IT Integration, Service-Oriented Architecture (SOA), Software Development, and Solution Architecture",https://media.licdn.com/dms/image/v2/C560BAQFgdd-V-vtf3A/company-logo_100_100/company-logo_100_100/0/1630667735207/kibarer_property_logo?e=1733356800&v=beta&t=M_I3j0W1ZOX9Hldib4-AKbrCaHYSjqTJlAzitB-w8iI,"On-site,Full-time","Kuta Untara, Bali, Indonesia",https://www.linkedin.com/jobs/view/3974742807/?alternateChannel=search&refId=aYnx29TEt6WZXr08fHnHbw%3D%3D&trackingId=6S1oW7Av6qhEWgB%2BSBUIMQ%3D%3D&trk=d_flagship3_search_srp_jobs
SoftwareOne,Cloud Solution Architect- AWS,3 weeks ago,"Develop Enterprise Cloud solutions, lead delivery teams in customer workshop, coordinate with multiple stakeholders in client hierarchy to engage, understand and articulate requirements to create solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure and platform solutions.
 As a cloud architect, you will engage with clients to define and design the cloud technology architecture and solution architecture. You will also define application and IT Architecture focusing on the mapping of Business requirement’s to IT Capabilities and align the same.

The focus is to define the integrations between, Applications, Data and Technology in the Enterprise and the Transitional Process necessary for migration and modernizing to cloud based architecture that includes APIs, microservices and containers.

You will keep yourself updated with latest technology trends and architectural styles and suggests leveraging of modern digital technologies to cater to business needs. Recognized as an Expert In their technology and architecture field. You will guide cloud objectives and technologies.
Job Requirements 
Key Responsibilities :
Define end to end Enterprise and Cloud based Architecture catering to client needs and requirements
Analyze Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and risks to propose cloud roadmap, solution architecture and associated TCO
Develop and implement cloud architecture solutions based on AWS and knowledge of AWS , GCP or IBM Cloud is added advantage when assigned to work on delivery projects.
Analyze client requirements, propose for overall Application modernization, migrations and green field implementations and should be able to execute those projects as technical consultant
Experience in implementing and deploying a DevOps based, end to end cloud application
Lead teams for a discovery and architecture workshop, influence client architects, and IT personnel
Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements.
Deliver an optimized infrastructure services design leveraging public, private, and hybrid Cloud architectures and services 
Act as subject matter and implementation expert for the client as related to technical architecture and implementation of proposed solution using Cloud Services
Implement Solution using AWS Cloud Services, open source and other 3rd party technologies
Create and develop process frameworks, documents, SOP’s, cook book, automation scripts/tools for Cloud Discovery, Migrations, Application modernization, DevSecOPs and Services transitions to cloud
Experienced in developing Terraform/Powershell/AWS Cloud Formation/Jenkin/Ansible /templates
Lead internal and external initiative to standardize, automate and develop competitive assets and accelerators
 Technical Experience :
Knowledge on creating IaaS and PaaS cloud solutions in AWS Platform that meet customer needs for scalability, reliability and performance 
Experienced in delivering large/medium scale enterprise solution using Microservices, APIs, Containerization, Kubernetes, App modernization, Cloud Iaas & PaaS
Understanding of WAN, LAN, TCP/IP, VPN, Virtual Networking, Subnet, Routing, Storage account/management and Infrastructure as a Service 
Experience in creating systems logical view, network diagram and able to build automated solution for server build, resource monitoring 
Knowledge and experience in delivering solution using middle ware integration technologies using SOA, ESB, API platforms, API Security
Experience in design, development and architecture of Java/JEE/.NET based system
Have ability to assess multiple types of operating systems (AIX, Linux, Windows etc) and database (Postgres, Sybase, MySQL, MS SQL, NoSQL, DB2, Oracle, Cassandra and MongoDB) to develop transformation approaches and solutions
Worked on Cloud Administration tasks :Creating resource group, storage account, etc
Professional Attributes : 
Strategic thinker, have ability grasp new technologies, innovate, develop and nurture new solutions
Experience in driving consulting workshops, creating content of workshops in short deadlines to C-levels
Demonstrate thought leadership, create good impacts in engagements, manage time and demonstrate flexibility by adapting to situations
An ability to follow processes 
Strong documentation skill 
Good communication skills both written and verbal with the client
 Certifications
 - TOGAF, ITIL, AWS Solution Architect Associate & Expert/AWS Solution Architect Associate & Professional /GCP Professional
Company description 
Hear firsthand from SoftwareOne APAC leaders as they unveil our exciting business and growth plan, spill the beans on our hiring initiatives, and reveal why joining SoftwareOne is an innovator. Join us now and be part of our incredible journey.
 ",".NET Framework, Adobe InDesign, Architecture, C (Programming Language), Content Strategy, Enterprise Service Bus (ESB) Architecture, Java, Service-Oriented Architecture (SOA), TOGAF, and Workshops",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1733356800&v=beta&t=VLqqnKvUkKphLYkvlbPRGHAe-UePjZ6RXohc-aFhVfg,"On-site,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3999264960/?alternateChannel=search&refId=aYnx29TEt6WZXr08fHnHbw%3D%3D&trackingId=WkcW%2Bj1HSXjF3ueyI80%2Byg%3D%3D&trk=d_flagship3_search_srp_jobs
Kalbe Consumer Health,Senior Brand Manager,7 hours ago,"JOIN US TO BE THE BRIGHTEST STAR
We Do Innovative Work That Brings a Better Life
We believe what we do every day is always embedded with innovation. At Kalbe Consumer Health, you will build your career and find your purpose. At the same time, keep innovating to provide best-in-class products for many families. We are looking for those who can bring happiness through quality health products and continuous innovation for a better life.

Position : Senior Brand Manager 

About The Role :
We are currently seeking Senior Brand Manager to participate identify brands growth opportunity through market, regulations, category and consumer analysis. For this role, you will collaborate with Commercial Team, Business Development & R&D for New Product – Packaging Development.

What You Will Do ?
Identify brands growth opportunity through market, regulations, category and consumer analysis
Set up Brand’s love triangle (segmentation, targeting and positioning) based on defined each brand vision & purpose to meet company objective
Responsible for communication material production (TVC / Radio Ads / Printed / Digital Key Visual / etc.) and Evaluate campaign result.
Collaborate with Internal stakeholders and External in tactical marketing practices across brands & countries

What You Will Need ?
Bachelor degree with min. 5 years of experience with managerial responsibilities in marketing & insight area
Have an excellent understanding of Consumer Goods / OTC commercial (Sales & Marketing) business process
Excellent interpersonal, negotiation, communication, and presentation skills
Adept in data analytical and creative thinking with sound business acumen
Good leadership with the ability to motivate a team
Able to coordinate & collaborate cross-functionally within the organization
English fluency is a must

Benefit :
Self Development opportunity (Training, career path)
Work From Anywhere Policy

About The Team
Kalbe Consumer Health is defined by Panca Sradha, which embraces trust, mindfulness, innovation, striving to be the best, and interconnectedness. Our people, whom we call Saka Stars, are results-oriented and customer-centered. We work in teams and quickly respond to market and consumer needs. Together, we build a better life.

About Company
Kalbe Consumer Health Division offers over-the-counter drugs with therapeutic benefits. We produce consumer products with health benefits, including supplements and other preventive products. Kalbe Consumer Health's over-the-counter portfolio categories cover more than six therapeutic classes with solid brands, commanding a dominant market share over recent decades.
Innovation is the key to Kalbe Consumer Health, and we adhere to our commitment to nourish the nation, which we always take care of jointly. We always provide health solutions ranging from digestive and skin categories, multivitamins, respiratory care, food supplements, and healthy foods.
We provide Innovative and Trustworthy products and services as a solution for daily health management. Kalbe Consumer Health is globally present around consumers. We are present in nine countries with more than sixteen OTC brands.
We ensure that all products are developed responsibly to make the lives of many people healthier globally. We believe that in the journey of Kalbe Consumer Health to provide health product solutions that can nourish the nations.

Recruitment Steps
● Share Your Best Profile
● Meet Our Talent Acquisition Team
● Discuss With Your Future Team
● On-Boarding!

Keep in Touch with Us by Visit our Social Media,
Instagram: https://bit.ly/InstagramLifeatKCH
LinkedIn: https://bit.ly/LinkedInKalbeConsumerHealth
Website: www.kalbeconsumerhealth.com","Brand Development, Business Development, Communication, English, Market Segmentation, Marketing, Marketing Analytics, Marketing Operations, Strategic Marketing, and TVC",https://media.licdn.com/dms/image/v2/C510BAQHNB06FB9bSjA/company-logo_100_100/company-logo_100_100/0/1630596352688/sakafarma_logo?e=1733356800&v=beta&t=zOf7azNjduOjeXQUTJV7LMbmq-LR4qDXju7fBRcq2_M,"On-site,Full-time,Mid-Senior,level","North Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4015783996/?alternateChannel=search&refId=aYnx29TEt6WZXr08fHnHbw%3D%3D&trackingId=kv%2FVLSFyl%2FJdwWZLwgYK%2BQ%3D%3D&trk=d_flagship3_search_srp_jobs
VLink Inc,iOS Developer,3 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,"Hybrid,Contract,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4000970453/?alternateChannel=search&refId=aYnx29TEt6WZXr08fHnHbw%3D%3D&trackingId=rw1vtXD4Jy2%2F2Lpb38CSFw%3D%3D&trk=d_flagship3_search_srp_jobs
Skillsearch,Senior Unity Technical Artist,2 weeks ago,"We are seeking a Senior Unity Technical Artist to join our client’s team in Jakarta. This role is crucial in bridging the gap between our artistic vision and technical implementation, working to ensure our AI-powered, 3D avatar agents achieve optimal performance and visual quality. If you have a deep understanding of Unity, strong artistic skills, and a passion for pushing the boundaries of 3D production, this role offers an exciting opportunity to contribute to cutting-edge technology. 

Key Responsibilities: 
Collaboration: Work closely with production and engineering teams to implement visual features and optimise assets within Unity. 
Visual Effects Development: Create and maintain visual effects, shaders, and materials to enhance the aesthetic quality of our projects. 
Technical Problem-Solving: Troubleshoot and resolve issues related to asset integration and performance. 
Tool Creation: Develop tools and scripts to streamline and improve the efficiency of the 3D art pipeline. 
Performance Optimisation: Ensure all assets are optimised for performance without sacrificing visual quality. 
Mentorship: Provide guidance and mentorship to junior technical artists and other team members. 
Industry Awareness: Stay up-to-date with the latest trends and technologies to ensure our projects remain innovative and competitive. 

What We’re Looking For: 
Experience: 5+ years as a Technical Artist in the gaming industry. 
Technical Proficiency: Expert knowledge of Unity, including scripting, shader creation, and performance optimisation. 
Artistic Skills: Proficiency in 3D modelling and texturing software such as Maya, 3ds Max, Blender, or similar. 
Rendering & Lighting: Strong understanding of rendering pipelines, lighting, and visual effects. 
Problem-Solving: Excellent problem-solving skills and attention to detail. 
Collaboration: Ability to work collaboratively in a team environment and communicate effectively across disciplines. 
Portfolio: A portfolio showcasing technical artistry and problem-solving abilities, with a clear statement of contributions. 

Preferred Qualifications: 
Mobile/Console Experience: Experience with mobile and console game development. 
Additional Skills: Knowledge of other game engines (e.g., Unreal Engine), familiarity with C# programming, and experience with procedural content generation.","3D Graphics, 3D Modeling, Artificial Intelligence (AI), Autodesk 3ds Max, Autodesk Maya, Blender, Scripting, Shader Creation, and Unity",https://media.licdn.com/dms/image/v2/C4E0BAQGBOY1P-x_3Wg/company-logo_100_100/company-logo_100_100/0/1676979177918/skillsearch_logo?e=1733356800&v=beta&t=I7UappQ8DPg6vMHSG-SZ0tYVgKeMWCTvJbhlYRNoug4,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4004946155/?alternateChannel=search&refId=aYnx29TEt6WZXr08fHnHbw%3D%3D&trackingId=DbMqrgQlqQ1lIWRo0yXeog%3D%3D&trk=d_flagship3_search_srp_jobs
SleekFlow,Quality Assurance Engineer,Reposted 1 week ago,"About SleekFlow
Join SleekFlow, a thriving SaaS startup that is experiencing rapid growth thanks to the support of renowned investors like Tiger Global and Gobi Partners. Our mission is to shape the future of communication by empowering companies to center all their workflows around meaningful conversations., and as a member of our team, you will have the opportunity to thrive alongside the company through equity options. If you're ready to take your career to the next level and assume a larger role, we look forward to meeting you!

At SleekFlow, we have developed an AI-Powered Omnichannel Conversation Suite that drives conversions through conversations. Our platform seamlessly integrates with popular channels such as WhatsApp, Messenger, Instagram, WeChat, Email, and more, providing comprehensive communication solutions. With our customer engagement platform, both small merchants and large enterprises can automate growth by enhancing productivity across their sales, marketing, and support teams.

Our engineering culture is at the heart of our operations. When you join our team of highly skilled developers, you'll immerse yourself in an environment that fosters rapid learning and continuous professional development. 

As we expand into emerging markets, we seek adventurous, diverse, and passionate individuals to join us on this exciting journey. Join our team and grow your career with SleekFlow! 

Learn more from our blogs for developers: https://sleekflow.io/blog/category/developer-blog

All level
Location: Jakarta, Indonesia

Responsibilities
Review user stories and requirements to create detailed, comprehensive, and well-structured tests to ensure the quality of SleekFlow web-based system
Do impact analysis to understand risks and how to mitigate them
Work with the software development teams to build continuous test environments and to make applications more testable
Help maintain a robust QA environment
Conduct post-release/ post-implementation testing
Contribute to the manual and automation coverage of the product in multiple layers including unit test, integration and end to end
Report bugs and errors to development teams and help troubleshoot issues
Work with cross-functional teams to ensure quality throughout the software development lifecycle
Stay up-to-date with new testing tools and test strategies

Requirement
At least 2+ years of relevant experience
Proven work experience in software development and quality assurance
Experience working with API mocking tools
Experience in at least one automated testing framework and utilities such as Jest, Testing Library, Cypress, Playwright, Appium, Selenium etc is a plus
Experience with performance and/or security testing is a plus
Experience working with CI/CD processes is a plus
Proficient in at least one high-level programming language, JavaScript / TypeScript is a huge plus
Fluent in English, know Mandarin, and Cantonese will be a plus
Sharp analytical and problem-solving skills
Attention to detail
Be flexible, grow, and learn quickly in a startup environment
Good team player, self-motivated, and able to work independently
Understanding of what it takes to work with a startup company

What We Offer
Attractive compensation package including a 13th-month salary
Stock options in a rapidly-growing startup
A fun, diverse, and international team culture
Comprehensive group medical insurance
Allowances for transportation, snacks, and team lunches
Paid leave on your birthday
Flexible work-from-home policy
Continuous and rigorous training from experienced team leads

Confidence can sometimes hold us back from applying for a job. But we'll let you in on a secret: there's no such thing as a 'perfect' candidate.

SleekFlow is a place where everyone can grow. So however you identify and whatever background you bring with you, please apply if this is a role that would make you excited to come into work every day.","Application Security, Automation, Cypress, English, Manual Testing, Quality Assurance Testing, Selenium, Software Quality Assurance, Startups, and Test Planning",https://media.licdn.com/dms/image/v2/C560BAQGX9qjNYy0JYQ/company-logo_100_100/company-logo_100_100/0/1643102122801/sleekflow_logo?e=1733356800&v=beta&t=DUHy-bJrcrciq7QunmA1aBuSd0ux4-WUY8s-8cnYf0c,"Hybrid,Full-time,Associate","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3934884720/?alternateChannel=search&refId=hCd%2Fp4OnxOyDG7EOdaI5zQ%3D%3D&trackingId=HuCS7bBiH16p2%2FM26wedQw%3D%3D&trk=d_flagship3_search_srp_jobs
VISEO ASIA,Salesforce Technical Architect,1 week ago,"As an experienced Salesforce.com Technical Architect with 8-10 years of experience, you have a good functional and technical knowledge of Salesforce and its suite of solutions. The Salesforce Architect role will be responsible for building and mentorship of a multi-skilled Salesforce team as well as design and implementing Salesforce solutions for our customers that follow best practices in both IT and Salesforce projects

Your responsibilities will be to: 
·Engage clients & prospects and conduct technical presentation meetings on Salesforce.com
·Design robust architectural solutions for enterprise-level Salesforce implementations
·Provide solution design expertise spanning across multiple industries
·Shape a digital blueprint and technology roadmap
·Plan and lead solution delivery requirements gathering, analysis, design, configuration, integration, testing, migration and deployment
·Ability to understand pain areas of business and present workable solutions
·Project manage resources and delivery of business implementation successfully
·Manage robust teams of Salesforce.com delivery team members, including BAs, Tech Leads, Architects, Developers & QA
·Define and execute best practices in solution analysis, design and implementation
·Document solution for IT and client reference
·Take accountability of delivery of work packages to customer facing project teams, ensuring packages are delivered on time and with quality
·Ensure all code is peer-reviewed against VISEO development standards prior to deployment to UAT
·Maintain and publish Salesforce development standards to broader technical teams on a quarterly basis
·Ensure developers are incorporating code review feedback prior to deployment to UAT. Enforce the practice with regular training & project audits.
·Experience in implementing DevOps
·Acts as the escalation point when issues arise and understand what to do and who to work with to resolve them.
·Be an active part of the regular project reviews, owing technical & solution reviews for all projects on a regular basis
·Keeping up to date with Salesforce releases and new functionality.
·Adhere to company and project standards and guidelines.
·Accurate time management and reporting of own work.
·Quality, on time delivery of agreed deliverables.
·Ability to work on multiple projects simultaneously

Your Profile: 
·
·Minimum Bachelors Degree in IT/Conputer Science/Computer Engineering/ Engineering
·Must have Mminimum 8 years of Salesforce Hands-on Experinnce with Development and solutioning
·Must have 2-3 years of Architect Experience.
·Must have at least one of the certifications below:
·Salesforce Application Architect Certification
·Salesforce System Architect Certification
·Salesforce Technical Architect Certification
·Strong analysis and solution designing skills
·Effective presentation and communication skills
·Relevant and practical experience in Salesforce.com consultancy required
·Open to travel and overseas posting for 2 to 3 months to be expected

About VISEO:
VISEO is a Global Technology Company established in 1999 with HQ located in France. The Singapore office serves as VISEO Asia Pacific Japan (APJ) headquarters, with additional offices in Australia (Brisbane, Melbourne, Sydney), China (Beijing, Shanghai, Shenzhen), Hong Kong, India, Indonesia, Japan, Malaysia, Philippines (Cebu, Manila), to address projects in the region.

VISEO uses technology as a powerful lever of transformation and innovation to help its clients take advantage of digital opportunities, address new uses and compete with new players who change the rules of the game. With more than 2,700 employees globally, our worldwide presence best meets clients' needs through supporting global roll-outs.

If you are interested in joining us, VISEO ensures the development of your skills by having regular exchanges with peers, coaching by a technical mentor, and official certification with our partners, such as but not limited to: SAP, Salesforce.com and Commerce Cloud, Docker, Azure, AWS, Anaplan, Cegid etc.

In addition, you will have fun while challenging yourself, participating in agile projects, external events and conferences, and internal technical communities, which will contribute to your career growth!","Code Review, Computer Engineering, Enterprise Solution Design, Project Reviews, Requirements Gathering, SOQL, Salesforce.com, Salesforce.com Administration, Technical Solution Design, and Visualforce",https://media.licdn.com/dms/image/v2/C4D0BAQF_BZ7Gh27COw/company-logo_100_100/company-logo_100_100/0/1641308441397/viseo_asia_logo?e=1733356800&v=beta&t=D0lbizDlYE9vSHgarlCJ6W_Htf3vzum8VFJSqpCxMWM,"Hybrid,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4008304679/?alternateChannel=search&refId=hCd%2Fp4OnxOyDG7EOdaI5zQ%3D%3D&trackingId=2BG2%2FcWrGgGynSY0UbMd3w%3D%3D&trk=d_flagship3_search_srp_jobs
Norconsult Telematics,SAP Analytics Cloud (SAC),3 weeks ago,"Note--Job is based in Saudi Arabia in full-time onsite mode. ( No remote/hybrid)

Position Objective:
We are seeking experienced SAP Functional Consultants to join our team, with a primary focus on leading and managing the implementation and optimization of SAP Analytics Cloud (SAC). The successful candidates will play a crucial role in analyzing business processes and mapping them to SAC solutions, acting as a bridge between the business and technical teams to ensure the effective integration and utilization of SAC applications.

Job Description and Responsibilities:
Business Process Analysis:
Analyze and document business requirements and map them to SAC solutions, ensuring a deep understanding of business needs.
Facilitate workshops with stakeholders to gather detailed requirements and translate them into technical specifications.
System Configuration & Customization:
Configure and customize SAC applications, including data models, stories, dashboards, and planning workflows.
Develop complex calculations, scripts, and data transformations using SAC's modelling capabilities.
Integrate SAC with other SAP and non-SAP systems:
Ensure seamless data flow and reporting across platforms.
Advanced Analytics & Predictive Capabilities:
Leverage SAC's predictive analytics features to create forecasting models and what-if scenarios.
Implement machine learning algorithms within SAC to enhance decision-making processes.
Project Management & Collaboration:
Manage SAC projects from inception to completion, ensuring timely delivery within budget constraints.
Collaborate with cross-functional teams to ensure a holistic approach to analytics.
Data Connectivity & Integration:
Set up and manage data connections within SAC, including live data connections and data acquisition models.
Ensure data integrity and consistency across various data sources connected to SAC.
Training & Support:
Conduct workshops and training sessions to educate end-users on SAC functionalities.
Provide ongoing support and troubleshooting for SAC applications.
Optimization & Continuous Improvement:
Continuously monitor SAC performance and identify opportunities for optimization.
Stay updated with the latest SAC features and best practices.
Compliance & Reporting:
Ensure all SAC implementations comply with relevant standards.
Design and generate complex reports and dashboards for senior management.

Qualifications and Skills:
Bachelor’s or Master’s degree in Finance, Accounting, Computer Science, Information Technology, Business Administration, Data Science, or a related field.
SAP Certification in SAP Analytics Cloud, certified by SAP partners.
Additional certifications in data analytics, machine learning, or data science are advantageous.
Min 10+ years of experience as an SAP Functional Consultant with hands-on experience in SAP Analytics Cloud implementation and Group Reporting.
Proven track record of leading and delivering successful SAP Analytics Cloud projects across various industries.
Advanced knowledge of SAP Analytics Cloud configuration.
Proficiency in SAC scripting languages.
Experience with integrating SAC with SAP BW/4HANA, SAP S/4HANA, and other third-party data sources.
Strong understanding of SAC's predictive analytics capabilities.
Familiarity with SAP Data Warehouse Cloud and SAP Business Technology Platform is a plus.
Excellent communication and interpersonal skills.
Strong project management skills.
High attention to detail and a commitment to continuous improvement.
Proficient in English; additional languages are an advantage.","Business Process Analysis, Data Modeling, SAP Analytics Cloud, SAP Business Warehouse (SAP BW), Scripting, and Technical Specs",https://media.licdn.com/dms/image/v2/D4D0BAQE-XXg_ARZbgw/company-logo_100_100/company-logo_100_100/0/1708330269251/norconsult_telematics_ltd_logo?e=1733356800&v=beta&t=YfY4tQatNI9IJdgcCYef_AXYdGNzHL6df-S_Tj6brbQ,"On-site,Contract,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3997317505/?alternateChannel=search&refId=hCd%2Fp4OnxOyDG7EOdaI5zQ%3D%3D&trackingId=aPA2spqZI8M6O1vVnLtRqQ%3D%3D&trk=d_flagship3_search_srp_jobs
