Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations,Link
ATI Business Group,DevOps & Data Services Lead,3 weeks ago,"Your Main Objective
As the DevOps & Data Services Lead in the IT Division, you will ensure seamless integration, deployment, and management of company data and applications infrastructure. You are expected to combine your technical expertise for the day-to-day operations with a strategic mindset to drive data-driven business decision-making.

Your Main Responsibilities
You will effectively lead a small team of experts to deliver the following capabilities and must able to jump into action as and when required:
DevOps Management: Lead the design, management and implementation of CI/CD pipelines, oversee configuration management, automation and orchestration tools, ensure application deployment reliability, integrate secure DevOps practices with the development team
Database Administration: Lead the maintenance and optimization of database systems, manage database security, backups and recovery while ensuring high availability, data integrity and performance
Business Intelligence: Develop and maintain BI solutions to support data-driven decision-making, oversee the ETL processes, design and implement data visualization
Manage the team to collaborate with cross-functional teams
Stay updated on industry trends and emerging technologies
Ensure compliance with relevant regulations, especially in the areas of data protection

Qualifications
Excellent communication, collaboration skills and fluency in English
Bachelor’s degree in Computer Science, Information Technology, Data Science, or a related field
5+ years overall IT experience, vast majority in data services and devops
3+ years proven experience in a leadership or senior role within DevOps, DBA and BI functions
Strong knowledge of data warehousing concepts and technologies, data integration techniques, ETL processes
Strong technical knowledge of database systems, CI/CD pipelines, and BI tools
Experience with cloud platforms (e.g., AWS, Azure, Google Cloud) and containerization (e.g., Docker, Kubernetes)

Be Part of ATI Journey:
Our aim at ATI Business Group in working with our Clients is to support their continued growth by providing cost-effective technology and talented & scalable people resources on demand. ATI’s singular focus on providing services to the travel and hospitality business communities across the globe has been a remarkably successful one. Since commencing in 2002 we now have over 900 employees providing services to our clients across the globe.","Amazon Web Services (AWS), Business Intelligence (BI), Cloud Storage, Containerization, Data Services, Data Warehousing, Database Security, DevOps, Extract, Transform, Load (ETL), Microsoft Power BI, and PostgreSQL",https://media.licdn.com/dms/image/v2/C560BAQFiYSlyRLOlVQ/company-logo_100_100/company-logo_100_100/0/1630641886048/ati_business_group_logo?e=1733356800&v=beta&t=jZTyix-hGlNFH14lZ7lK5vyrNkXcM5ybZ2SKows_y70,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3997070166/?alternateChannel=search&refId=zJCqWScttqGCWx8FA4Enzg%3D%3D&trackingId=J0g9PyDHc2or3HMv8%2FYavA%3D%3D&trk=d_flagship3_search_srp_jobs
Adira Finance,Head Information Technology Development,4 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1733356800&v=beta&t=000YjeLBjpUTFVkzBiTEhKI87BfGAogtpEEwoSoTi20,"Hybrid,Full-time,Mid-Senior,level","South Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3992831009/?alternateChannel=search&refId=zJCqWScttqGCWx8FA4Enzg%3D%3D&trackingId=AyKWejl5lFncPAp7khiZbg%3D%3D&trk=d_flagship3_search_srp_jobs
Kalbe Consumer Health,Senior Brand Manager,8 hours ago,"JOIN US TO BE THE BRIGHTEST STAR
We Do Innovative Work That Brings a Better Life
We believe what we do every day is always embedded with innovation. At Kalbe Consumer Health, you will build your career and find your purpose. At the same time, keep innovating to provide best-in-class products for many families. We are looking for those who can bring happiness through quality health products and continuous innovation for a better life.

Position : Senior Brand Manager 

About The Role :
We are currently seeking Senior Brand Manager to participate identify brands growth opportunity through market, regulations, category and consumer analysis. For this role, you will collaborate with Commercial Team, Business Development & R&D for New Product – Packaging Development.

What You Will Do ?
Identify brands growth opportunity through market, regulations, category and consumer analysis
Set up Brand’s love triangle (segmentation, targeting and positioning) based on defined each brand vision & purpose to meet company objective
Responsible for communication material production (TVC / Radio Ads / Printed / Digital Key Visual / etc.) and Evaluate campaign result.
Collaborate with Internal stakeholders and External in tactical marketing practices across brands & countries

What You Will Need ?
Bachelor degree with min. 5 years of experience with managerial responsibilities in marketing & insight area
Have an excellent understanding of Consumer Goods / OTC commercial (Sales & Marketing) business process
Excellent interpersonal, negotiation, communication, and presentation skills
Adept in data analytical and creative thinking with sound business acumen
Good leadership with the ability to motivate a team
Able to coordinate & collaborate cross-functionally within the organization
English fluency is a must

Benefit :
Self Development opportunity (Training, career path)
Work From Anywhere Policy

About The Team
Kalbe Consumer Health is defined by Panca Sradha, which embraces trust, mindfulness, innovation, striving to be the best, and interconnectedness. Our people, whom we call Saka Stars, are results-oriented and customer-centered. We work in teams and quickly respond to market and consumer needs. Together, we build a better life.

About Company
Kalbe Consumer Health Division offers over-the-counter drugs with therapeutic benefits. We produce consumer products with health benefits, including supplements and other preventive products. Kalbe Consumer Health's over-the-counter portfolio categories cover more than six therapeutic classes with solid brands, commanding a dominant market share over recent decades.
Innovation is the key to Kalbe Consumer Health, and we adhere to our commitment to nourish the nation, which we always take care of jointly. We always provide health solutions ranging from digestive and skin categories, multivitamins, respiratory care, food supplements, and healthy foods.
We provide Innovative and Trustworthy products and services as a solution for daily health management. Kalbe Consumer Health is globally present around consumers. We are present in nine countries with more than sixteen OTC brands.
We ensure that all products are developed responsibly to make the lives of many people healthier globally. We believe that in the journey of Kalbe Consumer Health to provide health product solutions that can nourish the nations.

Recruitment Steps
● Share Your Best Profile
● Meet Our Talent Acquisition Team
● Discuss With Your Future Team
● On-Boarding!

Keep in Touch with Us by Visit our Social Media,
Instagram: https://bit.ly/InstagramLifeatKCH
LinkedIn: https://bit.ly/LinkedInKalbeConsumerHealth
Website: www.kalbeconsumerhealth.com","Brand Development, Business Development, Communication, English, Market Segmentation, Marketing, Marketing Analytics, Marketing Operations, Strategic Marketing, and TVC",https://media.licdn.com/dms/image/v2/C510BAQHNB06FB9bSjA/company-logo_100_100/company-logo_100_100/0/1630596352688/sakafarma_logo?e=1733356800&v=beta&t=zOf7azNjduOjeXQUTJV7LMbmq-LR4qDXju7fBRcq2_M,"On-site,Full-time,Mid-Senior,level","North Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4015783996/?alternateChannel=search&refId=zJCqWScttqGCWx8FA4Enzg%3D%3D&trackingId=M4Wg55EJ8nx7QmZSY6dubQ%3D%3D&trk=d_flagship3_search_srp_jobs
AIA Indonesia,Area Business Manager - Jakarta,10 hours ago,"At AIA we’ve started an exciting movement to create a healthier, more sustainable future for everyone.

As the largest listed company on the HKSE, we’ve been proudly making a difference across Asia for over a century. We believe in empowering every one of our people to find their 'better' - in the work they do, the career they build, the life they live and the difference they make. So that together we can support even more people - including our own - to live Healthier, Longer, Better Lives, build healthier societies and cultivate healthier environments that better everybody. If you believe in better, we’d love to hear from you.

Currently we are looking for Area Business Manager with details below:

Key Responsibilities:

ABM is required to recruit for a branch that is the responsibility of relatives.
Obliged to establish and build productive relationships and effective synergy with the bank partner.
Bank partner is obliged to assist parties, in increasing the number of Customer Base via Natural Market.
Achieve FYP/month and ANP from the targets given.
To ensure conditions in a state conductive and responsible about anything that happens in the team.
Control and monitoring team.
Control and monitoring report of the Bancassurance Consultant (subordinates), support to RBM (Regional Branch Manager) and the Board of Directors (BoD).
If there is anything else that is not listed above, it remains the responsibility of the ABM who must run and well execute.

Qualifications:

Candidate must possess at least a Bachelor’s Degree in any field.
At least 2 years of working experience as a Leader or 4 years of working experience in Life Insurance or Financial Industry.
Preferably Manager specializing in Life Insurance, Financial Industry or equivalent.
Excellent verbal and written communication skills.
Ability to write reports and business correspondence.
Must be comfortable managing communication and relationship with executive level contacts.
Willing to be placed in Jakarta Area.","Bancassurance, Communication, Customer Service, Financial Services, Presentation Skills, Problem Solving, Relationship Development, Report Writing, Sales Leadership, Team Effectiveness, and Team Leadership",https://media.licdn.com/dms/image/v2/C510BAQEmWvQmZ2PsMQ/company-logo_100_100/company-logo_100_100/0/1631411580594/aia_indonesia_logo?e=1733356800&v=beta&t=C4lk6U5XOMDBcAtkEZFSvoFtiekJvO2DY64vuaNB3hM,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4017181797/?alternateChannel=search&refId=zJCqWScttqGCWx8FA4Enzg%3D%3D&trackingId=iBD2%2B4aGDLpcSloWS545AA%3D%3D&trk=d_flagship3_search_srp_jobs
PT. Intikom Berlian Mustika,Solutions Architect,2 weeks ago,"Responsibilities:
Integrate solutions from the Infrastructure, Network, Transmission, and Cybersecurity solutions.
Conduct business analysis to understand and document customer needs and requirements.
Design and develop comprehensive IT architecture solutions.
Create efficient and scalable architecture designs.
Implement and oversee DevOps practices and network administration.
Ensure robust system and data security.
Collaborate and coordinate with other teams to design and implement architecture solutions.

Requirements:
Minimum Bachelor's degree in a relevant field (e.g., Computer Science, Information Technology).
At least 3 years of experience in IT architecture, infrastructure, and cloud architecture.
Proficiency in engineering and architecture design.
Hands-on experience with DevOps practices and network administration.
In-depth knowledge of system and data security principles.
Strong business analysis skills.
Excellent communication skills in English.","Application Security, Architecture Development, Cloud Infrastructure, Data Center Infrastructure, Data Security, IT Infrastructure Design, Infrastructure, Infrastructure Security, and Network Design",https://media.licdn.com/dms/image/v2/D560BAQEj2sp9kqNf0g/company-logo_100_100/company-logo_100_100/0/1714469508366/pt_intikom_berlian_mustika_logo?e=1733356800&v=beta&t=505Jbea_fVPykIZWhexjmZ0pnq1Xno5boJ-Sox2Gg4E,"On-site,Full-time,Associate","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4004281036/?alternateChannel=search&refId=zJCqWScttqGCWx8FA4Enzg%3D%3D&trackingId=lAd3PYn7S6LT3jWLCMvgsg%3D%3D&trk=d_flagship3_search_srp_jobs
Le Méridien Hotels & Resorts,Recreation Experience Expert - Basic Health Club Attendant,5 hours ago,"Job Number 24155350

Job Category Golf, Fitness, & Entertainment

Location Le Meridien Jakarta, Jalan Jenderal Sudirman, Jakarta, Jakarta, Indonesia VIEW ON MAP

Schedule Full-Time

Located Remotely? N

Relocation? N

Position Type Non-Management

Position Summary

Serve as a key resource for all recreation activities facilitated on the property. Provide information to guests about available recreation facilities, which may include pools, beach, entertainment zone/game-room, fitness center, and child activities center. Encourage, recruit, register, and schedule guests to participate in recreation activities. Promote a fun and relaxing atmosphere for guests. Promote the rules and regulations of the recreation facilities intended for the safety and welfare of guests and members. Observe activity in the recreational facility and respond appropriately in accordance with local operating procedure in the event of an emergency. Provide cashier services when working in facilities that include point of sales transactions. Assist when hosting private functions within the recreation facilities with group activities and events. Be aware of possible situations where guests are not able to safely participate in an activity and inform supervisor/manager Provide assistance to injured guests until the arrival of emergency medical services. Clean and maintain recreational facilities, equipment and supplies.

Report accidents, injuries, and unsafe work conditions to manager; complete safety training and certifications. Follow company policies and procedures; ensure uniform and personal appearance is clean and professional; maintain confidentiality of proprietary information; protect company assets. Welcome and acknowledge all guests according to company standards; anticipate and address guests’ service needs; assist individuals with disabilities; thank guests with genuine appreciation. Speak with others using clear and professional language; answer telephones using appropriate etiquette. Develop and maintain positive working relationships with others; support team to reach common goals. Process payments for rental equipment, recreation activities, facility rentals, or retail sales. Comply with quality assurance expectations and standards. Read and visually verify information in a variety of formats (e.g., small print). Visually inspect tools, equipment, or machines (e.g., to identify defects). Enter and locate work-related information using computers and/or point of sale systems. Stand, sit, or walk for an extended period of time or for an entire work shift. Move, lift, carry, push, pull, and place objects weighing less than or equal to 25 pounds without assistance and objects weighing in excess of 25 pounds with assistance. Grasp, turn, and manipulate objects of varying size and weight, requiring fine motor skills and hand-eye coordination. Move through narrow, confined, or elevated spaces. Move over sloping, uneven, or slippery surfaces as well as up and down stairs and/or service ramps. Reach overhead and below the knees, including bending, twisting, pulling, and stooping. Perform other reasonable job duties as requested.

Preferred Qualifications

Education: High school diploma or G.E.D. equivalent.

Related Work Experience: No related work experience.

Supervisory Experience: No supervisory experience.

Required Qualifications

License or Certification: CPR Certification

First Aid Certification

Recreation Equipment

Any certification or training required by local and state agencies.

Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.

At Le Méridien, we are inspired by the era of glamorous travel, celebrating each culture through the distinctly European spirit of savouring the good life. Our guests are curious and creative, cosmopolitan culture seekers that appreciate moments of connection and slowing down to savour the destination. We provide authentic, chic and memorable service along with experiences that inspire guests to savour the good life. We’re looking for curious and creative people to join our team. If you appreciate connecting with like-minded guests and have a deep desire to create memorable experiences, we invite you to explore career opportunities with Le Méridien. In joining Le Méridien, you join a portfolio of brands with Marriott International. Be where you can do your best work, begin your purpose, belong to an amazing global team, and become the best version of you.","Communication, Confidentiality, First Aid, Front Office Operations, Health Club, Receptionist Duties, Recreation, Supervisory Skills, Teamwork, and Training",https://media.licdn.com/dms/image/v2/C4E0BAQFakt8VoVE7Bg/company-logo_100_100/company-logo_100_100/0/1630583981238/le_meridien_hotels__resorts_logo?e=1733356800&v=beta&t=mpW-l0JAuC8nARynxtZjJgcafo4Li4WivY2tmJyY8xg,"Full-time,Entry,level","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4015797337/?alternateChannel=search&refId=zJCqWScttqGCWx8FA4Enzg%3D%3D&trackingId=%2FzCDqktFPfqSfwwdqcgMWw%3D%3D&trk=d_flagship3_search_srp_jobs
broom.id,Corporate Strategy Lead,6 hours ago,"Responsibilities: 
Responsible for end-to-end fundraising activities and provide necessary documents for fundraising that includes pitch deck, financial projection, internal data and other commercial documents
Lead various corporate development initiatives that relates to strategic review on industry trend, new business initiatives, M&A and restructuring activity
Lead and develop high-performing deal teams with advanced financial modeling and transaction execution knowledge and general management skills.
Monitor company performances regularly to ensure company’s profitability
Take the actions necessary to follow up on partnership opportunities
Maintain relationship with investors, partners and other stakeholders
Develop the right financial way to estimate cash flow and profit potential
Analyze, assess and communicate to the Board on high level business impacts and risks.

Qualifications
Master’s degree preferred
Proven Experience overseeing financial modelling, including providing guidance to junior team members and ensuring consistent quality and accuracy of analysis
Confirmed valuation knowledge and strong understanding of financial and accounting principles
Minimum of 4 years of related work experience
Comfortable working in a fast-paced, multi-tasked, high-energy working environment","Accounting, Accounting Standards, Analytical Skills, Corporate Fundraising, Corporate Strategy, Finance, Financial Analysis, Financial Forecasting, Financial Modeling, Fundraising, Mergers & Acquisitions (M&A), and Skill Development",https://media.licdn.com/dms/image/v2/C4D0BAQECwvfG0t1h7g/company-logo_100_100/company-logo_100_100/0/1657186268771/broom_id_logo?e=1733356800&v=beta&t=kzyjJjWqcLXi8qxRhIXMms0dSiZNhR7zQ3KYIKP4pRo,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4017458734/?alternateChannel=search&refId=zJCqWScttqGCWx8FA4Enzg%3D%3D&trackingId=BCkHaP7junNipVmWWe%2Fk4w%3D%3D&trk=d_flagship3_search_srp_jobs
Sheraton Hotels & Resorts,Commis,5 hours ago,"Job Number 24155415

Job Category Food and Beverage & Culinary

Location Sheraton Senggigi Beach Resort, Jalan Raya Senggigi Km. 8, Lombok, West Nusa Tenggara, Indonesia VIEW ON MAP

Schedule Full-Time

Located Remotely? N

Relocation? N

Position Type Non-Management

Position Summary

Prepare special meals or substitute items. Regulate temperature of ovens, broilers, grills, and roasters. Pull food from freezer storage to thaw in the refrigerator. Ensure proper portion, arrangement, and food garnish. Maintain food logs. Monitor the quality and quantity of food that is prepared. Communicate assistance needed during busy periods. Inform Chef of excess food items for use in daily specials. Inform Food & Beverage service staff of menu specials and out of stock menu items. Ensure the quality of the food items. Prepare and cook food according to recipes, quality standards, presentation standards, and food preparation checklist. Prepare cold foods.

Assist management in hiring, training, scheduling, evaluating, counseling, disciplining, and motivating and coaching employees; serve as a role model. Follow all company and safety and security policies and procedures; report maintenance needs, accidents, injuries, and unsafe work conditions to manager; complete safety training and certifications. Ensure uniform and personal appearance are clean and professional; maintain confidentiality of proprietary information; protect company assets. Anticipate and address guests’ service needs. Speak with others using clear and professional language. Develop and maintain positive working relationships with others; support team to reach common goals; listen and respond appropriately to the concerns of other employees. Ensure adherence to quality expectations and standards. Stand, sit, or walk for an extended period of time. Reach overhead and below the knees, including bending, twisting, pulling, and stooping. Move, lift, carry, push, pull, and place objects weighing less than or equal to 25 pounds without assistance. Perform other reasonable job duties as requested by Supervisors.

Preferred Qualification

Education: Technical, Trade, or Vocational School Degree.

Related Work Experience: At least 3 years of related work experience.

Supervisory Experience: No supervisory experience.

License or Certification: None

Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.

When you join the Sheraton family, you become a member of its global community. We’ve been a place to gather and connect since 1937. At Sheraton, associates create a sense of belonging in more than 400 communities around the world. We invite, we welcome, and we connect guests through engaging experiences and thoughtful service. If you’re a team player who is excited to deliver a meaningful guest experience, we encourage you to explore your next career opportunity with Sheraton. Join us on our mission to be ‘The World’s Gathering Place’. In joining Sheraton Hotels & Resorts, you join a portfolio of brands with Marriott International. Be where you can do your best work, begin your purpose, belong to an amazing global team, and become the best version of you.","Butchery, Cooking, Culinary Arts, Food Preparation, Food Quality, Food Safety, Food and Beverage Operations, Grills, Menu Costing, and Presentations",https://media.licdn.com/dms/image/v2/C4E0BAQHSB40QRirfIw/company-logo_100_100/company-logo_100_100/0/1630602842546/sheraton_logo?e=1733356800&v=beta&t=T9_CUEwqP49q-j_YslJ4hqD6RKe7VChVRwnBI820E8M,"Full-time,Entry,level","Lombok, West Nusa Tenggara, Indonesia",https://www.linkedin.com/jobs/view/4015793835/?alternateChannel=search&refId=zJCqWScttqGCWx8FA4Enzg%3D%3D&trackingId=t9I7V22CLNN%2Bjk2pS50E9A%3D%3D&trk=d_flagship3_search_srp_jobs
Prudential Indonesia (PT Prudential Life Assurance),Head of Data and Analytics (Sharia),Reposted 1 month ago,"Prudential’s purpose is to be partners for every life and protectors for every future. Our purpose encourages everything we do by creating a culture in which diversity is celebrated and inclusion assured, for our people, customers, and partners. We provide a platform for our people to do their best work and make an impact to the business, and we support our people’s career ambitions. We pledge to make Prudential a place where you can Connect, Grow, and Succeed.

Key Responsibilities:
Participate and ingrain data and analytics frameworks through the stages of development lifecycle, from requirements gathering to deployment to production.
Design, develop, unit test and implement tools and processes to gather data across mobile apps, websites, platforms of Prudential and eco-system partners. Come up with desired sets of standards to be followed for data engineering, data modelling etc
Create specifications and detailed plans, write code, oversee testing and debugging, and play an active role in the rollout and launch.
Work in close collaboration with other engineers, designers, R&D, analysts, product managers and other teams and stakeholders to achieve desired outcomes for the company.
Work closely with stakeholders to solve enterprise problems like to build Data storage, exposing and sharing of data in line with security and compliance requirements, Cloud Native and Serverless Applications and Analytics Solutions
Build robust batch and streaming data pipelines for production-grade data products /platforms, ensuring scalability and reliability
Create web services or APIs to connect and integrate analytical stacks to application layers
Manage data modelling design, writing, and optimizing streaming and/or ETL jobs
Data mining analysis and processing ability, participate in data access, inspection, optimization and other processing processes

Qualifications:
Have bachelor’s in engineering from a recognized institute, with a minimum 14 years of experience
Have knowledge and experience in ecosystem/platforms-as-a-service approach.
Have knowledge and experience in wellness and insurance domain capabilities.
Hand-on data-engineering experience and demonstrable body of work (Min 10 years) experience in data streaming, ETL, data pipeline building, and data warehousing
Proficient in designing efficient and robust data integration workflows using APIs and standard toolsets.
Deep expertise in leveraging PowerBI to build and automate various insights and reports required
Deep expertise in leveraging cloud native data capabilities like BigQuery, Snowflake, databricks etc
Deep expertise in building enterprise grade and wide data lake, data warehouses
Deep expertise in leveraging AI and ML to build recommendation and/or personalization engine, churning insights for businesses to increase persistency and find ways to up/cross sell to existing customers etc.
Exposure to Database technologies such as Couchbase, Prometheus, Postgress, MongoDB etc.
Able to implement and maintain components of big data technologies for both exploratory and production data science platforms
Strong client and stakeholder management abilities coupled with excellent communication, written, analytical, organisational and problem-solving skills

Prudential is an equal opportunity employer. We provide equality of opportunity of benefits for all who apply and who perform work for our organisation irrespective of sex, race, age, ethnic origin, educational, social and cultural background, marital status, pregnancy and maternity, religion or belief, disability or part-time / fixed-term work, or any other status protected by applicable law. We encourage the same standards from our recruitment and third-party suppliers taking into account the context of grade, job and location. We also allow for reasonable adjustments to support people with individual physical or mental health requirements.","Communication, Data Analytics, Data Engineering, Data Modeling, Data Warehousing, Information Technology, Microsoft Power BI, and Stakeholder Management",https://media.licdn.com/dms/image/v2/C510BAQHlHbrkp6AbPg/company-logo_100_100/company-logo_100_100/0/1630608436677/prudential_indonesia_pt_prudential_life_assurance__logo?e=1733356800&v=beta&t=y2KTb6DuWkWhWlcE8GTrpGv5yB8SLBkX8Yt0dCLzo0U,"Hybrid,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3967426688/?alternateChannel=search&refId=zJCqWScttqGCWx8FA4Enzg%3D%3D&trackingId=%2BW%2BRgTnWnq3UOA1LZ8SufQ%3D%3D&trk=d_flagship3_search_srp_jobs
WIZ.AI,AI Support Intern (Mandarin Speaker),5 days ago,"WIZ.AI's suite of generative AI-powered omnichannel customer engagement solutions is trusted by 260+ global clients to enhance customer experience, improve customer outreach, foster human-AI collaboration, increase business results, and attain higher cost savings. WIZ.AI's solutions automate ten million interactions every hour, helping businesses connect with their customers at the right time with the right message through the right channel. Through its distinct product suite, WIZ.AI offers global reach while facilitating local expertise to its clients.


Key Responsibilities:
1.Script & CRM Development
Perform minor development tasks on script and CRM logic flow.
Configure software, cross-test, and train.
Collect intents and clean up data.
2.Call Monitoring & Issue Fixing
Set up and track internal call tasks.
Conduct and monitor calls, ensuring quality and logic.
Fix issues found during call logging.
Ensure outbound call tasks run smoothly.
3.NLU Corpus Development
Collect user responses for project scenarios.
4.ASR Corpus Development
Gather various pronunciations and speaking styles.
5.Data Annotation
Annotate data accurately.
6.Sound Editing
Edit, splice, and upload sound files.
7.Other Tasks
Perform additional operational tasks as needed.

Requirements:
Final year students & fresh graduates are very welcome to apply!
Excellent in English and proviciency in Mandarin written and communication is a must.
Passing our logic test is a must.
Detail oriented, fast leaner, and flexible.
Willing to work from office in South Jakarta.","Annotation, Call Logging, Chinese, Chinese Translation, Communication, Customer Relationship Management (CRM), English, and Mandarin",https://media.licdn.com/dms/image/v2/D560BAQGJXeKI3cHCUg/company-logo_100_100/company-logo_100_100/0/1722412064100/wiz_ai_logo?e=1733356800&v=beta&t=lNNI_TA74ScivrnvfukDoX_y-HNA76vO7TkTelkc2_A,"On-site,Internship,Internship","South Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4013328515/?alternateChannel=search&refId=iIs0zB17VbEnHAvGUiq2%2BA%3D%3D&trackingId=2aBIkGg33qgmZgGvY9Uv6g%3D%3D&trk=d_flagship3_search_srp_jobs
