Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations,Link
Esri Indonesia,Senior Account Manager - Mining Sector,2 weeks ago,"About the job

Esri Indonesia is an important member of the world's largest group of ArcGIS specialists (outside the US) - the Boustead geospatial group.

Esri Indonesia is the nation's foremost authority on Geographic Information System (GIS) technology, and more specifically, Esri’s world-leading ArcGIS.

We show the highest level of integrity in all our dealings and enjoy the trust of the nation's leading government agencies and commercial enterprises. Armed with a quality product and a unique understanding of ArcGIS, we are committed to delivering commercially responsible solutions for a stronger Indonesia.

We are also continuously looking for new ways to work more efficiently and more effectively. That’s where you come in!



About the Role

This role will leverage expertise in Geographic Information Systems (GIS) technology and relationship-building skills to develop and manage accounts, drive revenue growth, and become a trusted advisor to our mining clients.

Your key responsibilities will include:

Lead assigned portfolio of mining industry accounts, developing and maintaining strong, long-lasting relationships with key decision-makers.
Develop and execute strategic account plans to achieve revenue targets for assigned mining clients.
Manage existing client relationships, acting as a trusted advisor and understanding their specific GIS needs within the mining context.
Oversee the account management process, ensuring client satisfaction and exceeding expectations.
Collaborate with technical teams to ensure successful project implementation for mining clients.
Contribute to the development and execution of overall sales strategies for the company.
Foster strong relationships with clients by providing ongoing support and addressing their concerns.


About You

We are seeking a seasoned Senior Account Manager with a strong understanding of the mining industry to lead sales efforts within mining sector.

The ideal candidate will have a proven experience in dealing with specific required sector in selling Software Solutions.


To be successful in this contract role, you will need:
Bachelor’s degree in information technology, Mining Engineering, Geosciences, GIS, Business Administration, or a related field
Minimum 8 years of experience in B2B sales, preferably with targeted account within the mining sector.
Proven track record of exceeding sales targets, achieving revenue growth, and building strong client relationships.
Understanding of GIS technologies and their application in the mining industry (e.g., exploration, asset management, mine planning, environmental monitoring).
Excellent communication, presentation, and interpersonal skills.
Ability to build strong relationships and act as a trusted advisor to clients.
Experience with GIS software or mining software is a plus.


Why Esri Indonesia

At Esri Indonesia, we foster an inclusive, people-centric environment that values both professional excellence and personal well-being. Joining us, you will be provided with:


Investment in your Growth: Access dedicated training and development programs, allowing you to continuously upskill and grow in your role.
Career Advancement: We promote internal mobility, and provide clear pathways for career progression, empowering you to navigate and elevate your professional journey.
Appreciation and Engagement: Enjoy a range of benefits, including Flexi Benefits, Mobile Phone Allowance, Medical & Insurance, Yearly Salary Increment, Referral Spotter Fees, Staff Awards, Engaging Events, and much more.","Account Management, Coal Mining, Enterprise Resource Planning (ERP), Enterprise Software, Geographic Information Systems (GIS), Mineral Exploration, Mining, Sales, Software Sales, Software as a Service (SaaS), and Solution Selling",https://media.licdn.com/dms/image/v2/D560BAQH45fdhW6SXIw/company-logo_100_100/company-logo_100_100/0/1695681325629/esri_indonesia_logo?e=1733356800&v=beta&t=IeQ7qU_nbI_Al_EMzU-b-fcTLwrGBJ_IDwIDYgXeH5I,"On-site,Full-time,Associate","South Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3999644462/?alternateChannel=search&refId=nWYzyMpIT4g6kXblsELA1g%3D%3D&trackingId=771cpyWAVZ%2F3TmY0U9ZEHA%3D%3D&trk=d_flagship3_search_srp_jobs
"Wayzim Technology Co., Ltd.",Sales Manager,Reposted 4 weeks ago,"Company Description:
Wayzim is an industry-leading supplier of intelligent logistics equipment, intelligent vision systems and industrial sensors. One of the few international companies that have the integrated capabilities to research, develop, design, and manufacture intelligent logistics equipment systems and key components.

We have a strong interest in finding the best employees for our company and in their being committed to us for the long term. Naturally, it is our employees who inspire our customers and partners. At Wayzim Indonesia, you can take your career to new heights in a challenging and exciting global environment.

Job Description
As a Sales Expert your main functions/tasks will be:
· Commercial responsible for proposals by meeting our clients' needs.
· Acquisition of new projects with existing and new customers.
· Ensure understanding of customer needs.
· Define sales strategies on how to win new projects / customers.
· Define value propositions in projects.
· Prioritize projects to quote / not quote to optimize hit rate.
· Development of new markets, new segments / branches and new offerings.
· Customer contact on any level needed incl. management level.
· Responsible for coordination of sales process incl. SAF meetings (lead, target, quotation).
· The responsibilities cover all commercial, proposal activities.
· Thus, activities also include contract negotiations concerning performance requirements, schedules, layouts and also the complete sales pricing of the projects.
· Ensuring a confident handover to our project execution teams worldwide after contract signature.
· Know the activities of our Group Company in a project during sales phase.
· Monitor competitors.
· Keep focus on new trends / developments in the market (input to R & D roadmap).
· Responsible for the content of presentations related to the different Wayzim products.
· Learning the products, processes, business principles etc. and coach colleagues.


Job Requirements:
· You have a Bachelor or Master in Engineering or a commercial background.
· Preferably you have +5 years of experience with identifying customer needs and translating them into optimal systems.
· Preferably you have +5 years of experience with successful contract negotiations in regard to technical aspects of systems.
· Preferably experience with leading the technical part of proposals by covering all technical and pricing activities.
· You are experienced in organizing and leading a confident handover to a project execution team.
· You are strongly goal orientated and you have a holistic and strong technical mind-set and, you act with authority.
· You have a high degree of initiative, and you enjoy working in an international team
· You are fluent in English.
· You are willing to travel.",Sales,https://media.licdn.com/dms/image/v2/D560BAQEEtHxYdVqMhw/company-logo_100_100/company-logo_100_100/0/1691995799974/wayzim_logo?e=1733356800&v=beta&t=FvUFgX3cbbdfeckxEzav4WxCiZKIwQLMq_oBnr76v6k,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3948094762/?alternateChannel=search&refId=nWYzyMpIT4g6kXblsELA1g%3D%3D&trackingId=m3QQLGkBemWPzz%2BUuk%2Fpew%3D%3D&trk=d_flagship3_search_srp_jobs
ZTE Corporation,Smartphone Regional Sales Manager,1 week ago,"Employment: Outsourcing
Workbase:
Pekanbaru (1)

Job Description:
Responsible for sales growth in region, include both modern and traditional dealers.
Build sales strategy match according to assigned region market.
Analyze daily inventory level, sell through progress and coverage and sell out achievement.
Daily briefing, monitor, and responsible for review the product achievement and promotor productivity
Manage allocation to all key dealers, open new channel.
Market intelligent about competitor activity, hot issue about dealers, market situation.
Weekly review to all products performance and report to director for any problem, solution and support needed.
Sales forecast (allocation, gap to target, program execution)

Requirements:
Bachelors or diploma degree from any major
1-3 years of experience in mobile phone sales field (from Chinesebrand would be preferred e.g. Infinix, Vivo, Oppo, Xiaomi)
Good communication skills in English
Have data analysis and sales management ability
Energetic person, can work both in group as well as individual","Analytical Skills, Communication, Data Analysis, English, Phone Manner, Problem Solving, Sales, Sales Growth, Sales Management, and Sales Strategy",https://media.licdn.com/dms/image/v2/C4E0BAQEO0sDfPp97WQ/company-logo_100_100/company-logo_100_100/0/1631313156150?e=1733356800&v=beta&t=VHuGVkxjcN262Ey4rNlJ9Y2k9242Bv8AZ3SC8up6q_Q,"On-site,Contract,Mid-Senior,level","Pekanbaru, Riau, Indonesia",https://www.linkedin.com/jobs/view/4008084194/?alternateChannel=search&refId=nWYzyMpIT4g6kXblsELA1g%3D%3D&trackingId=WXJSXDdWI1IMMyzvwDoa7Q%3D%3D&trk=d_flagship3_search_srp_jobs
SoftwareOne,Cloud Solution Architect- AWS,3 weeks ago,"Develop Enterprise Cloud solutions, lead delivery teams in customer workshop, coordinate with multiple stakeholders in client hierarchy to engage, understand and articulate requirements to create solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure and platform solutions.
 As a cloud architect, you will engage with clients to define and design the cloud technology architecture and solution architecture. You will also define application and IT Architecture focusing on the mapping of Business requirement’s to IT Capabilities and align the same.

The focus is to define the integrations between, Applications, Data and Technology in the Enterprise and the Transitional Process necessary for migration and modernizing to cloud based architecture that includes APIs, microservices and containers.

You will keep yourself updated with latest technology trends and architectural styles and suggests leveraging of modern digital technologies to cater to business needs. Recognized as an Expert In their technology and architecture field. You will guide cloud objectives and technologies.
Job Requirements 
Key Responsibilities :
Define end to end Enterprise and Cloud based Architecture catering to client needs and requirements
Analyze Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and risks to propose cloud roadmap, solution architecture and associated TCO
Develop and implement cloud architecture solutions based on AWS and knowledge of AWS , GCP or IBM Cloud is added advantage when assigned to work on delivery projects.
Analyze client requirements, propose for overall Application modernization, migrations and green field implementations and should be able to execute those projects as technical consultant
Experience in implementing and deploying a DevOps based, end to end cloud application
Lead teams for a discovery and architecture workshop, influence client architects, and IT personnel
Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements.
Deliver an optimized infrastructure services design leveraging public, private, and hybrid Cloud architectures and services 
Act as subject matter and implementation expert for the client as related to technical architecture and implementation of proposed solution using Cloud Services
Implement Solution using AWS Cloud Services, open source and other 3rd party technologies
Create and develop process frameworks, documents, SOP’s, cook book, automation scripts/tools for Cloud Discovery, Migrations, Application modernization, DevSecOPs and Services transitions to cloud
Experienced in developing Terraform/Powershell/AWS Cloud Formation/Jenkin/Ansible /templates
Lead internal and external initiative to standardize, automate and develop competitive assets and accelerators
 Technical Experience :
Knowledge on creating IaaS and PaaS cloud solutions in AWS Platform that meet customer needs for scalability, reliability and performance 
Experienced in delivering large/medium scale enterprise solution using Microservices, APIs, Containerization, Kubernetes, App modernization, Cloud Iaas & PaaS
Understanding of WAN, LAN, TCP/IP, VPN, Virtual Networking, Subnet, Routing, Storage account/management and Infrastructure as a Service 
Experience in creating systems logical view, network diagram and able to build automated solution for server build, resource monitoring 
Knowledge and experience in delivering solution using middle ware integration technologies using SOA, ESB, API platforms, API Security
Experience in design, development and architecture of Java/JEE/.NET based system
Have ability to assess multiple types of operating systems (AIX, Linux, Windows etc) and database (Postgres, Sybase, MySQL, MS SQL, NoSQL, DB2, Oracle, Cassandra and MongoDB) to develop transformation approaches and solutions
Worked on Cloud Administration tasks :Creating resource group, storage account, etc
Professional Attributes : 
Strategic thinker, have ability grasp new technologies, innovate, develop and nurture new solutions
Experience in driving consulting workshops, creating content of workshops in short deadlines to C-levels
Demonstrate thought leadership, create good impacts in engagements, manage time and demonstrate flexibility by adapting to situations
An ability to follow processes 
Strong documentation skill 
Good communication skills both written and verbal with the client
 Certifications
 - TOGAF, ITIL, AWS Solution Architect Associate & Expert/AWS Solution Architect Associate & Professional /GCP Professional
Company description 
Hear firsthand from SoftwareOne APAC leaders as they unveil our exciting business and growth plan, spill the beans on our hiring initiatives, and reveal why joining SoftwareOne is an innovator. Join us now and be part of our incredible journey.
 ",".NET Framework, Adobe InDesign, Architecture, C (Programming Language), Content Strategy, Enterprise Service Bus (ESB) Architecture, Java, Service-Oriented Architecture (SOA), TOGAF, and Workshops",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1733356800&v=beta&t=VLqqnKvUkKphLYkvlbPRGHAe-UePjZ6RXohc-aFhVfg,"On-site,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3999264960/?alternateChannel=search&refId=nWYzyMpIT4g6kXblsELA1g%3D%3D&trackingId=vYT%2FaIWRQcIWEUj8HiUgFg%3D%3D&trk=d_flagship3_search_srp_jobs
VLink Inc,iOS Developer,3 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,"Hybrid,Contract,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4000970453/?alternateChannel=search&refId=nWYzyMpIT4g6kXblsELA1g%3D%3D&trackingId=lkuJLj%2Bwj4CxDfGMUY%2F4vg%3D%3D&trk=d_flagship3_search_srp_jobs
Eaton,"CPS Sales Manager, 3P UPS",1 week ago,"If you desire to be part of something special, to be part of a winning team, to be part of a fun team – winning is fun. We are looking forward to a CPS Sales Manager in Eaton’s Electrical business, based in Jakarta, Indonesia. In Eaton, making our work exciting, engaging, meaningful; ensuring safety, health, wellness; and being a model of inclusion & diversity are already embedded in who we are - it’s in our values, part of our vision, and our clearly defined aspirational goals.

The primary function of the job is to manage all CPS sales efforts within the country either direct or through partners; achieve annual sales and growth targets.

This exciting role offers opportunity to: 
Responsible for meeting and exceeding assigned revenue quotas for each selected segment e.g. Government, Healthcare, IT, Banking, Industrial etc. especially for 3Phase UPS solutions.
Walk the market to understand the ongoing projects and bring the projects leads to the partner.
Work with the partners to clearly define project scope, ensure sustainability of business & partner relationship.
Build strong relationships with key end user customers in specific growing segment to enhance long term business prospects.
Identify potential growing segment, develop business plan and implement it to increase market-share and profitability of products and services.

Requirement: 
Bachelor’s Degree or equivalent
Minimum 5+ years of sales experience
Significant Electrical Product/Services Knowledge
Familiar with PowerPoint & Excel
Market orientation in Data Centre and Telecommunication/Banking
History of selling 3phase UPS, Data Center Solution, Electrical solution, and licenses/subscriptions to large, complex organizations with demonstrated ownership of all aspects of territory management.
Sales experience in Solution Selling - critical power
Experience with specific segment, e.g. Panel builder, system integrator and ME contractor, end user
Yes! Because you are the one we are looking for, we hope to hear from you now!","Critical Power, Data Center Infrastructure, Sales, and UPS Systems",https://media.licdn.com/dms/image/v2/C4E0BAQFlHTyFXVYarg/company-logo_100_100/company-logo_100_100/0/1630597759539/eaton_logo?e=1733356800&v=beta&t=t-npDWkQMwbyb4C5HIS0oVc9F6KGGg4UwVySjO2PYsE,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4007767815/?alternateChannel=search&refId=nWYzyMpIT4g6kXblsELA1g%3D%3D&trackingId=yizjRbofScdPkXO2EHgBUw%3D%3D&trk=d_flagship3_search_srp_jobs
Exclusive Networks Asia,System Engineer Team Lead,Reposted 1 week ago,"EXCLUSIVE NETWORKS | Introduction

Exclusive Networks (EXN) is a global cybersecurity specialist that provides partners and end-customers with a wide range of services and product portfolios via proven routes to market. With offices in over 45 countries and the ability to serve customers in over 170 countries, we combine a local perspective with the scale and delivery of a single global organization.

Our best-in-class vendor portfolio is carefully curated with all leading industry players. Our services range from managed security to specialist technical accreditation and training and capitalize on rapidly evolving technologies and changing business models. For more information visit and watch our video

At Exclusive Networks, we are passionate about making a difference. That means delivering the best to our clients, doing our part to create a prosperous and trusted digital world, and helping our people to realize their potential.

DUTIES AND RESPONSIBILITIES | About the role

We are looking for a System Engineer Team Lead to support and grow the EN Fortinet business. This position is responsible for the provision of products and services technical sales and support.
This role will report to Technical Manager.

As the System Engineer Team Lead, you will:

Lead a team of System Engineers
Perform Proof of Concept ( POC )
Create Technical Proposal and conduct product presentation to Partner/End-user
Perform technical enablement to Partners / End-users
Create BOQ and supporting as Technical to sales for selling the product
Responsible for Installation/Maintenance works

QUALIFICATIONS AND EXPERIENCE| About You

The ideal System Engineer Team Lead:

Degree in Information Technology or related field
Have NSE-7 certification
Have strong experience on Fortigate/SDWAN/ZTNA
Have strong experience on Fortimail/Mailsecurity
Have strong experience on Fortiweb/Web Application Firewall
Have strong experience on Endpoint security/EDR
Have experience on SIEM is a plus
Have strong passion to learn new things
Ability to motivate staff and influence their tasks to align with organizational goals and priorities

WHO ARE EXCLUSIVE NETWORKS? | Why work for us

We are people focused and strongly believe that talent empowers us to continue our dynasty of disruption and growth in the future. Our Mission is to drive the transition to a totally trusted digital world for all people and organizations. Visit our website

We are proud to be an Equal Opportunity Employer. We are committed to the recruitment and hiring of individuals from diverse backgrounds and experiences, as we believe this strengthens our ability to develop superior solutions, make informed decisions, and better serve our valued customers. We do not discriminate against individuals on the basis of race, religion, color, national origin, gender, sexual orientation, disability status, or any similar characteristic. Employment decisions are made solely on the basis of qualifications, merit, and business need. Please to review our Diversity and Inclusion Policy for further information.

We care about your data: please to read our Recruitment Data Protection Policy prior to applying, and therefore sharing your data with us.

Our benefits include:

Medical Insurance for employee and family
Allowance for communication (phone and internet)
Parking facilities In office","Endpoint Security, FortiWeb, Fortinet, NSE, Network Security, People Management, Presales, Product Presentation, Proof of Concept, and Technical Sales",https://media.licdn.com/dms/image/v2/C4D0BAQHawKYOKPIzhw/company-logo_100_100/company-logo_100_100/0/1630579290592/exclusive_networks_asia_logo?e=1733356800&v=beta&t=shiw7KOjWhbvI3dIrz8YgeVKMuJsOm3-y5GGU3YdbBo,"On-site,Full-time,Mid-Senior,level","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3984538055/?alternateChannel=search&refId=nWYzyMpIT4g6kXblsELA1g%3D%3D&trackingId=IlkUY628f9%2BBJANaf5Xf1g%3D%3D&trk=d_flagship3_search_srp_jobs
EY,Consulting - Tech FSO (Financial Services) Manager/Senior Manager,Reposted 1 week ago,"Why should I work for Ernst & Young's Financial Services (FSO)?

We are the only professional services organisation who has a separate business dedicated exclusively to the financial services marketplace. Join Financial Services (FSO) and you will work with multi-disciplinary teams from around the world to deliver a global perspective. Aligned to key industry groups including asset management, banking and capital markets, insurance and private equity, we provide integrated advisory, assurance, tax, and transaction services.

Through diverse experiences, world-class learning and individually tailored coaching you will experience ongoing professional development. That’s how we develop outstanding leaders who team to deliver on our promises to all of our stakeholders, and in so doing, play a critical role in building a better working world for our people, for our clients and for our communities. Sound interesting? Well this is just the beginning. Because whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

The opportunity

In a world where disruption is commonplace and technology changes business at an amazing rate, we help solve complex industry challenges while helping our clients manage risk and improve their performance. As a future FSO Technology Consultant, you will help our clients in the following domains:

Business & strategic challenges: business & solution architecture, business process design for the digitization of core banking or insurance processes, digital transformation in an agile context, project / program management, business and IT alignment of digital driven business initiatives, front-to-back renewal, and design & improvement of digital operating models.
Technical matters: data science, advanced analytics embedded in core business processes, IoT, data strategy, data governance, data quality, data architecture, data management, data usage, blockchain, artificial intelligence and RPA.

As part of the team, you will work on specific projects critical to financial services current landscape, with opportunities to switch teams, as you and our fast-paced business grow and evolve. You will play an important part in taking EY to the next level.

To qualify for the role you must have

A Bachelor or Master's Degree in (Business) Engineering, Computer Science, Information Systems Management, Mathematics, (applied) Economics or a related field of studies with an affinity for leading-edge technologies
Previous experience of at least 7 years in roles of Functional Consultant or Analyst Programmer preferably in companies in the financial services industry (payments, banks, insurance, capital markets).
Solid analytical skills
Knowledge of project management with agile, traditional and hybrid methodologies.
Advanced level of English.
Experience in team leadership.
Excellent oral and written communication skills.

If you can demonstrate that you meet the criteria above, please apply as soon as possible.","Analytical Skills, Communication, Data Governance, Data Science, Data Strategies, Digitization, Negotiation, Process Design, Team Leadership, and Written Communication",https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1733356800&v=beta&t=RrTPG8YlIhUlEyfXcWM1sEfwHcLvjidUsT0354HhTow,"On-site,Full-time,Mid-Senior,level","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3973472953/?alternateChannel=search&refId=XQoCSIv%2B2h8lPMUYt8qxuA%3D%3D&trackingId=kmAuRHKx44%2B4f%2Fvf6RtB0Q%3D%3D&trk=d_flagship3_search_srp_jobs
Infineon Technologies,Specialist Engineering Competency Development,Reposted 2 weeks ago,"In this role you are responsible to lead and implement engineering competency programs and projects. In your new role you will:

Lead competency assessments including preparation, implementation, reporting
Design blended learning solutions
Use digital tools to create flexible and innovative learning programs
Design a range of learning interventions, including technical and leadership programs and working with external partners where relevant
Lead the improvement projects

You are best equipped for this task if you have:

Bachelor's degree in Education, Human Resources or Business Administration
At least 1–2 years of experience in a training related role with instructional design and delivery experience
Very good organization and follow-up skills to coordinate program efforts
Reliable time management skills with great attention to detail and systematical skills with a high degree of professionalism
Comfortable taking the initiative with an innovative approach to designing solutions
Very good with MS Office tools and Keynote, and preferably training specific authoring tools
Ability to maintain databases

#WeAreIn for driving decarbonization and digitalization.

As a global leader in semiconductor solutions in power systems and IoT, Infineon enables game-changing solutions for green and efficient energy, clean and safe mobility, as well as smart and secure IoT. Together, we drive innovation and customer success, while caring for our people and empowering them to reach ambitious goals. Be a part of making life easier, safer and greener.

Are you in?

We are on a journey to create the best Infineon for everyone.

This means we embrace diversity and inclusion and welcome everyone for who they are. At Infineon, we offer a working environment characterized by trust, openness, respect and tolerance and are committed to give all applicants and employees equal opportunities. We base our recruiting decisions on the applicant´s experience and skills.

Please let your recruiter know if they need to pay special attention to something in order to enable your participation in the interview process.","Attention to Detail, Competency Assessment, Databases, Instructional Design, and Statistical Tools",https://media.licdn.com/dms/image/v2/C4E0BAQG0dfCs_tMDUQ/company-logo_100_100/company-logo_100_100/0/1631307630627?e=1733356800&v=beta&t=8Jj8vdkU32sWK_Upy9pDm1VHeb9vYo6-PCGJiAu3K_A,"Hybrid,Full-time,Associate","Batam, Riau Islands, Indonesia",https://www.linkedin.com/jobs/view/3986535163/?alternateChannel=search&refId=XQoCSIv%2B2h8lPMUYt8qxuA%3D%3D&trackingId=Tzovn11iFOqkuJtPsR0%2FjQ%3D%3D&trk=d_flagship3_search_srp_jobs
EY,Financial Technology Senior Consultant (FSO),Reposted 1 day ago,"Why should I work for Ernst & Young's Financial Services (FSO)?

We are the only professional services organisation who has a separate business dedicated exclusively to the financial services marketplace. Join Financial Services (FSO) and you will work with multi-disciplinary teams from around the world to deliver a global perspective. Aligned to key industry groups including asset management, banking and capital markets, insurance and private equity, we provide integrated advisory, assurance, tax, and transaction services.

Through diverse experiences, world-class learning and individually tailored coaching you will experience ongoing professional development. That’s how we develop outstanding leaders who team to deliver on our promises to all of our stakeholders, and in so doing, play a critical role in building a better working world for our people, for our clients and for our communities. Sound interesting? Well this is just the beginning. Because whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

The opportunity

In a world where disruption is commonplace and technology changes business at an amazing rate, we help solve complex industry challenges while helping our clients manage risk and improve their performance. As a future FSO Technology Consultant, you will help our clients in the following domains:

Business & strategic challenges: business & solution architecture, business process design for the digitization of core banking or insurance processes, digital transformation in an agile context, project / program management, business and IT alignment of digital driven business initiatives, front-to-back renewal, and design & improvement of digital operating models.
Technical matters: data science, advanced analytics embedded in core business processes, IoT, data strategy, data governance, data quality, data architecture, data management, data usage, blockchain, artificial intelligence and RPA.

As part of the team, you will work on specific projects critical to financial services current landscape, with opportunities to switch teams, as you and our fast-paced business grow and evolve. You will play an important part in taking EY to the next level.

Positions we are looking for

Cybersecurity
Digital
Platform
Data & Analytics

To qualify for the role you must have

A Bachelor or Master's Degree in (Business) Engineering, Computer Science, Information Systems Management, Mathematics, (applied) Economics or a related field of studies with an affinity for leading-edge technologies.
Previous experience of at least 3-5 years in roles of Functional Consultant or Analyst Programmer preferably in companies in the financial services industry (payments, banks, insurance, capital markets).
Solid analytical skills.
Knowledge of project management with agile, traditional and hybrid methodologies.
Advanced level of English.
Experience in team leadership.
Excellent oral and written communication skills.

If you can demonstrate that you meet the criteria above, please apply as soon as possible.","Analytical Skills, Communication, Computer Science, English, Internet of Things (IoT), Project Management, Robotic Process Automation (RPA), Team Leadership, Technology Consulting, and Written Communication",https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1733356800&v=beta&t=RrTPG8YlIhUlEyfXcWM1sEfwHcLvjidUsT0354HhTow,"On-site,Full-time,Associate","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3940831174/?alternateChannel=search&refId=XQoCSIv%2B2h8lPMUYt8qxuA%3D%3D&trackingId=ub4N1O7Y1rrU8PbqOJiBkg%3D%3D&trk=d_flagship3_search_srp_jobs
