Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations,Link
Lancesoft Indonesia,Java Software Engineer,Reposted 2 weeks ago,"Currently we're looking for Java Developer position!

Job Details:
- Have working experiences dan strong knowledge in Java Spring Boot.
- Minimal 2 years experience as Java Developer.
- Have working experiences and solid understanding in developing backend microservices based on Rest API and gRPC.
- Have working experiences and solid understanding in developing backend microservices integrated with SQL database (Oracle, posqresSQL) and NoSQL database (Monggo DB) and data caching (redis).
- Creative problem-solving skills.
- Good analytical & logical thinking.
- Familiar working with Git.","Java, PostgreSQL, and Spring Boot",https://media.licdn.com/dms/image/v2/D560BAQFuozay5Kozog/company-logo_100_100/company-logo_100_100/0/1713216265128/lancesoft_indonesia_logo?e=1733356800&v=beta&t=FrKYdJ8kr2iS2w184oSRVq_0dDdxVIvYa1zD4vM6J1g,"On-site,Contract,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3994803468/?alternateChannel=search&refId=%2By0g94njzWezlR2f%2BIrZ3g%3D%3D&trackingId=5GlDXJW6KI6wDytjg39kPA%3D%3D&trk=d_flagship3_search_srp_jobs
Bank Saqu,Payment Product,3 weeks ago,"About You
You're a go-getter with mad juggling skills (or multiple hats) who can thrive in a fast-paced, agile environment
You enjoy doing purpose-led and meaningful work
You have a strong thirst for knowledge and are driven to find solutions that don't exist yet
You are comfortable with ambiguity and extremely resourceful (in your past life, you could've been a detective)
You always find a way to get things done without sacrificing the quality of your work, integrity, and values
No task is off limits for you
You are humble and prioritize the success of the team over your own with an eagerness to help those around you
You don't shy away from challenges and can bounce back from setbacks

What you’ll do and what success looks like in this role:
Define and articulate the product vision, strategy, and roadmap, ensuring alignment with the company's overall goals and market demands.
Collaborate closely with engineering, design, marketing, and other cross functional teams to ensure seamless product development and successful product launches.
Oversee the entire product lifecycle from concept to launch, including requirements gathering, development, testing, and post launch optimization
Establish KPI's for product success, track and analyze product performance, and make data driven decisions to drive continuous improvement.
Act as the voice of the customer within the organization, ensuring that customer feedback and insights are integrated into product development and improvements.
Communicate product plans, progress, and results to stakeholders at all levels, ensuring transparency and alignment across the organization.
Foster a culture of innovation and creativity within the product team, encouraging the exploration of new ideas and solutions to meet customer needs.
Identify potential risks in the product development process and implement strategies to mitigate them, ensuring timely and successful product delivery.
Manage product budgets and resources effectively, ensuring that are completed within scope, on time, and within budget constraints.

What Is Required and What We’re Looking For
Proven experience (usually 2+ years) in product management roles within the banking or financial services industry.
Familiarity with payment systems, including debit cards, credit cards, online banking, mobile payments, and/or digital wallets.
Deep understanding of banking products, payment processing, and financial regulations.
Knowledge of industry trends, emerging technologies, and competitive landscape in payments.
Ability to develop and communicate a clear product vision and roadmap aligned with business goals.
Experience in defining product strategy based on market research, customer insights, and competitive analysis.
Proficiency in agile methodologies and product lifecycle management.
Hands-on experience in defining product requirements, prioritizing features, and managing product launches.
Strong leadership skills with the ability to motivate and lead cross-functional teams.
Experience collaborating with stakeholders across marketing, operations, compliance, and technology departments.
Data-driven decision-making skills, with the ability to analyze product performance metrics and user feedback.
Experience in conducting market research, user testing, and competitive analysis to inform product decisions.
Excellent verbal and written communication skills, including the ability to present complex ideas clearly and concisely.
Strong interpersonal skills to build relationships with internal teams, external partners, and customers.","Analytical Skills, Chargebacks, and Communication",https://media.licdn.com/dms/image/v2/D560BAQFh-CnrLSIxqQ/company-logo_100_100/company-logo_100_100/0/1719215418213/bank_saqu_logo?e=1733356800&v=beta&t=GCfjQlED0tBo9jUv8qtgHnauDlhUFWeL9JGT18IHRTg,"Hybrid,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4000347481/?alternateChannel=search&refId=%2By0g94njzWezlR2f%2BIrZ3g%3D%3D&trackingId=EVtjv2LYDKlt%2BGl0Rqi6ow%3D%3D&trk=d_flagship3_search_srp_jobs
Robert Walters,Enterprise Sales Leader,3 weeks ago,"The Red Hat Sales team is looking for an Enterprise Sales Leader to join us in Indonesia. The Enterprise Sales Leader is responsible for leading revenue generating activities, team performance, and focused on overachieving targets for the region. A successful candidate is a results oriented leader.

What you'll do:
This individual is responsible for ensuring consistent and predictable sales execution in their region, while meeting or exceeding targets. The role requires a revenue oriented mindset with experience leading and thriving in a matrix sales organization. This individual must have experience developing and maintaining executive level relationships with Red Hat's customers and partners. This person will manage a high performing team while operating within Red Hat's globally defined Enterprise go to market strategy and operating model. This leader is critical to support the acceleration of Red Hat as a diverse, inclusive, and customer centric world-class leader in open source innovation. As a leader with Red Hat this person must be inspirational, and capable of contributing to the overall company strategy.
Lead a team to drive the adoption of the Red Hat offerings with Enterprise customers.
Ensure high customer satisfaction and success.
Recruit, develop and retain world class talent.
Proactively partner across Red Hat's Ecosystem community.
Develop, motivate and lead a sales organization that operates with confidence, understands markets, and moves decisively and takes advantage of emerging opportunities.
Collaborate with global segments and functional leads to guide Red Hat's GTM strategy and approach.
Allocate regional level targets as assigned by global segment and function leaders.
Maximize customer engagement by designing territories and allocating resources optimally. Align field resources against accounts based on defined segment coverage blueprints with the ability to flex assignments within predefined limits based on needs of the region.
Maintain a high performing regional management system, implementing globally consistent operational and financial key performance indicators, holding associates accountable for results.
Play a key role in career, community and culture for Enterprise associates and champion the Red Hat culture.
Collaborate with Geo, Global Segment and Function leadership to ensure Red Hat associates affiliate both locally and within their function to maintain Red Hat's standards of performance and excellence.


What you bring:
The ideal candidate for the Enterprise Sales Leader position brings proven experience in leading revenue-generating activities. Your strong ability to ensure high customer satisfaction and success will be key in this role. You have a track record of recruiting, developing, and retaining world-class talent.
15+ years experience selling software or service infrastructure solutions into large enterprise organizations through a partner-led sales motion.
Solid understanding of the Enterprise market space.
Demonstrated track record of solution selling and ability to lead with customer business value and outcomes in mind.
Exceptional business acumen, analytical and problem-solving skills and ability to apply strategic and quantitative approach.
Demonstrated track-record of building and leading high-performing, geographically-dispersed, multifaceted teams.
Proven ability to perform in a consultative manner and foster trust and cooperation with colleagues and stakeholders


What sets the company apart:
Red Hat is the world's leading provider of enterprise open source software solutions, using a community-powered approach to deliver high-performing Linux, cloud, container, and Kubernetes technologies. Spread across 40+ countries, our associates have the flexibility to choose the work environment that suits their needs from in-office to fully remote to office-flex. Red Hatters are encouraged to bring their best ideas, no matter their title or tenure. They are a leader in open source because of our open and inclusive environment. They hire creative, passionate people ready to contribute their ideas, help solve complex problems, and make an impact. Opportunities are open. Join them!


What's next:
Ready to take the next step in your career? Apply now!

Apply today by clicking on the link!
Due to the high volume of applications we are experiencing, our team will only be in touch with you if your application is shortlisted.","Complex Sales, Customer Engagement, Customer Satisfaction, Infrastructure Solutions, Key Performance Indicators, Problem Solving, Resource Allocation, Sales Execution, Solution Selling, and Team Performance",https://media.licdn.com/dms/image/v2/D4E0BAQG7fuCEWaSKRA/company-logo_100_100/company-logo_100_100/0/1720445443255/robert_walters_logo?e=1733356800&v=beta&t=L-6QDLSGJrqws0B1Jc8aM2ZbIWoZRZh80K1_6DYleVE,"Full-time,Director","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3994809809/?alternateChannel=search&refId=%2By0g94njzWezlR2f%2BIrZ3g%3D%3D&trackingId=ifKoTElBfg8cPLiSTLBzxg%3D%3D&trk=d_flagship3_search_srp_jobs
Adira Finance,Head Information Technology Development,4 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1733356800&v=beta&t=000YjeLBjpUTFVkzBiTEhKI87BfGAogtpEEwoSoTi20,"Hybrid,Full-time,Mid-Senior,level","South Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3992831009/?alternateChannel=search&refId=%2By0g94njzWezlR2f%2BIrZ3g%3D%3D&trackingId=rhoCB68CnV50gA1NFkSesw%3D%3D&trk=d_flagship3_search_srp_jobs
Home Credit Indonesia,Field Collection Regional Manager (East Java/Sumatera),4 weeks ago,"You will handle and responsible to:
Manage daily operations, reporting and system in all Field Collection team to ensure every activity is running properly and all reporting is delivered within SLA.
Monitor and review team's performance, create strategy and generate ideas for improving business process to ensure field collection team meet their target.
Manage Capacity Plan of Team Leader and Collectors to ensure portfolio are handled effectively.
Plan and manage midterm/long term headcount requirements and budget of the coverage field.
Monitor and ensure all the process in field team comply with guidelines and SOP and closely work with legal team to control legal recovery processes.

We are looking for Talents with: 
Minimum a bachelor’s degree, open from any major
Having extensive working experience in Area/Field Collection for more 10 years, specifically East Java area
Have experience handle a big team
Strong in managing people and business process
Comfortable with high target oriented and agile environment
Able to communicate in English will be an advantage
Work based in Surabaya or Palembang and comfortable with high mobility","Big Data Analytics, Cash Collection, Collection Development, Collections Management (Accounts Receivable), Communication, Debt Collection, English, Key Performance Indicators, People Management, Service-Level Agreements (SLA), Setting Strategic Direction, Target Driven, and Target Orientation",https://media.licdn.com/dms/image/v2/C560BAQFEAxmwFTkTHg/company-logo_100_100/company-logo_100_100/0/1662639729686/homecreditindonesia_logo?e=1733356800&v=beta&t=l80d_yVd3SCwQgxOhuCEOdsr02m0mYSaH1Rqa9DoNlo,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3993253249/?alternateChannel=search&refId=%2By0g94njzWezlR2f%2BIrZ3g%3D%3D&trackingId=gkSFDPrxBmOcfCuKufRAqg%3D%3D&trk=d_flagship3_search_srp_jobs
Hyatt Regency,Gerente – com detalhes pessoais,Reposted 5 days ago,"Organization- Hyatt Regency Yogyakarta

Resumo

Qualificações","Business Strategy, Epitome, Marketing, Research Skills, Sales Management, Team Building, Team Leadership, Team Management, Teamwork, and Training",https://media.licdn.com/dms/image/v2/D560BAQHxxxt3xp9aqw/company-logo_100_100/company-logo_100_100/0/1696278108013?e=1733356800&v=beta&t=demzEVZabzFeFsnYtDsqvPy0o6mZwBxm2fqnqPmmS7U,"On-site,Full-time,Mid-Senior,level",Greater Yogyakarta,https://www.linkedin.com/jobs/view/3925662641/?alternateChannel=search&refId=%2By0g94njzWezlR2f%2BIrZ3g%3D%3D&trackingId=SQkggy%2Fszt2hwrklF87YeQ%3D%3D&trk=d_flagship3_search_srp_jobs
Crypto.com,(Senior) Mobile Developer - iOS,Reposted 2 weeks ago,"About the role:

As part of the team you will focus on developing best-in-class iOS applications using our modern tech stack. Our apps are written purely in Swift and architected using MVVM-C. We heavily rely on RxSwift/Combine, so any experience in reactive programming is considered a plus.

The difference you will make:

Collaborate closely with members of tech & product in a cross-functional feature team to develop innovative features for a large global user base.
Analyse product requirements and designs provided by product owners, providing valuable feedback based on your expertise in iOS development.
Deliver high-quality, modularised, and scalable code that is maintainable and testable within reasonable timelines.
Engage in regular sync-ups with not only your feature team, but also the entire iOS team, ensuring that your ideas and insights are heard and valued.

Your expertise:

Minimum of 2 years of full-time iOS development experience (no upper limit)
Proficiency in Swift, UIKit and a solid understanding of iOS development best practices.
Familiarity with MVVM architecture (experience with SnapKit and RxSwift/Combine is highly desirable)
Experience in writing unit tests and snapshot/UI tests
Proficiency in Git and familiarity with branching models such as Git-flow, Trunk Based Development, etc.
Strong problem-solving skills and a passion for continuous learning.
Excellent communication and collaboration abilities.
A focus on producing high-quality code and exceptional user experiences.
Candidates with more experience will be considered as senior developer.

If you are a motivated and talented iOS developer who thrives in a collaborative environment, we would love to hear from you.

Join our team and contribute to building cutting-edge mobile applications that make a difference.

Please include examples of your work or links to your portfolio with your application.

Life @  Crypto.com

Empowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.

Transformational and proactive working environment. Elevate employees to find thoughtful and innovative solutions.

Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.

Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.

One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.

Are you ready to kickstart your future with us? 

Benefits

Competitive salary

Medical insurance package with extended coverage to dependents

Attractive annual leave entitlement including: birthday, work anniversary

Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-up

Aspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.

Work Perks: crypto.com visa card provided upon joining

Our Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.

About  Crypto.com :

Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.

Learn more at https://crypto.com .

Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.

Personal data provided by applicants will be used for recruitment purposes only.","Mobile Application Development, Model-view-viewmodel (MVVM), Problem Solving, Product Requirements, Swift (Programming Language), UIKit, Unit Testing, User Interface Design, iOS, and iOS Development",https://media.licdn.com/dms/image/v2/D560BAQHIpxFJoR_AxA/company-logo_100_100/company-logo_100_100/0/1723706217039/cryptocom_logo?e=1733356800&v=beta&t=DSMk3mI99ZgU_a_P8ehk3HmY2dc5-HrPq1yAE2qvlrg,"Hybrid,Full-time,Mid-Senior,level","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3948313099/?alternateChannel=search&refId=iB1Uhj0ota2IzZqbYK9W4A%3D%3D&trackingId=KNe9bHWkEXG5efGLKv%2FE6g%3D%3D&trk=d_flagship3_search_srp_jobs
China Mobile International Limited,"Assistant Sales Manager, Carrier Business",4 weeks ago,"Job Description
Responsible for targeting and solution selling telecom providers and strategic businesses that require high bandwidth, custom or complex infrastructure and connectivity solutions.
Develop a strategic plan to grow the carrier business by adding new accounts, retaining customers and growing revenue.
Identify, contact, and build relationships with prospective and existing carrier accounts through a combination of email, telephone calls, and in-person visits.
Support daily sales enquiries from commercial perspective and respond to RFQ/RFPs in a timely manner.
Make compelling presentations to senior managers and decision makers.
Provide sales report and formulate sales pipeline for each customer account and respective region.
After-sales support including service performance review, contract renewal negotiation, process improvement, etc.

Requirements
Experience in A2P, Voice, data communications sales or service, consultative sales techniques, and account planning including account profiling, account positioning strategy, customer needs analysis, sales opportunity development, service improvement planning, and long range client management strategies.
Product knowledge of Dark Fiber, E-Access, E-NNI, IP, Wavelength, Spectrum and next-gen services as well as associated end-user and carrier applications.
Technical skills related to network and transmission design and local access services is a plus.
Be a positive representative of the company and its brand in the marketplace. Must possess a strong drive and ability to work independently and proactively.
Chinese / Mandarin Speaker is an advantage","Business Development, Channel Sales, Chinese, Contract Negotiation, Market Penetration, Revenue Generation, Sales, Sales Strategy, and Telecommunications",https://media.licdn.com/dms/image/v2/C510BAQGN9Rzb9N_9xQ/company-logo_100_100/company-logo_100_100/0/1630633636876/china_mobile_international_limited_logo?e=1733356800&v=beta&t=pVjTyajnhhoe_gXj7AdwSL-1H8zdcoswTirx6oudarE,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3992955169/?alternateChannel=search&refId=iB1Uhj0ota2IzZqbYK9W4A%3D%3D&trackingId=5cTs3gN4K6%2BZHymPpY%2FW7Q%3D%3D&trk=d_flagship3_search_srp_jobs
PT Nojorono Tobacco International,Mobile Application Developer,2 weeks ago,"Deskripsi Pekerjaan:
Memahami dan mampu mengembangkan aplikasi (Mobile Developer)
Membuat aplikasi internal atau eksternal (custom) dalam platform android dan IOS sesuai design dan timeline yang sudah disepakati
Mengidentifikasi dan menangani troubleshooting teknis selama proses pengembangan aplikasi
Melakukan pengujian untuk memastikan kinerja aplikasi memenuhi persyaratan bisnis
Melakukan koordinasi untuk memastikan kesesuaian dengan pemangku kepentingan bisnis, manajemen, dan tim lainnya
Melakukan monitoring dan terlibat dalam proses pengembangan yang mencakup pemrograman, pengujian, dan pemeliharaan kode aplikasi
Mampu menyajikan laporan regular terkait progress proyek 
 Kualifikasi:
Minimal pendidikan S1 Jurusan Teknik Infromatika, Ilmu Komputer, Teknik Industri akan menjadi nilai tambah
Memiliki pengalaman 3 Tahun sebagai Mobile Developer 
Memahami System Development Lifecycle, Native Android (Java/Kotlin) 
Memahami atau pernah melakukan Layout Design, Information Hierarchy and organization, UI/UX Design, Code Versioning Tools (Git)
Memiliki pengalaman untuk Mobile Application Development & Environment
Mau belajar dan beradaptasi dengan hal baru","Application Development, Git, Java, Kotlin, Mobile Applications, User Experience (UX), and User Experience Design (UED)",https://media.licdn.com/dms/image/v2/C560BAQEUGotUjEbFWA/company-logo_100_100/company-logo_100_100/0/1630663592392?e=1733356800&v=beta&t=3z0Si7fJf4I_OmS7obm7Wjb_alMJIaUyrZuTlNt5IuU,"On-site,Full-time,Associate",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3999643360/?alternateChannel=search&refId=iB1Uhj0ota2IzZqbYK9W4A%3D%3D&trackingId=jmbA9zJvExfQKc%2B3nf%2B5bQ%3D%3D&trk=d_flagship3_search_srp_jobs
China Mobile International Limited,Assistant Finance Manager,2 weeks ago,"Responsibilities
Execute budget control to ensure all expenses incurred and connected party transactions carried out are properly authorized and within budget
Prepare the necessary payment requisitions in internal approval system
Assist in managing the operation procedures in accounts payable / receivables
Liaise with local government authorities and ensure timely filings of all finance & tac related activities
Review and translate (if necessary) the financial statements of the company and coordinate with auditors to ensure timely completion of internal and external audits
Assist in tax compliance matters which include fathering of information and reviewing of draft returns
Handling Tax
Perform cash management such as cash flow forecast, fund raising and repatriation (if any) and prepare fund transfer
Manage AP/AR matter and perform bank reconciliation
Complete other ad-hoc duties assigned from time to time by Indonesia Unit
Handle ac hoc projects as assigned by Indonesia Unit or APAC Regional or HQ Finance

Requirements
Degree or above in Finance, Accounting, Auditing, Banking, Economics or equivalent professional qualifications
Minimum 5 years and above of relevant experience or Multi-National Company
Highly committed, versatile, motivated and proactive individual
Strong communication, interpersonal and leadership skills
Good command of spoken and written English, proficiency in Mandarin or Chinese language is an advantage","Accounts Payable (AP), Accounts Receivable (AR), Bank Reconciliation, Budget Control, Cash Flow, External Audits, Financial Statements, Leadership, Tax Accounting, and Tax Compliance",https://media.licdn.com/dms/image/v2/C510BAQGN9Rzb9N_9xQ/company-logo_100_100/company-logo_100_100/0/1630633636876/china_mobile_international_limited_logo?e=1733356800&v=beta&t=pVjTyajnhhoe_gXj7AdwSL-1H8zdcoswTirx6oudarE,"On-site,Full-time,Associate","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3999649599/?alternateChannel=search&refId=iB1Uhj0ota2IzZqbYK9W4A%3D%3D&trackingId=%2F0%2BerJwW8OTxPC32Ow9eJg%3D%3D&trk=d_flagship3_search_srp_jobs
