Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations,Link
McEasy,Product Manager Internship,2 weeks ago,"McEasy, a transportation management solution to simplify complex logistics operations. is looking for a Product Manager Internship to join our ever growing team.

If you are a keen learner, self-driven, and looking to be a part of a team that is passionate with helping each other, we want to hear from you.

If you are interested, kindly go through these assessment link https://app.testgorilla.com/s/xfqanrrm and complete it.

What will you do? 
Document product-engineering workflows and processes for better understanding and communication. 
Assist with ongoing tasks and initiatives within the product management team. 
Act as the PIC (Person in Charge) for engagement tracking to monitor and report user engagement metrics. 
Act as the PIC for ongoing projects and deals, ensuring timely and successful execution. 
Help increase product discovery speed by identifying and eliminating bottlenecks.

Qualifications:
Final year student/bachelor degree any major
Basic understanding of data analysis tools (e.g., Redash), web technology, and mobile app design principles.
Strong analytical and problem-solving skills, effective communication and presentation abilities, and a proactive approach to learning and project involvement.
Interest in transportation and logistics technology, sales strategies, and customer relationship management.

Placement : Jakarta Office - Cikini

Are you a master multitasker with the finesse of a plate-spinner? Do you dream in product features and user experiences? If you're ready to dive into the startup fray, juggle like a circus performer, and make ""Easy Apply"" your new favorite button, then join our team! Let's turn dreams into reality together – apply now and let the adventure begin! 🚀","Product Management, Product Service, and Redash",https://media.licdn.com/dms/image/v2/D560BAQFphTG0QTqrvA/company-logo_100_100/company-logo_100_100/0/1681981359578/mceasy_logo?e=1733356800&v=beta&t=Xuc-LjPV1oKZcsQDuMpFtesXuFdBjxeNTKtGJPaVcpY,"Hybrid,Internship,Internship","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4001672008/?alternateChannel=search&refId=3i3B%2Fu5lzgDg7rHVxH4BMA%3D%3D&trackingId=jdNHEmw2c54vAX5J3jZ7Fg%3D%3D&trk=d_flagship3_search_srp_jobs
Home Credit Indonesia,Insurance Product Manager,2 weeks ago,"The purpose of this position is to research, development, testing and implementation of bundling insurance & protection products which will enable to give added value to customers on top of financing product and generate a desirable amount of fee based income. 

Plan and analyze performance of existing and new insurance / protection products and drive changes in processes, approaches and design to achieve and over-deliver on targets. Coordinate efforts to implement changes and ensure good understanding of all relevant internal and external parties of the products and processes. 

Actively drive great customer experience of the insurance / protection products. Leverage partners' marketing budget and activities to achieve aforementioned objective.

What you will do
Works with POS Loan, Online and Credit Card Product team to develop relevant insurance protection products
Develops bundling insurance & protection product concepts, product designs, regulations and features them internally as well as with customers (in cooperation with R/D Insight Manager)
Cooperates with other departments to define end to end processes for bundling insurance or protection products
Reviews performance (sales, performance against plan) of existing bundling insurance or protection products and related processes and proposes changes to improve customer experience and process simplicity internally
Co-manages (with Project Manager) project of implementing bundling insurance protection products
Monitors, tracks and summarizes overview of the competitor products and overview of the market
Analyze market conditions and recent developments in the market from offline, online sources and professional network
Cooperates with Pricing Manager to define the right pricing for bundling insurance or protection products and review it time to time
Provide regular reports and updates to management
Provides briefs to Marketing Communication and Digital team to prepare campaign wording, BTL promotion materials, Online advertisement and in some case ATL campaigns. Reviews outcomes and suggests changes
Support other functions training roles to develop training materials
Actively works with Sales network, Key Accounts Management and Business Development team to train, communicate, enhance the insurance related products and processes
Manages product setup in HCID core system and cooperates with IT on User Acceptance testing and ongoing management of the insurance / protection product setup in the system
Takes active part in resolution of customer complaints related to insurance / protection products, services and features desing and processes
Liaises with the insurance or protection providers by arranging regular review meetings to seek any potential problems and opportunities

What you will need
At least 5+ years experience in Insurance or Bancassurance industry, preferably as Insurance Product Management or Product Owner.
Experience with insurance or protection product set up, including but not limited to product strategy & regulations.
Preferably with insurance product knowledge in general insurance, life insurance or car insurance will be a good plus.
Able to navigate data analysis on product performance, product penetration, product income & revenue, and product target.
Experience in planning, pricing and forecasting study for insurance, bancassurance, or protection products and sales campaigns.
Experience with Business Development or Partnerships activity with Insurance company.
Experience in analysis of effectiveness/ROI for campaigns.
Ability to analyse and report/communicate results together with root cause analysis and development of enhancements/corrective actions.
AAJI / AAUI active license holder will be an advantage","Analytical Skills, Bancassurance, Business Insurance Planning, Credit Cards, Forecasting, Insurance, Product Management, Project Management, Property and Casualty Insurance, Sales, and User Acceptance Testing",https://media.licdn.com/dms/image/v2/C560BAQFEAxmwFTkTHg/company-logo_100_100/company-logo_100_100/0/1662639729686/homecreditindonesia_logo?e=1733356800&v=beta&t=l80d_yVd3SCwQgxOhuCEOdsr02m0mYSaH1Rqa9DoNlo,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4002688229/?alternateChannel=search&refId=3i3B%2Fu5lzgDg7rHVxH4BMA%3D%3D&trackingId=X9B5yvQm0qEzlbzCEsXNvA%3D%3D&trk=d_flagship3_search_srp_jobs
Traveloka,Senior Associate Product Manager - Platform,Reposted 1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Define product roadmap and strategy to address user needs and achieve business goals. 
Define business KPIs and success metrics and is accountable to measure product success and contributions.
Understand user needs and translate those into product requirements by taking into consideration the business goals, development cost & technical debt that might incur.
Build relationships with stakeholders across the organization to understand and prioritize needs across use cases and also short & long-term time horizons.
Work with cross-functional teams on the ideation, research, design, development and launch of user-centric products. 
Plan and manage multiple projects based on the level of urgency and importance of the projects.
Leveraging experiments, quantitative and qualitative user insights to make data-informed and data-driven decisions.
Communicate well and influence stakeholders to prioritize their works in the interest of shared benefits or agreed business needs.
Provide recommendations on business process improvement and operational guidelines.



Requirements

At least 3 years of experience at top-tier multinational tech or engineering firms, multinational banks, or a credible and strong track record in supporting building or growing a business.
At least a Bachelor's degree in Engineering, Computer Science, Finance, Design, or other fields from top local or overseas universities with strong academic results, MBA is a plus.
Solid technical background with understanding and/or hands-on experience in software development and web technologies; with an aptitude towards solving complex problems.
Excellent analytical and problem-solving skills and strong intuitions of user behaviors. Have a strong willingness to learn and adapt to change quickly.
Self-starter with a strong sense of curiosity, strong ownership, a bias for action, and a can-do attitude.
Experienced in breaking down needs into product requirements and communicating them to the respective functions like engineers, design, or data team.
Able to highly collaborate with cross-functional teams with proven abilities to navigate stakeholders to deliver outcomes.
Able to communicate in English and Indonesia, via a verbal and written medium.
Passion for making the world better through technology. Enjoy working in a technical and data-centric context. 



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Business Process Improvement, Communication, Competitive Analysis, Cross-functional Team Leadership, Key Performance Indicators, Problem Solving, Product Requirements, Product Road Mapping, and Web Technologies",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,"On-site,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3909119311/?alternateChannel=search&refId=3i3B%2Fu5lzgDg7rHVxH4BMA%3D%3D&trackingId=YoH1c5QtAZihbFiNaBQrYA%3D%3D&trk=d_flagship3_search_srp_jobs
Traveloka,Senior Associate Product Operations Manager,Reposted 1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!



Summary

Job Description

You’ll be a part of the Product Operations team, where our mission is to ensure that the business is running smoothly at scale and drive our Travel Activities supply reach a new frontier. Your role as a Senior Associate Product Operation Manager is pivotal to ensure achievement of providing the best supply to our customers and ensuring they get the best post purchase experience.

Responsibilities

You will be responsible to drive, decide, coordinate, and execute end-to-end projects related to Travel Activities inventory reliability and post purchase experience, in collaboration with product development (Design, Engineer, and Data), revenue management, marketing partnership, and customer care team. This may include creating a better SOP for various teams, and also creating a better product improvement plan.
Collaborate with a cross-functional team to achieve the business objectives and roadmap for Travel Activities Supply.
Focus on business, our inventory reliability (always available and bookable), as well as post purchase experience.
Translate product strategy into product plan, detailed requirements and prototypes
Scope and prioritize projects based on business and customer impact
Suggest actions and improvement opportunities based on company's goals, user's pain points, and competitive gaps
Act as a product evangelist to build awareness and understanding
Monitor the key metrics of the business/ products / features owned by the person
Work closely with data team in conducting regular analysis and deep dive on the business/ products / features’ performance
Stay updated on industry developments to drive data-driven decision making



Requirements

Preferably from STEM or Technical / Engineering background (e.g. Computer Science/Engineering, Electrical Engineering, Industrial, etc) or business background.
Preferably has experience as a product manager from reputable company
At least 3 years of experience from reputable company
Proficiency in using data analytics tools and platforms to extract and interpret data
Excellent analytical skills and strong understanding and intuition of user’s behavior
Strong project management skills, with the ability to manage multiple initiatives simultaneously and deliver results within deadlines
Passion in data-driven decision making and making the world better through technology
A strong drive to make things happen, charisma and ability to influence
Solid oral and written communication skills to work effectively with cross-functional teams
Detail-oriented, self-motivated, and able to thrive in a fast-paced and dynamic environment



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Communication, Cross-functional Team Leadership, Data-driven Decision Making, Key Metrics, Make Things Happen, Product Operations, Product Service, Product Strategy, and Reliability",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,"On-site,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3909117634/?alternateChannel=search&refId=3i3B%2Fu5lzgDg7rHVxH4BMA%3D%3D&trackingId=QbunkJtBpE%2BqT22oFLM0PQ%3D%3D&trk=d_flagship3_search_srp_jobs
PT Mazta Farma,Product Manager,1 day ago,"The ideal candidate is an analytical team player who will be responsible for leading a team of high performing individuals who own the entire product lifecycle from strategy to evaluation. You will also work cross-functionally to complete product roadmaps and discover new opportunities.

Responsibilities
Conduct market research
Give product recommendation base on market research
Create market share and cooperate with sales director
Evaluating the data and sales results
Provide data for management the detail of product marketing
Bring and introduce new product to market with solid marketing strategy
Provide the price of the product base on market research
Build connections, attends workshops, and participate in professional and scientific environment
Manage team to create conducive work environment

Qualifications

Minimum Diploma Degree in Pharmacy, Electro-Medic Engineering or Medicine
Maximum 30 years old
Have minimum 5 years of experience as Product Manager
Computer literate (Excel, Word, PowerPoint, and Design)
Fluent in English (both oral and written)
Have the ability to manage team
Have strong ability to communicate
Have vast knowledge about product management
Have deep understanding about scientific and analyze
Have vast knowledge about marketing strategy
Discipline, loyal, innovative and having good integrity
Domicile in JABODETABEK area
Have the ability to work under pressure",Product Management and Product Service,https://media.licdn.com/dms/image/v2/C560BAQG4nHclKPMAIQ/company-logo_100_100/company-logo_100_100/0/1674547606524?e=1733356800&v=beta&t=wxSo-u1vElPf-zWRsQWBKZtiEHb7XN5WPldI8BIb_wA,"On-site,Full-time,Mid-Senior,level","West Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4014943217/?alternateChannel=search&refId=3i3B%2Fu5lzgDg7rHVxH4BMA%3D%3D&trackingId=DuDNhcCrISrKJ6ZM3eLe6Q%3D%3D&trk=d_flagship3_search_srp_jobs
Traveloka,Pricing Senior Associate Product Manager,1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Job Description

Are you a sharp-minded individual with a passion for optimizing & fine-tuning strategies? We are seeking a highly motivated and detail-oriented Senior Associate Product Manager to help us in growing our Accommodation business. In this role, you will experiment with various pricing strategies to grow the business, analyze massive amounts of data to generate competitive insights, and work with diverse stakeholders to arrive at investment plans for markets and channels. As part of the Pricing Strategy team, you will be required to have a strong understanding of pricing concepts, excellent analytical skills, and the ability to coordinate and communicate effectively with cross-functional teams.

Responsibilities

Create product strategy & roadmap for pricing product to continuously address the short term and long term business needs and user needs
Responsible for end-to-end management of strategic pricing initiatives, ensuring they are well coordinated across all countries
Plan & develop improvements to enhance price perception among the target audience
Translate product strategy into clear, rigorous, and detailed requirements and prototypes
Obtain understanding and buy-ins from other departments regarding potential risks and pitfalls of the product and its implication
Coordinate with cross-functional teams (Marketing, Product, Finance, Data) to develop product roll-out plan for markets and channels
Organize and coordinate efforts to maintain and improve product performance



Requirements

Requirements

At least a Bachelor's degree in a technical or quantitative subject (computer science, mathematics, engineering, statistics or science) with strong academic results. A master's degree is a plus.
At least 3 years experience at top tier strategy or management consulting firms, multinational tech, engineering firms, and multinational banks, or have a credible and strong track record in building or growing a product.
Demonstrate expertise in leveraging data analytics tools (e.g. Tableau, GDS, minimum Gsheet or Excel) and platforms to drive insights and inform decision-making.
A quick learner to absorb new knowledge in the fast-changing and dynamic industry, synthesize learnings to strategic growth levers that generate tangible business impacts
Excellent communication and collaboration skills, with the ability to work effectively with cross-functional teams and stakeholders at all levels.
Detail-oriented, self-motivated, and able to thrive in a fast-paced and dynamic environment.



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Communication, Competitive Analysis, Computer Science, Cross-functional Team Leadership, Management Consulting, Pricing Strategy, Product Development, Product Management, Product Service, and Product Strategy",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,"On-site,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/4008287166/?alternateChannel=search&refId=3i3B%2Fu5lzgDg7rHVxH4BMA%3D%3D&trackingId=Cl%2BxZ195Np0Um6niqx5EBQ%3D%3D&trk=d_flagship3_search_srp_jobs
Traveloka,Senior Associate Product Manager - Flight,Reposted 1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Coordinate research on customers, competition, and industry to come up with product strategy that drives growth, improves customer experience and grows market share
Translate product strategy into initiatives with detailed requirements and prototypes
Scope and prioritize initiatives based on business and customer impact
Define success metrics of each product and drive iterations to improve each metric
Work closely with designers, engineering, marketing, finance, operations, and external stakeholders to implement new features and enhancements
Act as a product evangelist to build awareness and understanding



Requirements

At least 3 years experience at top tier multinational tech, engineering firms, multinational banks, or have credible and strong track record in building or growing a business
At least Bachelor's degree in Computer Science, Engineering, Finance, or other technical fields from top local/overseas universities with strong academic, MBA is a plus
Solid technical background with understanding and/or hands-on experience in software development and web technologies; with aptitude towards solving complex problems
Proven ability to develop product and marketing strategies and effectively communicate recommendations to executive management
Excellent analytical and problem-solving skills and strong intuitions of user behaviors



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Communication, Competitive Analysis, Market Research, Marketing Strategy, Problem Solving, Product Development, Product Service, Product Strategy, and Web Technologies",https://media.licdn.com/dms/image/v2/D560BAQGe_izwxvj_SQ/company-logo_100_100/company-logo_100_100/0/1700635813325/traveloka_logo?e=1733356800&v=beta&t=uGC8UHkYZOR4_nqPBPmH04aZ8trXFlN7sI2F9ozYXS0,"Hybrid,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3909114933/?alternateChannel=search&refId=3i3B%2Fu5lzgDg7rHVxH4BMA%3D%3D&trackingId=IC%2FcTeKxyHGWhM%2BZePCLUA%3D%3D&trk=d_flagship3_search_srp_jobs
Midea APAC,Product Specialist,2 weeks ago,"Midea Group is one of the world’s largest home appliance brands, offering the most comprehensive selection of products in the world to fully serve the needs of day-to-day living at home, at work, or anywhere else you go. We strive to aim high, put the customer first, transform and innovate the marketplace, utilizing our commitment, dedication, inclusion and partnership with our teams.

Focusing to develop product business, defining product strategy in order to achieve sales target and profitability, channel development for all brands of Midea and or Toshiba, preparing new product launching, market plan, and execution.

Responsibilities
Product Strategy planning, responsible for developing 3-years product planning.
Managing product Profit and Loss (P&L).
Market competitive analysis.
To lead the product launching Go To Market (GTM) plan.
Define channel development strategy, go deeper or go wider.
Monitoring the Purchase, Sales, and Inventory (PSI).
Managing sell-out performance & SKUs lineup.
Responsible for achieving a dedicated national sales category target, improving product mix, and growing dealers’ revenue.
Managing Sales Budget (Sell-in/Sell-Out support) & marketing expenses level to make sure all budget resources are allocated to the right investment and better ROI to support the annual full-year business plan.
Any other duties as assigned by management.

Qualifications
Bachelor’s Degree with at least 4 years of relevant experience. 
Strong communication skills and highly adaptable to a fast-paced environment. 
Team player, self-driven, and able to work under pressure with a sense of urgency.
Good at Microsoft Office, especially PowerPoint, Excel for data analysis
Proven experience in managing the product development lifecycle.
Good in English, both oral and written, able to speak Mandarin is an advantage.","Development Strategy, PSI, Product Strategy, and Strategic Planning",https://media.licdn.com/dms/image/v2/D560BAQGSr7IG9Qybpg/company-logo_100_100/company-logo_100_100/0/1723601185422/midea_apac_logo?e=1733356800&v=beta&t=uHYfOUTdNo5SQargkVEWZfXSz1IgYNFNNCxHD_51uto,"On-site,Full-time,Executive","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3998479571/?alternateChannel=search&refId=3i3B%2Fu5lzgDg7rHVxH4BMA%3D%3D&trackingId=S%2BL9QdrWszOum38u9X3tQg%3D%3D&trk=d_flagship3_search_srp_jobs
Ultra Voucher,Associate Product Manager,6 days ago,"Job Descriptions:

Develop and implement product strategies consistent with the company vision.
Collect and analyze feedback from customers, stakeholders, and other teams to shape requirements, features, and end products.
Work closely with engineering, design, and marketing teams to deliver with quick time-to-market and optimal resources.
Produce and review product requirements documents (PRD).
Ensure products and releases are launched correctly and on schedule.
Make creative recommendations to expand the product base and vision.
Suggest ways to track product use and impact on end-users.
Stay up-to-date with the latest industry trends and competitor activities
Strong understanding of the e-commerce and 4PL landscapes, including industry trends, technologies, and best practice
Proven ability to develop product and marketing strategies and effectively communicate recommendations to executive management.


Qualifications:
Strong problem-solving skills and willingness to roll up one’s sleeves to get the job done
Skilled at working effectively with cross-functional teams in a matrix organization
Strong project management skills and attention to detail within dynamic environment
Demonstrated success in launching and managing successful products
Experience in the Delivery product or related sectors.","Attention to Detail, Communication, Cross-functional Team Leadership, Marketing, Marketing Strategy, Problem Solving, Product Development, Product Requirements, Product Service, and Project Management",https://media.licdn.com/dms/image/v2/C560BAQHyuKT4J8sJtg/company-logo_100_100/company-logo_100_100/0/1630660245472/ultravoucher_logo?e=1733356800&v=beta&t=Vi-6LiUyLf2U-gv_E1QrFy4u8Oy2-K0lg4xH7dRvkp4,"Hybrid,Full-time,Associate",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/4012459799/?alternateChannel=search&refId=3i3B%2Fu5lzgDg7rHVxH4BMA%3D%3D&trackingId=UNUsm1hSCMv1wh15pq6a7w%3D%3D&trk=d_flagship3_search_srp_jobs
EY,Product Manager (Senior or Manager Consultant),Reposted 2 weeks ago,"About EY:

EY, a global leader operating in more than 150 countries delivers unparalleled service in Consulting and assists clients to transform and upskill their capabilities.

We serve our clients to build a better working world, helping them to create long-term value for people and society and build trust in the capital markets. That starts with a culture that believes in giving you the training, opportunities, and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we work towards our ambition to be the best employer.

EY advises clients to understand, architect, select and implement bleeding-edge solutions required to efficiently run their businesses, with a focus on Digital and Cloud. These service areas span E-commerce, Solution Architecture, Mobile Applications, Digital Platform Architecture, Digital Technology Strategy, and Digital IT Operations.

The exceptional EY experience. It’s yours to build.

The opportunity:

The Digital & Emerging Technology team works collaboratively with clients to transform their business through disruptive innovation enablement and transformational design solutions. The team supports our clients in modernizing systems, processes and products to enhance business and customer-facing platforms and services to support high performance in a rapidly changing and competitive environment. Our team helps clients sustain competitive advantage and profitability by developing technology strategies, products, and solutions to stay ahead of the rapid pace of change and disruption and supporting the execution of complex transformations.

We are looking for an experienced, passionate, results-oriented Product Manager who is a great problem solver with deep and proven experience in delivering products to market to join our team of digital professionals in our Digital & Emerging Technologies practice.

Your key responsibilities: 

The goal is to support our clients to transform their business through technology. As a Product Manager you will work with multi-discipline feature teams including user experience experts, architects, engineers and others to define and roll out products and services for large global organizations as well as for EY. You will take a customer centric and data-driven approach to product development. You will advocate for the user throughout the product development lifecycle. You can break down and simplify complex processes and touchpoints to deliver exceptional experiences. You are a strategic thinker, can prioritize and define product roadmaps, manage a product backlog, make quick decisions and coordinate the team to release quality products within planned timelines. You understand modern platform structures, cloud architectures, digital platforms and enablers, and data strategy considerations. In addition, you will support practice building activities such as team mentorship and proposal deck development.

Skills And Attributes For Success

Manage service delivery, identifying future sales opportunities, and supporting practice development activities.
Deliver quality client services by monitoring progress and demonstrate in-depth technical capabilities and professional knowledge.
Maintain long-term client relationships and networks and cultivate business development opportunities.
Effectively work with client engagement teams with diverse skills and backgrounds fostering an innovative and inclusive work environment.
Demonstrate understanding of current technology environment and industry trends and provide recommendations for engagement and client service issues.

Requirements: 

Bachelor’s degree in Computer Science, Engineering, Information Systems Management or a related field and 6 years of progressive, post-baccalaureate work experience. 
Facilitate discussions with technical, design and business subject-matter resources to document requirements, establish a vision, and articulate alternatives for future state solutions across various domains and channels.
Has set product vision, defined, and managed product roadmaps, prioritized and managed the backlog and has led product launches.
Can participate in and drive ideation sessions, standups, sprints and scrums.
Has a specific domain knowledge and understands the dynamics impacting their product such as market trends, technology and regulatory rules.
Experience with successfully managing projects with defined deliverables and budgets. Experience must include budgeting and managing the schedule; client relationship management; communicating strategically around key issues; conflict resolution and consensus building.
Must have a thorough understanding of complex information systems and technology organizations and to be able to work effectively between the application, data infrastructure, operations and security architectural spaces
Proven delivery skills including the ability to scope/size a project; staff a team with the appropriate skill set; provide subject matter direction and guidance to a team; manage communications with the project sponsors and manage the delivery of an engagement workstream.
Requires domestic and regional travel up to 50% to serve client needs.

What we look for 

We’re interested in passionate individuals with a strong vision and a desire to stay on top of trends. If you have a genuine passion for helping businesses achieve their full potential, then these role(s) are for you. 

What We Offer

Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next
Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, on your way
Transformative leadership: We’ll give you the insights, coaching, and confidence to be the leader the world needs
Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs

If you can demonstrate that you meet the criteria above, please contact us as soon as possible.

EY is an equal opportunity, affirmative action employer providing equal employment opportunities to applicants and employees without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, by applicable law.

EY is committed to providing reasonable accommodation to individuals with special needs. If you are a qualified individual with special needs and need assistance applying online or need to request an accommodation during the interview process, please speak to our HR executives, and we will be happy to help you.","Client Services, Conflict Resolution, Consensus Building, Market Analysis, Passionate about Work, Problem Solving, Product Launch, Product Management, Product Vision, and Strategic Communications",https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1733356800&v=beta&t=RrTPG8YlIhUlEyfXcWM1sEfwHcLvjidUsT0354HhTow,"On-site,Full-time,Mid-Senior,level","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3967807204/?alternateChannel=search&refId=3i3B%2Fu5lzgDg7rHVxH4BMA%3D%3D&trackingId=Ca7GnhwR8ffctPfrpsXsTA%3D%3D&trk=d_flagship3_search_srp_jobs
