Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations,Link
Lancesoft Indonesia,Java Software Engineer,Reposted 2 weeks ago,"Currently we're looking for Java Developer position!

Job Details:
- Have working experiences dan strong knowledge in Java Spring Boot.
- Minimal 2 years experience as Java Developer.
- Have working experiences and solid understanding in developing backend microservices based on Rest API and gRPC.
- Have working experiences and solid understanding in developing backend microservices integrated with SQL database (Oracle, posqresSQL) and NoSQL database (Monggo DB) and data caching (redis).
- Creative problem-solving skills.
- Good analytical & logical thinking.
- Familiar working with Git.","Java, PostgreSQL, and Spring Boot",https://media.licdn.com/dms/image/v2/D560BAQFuozay5Kozog/company-logo_100_100/company-logo_100_100/0/1713216265128/lancesoft_indonesia_logo?e=1733356800&v=beta&t=FrKYdJ8kr2iS2w184oSRVq_0dDdxVIvYa1zD4vM6J1g,"On-site,Contract,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3994803468/?alternateChannel=search&refId=EDkAkfbP8CZoOcQB4pnpPQ%3D%3D&trackingId=Q7Zq4hqAcVhw%2BxVhfrgaDQ%3D%3D&trk=d_flagship3_search_srp_jobs
VLink Inc,iOS Developer,3 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,"Hybrid,Contract,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4000970453/?alternateChannel=search&refId=EDkAkfbP8CZoOcQB4pnpPQ%3D%3D&trackingId=EjkQK6LooHU6jhI%2BMoDMLQ%3D%3D&trk=d_flagship3_search_srp_jobs
ViBiCloud,Cloud Specialist,4 weeks ago,"Requirements :
Min. Bachelor Degree from IT/Information System/any major related.
Experienced min. 2-5 years as DevOps / Cloud Engineer.
Strong knowledge in Microsoft, AWS, HIT Cloud Technology.
Able to operate power platform & data AI
English is a must

Responsibilities : 
Responsible to monitor any incident alert, identify, anlayze and solve cases according to defined SLA
Doing implementation and ensure the deployment and configuration based on work order and timeline
Provide advisory/hands on troubleshooting based on service to solve the customer issue according to the SLA
Create technical documentation during implementation
Directly engage with customer to gather customer’s requirement and mapping it to daily operational task 
Together with cloud engineer team maintain customer’s cloud infrastructure environment
Regularly doing internal sharing session and make sure cloud engineer knowledge always updated to according to the company service roadmap","Amazon Web Services (AWS), Cloud Computing, Cloud Security, Infrastructure, Infrastructure as a Service (IaaS), Microsoft Azure, and Software as a Service (SaaS)",https://media.licdn.com/dms/image/v2/C560BAQGwMTyASibWiQ/company-logo_100_100/company-logo_100_100/0/1630660543136/vibicloud_logo?e=1733356800&v=beta&t=YeufsuyxdrkPrWPN5wSAxSDaXTyK_rvVMmGUB4pYXzA,"On-site,Full-time,Associate","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3995218438/?alternateChannel=search&refId=EDkAkfbP8CZoOcQB4pnpPQ%3D%3D&trackingId=SVb4BQ1X5YSqtCgry%2BJ6tw%3D%3D&trk=d_flagship3_search_srp_jobs
DT Global,Full-Stack Engineer Specialist Sistem Informasi Gampong – SIGAP,6 days ago,"Job Brief

Location Banda Aceh, Indonesia

 Ad Title 

Full-Stack Engineer Specialist Sistem Informasi Gampong – SIGAP

 Program Background 

The SKALA Program is a significant Australian investment designed to help Indonesia address regional disparities in development. SKALA will contribute to this objective by strengthening selected elements of Indonesia's large and complex decentralised government system responsible for the delivery of basic services (Layanan Dasar). The SKALA Program's core approach is to facilitate better collaboration (Kolaborasi) between Indonesian government stakeholders, at national and subnational levels, to help realise synergies (Sinergi) that will trigger improved service delivery. Moreover, SKALA will build on, and take to scale, the successes and learning from Australia's previous 19 years of support to Indonesia's decentralised government system. The SKALA Program is to be implemented through the following three pillars:

 Pillar 1: Stronger national level enabling environment for sub-national service delivery
 Pillar 2: Better sub-national governance for service delivery
 Pillar 3: Greater participation, representation and influence for women, people with disabilities and vulnerable groups


SKALA is implemented at the national level with an office in Jakarta and at the subnational level with offices in Aceh, Nusa Tenggara Barat, Nusa Tenggara Timur, Maluku, Gorontalo, Kalimantan Utara (Kaltara), Tanah Papua. In addition to the 3 pillars, SKALA works across 4 general themes of Public Financial Management, Minimum Service Standards, Data and Analysis and Gender Equality, Disability and Social Inclusion (GEDSI).

About DT Global

DT Global is shaping a future where sustainable development and innovation empower individuals, communities, and nations. We work in partnership with local stakeholders to foster inclusive prosperity, social equity, and environmental stewardship. Our global team of 2,500 staff and experts work in over 90 countries to solve complex problems in the peacebuilding, governance, economic development, environment, and human development sectors. With a track record of technical excellence and more than 60 years of international development experience and relationships, we deliver innovative solutions that transform lives.

For more information, please see www.dt-global.com

 The Role 

Specialist Full-Stack Engineers will provide their skills and expertise to the Aceh government to build or develop the Sistem Informasi Gampong - SIGAP platform.

Click on the link or copy paste it to access the full Terms of Reference for this position:

https://tinyurl.com/2sc2rntd

About You

 Specific Responsibilities 

Based on general guidelines from Lead Aceh, this position will be under the coordination and supervision of the Provincial Engagement Specialist (PES) and responsible to Lead Aceh, for the following matters:

 Build a database management system, including database schema design, query optimization, and data recovery.
 Integrate between systems at regional or central level.
 Ensure application security by implementing security practices such as encryption, authentication, and access control.
 Identify and resolve technical problems with the application
 Collaborate with other technical team members and other stakeholders to ensure project alignment and success.
 Design and develop user interface (UI) and front-end elements, including the use of languages such as HTML, CSS, and JavaScript.
 Build user interface elements that respond to user actions, such as input forms and interactive interactions.
 Integrate front-end and back-end components.
 Optimize the appearance and performance of applications on the client side (front-end), including managing images and other assets.


 Other Duties: 

 Comply with DFAT, DT Global and SKALA policies on gender, disability, fraud and anticorruption, child protection, PSEAH and the environment. 
 Ensure compliance and adherence to various operational policies, guidelines and manuals issued by DT Global and SKALA. 
 Proactively identify and report risks and manage risks within your level of accountability. 
 Undertake other duties as required by the Program. 


 Deliverables 

 Sistem Informasi Gampong – SIGAP version 2.0 platform
 Increasing the technical capacity of Sistem Informasi Gampong - SIGAP trainers


Job Requirements

 Work environment involves only infrequent exposure to disagreeable elements and minor physical exertion and/or strain.
 Work may require long, and flexible hours as needed. Travel is based on need.


 Relationship Management 

This position will work closely and effectively with a range of stakeholders, including all other Program staff, the DT Global corporate team and other external service providers.

Selection Criteria

Essential

 Bachelor's degree in informatics engineering and preferably a master's degree with a minimum of 15 years of experience assisting local governments in data platform development
 Experienced in providing support for program implementation that focuses on the use of information technology
 Well experienced with using the PHP programming language (CodeIgniter or Laravel framework) or ReactJS/NextJS and version control
 Strong knowledge of information technology policy and current information technology developments
 Strong skills in setting up or developing data platforms at regional level
 Demonstrate the ability to carry out capacity development and share knowledge for the Government of Indonesia and Regional Governments as well as SKALA program staff;
 Strong interpersonal skills, ability to maintain working relationships with key stakeholders in government
 Understanding of gender equality and social inclusion issues.


 Remuneration 

Successful Indonesian nationals will be engaged under a national contract in IDR and will be subject to Indonesian employment regulations and tax obligations.

How To Apply

Click the 'Apply Now' button.

 Please submit 

 Your CV
 A cover letter addressing the essential selection criteria (maximum 2 pages)


 APPLICATIONS CLOSE – 12 th September 2024, 5 PM Jakarta time. 

 Should this role be of interest, we encourage you to apply as soon as possible.Kindly note only shortlisted applicants will be contacted. 

DT Global is committed to child protection and safeguarding the welfare of children in the delivery of our international development programs. We are committed to Safety and the Prevention of Sexual Abuse and Harassment (PSEAH), and bribery prevention. DT Global is an equal opportunity employer and we encourage women, men, people with diverse backgrounds and people living with disabilities to apply. This program is funded by the Australian Government and Managed by DT Global.","Back-End Web Development, Cascading Style Sheets (CSS), Database Management System (DBMS), Front-End Development, HTML, Interpersonal Skills, JavaScript, Laravel, PES, and Query Optimization",https://media.licdn.com/dms/image/v2/C4E0BAQERA9e-DHTZww/company-logo_100_100/company-logo_100_100/0/1630600713339/dt_global_logo?e=1733356800&v=beta&t=6ToEcopf1tvc8OQYo2ZzQCxnTLf9e1h20EEZ4CS7TLo,"On-site,Full-time,Mid-Senior,level","Banda Aceh, Aceh, Indonesia",https://www.linkedin.com/jobs/view/4011098101/?alternateChannel=search&refId=EDkAkfbP8CZoOcQB4pnpPQ%3D%3D&trackingId=xdA%2Fggc1sVHSXx4P2GHQJA%3D%3D&trk=d_flagship3_search_srp_jobs
Paxel Indonesia,Senior DevOps Engineer,4 weeks ago,"User query/issue handling.
Ensuring user queries or issues are captured, validated, and triaged for further processing.
Communicating with users.
Ensuring that various types of information are communicated to users through the appropriate channel(s).

Main Tasks:
Identify and diagnose issues and problems
Setup and maintain Cloud & Infrastructure
Documented all IT Projects and Tasks
Troubleshoot Issue

Qualifications:
Mastering LINUX, UNIX & related OS
Have knowledge of CI/CD, Jenkins, Python, Git, ArgoCD, Ansible, HelmChart
Able to troubleshoot servers & infrastructure
Have a background or experience in the field of backend/system administrator","DevOps, IT Project & Program Management, IT Project Management, IT Projects, Project Management, Query Languages, Query Writing, Software Development, and Test Automation",https://media.licdn.com/dms/image/v2/C560BAQH4v3czpncpJA/company-logo_100_100/company-logo_100_100/0/1646288535108/paxel_co_logo?e=1733356800&v=beta&t=R_TjqUybmbB2nq0zJ6EJML_gL98c6PVTGQPSZ1WQz80,"Hybrid,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3992857411/?alternateChannel=search&refId=EDkAkfbP8CZoOcQB4pnpPQ%3D%3D&trackingId=StjRQgXMmhIL7al59WhvhQ%3D%3D&trk=d_flagship3_search_srp_jobs
ICM Group,Estimation Engineer - API,1 week ago,"Location - Abu Dhabi, UAE

Job Objective:

To support the growth of the organisation through effective project management and control that contributes to accurate and timely completion of contracts. To assist the project management team in the preliminary execution stage of the project and to ensure competitive pricing of tenders in order to maximise sales and the growth of COMPANY. 

Key Responsibilities:

Review bid/ RFQ documents for material requisition, scope of supply, data sheets and P&ID’s, project specifications, drawings & client requirements for commercial/technical package.
Carry out estimation works (e.g. materials take-off, fab/weld & machining hour estimate, preliminaries and etc.)
As required attend client pre/post tender meeting including required site visits.
Sourcing of raw material prices from suppliers/vendors. 
Coordinate with the other department head to obtain necessary details to prepare the competitive estimate. 
Review all offers/prices of materials/equipment suppliers and sub-contractors proposal, as applicable. 
During tender stage, Estimator to review and select out from offers from approved/known suppliers/sub-contractors which are most competitive offer and ensure that conforms to the technical specs requirement for the project. 
Finalize/summarize the required estimation costing by facility/areas and prepare draft proposal.
Submit estimation to the Engineering Manager for review and costing along with the prelim draft technical/commercial proposal.
Assist the Engineering Manager in the compilation of Bid Package for submission to client including all required accompanying documents. 
Contract review for newly awarded projects; carry out technical & commercial contract review of contract documents (e.g. PO with its accompany documents such as project specs, drawings) in comparison with COMPANY submitted quotation, tender docs and post tender bulletins to ensure that all the said documents are matching/in-alignment and check for any +/-variations.
Prepares quotation for New Manufacturing of Manifolds and its components as per API. 
Prepares quotation for repair/refurbishment of BOP, Valves and Wellhead Equipment.
Prepare quotation for the machining API / Non API components as and when required. 

Qualification:

Design requirement and New Manufacturing of API 6A, API 16C, API 16A based components.
Knowledge in process of Refurbishment of BOP, Valves and Wellhead Equipment.
ASME/ANSI, ASTM, BS, API, TEMA, AWWA, NACE, SHELL & NEMA.
Literate with AutoCad.
8 - 10 years’ experience in the Oil and Gas industry of which a minimum of 5-6 years in Middle East. Hands-on experience.
Bachelor’s Degree in Mechanical Engineering.

Skills:

Ability to work within specific timeframes and deliver results
Accuracy and attention to detail
Ability to work in a noisy and busy workshop 
Good Communicator with all levels of COMPANY team and external groups",AutoCAD,https://media.licdn.com/dms/image/v2/D4D0BAQG8GTN79f2Mwg/company-logo_100_100/company-logo_100_100/0/1685576982167/icmgroup_logo?e=1733356800&v=beta&t=_Wc2s1-gJs2vYZNyIbkD8WQRhgndb8golyqg01ImktM,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4007548045/?alternateChannel=search&refId=EDkAkfbP8CZoOcQB4pnpPQ%3D%3D&trackingId=AasYVM481k3oQZPCoSQghA%3D%3D&trk=d_flagship3_search_srp_jobs
Airwallex,"Staff Fullstack Engineer, Lending",Reposted 1 week ago,"About Airwallex

Airwallex is the only unified payments and financial platform for global businesses. Powered by our unique combination of proprietary infrastructure and software, we empower over 100,000 businesses worldwide – including Brex, Rippling, Navan, Qantas, SHEIN and many more – with fully integrated solutions to manage everything from business accounts, payments, spend management and treasury, to embedded finance at a global scale.

Proudly founded in Melbourne, we have a team of over 1,500 of the brightest and most innovative people in tech located across more than 20 offices across the globe. Valued at US$5.6 billion and backed by world-leading investors including Sequoia, Lone Pine, Greenoaks, DST Global, Salesforce Ventures and Mastercard, Airwallex is leading the charge in building the global payments and financial platform of the future. If you're ready to do the most ambitious work of your career, join us.

About The Team

Airwallex is establishing a state-of-the-art lending platform and building a suite of related credit products which include customer facing credit cards.

The Staff Fullstack Engineer is a high-impact, high-ownership role working on the leading edge of our lending product suite to launch and scale up our capability into new markets. The Lending engineering & product team is based in Singapore and has full global ownership. This role requires close collaboration with the local team to lead the evolution and innovation of our exciting new credit suite.

Join Airwallex and become an integral part of a team that is redefining the boundaries of financial innovation. Airwallex offers a dynamic and inclusive work environment where you can cultivate your knowledge, foster personal growth, and realize your full potential.

What You’ll Do

Your contributions will directly impact the success of our products and make a lasting mark on the industry. Seize this opportunity to join our dynamic team and become a part of our journey to create extraordinary technology that empowers users worldwide!

This role is based in Singapore.

Responsibilities

Lead the design, implementation & delivery across our lending product suite initially focused on launching and scaling up our credit cards product into new markets.
Collaborate with a talented team of engineers to conduct architectural reviews, ensuring the highest quality and scalability of our solutions.
Own the technical strategy spanning the evolution of our micro frontend, GraphQL & backend platform services.
Partner with the broader lending team to optimize our processes for productivity & quality.

Who You Are

We're looking for people who meet the minimum qualifications for this role. The preferred qualifications are great to have, but are not mandatory.

Minimum Qualifications

6+ years of experience in modern engineering practices focused on continuous integration and quality engineering.
2+ years of staff experience mentoring a community of engineers and leading the definition and execution of some engineering strategy.
A passion for building delightful customer-facing products.
Deep expertise in modern frontend architecture, React, TypeScript / JavaScript and experience working on high-volume distributed systems.
Strong computer science fundamentals - solid understanding of OOP concepts.
Commitment to producing high-quality, well-tested solutions.
Cloud experience with GCP (preferred) or AWS (EC2, RDS, ELB, CloudFront, etc.) with Docker and Kubernetes.
Familiarity with operational tooling such as Splunk, Grafana, and Prometheus.

Preferred Qualifications

Experience with Java and Kotlin for development.
Prior experience in the lending or financial technology industry.

#bangkok, #hongkong, #jakarta, #shanghai, #singapore, #sydney, #taipei, #tokyo

Equal opportunity

Airwallex is proud to be an equal opportunity employer. We value diversity and anyone seeking employment at Airwallex is considered based on merit, qualifications, competence and talent. We don’t regard color, religion, race, national origin, sexual orientation, ancestry, citizenship, sex, marital or family status, disability, gender, or any other legally protected status when making our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.

Airwallex does not accept unsolicited resumes from search firms/recruiters. Airwallex will not pay any fees to search firms/recruiters if a candidate is submitted by a search firm/recruiter unless an agreement has been entered into with respect to specific open position(s). Search firms/recruiters submitting resumes to Airwallex on an unsolicited basis shall be deemed to accept this condition, regardless of any other provision to the contrary.","Back-End Web Development, Computer Science, Continuous Integration (CI), Full-Stack Development, GraphQL, Kotlin, Lending, Object-Oriented Programming (OOP), Quality Engineering, and TypeScript",https://media.licdn.com/dms/image/v2/C560BAQE0x1xIVWaQgw/company-logo_100_100/company-logo_100_100/0/1630593999400/airwallex_logo?e=1733356800&v=beta&t=MEN9eOout0FmV0lzhr15WoAH7JVpVNq8PxL6cSceGaE,"Hybrid,Full-time,Mid-Senior,level","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3994135788/?alternateChannel=search&refId=jbY6XYBqP%2Buc8q245qUEoA%3D%3D&trackingId=8Q%2BVJuNz0LmpIbUw5izBLQ%3D%3D&trk=d_flagship3_search_srp_jobs
VISEO ASIA,Salesforce Technical Architect,1 week ago,"As an experienced Salesforce.com Technical Architect with 8-10 years of experience, you have a good functional and technical knowledge of Salesforce and its suite of solutions. The Salesforce Architect role will be responsible for building and mentorship of a multi-skilled Salesforce team as well as design and implementing Salesforce solutions for our customers that follow best practices in both IT and Salesforce projects

Your responsibilities will be to: 
·Engage clients & prospects and conduct technical presentation meetings on Salesforce.com
·Design robust architectural solutions for enterprise-level Salesforce implementations
·Provide solution design expertise spanning across multiple industries
·Shape a digital blueprint and technology roadmap
·Plan and lead solution delivery requirements gathering, analysis, design, configuration, integration, testing, migration and deployment
·Ability to understand pain areas of business and present workable solutions
·Project manage resources and delivery of business implementation successfully
·Manage robust teams of Salesforce.com delivery team members, including BAs, Tech Leads, Architects, Developers & QA
·Define and execute best practices in solution analysis, design and implementation
·Document solution for IT and client reference
·Take accountability of delivery of work packages to customer facing project teams, ensuring packages are delivered on time and with quality
·Ensure all code is peer-reviewed against VISEO development standards prior to deployment to UAT
·Maintain and publish Salesforce development standards to broader technical teams on a quarterly basis
·Ensure developers are incorporating code review feedback prior to deployment to UAT. Enforce the practice with regular training & project audits.
·Experience in implementing DevOps
·Acts as the escalation point when issues arise and understand what to do and who to work with to resolve them.
·Be an active part of the regular project reviews, owing technical & solution reviews for all projects on a regular basis
·Keeping up to date with Salesforce releases and new functionality.
·Adhere to company and project standards and guidelines.
·Accurate time management and reporting of own work.
·Quality, on time delivery of agreed deliverables.
·Ability to work on multiple projects simultaneously

Your Profile: 
·
·Minimum Bachelors Degree in IT/Conputer Science/Computer Engineering/ Engineering
·Must have Mminimum 8 years of Salesforce Hands-on Experinnce with Development and solutioning
·Must have 2-3 years of Architect Experience.
·Must have at least one of the certifications below:
·Salesforce Application Architect Certification
·Salesforce System Architect Certification
·Salesforce Technical Architect Certification
·Strong analysis and solution designing skills
·Effective presentation and communication skills
·Relevant and practical experience in Salesforce.com consultancy required
·Open to travel and overseas posting for 2 to 3 months to be expected

About VISEO:
VISEO is a Global Technology Company established in 1999 with HQ located in France. The Singapore office serves as VISEO Asia Pacific Japan (APJ) headquarters, with additional offices in Australia (Brisbane, Melbourne, Sydney), China (Beijing, Shanghai, Shenzhen), Hong Kong, India, Indonesia, Japan, Malaysia, Philippines (Cebu, Manila), to address projects in the region.

VISEO uses technology as a powerful lever of transformation and innovation to help its clients take advantage of digital opportunities, address new uses and compete with new players who change the rules of the game. With more than 2,700 employees globally, our worldwide presence best meets clients' needs through supporting global roll-outs.

If you are interested in joining us, VISEO ensures the development of your skills by having regular exchanges with peers, coaching by a technical mentor, and official certification with our partners, such as but not limited to: SAP, Salesforce.com and Commerce Cloud, Docker, Azure, AWS, Anaplan, Cegid etc.

In addition, you will have fun while challenging yourself, participating in agile projects, external events and conferences, and internal technical communities, which will contribute to your career growth!","Code Review, Computer Engineering, Enterprise Solution Design, Project Reviews, Requirements Gathering, SOQL, Salesforce.com, Salesforce.com Administration, Technical Solution Design, and Visualforce",https://media.licdn.com/dms/image/v2/C4D0BAQF_BZ7Gh27COw/company-logo_100_100/company-logo_100_100/0/1641308441397/viseo_asia_logo?e=1733356800&v=beta&t=D0lbizDlYE9vSHgarlCJ6W_Htf3vzum8VFJSqpCxMWM,"Hybrid,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4008304679/?alternateChannel=search&refId=jbY6XYBqP%2Buc8q245qUEoA%3D%3D&trackingId=Y1EHnH4flhtXiZdeiq0IJQ%3D%3D&trk=d_flagship3_search_srp_jobs
Palo Alto Networks,"Systems Engineer (Presales) - FSI, Indonesia",Reposted 1 week ago,"Company Description

Our Mission

At Palo Alto Networks® everything starts and ends with our mission:

Being the cybersecurity partner of choice, protecting our digital way of life.

Our vision is a world where each day is safer and more secure than the one before. We are a company built on the foundation of challenging and disrupting the way things are done, and we’re looking for innovators who are as committed to shaping the future of cybersecurity as we are.

Our Approach to Work

We lead with flexibility and choice in all of our people programs. We have disrupted the traditional view that all employees have the same needs and wants. We offer personalization and offer our employees the opportunity to choose what works best for them as often as possible - from your wellbeing support to your growth and development, and beyond!

Job Description

Your Career

As a Systems Engineer you provide technical expertise and guidance in your customer’s zero trust journey. You will play a key role in defining technical solutions that secure a customer’s key business imperatives. You evangelize our industry leadership in on-prem, cloud, and security services that establish PANW as your customer’s cybersecurity partner of choice.

Your Impact

Role

Curiosity is core to the SE role, and you see complex problems as opportunities to learn and deliver innovative solutions! You define your impact by:

Meeting and exceeding sales quotas by building and implementing strategic, technical account plans that target cross-platform solutions 
Conducting discovery to understand and articulate the key technical, operational, and commercial imperatives of your prospects and customers
Planning and building compelling technical and business-focused solutions which drive adoption and growth after the initial sale and across the portfolio
Demonstrating strong communication skills and the ability to influence through effective presentations and customer-specific demos, technical engagements, and workshops
Orchestrating supporting resources to ensure a one-team approach that demonstrates a cohesive strategy
Promoting end-to-end solutions that include PANW and/or partner professional services to ensure customers realize business value sooner
Understanding the competitive landscape and effectively differentiate our leadership 
Continuously investing in yourself to develop technical and professional skills that drive your ever-increasing contributions to customer success while actively participating within the SE community and at industry events

Qualifications

Your Experience

Understanding of data networking
8+ years experience doing presales role
Delivering cybersecurity solutions that solve technical challenges and influence new business initiatives
Influencing and gaining buy-in from key stakeholders, either in a customer-facing or internal role - prior experience in a pre-sales role is ideal
Creating and delivering technical presentations, workshops, or technical validation engagements 
Experience selling, implementing, or managing SaaS/SASE/cloud/managed/on-prem offerings is a plus
Partnering with Customer Support functions to ensure successful implementation and adoption of sold solutions
Complex sales involving long sales processes with multiple buying centers and multi-product solutions is preferred

Additional Information

The Team

Our SE team members work hand-in-hand with large organizations around the world to keep their digital environments protected. We educate, inspire,and empower our potential clients in their journey to security.

You are empowered with unmatched systems and tools and a team built on joint success. You won’t find someone at Palo Alto Networks that isn’t committed to your success – with everyone pitching in to assist when it comes to solutions selling, learning, and development. Our Systems Engineering community is driven by the mission to be our customers’ cybersecurity partner of choice, protecting their digital way of life.

Our Commitment

We’re trailblazers that dream big, take risks, and challenge cybersecurity’s status quo. It’s simple: we can’t accomplish our mission without diverse teams innovating, together.

We are committed to providing reasonable accommodations for all qualified individuals with a disability. If you require assistance or accommodation due to a disability or special need, please contact us at accommodations@paloaltonetworks.com.

Palo Alto Networks is an equal opportunity employer. We celebrate diversity in our workplace, and all qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or other legally protected characteristics.

All your information will be kept confidential according to EEO guidelines.

Is role eligible for Immigration Sponsorship?: No. Please note that we will not sponsor applicants for work visas for this position.","Communication, Data Networks, Demos, Networking, Presales, Presentations, Professional Skills, Solution Selling, Technical Presentations, and Workshops",https://media.licdn.com/dms/image/v2/C560BAQFZg72Sfni4SA/company-logo_100_100/company-logo_100_100/0/1657225156841/palo_alto_networks_logo?e=1733356800&v=beta&t=ay1w7DHsSy9IenuIOjK2YWyD7wLkiiI1LBkl3K9TOyw,"On-site,Full-time,Associate",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3901106171/?alternateChannel=search&refId=jbY6XYBqP%2Buc8q245qUEoA%3D%3D&trackingId=LR0X2ULXTJfk4ytn3OFqSA%3D%3D&trk=d_flagship3_search_srp_jobs
Ciputra Group,ETL Developer,3 weeks ago,"Job Description:
Responsible for developing and maintaining software in accordance with company objectives and user needs.
Design and create code for layer application and layer database.
Analyzing and implementing changes to software for system error correction, maintenance, and development.
Mantain software quality by considering user-friendly, user-experience, speed performance, and system reliability.
Conducting tests on the results of software development or maintenance.

Qualification:
Bachelor's Degree in Information Technology/Computer Science, GPA min 3.00

A. Technical Skills
1. General Skills
Ability to understand and analyze complex systems.
Proficiency in algorithms, analysis for decision-making, and problem-solving.
Possess analytical abilities to identify the underlying issues from strategic, business, and system viewpoints.
Strong team player who maintains integrity and demonstrates attention to detail.
Good interpersonal, communication, and organizational skills.
Open-minded, critical thinking, dynamic, and proactive mindset.

2. Specific Skills
Minimum 4 years of experience working as an ETL Developer developing, maintaining, and managing RDBMS including creating script, store-procedure, and SQL Query.
Create and maintain optimal data pipeline architecture for integrating data through ETL tools (SSIS, Pentaho, Talend).
Build data ingestion workflow for data warehouse/data marts/operational data store.
Have knowledge and experience in database design and database construction.
Strong understanding and experience in creating SQL script and enhancing SQL queries (SQL tuning).",Leadership and SQL,https://media.licdn.com/dms/image/v2/D560BAQFO3y5ZMibSOA/company-logo_100_100/company-logo_100_100/0/1681297388898/ciputra_group_logo?e=1733356800&v=beta&t=Cf2X-78o1Fyt1sWtTPOHjWz7_8kvqVLPRe44I9PD6zs,"On-site,Full-time,Associate","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3994877266/?alternateChannel=search&refId=jbY6XYBqP%2Buc8q245qUEoA%3D%3D&trackingId=xJoQJ1T2mQeUe4CPnus2Tg%3D%3D&trk=d_flagship3_search_srp_jobs
