Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations,Link
Home Credit Indonesia,Insurance Product Manager,2 weeks ago,"The purpose of this position is to research, development, testing and implementation of bundling insurance & protection products which will enable to give added value to customers on top of financing product and generate a desirable amount of fee based income. 

Plan and analyze performance of existing and new insurance / protection products and drive changes in processes, approaches and design to achieve and over-deliver on targets. Coordinate efforts to implement changes and ensure good understanding of all relevant internal and external parties of the products and processes. 

Actively drive great customer experience of the insurance / protection products. Leverage partners' marketing budget and activities to achieve aforementioned objective.

What you will do
Works with POS Loan, Online and Credit Card Product team to develop relevant insurance protection products
Develops bundling insurance & protection product concepts, product designs, regulations and features them internally as well as with customers (in cooperation with R/D Insight Manager)
Cooperates with other departments to define end to end processes for bundling insurance or protection products
Reviews performance (sales, performance against plan) of existing bundling insurance or protection products and related processes and proposes changes to improve customer experience and process simplicity internally
Co-manages (with Project Manager) project of implementing bundling insurance protection products
Monitors, tracks and summarizes overview of the competitor products and overview of the market
Analyze market conditions and recent developments in the market from offline, online sources and professional network
Cooperates with Pricing Manager to define the right pricing for bundling insurance or protection products and review it time to time
Provide regular reports and updates to management
Provides briefs to Marketing Communication and Digital team to prepare campaign wording, BTL promotion materials, Online advertisement and in some case ATL campaigns. Reviews outcomes and suggests changes
Support other functions training roles to develop training materials
Actively works with Sales network, Key Accounts Management and Business Development team to train, communicate, enhance the insurance related products and processes
Manages product setup in HCID core system and cooperates with IT on User Acceptance testing and ongoing management of the insurance / protection product setup in the system
Takes active part in resolution of customer complaints related to insurance / protection products, services and features desing and processes
Liaises with the insurance or protection providers by arranging regular review meetings to seek any potential problems and opportunities

What you will need
At least 5+ years experience in Insurance or Bancassurance industry, preferably as Insurance Product Management or Product Owner.
Experience with insurance or protection product set up, including but not limited to product strategy & regulations.
Preferably with insurance product knowledge in general insurance, life insurance or car insurance will be a good plus.
Able to navigate data analysis on product performance, product penetration, product income & revenue, and product target.
Experience in planning, pricing and forecasting study for insurance, bancassurance, or protection products and sales campaigns.
Experience with Business Development or Partnerships activity with Insurance company.
Experience in analysis of effectiveness/ROI for campaigns.
Ability to analyse and report/communicate results together with root cause analysis and development of enhancements/corrective actions.
AAJI / AAUI active license holder will be an advantage","Analytical Skills, Bancassurance, Business Insurance Planning, Credit Cards, Forecasting, Insurance, Product Management, Project Management, Property and Casualty Insurance, Sales, and User Acceptance Testing",https://media.licdn.com/dms/image/v2/C560BAQFEAxmwFTkTHg/company-logo_100_100/company-logo_100_100/0/1662639729686/homecreditindonesia_logo?e=1733356800&v=beta&t=l80d_yVd3SCwQgxOhuCEOdsr02m0mYSaH1Rqa9DoNlo,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4002688229/?alternateChannel=search&refId=VLruLAeosxxBfmfBBkS8nQ%3D%3D&trackingId=BBgc3%2FX8JGub376ZeTQshw%3D%3D&trk=d_flagship3_search_srp_jobs
Bank Saqu,Payment Product,3 weeks ago,"About You
You're a go-getter with mad juggling skills (or multiple hats) who can thrive in a fast-paced, agile environment
You enjoy doing purpose-led and meaningful work
You have a strong thirst for knowledge and are driven to find solutions that don't exist yet
You are comfortable with ambiguity and extremely resourceful (in your past life, you could've been a detective)
You always find a way to get things done without sacrificing the quality of your work, integrity, and values
No task is off limits for you
You are humble and prioritize the success of the team over your own with an eagerness to help those around you
You don't shy away from challenges and can bounce back from setbacks

What you’ll do and what success looks like in this role:
Define and articulate the product vision, strategy, and roadmap, ensuring alignment with the company's overall goals and market demands.
Collaborate closely with engineering, design, marketing, and other cross functional teams to ensure seamless product development and successful product launches.
Oversee the entire product lifecycle from concept to launch, including requirements gathering, development, testing, and post launch optimization
Establish KPI's for product success, track and analyze product performance, and make data driven decisions to drive continuous improvement.
Act as the voice of the customer within the organization, ensuring that customer feedback and insights are integrated into product development and improvements.
Communicate product plans, progress, and results to stakeholders at all levels, ensuring transparency and alignment across the organization.
Foster a culture of innovation and creativity within the product team, encouraging the exploration of new ideas and solutions to meet customer needs.
Identify potential risks in the product development process and implement strategies to mitigate them, ensuring timely and successful product delivery.
Manage product budgets and resources effectively, ensuring that are completed within scope, on time, and within budget constraints.

What Is Required and What We’re Looking For
Proven experience (usually 2+ years) in product management roles within the banking or financial services industry.
Familiarity with payment systems, including debit cards, credit cards, online banking, mobile payments, and/or digital wallets.
Deep understanding of banking products, payment processing, and financial regulations.
Knowledge of industry trends, emerging technologies, and competitive landscape in payments.
Ability to develop and communicate a clear product vision and roadmap aligned with business goals.
Experience in defining product strategy based on market research, customer insights, and competitive analysis.
Proficiency in agile methodologies and product lifecycle management.
Hands-on experience in defining product requirements, prioritizing features, and managing product launches.
Strong leadership skills with the ability to motivate and lead cross-functional teams.
Experience collaborating with stakeholders across marketing, operations, compliance, and technology departments.
Data-driven decision-making skills, with the ability to analyze product performance metrics and user feedback.
Experience in conducting market research, user testing, and competitive analysis to inform product decisions.
Excellent verbal and written communication skills, including the ability to present complex ideas clearly and concisely.
Strong interpersonal skills to build relationships with internal teams, external partners, and customers.","Analytical Skills, Chargebacks, and Communication",https://media.licdn.com/dms/image/v2/D560BAQFh-CnrLSIxqQ/company-logo_100_100/company-logo_100_100/0/1719215418213/bank_saqu_logo?e=1733356800&v=beta&t=GCfjQlED0tBo9jUv8qtgHnauDlhUFWeL9JGT18IHRTg,"Hybrid,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4000347481/?alternateChannel=search&refId=VLruLAeosxxBfmfBBkS8nQ%3D%3D&trackingId=ONouoJ%2BWosikcOJPMrlcXA%3D%3D&trk=d_flagship3_search_srp_jobs
Makmur Kuliner Abadi,Senior Accounting,3 hours ago,"Senior Accounting

Kriteria:
Lulusan S1 Akuntansi / Finance, Memiliki IPK di atas 3.5
Memiliki Pengalaman di Bidang Akuntansi Minimal 3 Tahun.
Lulusan Akunting akan diprioritaskan.
Memiliki Pemikiran Kritis dan Problem Solving.
Sudah terbiasa dalam membuat Laporan Laba Rugi Perusahaan.

Gaji start dari 8jt.

CV dapat dikirimkan ke email : makmurkulinerabadi.rekrutmen@gmail.com","Account Reconciliation, Accounts Payable (AP), Accounts Receivable (AR), Auditing, Bookkeeping, Financial Reporting, General Ledgers, Invoicing, Problem Solving, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQHFjsHNsz-T7A/company-logo_100_100/company-logo_100_100/0/1724929076046?e=1733356800&v=beta&t=FHGzZE-uOHuKkJ0_4LYY-XWOBE22JgOmx_qi0xi2P4A,"On-site,Full-time",Greater Batam,https://www.linkedin.com/jobs/view/4015009003/?alternateChannel=search&refId=VLruLAeosxxBfmfBBkS8nQ%3D%3D&trackingId=HZb6vtqUPykWNAGbNBC0rw%3D%3D&trk=d_flagship3_search_srp_jobs
Kibarer Property,Senior Architect,1 month ago,"Kibarer Property is seeking a dynamic and experienced Senior Architect to lead our architectural design team. The ideal candidate will manage the architectural design process from conception to completion, ensuring all projects adhere to budget, timeline, and the highest quality standards. This role requires a balance of creative vision, technical expertise, and project management skills.

Responsibilities
- Lead and manage the architectural design process from concept to completion, ensuring adherence to budget, timeline, and quality standards.
- Create visualizations, 3D models, and presentation drawings.
- Prepare detailed CAD working drawings and technical specifications for permit documentation and project tender developments.
- Handle multiple projects simultaneously in an organized way.
- Prepare basic cost estimates and assist with value engineering.
- Collaborate with engineers and contractors, as well as managing external architectural teams.
- Oversee site visits and inspections to ensure construction adheres to design and quality standards.
- Stay updated on industry trends with a focus on sustainability and emerging technologies in architecture and design.
- Provide Site Sketches (SK) and manage Change Orders (CO).
- Responsible for delivery and closing of successful projects.

Requirements
- Residing in Bali
- Fluent written and spoken English and Bahasa Indonesia.
- Creative, proactive, deadline-oriented, open-minded, attention to detail, and result-driven.
- Leadership qualities with a collaborative and team-oriented mindset.
- Computer skills expertise: AutoCAD, SketchUp, Rhino, Adobe Photoshop, and MS Office. Autodesk Revit would be a plus

Education and Experience
- Degree in Architecture
- Proven experience in real estate development operations, project management, and team leadership.
- Experience in managing and mentoring
- Minimum 5+ years of experience in professional architecture practice, independent practice, or as in-house architect for a developer firm.
- A strong portfolio showcasing high-end residential, hospitality, and/or luxury villa projects would be a plus.

Please note: Only applications accompanied by a portfolio will be considered.

We offer a competitive salary, a dynamic working environment, and the opportunity to lead projects that redefine industry standards. If you are ready to take your career to the next level, we would love to hear from you.","Adobe Creative Suite, Adobe Photoshop, AutoCAD, Autodesk 3ds Max, Construction, Enterprise Architecture, IT Integration, Service-Oriented Architecture (SOA), Software Development, and Solution Architecture",https://media.licdn.com/dms/image/v2/C560BAQFgdd-V-vtf3A/company-logo_100_100/company-logo_100_100/0/1630667735207/kibarer_property_logo?e=1733356800&v=beta&t=M_I3j0W1ZOX9Hldib4-AKbrCaHYSjqTJlAzitB-w8iI,"On-site,Full-time","Kuta Untara, Bali, Indonesia",https://www.linkedin.com/jobs/view/3974742807/?alternateChannel=search&refId=VLruLAeosxxBfmfBBkS8nQ%3D%3D&trackingId=ZGmi3DFpo81urH2jDcw%2Bew%3D%3D&trk=d_flagship3_search_srp_jobs
Adira Finance,Head Information Technology Development,4 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1733356800&v=beta&t=000YjeLBjpUTFVkzBiTEhKI87BfGAogtpEEwoSoTi20,"Hybrid,Full-time,Mid-Senior,level","South Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3992831009/?alternateChannel=search&refId=VLruLAeosxxBfmfBBkS8nQ%3D%3D&trackingId=FJo%2F5aa1E4TvhKLVN0HT9Q%3D%3D&trk=d_flagship3_search_srp_jobs
Yogoshop Indonesia,Mandarin Translator,2 weeks ago,"PT. Langit Makmur Jaya
www.yogoshop.id
[TRANSLATOR ASSISTANT]

LANGIT Career © 2024
Translator Assistant adalah seseorang yang memiliki tugas untuk membantu orang tertentu dalam melakukan aktivitas dalam Hal Administrasi dan Penerjemah. Kami membuka peluang karir untuk posisi TRANSLATOR ASSISTANT dengan ketentuan :

Jobdesk, tugas dan tanggung jawab Translator Assistant antara lain sebagai berikut :
Memantau email atasan mengenai pelaporan dan memberikan respon jika diperlukan.
Mempersiapkan komunikasi atas nama atasan.
Menjawab panggilan telepon atas nama atasan.
Mengatur perjalanan dan rencana perjalanan atasan.
Mengorganisir dan merencanakan pertemuan atas nama atasan.
Membuat notulen rapat.
Melakukan atau menyiapkan berkas apa pun yang mungkin diperlukan oleh atasan.
Menjaga semua berkas dan catatan digital untuk proyek yang sedang berlangsung.
Membantu dalam membuat dan mendistribusikan notulen rapat untuk rapat bulanan dan rapat lainnya.
Mengirim dan mengambil berkas korespondensi terkait bisnis di wilayah geografis terdekat.
Bekerja dengan tim administrasi untuk membuat spreadsheet dan informasi presentasi untuk berbagai pertemuan.
Menyiapkan ruang konferensi untuk presentasi dan rapat staf.

Keahlian yang harus dimiliki oleh Translator Assistant antara lain adalah:
Lulusan S1 dengan jurusan yang relevan seperti administrasi skeretaris, atau bisnis
Fasih dalam Bahasa Mandarin (Baca, Tulis, Bicara)
Komunikasi yang baik, baik lisan maupun tulisan
Kemampuan organisasi dan manajemen waktu
Kemampuan komunikasi verbal dan tertulis
Memahami software terkait pekerjaan
Mampu menjaga kerahasiaan perusahaan
Dapat diandalkan dan teliti serta Fleksibilitas
Proaktif dan inisiatif serta Percaya diri
Kemampuan penilaian yang baik
Multitasking","Communication, Language Services, Legal Translation, Linguistics, Multilingual, Proofreading, Research Skills, Technical Translation, Translation, and Writing",https://media.licdn.com/dms/image/v2/D560BAQGlG3PDMW8uJA/company-logo_100_100/company-logo_100_100/0/1713759325878?e=1733356800&v=beta&t=bDr-_qIynIR4uF66NdjsU3kFwnYPFYFOcnb64Ils448,"On-site,Full-time","Cilandak, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3998737547/?alternateChannel=search&refId=VLruLAeosxxBfmfBBkS8nQ%3D%3D&trackingId=VFdWsYnyWwpS4aIS0EDkDw%3D%3D&trk=d_flagship3_search_srp_jobs
Prudential Indonesia (PT Prudential Life Assurance),AM - Strategy,3 weeks ago,"Prudential's purpose is to help people get the most out of life. We will deliver our purpose by creating a culture in which diversity is celebrated and inclusion assured, for our colleagues, customers, and partners. We provide a platform for our people to do their best work and make an impact to the business, and in exchange, we support our people's career ambitions. We pledge to make Prudential a place where you can Connect, Grow and Succeed.

Job Scope:
Prudential Indonesia is one of the largest business units of Prudential in Asia and the largest Life Insurance company in Indonesia in both sales and profitability. The Strategy team plays an exciting role in leading the strategic planning process and business analytics.

As this function serves Prudential Indonesia’s top management team, you will be exposed to high-level discussions and strategy meetings that will define the company and the life insurance industry for years to come. 

For individuals who are passionate about strategy, business performance and communication, the role is a position that will challenging with communication dilemmas. It is a unique position that requires a mix of creativity, a passion for problem-solving, an ambition to translate complex issues through visual design, and an interest in strategy and business performance.

An idea is only as good as how it is communicated. Thus, the business presentations and reports developed by this function is critical to the leadership’s decision making and to convey those decisions to the entire company. The incumbents will need to be able to:
Decipher high level concepts and strategies 
Distill the information into its core message
Design visual solutions that conveys that message clearly and efficiently

Job Responsibilities:
a. Strategic Planning & Performance Management
Support the delivery of a well-designed, robust set of strategic reports and presentations while ensuring the quality, clarity and consistency of the contents
Support annual corporate strategy setting process including preparation of materials, meeting notes, follow-up actions, and tracking
Prepare Quarterly Business Performance Review and EXCO review process, respond to actions arising from review meetings
Support in monitoring performance indicators and strategic projects, highlighting trends and, if any, analyzing cases of unexpected variances

b. Corporate and Business Support
Produce well-designed corporate and business presentations as requested by Senior Management while ensuring the quality and alignments of its contents to the company’s strategies
Support the business needs and proactively engage with various heads of departments to align their plans with management objectives
Manage the safe-keeping of strategic, corporate and business presentations and reports
Participate in ad hoc strategic projects (including M&A activity)

Job Requirements:
Bachelor / Master degree in Design / Communication / Business.
Minimum 5-7 years relevant experience in business strategy / communication team
Experience in working in a team and in handling senior level management
Experience in Life Insurance or Financial Service industry would be advantageous
Has a strong ability to apply logical and critical thinking into visual communication materials / slides
Good research and analytical skill
Advanced knowledge of PowerPoint to create presentations
Proficiency in the use of Excel, PowerPoint, and design tools
Good interpersonal and communication skills, both written and verbal in Bahasa and English
Creative, critical thinker and problem solver
Takes direction and feedback well, eager to learn, and strive to provide the best solution
Flexibility and ability to multi-task and prioritise to deliver on time 
Detail-oriented and fast learner

Prudential is an equal opportunity employer. We provide equality of opportunity of benefits for all who apply and who perform work for our organisation irrespective of sex, race, age, ethnic origin, educational, social and cultural background, marital status, pregnancy and maternity, religion or belief, disability or part-time / fixed-term work, or any other status protected by applicable law. We encourage the same standards from our recruitment and third-party suppliers taking into account the context of grade, job and location. We also allow for reasonable adjustments to support people with special requirements.","Business Planning, Business Presentation, Business Strategy, Communication, Customer Satisfaction Research, Financial Services, Presentations, SQL, Strategic Management, and Strategic Planning",https://media.licdn.com/dms/image/v2/C510BAQHlHbrkp6AbPg/company-logo_100_100/company-logo_100_100/0/1630608436677/prudential_indonesia_pt_prudential_life_assurance__logo?e=1733356800&v=beta&t=y2KTb6DuWkWhWlcE8GTrpGv5yB8SLBkX8Yt0dCLzo0U,"Hybrid,Full-time,Associate","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3994279744/?alternateChannel=search&refId=VLruLAeosxxBfmfBBkS8nQ%3D%3D&trackingId=VwRLRbeDEGtODhOHs1%2FPrg%3D%3D&trk=d_flagship3_search_srp_jobs
SoftwareOne,Cloud Solution Architect- AWS,3 weeks ago,"Develop Enterprise Cloud solutions, lead delivery teams in customer workshop, coordinate with multiple stakeholders in client hierarchy to engage, understand and articulate requirements to create solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure and platform solutions.
 As a cloud architect, you will engage with clients to define and design the cloud technology architecture and solution architecture. You will also define application and IT Architecture focusing on the mapping of Business requirement’s to IT Capabilities and align the same.

The focus is to define the integrations between, Applications, Data and Technology in the Enterprise and the Transitional Process necessary for migration and modernizing to cloud based architecture that includes APIs, microservices and containers.

You will keep yourself updated with latest technology trends and architectural styles and suggests leveraging of modern digital technologies to cater to business needs. Recognized as an Expert In their technology and architecture field. You will guide cloud objectives and technologies.
Job Requirements 
Key Responsibilities :
Define end to end Enterprise and Cloud based Architecture catering to client needs and requirements
Analyze Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and risks to propose cloud roadmap, solution architecture and associated TCO
Develop and implement cloud architecture solutions based on AWS and knowledge of AWS , GCP or IBM Cloud is added advantage when assigned to work on delivery projects.
Analyze client requirements, propose for overall Application modernization, migrations and green field implementations and should be able to execute those projects as technical consultant
Experience in implementing and deploying a DevOps based, end to end cloud application
Lead teams for a discovery and architecture workshop, influence client architects, and IT personnel
Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements.
Deliver an optimized infrastructure services design leveraging public, private, and hybrid Cloud architectures and services 
Act as subject matter and implementation expert for the client as related to technical architecture and implementation of proposed solution using Cloud Services
Implement Solution using AWS Cloud Services, open source and other 3rd party technologies
Create and develop process frameworks, documents, SOP’s, cook book, automation scripts/tools for Cloud Discovery, Migrations, Application modernization, DevSecOPs and Services transitions to cloud
Experienced in developing Terraform/Powershell/AWS Cloud Formation/Jenkin/Ansible /templates
Lead internal and external initiative to standardize, automate and develop competitive assets and accelerators
 Technical Experience :
Knowledge on creating IaaS and PaaS cloud solutions in AWS Platform that meet customer needs for scalability, reliability and performance 
Experienced in delivering large/medium scale enterprise solution using Microservices, APIs, Containerization, Kubernetes, App modernization, Cloud Iaas & PaaS
Understanding of WAN, LAN, TCP/IP, VPN, Virtual Networking, Subnet, Routing, Storage account/management and Infrastructure as a Service 
Experience in creating systems logical view, network diagram and able to build automated solution for server build, resource monitoring 
Knowledge and experience in delivering solution using middle ware integration technologies using SOA, ESB, API platforms, API Security
Experience in design, development and architecture of Java/JEE/.NET based system
Have ability to assess multiple types of operating systems (AIX, Linux, Windows etc) and database (Postgres, Sybase, MySQL, MS SQL, NoSQL, DB2, Oracle, Cassandra and MongoDB) to develop transformation approaches and solutions
Worked on Cloud Administration tasks :Creating resource group, storage account, etc
Professional Attributes : 
Strategic thinker, have ability grasp new technologies, innovate, develop and nurture new solutions
Experience in driving consulting workshops, creating content of workshops in short deadlines to C-levels
Demonstrate thought leadership, create good impacts in engagements, manage time and demonstrate flexibility by adapting to situations
An ability to follow processes 
Strong documentation skill 
Good communication skills both written and verbal with the client
 Certifications
 - TOGAF, ITIL, AWS Solution Architect Associate & Expert/AWS Solution Architect Associate & Professional /GCP Professional
Company description 
Hear firsthand from SoftwareOne APAC leaders as they unveil our exciting business and growth plan, spill the beans on our hiring initiatives, and reveal why joining SoftwareOne is an innovator. Join us now and be part of our incredible journey.
 ",".NET Framework, Adobe InDesign, Architecture, C (Programming Language), Content Strategy, Enterprise Service Bus (ESB) Architecture, Java, Service-Oriented Architecture (SOA), TOGAF, and Workshops",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1733356800&v=beta&t=VLqqnKvUkKphLYkvlbPRGHAe-UePjZ6RXohc-aFhVfg,"On-site,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3999264960/?alternateChannel=search&refId=u11sbD8QWBA%2FZWGOcSVp5Q%3D%3D&trackingId=rB45nfy0cdHRGohepQ0LfQ%3D%3D&trk=d_flagship3_search_srp_jobs
ViBiCloud,Solutions Architect,Reposted 4 weeks ago,"Responsibilities
Work with customers to design a solution that meets customers’ specific needs. 
Propose suggestions and best practices to optimize customer’s cloud presence, performance, security, and cost. 
Conduct assessments on the current customer architecture and define cloud adoption strategy or optimizations. 
Providing supervision and guidance to development teams. 
Continually researching current and emerging technologies and proposing changes when needed. 
Providing Solution Proposal to stakeholders and customer on Solution development processes, Component, costs, and budgets.

Qualifications
Bachelor’s Degree in Informatics Technology or Computer Science. 
2 years experienced in Presales role or Cloud Architect role. 
A Good understanding in Microsoft’s Active Directory or LDAP-based identity management is a must. 
Good knowledge in at least one of the operating systems: Windows Server, Linux, Unix, or Solaris. 
Good understanding in networking, including but not limited to: TCP/IP, IP addresses, HTTP / HTTPS, and DNS. 
Have a high-level understanding of cloud security, or basic security concepts (such as firewalls, NGFW, WAF, etc.)","Amazon Web Services (AWS), Domain Name System (DNS), Firewalls, Identity and Access Management (IAM), LDAP, Solaris, and Web Application Firewalls",https://media.licdn.com/dms/image/v2/C560BAQGwMTyASibWiQ/company-logo_100_100/company-logo_100_100/0/1630660543136/vibicloud_logo?e=1733356800&v=beta&t=YeufsuyxdrkPrWPN5wSAxSDaXTyK_rvVMmGUB4pYXzA,"On-site,Full-time,Associate","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3974758335/?alternateChannel=search&refId=u11sbD8QWBA%2FZWGOcSVp5Q%3D%3D&trackingId=cZ3s4Kb6FIpTSk76WSaktw%3D%3D&trk=d_flagship3_search_srp_jobs
Getronics,RPA Business Analyst,1 week ago,"Roles & Responsibilities: 

o Provide functional and operational recommendations to UiPath internal functional teams & business stakeholders
o Review and help refine automation business cases to optimize, improve and automate business processes to deliver the desired business outcome
o Help create an automation pipeline to ensure adoption of UiPath automation capabilities to drive “automation first” strategy
o Conduct high-level assessment, detail As-Is process description, detail To-Be automated process description and define quantifiable business cases with a sound understanding of UiPath products and platform.
o Work with internal functional teams and business stakeholders to extract use cases in their existing implementations
o Partner with Solution Architect to create an implementation plan for the RPA solution designed and work closely with RPA Developers through to testing and deployment.
o Help improve industry points of view with practical implementation & adoption experiences
o Participate in workshops to help shape best fit solution for a certain process area
o Interact with business stakeholders to present automation sources of value in the chosen process areas
o Solve day-to-day issues arising during automation projects with timely resolutions.
o Facilitate daily stand-up meetings on behalf of project manager and coordinate with internal functional teams and business stakeholders regularly for scope clarifications.
o Identify reusable solutions to improve UiPath’s solutions offering and industry blueprint
o Act as a communication bridge between UiPath and the business stakeholders
o Develop success stories and case studies from internal implementation and adoption of UiPath automation capabilities to be shared with UiPath customers and in the industry

Mandate/ Must Requirements:

o 7+ years' experience as a Business Analyst or Process Owner in Finance and Accounting, Insurance, HR or ITO services.
o Minimum 3+ years of BA experience in UiPath Implementation projects
o Strong understanding of RPA Technology and documentation practices
o Experience in using Visio & documentation tool to prepare Process mapping (Current & Future State), Workflow diagram, Low level process document
o Excellent logical and analytical skills to help define solutions for business problems
o Great verbal and written communication
o Strong process minded thinking, problem solvers/ solution oriented
o Experience in adapting to defined document templates and getting signoff from client on requirements
o Gathering requirements on RPA point of view and integration parameters
o Fluent written and spoken English and Bahasa
o Individual Contributors.
o Thinkers and analyzers - with the ability to engage with stakeholders to understand and respond to their needs in rapidly changing business environments.",Visio,https://media.licdn.com/dms/image/v2/D4D0BAQHUD8kfbPO2RQ/company-logo_100_100/company-logo_100_100/0/1700151532687/getronics_logo?e=1733356800&v=beta&t=b10u8XnPbSd2iwdqSIlkM59LQ3anItYPUMU7c9fVZHo,"On-site,Contract,Executive","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4005182048/?alternateChannel=search&refId=u11sbD8QWBA%2FZWGOcSVp5Q%3D%3D&trackingId=agHln%2F7MZ5Yy%2BmMC5rh%2Fkw%3D%3D&trk=d_flagship3_search_srp_jobs
