Company Names,Job Titles,Posted On,Job Details,Skill,Images,Type Location,Locations,Link
Adira Finance,Head Information Technology Development,4 weeks ago,"Responsibilities
Planning and budgeting application development for the next 1 year each year.
Ensure that every plan is in accordance with the company's strategy.
Manage application development requests according to company needs and prioritize.
Performing analysis, planning and design of incoming development requests.
Manage applications that are already running and develop according to the latest technology.
Ensure all developments follow the architecture and system standards that have been set.
Ensure all existing applications are fully documented

Qualifications
Candidates must possess a bachelor degree from IT/SI major with minimum GPA of 3,00.
At least 8 years of experience
Leadership, planning, organizing, presentation, communication, report writing, interpersonal relationship skills, Discipline, Integrity, team work, analytical, creative, Programming (multi language), Database, SDLC, Business View, Negotiation Skill, Customer Relationship Management (CRM), Architecture
Operation, computer literacy, project management
Have an understanding of the tools that support work at Adira Finance.
Excellent understanding of current IT systems and their challenges and barriers
Have the ability to direct in accordance with a systematic workflow
Have the ability to convince users about changes that occur due to the implementation of a computerized system
Have the ability to deal with emergencies
Good project management skills to validate estimates and carry out capacity planning
Always work in a team","Analytical Skills, Budgeting, Customer Relationship Management (CRM), Databases, IT Development, Interpersonal Relationships, Microsoft SQL Server, Negotiation, Project Management, React Native, and Teamwork",https://media.licdn.com/dms/image/v2/D560BAQFu86lL8r06og/company-logo_100_100/company-logo_100_100/0/1713154483891/adira_logo?e=1733356800&v=beta&t=000YjeLBjpUTFVkzBiTEhKI87BfGAogtpEEwoSoTi20,"Hybrid,Full-time,Mid-Senior,level","South Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3992831009/?alternateChannel=search&refId=s6GN1oM9dJc9P%2FgXGDqH2A%3D%3D&trackingId=rge%2B4X00gc6TUbTrxfkMiw%3D%3D&trk=d_flagship3_search_srp_jobs
Norconsult Telematics,SAP ARIBA Functional,3 weeks ago,"Note--Job is based in Saudi Arabia in full-time onsite mode. (No remote/hybrid)


Position Objective
sWe seek an experienced SAP Consultant with expertise in Ariba Sourcing, Supplier Lifecycle (SLP), and Buying to join our dynamic team. The ideal candidate will play a pivotal role in the implementation, optimization, and support of SAP Ariba solutions, ensuring alignment with business objectives and enhancing procurement processes

.
Job description & Responsibilitie
s:Knowledge of integration with other SAP modules (e.g., SAP MM, SAP SRM) is advantageou
s.Led the implementation and configuration of SAP Ariba modules, focusing on Ariba Sourcing, SLP, and Buying, ensuring best practices are followe
d.Collaborate with stakeholders to gather requirements, design solutions, and develop process flows for procurement activitie
s.Conduct workshops and training sessions for end-users to enhance their understanding of SAP Ariba functionalities and promote user adoptio
n.Analyze current procurement processes and recommend improvements through the effective use of Ariba solution
s.Manage supplier onboarding processes using Ariba SLP, ensuring compliance with organizational standards and regulatory requirement
s.Support Ariba Buying activities by configuring catalogues, purchase orders, and procurement workflows to optimize purchasing efficienc
y.Provide ongoing support and troubleshooting for SAP Ariba applications, addressing user issues and system enhancement
s.Monitor and report on key performance indicators (KPIs) related to sourcing, supplier performance, and procurement efficienc
y.Stay updated with the latest SAP Ariba features and industry trends to provide strategic insights and recommendation

s.
Qualificatio
ns:Bachelor’s degree in Business, Information Technology, Supply Chain Management, or a related fie
ld.Minimum of [X] years of experience in SAP Ariba consulting, with a strong focus on Sourcing, SLP, and Buying modul
es.Proven experience in implementing and supporting SAP Ariba solutions in a corporate environme
nt.Strong understanding of procurement processes and supplier management best practic
es.Excellent analytical and problem-solving skills, with a keen attention to deta
il.Strong communication and interpersonal skills, with the ability to work collaboratively across tea
ms.SAP Ariba certification is a pl

us.","Analytical Skills, Key Performance Indicators, Regulatory Requirements, SAP Ariba, Statutory Accounting Principles (SAP), Strategic Insights, Supplier Management, Supplier Performance, and User Adoption",https://media.licdn.com/dms/image/v2/D4D0BAQE-XXg_ARZbgw/company-logo_100_100/company-logo_100_100/0/1708330269251/norconsult_telematics_ltd_logo?e=1733356800&v=beta&t=YfY4tQatNI9IJdgcCYef_AXYdGNzHL6df-S_Tj6brbQ,"On-site,Contract,Associate","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3997316577/?alternateChannel=search&refId=s6GN1oM9dJc9P%2FgXGDqH2A%3D%3D&trackingId=BmRgcI1VbclfPD6Ig3hHGA%3D%3D&trk=d_flagship3_search_srp_jobs
VLink Inc,iOS Developer,3 weeks ago,"VLink Inc. is seeking a talented and experienced Senior iOS Developer to join our dynamic team. If you are passionate about developing high-quality mobile applications and thrive in a collaborative environment, we want to hear from you!

Responsibilities
Design, develop, and maintain high-performance iOS applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the best possible performance, quality, and responsiveness of applications.
Identify and correct bottlenecks and fix bugs to improve application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field.
Minimum 3.00 / 4.00 of latest GPA is mandatory.
5+ years of experience in iOS development.
Strong proficiency in Swift and Objective-C.
Solid understanding of the full mobile development lifecycle.
Experience with RESTful APIs to connect iOS applications to back-end services.
Familiarity with cloud message APIs and push notifications.
Strong problem-solving skills and attention to detail.
Experience with version control systems, such as Git.
Excellent communication and teamwork skills.
Contract position is available.","C (Programming Language), Cocoa, Computer Science, Dependency Injection, Design Patterns, Git, Model-view-viewmodel (MVVM), Objective-C, Swift (Programming Language), iOS, and iOS Development",https://media.licdn.com/dms/image/v2/C4E0BAQHAMUYx5jqZ1w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630643463375/vlink_inc_logo?e=1733356800&v=beta&t=3nQ5J4f2PY-APEF7JIN41IPgKyVofw0NuLMCmF228dE,"Hybrid,Contract,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4000970453/?alternateChannel=search&refId=s6GN1oM9dJc9P%2FgXGDqH2A%3D%3D&trackingId=IVVCnufx9ThKoywnxBjIMw%3D%3D&trk=d_flagship3_search_srp_jobs
SoftwareOne,Cloud Solution Architect- AWS,3 weeks ago,"Develop Enterprise Cloud solutions, lead delivery teams in customer workshop, coordinate with multiple stakeholders in client hierarchy to engage, understand and articulate requirements to create solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure and platform solutions.
 As a cloud architect, you will engage with clients to define and design the cloud technology architecture and solution architecture. You will also define application and IT Architecture focusing on the mapping of Business requirement’s to IT Capabilities and align the same.

The focus is to define the integrations between, Applications, Data and Technology in the Enterprise and the Transitional Process necessary for migration and modernizing to cloud based architecture that includes APIs, microservices and containers.

You will keep yourself updated with latest technology trends and architectural styles and suggests leveraging of modern digital technologies to cater to business needs. Recognized as an Expert In their technology and architecture field. You will guide cloud objectives and technologies.
Job Requirements 
Key Responsibilities :
Define end to end Enterprise and Cloud based Architecture catering to client needs and requirements
Analyze Complex application landscapes, anticipate potential problems and future trends, assess potential solutions, Impacts, and risks to propose cloud roadmap, solution architecture and associated TCO
Develop and implement cloud architecture solutions based on AWS and knowledge of AWS , GCP or IBM Cloud is added advantage when assigned to work on delivery projects.
Analyze client requirements, propose for overall Application modernization, migrations and green field implementations and should be able to execute those projects as technical consultant
Experience in implementing and deploying a DevOps based, end to end cloud application
Lead teams for a discovery and architecture workshop, influence client architects, and IT personnel
Guide other architects working with you in the team. Adapt communications and approaches to conclude technical scope discussions with various Partners, resulting in Common Agreements.
Deliver an optimized infrastructure services design leveraging public, private, and hybrid Cloud architectures and services 
Act as subject matter and implementation expert for the client as related to technical architecture and implementation of proposed solution using Cloud Services
Implement Solution using AWS Cloud Services, open source and other 3rd party technologies
Create and develop process frameworks, documents, SOP’s, cook book, automation scripts/tools for Cloud Discovery, Migrations, Application modernization, DevSecOPs and Services transitions to cloud
Experienced in developing Terraform/Powershell/AWS Cloud Formation/Jenkin/Ansible /templates
Lead internal and external initiative to standardize, automate and develop competitive assets and accelerators
 Technical Experience :
Knowledge on creating IaaS and PaaS cloud solutions in AWS Platform that meet customer needs for scalability, reliability and performance 
Experienced in delivering large/medium scale enterprise solution using Microservices, APIs, Containerization, Kubernetes, App modernization, Cloud Iaas & PaaS
Understanding of WAN, LAN, TCP/IP, VPN, Virtual Networking, Subnet, Routing, Storage account/management and Infrastructure as a Service 
Experience in creating systems logical view, network diagram and able to build automated solution for server build, resource monitoring 
Knowledge and experience in delivering solution using middle ware integration technologies using SOA, ESB, API platforms, API Security
Experience in design, development and architecture of Java/JEE/.NET based system
Have ability to assess multiple types of operating systems (AIX, Linux, Windows etc) and database (Postgres, Sybase, MySQL, MS SQL, NoSQL, DB2, Oracle, Cassandra and MongoDB) to develop transformation approaches and solutions
Worked on Cloud Administration tasks :Creating resource group, storage account, etc
Professional Attributes : 
Strategic thinker, have ability grasp new technologies, innovate, develop and nurture new solutions
Experience in driving consulting workshops, creating content of workshops in short deadlines to C-levels
Demonstrate thought leadership, create good impacts in engagements, manage time and demonstrate flexibility by adapting to situations
An ability to follow processes 
Strong documentation skill 
Good communication skills both written and verbal with the client
 Certifications
 - TOGAF, ITIL, AWS Solution Architect Associate & Expert/AWS Solution Architect Associate & Professional /GCP Professional
Company description 
Hear firsthand from SoftwareOne APAC leaders as they unveil our exciting business and growth plan, spill the beans on our hiring initiatives, and reveal why joining SoftwareOne is an innovator. Join us now and be part of our incredible journey.
 ",".NET Framework, Adobe InDesign, Architecture, C (Programming Language), Content Strategy, Enterprise Service Bus (ESB) Architecture, Java, Service-Oriented Architecture (SOA), TOGAF, and Workshops",https://media.licdn.com/dms/image/v2/D560BAQHbaKcxcln6LQ/company-logo_100_100/company-logo_100_100/0/1719838953350/softwareone_logo?e=1733356800&v=beta&t=VLqqnKvUkKphLYkvlbPRGHAe-UePjZ6RXohc-aFhVfg,"On-site,Full-time,Mid-Senior,level",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/3999264960/?alternateChannel=search&refId=s6GN1oM9dJc9P%2FgXGDqH2A%3D%3D&trackingId=lQZLX6y5c6j7yXqLkQ%2BaiQ%3D%3D&trk=d_flagship3_search_srp_jobs
Alila Hotels,Serviços para o hóspede – sem detalhes pessoais,2 weeks ago,"Organization- Alila SCBD Jakarta

Resumo

Qualificações","Communication, English, Marketing, Negotiation, Online Marketing, Public Speaking, Research Skills, Team Building, Team Leadership, and Teamwork",https://media.licdn.com/dms/image/v2/C4D0BAQG6x9yndhl7Sg/company-logo_100_100/company-logo_100_100/0/1631332631153?e=1733356800&v=beta&t=UZlDi3BA8WvUMjKbdPOBK2tRuJ8FElCSkZuW0x4Usdk,"On-site,Full-time,Entry,level","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4002447525/?alternateChannel=search&refId=s6GN1oM9dJc9P%2FgXGDqH2A%3D%3D&trackingId=pOI7z4%2FAztEXwnM1F3gfgg%3D%3D&trk=d_flagship3_search_srp_jobs
Skillsearch,Senior Unity Technical Artist,2 weeks ago,"We are seeking a Senior Unity Technical Artist to join our client’s team in Jakarta. This role is crucial in bridging the gap between our artistic vision and technical implementation, working to ensure our AI-powered, 3D avatar agents achieve optimal performance and visual quality. If you have a deep understanding of Unity, strong artistic skills, and a passion for pushing the boundaries of 3D production, this role offers an exciting opportunity to contribute to cutting-edge technology. 

Key Responsibilities: 
Collaboration: Work closely with production and engineering teams to implement visual features and optimise assets within Unity. 
Visual Effects Development: Create and maintain visual effects, shaders, and materials to enhance the aesthetic quality of our projects. 
Technical Problem-Solving: Troubleshoot and resolve issues related to asset integration and performance. 
Tool Creation: Develop tools and scripts to streamline and improve the efficiency of the 3D art pipeline. 
Performance Optimisation: Ensure all assets are optimised for performance without sacrificing visual quality. 
Mentorship: Provide guidance and mentorship to junior technical artists and other team members. 
Industry Awareness: Stay up-to-date with the latest trends and technologies to ensure our projects remain innovative and competitive. 

What We’re Looking For: 
Experience: 5+ years as a Technical Artist in the gaming industry. 
Technical Proficiency: Expert knowledge of Unity, including scripting, shader creation, and performance optimisation. 
Artistic Skills: Proficiency in 3D modelling and texturing software such as Maya, 3ds Max, Blender, or similar. 
Rendering & Lighting: Strong understanding of rendering pipelines, lighting, and visual effects. 
Problem-Solving: Excellent problem-solving skills and attention to detail. 
Collaboration: Ability to work collaboratively in a team environment and communicate effectively across disciplines. 
Portfolio: A portfolio showcasing technical artistry and problem-solving abilities, with a clear statement of contributions. 

Preferred Qualifications: 
Mobile/Console Experience: Experience with mobile and console game development. 
Additional Skills: Knowledge of other game engines (e.g., Unreal Engine), familiarity with C# programming, and experience with procedural content generation.","3D Graphics, 3D Modeling, Artificial Intelligence (AI), Autodesk 3ds Max, Autodesk Maya, Blender, Scripting, Shader Creation, and Unity",https://media.licdn.com/dms/image/v2/C4E0BAQGBOY1P-x_3Wg/company-logo_100_100/company-logo_100_100/0/1676979177918/skillsearch_logo?e=1733356800&v=beta&t=I7UappQ8DPg6vMHSG-SZ0tYVgKeMWCTvJbhlYRNoug4,"On-site,Full-time,Mid-Senior,level","Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4004946155/?alternateChannel=search&refId=s6GN1oM9dJc9P%2FgXGDqH2A%3D%3D&trackingId=aAR9lxHHzS6rXvYjUevoqQ%3D%3D&trk=d_flagship3_search_srp_jobs
Kalbe Consumer Health,Senior Brand Manager,8 hours ago,"JOIN US TO BE THE BRIGHTEST STAR
We Do Innovative Work That Brings a Better Life
We believe what we do every day is always embedded with innovation. At Kalbe Consumer Health, you will build your career and find your purpose. At the same time, keep innovating to provide best-in-class products for many families. We are looking for those who can bring happiness through quality health products and continuous innovation for a better life.

Position : Senior Brand Manager 

About The Role :
We are currently seeking Senior Brand Manager to participate identify brands growth opportunity through market, regulations, category and consumer analysis. For this role, you will collaborate with Commercial Team, Business Development & R&D for New Product – Packaging Development.

What You Will Do ?
Identify brands growth opportunity through market, regulations, category and consumer analysis
Set up Brand’s love triangle (segmentation, targeting and positioning) based on defined each brand vision & purpose to meet company objective
Responsible for communication material production (TVC / Radio Ads / Printed / Digital Key Visual / etc.) and Evaluate campaign result.
Collaborate with Internal stakeholders and External in tactical marketing practices across brands & countries

What You Will Need ?
Bachelor degree with min. 5 years of experience with managerial responsibilities in marketing & insight area
Have an excellent understanding of Consumer Goods / OTC commercial (Sales & Marketing) business process
Excellent interpersonal, negotiation, communication, and presentation skills
Adept in data analytical and creative thinking with sound business acumen
Good leadership with the ability to motivate a team
Able to coordinate & collaborate cross-functionally within the organization
English fluency is a must

Benefit :
Self Development opportunity (Training, career path)
Work From Anywhere Policy

About The Team
Kalbe Consumer Health is defined by Panca Sradha, which embraces trust, mindfulness, innovation, striving to be the best, and interconnectedness. Our people, whom we call Saka Stars, are results-oriented and customer-centered. We work in teams and quickly respond to market and consumer needs. Together, we build a better life.

About Company
Kalbe Consumer Health Division offers over-the-counter drugs with therapeutic benefits. We produce consumer products with health benefits, including supplements and other preventive products. Kalbe Consumer Health's over-the-counter portfolio categories cover more than six therapeutic classes with solid brands, commanding a dominant market share over recent decades.
Innovation is the key to Kalbe Consumer Health, and we adhere to our commitment to nourish the nation, which we always take care of jointly. We always provide health solutions ranging from digestive and skin categories, multivitamins, respiratory care, food supplements, and healthy foods.
We provide Innovative and Trustworthy products and services as a solution for daily health management. Kalbe Consumer Health is globally present around consumers. We are present in nine countries with more than sixteen OTC brands.
We ensure that all products are developed responsibly to make the lives of many people healthier globally. We believe that in the journey of Kalbe Consumer Health to provide health product solutions that can nourish the nations.

Recruitment Steps
● Share Your Best Profile
● Meet Our Talent Acquisition Team
● Discuss With Your Future Team
● On-Boarding!

Keep in Touch with Us by Visit our Social Media,
Instagram: https://bit.ly/InstagramLifeatKCH
LinkedIn: https://bit.ly/LinkedInKalbeConsumerHealth
Website: www.kalbeconsumerhealth.com","Brand Development, Business Development, Communication, English, Market Segmentation, Marketing, Marketing Analytics, Marketing Operations, Strategic Marketing, and TVC",https://media.licdn.com/dms/image/v2/C510BAQHNB06FB9bSjA/company-logo_100_100/company-logo_100_100/0/1630596352688/sakafarma_logo?e=1733356800&v=beta&t=zOf7azNjduOjeXQUTJV7LMbmq-LR4qDXju7fBRcq2_M,"On-site,Full-time,Mid-Senior,level","North Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/4015783996/?alternateChannel=search&refId=s6GN1oM9dJc9P%2FgXGDqH2A%3D%3D&trackingId=2eykRBEUqUdzH0%2BHBEtlVg%3D%3D&trk=d_flagship3_search_srp_jobs
Alila Hotels,Serviços para o hóspede – sem detalhes pessoais,Reposted 3 weeks ago,"Organization- Alila SCBD Jakarta

Resumo

Qualificações","Communication, English, Marketing, Negotiation, Online Marketing, Public Speaking, Research Skills, Team Building, Team Leadership, and Teamwork",https://media.licdn.com/dms/image/v2/C4D0BAQG6x9yndhl7Sg/company-logo_100_100/company-logo_100_100/0/1631332631153?e=1733356800&v=beta&t=UZlDi3BA8WvUMjKbdPOBK2tRuJ8FElCSkZuW0x4Usdk,"On-site,Full-time,Entry,level","Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3982696508/?alternateChannel=search&refId=CC9eMN8RtU%2BX52sA2NMBmw%3D%3D&trackingId=hi%2BmanKRpI5nhVLl1HgXFQ%3D%3D&trk=d_flagship3_search_srp_jobs
IBM,Solution Architect Salesforce,21 hours ago,"Introduction

At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities


Offers best practice advice and recommendations to clients often extending beyond Salesforce to topics around overall systems architecture and CRM strategy.
Leads technical requirements gathering or design workshops to derive the envisioned solution along with detailed architecture design and technical specifications
Provides Salesforce architecture design expertise in integrating the Salesforce solution to client’s ecosystems.
Provide Solution Blueprinting, mapping Salesforce features to Business requirements.
Provide technical governance and risk management during presales and delivery.


Required Technical and Professional Expertise


At least 5 years of experience delivering Salesforce projects.
Salesforce certifications: Administrator, Sales Cloud Consultant, Service Cloud Consultant, and Platform App Builder.
Proven experience as a Salesforce Solution Architect or in a similar role.
Deep understanding of Salesforce products and platforms, including Data Cloud, Experience Cloud, Financial Services Cloud, Field Service, etc.


Preferred Technical And Professional Expertise

As above.

About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","Blueprinting, Design Workshops, Presales, Requirements Gathering, Salesforce.com, Solution Architecture, Technical Requirements, Technical Requirements Gathering, Technical Specs, and Workshops",https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1733356800&v=beta&t=qi5RHAWZxR59YK5AoZWojdDbXEeeoFLTe74ylwjWdRg,"Hybrid,Full-time",Jakarta Metropolitan Area,https://www.linkedin.com/jobs/view/4015512644/?alternateChannel=search&refId=CC9eMN8RtU%2BX52sA2NMBmw%3D%3D&trackingId=pKGiLp3jPopAMxqQUgmgXA%3D%3D&trk=d_flagship3_search_srp_jobs
PT. VIVO MOBILE INDONESIA,Internet Product Specialist,3 weeks ago,"Job Responsibilities: 
Planning the list, preparing the content and executing the push application of the V-Appstore.
Collecting and analyzing multidimensional data such as market insight, Application, market industry and competitor data of the V-Appstore.
Responsible to adjust and translate all contents, topics and recommendations based on custmers preferences in each countries that handled.
Providing Banner application recommendation list for the V-Appstore
Compiling, transforming and aggregating the data of each countries to produce an evaluation report.

Job Requirements: 
Bachelor's Degree majoring in, Journalistic, Public Relation, or equivalent, Management or IT
Accuracy and attention to detail
Ability to perform filing and record keeping tasks
Good analytical and critical thinking
Willing to work under-pressure and in flexible working environment
Fresh Graduate or 1 years allow
Mandarin (Speaking & Writing)- At least 1 Year(s) of working experience",Analytical Skills and Market Analysis,https://media.licdn.com/dms/image/v2/D560BAQF4nPg0nSaiLA/company-logo_100_100/company-logo_100_100/0/1699241543272/vivoindonesia_logo?e=1733356800&v=beta&t=X13rj-xyzBEHGZN6Rcjgg_-n3YrFlrw0N7ruPiQ2KN8,"On-site,Full-time,Associate","North Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/view/3993267071/?alternateChannel=search&refId=CC9eMN8RtU%2BX52sA2NMBmw%3D%3D&trackingId=okz%2B7uDCd0DOM3SjfM1omQ%3D%3D&trk=d_flagship3_search_srp_jobs
