Company Names,Job Titles,Posted On,Job Details,Skill
Ultra Voucher,Backend Engineer,2 weeks ago,"Requirements:
Strong Typescript proficiency
Knowledge of Node.JS and PHP and frameworks on the Node.JS ecosystem
Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
min 1 years of experience as a back-end engineer
Knowledge of front-end technologies like Typescript
Experience with DevOps, Docker and Kubernetes would be a plus
Experience with Nginx web server and Linux environment is nice to have

Job Responsibilities:

Build and maintain functional web applications
Troubleshoot and debug issues
Collaborate with front-end developers to integrate front-end elements with server-side logic and functionalities
Building reusable and clean code for future use
Hande SQL database using postgres & mysql and no SQL using mongo db
Handle integration microservice using message queue (Kafka & Rabbit MQ)
Handle cache using redis
Analyze business needs and be able to provide good solution skills to these problems","Back-End Web Development, Docker Products, JavaScript, Kubernetes, Linux, Nginx, Node.js, PostgreSQL, SQL, and TypeScript"
Repsol,Sr. Interface Engineer (TPC Position),2 weeks ago,"Job Title: Sr. Interface Engineer (TPC Position)
Job type: Fixed Term Contract
Job Description:
Supports the Interface Manager in managing the necessary interactions across multiple work streams for major EPCI construction projects providing relevant expertise within the project and, coordination across the various teams.
Ensure adequate control of all interfaces that exist for a given project’s (contract’s) scope of work. This also includes interface management between various subcontractors / suppliers / vendors and our internal units in the overall project development.
Immediately highlighted to Interface Manager or Project Manager any potential issues related to interfaces with a cost/schedule impact.
Produce and distribute periodically reports and will facilitate Interface Meetings on a regular basis.
Familiarize with the contract, our contractual obligations and company specific requirements and SoW.
Adopt standard safe work practices and procedures in accordance with the Safety.
Other tasks as assigned.
Requirements: 
Bachelor’s in engineering degrees.
12+ years of experience in Engineering roles with at least 5 years of experience as Interface Engineer in a PSC Company.
Solid experience in dealing with engineering and construction contractors.
Overall understanding of entire value chain including projects, subsurface, HSE, logistics, procurement, design/construction, operation, maintenance/inspection, and integration.","Engineering, Engineering, Procurement, and Construction (EPC), Interfaces, and Project Management"
Traveloka,Software Engineer - Backend (Transport),1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

As a Backend Software Engineer within the Transport team, you'll have the opportunity to contribute to the design, development, and maintenance of robust and scalable systems that cater to millions of Traveloka users. Beyond collaborating with fellow engineers, your role will involve working alongside Product Managers, Data specialists, Quality Assurance professionals, Operations teams, and various stakeholders to craft and deliver top-notch products and features, enhancing the convenience of air travel for our customers. Your involvement in application development goes beyond coding; you'll participate in the entire product development lifecycle, from ideation and design to implementation and ongoing support.

In the realm of building Traveloka's products and systems, software engineering plays a central and pivotal role, and you will:

Take on the responsibility of designing, enhancing, and maintaining our backend applications, third-party data integration, data APIs, backend systems, and engagement with monitoring tools and infrastructure.
Collaborate within cross-functional teams, regularly interfacing with talented individuals hailing from esteemed backgrounds in technology, consulting, and product development. Embrace an open work environment where hierarchical barriers are nonexistent, fostering a culture where everyone is encouraged to voice their opinions, propose ideas, influence others, and continually advance their own professional growth.
Engage actively in engineering practices such as code review, unit testing, and integration testing to uphold high standards of quality.
Participate actively in solution and architectural design reviews, contributing valuable insights to the development process.
Contribute to be on-call engineer, ensuring the reliability and functionality of our systems.
Engage in innovative thinking and actively contribute to creative problem-solving initiatives.



Requirements

Bachelors' degree in Computer Science from reputable universities with minimum GPA of 3.5/4.0.
Seeking candidates with a minimum of three years of experience in software engineering, application development, or system development.
Demonstrated experience managing medium-to-high sized projects and/or leading small team.
Demonstrated passion for software engineering, application development, or systems development.
Exceptional understanding of software engineering concepts, design patterns, and algorithms.
Adept at working across the technology stack with ease.
Inquisitive mindset, driven to explore creative solutions and embrace innovation.
Willingness to continuously learn new things in assigned team: technology-related, product-related, or others
Fluency with English, both oral and written



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Application Development, Back-End Web Development, Code Review, Computer Science, Creative Problem Solving, Functionality, Integration Testing, Reliability, Software Development, and System Development"
Traveloka,Software Engineer - Back End,Reposted 1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

As a Backend Software Engineer within the Travel Activities team, you'll have the opportunity to contribute to the design, development, and maintenance of robust and scalable systems that cater to millions of Traveloka users.

Beyond collaborating with fellow engineers, your role will involve working alongside Product Managers, Data specialists, Quality Assurance professionals, Operations teams, and various stakeholders to craft and deliver top-notch products and features, enhancing the convenience of air travel for our customers. Your involvement in application development goes beyond coding; you'll participate in the entire product development lifecycle, from ideation and design to implementation and ongoing support.

In the realm of building Traveloka's products and systems, software engineering plays a central and pivotal role, and you will:

Take on the responsibility of designing, enhancing, and maintaining our backend applications, third-party data integration, data APIs, backend systems, and engagement with monitoring tools and infrastructure. 
Collaborate within cross-functional teams, regularly interfacing with talented individuals hailing from esteemed backgrounds in technology, consulting, and product development. 
Embrace an open work environment where hierarchical barriers are nonexistent, fostering a culture where everyone is encouraged to voice their opinions, propose ideas, influence others, and continually advance their own professional growth. 
Engage actively in engineering practices such as code review, unit testing, and integration testing to uphold high standards of quality. 
Participate actively in solution and architectural design reviews, contributing valuable insights to the development process. 
Contribute to be on-call engineer, ensuring the reliability and functionality of our systems. 
Engage in innovative thinking and actively contribute to creative problem-solving initiatives.



Requirements

We are seeking candidates who possess:

Bachelors' degree in Computer Science from reputable universities with minimum GPA of 3.5/4.0. 
A minimum of four years of experience in software engineering, application development, or system development. 
Demonstrated experience managing medium-to-high sized projects and/or leading small team. 
Demonstrated passion for software engineering, application development, or systems development. 
Exceptional understanding of software engineering concepts, design patterns, and algorithms. 
Adept at working across the technology stack with ease. Inquisitive mindset, driven to explore creative solutions and embrace innovation. 
Willingness to continuously learn new things in assigned team: technology-related, product-related, or others 
Fluency with English, both oral and written



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Application Development, Back-End Web Development, Computer Science, Creative Problem Solving, Functionality, Integration Testing, Problem Solving, Reliability, Software Development, and System Development"
Traveloka,Backend Software Engineer (Accommodation),2 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Software engineering takes the central roles for building Traveloka products and systems. You will be responsible for designing, building, improving, or maintaining our backend applications, third-party data integration, data API, backend systems, or working with monitoring tools and infrastructure. You will be exposed to several advanced technologies such as search engine including scoring and relevance, reservation engine, automated pricing engine, business process engine, data applications, devops-related applications, and others.

You will work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background. We work in an open environment where there are no boundaries or power distance. Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves.



Requirements

Bachelor's degree in Computer Science or equivalent from a reputable university with good academic results is preferred.
Having minimum 3 years of experience in software engineering, application development or system development
Passion in software engineering, application development, or systems development
Excellent understanding of software engineering concepts, design patterns, and algorithms
Strong object-oriented analysis and design skills.
Good business acumen, excellent problem skills and broad understanding of software and system design.
Comfortable working up and down the technology stack.



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Application Development, Back-End Web Development, Computer Engineering, Computer Science, Design Patterns, Programming, Software Development, System Development, and Systems Design"
Traveloka,Backend Engineer - Accommodation,Reposted 1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Software engineering takes the central role in building Traveloka products and systems. You will be responsible for designing, building, improving, or maintaining our backend applications, third-party data integration, data API, backend systems, or working with monitoring tools and infrastructure. You will be exposed to several advanced technologies such as hotel and room data mapping, inventory aggregation from multiple sources, openAI-related applications, and others.

You will work in cross-functional teams and meet great people regularly from top-tier technology, consulting, product, or academic background. We work in an open environment where there are no boundaries or power distance. Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves.



Requirements

Bachelor's degree in Computer Science or equivalent from a reputable university with good academic results is preferred.
Having minimum 3 years of experience in software engineering, application development or system development
Passion in software engineering, application development, or systems development
Excellent understanding of software engineering concepts, design patterns, and algorithms
Strong object-oriented analysis and design skills.
Good business acumen, excellent problem skills and broad understanding of software and system design.
Comfortable working up and down the technology stack.



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Application Development, Back-End Web Development, Computer Science, Databases, Software Development, System Development, and Systems Design"
EventCHI,Backend Developer at EventCHI,3 weeks ago,"About EventCHI:

EventCHI, based in the Netherlands and operating worldwide, is at the forefront of technological innovation in the global event industry. We've developed a scalable microservice platform for payments, NFT ticketing and much more using an open-source stack (Hashicorp vault, K8s, Kafka, Reddis, MongoDB), integrated with blockchain and AI technology, which connects to multiple React applications (JS + Native).
We are now actively searching for the finest senior Backend developers with Blockchain experience in Bali to join our developer team. As we extend to Bali, we aim to assemble an all-star team . This role is vital for driving the development and scaling of our platform's backend capabilities.

What’s the Role?
As a Senior Backend Developer, your responsibilities will include:
Leading the design, development, and maintenance of robust microservices using NodeJS and other relevant backend technologies.
Spearheading collaborations with cross-functional teams to build scalable, fault-tolerant systems.
Ensuring top-tier platform quality, performance, and reliability.
Guiding code reviews, testing, and troubleshooting to uphold high standards.
Actively researching and integrating new technologies and tools to enhance the platform.

Why Join EventCHI?
 Pioneering Change: Be a part of the team that's reshaping the event industry.
Flexibility: You can work from our co-work space until we have our office and we are
flexible.
Growth: As a rapidly expanding company, there are numerous opportunities for personal
and professional growth.

What we Require?

Education & Experience:
Bachelor’s or Master’s degree in Computer Science or a related field.
Significant experience in NodeJS, JavaScript, MongoDB, Kafka, Reddis, Blockchain.
Expertise in event-driven microservices architecture and design patterns.
Proficiency in Docker, Kubernetes, and the deployment of microservices.

Technical Expertise:
Strong knowledge of blockchain technology.
Familiarity with CI/CD pipelines, testing frameworks, and automation tools.
Excellent skills in documentation and code quality maintenance.

Security:
Knowledge of secure coding practices and an understanding of potential front-end vulnerabilities.
Experience with tools and practices to ensure data protection and prevent cross-site scripting, cross-site request forgery, and other common web application threats.

Optimization & Performance:
Skills in optimizing applications for maximum speed and scalability.
Familiarity with performance tools and best practices.
Google cloud experience and optimizations of Kubernetes clusters.

Teamwork & Collaboration:
Excellent interpersonal skills and the ability to work collaboratively in a team environment.
Experience with agile methodologies and working in cross-functional teams.
Problem-Solving: Strong analytical and critical thinking skills, with the ability to
troubleshoot and solve problems efficiently.
Be flexible in case needed with your work schedule.

Continuous Learning:
Commitment to continuous professional development and staying updated with the latest industry trends and best practices.

Communication:
Fluent in English (both written and spoken).
Ability to articulate technical information to non-technical stakeholders.

Preferred (but not essential):
Previous experience in the event industry or similar sectors.
Exposure to open-source contributions or a portfolio of personal projects.
Developing off-grid applications

Ready to Take the Leap?
If you're passionate about making a lasting impact in the event industry, if you dream in microservices and scalable architectures, and if you believe that robust, high-performance backend systems are key to success, we want to hear from you.

This is a full-time position, and we offer competitive compensation. As a rapidly growing company, we are looking for a developer who is ready to support EventCHI and wants to grow with us.

Apply Now! Let's change the world of events, one line of code at a time.
Note: Starting as soon as possible. Only candidates with the right skillset and relevant experience will be considered.","Back-End Web Development, Code Review, Computer Science, Critical Thinking, Front-End Development, Kubernetes, Microservices, MongoDB, NoSQL, and Problem Solving"
VIDA Digital Identity,Senior Software Engineer - Backend (API),2 weeks ago,"Location: Jakarta

About Vida

What are we trying to solve?

We have 7.5 billion people on Earth, of which over 1 billion cannot securely prove their identity right now.

Every year, 140 million babies are born, of which 40 million go unregistered.

Simply put, these people are deprived of social benefits, such as education and health, their civil rights to vote and travel; and are excluded from the economy because they cannot sign up for bank accounts, loans, welfare programs etc. We believe this is unacceptable and needs to change.

At VIDA, We are creating a frictionless digital identity system. One that fulfills the needs and expectations of our times, and is available anywhere, for everyone.

Why are we solving this problem?

The United Nations (UN) and World Bank ID4D initiatives aim to provide everyone on the planet with a legal identity by 2030. This deadline is just 9 years away, we are expecting a digital identity to be a legal human right by then and we at VIDA want to be pioneers in leading this change.

Who are we?

We are a highly driven bunch of people to solve this problem for our own reasons. Whether it is to solve for misleading doctors, or because we didn’t get access to fair ration due to corruption - Our collective goal aligns.

Other things that we care about:

Our mission is to enable trust, so what we do is pretty serious stuff – we work hard and we have audacious goals. We balance it through humor and making sure we have fun at work. We take our work seriously, but we don’t take ourselves too seriously.
We are a startup so at times we will do things that are outside our scope. We do it to learn but we also do it because it takes a village.
We believe feedback is a gift and should be given freely, constructively, and in a respectful manner.
We are accountable to many stakeholders, but first and foremost, we are accountable to our mission and each other

Roles & Responsibilities

Design and develop VIDA Identify suite services.
Fully capable of owning and running entire subsystems of work.
Deep, substantial expertise in multiple programming environments.
Driving technology & best practices in Engineering.
Scaling, Performance, and ensuring High-Availability & Quality of the products;
Driving code reviews, design reviews, and architecture discussions
Experiment with new & relevant technologies and tools, and drive adoption.
Experience in developing distributed data processing, stream or batch, system.
Design and develop logical and physical data models to meet application requirements.
Coordinate with architects, development, DevOps, and product management.

Skills Required

Strong understanding of software design concepts, patterns, tools, and best practices.
Must have full PLC backend engineering experience using SpringBoot, Spring Security, relational databases, or NoSQL databases
5+ years of experience with Java
Experience with writing code in RxJava or Spring Reactive
Must have significant experience in working with identity verification services such as OCR, demographic APIs, Face Biometric APIs, etc.
Strong knowledge of REST and microservices architecture design.
Significant experience with solutioning on MongoDB and advanced knowledge of any SQL database.
Hands-on experience in federated identity protocols, JWT, JWS, JWE, PKI, and standard symmetric/asymmetric cryptography.
Experience with Serverless frameworks is a plus.
Experience with AWS infrastructure as a code using Terraform is a plus
Background in building containers using docker and deploying using Kubernetes is a plus

Qualifications

Bachelor's/Master’s degree in Computer Science, Computer Engineering, or equivalent technical degree.
Experience working within the Agile Scrum methodology
Knowledge of data structures, algorithms, and distributed systems.
Strong focus on clean code and robust design and test-driven development.
Ability to work well with people and be both highly motivated and motivating","API Development, Back-End Web Development, Databases, Federated Identity Management, JSON Web Token (JWT), NoSQL, PKI, Programmable Logic Controller (PLC), Spring Boot, and Spring Security"
Sea,Back End Engineer (Credit) - Sea Labs,Reposted 2 days ago,"Job Description:

Design and implement backend services with Golang and other programming languages
Writing high-quality, clean, and maintainable code using engineering best practices (unit testing, source control, continuous integration, automation, design patterns, etc.)
Analyze requirements, designing, and developing features
Understand and optimize our products, identifying and fixing problems, improving stability, and user experience
Design and implement distributed systems that are optimized for performance, scalability, and availability
Build reusable code and libraries
Collaborate with fellow developers, product managers, user experience designers, and operation engineers to build products with cutting-edge technologies


Requirements:

Bachelor's degree or above in Computer Science or related fields
Relevant experience in Web / Backend development
Proven experience as a Backend Developer with expertise in Golang.
Passionate about coding and programming, innovation, and solving challenging problems
Familiar with performance tuning, massive concurrency handling, and caching mechanisms
In-depth understanding of Data Structures, Database and other computer science fundamentals
Familiar with Linux development environments
Hands-on experiences and knowledge on relational databases such as MySQL will be an advantage
Experience with Docker and Kubernetes is a plus.","Back-End Web Development, Computer Science, Data Structures, Databases, Go (Programming Language), Linux Development, MySQL, Relational Databases, Requirements Analysis, and SQL"
Kredit Pintar,Backend Engineer,Reposted 21 hours ago,"Job Responsibilities

 Develop and maintain high-quality code, ensuring that the code is maintainable, scalable, and efficient. Participate in the development and implementation of best practices for coding, testing, and deployment.
 Collaborate with cross-functional teams, including product managers, frontend engineers, to design and develop efficient and scalable backend systems.
 Contribute to the development of technical documentation, including API documentation and system architecture diagrams.
 Participate in code reviews, providing feedback to the team to ensure that the code meets best practices for coding, testing, and deployment. Participate in the testing and deployment of the backend systems, ensuring that they meet the requirements and are scalable and efficient.
 Continuously learn and improve skills through self-study, attending conferences, and participating in training programs.

Job Requirements

Education Background :

Bachelor degree in Computer Science, Electrical Engineering, related technical field or equivalent practical experience.

Required Professional Skills

Proficiency in Server Side Java, Spring Boot, Hibernate, REST, Maven, Github and other open source Java Libraries.

Experience with SQL and NoSQL databases, caching technologies, and message brokers.

Experience with cloud-based infrastructure and services such as AWS, Azure, or Google Cloud Platform.

Strong understanding of software design patterns, data structures, algorithms, and distributed systems.

Experience with Docker/Kubernetes/Microservices or similar container and microservice technology.

Ability in managing multiple tasks and timeline in a fast-pace environment.

Strong problem-solving and analytical skills.

Strong written and verbal skills in English.

Relevant Working Experiences

Experience with payment/financial system is a plus. Good Learning attitude and capacity, willingness to share knowledge.

Competency Requirements

Functional Compentences :

Coding

Testing

Technical Planning

Behavior Competences

Competence

Learning

Communication

Critical Thinking","Back-End Web Development, Communication, Computer Science, Microservices, Problem Solving, Professional Skills, Server Side, and Software Development"
