Company Names,Job Titles,Posted On,Job Details,Skill
Repsol,Sr. Interface Engineer (TPC Position),2 weeks ago,"Job Title: Sr. Interface Engineer (TPC Position)
Job type: Fixed Term Contract
Job Description:
Supports the Interface Manager in managing the necessary interactions across multiple work streams for major EPCI construction projects providing relevant expertise within the project and, coordination across the various teams.
Ensure adequate control of all interfaces that exist for a given project’s (contract’s) scope of work. This also includes interface management between various subcontractors / suppliers / vendors and our internal units in the overall project development.
Immediately highlighted to Interface Manager or Project Manager any potential issues related to interfaces with a cost/schedule impact.
Produce and distribute periodically reports and will facilitate Interface Meetings on a regular basis.
Familiarize with the contract, our contractual obligations and company specific requirements and SoW.
Adopt standard safe work practices and procedures in accordance with the Safety.
Other tasks as assigned.
Requirements: 
Bachelor’s in engineering degrees.
12+ years of experience in Engineering roles with at least 5 years of experience as Interface Engineer in a PSC Company.
Solid experience in dealing with engineering and construction contractors.
Overall understanding of entire value chain including projects, subsurface, HSE, logistics, procurement, design/construction, operation, maintenance/inspection, and integration.","Engineering, Engineering, Procurement, and Construction (EPC), Interfaces, and Project Management"
Ultra Voucher,Backend Engineer,2 weeks ago,"Requirements:
Strong Typescript proficiency
Knowledge of Node.JS and PHP and frameworks on the Node.JS ecosystem
Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
min 1 years of experience as a back-end engineer
Knowledge of front-end technologies like Typescript
Experience with DevOps, Docker and Kubernetes would be a plus
Experience with Nginx web server and Linux environment is nice to have

Job Responsibilities:

Build and maintain functional web applications
Troubleshoot and debug issues
Collaborate with front-end developers to integrate front-end elements with server-side logic and functionalities
Building reusable and clean code for future use
Hande SQL database using postgres & mysql and no SQL using mongo db
Handle integration microservice using message queue (Kafka & Rabbit MQ)
Handle cache using redis
Analyze business needs and be able to provide good solution skills to these problems","Back-End Web Development, Docker Products, JavaScript, Kubernetes, Linux, Nginx, Node.js, PostgreSQL, SQL, and TypeScript"
EventCHI,Front-end (React) Developer at EventCHI,3 weeks ago,"About EventCHI

EventCHI, based in the Netherlands and operating worldwide, is at the forefront of technological innovation in the global event industry. We've developed a scalable microservice platform for payments, NFT ticketing and much more using an open-source stack (Hashicorp vault, K8s, Kafka, Reddis, MongoDB), integrated with blockchain and AI technology, which connects to three React applications (JS + Native). 

We are now actively searching for the finest Front-End developers in Bali to join our developer team. As we extend to Bali, we aim to assemble an all-star team dedicated to crafting the industry's best user interfaces. 

What’s the Role? 

As a Front-end Developer specializing in React, you'll play a critical role in shaping the visual and interactive aspects of our product. You will be responsible for: 

Building responsive, performant, and user-friendly interfaces using React. 
Collaborating with our UX/UI design teams to transform designs and animations into 
pixel-perfect apps. 
Optimizing applications for speed, size, scalability, and usability. 
Ensuring the technical feasibility of UI/UX designs and the backend API’s. 
Ability to implement secure coding practices, recognize potential threats in code or 
architecture, and ensure that user data and business information remain uncompromised. 
Write and maintain the codebase including documentation carefully. 
Cooperate with the current development team and the project manager. 
Staying updated with emerging front-end technologies and best practices to incorporate into our Github workflow. 

Why Join EventCHI? 

Pioneering Change: Be a part of the team that's reshaping the event industry. 
Flexibility: You can work from our co-work space until we have our office and we are 
flexible. 
Growth: As a rapidly expanding company, there are numerous opportunities for personal 
and professional growth. 

What we Require? 

Education & Experience: 
Bachelor’s degree in Computer Science, Software Engineering, or a related field. 
Minimum of 3 years of professional experience with React and front-end development. 
Proven track record of developing and deploying scalable, native and responsive web 
applications. 

Technical Expertise: 
Mastery of React (JS + Native) and a strong understanding of the React lifecycle. 
Proficiency in using state management libraries such as Redux or Context API. 
Experience integrating with APIs and understanding of microservice architectures. 
MongoDB experience. 
Familiarity with blockchain technology and its integration in front-end applications. 
Strong foundation in HTML5, CSS3, and modern JavaScript (ES6+). 
Experience with version control tools like Git. 

Security: 
Knowledge of secure coding practices and an understanding of potential front-end vulnerabilities. 
Experience with tools and practices to ensure data protection and prevent cross-site scripting, cross-site request forgery, and other common web application threats. 
Optimization & Performance: 
Skills in optimizing applications for maximum speed and scalability. 
Familiarity with front-end performance tools and best practices. 

Teamwork & Collaboration: 

Excellent interpersonal skills and the ability to work collaboratively in a team environment. 
Experience with agile methodologies and working in cross-functional teams. 
Problem-Solving: Strong analytical and critical thinking skills, with the ability to 
troubleshoot and solve problems efficiently. 
Be flexible in case needed with your work schedule. 

Continuous Learning: 
Commitment to continuous professional development and staying updated with the latest industry trends and best practices. 

Communication: 

Fluent in English (both written and spoken). 
Ability to articulate technical information to non-technical stakeholders. 

Preferred (but not essential): 

Previous experience in the event industry or similar sectors. 
Exposure to open-source contributions or a portfolio of personal projects. 
Familiarity with other front-end frameworks or libraries. 

Ready to Take the Leap? 

If you're passionate about creating a lasting impact in the event industry, if you dream in components and hooks, and if you believe that the best interface is a user-centric one, we want to hear from you. 
This is a full-time position, and we offer competitive compensation. As a rapidly growing company, we are looking for a developer who is ready to support EventCHI and wants to grow with us. 

Apply Now! Let's change the world of events, one line of code at a time. 
Note: Starting as soon as possible. Only candidates with the right skillset and relevant experience in React will be considered.","Application Programming Interfaces (API), Front-End Development, Git, JavaScript, React Native, React.js, Redux.js, and Storybooks"
Grab,"Senior Software Engineer, Fullstack",Reposted 2 weeks ago,"Company Description

About Grab and our workplace

Grab is Southeast Asia’s leading superapp. We are dedicated to improving the lives of millions of users across the region by providing them everyday services such as deliveries, mobility, financial services, enterprise services and others. More than that, we provide the opportunity for them to have a better life. And that aspiration starts inside Grab because we believe in a seamless blend of work and home life, making every aspect of life better for all.

Guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles—the 4Hs: Heart, Hunger, Honour and Humility—we work to create economic empowerment for the people of Southeast Asia. With our unwavering commitment to our values, we believe that we're more than a service provider; we're agents of positive change.

Job Description

Get to know the Team:

The Fulfillment tech family is one of the pillars enabling Grab to out-serve our customers and partners in different businesses and marketplaces across Southeast Asia. We are working on high throughput, real-time distributed systems that use sophisticated machine learning techniques to solve hundreds of millions of requests per day.

Our mission is to offer the best-in-class products and experiences to our driver partners as to increase adoption and engagement of our services. Improve driver partner opportunities and efficiency in order to fulfill customer orders without fail, rain or shine. And to create efficient marketplaces by determining an optimal price that is both sustainable and loved by our partners and customers.

We are a distributed team in 3 different locations: Indonesia, Beijing, and Singapore. Our communication is in English, both in spoken and written form. Our team has direct end-user contact, and impact on the bottom line for merchants and thus, Grab.

Get to know the role

Responsibilities

As a member of the Fleets engineering team, you will be responsible for building and maintaining systems that powers our vehicle rental and maintenance systems. You will be:

Partnering with Product Managers, Designers, and different country business teams to design, and build features that will be used by our Driver or Fleet Partners. 
Leading the end-to-end design and delivery of features in collaboration with other cross-functional engineers in your team 
Finding opportunities to improve existing product features in terms of technical design and scalability 
Driving continuous integration and delivery(CI/CD) efforts to improve the development productivity and quality of our web applications. 

Qualifications

5+ years of professional software development experience.
Strong Computer Science fundamentals in algorithms and data structures. Understands data structures and algorithms, and recognizes when to use them.
Deep understanding of the JavaScript programming language, familiar with various UI components and UI development, and have deep understanding of the Javascript language. 
Writes extensible code and picks the right abstractions that adhere to SOLID principles.
You can work on both web frontend as well as backend development. 
Preferred: Experience working with React and Golang. 

Additional Information

Benefits at Grab: 

Benefits

We care deeply about your well-being and are committed to supporting you every step of the way. Here are some of the global benefits we offer:

Protect and provide for your loved ones with peace of mind, knowing we have your back with Term Life Insurance and comprehensive Medical Insurance.
Craft a benefits package that suits your unique needs and aspirations with GrabFlex, because we believe in empowering you to thrive.
Embrace the magic of new life and create lasting memories with your family through Maternity and Paternity Leave.
Life can be overwhelming, but you're never alone. Our confidential Grabber Assistance Programme is here to guide and uplift you and your loved ones through life's challenges.
Your well-being is our priority. Benefit from our holistic well-being initiatives through Wellbeing@Grab, including health programmes, informative webinars, and vibrant carnivals.
Achieve a harmonious work-life balance with our FlexWork arrangements, allowing you to adapt and thrive in your personal and professional life.

We’ve got many different benefits hyper localised in each country. Speak to your recruiter during your interview to find out more.

What We Stand For At Grab

We are committed to building an inclusive and equitable workplace that enables diverse Grabbers to grow and perform at their best. As an equal opportunity employer, we consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique. If you require accommodations to fully participate in the recruitment process, you are encouraged to include your request(s) when applying.

We deliver the greatest impact and ideas when we bring together diverse perspectives. It is what enables us to spread opportunities to Grabbers and our partners. It’s not a box-ticking exercise; it’s who we are.","Back-End Web Development, Communication, Computer Science, JavaScript, Programming, Programming Languages, Software Development, System Performance, Technical Design, and User Interface Design"
Traveloka,Software Engineer - Web (Corporate Travel),Reposted 5 days ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Corporate Travel is one of the strategic products of Traveloka that provides the best-in-class experience for our business/corporate customers to fulfill their business travel needs.

As a Software Engineer on our Web Engineering team, you will play a pivotal role in shaping the future of Corporate Travel Product and Technology. You will work with a dynamic team of engineers, product managers, designers, data analysts, and QA engineers to deliver exceptional web experiences and automation solutions.

Some responsibilities:

Delivering high-performance and scalable user interfaces using the latest standards and frameworks
Following strictly to the design principles and adhering to guidelines
Should understand the product requirements and be able to deliver on time
Writing e2e and unit testing for the components with good code coverage
Should be able to write code with high quality & proper documentation
Able to deliver project/feature on own, work closely with different stakeholders, and communicate efficiently

In Traveloka, we believe technology is there to solve business problems. If you are a motivated and strategic professional with a passion for driving engineering excellence, we invite you to join our team and contribute to our continued success.



Requirements

Bachelors' degree in Computer Science or equivalent from a reputable university
1+ years of professional web development experience.
Proficiency in HTML, CSS, JavaScript, TypeScript, React, and Next.js.
Strong comprehension in JavaScript promises and asynchronous programming.
Experience with Node.js and building automation solutions is a plus.
Excellent problem-solving skills and a proactive attitude.
Ability to collaborate effectively with cross-functional teams.
Strong communication skills and the ability to explain technical concepts to non-technical stakeholders.
A passion for keeping up-to-date with the latest industry trends and technologies.



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Cascading Style Sheets (CSS), Computer Science, HTML, High Performance Computing (HPC), JavaScript, Next.js, Parallel Computing, Product Requirements, React.js, and TypeScript"
Traveloka,Software Engineer,1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Our team is seeking an passionate Backend Software Engineer to join us as we create and deliver mission critical services and processes to enable Traveloka Transport.

As a Backend Software Engineer, you will have the opportunity to design and develop creative, compelling, and maintain highly available systems that serve millions of Traveloka users every day. You will develop software and services at scale, innovating on the latest technologies as the earliest adopters while employing your knowledge in algorithms, design patterns, and data structures to solve our customers' needs.

In addition to collaborating with fellow engineers, Product Managers, Operations, and Designers, you will be working in an open environment where there are no boundaries or power distances, and are expected to ask questions, speak your mind, and continuously learn and grow.

As a Backend Software Engineer, you are expected to:

Be responsible for designing, building, improving, or maintaining our backend applications, third-party data integration, data API, backend systems, or working with monitoring tools and infrastructure 
Contribute code to projects that require backend work 
Improve existing code bases to be more scalable and reliable 
Monitor and react on alerts to resolve issues 
Consider testability, portability/monitoring, reliability, and maintainability, and understand when code is ready to be shared and delivered 
Propose solutions to code or problems in a high-traffic environment 
Perform analysis exercises and contribute to postmortems for incidents 
Work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background 
Participate and contribute to engineering hygiene such as code review, unit testing, integration testing, and architectural design review 
Write clean and efficient code, adhering to best practices, and ensuring that your solutions are reusable and maintainable 
Be encouraged to speak your mind, propose ideas, influence others, and continuously grow yourself 



Requirements

Bachelors' degree in Computer Science from reputable universities with minimum GPA of 3.5/4.0.
Excellent problem solving by employing algorithms, data structures, and design patterns
Willingness to continuously learn new things in assigned team: technology-related, product-related, or others
Strong sense of ownership and belonging to the product(s) owned by the team, and to the tasks at hand
Fluency with English, both oral and written
Prior technical engineering or working experience is a plus



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Back-End Web Development, Computer Science, Portability, Problem Solving, and Programming"
Traveloka,Associate Senior UI Developer,Reposted 2 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Determine design solution requirements

Clarify the assigned design project scope, including its goals, requirements, and expectations.
Develop, communicate, and recommend requirement-specific solutions to stakeholders according to the Design System or common design patterns.
Compartmentalize designs into functionally effective components.
Conduct design deliverables technical feasibility analysis on relevant medium/technology that fits with design intent and specification, user needs, and business goals.
Recognize as many constraints as possible – including potential threats, unintended risks, and problems before it arises – as anticipation to inform the continuous development and iteration of the products and their features to work within the constraints.

Implement design of products and services on prototypes and production level

Oversee design adjustments made on the design implementation.
Author and manage reusable UI components and implement design in adherence to applicable industry and business standards.
Recommend potential solutions to circumvent future design issues throughout the prototyping process.
Lead the design and demonstration of design implementation on production level.
Lead the design implementation for prototyping, from lower fidelity to higher fidelity (with closeness to real product) and production level.
Communicate technical feasibility analysis on design implementation.

Evaluate product and service performance and maintain a high standard of design quality

Proactively provide explanations regarding the limits of technical solutions and propose alternative / potential solutions to overcome the design intent barriers.
Implement changes and fix errors across the lifecycle of products or services.
Identify outdated products or services and revitalize with design solutions in partnership with stakeholders.
Evaluate product concepts or technical solutions to identify the most viable products or services for implementation.
Test design solutions with validation activity that meets design intent and specifications and get them ready to be implemented in the intended platform.
Proactively suggest methods for a testing mechanism to ensure smooth research and design process implementation.
Collaborate with designers and stakeholders in producing designs and test specifications for new visual or product and feature ideas, including participation in design research.
Engage relevant stakeholders to study the technical feasibility of products or services before going into the development phase.
Preside over a decision to provide an alternative solution, approach, and perspective outside of standard practices that enhance the team problem solving and validation to ensure the highest design quality output possible.
Monitor design project execution to ensure timely completion and raise concern early to anticipate delay when required.
Communicate the rationale behind the design decision according to the Design System and apply the solution based on agreed direction.
Updating style guide documentation to keep the Design System relevant and ensuring the standards are maintained.
Work to improve collaboration and communication between the design team and the engineering teams.

Construct, conduct, or support design research studies

Ascertain research objectives are relevant to the project's goals and design scope, including formulating the research questions.
Identify the methodology and methods, create research tools, and define sampling strategy and research participants based on the research objective framing and research question.
Understand the research context based on stakeholders' goals, requirements, and expectations, and clarify when required.
Determine logistics for and scheduling needs of design research studies.
Draft essential documents that will protect the mutual interests of research participants and the company.
Collect data on consumers, competitors, and market conditions using the most appropriate quantitative or qualitative research methods and tools.
Conduct secondary research using appropriate methods and tools if required.
Complete the research process and monitor its relevancy and effectiveness with close cooperation with stakeholders.

Analysis and abductive data synthesis towards dissemination

Draw conclusions from design research findings, craft actionable insights, and identify design opportunity areas.
Uncover trends and patterns based on analysis gathered to enrich insights and inspire opportunity areas.
Liaise with relevant stakeholders to disseminate design research insights.
Facilitate and gain mutual action items to apply the research insights and opportunity areas into actionable design ideas.

Facilitate and drive user-centricity application during product innovation cycle with stakeholders

Initiate, organize, and execute multidisciplinary and cross-functional workshops, sprints, or meetings that consider the holistic aspects of user desirability, business viability, and technological feasibility for products and features across the business domains.
Assist product teams in framing business problems using a design perspective in considering users' latent needs.
Provide technical guidance to various stakeholders for the implementation of human-centric design solutions if required.



Requirements

Minimum qualifications

Between 5–7 years overall work experience as a hands-on UI Developer or Front End Engineer in the industry (education background could range from Computer Science or any other relevant Programming disciplines; or Human-Computer Interaction, Digital Design, or other related field, with equivalent practical design experience).
Portfolio that showcases UIDev craft (and its applications of technical methodology) with some level of understanding of the Human Centered Design methodology (along with its methods and tools), willingness to learn and iterate, and passionate about design and storytelling.
Experience working with web and/or mobile based technologies (e.g., HTML, CSS, JavaScript, Android Studio, XCode, React, React Native, etc.).
Experience working with web or mobile based technologies using design and prototyping tools (such as Figma, Adobe Creative Cloud, Balsamiq, Zeplin, ProtoPie, Miro, etc.)
Fluency in Indonesian and English communications (both verbal and written).
A deep sense of accountability, adaptability, and embracing ambiguity working collaboratively in a fast-paced environment.

Preferred Qualifications

Experience working with Design System. With understanding about accessibility and design patterns.
An evidence of performing in a multidisciplinary design, business, and tech team is a plus.
Some understanding of the eCommerce and/or digital travel and lifestyle industries, extra points for having successfully deliver products in/for the SE Asia and/or regional markets.
The ability to form consensus across a broad, fast-moving organization through excellent communication and interpersonal skills (including: negotiation, constructive feedback, presentation, managing expectations, resolve conflicts).
Effective design sensibilities as they relate to applying a brand to digital experiences.



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Amdocs CRM, Design Patterns, IT Accessibility, Prototyping, Responsive Web Design, Secondary Research, Solution Architecture, Team Problem Solving, User Experience (UX), and User Interface Design"
Traveloka,Software Engineer - Platform Content Marketing,Reposted 5 days ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Software engineering takes the central roles for building Traveloka products and systems. You will be responsible for designing, building, improving, or maintaining our web applications, third-party data integration, data API, backend systems, or working with monitoring tools and infrastructure. You will experience how to design, build, and maintain highly-available and highly-scalable critical systems that serve millions of Traveloka users.

As a Backend Software Engineer in the Platform Team, you will work with back end technologies and in a cross-functional project team to ensure a multitude of systems across products, business, and operations integrate efficiently. You’ll design and implement projects related to new products/features, business models, business growth, market expansion and process optimization. In addition, you will be working with product managers, designers, and other missions to identify pain points in business processes and developing effective, reliable and scalable solutions to work within the expected complexity of the processes. You’ll be expected to deliver the best in class architecture, solution and code.



Requirements

Bachelors' degree in Computer Science or equivalent from a reputable university.
Passion in software engineering, application development, or system development.
Work with and in cross-functional teams across different missions for diverse objectives.
Knowledge and experience in building and maintaining systems in Java, Spring Boot, or any JVM-centric stacks is a plus.
Knowledge and experience in RDBMS like PostgreSQL/MySQL and NoSQL databases like MongoDB is a plus.
Knowledge and experience in infrastructure management, containerization, infra-as-a-code, and AWS is a plus.
Knowledge and experience serving engineering and products of other teams and governing them in a sustainable manner is a plus.



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Back-End Web Development, Computer Science, Databases, Optimization, Programming, and Software Development"
RushOwl,Senior Frontend Engineer,2 months ago,"About the Company 
RushOwl develops an AI-driven Mobility-as-a-Service(MaaS) platform for public transportation and logistics players, but we are looking to create our own digitized transportation network as well!
We are on a mission to create a digitized transportation ecosystem where personalized transportation can be unlocked for the people, by the people within our RushOwl suite of products, ranging from direct B2C ride-sharing services to B2B Corporate Mobility Schemes. Our team spanning 3 countries (Singapore, Indonesia, and India) operates in an open, fast-paced environment where every team member is recognized for their skills and accomplishments, rather than their designations. 

About the Role
Our Technology Team is responsible for building up and optimizing the platform for pooling the public commuters together, and providing the best routes to head to destination. We are looking for a skilled and experienced Frontend Engineer to join our talented team. As a Frontend Engineer, you will be responsible for designing, implementing, and maintaining user interfaces for our web applications. You will collaborate with cross-functional teams, including product managers, designers, and backend developers, to deliver high-quality and user-friendly software.

Responsibilities
Design and develop architecture to support business needs;
Build and maintain bus pooling platform and logistics platform;
Build efficient and reliable pipeline to support the platforms;
Design and develop highly scalable microservice architecture.

Requirements 
Bachelor's degree or above, majoring in Computer Science, or related fields;
Minimum 3+ years of experience;
Experience with modern frontend frameworks such as React and React Native;
Effective communication skills and a sense of ownership and drive;
Experience in cross-platform IOS and Android app development.

Other Important Information
This is a Full-Time Remote Role, applicable to those in Indonesia; 
You will be working remotely from Indonesia;
You will report directly to the technology lead of the assigned team;
Working Schedule: Weekdays 10am to 6pm SGT.","Bootstrap (Framework), Cascading Style Sheets (CSS), Front-End Development, React Native, React.js, Responsive Web Design, Software Development, User Experience (UX), Web Development, and XHTML"
Agate,Game Designer Gamification,2 weeks ago,"Responsibilities
Planning, thinking, and designing game systems/controls/interfaces/narrative/level/mechanics that align with design pillars to delight the users.
Working collaboratively with fellow designers and development team members to concept and deliver the intended experience.
Communicating design decisions to relevant stakeholders.

Requirements
First and foremost, you are a designer. You must understand the end-users and business context to develop suitable solutions. You know when to make a quick and dirty prototype and when to make a polished one. You also have to gather users’ feedback and know how to use it to improve your design.
At least three years of working experience as a game designer.
Your portfolio should include at least 2-3 games. Experience developing casual games will be preferred.
Relevant portfolio. Applicants without a portfolio will not be considered.
Have a good understanding and can devise plans for a game’s monetization and in-game economy. Please show this in your portfolio.
Possess excellent critical and design thinking.
Possess excellent communication skills, both oral and written.
Able to lead fellow designers and/or the team to realize the vision of the design.
The ability to use relevant game engines and tools to prototype will be preferred.

Pluses
Possess design leadership experience
Able to communicate fluently in English, both oral and written","Communication, Design Thinking, Game Design, Level Design, Monetization, and Narrative"
