Company Names,Job Titles,Posted On,Job Details,Skill
PT Ultra Sakti,International Business Specialist,3 weeks ago,"Identify potential export market and develop strategies for International Market expansion
Ensure the availability of permits, distributors, and legal matters in the target country.
Researching market & regulation, manage legal registration and monitor shipping progress
Provide regular report and analysis of International Business activities of International partners and potential country
Placement of this position is Kelapa Gading","Analytical Skills, Business, Export Operations, International Business, Legal Matters, New Market Expansion, Regulations, Reporting, Research Skills, and Strategy"
Confidential,Regional Sales Project (East),3 weeks ago,"We are seeking a self-driven, ambitious leader for our Regional Sales Project Department.

Qualifications:
Experienced, with a demonstrated working history in the building material industry.
Strong networking skills, with deep relationships with Government project leaders and key National developers.
Skilled in negotiations, budgeting and sales process management.
Strong Leadership and team building skills.
Ability to work across the organization, bridging gaps between functions such as marketing, R&D, technical support and finance.
Experience with using, deploying and improving CRM systems.
Critical thinker, with analytic skills.
Bilingual (English) preferred.","Analytical Skills, Customer Relationship Management (CRM), English, Leadership, Marketing, Negotiation, Sales, Sales Management, Sales Processes, and Team Building"
Sysmex Indonesia,Product Manager,2 weeks ago,"Responsibility:
Design the marketing strategy for the products which on his responsibility, including the marketing plan and expenses plan.
Coordinate and monitoring the marketing program to ensure the meet the target market then sales activity will be run effectively and efficient.
Prepare and ensure all the requirements for the product registration approval and new product launch run smoothly.
Analyze and evaluate the market research, market trends and competitor activity as the identification for market needs and further marketing strategy in achieving the target.
Maintain and build the relationship with the External and Internal Customer.

Requirements:
Minimum Bachelor degree from Chemistry/Pharmacy/Biochemistry/Biotechnology or other related (MBA preferred)
Proven ability and track record in developing the product and marketing strategies, especially in IVD or Diagnostics industry, for min. 5 years experienced
Solid technical background and could effectively communicate recommendations to management
Having knowledge and experience in Market analysis, developing Business Plan and Product Management
A type of mature and resourceful person
Strong problem solving and could work effectively with cross functional department
Excellent in written and verbal communication
Strong communication skills, interpersonal, influencing and presentation skills
Having SIM A license and willing to travel","Biochemistry, Communication, In Vitro Diagnostics (IVD), Market Analysis, Marketing, Marketing Strategy, Oral Communication, Presentation Skills, Problem Solving, Product Management, and Product Service"
ASUS,Account Manager West Java,3 weeks ago,"Ready for a career that's all about growth? We're looking for a Account Manager West Java to join our ASUS family and make an impact in the tech world.

Job Description:
Responsible to develop new partners and maintain key partners increase product sellout and strive to achieve target
Build high value relationship with partners by providing key value information, communicating partner's request and feedback, problem solving, and handling complaints
Analyze and increase our market share in assigned partners and territory
Execute channel promotion program to increase product's sell in and sell out to end users
Drive sell out in store aligned with company strategy and direction
Lead channel merchandiser team and dedicated sales front liners to achieve target
Conduct market research to gather information about market trends, competitor activity, product feedback, and dealer business condition
Analyze on action plan and result from execution of sales program, target achievement, and activity

Job Requirements:
Min. Education: Bachelor Degree
Min. Experience: 1 year in Channel or Account Management (preferably in IT)
Strong in Communication, Negotiation, and Presentation (Interpersonal Skill)
Strong in Microsoft Office (especially Excel and PowerPoint)
Strong in English (Verbal & Written)
Strong in Analytical and Execution
Strong in Goal and Time Management
Team Player","Account Management, Analytical Skills, Channel Account Management, Complaint Management, English, Market Analysis, Market Research, Merchandising, Microsoft Office, Multi-Channel Marketing, Sales Management, and Sales Operations"
dhost,"Engineer, Digital Mapping",2 weeks ago,"dhost is a Neutral Hosting Service Provider offering telecoms infrastructure and value-added technology solutions; providing connectivity infrastructure for large footprints of venues, driving innovative technology implementation for various vertical markets and industry throughout the Asia Pacific region.

As a trusted partner to businesses, we help assess the infrastructure and technology needs of our clients, using our expertise and knowledge to propose solutions that meet their needs. As technology evolves at a rapid pace, we help our clients take on technology risk and upfront investment costs, choosing to offer V2NH-as-a-service to optimize high CAPEX into viable OPEX cost model to our clients and serve them with dependable, high-availability infrastructure and networks.

Our valued clients are mobile network operators, property developers, building & venue owners and vertical industries who are looking for innovative infrastructure / technology solutions and business models to solve their business problems.
dhost is currently headquartered in Singapore with a holding company soon in Japan, and it has a strong presence in Indonesia and an expanding reach in Philippines and Taiwan. The company was established in 2017 and is helmed by experienced team members with an average of more than 20 years of experience in the telecommunications industry.

Responsibilities:

Work with the Project Management team and Digital Mapping technology partner to coordinate the digitalisation of buildings.
Conducted site validation, walk test, and location positioning testing within the building.
Support the business development team in presentation, demonstration, and POC.
Coordinate with building management for building access and permission
Ensure timely and successful implementation and adoption of the digital mapping solution
Coordination with digital mapping partner
Provide feedback on users’ feature requests, analyse and assess request viability and generate feature requests to digital mapping partner
Customer management and logistical coordination for each opportunity
Work closely with partner product and development teams to identify feature sets and manage product roadmaps

Requirements:


Degree holder in Business Administration or Information Technology
At least 5 years of working experience in Business Development/Customer Success/Customer Relationship/Operations (technical solutions experience is preferred)
Experience in building GIS system or location-based applications is a plus.
Experience in solution sales and understanding of the software development process is a plus.
Both individual contributor and team-player
Excellent problem-solving, time management and communication skills
Proficient in English and Bahasa
Good communication and interpersonal skills
Self-starter, driven and results-oriented. Fast learner and passionate about learning new things. Enjoy working in a fast-paced start-up environment
Immediate availability is preferred",Geographic Information Systems (GIS)
Microsoft,Digital Native Solution Architect - Asia Growth Markets,Reposted 2 weeks ago,"Why Microsoft

The team at Microsoft Asia sees start-ups and cloud-born organisations as critical to our mission. These companies will help accelerate the priorities of our nations and change our world for the better as they aim to transform business process, finance, climate action, and more changing the way we live and work. Microsoft aspires to empower every cloud-born innovator to scale and grow with Microsoft technology and via Microsoft’s unique channel and customer ecosystem.

This team at Microsoft is at the leading edge of our business and one of the fastest growing and most exciting groups in the Company. We operate like a “start-up” within Microsoft and the team driving this initiative is incredibly entrepreneurial and high-performance. Senior leaders across Microsoft are making an incredible commitment to this initiative and we are rapidly scaling this program, looking for new talent to join our rapidly expanding team.

The purpose of the role

Are you a passionate technologist who wants to help Startups and Digital Natives grow their businesses? Microsoft is at the forefront of AI innovation; come and help organizations rethink aspects of their business in a way that sets them and their people up for success. As a Digital Native team, we enable customer success by deeply understanding their business, embedding technical sales people alongside our customers to help them build solutions leveraging the Azure, Data & AI Microsoft Clouds.

The main goal of Microsoft Solution Architect is to win the technical decision of customers to purchase and use Microsoft technology and cloud services. This role will work with strategic Digital Natives across Asia Growth Markets (Indonesia, Singapore, Malaysia, Philippines, Vietnam, Thailand, Australia, New Zealand, Japan & Korea) and with a focus on AI, Azure and Data. The SA is expected to help the customers’ technical evaluators and decision makers to take the best decisions, as well as find new opportunities through their contacts and engagements for the team to pursue.

As a SA, you work within a small team of technical, partner and sales resources to help educate your customers at a technical level, demonstrate, and prove our solutions, and win the technical decision. Being part of this team will allow you to maintain and develop your deep technical expertise across Microsoft and non-Microsoft cloud-based technologies.

Ideally you will come from a software engineering or similar technical background and have pre sales experience across Azure, Open Source and other cloud technologies. A good understanding of the Digital Native and AI landscape is critical to the success of this role.

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.

Responsibilities

The Digital Native business operates like a startup within an enterprise. The ideal candidate will thrive in an ambiguous environment, network to leverage the team around them and bring a get it done attitude for our customers.

Lead technical discussions with customers using consultative sales methodology, demos, and programs to understand needs and showcase Microsoft solutions.
Develop technical strategy by mapping customer vision, resolving concerns, and building a strong business case for investment.
Drive technical assessments to create migration plans aligned with customer goals.
Design solutions using technical knowledge and methodology, ensuring agreement from decision-makers.
Identify new opportunities to support customer objectives.
Act as a trusted advisor, offering solutions to technical leaders and sharing insights with Engineering.
Maintain expertise in Azure, Data Modernization, Analytics, and AI technologies.
Scale through partners, facilitating resources and processes.
Develop customer technical skilling plans collaboratively.

Qualifications

Required/Minimum Qualifications

8+ years technical pre-sales or technical consulting experience
OR Bachelor's Degree in Computer Science, Information Technology, or related field AND 5+ years technical pre-sales or technical consulting experience
OR Master's Degree in Computer Science, Information Technology, or related field AND 5+ years technical pre-sales or technical consulting experience
OR equivalent experience.
Excellent written and verbal communicator in English.

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.","Business Case Preparation, Communication, Computer Science, Consultative Selling, Customer Support, Demos, Information Technology, Microsoft Solutions, Presales, and Technical Discussions"
ViewSonic,Presales (Product Solution Manager),1 week ago,"SUMMARY
Presales Consultants work closely with sales, service, engineering, and technical support resources to ensure proposed deals include technical solutions that address customer needs.
Presales recommend product and solution requirements in competitive landscapes, do solution demonstration, identify new opportunities, follow up and monitor progress/result.

ESSENTIAL DUTIES
Developing solutions and organizing, planning, creating & delivering compelling proof of concept demonstrations
Ensuring solutions stated in the quotation or scope of work in line with client requirements
Support the sales bid process
Working closely with Sales to ensure successful closure of the sales process
Liaising with Product Managers to provide feedback from clients about product and solution requirements
Keeping update of market trends and product & competitor landscapes
Watch competitor and create value propositions to provide sales bargaining argument.
Relationship is matter. Building relationship with strategic partner or customer and able to communicate with executive management level.
Achieve is not enough, proactively suggest required changes/plans to exceed the respective target
Make report and analyze data in order to take remedial failure action
No excuse in any action result, optimize everything to the TOP.
Good attitude in Team work to gain respect each other to reach company goals.
Discipline and adjust to company culture being star employee.
Flexibility to the job, function and responsibility.

SKILLS REQUIRED
You possess a Degree in Computer Science, Engineering or a related field
At least 5 years IT or IT Solution experience in a Product / PreSales role with experience of dealing with corporate or institutional end users.
Computer or display market knowledge and experience is Important.
Having IT knowledge / Technique to support this job.
Aggressive, autonomous, assertive, customer driven and able to develop business plans.
Excellent Presentation and Communication skills
Good business sense and understanding of business processes.
Strong problem solving and prioritization skills","Business-to-Business (B2B), Communication, English, Objection Handling (Sales), Product Demonstration, Product Presentation, Sales, Sales Management, Sales Planning, and Solution Selling"
ByteDance,[ID] Innovation Tech Solution Sales - BytePlus,Reposted 1 week ago,"Responsibilities

ByteDance

Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, and Resso, as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content.

Why Join Us

At ByteDance, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for millions of users across all of our products. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at ByteDance.

Join the Innovative BytePlus Team

As part of BytePlus, you'll help enterprise customers build what's next for their business. Leveraging Bytedance's cutting-edge technologies, we are devoted to developing innovative products and solutions to shape the future. We help our clients to focus on what truly matters. Centering on innovation and excellence, we create gamechanging solutions that help businesses to unleash their potential. You can help us to achieve our mission.

Responsibilities

We are looking for Enterprise Sales professionals to join our team in tapping into potential client opportunities and growing new business. You will be responsible for leading sales initiatives for our cuttingedge innovation technology solutions in APAC, driving revenue, adoption and market penetration for targeted industry vertical from scratch.

 Establish a strong pipeline for ByteDance's innovation technology solution suite
 Execute Go to Market strategy and drive revenue growth through effective sales closure activities
 Build and manage a strong relationship with prospect clients
 Familiar with industry pain points and able to solution innovation technology use cases to maximize the client's ROI
 Partner closely with the marketing team to drive up market awareness of our innovative technology portfolio via public conferences, seminars and/or workshops
 Be proactive in problem-solving even if it's outside of your concerned area and ready to take on additional initiatives and responsibilities as they emerge.


Qualifications

 Bachelor's degree or equivalent practical experience.
 5+ years of relevant experience in a revenue closing role, with a background in B2B technology and/or SaaS with a strong track record of overachievement.
 Recommendation related working experience is a plus.
 Experience of selling recommendation product or streaming media solutions/video, infrastructure is a plus.
 Ability to communicate and influence on complex topics to an audience with various functional knowledge and levels.
 Strong client relationship management skills are preferred


ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.","Communication, Go-to-Market Strategy, Humility, Knowledge Acquisition, Problem Solving, Relationship Development, Software as a Service (SaaS), Strategic Thinking, Technical Support, and Use Cases"
Sangfor Technologies,Field Application Engineer(Sangfor Internship for Future Talents),1 week ago,"Requirements:
1.Fresh graduates/Final year students currently pursuing of Bachelor's degree in engineering, Cyber Security, Computer science, information system or related field (for field application engineer and presales engineer).
2.Positive and professional working attitude, ability to work under minimum supervision.Analytical and problem-solving abilities.
3.Communication skills in Bahasa and knowledge of English
4.Willingness to work from office based in Jakarta.

Responsibilities:
1. Onsite and remote technical support for customers to resolve issue in POC or after sales inquiries.
2. Track, mantain and resolve incident as well as provide the report to the customer
3. Perform device installation and integration into customer environment
4. Provide technical training for Partners and/or customers
5. Escalation to RND to resolve product issue
6. Create technical documentation for project and/or internal knowledge base","Application-Specific Integrated Circuits (ASIC), Engineering Documentation, English, IT Escalation, Problem Solving, and Technical Documentation"
BYD Indonesia,Charging Pile Operation Specialist,6 days ago,"Job summary
As a Charging Pile Operation Specialist at BYD Indonesia, you will be responsible for overseeing the operations and maintenance of electric vehicle (EV) charging infrastructure across Indonesia. Your role will involve ensuring the availability, reliability, and efficiency of charging stations, supporting the adoption of electric vehicles, and contributing to sustainable transportation initiatives in the region.

Key Responsibility 
1）Responsible for the resource development of charging pile business;
2) Charging pile business policy development and management assessment;
3）Technical support and audit of charging pile business.

Education/Experience 
1、Bachelor degree or above, English/Indonesian/fluent;
2, with home charging pile business management and development experience.

About the team:
The after-sales department of BYD Indonesia is mainly responsible for after-sales service planning and management, including customer service, spare parts, technology and others of after-sales business policy, technical support, business assessment and improvement, etc. The work of the after-sales department is aimed at improving customer satisfaction and loyalty, ensuring the quality and reliability of the products or services after sales, handling customer inquiries, complaints and claims, optimizing after-sales service processes, and improving operational efficiency.","Charging, English, Policy Development, and Resource Development"
