Company Names,Job Titles,Posted On,Job Details,Skill
EY,UI/UX Consultant,Reposted 2 weeks ago,"About EY:

EY, a global leader operating in more than 150 countries delivers unparalleled service in Consulting and assists clients to transform and upskill their capabilities.

We serve our clients to build a better working world, helping them to create long-term value for people and society and build trust in the capital markets. That starts with a culture that believes in giving you the training, opportunities, and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we work towards our ambition to be the best employer.

At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture, and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

The exceptional EY experience. It’s yours to build.

We look forward you to joining us in the Digital & Emerging Technologies Consultant team:

For UI/UX role, with details below-

Key responsibilities: 

Provide design guideline standard to ensure good UX is achieved across digital products
Provide guidance on the implementation of UX research methodologies, testing activities, and predict user behavior
Lead discussion with client to grab their design style preferences
Provide style standards on typography and graphic design based on agreement with client
Involve working and collaborating efficiently to develop and enhance design operations and processes
Ensure design governance and standards are enforced through a design system 
Develop lo-fi/hi-fi mockups and prototypes to effectively articulate interaction designs

Requirements: 

5 years of professional experience as design practitioner
Proven track record of shipping good design experience
Strong desire to change and challenge status quo, ask the right questions and make things happen
Excellent communication, presentation, and interpersonal skills
Business proficiency in English

Ideally, you must have a:

Bachelor’s Degree or above in Information Systems, Computer Science, Electronics and Communications, or related disciplines.
Minimum three (3) years of experience (for Senior level) and 5 to 7 years for Manager

The opportunity:

You will help our clients navigate the business and technology transformation vision. We’ll look to you to provide our clients with a unique business and technology perspective on how technology can transform and improve their entire organization – starting with key business issues they face. This is a high-growth, high-visibility area with plenty of opportunities to enhance your skill set and build your career. 

Your key responsibilities: 

You’ll spend most of your time working with a wide variety of clients and your colleagues to deliver the latest trends, practices, technologies, and architecture to design, build and maintain scalable and robust solutions that unify, enrich, collaborate and deliver value. 

Skills and attributes for success:

Outstanding team player
High level of motivation
Strong work ethic
Self-starting attitude
Independent and able to manage and prioritize workload
Ability to quickly and positively adapt to change
Excellent written and verbal communication, presentation, client service, and technical writing skills, coupled with excellent executive presence.
Significant experience in managing and delivering medium to large teams on complex programs and projects.
Assessing, designing, architecting, and developing solutions leveraging the latest technologies and trends to exceed the business requirements
Unifying, enriching, and delivering value to derive insights and opportunities
Leveraging in-house and partners - platforms and solutions as needed and recommending and building new platforms/solutions as required to exceed business requirements
Communicating findings, recommendations, and opportunities to improve platforms and solutions
Demonstrating a deep understanding of technology, concepts, tools, features, functions, and benefits of different approaches
Seeking out information to learn about emerging methodologies and technologies
Clarifying problems by driving to understand the true issue
Looking for opportunities for improving methods and outcomes
Collaborating, influencing, and building consensus through constructive relationships and effective listening
Solving problems by incorporating data into decision making 
Proven track record of sales and delivery in a consulting context with established client relationships and experience

Ideally, you must have a:

Bachelor’s Degree or above in Information Systems, Computer Science, Electronics and Communications, or related disciplines.
Minimum three (3) years of experience (for Senior level) and 5 to 7 years for Manager or Senior Manager level.

What We Look For 

We’re interested in passionate individuals with a strong vision and a desire to stay on top of trends. If you have a genuine passion for helping businesses achieve their full potential, then these role(s) are for you. 

What We Offer

Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next
Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, on your way
Transformative leadership: We’ll give you the insights, coaching, and confidence to be the leader the world needs
Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs

If you can demonstrate that you meet the criteria above, please contact us as soon as possible.

EY is an equal opportunity, affirmative action employer providing equal employment opportunities to applicants and employees without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, by applicable law.

EY is committed to providing reasonable accommodation to individuals with special needs. If you are a qualified individual with special needs and need assistance applying online or need to request an accommodation during the interview process, please speak to our HR executives, and we will be happy to help you.","Business Requirements, Communication, English, Graphic Design, Mockups, Presentations, SAP FI, Technical Architecture, UX Research, and Workload Prioritization"
Flex AI,Senior UX Researcher,1 month ago,"🌟🔍 Flex Fitness App opening 🌟🔍

Flex, an A.I. personal training app, is the fastest way to progress in the gym. We make fitness fun, free, and effective for everyone, everywhere. Since our launch just over 2 years ago, we've grown to nearly 1 million users on iOS and generating revenue. Now, we're looking for a Senior UX Researcher to help us take our user experience to the next level.

📱 App: https://apps.apple.com/app/id1446354547
🌐 Website: https://www.flexfitnessapp.com/
📜 A.I. Patent: https://patents.google.com/patent/WO2020252599A1/en

🎯 Your Mission:
Lead user research with a mix of interviews, surveys, usability tests, and ethnographic studies.
Uncover actionable insights by analyzing research findings.
Work hand-in-hand with product managers, designers, and developers to infuse user feedback into our product.
Craft user personas and journey maps to share insights and design ideas.
Stay on your toes with the latest UX research trends in the fitness tech world.
Be the voice of the user, ensuring our product is a joy to use.
Engage with our user community to build a product they'll love and keep coming back to.

🥇 Qualifications:
Bachelor's degree in Human-Computer Interaction, Psychology, Design, or a related field (or equivalent experience).
At least 5 years of experience in UX, with part or all of it focused on UX research, and a proven track record of impacting product design.
Expertise in both qualitative and quantitative research methods.
Strong analytical skills, with the ability to derive actionable insights from complex data.
Excellent communication and presentation skills to effectively share findings with cross-functional teams.

🎁 What We Offer:
Competitive Salary: We believe in rewarding our team members for their hard work and dedication.
Flexible Work Life Schedule: We trust you to get the job done, wherever and whenever you work best.
Super strong and friendly team

🚀 Ready to Flex Your UX Muscles?
If you're passionate about creating exceptional user experiences and want to be part of a dynamic team that's changing the fitness landscape, we'd love to hear from you!
#FlexFitness #UXResearcher #FitnessTech #Innovation #CareersInTech","Business Insights, Communication, Human Computer Interaction, Presentation Skills, Presentations, Product Design, Qualitative & Quantitative Research Methodologies, Quantitative Research, UX Research, and User Experience (UX)"
Traveloka,Senior Product Analyst - Platform,2 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Our Product team is at the forefront of shaping the user experience for our global online travel agency. We specialize in search optimization, display/merchandising, and personalized recommendations to help travelers find their perfect stay. Our innovative solutions leverage advanced data analytics and machine learning to deliver tailored suggestions, ensuring a seamless booking journey. Additionally, our team conducts thorough market and competitor analysis to stay ahead of industry trends and competitors, driving strategic insights for continuous improvement.

Define the product plan and goals to realize the team’s vision.
Define and analyze the success metrics of the product that inform product success.
Lead the ideation, research, design, development and launch of user-centric products in partnership with cross-functional stakeholders.
Understand the users needs, identify and define the product requirements by taking into consideration the business goals, development cost & technical debt that might incur.
Exercise good judgment to maintain high product quality.
Leveraging experiments, quantitative and qualitative user insights to make data-informed and data-driven decisions.
Build relationships with stakeholders across the organization to understand and prioritize needs across use cases and also short & long-term time horizons.
Plan and manage multiple projects based on the level of urgency and importance of the projects.
Communicate concisely and influence stakeholders to prioritize their works in the interest of shared benefits or agreed business needs.
Provide recommendations on business process improvement and operational guidelines.



Requirements

At least 2 years of experience at top-tier multinational tech or engineering firms, multinational banks, or a credible and strong track record in supporting building or growing a business.
At least a Bachelor's degree in Engineering, Computer Science, Finance, Design, or other fields from top local or overseas universities with strong academic results, MBA is a plus.
Solid technical background with understanding and/or hands-on experience in software development and web technologies; with an aptitude towards solving complex problems.
Excellent analytical and problem-solving skills and strong intuitions of user behaviors. Have a strong willingness to learn and adapt to change quickly.
Self-starter with a strong sense of curiosity, strong ownership, a bias for action, and a can-do attitude.
Experienced in breaking down needs into product requirements and communicating them to the respective functions like engineers, design, or data team.
Able to highly collaborate with cross-functional teams with proven abilities to navigate stakeholders to deliver outcomes.
Able to communicate in English and Indonesia, via a verbal and written medium.
Passion for making the world better through technology. Enjoy working in a technical and data-centric context.



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Business Insights, Business Process Improvement, Communication, Data Analytics, Marketing Analytics, Problem Solving, Product Analysis, Product Requirements, and Web Technologies"
Ultra Voucher,UI UX Designer,2 weeks ago,"Responsibilities:
1. Effectively prioritizing and executing tasks in a fast-paced environment;
2. Create full mockups of UX flows, components, and Freedom services;
3. Create intuitive interfaces and interaction layers using best practices, the latest web trends and all available tools to augment the user experience;
4. Developing and annotating user flows, journeys, and persona;
5. Illustrate design ideas with clear storyboards, process flows, sitemaps, and prototypes;
6. Conduct design brainstorms with product owners to understand the product details and user needs;
7. Drive digital design process – including websites, digital campaigns, and interactive experiences;
8. Create workflows, low-fi designs, high-quality designs, and other artifacts needed to collaborate and iterate from vision through execution;
9. Work with the Product Team including input sessions, UX reviews etc;
10. Creating original design, typography, iconography, and art for digital screens centered around modern & industry-trending designs;


Requirements:
1. Understanding of front-end development and database-driven functionality to foster a strong partnership with our developers;
2. Expertise with user research/usability testing;
3. Up-to-date knowledge of design software like Figma, Adobe Illustrator, Photoshop, and Maze;
4. Ability to work in a fast-paced, deadline driven environment;
5. Strong knowledge of the Adobe Creative Suite (Photoshop, Illustrator);
6. Knowledge of the agile software development mindset and tools, including Jira.
7. Team spirit; strong communication skills to collaborate with various stakeholders;
8. Min 1 years of experience with UI design;
9. Strong analytical ability with proven strength in suggesting creative solutions and innovative ideas;
10. Strong attention to detail and exceptional organization, logic and analytical skills;
11. Knowledge of user centered design methodologies and user experience best practices;
12. Good time management skills;","Adobe Creative Suite, Adobe Illustrator, Attention to Detail, Mockups, Site Maps, Storyboarding, User Experience (UX), User Flows, User Interface Design, and User-centered Design"
Catalyst,UX Writer,3 weeks ago,"At Catalyst, People are the heartbeat of our company. We believe that good quality people will have a positive impact on our business. We are looking for a UX Writer to join our growing team. If you are passionate about being part of the team, building some of the most critical products, and Working alongside teams in the industry across product, engineering, and design, Let’s join us!

Job Description :
Craft clear, concise, and engaging copy for all user interfaces, ensuring a seamless user experience across our e-commerce platform.
Collaborate with product designers, developers, and other stakeholders to create user-centered content that enhances the overall design and usability.
Conduct user research and testing to gather insights and iterate on content to meet user needs and business goals.
Develop and maintain a consistent tone of voice and style guide for all digital content, aligning with the brand’s identity and values.
Write and edit content for various touchpoints, including product descriptions, navigation, error messages, onboarding materials, and help documentation.
Stay informed about industry best practices and emerging trends in UX writing and content strategy.

Requirements :

Proven experience as a UX Writer, preferably in the e-commerce or digital product industry.
Strong portfolio showcasing your ability to write clear, user-focused copy for digital products.
Excellent writing, editing, and proofreading skills with a keen eye for detail.
Understanding of UX principles and user-centered design methodologies.
Ability to conduct user research and apply insights to improve content.
Proficiency with design tools like Figma.
Strong collaboration and communication skills, with the ability to work effectively in cross-functional teams.","Communication, Content Strategy, Editing, Emerging Trends, Figma (Software), Proofreading, Tone of Voice, User Experience (UX), User Experience Writing, and User-centered Design"
Esri Indonesia,UI/UX Designer,1 week ago,"About the job

Esri Indonesia is an important member of the world's largest group of ArcGIS specialists (outside the US) - the Boustead geospatial group.

Esri Indonesia is the nation's foremost authority on Geographic Information System (GIS) technology, and more specifically, Esri’s world-leading ArcGIS.

We show the highest level of integrity in all our dealings and enjoy the trust of the nation's leading government agencies and commercial enterprises. Armed with a quality product and a unique understanding of ArcGIS, we are committed to delivering commercially responsible solutions for a stronger Indonesia.

We are also continuously looking for new ways to work more efficiently and more effectively. That’s where you come in!



About the Role

This role will leverage expertise in providing support for sales and presales activities, and maintain updated technologies in ESRI products and associated IT technologies through user experience.

Your key responsibilities will include:

Developing and conceptualizing a comprehensive UI/UX design for Esri’s customers.
Communicate with clients to understand their business goals and objectives
Develop technical and business requirements and always strive to deliver intuitive and user-cantered solutions
Combine creativity with an awareness of the design elements
Producing high quality UX design solutions through wireframes, visual and graphic designs, flow diagrams, storyboards, site maps, and prototypes.
Designing UI elements and tools such as navigation menus, search boxes, tabs, and widgets for our digital assets.
Testing UI elements such as banners, page layouts, page designs, page flows, and target links for landing pages.
Collaborating with customers and internal team to ensure the creation and delivery of tailored experiences for the digital user.
Providing advice and guidance on the implementation of UX research methodologies and testing activities to analyze and predict user behavior.
Adhering to style standards on typography and graphic design.


About You

We are seeking a UI/UX Designer for creating intuitive and visually appealing user interfaces and experiences within Esri products.

The ideal candidate will have a proven experience in dealing with specific required sector in selling Software Solutions.


To be successful in this contract role, you will need:
A bachelor's degree and a minimum of 1 years’ UI/UX design experience.
Proven experience as a UI/UX Designer or similar role, with a strong portfolio showcasing design projects and processes.
Proficiency in design tools such as Adobe XD, Sketch, Figma, or similar.
Solid understanding of user-centered design principles, usability, and accessibility standards.
Experience with user research methods, including interviews, surveys, and usability testing.
Strong communication and collaboration skills, with the ability to effectively present and justify design decisions.
Ability to work independently and manage multiple projects in a fast-paced environment.
Knowledge of front-end development technologies (HTML, CSS, JavaScript) is a plus.
Experience designing for mobile platforms (iOS, Android) and responsive web design is preferred.
Familiar with project management tools (Azure Boards, Jira) can be a valuable.
Passion for creating exceptional user experiences and solving complex design challenges.
Excellent written and verbal communication skills in Bahasa and English.


Why Esri Indonesia

At Esri Indonesia, we foster an inclusive, people-centric environment that values both professional excellence and personal well-being. Joining us, you will be provided with:


Investment in your Growth: Access dedicated training and development programs, allowing you to continuously upskill and grow in your role.
Career Advancement: We promote internal mobility, and provide clear pathways for career progression, empowering you to navigate and elevate your professional journey.
Appreciation and Engagement: Enjoy a range of benefits, including Flexi Benefits, Mobile Phone Allowance, Medical & Insurance, Yearly Salary Increment, Referral Spotter Fees, Staff Awards, Engaging Events, and much more.","Adobe XD, Canva, Figma (Software), Front End Engineering Design (FEED), Front-End Development, Graphic Design, JavaScript, Slicing, Software as a Service (SaaS), User Experience (UX), and User Interface Design"
eJAmerica,User Experience Designer,3 weeks ago,"Job Description
Role Overview: We are looking for a talented UX/UI Designer to join our team. You will be responsible for designing user-centered solutions that align with our brand and enhance the overall user experience. This role requires a deep understanding of user needs, excellent design skills, and the ability to collaborate effectively with cross-functional teams.
Key Responsibilities:
Conduct user research to understand user needs, behaviors, and pain points.
Create user personas, user journey maps, and wireframes to communicate design concepts.
Design intuitive and visually appealing user interfaces for web and mobile applications.
Develop and maintain design systems and style guides.
Collaborate with product managers, developers, and other stakeholders to ensure design feasibility and consistency.
Test and iterate on designs based on user feedback and usability testing.
Stay up-to-date with the latest design trends, tools, and technologies.
Qualifications:
Bachelor’s degree in Design, Human-Computer Interaction, or a related field, or equivalent work experience.
Proven experience as a UX/UI Designer, with a strong portfolio showcasing your design process and problem-solving skills.
Proficiency in design tools such as Sketch, Adobe XD, Figma, or similar.
Experience with prototyping tools and methods.
Strong understanding of user-centered design principles and best practices.
Excellent communication skills and the ability to present and explain design decisions.
Ability to work collaboratively in a fast-paced environment.
Preferred Skills:
Knowledge of front-end development (HTML, CSS, JavaScript) is a plus.
Experience with accessibility standards and best practices.
Familiarity with Agile development methodologies.","Agile Development, Figma (Software), Human Computer Interaction, Methodology, Sketch App, Skill Development, User Experience (UX), User Interface Design, User Research, and User-centered Design"
Talent Insider,UI And UX Designer Intern,1 week ago,"About the Company:

Talent Insider is an upcoming HR Consultancy Service, founded in 2021. Our clients have been some of the leading brands in Indonesia, and this service continues to expand.

Registered in Singapore & Indonesia, we can assist with your growth plans and strategies, and continue to expand our regional presence with strong regional partners to assist our client in recruitment and branding strategy.

Job Description:

Collaborate With The Design Team To Understand Visual Design Concepts And Translate Them Into Functional, Responsive, And Visually Appealing User Interfaces.
Develop And Implement UI/UX Best Practices To Ensure A Seamless And Enjoyable User Experience Across Web And Mobile Applications.
Write Clean, Efficient, And Maintainable Code That Aligns With Design Specifications.
Work Closely With Cross-functional Teams, Including Front-end Developers And Product Managers, To Deliver High-quality User Interfaces.
Contribute To The Design And Development Of New Features And Improvements.
Stay Updated On Industry Trends And Emerging Technologies In UI/UX Design And Development. 


Job Requirements:

Bachelor's degree in Computer Science, Graphic Design, HCI, or a related field (or equivalent work experience).
Less than a year of professional experience in UI/UX development.
Proven ability to convert design concepts into code, with a strong portfolio showcasing previous work.
Strong understanding of front-end technologies, including HTML5, CSS3, and JavaScript.
Experience working with design tools such as Sketch, Figma, or Adobe XD.","Cascading Style Sheets (CSS), Concept Art, Design Specifications, Front-End Development, HTML5, JavaScript, User Experience (UX), User Experience Design (UED), User Interface Design, and Visual Design"
FUSE GROUP,UI UX Designer,2 months ago,"We are currently building the #1 Insurtech in Southeast Asia that helps people to reach insurance in the most efficient way. Therefore we need talent with great potential like you to join this growing organization, learning the right skills and also building great teams to reach our goals.

Responsibilities:

Develop and conceptualize user interface designs that create a seamless and enjoyable user experience.
Execute all visual design stages from concept to final hand-off to development.
Collaborate with product management and engineering to define and implement innovative solutions for the product direction, visuals, and user experience.
Create wireframes, storyboards, user flows, process flows, and site maps to effectively communicate interaction and design ideas.
Stay updated on industry trends and incorporate best practices into our design processes. 

Qualifications

Proven experience in UI/UX design.
Strong portfolio showcasing diverse design projects.
Proficient in design and prototyping tools Figma, Adobe Illustrator, etc.
Understanding of user-centered design principles.

About FUSE

Fuse is a breakthrough company in the insurance industry. We provide one app for various insurance product types from numerous well-known and trusted insurance companies. We have expanded our business not only in Indonesia but also China and Vietnam, and are planning on an even bigger expansion to grab markets from other Southeast Asia countries.

Our vision is to deploy the latest cutting-edge technology that enables everyone to buy, claim, or sell all kinds of insurances easily and instantly.

Our mission is to be an insurance technology/platform partner that allows all online/offline channel partners to sell multiple insurance products from multiple insurance companies online in real-time.

Fuse is committed not only to make insurance easily available for everyone but also to spread awareness about the importance of having financial plans and protection through insurance.

More About FUSE

FUSE Group LinkedIn

Instagram @lifeatfuse","Communication, Site Maps, Storyboarding, User Experience (UX), User Experience Design (UED), User Flows, User Interface Design, User-centered Design, Visual Design, and Wireframing"
Jack,Jr UI/UX Designer,3 weeks ago,"Responsibilities

Explore product ideas through design and animation before executing them.
Translate the product vision into features and user flows.
Unify our existing web and mobile platforms to create a central design theme, providing a seamless user experience.
Create wireframes, prototypes, and mockups to visualize design ideas and user interactions.
Plan and conduct usability testing and evaluate user feedback.
Establish, promote, and evolve our unique design style by infusing industry best practices and standards.
Constantly improve the UI/UX of the product.
Design mockups of new features and products for implementation.
Formulate good design ideas and propose solutions to increase product usefulness and usability.
Demonstrate prototypes/designs to users and stakeholders.
Proactively initiate communication with users and maintain ongoing engagement without the need for explicit encouragement.
Work closely with cross-functional teams, including product managers, developers, and marketers, to ensure design solutions meet project requirements and timelines.
Have good judgment to prioritize the most impactful ideas that will contribute to user satisfaction.
Pay attention to details and remain enthusiastic about continually improving your work.

Requirements

Minimum Bachelor's degree in any relevant field
Have 2+ years relevant design experience at a tech, product-driven company
Expert in either UI, UX or visual design but skilled in more disciplines across product design
Hands-on experience creating style guides, user journey maps, wireframes and hi-fi mock-ups, visual design, user interface patterns, layout best practices, etc.
Know how developer works (additional points)
Proficient in mastering UX tools (overflow, sketch, Figma, invision / marvel)
Knowledge of wireframe tools (e.g. Wireframe.cc and InVision)
Self-motivated and able to efficiently run with a project while adhering to the project schedule
Excellent communication skills—you should be able to clearly articulate your design decisions and motivations behind them
Team spirit; strong communication skills to collaborate with various stakeholders
Self-starter able to work with minimum supervision

Candidates MUST attach a portfolio or link of their recent top 3 -5 works that best demonstrate UI/UX skills.","Communication, Mockups, Product Vision, Usability, Usability Testing, User Experience (UX), User Flows, User Interface Design, Visual Design, and Wireframing"
