Company Names,Job Titles,Posted On,Job Details,Skill
PT. BANK NEGARA INDONESIA (Persero) Tbk.,Solutions Architect,Reposted 3 weeks ago,"Requirements :

Bachelor's degree in Computer Science, Engineering, or Mathematics
4+ years' of relevant experience
Able to understand banking business processes/business flows
Able to analyze business flow into a series of IT-based solutions
Have knowledge/experience implementing solutions based on SOA, API, Event Streaming, Microservice, File transformation
Have knowledge regarding data bases, caching solutions and replication
Have sufficient knowledge regarding security processes
Advanced knowledge of leading architecture solutions in the industry area
Strong interpersonal and collaboration skills
Ability to demonstrate technical concepts to non-technical audiences","Application Programming Interfaces (API), Business Analytics, Business Process, Microservices, Service-Oriented Architecture (SOA), and Stream Processing"
Cordova Inovasi Digital,Ecommerce Specialist,Reposted 2 days ago,"Deskripsi Pekerjaan:
• Mengelola akun toko di E-Commerce
• Membuat strategi agar toko di E-Commerce (Tokopedia, Shopee, bukalapak, Tiktok,dsb) mencapai target penjualan
• Menguasai seluk beluk periklanan di Shopee/Lazada Ads
• Mengoptimalisasi iklan di platform E-Commerce ( Shopee Ads/Laz Ads/ CPAS)
• Setting RTMP dan start live daily (shopee & tiktok)
• Mengatur promo dan voucher Marketplace: Lazada, Tokopedia, Shopee

Kualifikasi:

• Minimal pengalaman 1 tahun menjadi Ecommerce Specialist / Executive
• Berpengalaman mengelola produk fashion dan perkakas di marketplace (shopee, tokopedia, lazada) lebih diutamakan
• memiliki pengalaman spent iklan lebih dari 15jt dalam sebulan sangat disukai
• Terbiasa mengelola ads berbayar dan menguasai semua fitur e-commerce/marketpalce (tokopedia, shopee, blibli, tiktok, dll)
• Paham Strategi Marketing di e-commerce atau platform online lainnya
• Menyukai dunia Sales Online / Jualan Online
• Teliti, mempunyai kemampuan Komunikasi yan baik dan bekerja sama secara team
• Mampu mengoperasikan Ms.Excel
• Bersedia bekerja di Area Bandung","Communication, Data Analysis, Google Analytics, Marketing, Marketing Strategy, Merchandising, Sales, Search Engine Optimization (SEO), Social Media Marketing, and Teamwork"
L'Oréal,Digital Technology Manager,Reposted 2 weeks ago,"Digital Technology Manager will be responsible to support the project outputs (assets) into the operations and to the potential concessionaire. Digital Technology Manager will focus on the project deliverables, whilst operations will focus on operational process, training, and performance.

The role requires the individual to be detailed, process-oriented and a good team player. The individual will work closely with his/her business partners as well as vendors and platform providers.

Key Responsibilities

Manage and lead projects or project streams including writing technical and/or business specifications.
Support local and zone IT in validating and positioning the Function demand into the IT portfolio, ensuring active Executive sponsorship is in place for the project agenda.
Perform demand shaping in the country business representatives, to push and adopt the usage of Group/Zone standard solution and service when necessary.
Execute various projects as a project member or leader and take ownership on respective assigned roles with other members.
To perform business servicing by collecting and translating business into system requirements. Analysis, design, testing and ongoing maintenance & support for internal systems.
Resolve incidents, analyze root cause and work with vendor to find permanent resolution.
Pro-actively manage business expectations and monitor their customer satisfaction levels through relevant service metrics and measures.
Designing and developing interfaces and add-on solutions, set-up and customizing various business modules, enhancing overall concepts
Develop and maintain a sustainable relationship with existing and potential clients. Coach a team of internal resources and cultivate the quality of the human capital.
Account for the budget discussion IT Director & Business team, Controller, Procurement, and vendor engagement
Ensure timely completion of project deliverables through all project phases and support current, potential project.
Ensure timely communication to relevant stakeholders in the business and IT communities.

Professional Competencies

Collaborative team player, having strong influencing experiences (to drive decision, sales ideas) is a plus point.
Highly disciplined and comfortable to work in multitasking mode. Multiple projects, task and commit to deliver in timely manner.
Diligent and accountable.
Sensitive to cultural diversity and experience in a multicultural environment, regarding colleagues, local authorities, and other stakeholders.
Comfortable with constructively challenging colleagues at all levels within the organization.
Highly disciplined – following up on actions and with necessary documentation.
Problem solving skills - Ability to rationally assess a situation, problem or scenario and work through to a realistic summary, conclusion, and practical resolution options. This includes transparently communication and bringing others into the process where required.
Ability to reach agreement: Reaching agreement in consultation with others serving the business and project objectives, considering the interests of all parties and which are acceptable to everyone involved.

Education & Qualification

University degree in Computer Science or Information Technology.
Proficiency in both English & Bahasa is mandatory.
Minimum 5 years of work experience in leading major and complex project environments and work with executive management level
Work in FMCG with matrix environment is a plus.
Project professional experience, e.g. project management and Agile Project Management, stakeholder management, risk management, project controls, communication.
Experience to work with limited num of team, experience working in Matrix (local, zone, group) organization.
Experience works as individual contributors, managing end to end project delivery.
Project professional experience, e.g. project management and Agile Project Management, project certification (PMO) will be a plus.
Knowledge and understanding of Security Parameters and Data Protection regarding data privacy, digital, e-Commerce and cybersecurity environment, certification / training on ISO 270001 will be a plus.
Excellent interpersonal and communication skills with a very good command of the written and spoken English.
Strong experience in team management, ability to solve problems independently","Communication, Cultural Diversity, Digital Technology, Executive Management, Interpersonal Communication, Problem Solving, Scenario, Spoken English, System Requirements, and Team Management"
ASUS,Account Manager West Java,3 weeks ago,"Ready for a career that's all about growth? We're looking for a Account Manager West Java to join our ASUS family and make an impact in the tech world.

Job Description:
Responsible to develop new partners and maintain key partners increase product sellout and strive to achieve target
Build high value relationship with partners by providing key value information, communicating partner's request and feedback, problem solving, and handling complaints
Analyze and increase our market share in assigned partners and territory
Execute channel promotion program to increase product's sell in and sell out to end users
Drive sell out in store aligned with company strategy and direction
Lead channel merchandiser team and dedicated sales front liners to achieve target
Conduct market research to gather information about market trends, competitor activity, product feedback, and dealer business condition
Analyze on action plan and result from execution of sales program, target achievement, and activity

Job Requirements:
Min. Education: Bachelor Degree
Min. Experience: 1 year in Channel or Account Management (preferably in IT)
Strong in Communication, Negotiation, and Presentation (Interpersonal Skill)
Strong in Microsoft Office (especially Excel and PowerPoint)
Strong in English (Verbal & Written)
Strong in Analytical and Execution
Strong in Goal and Time Management
Team Player","Account Management, Analytical Skills, Channel Account Management, Complaint Management, English, Market Analysis, Market Research, Merchandising, Microsoft Office, Multi-Channel Marketing, Sales Management, and Sales Operations"
Kawan Lama Group,Digital Commerce Strategist,2 weeks ago,"About The Role
You will handle online channels for medium & lower funnel in increasing buying considerations and ROI, to create maximum sales through programs and content implemented.


What will you be doing
?Update program and promo landing pages on the website to ensure that all content can be accessed by customers according to the specified schedule
.Manage the implementation of program planning and coordination with ruparupa.com team to improve performance on online shopping channels (Ruparupa.com, applications, e-commerce platforms)
.Providing sales and program reports on online channels to ensure that useful information is available to determine customer needs, purchasing habits, current and future trends so that it can be used as material for consideration by relevant parties in making decisions
.Coordinate and plan the implementation of digital advertising (ads) to ensure the achievement of web traffic targets (sessions) and reach on social media accounts
.Collaborate with 3rd parties (news publishers and others) to reach a wider audience and in line with the target market

.
What do we look fo
r?Bachelor's degree in all Maj
orMin. 1 year experience in related filed
s.Proficient skill in Visual communication skills, Website management, Basic English, Computer skil


l.

About Kawan Lama G
roupEstablished in 1955, Kawan Lama Group is a multi-sector group of companies who are constantly innovating for improving the quality of lives. Manages 28 brand portfolios operating in six different sectors: Commercial & Industrial, Consumer Retail, Food & Beverages, Property & Hospitality, Manufacturing & Engineering, and Commercial Technology. Aiming to be more than family business - but beyond that, we are business for families, we carry the mission to bring values for betterment of lives through business development and continuous gro

wth.","Commerce, E-Commerce, Marketing, and Web Traffic"
Kopi Kenangan,Digital Content Learning Support,2 weeks ago,"Are you passionate about digital learning and skilled at supporting users with technology? Join our team as a Digital Content Learning Support! You'll assist learners and educators in navigating digital content, troubleshoot issues, and ensure an engaging learning experience. If you're tech-savvy and love helping others, apply now! 

Working location: Jakarta, Indonesia

Ideal Candidate Profile:
Min Bachelor Degree 
1-3 years experience
Proficient in graphic / video design tools & software
Experience working with digital learning platforms and content management systems
Understanding of instructional design principles and best practices in digital learning

Technical Competencies:
Adobe (After effects, premiere pro, photoshop, illustrator)
Learning tools / material (basic)
Computer Skills (Design, articulate, editing video, excel)

Job Role:
Identify learning content material requirements:
By collecting and identifying learning program / module details that required to be designed in graphic media and/or digital content
By coordinating and collaborating with stakeholders to prepare content materials and gain insight into their learning content needs
By translating learning materials to English language align with the standard
Create graphic design and video editing for L&D programs:
By creating and defining the idea, graphic design concept and produce it into further drawing and design
By coordinating and executing full video production process (pre - post production)
By reviewing and evaluating the video production result and give recommendation
By providing solution if there is any problem occur in design
Maintain digital content learning implementation:
By create engaging digital content and support in building out our learning content library and the implementation
By maintaining digital learning content library and services, and define ways to optimize them
Support other L&D works:
By assisting superior in manage the online learning catalogue & program
By supporting L&D team with the administration of systems and LMS compliance
By contributing to the continuous improvement of digital content learning strategy

If you have relevant experience and would be interested in such an opportunity, please send your updated resume to: apac.jobs@kopikenangan.com","Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, After Effects, Communication, Design Tools, Editing, Graphic Design, Graphic Design Principles, Problem Solving, Teamwork, and Video Editing"
Qiscus,Web Development Intern,1 week ago,"Qiscus is an omnichannel conversational platform that helps businesses embrace the new expectations of excellent Customer Experience (CX) through the ability to engage in timely conversations at scale. As the importance of real-time communication technology continually increases, dynamic client-side development is definitely necessary. Our Web Developer Intern will be responsible for keeping up with new digital technologies and working on both the client-side and server side of the software application to ensure system consistency and improved customer experience (CX). If you find that you fit this role, we want you on our team!

What You Will Do
Assisting in translating user requirements into the overall architecture and implementation of the new systems
Collaborated with UI/UX designers, software engineers, and researchers to solve application design problems as they arise
Understand, create, and debug database-related queries
Assisting in creating test code to validate the application against client requirements
Monitor the performance of web applications & infrastructure
Troubleshooting web applications with a fast and accurate resolution

What you will need to be successful in this role:
Final-year students, fresh graduates from any related fields, or young professionals are welcome to join
Commands expertise in at least one web framework, such as Laravel, Django, Ruby on Rails, Express, or similar.
Possesses extensive experience in WordPress development.
Demonstrates proficiency in PHP, HTML, CSS, and Javascript.
Eager to learn new programming language and/or new technology
Have a solid understanding of Algorithm and Data Structure
Highly interested in and understand the development of the technology industry.
Currently not attached to other employment programs.
Willing to commit to the program for 6 months","Cascading Style Sheets (CSS), Data Structures, Digital Technology, Doctrine (PHP), Framework Design, JavaScript, Laravel, Skill Development, Web Development, and Wordpress Development"
Marriott Hotels,e-Commerce & Digital Marketing Manager,2 weeks ago,"Job Number 24130797

Job Category Sales & Marketing

Location Lampung Marriott Resort & Spa, Jl. Pantai Mutun, Pesawaran Regency, Lampung, Indonesia VIEW ON MAP

Schedule Full-Time

Located Remotely? N

Relocation? N

Position Type Management

Job Summary

Responsible for analyzing and implementing strategies to achieve business requirements. The eCommerce Support Manager is responsible for developing, implementing, and maintaining tools and analysis to improve operational performance. As requested by senior management, this position will undertake special projects and analyses. Supports an environment which promotes service excellence, ensures associate engagement, and focuses on enhancing the guest experience. Ensures department goals are achieved through proactive management processes. Coordinates major initiatives, deliverables and contributes to the strategic direction of work teams.

CANDIDATE PROFILE 

Education And Experience

 High school diploma or GED; 2 years experience in the customer service, call center operations, or related professional area. 

OR

 2-year degree from an accredited university in Business Administration. Hotel and Restaurant Management, Hospitality, or related major; no work experience required. 

CORE WORK ACTIVITIES

Providing Exceptional Customer Service

 Supports Customer associates
 Coordinates hiring efforts including recruitment, hiring, and associate support within Customer Care & Channel Support. This includes new hire and hourly promoted positions. 
 Provides technical expertise and communicates information with other Centers/Business Units to ensure successful coordination of service methods. 
 Considers the impact on the customer when taking action or setting policies. 
 Modifies specific processes to improve customer satisfaction. 
 Breaks down barriers within the department/property to provide superior customer service. 

Managing the eCommerce Support Team

 Oversees eCommerce Support team of 14 Marriott.com Content Management Specialists and 10 Marriott.com Visual Quality Assurance Analysts
 Manages tasks assignments for field support team
 Supervises daily eCommerce Support operations and ensures compliance with all policies, standards and procedures. 
 Ensures that regular, ongoing communication is happening within the eCommerce Support department. Ensure staff is kept informed regarding new company initiatives, promotions, enhancements, Marriott.com releases, policies, etc. Continually communicates a clear and consistent message regarding departmental goals to produce desired results. 
 Participates in project updates during the weekly conference call with the eCommerce team. 
 Creates Personal Development Plans (PDP’s) with team members to enhance their individual performance and job satisfaction. 
 Manages personnel related activities of the Content Management & Visual QA team including completion of performance evaluations, coaching, documenting, disciplinary action, monitoring attendance, etc. 
 Actively identifies opportunities to develop members of their work teams on new technology and software, as well as, supports their professional development. 
 Facilitates department and team meetings to disseminate new policies and procedures. 
 Acts as facilitator and advisor to department service teams and problem solving teams, ensuring the training and completion of objectives. 
 Leads associate communication efforts, ensuring successful communication of procedural and service issues. 

Supporting Profitability and Revenue Goals

 Reviews staffing levels to ensure that project deadlines, operational needs and financial objectives are met. 
 Monitors service levels, supports initiatives and achieves department goals established for all Marriott Brands by all channels. 
 Prepares for anticipated changes due to trends in theory and practices in one’s professional discipline. 
 Examines trends in volume; adjusts department staffing and schedules as necessary to meet service level requirements. 
 Ensures the department achieves our budgeted goals and makes recommendations for changes and cost saving opportunities. 

Supporting Human Resources Activities

 Verifies incentive qualifiers eligibility and submits to Payroll each period. 
 Promotes associate engagement by conducting regular stay interviews/rap sessions with associates. 
 Supports the Management Development Readiness Program (MDRP). 
 Applies new developments to improve organizational performance or service. 
 Develops department policies to support process changes and initiatives. 

Additional Responsibilities

 Provides support for escalated support needs via telephone and email and ensures proper resolution of each, including direct contact with stakeholders when necessary. Effectively responds to and handles problems and complaints. 
 Manages the communication of trends via prepared reports to the appropriate personnel, as well as corporate headquarters and other service centers. 
 Each associate is expected to carry out all reasonable requests by management which the associate is capable of performing. 

Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.

Marriott Hotels strive to elevate the art of hospitality, innovating at every opportunity while keeping the comfort of the oh-so-familiar all around the globe. As a host with Marriott Hotels, you will help keep the promise of “Wonderful Hospitality. Always.” by delivering thoughtful, heartfelt, forward-thinking service that upholds and builds upon this living legacy. With the name that’s synonymous with hospitality the world over, we are proud to welcome you to explore a career with Marriott Hotels. In joining Marriott Hotels, you join a portfolio of brands with Marriott International. Be where you can do your best work, begin your purpose, belong to an amazing global team, and become the best version of you.

JW Marriott is part of Marriott International's luxury portfolio and consists of more than 100 beautiful properties in gateway cities and distinctive resort locations around the world. JW believes our associates come first. Because if you’re happy, our guests will be happy. JW Marriott associates are confident, innovative, genuine, intuitive, and carry on the legacy of the brand’s namesake and company founder, J.Willard Marriott. Our hotels offer a work experience unlike any other, where you’ll be part of a community and enjoy true camaraderie with a diverse group of co-workers. JW creates opportunities for training, development, recognition and most importantly, a place where you can pursue your passions in a luxury environment with a focus on holistic well-being. Treating guests exceptionally starts with the way we take care of our associates. That’s The JW Treatment™. In joining JW Marriott, you join a portfolio of brands with Marriott International. Be where you can do your best work, begin your purpose, belong to an amazing global team, and become the best version of you.","Audio Conferencing, Content Management, E-Commerce, Hospitality Industry, Job Satisfaction, Organizational Performance, PDP, Payroll Administration, Restaurant Management, and Sales and Marketing"
DDI,Content Creator Internship,1 week ago,"The Roles for Content Creator Internship are:
- Social media plan execution on both Instagram & LinkedIn
- Designing social media content
- Create & editing videos for social media
- Create captions & uploading content
- Social media admin

Requirement:
- Fresh grad or final year student in all communication science major
- Active & initiative person
- Social media enthusiast
- Can use simple editing apps. minimum canva and capcut
- Willing to learn something new",Digital Editing and Social Media
Sonigo,CRM and AI Agent Setup,Reposted 2 days ago,"Job Post: Employee - CRM and AI Agent Setup

Position Title: Employee - CRM and AI Agent Setup

Location: Canggu, Bali 80361

Employment Type: Full-time

Salary: IDR 7,000,000 to IDR 8,000,000 per month + yearly bonus

About Us:
Sonigo is a specialised AI software service agency that delivers customised solutions tailored to unique business needs. Our expertise in advanced CRM integrations and our powerful in-house software streamline operations, reduce manual intervention, and enhance business value, making management less stressful and more productive. Learn more about us at Sonigo.co.

Job Overview:
We are seeking a motivated and tech-savvy individual to join our team. The successful candidate will be responsible for setting up and configuring our CRM system and AI agents to meet the needs of our diverse client base. This role offers an excellent opportunity to develop your skills in a dynamic and supportive environment.

Key Responsibilities:

 • CRM Setup and Configuration: Implement and customize the CRM platform for various clients, ensuring it meets their specific business requirements.
 • AI Agent Deployment: Set up and configure AI-driven customer service agents, integrating them with the CRM and other business systems.
 • Client Support and Training: Provide support to clients during the setup process and offer training to ensure they can effectively use the system.
 • System Testing and Troubleshooting: Conduct thorough testing of CRM and AI agent setups to identify and resolve any issues before deployment.
 • Documentation: Create and maintain comprehensive documentation of configurations, setups, and processes for future reference.
 • Continuous Improvement: Stay updated with the latest developments in CRM and AI technologies and suggest improvements to enhance our service offerings.

Qualifications:

 • Language Skills: Must speak and write fluent English.
 • Attendance: Must be able to come into our office 3 days a week after training. Training will be 5 days a week.
 • Training: Training will be available to help you get up to speed with our systems and processes.
 • Technical Skills: Familiarity with CRM systems and AI technologies. Basic knowledge of programming languages such as Python, Java, or similar is a plus.
 • Analytical Skills: Strong problem-solving skills and attention to detail.
 • Communication Skills: Excellent verbal and written communication skills. Ability to explain technical concepts to non-technical users.
 • Team Player: Ability to work collaboratively in a team environment and manage multiple tasks simultaneously.
 • Adaptability: Willingness to learn new technologies and adapt to changing client needs.
 • Work Ethic: Someone who is hard-working, quick to learn software, and good at problem-solving.
 • Career Focus: Someone who is looking to have a career in digital marketing and is loyal, aiming to grow with our business.
 • Availability: Must be available to start ASAP.
 • Education: A computer science degree would be ideal but not essential.

Benefits:

 • Competitive salary of IDR 7,000,000 to IDR 8,000,000 per month with a yearly bonus.
 • Opportunities for professional development and career advancement.
 • A supportive and collaborative work environment.
 • Exposure to cutting-edge technologies and projects.

How to Apply:
Please send us a video of you answering the following questions to this number on WhatsApp: +62 813‑3758‑2415

Video Submission Questions:

 1. Introduction:
 • Can you introduce yourself and briefly overview your background, including your education and any relevant experience?
 2. Language Skills:
 • Can you demonstrate your fluency in English by telling us about a recent project or task you completed?
 3. Technical Skills:
 • What experience do you have with CRM systems and AI technologies? Can you provide an example of how you have used these skills in the past?
 4. Problem-Solving:
 • Describe a time when you encountered a technical problem. How did you approach solving it, and what was the outcome?
 5. Learning and Adaptability:
 • How do you approach learning new software or technologies? Can you give an example of a time when you had to quickly learn something new?
 6. Teamwork and Communication:
 • How do you communicate complex technical concepts to non-technical team members or clients? Provide an example.
 7. Career Goals:
 • What are your long-term career goals, and how does this position align with those goals?
 8. Work Ethic and Commitment:
 • Why do you want to work at Sonigo, and what makes you a good fit for this role?
 9. Availability:
 • Can you commit to coming into the office three days a week after training, and how do you plan to manage this schedule?
 10. Final Thoughts:
 • Is there anything else you would like to share with us that you think would make you a strong candidate for this position?

Application Deadline: 14 Aug

Equal Opportunity Employer:
Sonigo is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.

Note: NO AGENTS PLEASE.","Analytical Skills, Communication, Customer Relationship Management (CRM), English, Language Skills, Problem Solving, Tech-Savvy, and Written Communication"
