Company Names,Job Titles,Posted On,Job Details,Skill
ATI Business Group,DevOps & Data Services Lead,5 days ago,"Your Main Objective
As the DevOps & Data Services Lead in the IT Division, you will ensure seamless integration, deployment, and management of company data and applications infrastructure. You are expected to combine your technical expertise for the day-to-day operations with a strategic mindset to drive data-driven business decision-making.

Your Main Responsibilities
You will effectively lead a small team of experts to deliver the following capabilities and must able to jump into action as and when required:
DevOps Management: Lead the design, management and implementation of CI/CD pipelines,
oversee configuration management, automation and orchestration tools, ensure application
deployment reliability, integrate secure DevOps practices with the development team
Database Administration: Lead the maintenance and optimization of database systems, manage
database security, backups and recovery while ensuring high availability, data integrity and
performance
Business Intelligence: Develop and maintain BI solutions to support data-driven decision-making,
oversee the ETL processes, design and implement data visualization
Manage the team to collaborate with cross-functional teams
Stay updated on industry trends and emerging technologies
Ensure compliance with relevant regulations, especially in the areas of data protection

Qualifications
Excellent communication, collaboration skills and fluency in English
Bachelor’s degree in Computer Science, Information Technology, Data Science, or a related field
5+ years overall IT experience, vast majority in data services and devops
3+ years proven experience in a leadership or senior role within DevOps, DBA and BI functions
Strong knowledge of data warehousing concepts and technologies, data integration techniques, ETL processes
Strong technical knowledge of database systems, CI/CD pipelines, and BI tools
Experience with cloud platforms (e.g., AWS, Azure, Google Cloud) and containerization (e.g., Docker, Kubernetes)

Be Part of ATI Journey:
Our aim at ATI Business Group in working with our Clients is to support their continued growth by providing cost-effective technology and talented & scalable people resources on demand. ATI’s singular focus on providing services to the travel and hospitality business communities across the globe has been a remarkably successful one. Since commencing in 2002 we now have over 900 employees providing services to our clients across the globe.","Amazon Web Services (AWS), Business Intelligence (BI), Cloud Storage, Containerization, Data Services, Data Warehousing, Database Security, DevOps, Extract, Transform, Load (ETL), Microsoft Power BI, and PostgreSQL"
Grab,Lead Data Engineer,Reposted 1 week ago,"Company Description

Grab is Southeast Asia’s leading superapp. We are dedicated to improving the lives of millions of users across the region by providing them everyday services such as deliveries, mobility, financial services, enterprise services and others. More than that, we provide the opportunity for them to have a better life. And that aspiration starts inside Grab because we believe in a seamless blend of work and home life, making every aspect of life better for all.

Guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles—the 4Hs: Heart, Hunger, Honour and Humility—we work to create economic empowerment for the people of Southeast Asia. With our unwavering commitment to our values, we believe that we're more than a service provider; we're agents of positive change.

Job Description

We are seeking an experienced Lead Data Engineer to spearhead our data engineering efforts for the Marketing Growth team. In this crucial role, you will be responsible for designing, developing, and maintaining scalable data pipelines and infrastructure to support our marketing analytics and data science initiatives.

Key Responsibilities

Lead the design and implementation of robust data pipelines that ingest, transform, and load data from various sources into our data lake and real-time systems.
Collaborate with data scientists and business stakeholders to understand their data requirements and translate them into efficient data engineering solutions.
Ensure data quality by implementing data validation, testing, and monitoring processes.
Manage the integration of third-party data sources and APIs into our data ecosystem.
Oversee the maintenance and optimization of existing data pipelines, addressing performance issues and implementing improvements as needed.
Provide technical leadership and mentorship to junior data engineers, fostering a culture of continuous learning and knowledge sharing.
Collaborate with platform teams to frame feature requirements and migrate between managed platform offerings and data products.

Qualifications

The Must-Haves:

At least Bachelor's in Computer Science, Information Technology, or a related field.
Minimum of 5 years of experience in data engineering roles, with a strong background in designing and implementing scalable data pipelines and architectures.
Proven leadership experience, with the ability to mentor and guide junior team members.
Strong communication and collaboration skills, with the ability to effectively work with cross-functional teams, including data scientists, analysts, and business stakeholders.
Proficient at least one of the programming languages such as Python, Scala, or Java, and familiarity with big data technologies like Apache Spark, Apache Kafka, and Apache Airflow.
Strong understanding of data modeling, ETL/ELT processes, and data warehousing concepts.
Experience with real-time data processing and streaming data architectures.
Excellent problem-solving and analytical skills, with the ability to break down complex problems into manageable tasks.

The Nice-to-Haves

Candidates with expertise in streaming data using frameworks like Apache Flink will have an added advantage.
Extensive experience with cloud-based data platforms and services such as AWS is highly valued.

Additional Information

We are committed to building an inclusive and equitable workplace that enables diverse Grabbers to grow and perform at their best. As an equal opportunity employer, we consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, gender identity, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique. If you require accommodations to fully participate in the recruitment process, you are encouraged to include your request(s) when applying.

We deliver the greatest impact and ideas when we bring together diverse perspectives. It is what enables us to spread opportunities to Grabbers and our partners. It’s not a box-ticking exercise; it’s who we are.","Airflow, Apache Kafka, Apache Spark, Computer Science, Data Engineering, Data Modeling, Data Pipelines, Data Validation, Extract, Transform, Load (ETL), and Scala"
Traveloka,Senior Data Scientist,2 weeks ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

Our data science team is responsible for solving complex problems and optimizing various aspects of Traveloka’s business. You will get a wide range of exciting opportunities to bring impact by helping to make decisions at scale across our various business lines, and get to work with the brightest minds in the industry. Join us in revolutionizing the travel industry through data!

Key Responsibilities:

Collaborate with multiple product domains to understand their challenges and goals in ranking and recommendation systems
Translate customer needs and business goals into technical requirements and ML services
Develop, implement, and maintain data-driven solutions and systems
Oversee and manage multiple data science projects, ensuring they meet objectives and are delivered on time



Requirements

Bachelor’s degree in Computer Science, Data Science, Statistics, or related fields. Master's degree or higher preferred
7 or more years of experience in data science or related roles
Excellent understanding of business operations and the ability to translate business requirements into technical specifications.
Experience/familiarity with some of the following:
Recommendation algorithms (collaborative filtering, content-based filtering, deep learning for recommendations)
Ranking algorithms and metrics
Experimentation
Strong expertise in Python and experience with ML/Stats libraries (scikit-learn, LGBM, XGBoost to name a few).
Proficient in data manipulation and analysis using SQL.
Experience with cloud-based tech stack and containerization. GCP will be preferred.
Proven experience in managing data projects from inception to completion.
Exceptional interpersonal and communication skills, including the ability to describe complex technical concepts to non-technical stakeholders.
Proactive, self-motivated, and able to work independently.


If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Business Requirements, Data Management, Data Manipulation, Data Science, Interpersonal Communication, Machine Learning, SQL, Scikit-Learn, Technical Requirements, and Technical Specs"
GoTo Group,Senior Data Engineer,2 weeks ago,"What You Will Do

Gather business requirements to support BI projects.
Explore existing and new data sources and facilitate the integration to the Data Warehouse.
Design and develop Data Quality Framework across Data Platform.
Design, implement Data Model for enterprise data warehouse.
Classifying data based Data Governance policy and Data Access Framework.
Develop data definition and metrics and maintain the consistency across Data team.
Modify existing structured and unstructured data integration solutions for rapidly evolving business needs.
Collaborate with a cross-functional team to resolve data quality and operational issues.
Create conceptual models and data flow diagrams.
Participate with end users to gather requirements and consult on data integration solutions.
Receive and adhere to project delivery deadlines. 
Migrate code across environments and leverage a source code management system.
Develop and maintain proper documentation for data pipeline and service.

What You Will Need

Bachelor's or Master's degree in Computer Science, Engineering, Information Systems, or related fields.
2-5 years of experience in data engineering, software engineering, or a similar role.
Proficiency in programming languages such as Python, Java, or Scala.
Solid understanding of SQL, database management systems, and data modeling concepts.
Experience with big data technologies such as Hadoop, Spark, or Kafka.
Hands-on experience with cloud platforms such as AWS, Azure, or Google Cloud Platform.
Strong problem-solving skills and attention to detail.
Ability to design and implement scalable data pipelines and ETL processes.
Excellent communication and collaboration skills to work effectively with cross-functional teams.
Deeper understanding of data engineering concept, programming language, and big data technology.","Attention to Detail, Data Engineering, Data Modeling, Database Management System (DBMS), Databases, Extract, Transform, Load (ETL), Flow Diagrams, Problem Solving, SQL, and Scala"
CBI Credit Bureau Indonesia,Data Acquisition Manager,Reposted 1 week ago,"Who We Are

PT Kredit Biro Indonesia Jaya (Credit Bureau Indonesia, “CBI”) as one of the private credit bureaus in Indonesia has been established since 2014 and obtained an operational license from Otoritas Jasa Keuangan (OJK) as Lembaga Pengelola Informasi Perkreditan (LPIP) in 2015.

In November 2021, after obtaining approval from OJK, CBI received additional capital from shareholders and appointed a new management team, which aims to provide new and leading-edge services and products. This new identity will also strengthen CBI's position as the ""best-in-class, modern and innovative"" credit bureau in Indonesia.

CBI is a trailblazer in the credit bureau industry, dedicated to fostering a culture of excellence and innovation. We believe in the power of a talented and diverse team to bring cutting-edge solutions to our clients and contribute to the overall success of the financial landscape in Indonesia.

Why Join Us

Innovative Environment: Continuously investing in cutting-edge technologies, including the powerful realm of artificial intelligence, your role becomes a pivotal part of our journey into the dynamic and evolving landscape of financial services. Being part of our innovative environment is your gateway to an exciting and forward-thinking career
Impactful Work: We offer more than just a job; we provide an opportunity to play a crucial role in shaping the financial future of individuals and businesses across the nation. As a licensed credit bureau, our commitment to accuracy, reliability, and timeliness sets the stage for impactful work
Professional Development: We are committed to the growth of our employees. Join a team that encourages continuous learning and offers opportunities for career advancement.
Collaborative Culture: Work in a collaborative and inclusive environment where your ideas are valued, and teamwork is key to achieving our goals.

About The Role

As a Data Acquisition Manager, you will play a crucial role in acquiring data partners from both government and private sectors to support our company's objectives.

You Will

Data Partner Acquisition: Identifying and securing partnerships with government agencies such as Dukcapil, Kemenkumham, Mahkamah Agung, Jasa Raharja, Kemenkes, DJP, PLN*, PDAM, as well as private sector entities like e-commerce platforms, delivery companies, e-wallet providers, and other organizations with relevant ecosystems or customer bases.
Business Model Design: Collaborating with internal teams to develop business models that align with the needs of our company and potential partners, leveraging solutions provided by CBI, Advance Ai, and BPS to create value for both parties.
Terms of Cooperation: Crafting agreements and terms of cooperation that are compliant with Indonesian laws and regulations and acceptable to all parties involved.
Relationship Management: Building and maintaining strong relationships with data/business partners, facilitating day-to-day communication, and exploring opportunities to expand partnerships for mutual benefit.
Internal Communication: Liaising with relevant stakeholders within our organization to ensure smooth cooperation with partners and drive revenue generation.

What You'll Need To Succeed

Extensive Experience: Over 10 years of experience in data acquisition, partnership development, and business development, preferably in credit bureaus, alternate credit scoring, digital solutions, banks, microfinance, or fintech sectors.
Language Proficiency: Fluent in both spoken and written English. Proficient in Microsoft Office applications such as Word, PowerPoint, and Excel.
Big Data Expertise: Proven track record in acquiring data partners from both private and government sectors, as well as maintaining strong relationships with these partners.","Communication, Contract Negotiation, Credit Appraisals, Microsoft Excel, and Microsoft PowerPoint"
Kraft Heinz,SSEA Master Data SME,1 week ago,"Overview:
The Master Data SME is responsible for working and supporting Master Data activities for master data process implementation, design processes to align with Global Master Data Template.
This position will interact with internal and external resources in Master Data projects, support master data activities in process design and work on data cleansing, data collection, data conversion, data construction, data validation, data migration activities.
 Responsibilities:
Liaise with internal and external resources of project, ensure Master Data deliverables are delivered as aligned.
Coordinate data team, functional process teams, business team and stakeholders to ensure delivery work is processed on time.
Ability to organize discussions/team across multiple domains.
Collaborate with the Data Management Factory, IT Master Data Team, Data Operations to support all domain processes.
Operate data cleansing, data collection, data conversion, data construction, data validation, data migration activities.
 Requirements:
4+ years-experience in Master Data management, maintaining a knowledge of product, material, customer, vendor domains. Finance knowledge is also desirable.
Working experience on Master Data Governance support project and knowledgeable global delivery model operations is preferable.
Persuasive communicator, strong facilitator with the ability to be flexible and adjust approach to each situation.
General SAP knowledge about ECC, MDG Workflow, S4, etc.
Date migration exposure from requirements gathering, mapping, data construction, training document creation and execution, go live and support.
Functional process knowledge in one or more areas, with emphasis on OTC, PTP, LE, Finance.
Experience working with MS Excel and SQL based tools.","Master Data, Master Data Management, SAP ERP, SAP HANA, SAP Implementation, SAP MDG, SAP MDM, SAP Master Data Governance, SAP Products, and SAP S/4HANA"
GoTo Group,Data Engineer Manager,2 weeks ago,"What You Will Do

Design and implement complex data solutions, architecting data systems, and driving technical initiatives.
Optimize data infrastructure for performance, scalability, and reliability - working with large-scale data volumes & distributed systems.
Modify existing structured and unstructured data integration solutions for rapidly evolving business needs.
Collaborate with a cross-functional team to resolve data quality and operational issues, as well as delivering solutions to meet business needs.
Participate with end users to gather requirements and consult on data integration solutions.
Design, build, and optimize data pipelines, ETL processes, and data infrastructure in the field.
Provide technical guidance and support to ensure the successful delivery of data projects, including troubleshooting and resolving technical challenges.

What You Will Need

Bachelor's or Master's degree in Computer Science, Engineering, Information Systems, or related fields.
5+ years of experience in data engineering, software engineering, or a similar role.
Expertise in programming languages such as Python, Java, or Scala.
Advanced knowledge of SQL, database management systems, and data warehousing concepts.
Extensive experience with big data technologies and distributed systems.
Proven track record of designing and implementing complex data pipelines and ETL processes.
Deep understanding of cloud-based data technologies and best practices.
Leadership abilities to mentor junior team members and lead technical initiatives.
Strong problem-solving and troubleshooting skills.
Ability to communicate technical concepts effectively to both technical and non-technical stakeholders.","Communication, Data Engineering, Database Management System (DBMS), Engineering Management, and Problem Solving"
Xendit,Senior Data Scientist - Experiments,6 days ago,"Xendit provides payment infrastructure across Southeast Asia, with a focus on Indonesia, the Philippines and Malaysia. We process payments, power marketplaces, disburse payroll and loans, provide KYC solutions, prevent fraud, and help businesses grow exponentially. We serve our customers by providing a suite of world-class APIs, eCommerce platform integrations, and easy to use applications for individual entrepreneurs, SMEs, and enterprises alike.

Our main focus is building the most advanced payment rails for Southeast Asia, with a clear goal in mind — to make payments across and within SEA simple, secure and easy for everyone. We serve thousands of businesses ranging from SMEs to multinational enterprises, and process millions of transactions monthly. We’ve been growing rapidly since our inception in 2015, onboarding hundreds of new customers every month, and backed by global top-10 VCs. We’re proud to be featured on among the fastest growing companies by Y-Combinator.

About the Job
Our Experiments team builds growth engines for Xendit through experimental products. We do this by pushing the frontiers of what is possible in the industry and creating modern solutions to old problems. As part of the Experiments team, you may become part of a team that builds from 0 to 1, from 1 to 1,000, or from 1,000 to the moon. It requires flexibility and adaptability to take on new challenges in order to grow an early-stage product.

To build from the ground up, we take ideas, customer pain points, or gaps in the market, push out an MVP at speed and iterate to find product-market fit. This team presents a unique opportunity for people who are looking to build something new, rather than scaling mature products. People who join this team have a strong interest in growth (personally and professionally) and, therefore, a continuous improvement mindset.

We're looking for a passionate individual who is willing to do whatever it takes to help us build credit models for innovative products that our local market has not seen before.

Minimum Qualifications
Minimum Bachelor's Degree in a quantitative field (i.e). Computer Science, Mathematics, Statistics, Econometrics, Engineering, or Artificial Intelligence.
3+ years of work experience with Python and SQL programming for data analysis
3+ years of work experience in data science
Solid oral and written communication skills, especially around analytical concepts and methods.
Capability to work effectively under pressure, meeting tight deadlines with proactive, decisive, and adaptable approaches.
Strong passion for data-driven problem solving.
Familiarity with credit risk models and financial modelling is a plus.

Preferred Qualifications
3+ years of work experience with Machine Learning or Statistical Modeling
Working experience with AWS
Experience managing projects independently
Self-motivated with intellectual curiosity
Proven ability to quickly learn new technologies, concepts and tools

Responsibilities
Modeling independently
Collaborate with business stakeholders to understand new business initiatives.
Design and develop models as standalone products.
Collect, process, and transform data.
Investigate new data sources.
Build, demonstrate, measure, and optimise performance end-to-end modeling solutions.
Analytical Problem Solving:
Convert vague contexts and phenomena into structured analytical problems.
Utilize statistical knowledge, machine learning models, and visualization techniques to extract meaningful insights from data related to business goals and strategies.
Design and conduct experiments and A/B testing for measuring business initiatives.
Perform regular testing analysis.
Innovation:
Embrace and adapt to rapid technological and scientific advancements.
Explore advanced tools and information sources to aid the team in understanding and solving problems and maintaining products","A/B Testing, Amazon Web Services (AWS), Data Analysis, Data Science, Financial Modeling, Machine Learning, Project Management, Python (Programming Language), SQL, and Statistical Modeling"
GoTo Group,Data Engineer Lead,2 weeks ago,"What You Will Do

explore existing and new data sources and facilitate the integration to the Data Warehouse.
Design and develop Data Quality Framework across Data Platform.
Design, implement Data Model for enterprise data warehouse.
Classifying data based Data Governance policy and Data Access Framework.
Develop data definition and metrics and maintain the consistency across the Data team.
Modify existing structured and unstructured data integration solutions for rapidly evolving business needs..
Collaborate with a cross-functional team to resolve data quality and operational issues, as well as delivering solutions to meet business needs.
Create conceptual models and data flow diagrams.
Participate with end users to gather requirements and consult on data integration solutions.
Receive and adhere to project delivery deadlines. 
Migrate code across environments and leverage a source code management system.
Design, build, and optimize data pipelines, ETL processes, and data infrastructure in the field.
Develop and maintain proper documentation for data pipeline and service.

What You Will Need

Bachelor's or Master's degree in Computer Science, Engineering, Information Systems, or related fields.
2-5 years of experience in data engineering, software engineering, or a similar role.
Proficiency in programming languages such as Python, Java, or Scala.
Solid understanding of SQL, database management systems, and data modeling concepts.
Experience with big data technologies such as Hadoop, Spark, or Kafka.
Hands-on experience with cloud platforms such as AWS, Azure, or Google Cloud Platform.
Strong problem-solving skills and attention to detail.
Ability to design and implement scalable data pipelines and ETL processes.
Excellent communication and collaboration skills to work effectively with cross-functional teams.
Deeper understanding of data engineering concept, programming language, and big data technology.","Data Engineering, Data Modeling, Database Administration, Database Management System (DBMS), Databases, Extract, Transform, Load (ETL), Flow Diagrams, Problem Solving, SQL, and Scala"
SEVEN Retail Group,Head of Data,2 weeks ago,"As Head of Data at SEVEN Retail Group, you'll oversee data collection, analysis, data engineer, and insights generation to drive strategic decision-making across our diverse F&B and lifestyle brands. You'll partner with cross-functional teams to translate data into actionable strategies for growth and customer engagement.

Responsibilities
Develop and implement a comprehensive data strategy aligned with overall business goals.
Oversee the design, development, and maintenance of our data infrastructure and architecture, including data pipelines and storage solutions.
Lead a team of data analysts and data engineers in collecting, analyzing, and interpreting data.
Partner with business leaders to identify data-driven solutions for key business challenges.
Champion a culture of data-driven decision making throughout the organization.
Ensure data security and compliance with all relevant regulations.

Preferred Qualifications
Hold an advanced degree (Masters or PhD) in Data Science, Statistics, or a related field (or equivalent experience).
Possess 5+ years of experience in a data leadership role.
Have experience working in a fast-paced, retail environment.
Be proficient in data analysis tools and programming languages (e.g., SQL, Python, R). For the data engineering function specifically: experience with cloud platforms (e.g., AWS, GCP, Azure) and big data technologies (e.g., Hadoop, Spark) is a plus.
Be passionate about building a strong data foundation for future growth.","Analytical Skills, Analytics, Data Analytics, Data Privacy, Data Science, Data Strategies, Data-driven Decision Making, Interpreting Data, Negotiation, and Team Leadership"
