Company Names,Job Titles,Posted On,Job Details,Skill
PT Jawasoft,Swift Developer,1 month ago,"Introduction:

PT Jawasoft is seeking an experienced and passionate Swift and Swift UI Developer to join our team! We are a dynamic and innovative IT company and our mission is to deliver high-quality, user-centric solutions that empower businesses and individuals alike.

As a Swift Developer, you will play a crucial role in the development of our MacOS and iOS applications, working closely with our team to craft seamless, efficient, and elegant user experiences.

Key Responsibilities:

Develop a new MacOS application using Swift and SwiftUI
Maintain our legacy iOS and iPadOS apps written in Objective-C
Collaborate with the design and development teams to create intuitive user interfaces
Implement and optimize Core Data for data persistence and management
Contribute to code reviews and ensure adherence to best practices and coding standards
Communicate effectively in English, both written and verbal, with team members and stakeholders

Qualifications:

Proven experience with SwiftUI, ideally for MacOS development
Strong knowledge of Swift and Objective-C programming languages
Familiarity with Core Data for data persistence and management
Excellent problem-solving skills and a keen eye for detail
Strong written and verbal communication skills in English

What We Offer:

Competitive salary package, including THR and monthly bonus
Flexible hybrid work schedule, combining in-office and remote work
Transport allowance to facilitate your daily commute
Discounted laptop purchase program for personal use
Comprehensive medical insurance coverage for you and your family
A vibrant and collaborative work environment that fosters creativity and growth
Opportunities for professional development and career advancement

Join our team of talented professionals and contribute to the success of PT Jawasoft as we continue to push the boundaries of application development. Apply now by submitting your CV and portfolio showcasing your experience with SwiftUI and MacOS development.

Please note that only candidates who meet the requirements and are shortlisted will be contacted. We look forward to reviewing your application!","OS X, Objective-C, Swift (Programming Language), SwiftUI, User Experience (UX), and User Interface Design"
Agate,Game Designer Gamification,2 weeks ago,"Responsibilities
Planning, thinking, and designing game systems/controls/interfaces/narrative/level/mechanics that align with design pillars to delight the users.
Working collaboratively with fellow designers and development team members to concept and deliver the intended experience.
Communicating design decisions to relevant stakeholders.

Requirements
First and foremost, you are a designer. You must understand the end-users and business context to develop suitable solutions. You know when to make a quick and dirty prototype and when to make a polished one. You also have to gather users’ feedback and know how to use it to improve your design.
At least three years of working experience as a game designer.
Your portfolio should include at least 2-3 games. Experience developing casual games will be preferred.
Relevant portfolio. Applicants without a portfolio will not be considered.
Have a good understanding and can devise plans for a game’s monetization and in-game economy. Please show this in your portfolio.
Possess excellent critical and design thinking.
Possess excellent communication skills, both oral and written.
Able to lead fellow designers and/or the team to realize the vision of the design.
The ability to use relevant game engines and tools to prototype will be preferred.

Pluses
Possess design leadership experience
Able to communicate fluently in English, both oral and written","Communication, Design Thinking, Game Design, Level Design, Monetization, and Narrative"
Bitwyre,Blockchain Developer,1 week ago,"Company Description
We are a crypto exchange committed to providing top-tier trading solutions for users in emerging markets. 

Role Description
This is a full-time on-site role for a Blockchain Developer at Bitwyre located in Canggu. The Blockchain Developer will be responsible for tasks such as cryptography, cryptocurrency, back-end web development, blockchain development, and software development.

Qualifications
Cryptography and Blockchain skills
Cryptocurrency knowledge
Back-End Web Development skills
Software Development expertise
Strong problem-solving and analytical skills
Experience with blockchain technologies and frameworks
Bachelor's degree in Computer Science or related field
Knowledge of smart contracts and decentralized applications (DApps)
Experience in EVM is a plus
Experience in Solana, Near, Aptos, Sui, Cosmos is a plus
Experience with JSON RPC nodes is a plus
Experience with consensus algorithms is a plus
Experience in Zero Knowledge Proofs is a plus","Analytical Skills, Back-End Web Development, Blockchain, Computer Science, Cryptocurrency, Cryptography, Hyperledger, Problem Solving, Software Development, and Web Development"
PT Indonesia Satu Tujuh Group,Head of Game (Unreal) Developer,2 weeks ago,"Objectives

 Take ownership of the features and components in a game lifecycle, and lead the product design and coding.
 Collaborate with other team members in delivering complex features on time and at high standards.
 Assist the development process by contributing suggestions for improvements and by driving the quality of code throughout production.
 Mentor other developers on the team to help maintain quality of code, products, and processes.
 Partner with art, design, and production teams to ensure that goals and schedules are compatible with business and project needs.
 Assist with the hiring process for additional team members.

Responsibilities

 Plan, design, and implement high-quality game features, working with the studio team.
 Establish an effective pipeline for strategy and development.
 Create and iterate quickly on prototypes that showcase new designs and interaction patterns.
 Design, build, and maintain efficient, reliable, and reusable code.
 Ensure the optimal performance, quality, and responsiveness of applications and games.
 Identify process and application bottlenecks, and implement solutions in a timely manner.

Qualifications

 Bachelor’s degree in Computer Science, Game Development, or a related field, or equivalent experience. Preferably from reputable University with GPA >3.00/4.00
 Proven experience with Unreal Engine, including a strong understanding of Blueprints, C++, and the Unreal Editor.
 Experience with game development pipelines, asset integration, and optimization techniques.
 Strong problem-solving skills and the ability to debug complex issues.
 Familiarity with version control systems (e.g., Git, Perforce).
 Excellent communication and teamwork skills.
 Passion for gaming and a keen interest in the latest trends and technologies in the industry
 Understanding of UX design process, and experience working with UX development team.
 Ability to identify errors and troubleshoot.

Desired Skills and Experience
Application Development, Teamwork, Game Development, Unreal Engine","Business Planning, Communication, Optimization Techniques, Problem Solving, Responsiveness, Team Management, Teamwork, Unreal Editor, Unreal Engine, and User Experience Design (UED)"
Flex AI,Senior iOS Engineer,1 week ago,"Job Title: Senior iOS Engineer at FlexAI – Craft the Future of Mobile AI!

💪 Flex is a free A.I. personal trainer in your pocket. We're creating a healthier world by making fitness fun, free, and effective for everybody, wherever they are.

🚀 We launched a couple of years ago and are currently approaching 1 million users on iOS with significant revenue.

A.I. patent: https://patents.google.com/patent/WO2020252599A1/en
App: https://apps.apple.com/app/id1446354547
Website: https://www.flexfitnessapp.com/

🎯 Responsibilities:
End-to-end iOS app development, from concept to deployment.
Optimize app performance and resolve issues.
Stay updated with iOS platform advancements.
Conduct code reviews
Work closely with Product and UI/UX teams.

🥇 Qualifications:
Bachelor's degree in Computer Science or related field (or equivalent experience).
At least 5 years of iOS development
Strong Swift knowledge, bonus if experience with SwiftUI
Familiarity with RESTful APIs and third-party libraries.
Understanding of mobile UI/UX principles.
Excellent problem-solving and communication skills.

🎁 Benefits:
Competitive Salary
Significant stock options in the company
Standard benefits package
Flexible work life schedule
Company funded team trips/events (both virtual and physical)

FlexAI – Where Your Passion Meets Innovation!","Cascading Style Sheets (CSS), JSON, Mobile Application Development, Model-View-Controller (MVC), Model-view-viewmodel (MVVM), Objective-C, Python (Programming Language), Swift (Programming Language), iOS, and iOS Development"
PT Prodia Digital Indonesia,Android Developer Intern,4 weeks ago,"Responsibilities
Develop innovative, engaging, and high-performance Android applications
Ensure Android code is well structured, easy to understand, and easy to test.
Meets company quality, security and code style standards
Collaborate with other teams to ensure Android applications are well integrated with the back-end and other infrastructure.
Explore, evaluate and implement new technologies to maximize development efficiency.
Update information about the communication program to all related parties (both internal and external).

Qualification
Bachelor's degree in Informatics Engineering / Computer Science, GPA minimum 3.00
Proficiency in Android SKD, Kotlin & Java.
Familiar with MVVM, MVP and Jetpack Compose.
Have experience in SQLite and Room.
Experience with API and RESTful architecture.","Android, Java, and Kotlin"
ANDLAW FZCO,Blockchain Developer,Reposted 1 week ago,"Position Overview
Position Title: Blockchain Infrastructure Engineer
Department: Infrastructure Department
Location: Fully Remote

Expected Outcomes
Short-Term Goals:
Deliver initial projects
Complete onboarding
Long-Term Goals:
Develop a new blockchain interoperability infrastructure project
Focus primarily on off-chain server development


Responsibilities
Primary Duties:
Develop production systems based on pre-established architecture
Develop debugging and test code
Optimize system performance and improve reliability
Stay up-to-date with the latest blockchain technology trends and apply them to projects
Qualifications
Required Skills:
Advanced knowledge of backend technologies (preferably node.js and typescript)
Basic English skills (fluent speaking is not necessary as communication is primarily text-based)
Ability to stay current with blockchain technology
Experience:
At least 1 year of development experience in the blockchain field (excluding frontend), or 2-3 years of experience in server-side development","Back-End Web Development, Blockchain, Cryptography, Debugging, Distributed Ledger Technology (DLT), Ethereum, Hyperledger, Server Side, Software Development, and Solidity"
Grab,"Senior Software Engineer, Mobile (iOS)",Reposted 1 week ago,"Company Description

Life at Grab

At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.

Get to know the Team

Come join Grab ACE team, we're dedicated to building the most trusted and loved platform for all things food in Southeast Asia.. When you’re an engineer at Grab, you are part of the heart and soul of the company. Our passion is anchored in the work that we do, and this is reflected in the impact we make on hundreds of millions of lives on a daily basis. Our team is empowered by creating amazing services and tools that serve hundreds of millions of consumers, driving partners, and fellow grabbers. We are always seeking to innovate our delivery and dine in platforms, which requires the help of first-class android engineers. Our scale of production is huge, handling tens of millions of bookings every day. When you launch a new code, hundreds of millions of people will see what you are doing in a very short time. Operating at this level is difficult, but very beneficial.

Job Description

The Day-to-Day Activities

As an iOS engineer, you are expected to work on both product development as well as engineering improvements.

Work closely with the product and design team to understand requirements, provide product feedback, own and implement the product from start to finish.
Drive and participate in technical discussions with other engineering teams
Write code that is reusable, scalable and testable. Make sure products are delivered on time and with high quality.
Collaborate with QAs to make sure our app releases are always worthy of five star ratings.
Review code from other team members, provide constructive feedback and strive to raise the engineering bar.
Take initiative to improve the codebase proactively. Propose and set better engineering solutions for the team.
Be responsible and responsive during on-call duty. Able to debug and troubleshoot production issues.
Provide technical guidance, mentorship and knowledge sharing to peers.

Qualifications

The Must-Haves

A degree in computer science, software engineering or related fields.
Up-to-date on the modern iOS programming paradigm, including the use of Swift
Deep knowledge and expertise in iOS systems design and internals
Strong UX/UI design exposure and experience in making apps work intuitively and with pixel perfect interfaces.
You have working knowledge of several architectural approaches, caching, data storage and security.
Strong CS fundamentals (with competencies in algorithms and data structures).
Experience in user behavior analysis, log and error collection and analysis tools.
Work attitude is conscientious, have a strong sense of responsibility and teamwork, positive and optimistic, and willing to share.
Fluent in English, with the ability to communicate fluently in English.

The Nice-to-Haves

The ability to independently develop iOS apps or contribute to well-known open-source projects is favored.
Working knowledge of various architectural approaches, caching, data storage, and security is valued.
4-7 years of mobile engineering experience, specifically with a record of building complex applications, and experience in live/online projects is sought.

Additional Information

Our Commitment

We recognize that with these individual attributes come different workplace challenges, and we will work with Grabbers to address them in our journey towards creating inclusion at Grab for all Grabbers.","Communication, Computer Science, Interfaces, Software Development, Swift (Programming Language), Technical Discussions, User Behavior, User Interface Design, iOS, and iOS Development"
Agoda,Senior Software Engineer – Back End (FinTech) (Bangkok based – Relocation provided),Reposted 3 weeks ago,"About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

 Our Purpose –  Bridging the World Through Travel 

We believe travel allows people to enjoy, learn and experience more of the amazing world we live in. It brings individuals and cultures closer together, fostering empathy, understanding and happiness.

We are a skillful, driven and diverse team from across the globe, united by a passion to make an impact. Harnessing our innovative technologies and strong partnerships, we aim to make travel easy and rewarding for everyone.

 Get to Know Our Team 

Fintech is one of the fastest growing areas in Agoda and we are rapidly expanding our tech team. We work closely with the finance business team and our Fintech product owners to reduce risk, drive efficiencies and move on new market opportunities in this exciting field. We have a wide range of projects from traditional finance to cutting-edge customer fintech. For example, reconciliation using Big Data technologies, growing and optimizing customer payments options, tax calculations in milli-second response times and a mesh of supplier payment options like virtual credit cards. It ’ s a hot field and the perfect mix of data engineering and backend engineering.

 The Opportunity 

 In this role, you will not only develop robust backend systems but also architect and maintain scalable data pipelines and storage solutions that support complex data collection, processing, and analysis. Your dual expertise in backend and data engineering will play a crucial role in optimizing our financial technology solutions and driving informed business decisions through reliable data insights. 

 In This Role, You’ll Get to 

 Think and own the full life cycle of our products, not just a single piece of code – from business requirements, technology selection, coding standards, agile development, unit and application testing, to CI/CD and proper monitoring 
 Design, develop and maintain platforms and data pipelines across fintech 
 Boost System Performance: build systems that are stable, scalable, and highly performant to meet the dynamic demands of the financial landscape 
 Write great code and help others write great code – mentor people in your team and wider 
 Collaborate with other teams and departments 
 Exceptional problem-solving skills coupled with a strategic mindset are essential. You possess the ability to adapt to new changes and the foresight to anticipate future needs. Leadership at Agoda isn’t just managing tasks but inspiring innovation and driving vision into reality. 
 Foster Cross-Functional Collaboration: work with diverse teams to drive forward product and technology goals 
 Shape our future team: Play a pivotal role in recruiting and onboarding exceptional talent 

What You’ll Need To Succeed

 5+ years of experience with strong proficiency in Java, Kotlin, Scala, or C# with a proven track record of developing high-performance applications in production settings. Insightful experience with big data technologies like Hadoop, real-time processing frameworks (e.g., Apache Spark), and advanced knowledge of SQL and data architecture. 
 Thinks in systems: their edge cases, failure modes, and life cycles 
 Uses a metrics driven approach and can make informed decisions using data 
 You are passionate about the craft of software development and constantly work to improve your knowledge and skills 
 Experience with Scrum/Agile development methodologies 
 Excellent verbal and written English communication skills 
 Experience with operational excellence and a deep understanding of metrics, alarms and dashboards 

 It’s Great If You Have 

 Experience working in a modern FinTech or Payments organization 
 Domain knowledge in any of these areas: financial reconciliation, financial reporting, tax, payout methods like virtual credit cards or customer payments 
 Hands-on experience working with technologies like Spark for data processing, ETLs for data pipelines and queueing systems (Kafka, RabbitMQ). 
 Core engineering infrastructure tools like GitLab for source control and Continuous Integration, Kubernetes 
 Experience developing, maintaining and debugging large-scale distributed systems 
 Experience in leading projects, initiatives and/or teams, with full ownership of the systems involved 

#sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #mexico #mexicocity #australia #sydney #melbourne #perth #canada #toronto #vancouver #montreal #china #shanghai #beijing #shenzhen #prague #Brno #Ostrava #egypt #estonia #france #paris #hongkong #budapest #indonesia #jakarta #bali #bandung #malaysia #kualalumpur #germany #dublin #berlin #munich #hamburg #stuttgart #cologne #frankfurt #israel #telaviv #italy #milan #rome #japan #tokyo #osaka #amsterdam #oslo #manila #poland #warsaw #krakow #bucharest #russia #moscow #saintpetersburg #capetown #johannesburg #southkorea #korea #seoul #barcelona #madrid #stockholm #zurich #taiwan #taipei #thailand #bangkok #chiangmai #phuket #istanbul #london #manchester #edinburgh #ukraine #kiev #hcmc #vietnam #hanoi #hochimin #wroclaw #poznan #katowice #rio #salvador #india #delhi #newdelhi #bangladesh #dhaka #pakistan #islamabad #karachi #maldova #macedonia #IT #ENG #4 #india

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.","Agile Development, Application Testing, Business Requirements, Coding Standards, Dashboards, Metrics Driven, Operational Excellence, Problem Solving, Software Development, and System Performance"
INDODAX - Indonesia Digital Asset Exchange,Senior iOS Engineer,1 week ago,"Able to work under minimal supervision
Able to work collaboratively within a team environment.
Stay up-to-date with the latest iOS development trends, tools, and technologies.
Ability to evaluate the best choice of coding pattern and apply consistently in the system. - plan and architecture system design based on experience from maintaining and developing other projects and products.
Can apply good branching strategies and code management in git
Familiarity with Firebase component
Familiarity with VIPER or MVVM design pattern.
Familiarity with Swift Package Manager and Cocoapods.
Proficient in Swift
Understanding in using Memory Profiling Tools such as Instruments.
Have basic knowledge of shell script.
Knowledge of REST APIs and XML/JSON
Knowledge in Kotlin Multi Platform Mobile is a plus.
Understanding of mobile development security best practice is a plus",Swift (Programming Language)
