Company Names,Job Titles,Posted On,Job Details,Skill
Shake-Out Payments,Mobile Developer (Cross platform SDK),4 days ago,"Shake-out is a leading digital payment solutions provider in Egypt. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to continuously learn and grow. No matter where you are located, you will join a dedicated, creative, and diverse team that will help you discover your fullest potential.

ABOUT THE ROLE / RESPONSIBILITIES:
Develop and maintain a cross-platform Mobile SDK.
Integrate SDK smoothly into Android, iOS, Flutter, and React Native platforms.
Maintain company's application on app stores
Collaborate with cross-functional teams to design and implement new features.
Ensure robustness, security, and compliance of mobile solutions.
Maintain documentation and provide technical support for SDK integration.
Collaborates with external partners for integration needs
Optimize SDK performance for use in various environments.
Work closely with other developers and team members
Trouble-shooting / debugging technical issues for SDK integration.
Participate in agile development processes in SDLC, including: sprint planning, iterative development, estimations, and design sessions

Required Skills & Experience : 
+3 years experience with mobile development (iOS / Android)
Strong proficiency in mobile development languages such as Kotlin, Swift, and Dart
Experience with SDK Development ( Packaging / Publishing / Testing )
Strong skills of trouble-shooting and diagnosing issues
Experience with version control and bug tracking systems
Good problem-solving skills, initiative, and intellectual curiosity
Good communication skills and technical English
Bonus : Experience with Native Media Players

Benefits : 
Fully remote work setup
Competitive salary
Flexible working hours
Opportunities for professional development and career growth
Work with an A-Team members
Inclusive work environment

PLEASE FILL IN THIS APPLICATION :
https://forms.gle/aBXRqttLKM3ZmJ7BA
Candidates who don't fill this form will be discarded.","Android, Flutter, Mobile Application Development, React Native, Software Development, and iOS"
Grab,"Senior Software Engineer, Mobile (iOS)",Reposted 1 week ago,"Company Description

Life at Grab

At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.

Get to know the Team

Come join Grab ACE team, we're dedicated to building the most trusted and loved platform for all things food in Southeast Asia.. When you’re an engineer at Grab, you are part of the heart and soul of the company. Our passion is anchored in the work that we do, and this is reflected in the impact we make on hundreds of millions of lives on a daily basis. Our team is empowered by creating amazing services and tools that serve hundreds of millions of consumers, driving partners, and fellow grabbers. We are always seeking to innovate our delivery and dine in platforms, which requires the help of first-class android engineers. Our scale of production is huge, handling tens of millions of bookings every day. When you launch a new code, hundreds of millions of people will see what you are doing in a very short time. Operating at this level is difficult, but very beneficial.

Job Description

The Day-to-Day Activities

As an iOS engineer, you are expected to work on both product development as well as engineering improvements.

Work closely with the product and design team to understand requirements, provide product feedback, own and implement the product from start to finish.
Drive and participate in technical discussions with other engineering teams
Write code that is reusable, scalable and testable. Make sure products are delivered on time and with high quality.
Collaborate with QAs to make sure our app releases are always worthy of five star ratings.
Review code from other team members, provide constructive feedback and strive to raise the engineering bar.
Take initiative to improve the codebase proactively. Propose and set better engineering solutions for the team.
Be responsible and responsive during on-call duty. Able to debug and troubleshoot production issues.
Provide technical guidance, mentorship and knowledge sharing to peers.

Qualifications

The Must-Haves

A degree in computer science, software engineering or related fields.
Up-to-date on the modern iOS programming paradigm, including the use of Swift
Deep knowledge and expertise in iOS systems design and internals
Strong UX/UI design exposure and experience in making apps work intuitively and with pixel perfect interfaces.
You have working knowledge of several architectural approaches, caching, data storage and security.
Strong CS fundamentals (with competencies in algorithms and data structures).
Experience in user behavior analysis, log and error collection and analysis tools.
Work attitude is conscientious, have a strong sense of responsibility and teamwork, positive and optimistic, and willing to share.
Fluent in English, with the ability to communicate fluently in English.

The Nice-to-Haves

The ability to independently develop iOS apps or contribute to well-known open-source projects is favored.
Working knowledge of various architectural approaches, caching, data storage, and security is valued.
4-7 years of mobile engineering experience, specifically with a record of building complex applications, and experience in live/online projects is sought.

Additional Information

Our Commitment

We recognize that with these individual attributes come different workplace challenges, and we will work with Grabbers to address them in our journey towards creating inclusion at Grab for all Grabbers.","Communication, Computer Science, Interfaces, Software Development, Swift (Programming Language), Technical Discussions, User Behavior, User Interface Design, iOS, and iOS Development"
Algostudio,Mobile Developer (Senior Position),Reposted 3 days ago,"We are seeking an enthusiastic Android and IOS Developer to join our team in Algostudio as a Senior Mobile Developer. If you are skilled in Java-Kotlin or Swift programming language, this is an incredible opportunity for you!

Qualifications:
- Proficiency in Swift-SwiftUI for IOS Developers or Java-Kotlin for Android Developers
- Experience in maintaining and developing legacy code.
- Ability to collaborate with a solid team.
- Preferably candidates domiciled in Malang

Apply for the Job through our Linkedin or send your CV and portfolio to career@algostudio.net with the subject ""Application for Senior [Android/IOS] Developer""- [Your Name]"". 

Don't miss this opportunity to be part of a visionary and continually growing team!","Android Development, Java, Kotlin, Swift (Programming Language), UIKit, and iOS Development"
Badr Interactive,Mobile Application Developer,3 weeks ago,"Responsibilities

Develop high-quality, modern, responsive apps, translating designs into secure, scalable, well-documented code, implementing APIs, and fixing errors or bugs.

Requirements

2+ years of professional experience as a Mobile Developer
Proficiency in one or more programming languages such as Javascript or Typescript
Experience with mobile development frameworks, specifically React Native
Familiarity with RESTful APIs, third-party libraries
Strong understanding of mobile UI/UX principles
Understanding mobile native programming languages is a plus point.","JavaScript, Mobile Application Development, Programming Languages, React Native, TypeScript, User Interface Design, and iOS Development"
Crypto.com,Senior Mobile Developer - Android,Reposted 2 weeks ago,"Requirements:

We're looking for self-starting engineers with strong experience developing sophisticated applications. You will be Involved in end-to-end mobile application development life cycle.
Interested in building first-class product to solve real world problems
Experienced with various technologies, a fast learner and have a “get things done” mentality
Strong organizational skills and interpersonal skills and the ability to juggle conflicting requirements from many different stakeholders
Humble to embrace better ideas from others, eager to make things better, open to challenges and possibilities
Experience building complex applications for the Android using Kotlin/Java
Mobile application development at the user interface and system levels
Experience and good understanding on Test-Driven-Development (TDD), implement instrumented unit tests
Experience with Jetpack Compose, Coroutine, MVVM and the multi-module architecture
Experience in building real time graph, displaying real time data etc.
Willing to learn

Life @  Crypto.com

Empowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.

Transformational and proactive working environment. Elevate employees to find thoughtful and innovative solutions.

Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.

Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.

One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.

Are you ready to kickstart your future with us? 

Benefits

Competitive salary

Medical insurance package with extended coverage to dependents

Attractive annual leave entitlement including: birthday, work anniversary

Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-up

Aspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.

Work Perks: crypto.com visa card provided upon joining

Our Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.

About  Crypto.com :

Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.

Learn more at https://crypto.com .

Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.

Personal data provided by applicants will be used for recruitment purposes only.","Android, Android Jetpack, Coroutines, Interpersonal Skills, Kotlin, Mobile Application Development, Mobile Applications, Model-view-viewmodel (MVVM), Organization Skills, and User Interface Design"
Grab,"Software Engineer, Mobile (iOS) - Demand & Ads",2 weeks ago,"Company Description

Life at Grab

At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.

Job Description

Get to know the Team

DNA (Demand and Ads) mobile team leverages promotions and advertisements to optimize user experience is a specialized group of professionals dedicated to enhancing user engagement within mobile applications. Our team combines the skills and responsibilities of mobile app development with the strategic use of promotions and ads to create a more engaging and user-friendly experience.

In order to optimize Grab's various services, our team should employ data-driven strategies such as user segmentation, geolocation-based promotions, and in-app ads while collaborating with multiple teams and components include partnering with local businesses and restaurants for cross-promotions, analyzing user feedback and survey data. Additionally, the team should focus on user engagement promotions, A/B testing, and continuously monitor ad performance. This multifaceted approach, involving various stakeholders and components, prioritizes user privacy and delivers a personalized and valuable user experience.

Get to know the Role

We are seeking for iOS Engineers who are highly experienced professionals responsible for leading the development of iOS applications. They excel in app development, architectural design, code review, and mentoring, ensuring app performance and adherence to best practices. Their expertise includes user interface design, API integration, security implementation, and device compatibility, making them valuable assets in delivering high-quality iOS apps.

The Day-to-Day Activities

App Development: Create, enhance, and maintain the Grab app.
Ad Integration: Ensure seamless ad and promotion integration.
User Engagement Features: Develop features for better user engagement.
Collaboration with QA and UX: Work closely with QA and UX teams.
 Performance Monitoring: Continuously monitor app performance.
Code Reviews: Engage in code reviews for quality assurance.
 Documentation: Document changes and integrations.
End-of-Day Review: Evaluate daily progress and plan for the next day.

Qualifications

The Must-Haves

Strong CS fundamentals (with competencies in algorithms and data structures).
Proficient in Swift, XCode, UIKit, SwiftUI, Version Control .
Good understanding of UX/UI design exposure and in making apps work intuitively and with pixel perfect interfaces.
Familiar with MVVM and Clean Architecture.
More than 2 years of of mobile engineering experience with a track record of building complex applications

The Nice-to-Haves

A degree in computer science, software engineering, information technology or related fields.
Up-to-date on the modern iOS programming paradigm
Working knowledge of several architectural approaches, caching, data storage and security.

Additional Information

Our Commitment

We recognize that with these individual attributes come different workplace challenges, and we will work with Grabbers to address them in our journey towards creating inclusion at Grab for all Grabbers.","Computer Science, Interfaces, Model-view-viewmodel (MVVM), Programming, Software Development, Swift (Programming Language), UIKit, Xcode, iOS, and iOS Development"
PT Astra International Tbk,Mobile Developer - iOS,5 months ago,"Deskripsi Pekerjaan

Mengembangkan dan memelihara aplikasi mobile iOS untuk platform penjualan mobil bekas, dengan fokus pada performa, keamanan, dan kualitas pengalaman pengguna.
Berkolaborasi dengan tim pengembangan untuk merancang, menguji, dan mengimplementasikan fitur-fitur baru dalam aplikasi, serta melakukan perbaikan dan pembaruan sesuai kebutuhan.
Memastikan aplikasi IOS selalu terintegrasi dengan baik dengan backend dan database perusahaan, serta memastikan fungsionalitas yang konsisten dan lancar.
Memantau dan menganalisis performa aplikasi IOS, serta melakukan debugging dan perbaikan masalah yang mungkin muncul guna meningkatkan kinerja aplikasi secara keseluruhan.

Persyaratan

Gelar Sarjana dari jurusan Teknik Informatika/Sistem Informasi/Teknik Komputer/Manajemen Informatika atau bidang terkait dari universitas terkemuka dengan IPK minimal 3,00.
Minimal 3 tahun pengalaman kerja secara keseluruhan dan pengetahuan mengenai pengembangan aplikasi iOS.
Memiliki kompetensi dalam Programming Language (Java, Kotlin, Swift, Objective-C), Mobile Development Framework (ReactNative), Performance Optimization, Mobile Application Architecture.
Kemampuan interpersonal, analisis, dan komunikasi yang kuat.
Bersedia bekerja di kantor (lokasi: Jakarta)","Android Development, C (Programming Language), Kotlin, Mobile Application Development, Objective-C, Optimization, React Native, Swift (Programming Language), iOS, and iOS Development"
APRIL,Backend & Mobile Developer,1 week ago,"The APRIL Group, a forward-thinking organization in the global paper and pulp industry, is dedicated to sustainable practices and actively plays a pivotal role in balancing economic growth with environmental conservation.

To accelerate the Digital Transformation drive in the APRIL Group, we are seeking a skilled Backend & Mobile Developer to join our team in Kerinci. This role presents exciting opportunities to drive innovation across diverse operations while fostering sustainable development practices. If you possess strong technical abilities, excellent communication skills, and a passion for problem-solving, this role offers both personal and professional growth within a dynamic global organization committed to making a positive impact on society and the environment.
Leveraging your expertise in backend and mobile development, you’ll collaborate with cross-functional teams across various operations to develop, maintain, and enhance applications that drive towards sustainable development.

Your work will significantly contribute towards optimizing our processes, improving product quality, enhancing efficiency, and fostering sustainable development practices within our ecosystems. In addition to technical skills, strong communication abilities and a passion for problem-solving are key qualities we seek in this role.
This position is a good match for a passionate and technical leader who enjoys technical challenges and possesses excellent communication skills. The successful candidate should preferably have a strong start-up mentality and experience, as well as a proven track record within a cross-cultural multinational corporation, delivering large mission-critical solutions in the area of backend and mobile development.

Key Responsibilities
Develop and maintain applications using Node.js, JavaScript, Java, Kotlin, React Native, and Flutter to meet project requirements.
Build reusable code and libraries for future use.
Translate designs and wireframes into high-quality code for both backend and mobile platforms.
Implement security and data protection measures.
Maintain and improve existing backend and mobile systems, including fixing bugs.
Work with other developers and software engineers to develop well-structured and flexible architecture for both backend and mobile applications.
Develop and manage databases, ensuring data consistency and performance.
Design and implement database schemas using SQL Server, PostgreSQL, Oracle, and MongoDB.
Integrate and manage RESTful APIs.
Implement authentication and authorization mechanisms using JWT and SSO platforms.
Set up and maintain CI/CD pipelines using Jenkins, Docker, Kubernetes, and GIT on Linux Environment.
Maintaining support for currently running operational applications to ensure they run 24/7, with scheduled weekly on-call duties. 
Perform basic database administration tasks.
Communicate effectively in English, both in writing and speaking.


Education & Experience Requirements:
Bachelor’s degree in Computer Science, Information Technology, or a similar field.
Minimum 5 years of experience developing mission-critical applications with Node.js for backend development and Java, Kotlin, or hybrid frameworks (React Native, Flutter) for mobile development.
Excellent written and verbal communication skills for coordinating across teams.
Drive to learn and master new technologies and techniques.
Good time management, communication, and troubleshooting skills.
Good English proficiency for both speaking and writing.
Willing to be placed in Pangkalan Kerinci, Riau

Technical Competency Requirements
Node.js and JavaScript for server-side and client-side development.
Java and Kotlin for mobile application development.
React Native and Flutter for cross-platform mobile development.
SQL Server, PostgreSQL, Oracle, and MongoDB for database management.
RESTful APIs for integration and communication between services.
Knowledge of Design Patterns, with the ability to apply common patterns such as Singleton, Factory, Observer, and Strategy in software design.
Experienced in Object-Oriented Analysis and Design (OOAD), including understanding and applying core concepts such as abstraction, encapsulation, inheritance, and polymorphism, with the ability to design and implement solutions that are maintainable, scalable, and reusable.
JSON Web Token (JWT) and SSO platforms such as Keycloak and iSprint for authentication and authorization.
CI/CD tools such as Jenkins, Docker, Kubernetes, and GIT for continuous integration and deployment.
Basic knowledge of database administration.
Experience with Microsoft .NET (C#) is a plus.","Database Administration, Flutter, JSON, JSON Web Token (JWT), Kotlin, Mobile Application Development, OOAD, Polymorphism, React Native, and Software Development"
Grab,"Senior Software Engineer, Mobile (Android) - ACE",Reposted 4 days ago,"Company Description

Life at Grab

At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.

Get to know the Team

Come join Grab ACE team, we're dedicated to building the most trusted and loved platform for all things food in Southeast Asia.. When you’re an engineer at Grab, you are part of the heart and soul of the company. Our passion is anchored in the work that we do, and this is reflected in the impact we make on hundreds of millions of lives on a daily basis. Our team is empowered by creating amazing services and tools that serve hundreds of millions of consumers, driving partners, and fellow grabbers. We are always seeking to innovate our delivery and dine in platforms, which requires the help of first-class android engineers. Our scale of production is huge, handling tens of millions of bookings every day. When you launch a new code, hundreds of millions of people will see what you are doing in a very short time. Operating at this level is difficult, but very beneficial.

Job Description

The Day-to-Day Activities

As an Android engineer, you are expected to work on both product development as well as engineering improvements.

Work closely with the product and design team to understand requirements, provide product feedback, own and implement the product from start to finish.
Drive and participate in technical discussions with other engineering teams
Write code that is reusable, scalable and testable. Make sure products are delivered on time and with high quality.
Collaborate with QAs to make sure our app releases are always worthy of five star ratings.
Review code from other team members, provide constructive feedback and strive to raise the engineering bar.
Take initiative to improve the codebase proactively. Propose and set better engineering solutions for the team.
Be responsible and responsive during on-call duty. Able to debug and troubleshoot production issues.
Provide technical guidance, mentorship and knowledge sharing to peers.

Qualifications

The Must-Haves

A degree in computer science, software engineering or related fields.
Strong programming experience in Java or Kotlin, familiar with design patterns, multi-threading, have a good coding style and habits.
Understanding the Android system and programming paradigm including OOP, TDD, reactive patterns and dependency injection.
Know well of AndroidSDK, deep understanding of Android infrastructure, components, UI, data storage etc.
Working knowledge of several architectural approaches including clean architecture, MVP and MVVM.
Experience of using Android platform open source framework, knowledge of EventBus, Retrofit, Glide, OKHTTP, Dagger, RxJava and other third-party libraries.
Experience in Android automated testing, including unit testing, UI testing, familiar with Android testing framework like Espresso, UI Automator, Mockito and Powermock or Appium.
Experience in user behavior analysis, log and error collection and analysis tools.
Work attitude is conscientious, have a strong sense of responsibility and teamwork, positive and optimistic, and willing to share.
Fluent in English, with the ability to communicate fluently in English.

The Nice-to-Haves

The ability to independently develop Android apps or contribute to well-known open-source projects is favored.
Working knowledge of various architectural approaches, caching, data storage, and security is valued.
2-4 years of mobile engineering experience, specifically with a record of building complex applications, and experience in live/online projects is sought.

Additional Information

Our Commitment

We recognize that with these individual attributes come different workplace challenges, and we will work with Grabbers to address them in our journey towards creating inclusion at Grab for all Grabbers.","Android Testing, Appium, Automator, Kotlin, Mockito, Model-view-viewmodel (MVVM), Multithreading, PowerMock, Programming, and User Behavior"
BIOTA Smart Home,Mobile Developer (React Native),5 months ago,"BIOTA Smart Home is a cutting-edge technology company committed to revolutionizing modern living through innovative smart home solutions. Our technology seamlessly integrates into lifestyles to provide convenience, security, and energy efficiency. We prioritize customer-centric design and strive to create user-friendly experiences in our products and services. Our mission is to transform homes into intelligent, connected spaces that offer comfort and peace of mind.

Opportunity

As a full-time on-site Mobile Developer (React Native) located in Jakarta, you will be responsible for developing and maintaining our smart home application using React Native. You will work closely with our cross-functional team to implement new features, enhance the user experience, and ensure the reliability and performance of our mobile app.

Responsibilities

Develop and maintain our smart home application for iOS and Android platforms using React Native
Collaborate with the design and product teams to implement new features and user interface enhancements
Write clean, efficient, and maintainable code following best practices and coding standards
Optimize application performance and ensure compatibility across different devices and screen sizes
Conduct code reviews, identify bugs, and troubleshoot issues to ensure the quality and reliability of the mobile app
Stay updated on the latest trends and technologies in mobile app development to continuously improve our application


Requirements

2-3 years of proven experience as a Mobile Developer with expertise in React Native or React
Bachelor's degree in Computer Science, Web Development, or related field
Strong proficiency in JavaScript, ES6, and TypeScript
Experience with mobile app development for both iOS and Android platforms
Knowledge of mobile app design principles, user interface guidelines, and best practices
Familiarity with RESTful APIs, JSON, and web services integration
Excellent problem-solving skills and attention to detail
Ability to work independently and collaborate effectively in a team environment
Good communication skills and the ability to explain technical concepts to non-technical stakeholders


Why Join Us

BIOTA offers an innovative and dynamic work environment where creativity and initiative are encouraged. Join us to be part of a talented team driving the future of smart home technology. Come and join the growing BIOTA team as a Mobile Developer to make the world a better place to live in, one home at a time.","Android, Coding Standards, Computer Science, JavaScript, Mobile Application Design, Mobile Application Development, Mobile Applications, React Native, TypeScript, and iOS"
