Company Names,Job Titles,Posted On,Job Details,Skill
Ultra Voucher,Backend Engineer,2 weeks ago,"Requirements:
Strong Typescript proficiency
Knowledge of Node.JS and PHP and frameworks on the Node.JS ecosystem
Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
min 1 years of experience as a back-end engineer
Knowledge of front-end technologies like Typescript
Experience with DevOps, Docker and Kubernetes would be a plus
Experience with Nginx web server and Linux environment is nice to have

Job Responsibilities:

Build and maintain functional web applications
Troubleshoot and debug issues
Collaborate with front-end developers to integrate front-end elements with server-side logic and functionalities
Building reusable and clean code for future use
Hande SQL database using postgres & mysql and no SQL using mongo db
Handle integration microservice using message queue (Kafka & Rabbit MQ)
Handle cache using redis
Analyze business needs and be able to provide good solution skills to these problems","Back-End Web Development, Docker Products, JavaScript, Kubernetes, Linux, Nginx, Node.js, PostgreSQL, SQL, and TypeScript"
Traveloka,Software Engineer,Reposted 1 week ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!





Job Description

As a Competitive Intelligence engineer, you’ll be working with other BUs solving various dynamic problems while designing and maintaining highly available & highly scalable systems that will help the business team to make better decisions.

You will also be working with a cross-functional team to verify problems, discuss the best and pragmatic solution, and work together to realize it. We work in an open environment where there are no boundaries or power distance. Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves.



Requirements

Bachelor's degree in Computer Science or equivalent from a reputable college
Passionate in performing market research
Experience (3+ years) in either backend or security field
Experience in version control (Git) and familiarity with development collaboration tools (GitHub/Phabricator/BitBucket).
Experience in creating a robust and highly scalable system is a plus
Experience in Big data technology is a plus.
Experience in RDBMS like PostgreSQL/MySQL and NoSQL databases like MongoDB is a plus.
Experience in AWS/GCP/Azure and other technologies like Ansible, Containers, Kubernetes, etc is a plus.
Knowledge and experience in using Java/Kotlin 
Strong object-oriented analysis and design skills.
Excellent written, presentation, verbal communication, mentorship skills, influence skills, and shows personal maturity.
Excellent in problem solving, analytical, and possess helicopter view
Comfortable working with cross-functional team



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","Analytical Skills, Back-End Web Development, Communication, Computer Science, Databases, Java, Kotlin, Oral Communication, and Problem Solving"
Festo Southeast Asia,Application Engineer,3 weeks ago,"Job Overview
The candidate will responsible for providing pre-sales application consultancy to the sales team, with a focus on Electric Automation (EA), takes commercial considerations fully into account when proposing solutions, proactively drives automation business expansion by uncovering potential and actively identifying opportunities. Assists customers in selecting and acquiring EA products suitable for their applications. Responsible for pre-sales design of solutions and conceptual ideas for custom solutions prior to handover to engineering team. In the end, ideal candidate have to be accountable for end to end process from early solution concept until initial installation at customer's site.

Job Description  
Provides technical expertise/consultancy within the sales process and guides to a system concept solution for Electric Automation and other technologies/product lines, according to the local market needs
Defines the electrical and mechanical design of a solution, derived from the requirement specification defined together with the customer, with focus on standard products
Provides feasible application solution proposals, based on deep technical product knowledge
Performs feasibility studies by means of sample setups, simulations or calculations
Provides remote and onsite advisory during after-sales commissioning activities
Supports Sales Engineer in defining the right price and conditions for a solution based on the value add
Performs any ad hoc tasks been assigned by Line Manager from time to time

Job Qualification
Bachelor's degree in Mechatronics, Electrical, Mechanical Engineering or relevant field. Diploma can be considered based on work experience.
Can communicate fluently in English
Based on Jakarta
Software background will be advantage & preferably
At least 3-4 years related work experiences in similar position and industries","Application Development, Custom Software, Presales, Product Knowledge, and Specifications"
Sea,QA Engineer (Credit) - Sea Labs,Reposted 1 day ago,"Job Description:

Be involved in whole development life cycle and technical design review
Test case design and planning
Functional testing via grey-box and white-box methodologies
Perform Application Program Interface (API) testing, and API automation testing
Performance, security, and integration testing for system, module, API, and other tools
Bug analysis and tracking
Setting up and maintenance of testing environment
Development and maintenance of testing tools, automation of testing tools and scripts
Continuous improvement and research of testing process, skills, techniques, quality, and efficiency


Requirements:

Bachelor's degree or above in Computer Science or other related disciplines
+2 years of relevant experience
Familiar with at least of the following programming languages: Python, Java, or Golang
Familiar with at least one API/Unit testing framework
Good logical and structural thinking
Strong sense of project ownership and result-oriented
Good sense of quality, teamwork, and innovation
Able to work independently
Experience in client-side socket programming, database and Structured Query Language (optional)","Go (Programming Language), Java, QA Engineering, Query Languages, Query Writing, Socket Programming, Technical Design, Test Cases, Test Design, and Unit Testing"
Manulife,Full Stack Software Engineer,3 weeks ago,"We are a leading financial services provider committed to making decisions easier and lives better for our customers and colleagues around the world. From our environmental initiatives to our community investments, we lead with values throughout our business. To help us stand out, we help you step up, because when colleagues are healthy, respected and meaningfully challenged, we all thrive. Discover how you can grow your career, make impact and drive real change with our Winning Team today.

Working Arrangement

Hybrid

Job Description

Are you looking for a supportive, collaborative workplace with great teams and inspiring leaders? You’ve come to the right place. We’re looking for ambitious people who share our values and want to make every day better for people around the world. If this sounds like you, and the career below sounds exciting, we’d like to hear from you.

The Opportunity 

The customer is the focus of everything we do, and millions of end users rely on our products daily. We believe in the value of empowering Full Stack Software Engineer with the resources to solve critical problems for the future of our business, which is why we need you.

What motivates you? 

You obsess about customers, listen, engage and act for their benefit 
You think big, with curiosity to discover ways to use your agile mindset and enable business outcomes 
You thrive in teams, and enjoy getting things done together
You take ownership and build solutions, focusing on what matters 
You do what is right, work with integrity and speak up
You share your humanity, helping us build a diverse and inclusive work environment for everyone 

We Are Looking For Someone With

Bachelor’s and/or master’s degree in Computer Science, Computer Engineering, or related technical discipline
5+ years of professional software development experience 
Proficiency in Java, TypeScript, HTML, CSS, Javascript, Springboot, Angular, Nodejs, MongoDB and object-oriented design skills 
Understand using Jenkins pipeline with Azure Kubernetes environment.
Experience serving as technical lead throughout the full software development lifecycle, Agile, dev ops, from conception, architecture definition, detailed design, scoping, planning, implementation, testing to documentation, delivery and maintenance is preferred. 
Knowledge of professional software engineering and best practices for the full software development life cycle, including coding standards, clean code, diagrams, charts, code reviews, source control management, build processes, testing, and operations.
Experience in development of distributed/scalable systems and high-volume transaction applications.
Good attitude, commitment to work and good team player.
Working experience in Global Organization/Projects is an advantage.
Strong oral and written communication skills.
Strong interpersonal skill and demonstrate leadership.
English is a must

Nice To Haves

Ability to build and manage relationships with the key internal stakeholders 

On The Job You Will

Develops software solutions by designing, developing, and installing software solutions, studying information needs, conferring with users, and studying systems flow, data usage, and work processes.
Determines operational feasibility by evaluating analysis, problem definition, requirements, solution development, and proposed solutions.
Documents and demonstrates solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code.
Investigates problem areas.
Follows the software development lifecycle.
Improves operations by conducting systems analysis and recommending changes in policies and procedures.
Provides information by collecting, analyzing, and summarizing development and service issues.
Accomplishes engineering and organization mission by completing related results as needed.
Work with regional team (and joint venture partners) on daily basis for supporting existing application while identifying improvement area and regional requirements.

Our commitment to you 

Our mission; to be a part of making Decisions Easier and Lives Better
A leadership team dedicated to your growth and success 
A bold ambition and set of goals to be a leader in driving transformation in our industry 
Our best. Every day. 

Learn more about opportunities with us at jobs.manulife.com

Every career at Manulife provides the opportunity to learn new skills and move your career forward. Ready to make an impact somewhere? What are you waiting for? Apply today!

About Manulife And John Hancock

Manulife Financial Corporation is a leading international financial services group that helps people make their decisions easier and lives better. With our global headquarters in Toronto, Canada, we operate as Manulife across our offices in Asia, Canada, and Europe, and primarily as John Hancock in the United States. We provide financial advice, insurance, and wealth and asset management solutions for individuals, groups and institutions. At the end of 2022, we had more than 40,000 employees, over 116,000 agents, and thousands of distribution partners, serving over 34 million customers. At the end of 2022, we had $1.3 trillion (US$1.0 trillion) in assets under management and administration, including total invested assets of $0.4 trillion (US $0.3 trillion), and segregated funds net assets of $0.3 trillion (US$0.3 trillion). We trade as ‘MFC’ on the Toronto, New York, and the Philippine stock exchanges, and under ‘945’ in Hong Kong.

Manulife is an Equal Opportunity Employer

At Manulife/John Hancock, we embrace our diversity. We strive to attract, develop and retain a workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention, advancement and compensation, and we administer all of our practices and programs without discrimination on the basis of race, ancestry, place of origin, colour, ethnic origin, citizenship, religion or religious beliefs, creed, sex (including pregnancy and pregnancy-related conditions), sexual orientation, genetic characteristics, veteran status, gender identity, gender expression, age, marital status, family status, disability, or any other ground protected by applicable law.

It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process. All information shared during the accommodation request process will be stored and used in a manner that is consistent with applicable laws and Manulife/John Hancock policies. To request a reasonable accommodation in the application process, contact recruitment@manulife.com.","Angular, Cascading Style Sheets (CSS), Computer Science, HTML, MongoDB, NoSQL, Node.js, Object Oriented Design, Spring Boot, and TypeScript"
Dropsuite,Software Engineer [C#],Reposted 1 day ago,"Nice to Meet You! We are Dropsuite! 

We are looking for Software Engineers specialized in C# to work on the Dropsuite data backup and recovery product. You will be a part of a global team of product engineers delivering a SaaS platform. 

The role is focused on improving and expand Dropsuite platform into high scalable and reliable system that will provide high value for Dropsuite Core Product.

You will work very closely with many of our amazing Software Engineers and Leads to deliver quality product features, provide fixes and support improvements to the in-market product. 

Work Arrangement 
Full-time position 
Hybrid work model (2 days per week in the office) 
Monday to Friday, 5-day work week (flexible work schedule) 
Eligible to reside and work in Bandung (Indonesian citizenship only)  

Key Accountabilities 
Developing and testing software on C# 
Good understanding of Service Oriented architecture, Object oriented programming and object-oriented design 
Work on the Email Backup product and play a key role in the maintenance of the product 
Write efficient, bug-free, robust and testable code that performs efficiently in production 
Troubleshoot and resolve issues in an evolving code base 
Work with a scrum team and participate in scrum ceremonies 
Share status updates with accuracy 

Qualifications and Competencies 
About 2 to 5 years of experience in Software Development 
Very good experience with C# 
Experience in Ruby will be a plus 
Familiar with Domain Driven Design Development 
Bachelor’s degree or equivalent in Computer Science or a related field 
Knowledge of Operating systems like Linux and Windows 
Knowledge of Relational Databases, SQL and Cloud 
Experience with big data will be a plus 
Good interpersonal skills, oral and written skills, with the ability to present ideas 
Able to express and explain new initiatives along with status updates 
Values that are aligned with us being a team of experts, problem solvers and collaborators, who are highly customer focused, dependable and trustworthy 
Scripting skills, Python and bash will be a plus 
Working experience with Global teams outside Indonesia will be a huge plus 

Why Join Us 
Dropsuite (listed DSE:ASX) safeguards business information. We are a global, fast-growing, partner-centric company building secure, scalable, and highly usable cloud backup technologies for businesses. Our mission is to help business stay in business. Dropsuite performs billions of backups per day for organizations in more than 100 countries around the globe. 

Dropsuite is known for its team of ‘hungry owners.’ We are hungry to win and tenacious, but at the same time we all are owners: we do not cut corners and always seek to do the right thing. We are experts in what we do, are highly customer focused and we love solving problems. We play as a team, where respect is one of our key values and we see helping others as a priority. 

Rewards That Go Beyond 
Competitive compensation 
Health insurance for you and your dependents 
Social Security (BPJS Ketenagakerjaan) 
Hybrid work model 
12 Days of Annual Leave 
Entitled to Indonesia Public Holidays 
Other leave benefits, such as Wedding leave 
Growth opportunities 
Work in a global company with meaningful work, highly skilled colleagues and an amazing culture 

Diversity and Inclusion Statement 
Dropsuite is an Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. 

Please note that only applicants residing and eligible to work in Bandung Indonesia will be considered and only shortlisted candidates will be contacted. 

Your Career Growth Starts Here. Apply Now!","Content Design, Databases, PHP, Product Quality, Programming Languages, Relational Databases, SQL, Skill Development, Web Applications, and Web Hosting"
PT Adicipta Inovasi Teknologi,Quality Assurance Automation Engineer - Katalon,2 days ago,"JOB DESCRIPTIONS:
Design, developing, and maintaining automated test scripts for web and mobile applications using industry-standard test automation tools and frameworks
Execute automated test suites for functional, and regression testing
Collaborate with the team to continuously optimize and improve existing test automation scripts for efficiency and reliability.
Work closely with senior Test Automation Engineers, Quality Control (Software Tester), software developers, and Product Owners to understand software requirements and ensure comprehensive test coverage
Actively participate in team meetings, knowledge-sharing sessions, and training programs to enhance skills
Contribute to the development and improvement of QE/QA processes, methodologies, and best practices
Review and provide feedback on test plans, test cases, and other QA documentation to ensure accuracy and completeness
Provide technical assistance to troubleshoot and resolve issues related to automated test scripts and testing environments
Collaborate with the team to identify and address software defects, performing root cause analysis
Maintain detailed and organized records of test results, defects, and test coverage
Assist in preparing test summary reports and documentation for internal and external stakeholders

REQUIREMENTS:
Bachelor’s degree in Computer Science / Information Technology
Minimum 2-year experience in test automation development for web application
Experience in coding using Java or JavaScript programming language
Have knowledge in using test automation tools and frameworks, such as Katalon, Appium, etc
Familiarity with software testing principles and methodologies is a plus
Strong analytical and problem-solving skills with a keen attention to detail
Excellent communication skills and ability to work collaboratively in a team environment
Enthusiasm for learning and staying updated with the latest trends and technologies in software testing and test automation
Able to shifting WFH and WFO in Jakarta","Appium, Java, and Selenium Testing"
Accenture Southeast Asia,Software Engineering,Reposted 1 week ago,"will be part of the software development team and participates in all phases of the software development project life cycle, includes analysis, design, develop code, test business software applications and project implementation.

As an Accenture’s Software Engineering


You are required to closely on a cross functional team including other developers, designers, Project Managers, QA, etc

Leverage experience developing software to execute on mobile development projects of various sizes for clients across multiple industries

Communicate frequently with clients including project plans and scope

Participate in Agile/SCRUM SDLC

Lead code and architecture reviews


YOUR EXPERIENCE: Basic Qualifications


3+ years of experience in software development

2+ years of software development in a team environment

At least familiarity with some of these stacks (Java, Spring Boot, Go Language, Javascript, Node.JS, React.JS, Angular.JS, C#, .NET)


SET YOURSELF APART: Preferred Skills


Experience with client-side software development, especially user interfaces

Proficient with Unit and integration tests

Knowledge of web services, specifically REST APIs

A natural leader who is frequently sought out for guidance and advice

Previous experience interfacing with clients in consulting environments is preferred

Have worked in an Agile environment (Scrum preferred)

Hands-on experience developing production-ready Android apps


Our offer:


You will have a clearly defined career path and professional development in an international company

Working with Fortune 500 clients

Having a real effect on changing IT systems and platforms that you use every day

You will have a chance for professional training and certifications (Oracle, Microsoft, Java, IBM, SAP, Prince2, ITIL)


Our people are our most important asset and we invest considerable resources to provide ongoing training that builds and extends professional, technical, and management skills in all areas. Your learning program will be determined by the requirements of your specific role but will usually involve specialized skills as well as personal and leadership development. You will work with your manager to determine what skills you need and how to build them.

You will also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.

Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on the grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.",".NET Framework, C (Programming Language), C#, Interfaces, JavaScript, Software Development, Spring Boot, Spring Framework, Statutory Accounting Principles (SAP), and User Interface Design"
EY,Backend Engineer - Junior or Senior Consultant,Reposted 2 weeks ago,"About EY:

EY, a global leader operating in more than 150 countries delivers unparalleled service in Consulting and assists clients to transform and upskill their capabilities.

We serve our clients to build a better working world, helping them to create long-term value for people and society and build trust in the capital markets. That starts with a culture that believes in giving you the training, opportunities, and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we work towards our ambition to be the best employer.

EY advises clients to understand, architect, select and implement bleeding-edge solutions required to efficiently run their businesses, with a focus on Digital and Cloud. These service areas span E-commerce, Solution Architecture, Mobile Applications, Digital Platform Architecture, Digital Technology Strategy, and Digital IT Operations.

The exceptional EY experience. It’s yours to build.

The opportunity:

The Digital & Emerging Technology team works collaboratively with clients to transform their business through disruptive innovation enablement and transformational design solutions. The team supports our clients in modernizing systems, processes and products to enhance business and customer-facing platforms and services to support high performance in a rapidly changing and competitive environment. Our team helps clients sustain competitive advantage and profitability by developing technology strategies, products, and solutions to stay ahead of the rapid pace of change and disruption and supporting the execution of complex transformations.

We're seeking a highly skilled and experienced Backend Engineer to join our dynamic team. In this role, you will play a crucial role in designing, developing, and maintaining scalable and high-performance backend systems. You will collaborate with cross-functional teams, including front-end developers, product managers, and QA engineers, to deliver robust and efficient solutions. While our teams primary focus is within the financial services industries, you will have opportunities to support other sectors including healthcare, automotive, high-tech, and media.

Your key responsibilities: 

The goal is to support our clients to transform their business through technology. As a Backend Engineer you will be collaborate with cross-functional teams to define, design, and ship new features, identify and address performance bottlenecks in the backend systems, design and optimize database schemas, develop and maintain RESTful APIs for seamless communication between front-end and back-end systems, write unit tests and participate in code reviews, collaborate with technical writers to create user and developer documentation, and operating your team's software systems in a consistently high quality manner. When working on the systems within your team's domain, you take into account the appropriate architectural patterns, code design, and infrastructure options, ensuring that you deliver a system that is secure, reliable, maintainable, extensible and very well tested. Beyond delivery to the production system, engineers will be responsible for post deployment monitoring as well.

In addition to being trusted to operate independently, you also maintain a good partnership with your technical and non-technical stakeholders for projects that you are involved in. You take an active role in your projects as a team member involved in product design to rollout, taking ownership of your work and constantly focusing on moving these projects forward.

Being an experienced team member, you are also expected to continuously help the team grow and improve either by mentoring new or junior members of your team or by introducing and adopting process improvements.

Requirements: 

Bachelor's degree (Computer Science, Computer Engineering or Mathematics) or related experience
1-3 years of Development experience
Strong knowledge of algorithms and data structures
Fluency in developing and understanding sequence diagrams, class models, etc.
Strong proficiency in programming languages such as Java, C# .Net, or Golang.
Solid understanding of database systems, both relational and NoSQL.
Strong in fundamental programming like SOLID Principle, Clean Architecture or related fundamental knowledge and practices
Experience in writing maintainable and testable code, including API design, unit testing and UI testing techniques.
Experience working in an Agile/Scrum development process.
Humble and hungry engineer. Always curious, always looking for a better way
Highly accountable and takes ownership of one's own work.

For senior software engineer:

4+ years of professional backend software development experience
Experience with Event-Driven Architecture such as Kafka or RabbitMQ
Familiarity with cloud services (e.g., AWS, Azure, Google Cloud).
Knowledge of containerization and orchestration tools (e.g., Docker, Kubernetes).
Possess excellent communication, sharp analytical abilities with proven design skills, able to think critically of the current system in terms of growth and stability
Ability to understand business requirements and translate them into technical requirements
Familiarity with modern build pipelines and tools
Identify and resolve performance and scalability issues

What we look for 

We’re interested in passionate individuals with a strong vision and a desire to stay on top of trends. If you have a genuine passion for helping businesses achieve their full potential, then these role(s) are for you. 

What We Offer

Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next
Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, on your way
Transformative leadership: We’ll give you the insights, coaching, and confidence to be the leader the world needs
Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs

If you can demonstrate that you meet the criteria above, please contact us as soon as possible.

EY is an equal opportunity, affirmative action employer providing equal employment opportunities to applicants and employees without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, by applicable law.

EY is committed to providing reasonable accommodation to individuals with special needs. If you are a qualified individual with special needs and need assistance applying online or need to request an accommodation during the interview process, please speak to our HR executives, and we will be happy to help you.","Apache Kafka, Back-End Web Development, Business Requirements, C#, Computer Science, Critical Thinking, Go (Programming Language), Technical Requirements, UI Testing, and Unit Testing"
Siemens,Manfacturing - Programming Engineer Internship,2 weeks ago,"We know that a business only thrives if our people are thriving. That’s why we always put our people first. Our global and diverse team would be happy to support you and challenge you to grow in many ways.

Who knows where our joint journey will take you?

You’ll make a difference by

Develop and Maintain Software Applications: Design, develop, and maintain software applications specifically tailored for manufacturing processes using PHP (preferably Laravel) and full stack development technologies.
Collaboration: Work closely with cross-functional teams including manufacturing, operations, and IT to understand requirements and deliver software solutions that improve efficiency and productivity.
Troubleshooting and Support: Provide technical support and troubleshoot issues related to software applications used in the manufacturing environment.
Code Optimization and Performance Tuning: Ensure high performance and responsiveness of applications through code optimization and performance tuning.
Documentation: Create and maintain comprehensive documentation for all developed applications and processes.
Continuous Improvement: Identify opportunities for process improvements and implement new technologies to enhance manufacturing capabilities.
Training and Knowledge Sharing: Provide training to end-users and other team members on new software applications and updates.
Compliance and Standards: Ensure all software development activities comply with industry standards and regulations.

You’d describe yourself as3. Experience: Prior experience in software development, particularly within a manufacturing environment, is highly desirable.

 Educational Background: On Bachelor’s Program in Information Technology, Computer Science, or a related field.
 Technical Skills:
Proficient in PHP (with a preference for experience in Laravel framework).
Strong knowledge of full stack development including front-end (HTML, CSS, JavaScript) and back-end technologies.
Familiarity with databases such as MySQL, Microsoft SQL, etc.
Understanding of version control systems such as Git.
 Language Skills: Proficiency in English is preferred.
 Work Environment: Must be willing to work full-time from the office
 Soft Skills:
Strong problem-solving skills and attention to detail.
Ability to work independently and as part of a team.
Excellent communication and interpersonal skills.
Adaptability and willingness to learn new technologies and methodologies.

We value your unique identity and perspective and are fully committed to providing equitable opportunities and building a workplace that reflects the diversity of society. Come bring your authentic self and create a better tomorrow with us.","Back-End Web Development, Cascading Style Sheets (CSS), Communication, Front-End Development, Full-Stack Development, HTML, JavaScript, Problem Solving, Soft Skills, and Stack"
